,40603 ,,,,,,,March 2011,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,14615820493 ,443540081 ,121960 ,32.95,32.23,35.50,36.20,03/31,29.35,03/01,12.01
1102  亞泥,4669418823 ,145153588 ,44045 ,32.17,31.80,33.05,33.90,03/31,29.85,03/01,4.72
1103  嘉泥,637241727 ,38787104 ,9973 ,16.43,16.22,16.80,17.45,03/31,15.25,03/15,5.30
1104  環泥,388496308 ,21074411 ,6648 ,18.43,18.24,18.75,19.20,03/30,17.30,03/15,3.49
1108  幸福,102925458 ,14090357 ,4199 ,7.30,7.25,7.43,7.62,03/31,6.89,03/15,3.48
1109  信大,54098291 ,5425046 ,1388 ,9.97,9.93,10.35,10.45,03/30,9.66,03/17,1.29
1110  東泥,366037799 ,27224539 ,6785 ,13.45,12.27,14.20,14.80,03/30,11.10,03/15,4.76
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,2073990707 ,64334687 ,24532 ,32.24,32.35,32.70,33.65,03/09,29.95,03/15,12.71
1203  味王,77932953 ,3434859 ,2172 ,22.69,22.79,22.55,23.85,03/09,21.05,03/15,1.43
1210  大成,1257715867 ,42030123 ,19044 ,29.92,29.46,31.40,31.80,03/30,26.60,03/15,8.50
1213  大飲,307551289 ,11623800 ,5742 ,26.46,25.32,27.50,28.05,03/29,24.00,03/08,22.58
1215  卜蜂,605986135 ,32926321 ,12070 ,18.40,18.08,18.60,19.30,03/23,16.80,03/15,14.19
1216  統一,6395581518 ,166489287 ,62688 ,38.41,38.53,40.30,40.30,03/31,36.40,03/15,3.88
1217  愛之味,799188980 ,63072836 ,18101 ,12.67,12.68,12.65,13.50,03/03,11.60,03/17,14.09
1218  泰山,804260937 ,48935779 ,16791 ,16.44,16.30,17.25,17.60,03/31,14.95,03/16,14.69
1219  福壽,77094948 ,5318637 ,1866 ,14.50,14.55,14.80,14.90,03/28,13.75,03/15,1.87
1220  台榮,45425179 ,3450991 ,1488 ,13.16,13.13,13.65,13.80,03/30,12.30,03/15,1.95
1225  福懋油,183686590 ,12709791 ,4567 ,14.45,14.52,14.50,15.00,03/04,13.40,03/17,7.27
1227  佳格,3688817536 ,48053387 ,27113 ,76.76,76.24,80.00,82.00,03/25,70.70,03/01,12.96
1229  聯華,1114958354 ,55950075 ,19339 ,19.93,19.97,20.50,20.70,03/31,18.60,03/17,6.81
1231  聯華食,130749909 ,5297219 ,2877 ,24.68,24.73,25.40,26.15,03/23,22.55,03/15,4.59
1232  大統益,198229841 ,3914570 ,2461 ,50.64,51.01,52.10,52.20,03/31,48.50,03/15,2.45
1233  天仁,133285611 ,2562079 ,1000 ,52.02,51.48,54.30,54.70,03/31,49.50,03/15,2.83
1234  黑松,377910835 ,16335792 ,5001 ,23.13,23.31,23.20,24.35,03/04,21.95,03/17,3.05
1235  興泰,80544224 ,2795382 ,1751 ,28.81,29.04,26.95,33.80,03/04,25.15,03/17,5.13
1236  宏亞,25397002 ,1106993 ,856 ,22.94,23.05,23.10,23.90,03/10,21.55,03/15,1.20
1702  南僑,5844554940 ,138848795 ,55496 ,42.09,41.64,42.60,46.10,03/21,37.70,03/02,47.21
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,23049990517 ,232734526 ,93776 ,99.04,98.65,103.50,105.00,03/31,91.00,03/11,3.80
1303  南亞,22298553214 ,265060649 ,94622 ,84.13,83.88,86.70,88.40,03/21,79.20,03/11,3.38
1304  台聚,15611289795 ,402425207 ,141694 ,38.79,38.60,40.00,43.80,03/21,34.80,03/08,46.58
1305  華夏,1882373938 ,146125078 ,32757 ,12.88,12.73,13.20,13.85,03/23,11.55,03/16,34.40
1307  三芳,129557193 ,3757891 ,1782 ,34.48,34.48,34.90,35.50,03/28,32.35,03/15,1.20
1308  亞聚,7205524036 ,152068221 ,59611 ,47.38,47.08,50.80,54.10,03/21,40.15,03/08,48.57
1309  台達化,2575003201 ,164167751 ,42814 ,15.69,14.07,16.75,17.35,03/30,11.80,03/15,58.92
1310  台苯,756194914 ,55237940 ,17249 ,13.69,13.67,13.65,14.25,03/14,12.60,03/17,9.52
1312  國喬,8005381103 ,447041205 ,97380 ,17.91,17.80,18.10,19.30,03/21,16.50,03/11,49.31
1312A 國喬特,6874850 ,327000 ,171 ,21.02,21.20,21.60,22.10,03/24,20.00,03/15,1.64
1313  聯成,1821659900 ,84638890 ,19477 ,21.52,21.65,21.80,22.80,03/22,20.10,03/17,8.13
1314  中石化,13993531514 ,403724885 ,121989 ,34.66,34.68,37.45,38.20,03/31,31.25,03/11,22.49
1315  達新,47018412 ,1797734 ,1009 ,26.15,26.28,27.55,27.60,03/31,24.20,03/15,0.82
1316  上曜,497719906 ,22111210 ,8435 ,22.51,21.10,25.00,25.55,03/31,19.45,03/15,33.93
1319  東陽,4898289996 ,118590802 ,52138 ,41.30,41.04,42.30,43.75,03/28,37.80,03/01,22.87
1321  大洋,108738066 ,5372653 ,1965 ,20.24,20.10,19.95,20.90,03/18,18.95,03/15,2.36
1323  永裕,52165993 ,2211342 ,1071 ,23.59,23.65,23.50,24.30,03/09,21.90,03/17,2.67
1324  地球,109021972 ,6341196 ,2881 ,17.19,17.23,17.25,18.45,03/04,15.00,03/17,8.44
1325  恆大,1019202646 ,37946871 ,16465 ,26.86,25.30,25.50,29.50,03/17,23.90,03/11,40.14
1326  台化,27834404368 ,263812613 ,91635 ,105.51,104.99,111.50,114.00,03/31,96.00,03/11,4.64
1715  亞化,276703592 ,14911018 ,4601 ,18.56,18.72,18.95,19.75,03/04,17.15,03/16,5.99
4306  炎洲,3046742384 ,102772139 ,30026 ,29.65,29.47,29.20,30.70,03/04,27.60,03/15,37.53
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,20628237727 ,467371592 ,144681 ,44.14,44.37,45.45,48.20,03/02,39.25,03/15,9.83
1409  新纖,5958366430 ,461982402 ,84823 ,12.90,12.98,13.15,14.30,03/25,11.20,03/16,26.70
1410  南染,68814862 ,3919263 ,1719 ,17.56,17.71,17.25,19.60,03/08,16.00,03/16,4.35
1413  宏洲,95131649 ,10660818 ,2349 ,8.92,9.28,8.92,10.15,03/03,7.80,03/17,6.26
1414  東和,1534541858 ,91813312 ,21201 ,16.71,16.53,16.70,17.60,03/11,15.25,03/16,41.73
1416  廣豐,344706479 ,27892145 ,6606 ,12.36,12.21,11.95,13.30,03/08,11.05,03/17,7.25
1417  嘉裕,450218133 ,46770096 ,13820 ,9.63,9.79,9.93,10.55,03/01,8.72,03/16,12.31
1418  東華,788239057 ,67219874 ,15525 ,11.73,11.47,11.85,12.75,03/24,10.05,03/17,50.95
1419  新紡,1170699960 ,29069206 ,12189 ,40.27,40.71,39.85,43.40,03/02,37.00,03/16,9.69
1423  利華,69437729 ,8461944 ,1720 ,8.21,8.21,8.14,8.76,03/09,7.50,03/17,4.84
1432  大魯閣,76163906 ,4791792 ,2236 ,15.89,15.46,15.00,17.90,03/08,13.60,03/16,8.90
1434  福懋,1278051149 ,46038712 ,17353 ,27.76,27.79,29.55,29.60,03/31,25.45,03/15,2.73
1439  中和,348771366 ,9868717 ,5455 ,35.34,35.27,37.60,38.50,03/29,30.90,03/17,10.73
1440  南紡,2222713067 ,117821983 ,30669 ,18.87,18.77,19.55,19.80,03/29,17.40,03/15,7.73
1441  大東,23912848 ,2697666 ,927 ,8.86,8.91,8.90,9.20,03/08,8.41,03/15,4.10
1443  立益,20855986 ,5833787 ,1447 ,3.58,3.56,3.48,3.82,03/08,3.31,03/17,2.00
1444  力麗,2330400629 ,149557080 ,33536 ,15.58,15.66,15.80,16.70,03/08,13.75,03/17,19.09
1445  大宇,56342258 ,6370321 ,1798 ,8.84,8.89,9.08,9.35,03/24,8.00,03/17,4.59
1446  宏和,171856304 ,9216593 ,2575 ,18.65,18.03,18.60,19.95,03/28,16.65,03/15,6.65
1447  力鵬,2355513387 ,152572242 ,34672 ,15.44,15.63,14.80,17.35,03/03,13.30,03/17,23.37
1451  年興,591103442 ,25745383 ,8667 ,22.96,23.04,23.20,23.65,03/24,21.70,03/15,4.68
1452  宏益,204430514 ,12784499 ,3677 ,15.99,16.06,16.00,16.75,03/04,14.50,03/17,10.02
1453  大將,45368270 ,4350514 ,1629 ,10.43,10.25,10.10,10.90,03/11,9.75,03/15,6.14
1454  台富,23269803 ,2643394 ,909 ,8.80,8.85,8.60,9.18,03/11,8.25,03/17,1.98
1455  集盛,2900871893 ,146046773 ,33580 ,19.86,19.74,19.85,21.60,03/25,17.40,03/17,29.85
1457  宜進,964728615 ,80199383 ,18562 ,12.03,12.03,11.95,12.90,03/24,10.65,03/17,29.15
1459  聯發,546400506 ,31187304 ,9199 ,17.52,17.55,17.70,18.55,03/25,15.85,03/15,9.39
1460  宏遠,184224501 ,22348851 ,5102 ,8.24,8.17,7.81,9.47,03/01,7.26,03/17,4.74
1463  強盛,109670180 ,9901649 ,2323 ,11.08,11.14,11.20,12.65,03/01,9.65,03/16,5.26
1464  得力,118142887 ,11336766 ,3505 ,10.42,10.43,11.00,11.25,03/22,9.63,03/15,7.23
1465  偉全,107101318 ,6373952 ,1971 ,16.80,16.72,18.50,18.50,03/31,14.90,03/16,7.38
1466  聚隆,3680017509 ,93852647 ,30708 ,39.21,37.91,41.45,43.30,03/25,33.75,03/17,102.46
1467  南緯,71862317 ,6853673 ,2241 ,10.49,10.56,10.40,11.20,03/09,9.79,03/16,4.16
1468  昶和,26664571 ,1893442 ,901 ,14.08,13.63,13.15,15.45,03/03,12.00,03/17,1.18
1469  理隆,6405350 ,543000 ,281 ,11.80,11.60,11.30,12.50,03/02,10.75,03/16,0.44
1470  大統染,3963854 ,331174 ,120 ,11.97,12.02,11.70,12.60,03/28,11.10,03/14,0.39
1472  三洋纖,58134387 ,9008045 ,2549 ,6.45,6.38,6.30,6.95,03/14,6.00,03/16,10.29
1473  台南,798209607 ,20514526 ,9252 ,38.91,38.86,40.90,41.00,03/31,35.60,03/01,13.97
1474  弘裕,72922049 ,6916071 ,1813 ,10.54,10.61,10.20,11.20,03/02,9.58,03/29,5.02
1475  本盟,4121711 ,385325 ,209 ,10.70,10.43,11.30,11.55,03/04,9.22,03/29,0.83
1476  儒鴻,1262702720 ,34818279 ,13580 ,36.27,35.50,38.80,39.45,03/29,31.50,03/17,17.47
1477  聚陽,460794184 ,6755322 ,4175 ,68.21,68.34,69.00,69.80,03/02,66.30,03/15,4.25
4414  如興,111603692 ,8859285 ,3093 ,12.60,12.17,11.35,14.00,03/01,11.25,03/15,18.22
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,605819802 ,16808544 ,6156 ,36.04,36.09,36.30,37.00,03/14,34.20,03/15,3.23
1504  東元,9565467233 ,491522568 ,124292 ,19.46,18.74,20.60,21.25,03/30,17.05,03/15,26.86
1506  正道,180215906 ,6735178 ,2249 ,26.76,26.97,26.70,27.75,03/01,25.25,03/15,9.32
1507  永大,3003490038 ,67092664 ,30643 ,44.77,43.30,46.30,49.95,03/29,38.45,03/08,16.33
1512  瑞利,44769522 ,5127736 ,1413 ,8.73,8.74,8.70,9.18,03/01,8.10,03/16,2.82
1513  中興電,1367885028 ,76572242 ,24595 ,17.86,17.45,18.15,18.55,03/30,16.25,03/15,15.95
1514  亞力,335496394 ,29216789 ,9057 ,11.48,11.20,12.00,12.50,03/30,10.05,03/16,14.53
1515  力山,56153705 ,6918856 ,2215 ,8.12,8.03,7.94,8.62,03/01,7.45,03/16,3.02
1517  利奇,326506856 ,22580030 ,7180 ,14.46,14.44,14.55,15.30,03/09,13.35,03/15,9.91
1519  華城,1546279313 ,63289258 ,27379 ,24.43,22.99,25.95,26.80,03/30,19.85,03/15,24.24
1521  大億,1480087205 ,20897527 ,11755 ,70.83,69.10,68.20,77.80,03/08,61.80,03/16,27.41
1522  堤維西,222171125 ,12645589 ,5711 ,17.57,17.35,17.25,19.15,03/09,16.05,03/17,4.11
1524  耿鼎,78266291 ,8235548 ,2419 ,9.50,9.51,9.14,10.25,03/09,8.61,03/17,5.07
1525  江申,372471127 ,6994007 ,4076 ,53.26,53.30,52.10,56.90,03/09,48.85,03/16,10.61
1526  日馳,9352089 ,1310504 ,570 ,7.14,7.16,7.13,7.38,03/09,6.77,03/15,2.62
1527  鑽全,121053478 ,4796470 ,2873 ,25.24,25.15,25.00,26.85,03/07,23.95,03/15,3.02
1528  恩德,123970420 ,8182458 ,2830 ,15.15,15.22,15.50,16.20,03/04,13.95,03/17,6.61
1530  亞崴,115610832 ,3179949 ,1801 ,36.36,35.70,34.50,39.70,03/03,32.40,03/16,3.51
1531  高林股,4220167955 ,131451452 ,38621 ,32.10,31.78,32.80,35.50,03/22,28.20,03/02,68.06
1533  車王電,337513732 ,13600791 ,6667 ,24.82,23.75,24.25,27.20,03/11,21.00,03/16,14.11
1535  中宇,502289886 ,9767611 ,5294 ,51.42,51.11,54.30,54.50,03/30,48.30,03/15,8.64
1536  和大,390993241 ,24799729 ,6805 ,15.77,15.68,16.00,16.80,03/29,14.65,03/01,15.67
1537  廣隆,1570921876 ,25551263 ,13843 ,61.48,60.74,59.70,67.10,03/16,57.70,03/14,33.65
1538  正峰新,5723573230 ,121213896 ,49699 ,47.22,44.51,53.00,55.50,03/31,33.15,03/02,74.82
1539  巨庭,4407266 ,552885 ,304 ,7.97,8.06,7.68,8.79,03/01,7.41,03/17,0.85
1540  喬福,100895353 ,4508824 ,2502 ,22.38,22.56,23.05,23.90,03/04,21.20,03/15,5.28
1541  錩泰,20947064 ,1338352 ,797 ,15.65,15.74,15.15,17.00,03/14,13.80,03/17,1.70
1560  中砂,5581774883 ,79254787 ,39993 ,70.43,69.20,73.30,77.70,03/25,62.60,03/16,56.21
1583  程泰,41203032 ,1138068 ,753 ,36.20,35.75,34.75,39.50,03/01,32.45,03/17,1.20
1590  AIRTAC,3192040649 ,18095035 ,11037 ,176.40,177.48,194.00,197.00,03/31,155.00,03/01,12.06
2049  上銀,20213048643 ,106807766 ,70513 ,189.25,188.61,188.00,202.50,03/15,176.00,03/25,46.87
2231  為升,315002163 ,3996889 ,3069 ,78.81,75.69,78.60,86.90,03/10,65.90,03/02,6.66
4526  東台,5927026420 ,127826806 ,60133 ,46.37,45.84,45.30,50.50,03/08,40.55,03/17,61.78
4532  瑞智,1969764158 ,108513306 ,28132 ,18.15,18.02,18.15,18.90,03/04,16.50,03/15,29.09
6605  帝寶,282362043 ,3978545 ,2969 ,70.97,70.89,71.90,74.00,03/10,67.10,03/15,2.40
8374  羅昇,624888325 ,12465800 ,7825 ,50.13,49.35,48.75,53.30,03/08,46.00,03/17,19.71
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
1603  華電,173298055 ,15581667 ,4328 ,11.12,11.16,11.30,11.70,03/03,10.15,03/17,4.55
1605  華新,5865874165 ,386431199 ,74876 ,15.18,15.26,15.45,16.15,03/10,13.80,03/17,10.69
1608  華榮,270301164 ,24250638 ,5780 ,11.15,11.20,11.15,11.80,03/14,10.50,03/17,3.83
1609  大亞,173184230 ,21152508 ,5421 ,8.19,8.27,8.27,8.65,03/04,7.37,03/17,3.68
1611  中電,1946337484 ,75124036 ,26172 ,25.91,25.74,26.55,27.50,03/07,23.60,03/17,19.13
1612  宏泰,252729754 ,18172898 ,7385 ,13.91,13.95,14.20,14.45,03/30,12.90,03/15,5.61
1613  台一,105807402 ,15265033 ,3385 ,6.93,6.85,6.76,7.50,03/01,6.30,03/17,7.63
1614  三洋電,129105235 ,3946901 ,1809 ,32.71,32.94,32.55,34.20,03/08,30.90,03/15,1.25
1615  大山,34211738 ,2324663 ,1072 ,14.72,14.53,14.85,15.60,03/29,13.70,03/17,2.18
1616  億泰,96959123 ,13686560 ,2952 ,7.08,7.11,7.21,7.50,03/14,6.70,03/15,7.05
1617  榮星,267790978 ,21488226 ,6800 ,12.46,12.38,13.00,13.50,03/31,11.00,03/17,18.19
1618  合機,408457730 ,20543120 ,7309 ,19.88,19.84,20.75,21.05,03/29,18.00,03/17,8.78
4930  燦星網,1372640923 ,41284468 ,21262 ,33.25,33.64,31.75,39.00,03/04,28.80,03/17,18.89
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,3223697968 ,87923010 ,33981 ,36.67,36.86,37.20,39.10,03/07,33.40,03/15,4.25
1806  冠軍,3187649712 ,132080046 ,41226 ,24.13,23.59,23.50,25.65,03/14,22.45,03/07,31.29
1809  中釉,2326462331 ,89964165 ,37474 ,25.86,24.63,26.60,28.20,03/28,22.45,03/17,47.39
1810  和成,900489922 ,76595680 ,18232 ,11.76,11.53,11.70,12.50,03/14,10.85,03/17,20.31
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,1802241798 ,104495033 ,22605 ,17.25,16.99,17.60,18.45,03/24,15.40,03/17,27.21
1903  士紙,383537663 ,6496771 ,3870 ,59.04,59.38,58.00,62.00,03/04,54.60,03/15,2.50
1904  正隆,611055662 ,45257208 ,12811 ,13.50,13.55,13.90,14.05,03/24,12.70,03/17,4.39
1905  華紙,2522068706 ,156125286 ,36927 ,16.15,15.90,16.30,16.90,03/24,14.70,03/15,26.09
1906  寶隆,15761542 ,1991610 ,792 ,7.91,7.99,8.00,8.31,03/01,7.40,03/17,1.32
1907  永豐餘,710194437 ,57130732 ,15216 ,12.43,12.54,12.70,12.95,03/09,11.40,03/17,3.49
1909  榮成,550669914 ,48138203 ,12004 ,11.44,11.45,11.85,12.00,03/23,10.35,03/15,6.91
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,280769166 ,9438386 ,5391 ,29.75,29.85,30.00,31.45,03/14,27.95,03/17,2.73
2002  中鋼,24983466015 ,728272667 ,213486 ,34.31,34.29,35.15,35.25,03/30,33.35,03/11,5.38
2002A 中鋼特,15391550 ,381000 ,152 ,40.40,40.39,40.80,41.20,03/14,39.95,03/16,1.00
2006  東鋼,5435034129 ,162802394 ,58545 ,33.38,32.80,34.15,35.60,03/30,30.00,03/11,16.68
2007  燁興,114076914 ,14254316 ,3842 ,8.00,8.04,8.07,8.33,03/14,7.63,03/17,2.31
2009  第一銅,274466184 ,20230789 ,7298 ,13.57,13.47,14.20,14.30,03/30,12.55,03/15,5.63
2010  春源,463969325 ,30620277 ,8417 ,15.15,15.08,15.50,15.70,03/31,14.05,03/15,5.16
2012  春雨,78473134 ,8192259 ,2558 ,9.58,9.57,9.65,9.98,03/15,9.00,03/16,2.85
2013  中鋼構,1694841489 ,56435935 ,24345 ,30.03,28.95,31.30,32.65,03/30,26.20,03/11,35.07
2014  中鴻,4432487688 ,247316870 ,60770 ,17.92,17.79,17.80,18.90,03/08,16.35,03/15,17.92
2015  豐興,2957306434 ,57774386 ,23576 ,51.19,50.96,52.20,53.30,03/30,48.50,03/11,9.93
2017  官田鋼,1022136303 ,87248786 ,21553 ,11.72,11.62,11.75,12.30,03/21,10.85,03/15,25.81
2020  美亞,539781201 ,26273656 ,8636 ,20.54,21.46,20.85,23.00,03/04,18.55,03/17,10.30
2022  聚亨,1131872280 ,127725075 ,22492 ,8.86,8.84,8.80,9.38,03/01,8.28,03/17,26.40
2023  燁輝,584613251 ,52737590 ,13282 ,11.09,11.00,11.30,11.55,03/31,10.35,03/15,3.45
2024  志聯,110737818 ,13105687 ,3724 ,8.45,8.42,8.66,8.81,03/30,7.86,03/17,14.08
2025  千興,269226422 ,35919157 ,7056 ,7.50,7.48,7.15,8.05,03/02,7.00,03/17,11.13
2027  大成鋼,773959447 ,37998458 ,13915 ,20.37,20.28,20.40,21.25,03/08,19.10,03/16,5.84
2028  威致,241895541 ,25815109 ,6949 ,9.37,9.29,9.31,9.90,03/14,8.70,03/17,9.74
2029  盛餘,220195912 ,10163203 ,3898 ,21.67,21.37,21.20,22.70,03/15,20.90,03/11,3.16
2030  彰源,553734136 ,30095724 ,10560 ,18.40,18.39,18.50,20.25,03/01,16.70,03/17,11.03
2031  新光鋼,2553363828 ,80276620 ,30636 ,31.81,31.85,32.50,33.30,03/01,30.25,03/15,29.49
2032  新鋼,140135797 ,7500455 ,3664 ,18.68,18.66,18.70,19.65,03/14,17.50,03/17,5.92
2033  佳大,54920282 ,3351414 ,1562 ,16.39,16.39,16.30,17.50,03/14,15.50,03/16,4.15
2034  允強,893270323 ,37190440 ,13535 ,24.02,23.96,24.30,25.70,03/01,22.35,03/15,10.06
2038  海光,88663315 ,5376256 ,2408 ,16.49,16.34,16.30,17.30,03/15,15.50,03/17,3.09
9958  世紀鋼,394105115 ,33389924 ,10101 ,11.80,11.62,12.00,12.60,03/01,11.10,03/11,24.16
11 橡膠工業類,,,,,,,,,,,
Rubber,,,,,,,,,,,
2101  南港,3161506819 ,70145955 ,27357 ,45.07,44.85,44.80,47.75,03/01,42.05,03/15,10.36
2102  泰豐,785714671 ,39845240 ,13871 ,19.72,19.43,18.95,21.05,03/09,18.00,03/17,11.00
2103  台橡,7690841950 ,108309768 ,49416 ,71.01,70.23,75.50,75.70,03/31,65.20,03/15,16.67
2104  中橡,670735854 ,24270314 ,9524 ,27.64,27.82,27.95,28.95,03/09,25.65,03/17,4.42
2105  正新,13011051812 ,196862581 ,79217 ,66.09,65.33,68.20,69.40,03/18,59.50,03/02,9.55
2106  建大,4470191438 ,125107901 ,48228 ,35.73,35.73,36.60,38.00,03/18,32.55,03/15,20.16
2107  厚生,3082498929 ,113157359 ,37647 ,27.24,27.10,27.95,28.95,03/02,23.65,03/15,22.47
2108  南帝,738544180 ,29325202 ,10056 ,25.18,25.09,24.90,26.50,03/24,22.70,03/17,8.59
2109  華豐,383076180 ,39306466 ,11013 ,9.75,9.48,9.84,10.40,03/11,8.95,03/15,12.19
2114  鑫永銓,369803829 ,9928424 ,4727 ,37.25,36.48,37.70,39.50,03/28,32.35,03/15,16.49
12 汽車工業類,,,,,,,,,,,
Automobile,,,,,,,,,,,
2201  裕隆,20098130615 ,364752534 ,140779 ,55.10,55.57,54.30,60.40,03/09,50.70,03/15,23.19
2204  中華,2836195161 ,120005199 ,42047 ,23.63,23.95,24.05,26.30,03/09,21.55,03/16,8.67
2206  三陽,2032674226 ,119769636 ,21343 ,16.97,16.88,17.35,17.95,03/01,15.90,03/17,14.16
2207  和泰車,436259035 ,5143306 ,3157 ,84.82,85.55,86.50,88.40,03/04,80.90,03/15,0.94
2227  裕日車,1403263537 ,11884146 ,8009 ,118.08,117.54,109.50,133.00,03/07,105.00,03/29,3.96
14 建材營造類,,,,,,,,,,,
Building Material and Construction,,,,,,,,,,,
1436  福益,44699893 ,4855045 ,771 ,9.21,9.24,9.13,9.64,03/01,8.60,03/17,1.47
1442  名軒,176324397 ,7395482 ,2235 ,23.84,23.77,22.55,26.00,03/02,21.80,03/15,4.28
1808  國賓大,177116383 ,6642477 ,2273 ,26.66,26.18,25.40,28.90,03/02,24.05,03/15,4.89
2501  國建,2567579222 ,181506672 ,46216 ,14.15,14.17,14.30,15.30,03/10,12.70,03/17,10.96
2504  國產,1875336386 ,147215184 ,33073 ,12.74,12.82,12.95,13.50,03/04,11.65,03/17,9.79
2505  國揚,2258882570 ,106402885 ,31647 ,21.23,20.88,20.50,23.10,03/11,18.70,03/17,24.04
2509  全坤建,422274645 ,17732112 ,6692 ,23.81,23.76,24.00,25.55,03/10,21.00,03/16,11.72
