,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3094  聯傑,671197662,34104514,15178,19.68,18.54,21.15,22.35,1月30日,16.8,1月2日,39.99
3189  景碩,4276595057,46465404,28341,92.04,91.59,92.6,95,1月3日,88.6,1月25日,10.42
3257  虹冠電,289122680,9964034,5459,29.02,28.73,29,30.2,1月11日,27.5,1月8日,25.73
3443  創意,2509979487,25620121,17647,97.97,97.1,95.9,106,1月3日,92.1,1月25日,19.12
3519  綠能,7832809627,294348031,109802,26.61,25.93,25.8,29.9,1月15日,23.85,1月2日,91.45
3532  台勝科,154389291,4790356,2932,32.23,31.64,30.3,34.6,1月15日,29.5,1月25日,0.62
3545  旭曜,3222867931,80679416,40452,39.95,39.24,39.55,43.3,1月3日,35.85,1月17日,58.2
3559  全智科,452648300,25726409,10815,17.59,17.34,17.25,18.7,1月15日,16.1,1月2日,21.91
3579  尚志,1512688565,54134940,25772,27.94,27.17,26.15,30.75,1月15日,24.65,1月2日,46.84
3588  通嘉,91194092,1922804,1463,47.43,47.47,46.05,50.8,1月3日,45.2,1月18日,4.28
3598  奕力,5826883201,60420488,38995,96.44,95.84,96,99.7,1月7日,91.2,1月17日,88.42
3638  F-IML,1686620412,18640664,12234,90.48,89.85,88.7,95.4,1月4日,83.6,1月17日,23.02
3686  達能,5989417385,380350973,97988,15.75,15.33,14.4,18.6,1月15日,13.45,1月2日,144.25
3697  F-晨星,10005146244,47914569,28095,208.81,212.59,224.5,224.5,1月31日,195.5,1月16日,9
4919  新唐,1167143786,33527816,18391,34.81,34.48,36.8,37.2,1月29日,32.1,1月2日,16.15
4952  凌通,414089718,19332771,6500,21.42,20.77,20.2,23.35,1月7日,19.5,1月2日,17.77
5269  祥碩,1001042245,13898021,10026,72.03,70.52,76.7,77.6,1月31日,65.3,1月16日,24.65
5305  敦南,378588803,25782241,10417,14.68,14.46,14.95,15.55,1月2日,13.75,1月17日,5.76
5471  松翰,835644712,20020232,11658,41.74,41.09,42.15,43.5,1月24日,39,1月2日,11.93
6145  勁永,676602862,46899567,14375,14.43,13.74,20.5,22,1月30日,12,1月2日,26.72
6202  盛群,217236725,7168940,3573,30.3,30.27,30.7,31,1月29日,29.6,1月2日,3.21
6239  力成,7076026604,155753948,49662,45.43,46.08,44.4,48.45,1月3日,43.8,1月31日,19.99
6243  迅杰,71663395,5236532,2503,13.69,13.65,13.4,14.3,1月15日,13.15,1月17日,6.95
6257  矽格,1004128649,38337162,17012,26.19,26.05,26.6,26.8,1月31日,25.35,1月17日,10.46
6271  同欣電,5120445900,47044909,24479,108.84,107.75,113.5,114.5,1月30日,101.5,1月2日,28.88
6286  立錡,3417841084,19092933,14873,179.01,178.2,177.5,187,1月11日,171,1月2日,12.77
8016  矽創,990120434,24202411,13274,40.91,40.69,41.7,42.3,1月4日,38.6,1月17日,20.48
8081  致新,2213160415,21037814,15033,105.2,102.46,99.5,119,1月2日,96.2,1月22日,24.41
8110  華東,308674860,34689176,9270,8.9,8.75,8.58,9.3,1月15日,8.4,1月2日,6.9
8131  福懋科,99888948,5881727,3134,16.98,16.85,16.6,18.2,1月15日,16.15,1月28日,1.33
8261  富鼎,41619652,4150806,1768,10.03,9.93,9.74,10.5,1月3日,9.58,1月24日,2.95
8271  宇瞻,1893321989,69943108,27176,27.07,26.8,27,28.7,1月15日,25.5,1月4日,53.47
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,4757922280,118337698,46915,40.21,39.85,42.5,43.25,1月31日,38,1月10日,5.16
2305  全友,16222512,5600359,1422,2.9,2.86,2.85,3.03,1月14日,2.8,1月21日,2.72
2315  神達,1646388477,152486924,33687,10.8,10.59,11.05,11.45,1月31日,10.15,1月17日,9.97
2324  仁寶,8670297281,419433937,114928,20.67,20.43,21.45,22,1月30日,19,1月8日,9.51
2331  精英,1180738835,123154295,28532,9.59,9.44,9.21,9.95,1月4日,9.05,1月2日,10.41
2352  佳世達,1211202115,168632890,40947,7.18,7.04,7.23,7.6,1月3日,6.61,1月17日,8.57
2353  宏碁,10478222562,419002556,126496,25.01,24.81,26.05,26.1,1月30日,23.9,1月28日,14.78
2356  英業達,1346817379,114183585,33907,11.8,11.68,11.8,12.55,1月7日,11.05,1月2日,3.18
2357  華碩,22746433125,69083749,45242,329.26,330.66,338,343,1月30日,316.5,1月4日,9.18
2358  美格,37479046,3210670,1300,11.67,11.59,11.2,12.3,1月23日,11.2,1月31日,4.94
2362  藍天,1731737998,45517613,24781,38.05,37.51,41,42.9,1月31日,34.8,1月8日,6.49
2364  倫飛,25723620,8031971,2277,3.2,3.18,3.01,3.4,1月4日,3,1月31日,4.22
2365  昆盈,87560196,9403523,3194,9.31,9.28,8.95,9.8,1月4日,8.95,1月31日,3.08
2376  技嘉,496555795,19092716,9252,26.01,26.07,25.4,26.85,1月3日,25.1,1月17日,3.05
2377  微星,309577553,22285343,8542,13.89,13.87,13.65,14.2,1月3日,13.55,1月17日,2.64
2380  虹光,40265582,4653089,1622,8.65,8.61,8.6,9.13,1月2日,8.32,1月28日,2.11
2382  廣達,17485366614,270465193,106626,64.65,64.69,68.9,69,1月31日,61.4,1月8日,7.03
2385  群光,6402962734,85104454,47135,75.24,75.27,81.9,81.9,1月31日,68,1月2日,12.59
2387  精元,45809891,3716190,1896,12.33,12.27,12.05,12.7,1月16日,11.8,1月29日,1
2395  研華,1307623265,10849995,7680,120.52,120.89,123.5,124,1月30日,117.5,1月25日,1.92
2397  友通,338967596,12773726,5366,26.54,26.71,27.35,28.95,1月23日,24.6,1月9日,11.12
2399  映泰,114367672,10329406,3448,11.07,11.03,11.3,11.45,1月22日,10.7,1月9日,5.8
