,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3501  維熹,97277987,2367091,1601,41.1,40.97,41.1,42.15,1月8日,40.2,1月21日,2.13
3533  嘉澤,855168242,9793112,7550,87.32,86.71,86.5,90.8,1月2日,84,1月17日,10.48
3550  聯穎,8832045,735271,396,12.01,12.03,12.15,12.45,1月2日,11.6,1月18日,0.87
3605  宏致,166223259,4773065,3270,34.83,34.81,33.25,36.8,1月3日,32.1,1月28日,3.84
3607  谷崧,635042553,10328110,5915,61.49,60.72,62.6,63.9,1月29日,57.9,1月17日,9.19
3645  達邁,254207572,8081303,4608,31.46,31.43,29.65,34.75,1月2日,28.8,1月29日,7.1
3653  健策,489955988,7625082,6161,64.26,63.66,63.7,68.3,1月3日,60.3,1月21日,7.14
3679  新至陞,311655350,5847305,4114,53.3,52.1,52.6,57.1,1月22日,49.25,1月14日,7.2
4958  F-臻鼎,10924039556,155883645,81647,70.08,69.59,72.5,76.4,1月4日,64.9,1月16日,22.16
5469  瀚宇博,224712649,17115336,5603,13.13,13.08,13.1,13.5,1月8日,12.6,1月17日,3.74
6108  競國,167118160,8760197,3987,19.08,18.98,18.95,19.75,1月8日,18.2,1月17日,5.48
6115  鎰勝,113463837,2719662,1448,41.72,41.82,42.25,42.4,1月31日,40.5,1月2日,1.66
6133  金橋,15456953,1745028,537,8.86,8.84,8.93,9.12,1月29日,8.52,1月7日,1.69
6141  柏承,13536859,1166373,456,11.61,11.63,11.7,11.9,1月7日,11,1月28日,0.86
6153  嘉聯益,2376951100,62981285,32496,37.74,37.6,37.6,39.8,1月3日,35.8,1月28日,19.39
6155  鈞寶,23594677,1171050,710,20.15,19.86,20.95,21.25,1月30日,17.55,1月4日,1.43
6165  捷泰,9405003,2204206,761,4.27,4.25,4.32,4.58,1月28日,4,1月24日,2.32
6191  精成科,110905952,10896578,3673,10.18,10.14,10.05,10.65,1月4日,9.89,1月25日,2.05
6205  詮欣,18799194,1198232,569,15.69,15.58,15.55,16.35,1月3日,15.25,1月25日,1.67
6213  聯茂,651884317,21487577,9464,30.34,30.15,31.4,31.4,1月31日,29.5,1月17日,6.47
6224  聚鼎,307207490,5533126,3807,55.52,54.85,57.7,58.7,1月31日,52.3,1月2日,6.94
6251  定穎,105884512,11138181,3224,9.51,9.48,9.35,9.8,1月3日,9.06,1月17日,3.79
6269  台郡,11232316355,115455329,70299,97.29,97.29,100,105.5,1月3日,92,1月16日,60.59
6282  康舒,2178160537,100323353,34529,21.71,21.5,22.65,22.8,1月31日,20.5,1月9日,19.48
8039  台虹,1261137522,34258229,16451,36.81,36.37,36.95,39.25,1月7日,34.2,1月17日,16.92
8046  南電,1635795547,44125758,22515,37.07,36.11,36.8,39.3,1月16日,34.85,1月9日,6.83
8103  瀚荃,229491191,5651655,3264,40.61,40.6,40.5,42,1月3日,39.7,1月21日,7.64
8163  達方,1375592292,69300160,26166,19.85,19.38,18.65,21.35,1月10日,18.4,1月17日,21.73
8213  志超,1871364322,44597567,23321,41.96,41.81,41.75,43.4,1月3日,40.2,1月18日,17.75
8249  菱光,272354876,17604784,6293,15.47,15.16,15.05,16.25,1月10日,14.5,1月18日,13.86
29 電子通路業類,,,,,,,,,,,
Electronic Products Distribution,,,,,,,,,,,
2347  聯強,9719794989,167885544,69050,57.9,57.93,59.9,61.3,1月30日,53.3,1月2日,10.62
2359  所羅門,51142880,4325677,1556,11.82,11.82,11.75,12.15,1月2日,11.55,1月17日,2.3
2414  精技,36502496,2537152,1101,14.39,14.35,14.5,14.7,1月16日,14.2,1月18日,1.57
2430  燦坤,233229988,3973461,2823,58.7,58.7,58.1,60,1月14日,57.6,1月17日,2.37
2459  敦吉,113420249,4451231,2219,25.48,24.82,26.6,26.6,1月31日,24.3,1月21日,3.07
3010  華立,344952684,8704418,4797,39.63,39.53,40,40.3,1月4日,39,1月23日,3.76
3028  增你強,120900538,6762390,3203,17.88,17.85,18,18.5,1月21日,17.5,1月9日,3.17
3033  威健,174147997,8212228,2129,21.21,21.24,21.3,21.5,1月7日,20.95,1月2日,3.37
3036  文曄,587118461,16085256,9464,36.5,36.41,37.6,37.8,1月30日,35.3,1月7日,4.77
3040  遠見,44241584,3033430,1174,14.58,14.5,14.6,15.15,1月14日,14.05,1月17日,2.92
3048  益登,35714985,3283814,1259,10.88,10.82,10.95,11.3,1月16日,10.45,1月2日,2.04
3055  蔚華科,35836464,2861049,916,12.53,12.48,12.55,13.1,1月17日,12.05,1月8日,2.19
3209  全科,126212792,6196208,3232,20.37,20.66,19.8,21.85,1月3日,19.2,1月30日,6.55
3312  弘憶股,31905374,3208033,1175,9.95,9.91,10,10.25,1月14日,9.75,1月21日,3.68
3315  宣昶,17260491,923051,588,18.7,18.7,18.6,19.4,1月7日,18.1,1月25日,1.31
3702  大聯大,2203196205,56056582,29491,39.3,39.26,39.7,40.15,1月30日,38.1,1月8日,3.39
5434  崇越,487392665,10050674,6110,48.49,48.42,49.1,49.3,1月31日,47.25,1月17日,6.74
6189  豐藝,127754756,5258449,2247,24.3,24.3,24.45,24.6,1月10日,24,1月7日,2.94
6281  全國電,224028964,3306600,2364,67.75,67.77,68.4,68.5,1月31日,66.4,1月8日,3.33
8070  長華,310070845,3334305,2311,92.99,92.67,93.3,95.8,1月16日,90.4,1月9日,4.62
8112  至上,686315274,51309988,15174,13.38,12.84,14.2,14.45,1月30日,11.6,1月9日,29.55
30 資訊服務業類,,,,,,,,,,,
Information Service,,,,,,,,,,,
2427  三商電,211777107,22370940,7215,9.47,9.18,9.21,9.99,1月16日,8.8,1月9日,11.75
2453  凌群,58200243,4934603,1756,11.79,11.7,11.65,12.2,1月11日,11.2,1月17日,4.93
2468  華經,9818096,986404,331,9.95,9.99,10.3,10.3,1月31日,9.68,1月2日,1.41
2471  資通,58795159,3582097,1663,16.41,16.27,16.3,17.1,1月10日,15.6,1月17日,7.58
2480  敦陽科,182872090,7276266,3330,25.13,25.04,24.8,26.05,1月2日,24.3,1月17日,5.47
3021  衛展,4033431,338478,195,11.92,11.94,11.7,12.3,1月11日,11.65,1月30日,0.89
3029  零壹,139946181,9569218,4458,14.62,14.34,14.45,15.45,1月10日,13.9,1月25日,10.1
3130  一零四,23273100,291799,277,79.76,79.39,79.9,81.9,1月16日,76,1月11日,0.86
5203  訊連,491667215,5293170,3897,92.89,93.02,91.3,97.5,1月4日,90.4,1月11日,5.61
6112  聚碩,191556906,6683582,3120,28.66,28.7,29,29.6,1月10日,27.5,1月17日,8.42
6183  關貿,150269437,6301278,2116,23.85,23.79,23.7,24.75,1月15日,23.2,1月28日,4.2
6214  精誠,265153099,7701670,4155,34.43,33.9,35.9,36.5,1月28日,32.05,1月8日,2.96
31 其他電子業類,,,,,,,,,,,
Other Electronic,,,,,,,,,,,
2312  金寶,258926814,39341269,8624,6.58,6.56,6.64,6.79,1月30日,6.39,1月17日,2.7
2317  鴻海,77724751170,906314905,380649,85.76,85.82,84.4,89.9,1月2日,82.2,1月25日,7.66
2354  鴻準,17171521590,196950705,113338,87.19,87.01,86.3,92.3,1月2日,83,1月24日,15.92
2360  致茂,354501970,5616512,3952,63.12,63.03,63.3,64.9,1月3日,61.6,1月25日,1.49
2371  大同,2950445097,379109152,51952,7.78,7.67,8,8.26,1月31日,7.25,1月17日,16.2
2373  震旦行,148692786,3445557,1955,43.15,43.3,43.35,44,1月3日,42.5,1月8日,1.02
2390  云辰,3042424843,167119916,56871,18.21,17.66,20.05,21.6,1月25日,13.35,1月2日,77.62
2404  漢唐,186037899,7508312,3610,24.78,24.68,24.7,25.4,1月16日,24.2,1月24日,3.15
2423  固緯,12242935,701604,371,17.45,17.45,17.45,17.75,1月3日,17.25,1月9日,0.6
2433  互盛電,57783573,2010796,1479,28.74,28.67,28.85,29.1,1月23日,28.25,1月17日,1.39
2461  光群雷,532588272,41957408,11634,12.69,12.32,12.8,13.55,1月29日,11.6,1月17日,31.45
2464  盟立,110900407,5411084,3034,20.5,20.37,20.6,21.65,1月2日,19.7,1月17日,2.96
2477  美隆電,34318984,2688349,1278,12.77,12.51,12.25,13.45,1月2日,12,1月24日,1.13
2482  連宇,89850590,7868097,2900,11.42,11.11,11.7,12.15,1月29日,10.25,1月11日,12.68
2488  漢平,62332653,5594746,1923,11.14,10.96,11.1,11.8,1月24日,10,1月2日,6.99
2495  普安,142852791,8377431,4113,17.05,16.81,18.2,18.5,1月31日,15.6,1月2日,2.95
2497  怡利電,791175423,28592333,13634,27.67,27.12,26.3,29.5,1月11日,25.4,1月28日,24.07
3018  同開,151810951,9658588,613,15.72,14.59,14.55,15.45,1月25日,13.6,1月2日,21.2
3030  德律,1736226555,32901815,16517,52.77,52.82,53.5,56,1月3日,50.8,1月11日,14.76
3043  科風,1179034685,77039503,30822,15.3,14.96,14.55,16.7,1月15日,13.4,1月28日,39.53
3052  夆典,95018766,9637786,2606,9.86,9.83,9.95,10.2,1月14日,9.54,1月2日,4.97
3305  昇貿,71976609,2240887,1604,32.12,32.06,31.65,33.2,1月7日,31.2,1月25日,1.89
3450  聯鈞,2036488792,40838983,23764,49.87,49.42,52.1,53.3,1月30日,46.25,1月17日,53.29
3518  柏騰,105529863,2963389,1404,35.61,35.56,36.65,37.65,1月23日,34.4,1月9日,3.52
3617  碩天,146322230,2775541,1951,52.72,52.62,53.3,54.7,1月23日,51.5,1月18日,3.5
3665  F-貿聯,685193348,18550964,9194,36.94,35.74,38,40.3,1月24日,33.1,1月7日,25.28
5225  F-東科,197555562,3110063,723,63.52,63.47,63.8,65.2,1月2日,62,1月16日,5.12
6139  亞翔,46049029,1679375,1077,27.42,27.45,27.9,27.95,1月31日,27,1月25日,0.89
6192  巨路,1047018229,16068983,10845,65.16,65.02,67,68.6,1月24日,61.4,1月4日,13.54
6196  帆宣,990488578,52730718,17686,18.78,18.24,18.2,20.15,1月15日,17,1月9日,32.04
6197  佳必琪,332657248,12710640,6572,26.17,25.71,25.1,27.45,1月11日,24.5,1月25日,7.33
6201  亞弘電,27701371,991163,623,27.95,27.74,28.9,29.35,1月28日,27.2,1月3日,1.11
6215  和椿,34181113,2814921,1027,12.14,11.93,12.8,12.8,1月31日,11.6,1月3日,3.4
8021  尖點,373588547,20774389,7718,17.98,17.53,17.8,18.85,1月15日,17.05,1月8日,13.26
8201  無敵,87552673,5749399,2479,15.23,14.99,15.65,16.2,1月31日,14.2,1月8日,6.45
20 其他類,,,,,,,,,,,
Others,,,,,,,,,,,
1435  中福,80992852,11827579,3402,6.85,6.76,6.8,7.13,1月3日,6.49,1月23日,8.46
2062  橋椿,36191549,1203302,666,30.08,29.92,29.8,30.8,1月2日,29.5,1月29日,0.74
2514  龍邦,3844059413,114684931,30611,33.52,33.78,34.55,37.15,1月24日,28.8,1月2日,20.36
2904  匯僑,92530991,3733850,1998,24.78,24.69,25.1,25.6,1月15日,24,1月2日,5.41
5871  F-中租,11353689748,160764254,80245,70.62,70.07,79,79.5,1月28日,63.5,1月4日,17.76
6184  大豐電,120241879,2041821,1627,58.89,58.77,58.7,60.8,1月2日,57.5,1月17日,2.65
8033  雷虎,30990107,3493081,1495,8.87,8.75,8.65,9.36,1月2日,8.5,1月14日,4.04
8404  F-百和,66210370,4319851,1592,15.33,14.73,14.1,17.2,1月2日,13.8,1月31日,1.88
8411  F-福貞,26018444,485876,386,53.55,53.52,53.5,55.1,1月9日,51.6,1月28日,0.64
8422  可寧衛,1101424636,5653473,4608,194.82,193.55,194.5,203,1月21日,190.5,1月18日,5.19
8427  F-基勝,25681796,412543,349,62.25,61.5,62.1,65.4,1月4日,60.1,1月24日,0.38
9802  F-鈺齊,86585915,3247609,1050,26.66,26.63,26.75,27.2,1月10日,26.2,1月8日,2.74
9902  台火,81507596,7929084,2672,10.28,10.13,10.25,10.65,1月2日,9.6,1月7日,8.09
9904  寶成,3828547255,126050757,46232,30.37,30.36,29.5,31.75,1月3日,29.25,1月25日,4.28
9905  大華,171276326,5034454,2823,34.02,33.95,33.95,34.65,1月10日,33.1,1月17日,1.65
9906  興達,409635363,10099730,6811,40.56,39.92,40.8,44,1月21日,37,1月4日,32.56
9907  統一實,860590891,50101776,16899,17.18,17.17,17.2,17.65,1月7日,16.7,1月28日,3.17
9910  豐泰,255021346,7283863,4418,35.01,35.15,35.9,36.1,1月31日,34,1月18日,1.36
9911  櫻花,651085593,37516140,12834,17.35,17.11,17.3,18.2,1月22日,16.5,1月7日,13.57
9914  美利達,3607767048,28302199,19845,127.47,127.32,135,135,1月31日,122,1月15日,9.94
9917  中保,480515317,7419065,5591,64.77,64.76,65.2,66.5,1月31日,64,1月8日,1.67
9919  康那香,214119310,15434812,6624,13.87,13.45,13.25,14.55,1月16日,13.15,1月25日,7.83
9921  巨大,2092470280,13198016,9416,158.54,160.07,157,168,1月2日,152,1月25日,3.52
9924  福興,185673574,7019799,3445,26.45,26.42,26.8,27.2,1月14日,25.5,1月3日,3.72
9925  新保,214130796,6107174,3485,35.06,35.1,35.35,35.4,1月31日,34.75,1月4日,1.61
9927  泰銘,202883496,6390915,3053,31.75,31.7,32.3,32.5,1月3日,30.55,1月17日,3.13
9928  中視,34061145,2110127,940,16.14,16.03,15.8,16.45,1月11日,15.55,1月25日,1.59
9929  秋雨,45447121,10225148,2173,4.44,4.1,4.71,5.1,1月30日,3.78,1月4日,6.85
9930  中聯資,149965385,2998148,2147,50.02,49.93,51.4,52.8,1月29日,48.7,1月8日,1.33
9933  中鼎,1927106043,33383736,19916,57.73,57.73,56.5,60,1月11日,56.3,1月4日,4.56
9934  成霖,88929320,5724381,2961,15.54,15.35,15.15,16.15,1月8日,14.95,1月28日,1.9
9935  慶豐富,16126239,2539669,818,6.35,6.34,6.25,6.53,1月17日,6.15,1月2日,2.13
9938  百和,88552836,5064903,2900,17.48,17.45,17,18.2,1月4日,16.95,1月29日,1.7
9939  宏全,4698245106,66221840,33602,70.95,71.08,73.5,74.5,1月10日,63.9,1月2日,25.48
9940  信義,356029995,8014522,5064,44.42,44.33,45.4,45.8,1月11日,42.3,1月7日,1.72
9941  裕融,2290586580,33274599,19176,68.84,68.43,71.3,71.7,1月31日,65.8,1月17日,14.11
9942  茂順,96473746,1924442,1214,50.13,50.1,50.4,50.7,1月29日,48.75,1月2日,2.31
9943  好樂迪,162312758,4007812,2695,40.5,40.5,40.25,42.3,1月2日,38.55,1月28日,2.72
9944  新麗,24554950,1391627,584,17.64,17.68,18,18.4,1月23日,16.4,1月2日,1.38
9945  潤泰新,10715589848,167110040,80309,64.12,63.91,65,67.6,1月4日,60,1月17日,17.04
9955  佳龍,58811614,2048206,1248,28.71,28.54,27.55,29.8,1月11日,27,1月29日,1.92
全額交割股票,,,,,,,,,,,
Stocks Requiring Full Delivery,,,,,,,,,,,
1438  裕豐,3409268,1014052,165,3.36,3.35,3.37,3.66,1月14日,3,1月9日,0.99
1449  佳和,885737,454785,203,1.95,1.97,1.86,2.1,1月4日,1.75,1月31日,0.24
1456  怡華,5599224,2213081,252,2.53,2.5,2.35,3,1月2日,2.08,1月23日,1.32
1516  川飛,25942726,2078452,648,12.48,12.01,10.55,14.85,1月14日,8.29,1月2日,11.35
1529  樂士,5883412,2720483,305,2.16,2.03,2.2,2.28,1月15日,1.7,1月2日,1.7
2008  高興昌,7929952,1143537,321,6.93,6.91,7,7.19,1月18日,6.5,1月10日,0.27
2321  東訊,3716465,1772336,500,2.1,2.05,2.05,2.55,1月8日,1.84,1月17日,0.6
2348  力廣,2675576,94505,327,28.31,28.67,34.65,34.65,1月31日,25.05,1月24日,0.54
2361  鴻友,915009,559366,326,1.64,1.65,2.03,2.03,1月31日,1.35,1月4日,0.77
2408  南科,104093332,37531850,3622,2.77,2.76,2.74,3.06,1月15日,2.48,1月2日,0.93
2429  銘旺科,326618,52453,38,6.23,7.63,5.13,10.3,1月14日,4.8,1月29日,0.26
2438  英誌,327661,125909,265,2.6,2.61,2.67,3,1月2日,2.51,1月11日,0.26
2475  華映,69373961,71830962,5379,0.97,0.98,0.86,1.03,1月17日,0.86,1月31日,1.11
2491  吉祥全,475870,221657,286,2.15,2.14,2.19,2.6,1月25日,1.86,1月3日,0.36
2496  卓越,1799202,193700,154,9.29,9.48,9.25,10,1月3日,8.47,1月31日,0.54
2540  金尚昌,5,1,1,5,0,0,0,1月31日,0,1月2日,0
3051  力特,4406831,2124218,594,2.07,2.09,2.17,2.27,1月4日,1.86,1月22日,0.79
3474  華亞科,794120211,170430919,18081,4.66,4.47,4.95,5.18,1月29日,3.6,1月2日,3.67
6116  彩晶,242619352,72652007,10939,3.34,3.31,3.34,3.59,1月29日,3.12,1月10日,2.48
6172  互億,5180265,870737,634,5.95,5.83,5.65,6.75,1月8日,4.98,1月28日,1.87
6225  天瀚,1376566,321423,289,4.28,4.29,4.38,4.5,1月14日,4.1,1月2日,0.64
受益憑證,,,,,,,,,,,
Beneficiary Certificates,,,,,,,,,,,
封閉式基金,,,,,,,,,,,
Closed-end Fund,,,,,,,,,,,
0015  富邦,30860980,4075000,276,7.57,7.53,7.51,7.65,1月10日,7.34,1月25日,0.82
ETF,,,,,,,,,,,
ETF,,,,,,,,,,,
0050  台灣50,13818990058,254760513,44622,54.24,54.14,54.6,55.05,1月3日,53.2,1月25日,15.06
0051  中100,69722204,2680632,1173,26.01,25.88,26.35,26.5,1月31日,25.45,1月17日,9.09
0052  FB科技,13733941,423010,204,32.47,32.32,32.61,33,1月30日,31.72,1月8日,4.03
0053  寶電子,30196086,1336139,851,22.6,22.88,23.18,23.34,1月3日,21.3,1月21日,3.82
0054  台商50,18249013,959200,445,19.03,19.16,19.33,19.5,1月3日,18.62,1月17日,3.08
0055  寶金融,560398738,48565391,9538,11.54,11.53,11.86,11.86,1月31日,11.3,1月17日,15.34
0056  高股息,594481955,25618335,7761,23.21,23.12,23.76,23.76,1月31日,22.77,1月9日,20.25
0057  FB摩台,10443950,328000,120,31.84,31.85,32.02,32.5,1月17日,31.47,1月21日,3.44
0058  FB發達,8745240,272000,141,32.15,32.12,31.87,34.42,1月17日,31,1月28日,4.39
0059  FB金融,4954300,200000,52,24.77,24.87,25.55,25.55,1月30日,24.36,1月7日,2.01
0060  新台灣,9519848,344052,108,27.67,27.82,27.94,28.5,1月17日,27.03,1月2日,4.22
0061  寶滬深,9380486160,632363756,78499,14.83,14.8,14.84,15.19,1月4日,14.45,1月14日,31.83
006203寶摩臺,15320160,584000,136,26.23,26.19,26.45,26.6,1月30日,25.8,1月25日,2.82
006204豐臺灣,481632240,12457119,3599,38.66,38.65,39.12,39.2,1月11日,37.84,1月17日,56.62
006205FB上証,4638519818,216234772,35096,21.45,21.5,22.49,22.61,1月31日,20.35,1月2日,52.07
006206元上證,1627290745,75991604,14103,21.41,21.45,22.57,22.68,1月31日,20.52,1月2日,52.67
006207FH滬深,1153191216,74175482,15256,15.55,15.61,16.29,16.37,1月31日,14.85,1月2日,47.58
006208FB台50,27406705,885500,354,30.95,30.88,31.2,31.3,1月30日,30.28,1月17日,11.01
0080  恒中國,14466560,40000,163,361.66,357.42,385.5,388.5,1月31日,339.2,1月2日,6.67
0081  恒香港,9079310,12100,113,750.36,743.15,780,787,1月30日,716,1月17日,24.2
008201上證50,15359175,243100,688,63.18,63.47,65,65.6,1月31日,61.3,1月2日,8.12
受益證券,,,,,,,,,,,
Beneficiary Securities,,,,,,,,,,,
01001T富邦R1,88888860,5045000,563,17.62,17.67,18.2,18.3,1月30日,17.5,1月23日,0.87
01002T國泰R1,578772710,32738100,1680,17.68,17.62,18.2,18.3,1月30日,17.22,1月2日,2.35
01003T新光R1,266772670,18500000,1358,14.42,14.28,15,15.05,1月31日,13.57,1月2日,1.64
01004T富邦R2,269340510,19376000,1222,13.9,13.89,14.7,14.7,1月31日,13.53,1月2日,2.65
01007T國泰R2,161186230,10200000,718,15.8,15.85,16.4,16.42,1月31日,15.6,1月3日,1.42
01008T駿馬R1,235608250,16785000,1042,14.04,13.96,14.5,14.5,1月31日,13.38,1月2日,3.92
認購售權證,,,,,,,,,,,
Warrants,,,,,,,,,,,
03001P亞東ED,12271060,20660000,307,0.59,0.61,0.53,0.74,1月17日,0.52,1月30日,
03002P亞東EF,1852620,1793000,41,1.03,1.05,0.93,1.2,1月17日,0.93,1月31日,
03003P亞東EH,1936810,1529000,42,1.27,1.29,1.14,1.53,1月17日,1.09,1月31日,
03004PN2兆豐,65230,96000,9,0.68,0.7,0.62,0.81,1月22日,0.62,1月29日,
03005P統一8V,339570,344000,21,0.99,0.99,0.92,1.03,1月28日,0.92,1月31日,
03006PFZ凱基,632190,744000,14,0.85,0.89,0.79,1,1月21日,0.79,1月31日,
03007PGE凱基,51290,89000,8,0.58,0.57,0.51,0.64,1月25日,0.51,1月31日,
03008PAR群益,484560,430000,19,1.13,1.11,1.06,1.26,1月25日,1.02,1月30日,
03009P國票1H,1146660,1772000,20,0.65,0.65,0.62,0.69,1月16日,0.62,1月30日,
03010P國票4H,558060,863000,36,0.65,0.72,0.56,0.86,1月17日,0.56,1月31日,
03011P日盛MP,544080,736000,17,0.74,0.79,0.65,0.88,1月22日,0.65,1月31日,
03012P日盛MQ,8500,15000,3,0.57,0.57,0.55,0.58,1月18日,0.55,1月25日,
03013P大華E6,654800,769000,13,0.85,0.86,0.82,0.89,1月16日,0.82,1月29日,
03015PMS富邦,2077600,1723000,111,1.21,1.2,0.98,1.45,1月17日,0.96,1月30日
03016P日盛MT,783490,449000,17,1.74,1.83,1.75,2.01,1月23日,1.7,1月29日
03017P日盛MU,744130,900000,21,0.83,0.78,0.61,0.87,1月25日,0.6,1月30日
03018PKK元富,63580,19000,7,3.35,3.47,3.44,3.53,1月17日,1.53,1月18日
03019PKL元富,11560,42000,8,0.28,0.26,0.24,0.3,1月17日,0.24,1月24日
03020PKP元富,586730,625000,25,0.94,0.92,0.81,1.04,1月23日,0.79,1月30日
03021PGM凱基,1730,2000,2,0.86,0.86,0.85,0.88,1月25日,0.85,1月28日
03022PNB富邦,73380,70000,5,1.05,1.04,1.14,1.14,1月31日,0.95,1月29日
03023P82元大,1039680,1200000,69,0.87,0.92,0.8,1.04,1月17日,0.8,1月31日
03024PGH凱基,4494750,1706000,49,2.63,2.61,2.36,2.94,1月25日,2.3,1月30日
03025PGJ凱基,132000,61000,15,2.16,2.09,1.93,2.25,1月28日,1.9,1月30日
03026PGX凱基,2317080,1310000,17,1.77,1.79,1.67,1.93,1月24日,1.67,1月31日
03027PGY凱基,1275630,1649000,45,0.77,0.82,0.52,0.99,1月18日,0.52,1月31日
03028P84元大,338530,417000,8,0.81,0.82,0.83,0.87,1月28日,0.77,1月22日
03029P85元大,83430,170000,12,0.49,0.52,0.45,0.61,1月28日,0.45,1月31日
03030P1A兆豐,512170,1660000,114,0.31,0.49,0.25,3.33,1月25日,0.21,1月24日
03031P國票6H,9900,12000,2,0.82,0.82,0.79,0.86,1月25日,0.79,1月30日
03032P國票7H,73920,68000,9,1.09,1.09,1.14,1.14,1月29日,1.03,1月23日
03033P中信HD,168600,48000,7,3.51,3.61,3.34,3.95,1月25日,3.34,1月31日
03034PKR元富,501770,404000,5,1.24,1.17,0.97,1.31,1月24日,0.97,1月31日
03035PKZ元富,2623660,3317000,35,0.79,0.8,0.81,0.83,1月22日,0.77,1月23日
03036PAY群益,149850,162000,10,0.92,0.89,0.9,0.97,1月18日,0.85,1月22日
03037PAZ群益,3755360,2154000,31,1.74,1.72,1.6,1.85,1月21日,1.6,1月29日
03038PBA群益,202280,215000,7,0.94,0.95,0.94,0.96,1月31日,0.92,1月31日
03039F兆豐CR,32670,103000,16,0.32,0.3,0.13,0.61,1月3日,0.12,1月30日
03040PBQ群益,489800,180000,24,2.72,2.8,2.55,3.04,1月18日,2.54,1月31日
03041PBR群益,145200,50000,6,2.9,2.93,2.87,3.17,1月21日,2.76,1月30日
03042PBS群益,207890,204000,21,1.02,0.96,0.87,1.1,1月22日,0.85,1月21日
03043PBT群益,692510,1054000,21,0.66,0.7,0.65,0.81,1月25日,0.61,1月30日
03044P永豐IL,2281040,3868000,89,0.59,0.58,0.55,0.63,1月29日,0.54,1月21日
03045P日盛NH,1269060,2573000,53,0.49,0.53,0.45,0.61,1月21日,0.45,1月31日
03046P日盛NJ,504180,1081000,65,0.47,0.48,0.41,0.6,1月24日,0.4,1月28日
03048P98元大,157660,236000,7,0.67,0.67,0.61,0.74,1月24日,0.61,1月30日
03049PLD元富,835950,850000,22,0.98,0.94,0.93,1.02,1月23日,0.87,1月30日
03050PNJ富邦,1773730,960000,37,1.85,1.88,1.81,2.04,1月24日,1.76,1月30日
03051PNP富邦,182480,168000,4,1.09,1.09,1.09,1.1,1月21日,1.08,1月23日
03052PNR富邦,15400,20000,1,0.77,0.77,0.77,0.77,1月30日,0.77,1月30日
03053P99元大,287970,150000,7,1.92,1.86,1.71,1.97,1月25日,1.71,1月29日
03054P1A元大,28600,11000,7,2.6,2.58,2.6,2.63,1月29日,2.54,1月30日
03055P1B元大,1404890,1108000,14,1.27,1.27,1.26,1.29,1月30日,1.24,1月31日
03056P1C元大,1178300,1102000,53,1.07,1.05,0.94,1.2,1月24日,0.94,1月31日
03057P1D元大,422070,523000,10,0.81,0.82,0.8,0.88,1月24日,0.78,1月30日
03059PLG元富,21000,10000,2,2.1,2.1,2,2.2,1月25日,2,1月29日
03060PLH元富,1350680,636000,12,2.12,2.03,1.89,2.21,1月25日,1.89,1月29日
03061PHE凱基,156520,61000,6,2.57,2.57,2.36,2.75,1月24日,2.36,1月30日
03062PHF凱基,326450,146000,10,2.24,2.27,2.09,2.5,1月25日,2.09,1月30日
03065P日盛NS,4830,8000,2,0.6,0.6,0.6,0.61,1月24日,0.6,1月24日
03066P日盛NT,30040,36000,5,0.83,0.88,0.82,0.95,1月28日,0.79,1月31日
03067P日盛NU,451490,598000,8,0.76,0.76,0.75,0.76,1月25日,0.75,1月28日
03068PBW群益,249800,90000,8,2.78,2.81,2.64,2.92,1月23日,2.64,1月31日
03069PCK群益,73330,53000,4,1.38,1.39,1.41,1.41,1月25日,1.36,1月23日
03070PCL群益,38290,12000,4,3.19,3.17,3.1,3.24,1月24日,3.09,1月23日
03071B元熊B1,9441120,3344000,250,2.82,2.82,2.69,3.4,1月2日,2.69,1月3日
03071PCM群益,62880,82000,8,0.77,0.78,0.71,0.84,1月29日,0.71,1月31日
03072P永豐IP,330460,495000,10,0.67,0.68,0.69,0.7,1月29日,0.65,1月31日
03074P中信HM,666590,680000,23,0.98,1.07,1,1.2,1月25日,0.9,1月30日
03075P工銀FU,219520,98000,10,2.24,2.27,2.12,2.61,1月25日,2.06,1月30日
03076P1Q元大,44640,54000,3,0.83,0.84,0.8,0.87,1月24日,0.8,1月30日
03077B元熊E1,127318030,60294000,4421,2.11,2.11,1.85,2.41,1月17日,1.83,1月30日
03077P1R元大,87950,126000,6,0.7,0.7,0.61,0.78,1月25日,0.6,1月30日
03078B凱熊19,61263170,21791000,1840,2.81,2.8,2.39,3.42,1月17日,2.27,1月30日
03079PHS凱基,289530,201000,3,1.44,1.48,1.44,1.53,1月23日,1.44,1月30日
03080B元熊F1,7766850,1265000,127,6.14,6.15,5.55,6.8,1月17日,5.45,1月30日
03080PNV富邦,173730,218000,4,0.8,0.85,0.77,0.93,1月24日,0.77,1月28日
