,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
052890富邦AJ,16360670,17033000,271,0.96,1.03,1.29,1.51,10月3日,0.65,10月19日
052891富邦AK,1046500,1045000,27,1,1.3,1,1.88,10月3日,0.98,10月29日
052892富邦AL,17681280,9597000,126,1.84,1.67,0.98,2.17,10月5日,0.98,10月26日
052893富邦AN,3194260,6722000,164,0.48,0.68,0.06,1.26,10月5日,0.06,10月29日
052894富邦AP,7920,198000,4,0.04,0.04,0.03,0.05,10月18日,0.03,10月25日
052895富邦AQ,7800,5000,1,1.56,1.56,1.56,1.56,10月8日,1.56,10月8日
052896富邦AR,1187040,2937000,128,0.4,0.39,0.13,0.6,10月5日,0.12,10月29日
052897富邦AW,4491280,7185000,154,0.63,0.48,0.07,0.95,10月3日,0.07,10月31日
052898富邦AX,862980,8980000,126,0.1,0.29,0.01,0.57,10月2日,0.01,10月30日
052899富邦AY,15200,10000,1,1.52,1.52,1.52,1.52,10月30日,1.52,10月30日
052900凱基KA,314560,354000,16,0.89,0.84,0.48,0.98,10月5日,0.48,10月29日
052901凱基KB,2595640,1582000,32,1.64,1.49,1.01,1.85,10月11日,1.01,10月29日
052902凱基KC,2331850,1006000,52,2.32,2.27,1.18,2.82,10月2日,1.08,10月31日
052903凱基KD,7145280,4115000,63,1.74,1.59,0.8,2.16,10月1日,0.8,10月30日
052904凱基KE,16090,1159000,108,0.01,0.02,0.01,0.04,10月1日,0.01,10月30日
052905凱基KF,10830,1083000,116,0.01,0.01,0.01,0.01,10月31日,0.01,10月31日
052906凱基KG,609880,1785000,20,0.34,0.35,0.12,0.61,10月2日,0.12,10月22日
052907凱基KH,1673580,3155000,80,0.53,0.39,0.17,0.7,10月2日,0.11,10月24日
052909凱基KK,591460,1724000,55,0.34,0.35,0.07,0.8,10月3日,0.07,10月29日
052910元大D5,839860,2804000,83,0.3,0.26,0.04,0.55,10月2日,0.04,10月31日
052911元大D6,281390,984000,30,0.29,0.33,0.04,0.63,10月2日,0.03,10月29日
052912元大D7,968500,1068000,39,0.91,0.83,0.46,1.08,10月4日,0.46,10月31日
052913元大D8,1029790,1156000,56,0.89,1,0.54,1.45,10月5日,0.54,10月26日
052914元大D9,417710,251000,11,1.66,1.69,1.25,1.98,10月4日,1.25,10月24日
052915元大E1,2670,2000,2,1.34,1.34,0.95,1.72,10月2日,0.95,10月17日
052916元大E2,762830,613000,26,1.24,1.14,0.67,1.46,10月3日,0.67,10月30日
052917元大E3,2067880,5824000,167,0.36,0.34,0.17,0.45,10月3日,0.15,10月31日
052918元大E4,2788060,1887000,57,1.48,1.48,0.77,2.17,10月2日,0.76,10月30日
052919大華KG,820880,736000,22,1.12,1.04,0.59,1.3,10月2日,0.59,10月25日
052921大華KM,55770,1644000,23,0.03,0.09,0.01,0.22,10月2日,0.01,10月25日
052922永昌EF,1843450,7716000,112,0.24,0.27,0.09,0.5,10月3日,0.09,10月30日
052923永昌EG,20150,10000,2,2.02,2.02,1.91,2.12,10月2日,1.91,10月4日
052924永昌EH,1850,36000,2,0.05,0.1,0.1,0.1,10月3日,0.05,10月3日
052925永昌EJ,9096600,9497000,272,0.96,0.82,0.39,1.2,10月4日,0.34,10月29日
052926永昌EK,19000,50000,1,0.38,0.38,0.38,0.38,10月18日,0.38,10月18日
052927永昌EL,2466530,3246000,64,0.76,0.74,0.66,0.85,10月2日,0.61,10月18日
052929永昌EN,28860,112000,5,0.26,0.25,0.15,0.37,10月2日,0.15,10月22日
052930凱基KL,106100,248000,7,0.43,0.36,0.16,0.56,10月3日,0.16,10月24日
052931凱基KM,145300,175000,11,0.83,0.72,0.49,0.94,10月3日,0.47,10月15日
052932凱基KQ,965610,1157000,42,0.83,0.81,0.1,1.4,10月1日,0.1,10月29日
052933富邦AZ,3511680,1443000,24,2.43,2.25,1.22,2.92,10月5日,1.22,10月31日
052934富邦BA,172120,3412000,49,0.05,0.07,0.01,0.13,10月2日,0.01,10月26日
052935富邦BB,20990,59000,12,0.36,0.35,0.11,0.56,10月2日,0.11,10月12日
052936元大F2,148060,71000,10,2.09,2.12,1.57,2.8,10月1日,1.57,10月30日
052937元大F3,1731080,2180000,114,0.79,1.14,0.6,1.94,10月4日,0.59,10月31日
052938元大F4,2703120,1046000,78,2.58,2.36,1.6,3.09,10月2日,1.55,10月30日
052939元大F5,717320,893000,34,0.8,0.91,0.55,1.72,10月2日,0.51,10月29日
052940元大F6,1868680,2691000,80,0.69,0.65,0.61,0.75,10月25日,0.54,10月15日
052941元大F7,31632830,22828000,580,1.39,1.37,1.45,1.59,10月25日,1.09,10月12日
052942元大F8,380390,292000,20,1.3,1.32,0.73,1.81,10月1日,0.73,10月29日
052944元大G1,5434620,5602000,478,0.97,0.86,0.41,1.47,10月19日,0.32,10月29日
052945元大G2,2345120,6261000,120,0.37,0.35,0.27,0.53,10月3日,0.14,10月26日
052946元大G3,3264180,29606000,742,0.11,0.08,0.02,0.21,10月2日,0.01,10月31日
052947元大G4,169470,293000,20,0.58,0.55,0.21,0.89,10月1日,0.2,10月29日
052948元大G5,2322560,1129000,66,2.06,1.89,1.2,2.69,10月5日,1.05,10月29日
052950元大G7,554900,240000,7,2.31,2.26,2.22,2.42,10月29日,2.22,10月31日
052951元大G8,357370,275000,22,1.3,1.34,1.42,1.48,10月5日,1.19,10月24日
052952日盛78,1281140,1842000,62,0.7,0.7,0.42,1.06,10月5日,0.42,10月31日
052953CA永豐,3821410,4804000,120,0.8,0.74,0.42,1.07,10月5日,0.34,10月30日
052954CB永豐,201080,535000,20,0.38,0.51,0.09,0.84,10月3日,0.09,10月31日
052955CC永豐,26030,53000,7,0.49,0.5,0.25,0.65,10月2日,0.25,10月16日
052956CD永豐,47500,60000,5,0.79,0.7,0.18,1.08,10月1日,0.18,10月29日
052957CE永豐,96220,59000,7,1.63,1.68,1.5,2.3,10月1日,1.38,10月24日
052958CF永豐,28350,190000,15,0.15,0.14,0.02,0.28,10月1日,0.02,10月16日
052959CG永豐,6910,21000,2,0.33,0.31,0.31,0.33,10月31日,0.31,10月31日
052960CH永豐,1124770,1704000,31,0.66,0.65,0.49,0.76,10月4日,0.49,10月31日
052961中信A2,7202350,3493000,100,2.06,2.17,2.41,2.74,10月1日,1.68,10月25日
052963元富KG,1523660,758000,20,2.01,2,1.21,2.75,10月4日,1.21,10月30日
052964元富KH,5980,42000,3,0.14,0.31,0.05,0.54,10月1日,0.05,10月30日
052966元富KK,969200,2066000,54,0.47,0.48,0.39,0.61,10月5日,0.33,10月11日
052967元富KM,3201290,9521000,340,0.34,0.31,0.13,0.6,10月23日,0.12,10月31日
052968元富KN,99180,136000,5,0.73,0.8,0.67,0.98,10月17日,0.67,10月31日
052969元富KQ,2720880,809000,28,3.36,3.32,3.09,3.87,10月9日,3.08,10月29日
052970元富KS,22520,60000,9,0.38,0.33,0.12,0.48,10月2日,0.12,10月31日
052971元富KV,27650,35000,2,0.79,0.64,0.43,0.85,10月1日,0.43,10月4日
052972元富KW,2874630,6213000,151,0.46,0.38,0.05,0.76,10月2日,0.05,10月31日
052973元富KY,128270,122000,11,1.05,1.06,0.85,1.16,10月3日,0.85,10月31日
052974元富KZ,1639650,1541000,87,1.06,0.97,0.93,1.16,10月4日,0.8,10月16日
052975元富LA,1285990,426000,39,3.02,3.19,2.29,3.83,10月5日,2.29,10月31日
052978CN永豐,24700,92000,5,0.27,0.32,0.16,0.42,10月22日,0.16,10月31日
052979兆豐07,64700,115000,4,0.56,0.45,0.08,0.66,10月3日,0.08,10月30日
052980兆豐08,3021540,2178000,74,1.39,1.33,0.99,1.65,10月5日,0.98,10月29日
052981兆豐09,67200,60000,6,1.12,1.12,1.13,1.13,10月12日,1.11,10月11日
052982第一2K,2875760,3519000,78,0.82,0.63,0.25,0.99,10月3日,0.25,10月31日
052983第一2L,47050,76000,20,0.62,0.67,0.27,1.03,10月2日,0.27,10月26日
052985凱基KT,19670,71000,4,0.28,0.43,0.19,0.67,10月18日,0.19,10月26日
052987富邦BD,1640010,1194000,30,1.37,1.18,0.56,1.75,10月3日,0.56,10月29日
052988富邦BF,3612680,2484000,78,1.45,1.55,0.88,2.36,10月19日,0.88,10月31日
052989富邦BG,774130,808000,11,0.96,0.96,0.87,1.06,10月5日,0.87,10月11日
052990富邦BH,6360730,2613000,81,2.43,2.66,2.4,3.4,10月5日,1.83,10月29日
052991富邦BJ,223230,148000,7,1.51,1.41,1.13,1.68,10月1日,1.13,10月23日
052992富邦BK,2398290,2789000,81,0.86,0.74,0.34,1.08,10月5日,0.34,10月26日
052993富邦BL,94330,70000,6,1.35,1.26,0.94,1.58,10月11日,0.94,10月26日
052994富邦BM,10860,143000,20,0.08,0.1,0.05,0.34,10月4日,0.05,10月26日
052996統一BB,70040,38000,3,1.84,1.82,1.38,2.26,10月4日,1.38,10月29日
052997統一BC,1067540,802000,11,1.33,1.34,1.38,1.59,10月2日,1.02,10月11日
052998統一BD,938200,945000,35,0.99,1.27,0.83,1.89,10月5日,0.76,10月29日
052999群益DB,347090,1778000,60,0.2,0.2,0.07,0.36,10月5日,0.07,10月30日
053000群益DC,864480,361000,38,2.39,2.4,2.34,2.73,10月5日,2.11,10月1日
053001群益DD,2806930,8056000,113,0.35,0.31,0.05,0.64,10月1日,0.05,10月23日
053002群益DE,1455520,1204000,43,1.21,1.14,0.57,2.03,10月5日,0.43,10月29日
053004元大H2,48000,489000,10,0.1,0.11,0.04,0.19,10月2日,0.03,10月11日
053005元大H5,113300,239000,22,0.47,0.49,0.35,0.6,10月1日,0.35,10月26日
053006元大H6,3419400,2222000,76,1.54,1.63,1.69,2,10月5日,1.3,10月25日
053007元大H7,75400,253000,20,0.3,0.32,0.1,0.46,10月3日,0.1,10月16日
053008元大H8,300250,1456000,48,0.21,0.23,0.06,0.37,10月2日,0.06,10月30日
053009大華KQ,425050,354000,22,1.2,1.4,0.69,1.86,10月5日,0.69,10月26日
053010大華KR,1558940,1400000,33,1.11,1.02,0.96,1.55,10月3日,0.6,10月29日
053011大華KU,2527170,1244000,83,2.03,2.06,2.03,2.52,10月29日,1.68,10月2日
053012大華KV,1490060,942000,47,1.58,1.67,1.83,1.95,10月30日,1.43,10月12日
053013大華KW,66360,594000,8,0.11,0.1,0.04,0.16,10月2日,0.04,10月24日
053014大華KX,32750,25000,2,1.31,1.29,1.19,1.39,10月8日,1.19,10月15日
053015大華KY,584340,1603000,42,0.36,0.31,0.03,0.61,10月2日,0.03,10月31日
053017大華LA,4704250,5648000,140,0.83,0.98,0.87,1.69,10月3日,0.45,10月29日
053018大華LB,515620,1685000,37,0.31,0.45,0.17,0.66,10月2日,0.17,10月31日
053019國泰51,784950,631000,42,1.24,1.24,1.26,1.45,10月2日,0.95,10月11日
053020國泰52,19450,6000,5,3.24,3.27,2.97,4,10月11日,2.97,10月15日
053021國泰53,2048000,7585000,110,0.27,0.24,0.06,0.39,10月5日,0.06,10月31日
053022國泰54,367270,602000,10,0.61,0.62,0.58,0.69,10月2日,0.58,10月19日
053023工銀C8,492600,930000,24,0.53,0.57,0.44,0.7,10月22日,0.42,10月26日
053024工銀C9,317600,540000,12,0.59,0.51,0.31,0.73,10月18日,0.28,10月29日
053025工銀D1,443100,1291000,15,0.34,0.51,0.16,1.04,10月1日,0.16,10月31日
053026工銀D2,159200,70000,3,2.27,2.33,2.23,2.52,10月1日,2.23,10月4日
053027工銀D3,9150,33000,4,0.28,0.24,0.05,0.38,10月9日,0.05,10月31日
053028CS永豐,174980,140000,19,1.25,1.32,0.73,1.68,10月5日,0.73,10月26日
053029CT永豐,86000,100000,2,0.86,0.86,0.86,0.86,10月2日,0.86,10月2日
053030CU永豐,2337170,3016000,50,0.77,0.71,0.42,0.97,10月1日,0.42,10月26日
053031CV永豐,5310460,12039000,486,0.44,0.43,0.3,0.58,10月1日,0.2,10月29日
053032CW永豐,132460,112000,12,1.18,1.19,1.16,1.23,10月9日,1.14,10月15日
053033群益DF,139023600,35847000,1191,3.88,3.94,3.39,5.05,10月5日,3.14,10月1日
053034凱基KU,2196700,1249000,37,1.76,1.24,0.72,2.01,10月3日,0.52,10月29日
053035凱基KV,5899930,18931000,315,0.31,0.28,0.01,0.6,10月1日,0.01,10月31日
053036元富LK,126114670,40895000,2314,3.08,3.08,2.38,4.5,10月5日,2.18,10月31日
053037元富LL,62902480,14860000,992,4.23,4.23,4.01,5,10月5日,3.23,10月1日
053038元富LM,2138270,1740000,104,1.23,1.14,1.41,1.82,10月1日,0.63,10月18日
053039元富LN,8633230,4222000,186,2.04,1.93,1.37,3.05,10月4日,0.94,10月29日
053040元富LP,64395080,15261000,528,4.22,4.18,4.27,6.1,10月5日,2.74,10月25日
053041元富LQ,2149020,6963000,380,0.31,0.3,0.02,0.66,10月2日,0.02,10月26日
053042元富LR,1254670,1643000,96,0.76,0.59,0.32,1.07,10月3日,0.14,10月26日
053043元富LS,2335750,2686000,116,0.87,0.83,0.6,1.12,10月5日,0.6,10月24日
053044元富LT,164360,106000,4,1.55,1.44,1.13,1.62,10月2日,1.13,10月23日
053045康和GK,5654490,4494000,140,1.26,1.11,0.32,1.93,10月1日,0.32,10月31日
053046元大H9,1233750,1348000,38,0.92,0.72,0.22,1.18,10月4日,0.22,10月31日
053047大展K2,2590800,2645000,47,0.98,0.91,0.46,1.36,10月2日,0.46,10月25日
053048大展K3,502920,3252000,44,0.15,0.18,0.09,0.37,10月2日,0.03,10月26日
053049大展K4,897690,518000,16,1.73,1.75,1.47,2.19,10月1日,1.44,10月15日
053050大展K5,122960,255000,18,0.48,0.57,0.16,1.14,10月1日,0.12,10月30日
053051大展K6,4648550,9081000,251,0.51,0.51,0.33,0.69,10月17日,0.21,10月29日
053052大展K7,14718880,9006000,261,1.63,1.66,1.46,2.26,10月4日,1.05,10月29日
053053CZ永豐,520940,10492000,228,0.05,0.04,0.01,0.08,10月5日,0.01,10月31日
053054DA永豐,232180,1091000,35,0.21,0.22,0.04,0.34,10月4日,0.04,10月29日
053055DB永豐,393620,498000,14,0.79,0.83,0.69,1.02,10月17日,0.54,10月9日
053056DC永豐,46120,79000,12,0.58,0.35,0.05,0.79,10月3日,0.05,10月31日
053057DG永豐,108300,606000,10,0.18,0.14,0.11,0.28,10月25日,0.1,10月30日
053058凱基KW,3646620,15606000,357,0.23,0.22,0.07,0.35,10月19日,0.07,10月31日
053059凱基KX,101930,3204000,224,0.03,0.04,0.01,0.15,10月2日,0.01,10月31日
053060凱基KY,1655830,4164000,97,0.4,0.35,0.13,0.68,10月3日,0.12,10月30日
053061凱基KZ,47100,55000,3,0.86,0.81,0.56,1.14,10月8日,0.56,10月26日
053062元富LC,735430,872000,19,0.84,0.79,0.41,0.92,10月12日,0.41,10月26日
053063元富LD,477510,400000,9,1.19,1.07,1.16,1.21,10月15日,0.96,10月1日
053064元富LE,633960,807000,212,0.79,0.71,0.35,1.2,10月3日,0.35,10月30日
053065元富LF,1269620,2597000,53,0.49,0.3,0.04,0.59,10月3日,0.04,10月30日
053066元富LG,15250,294000,19,0.05,0.08,0.01,0.31,10月1日,0.01,10月31日
053067元富LH,276770,3234000,79,0.09,0.06,0.01,0.12,10月2日,0.01,10月30日
053068元富LV,521420,3682000,78,0.14,0.18,0.02,0.5,10月4日,0.02,10月30日
053069日盛80,26490,610000,8,0.04,0.06,0.01,0.1,10月3日,0.01,10月16日
053070日盛82,705510,1236000,78,0.57,0.6,0.25,1.07,10月3日,0.16,10月29日
053071日盛83,332350,953000,70,0.35,0.52,0.22,0.76,10月18日,0.18,10月29日
053072DH永豐,3357870,7214000,162,0.47,0.37,0.07,0.62,10月3日,0.05,10月29日
053073DI永豐,325460,282000,14,1.15,0.99,0.45,1.55,10月23日,0.32,10月29日
053074DJ永豐,854800,2400000,57,0.36,0.37,0.32,0.54,10月24日,0.25,10月29日
053077DM永豐,10383810,21300000,358,0.49,0.41,0.1,0.64,10月5日,0.1,10月31日
053078DN永豐,94110,286000,19,0.33,0.34,0.26,0.54,10月1日,0.2,10月29日
053079元大I1,120340,254000,13,0.47,0.37,0.13,0.52,10月3日,0.13,10月29日
053080中信A4,2809930,11417000,303,0.25,0.49,0.04,1.46,10月2日,0.03,10月31日
053081中信A5,3678600,1398000,59,2.63,3.18,2.01,4.63,10月5日,1.95,10月26日
053082國泰55,72900,365000,8,0.2,0.3,0.14,0.44,10月1日,0.14,10月18日
053083統一BE,126210,144000,16,0.88,1.01,0.67,1.27,10月15日,0.62,10月24日
053084元富LW,11124190,5521000,173,2.01,2.11,2.53,2.54,10月30日,1.66,10月11日
053085元富LX,3567100,5725000,72,0.62,0.72,0.47,0.87,10月17日,0.34,10月29日
053086凱基LB,78950,671000,31,0.12,0.14,0.01,0.27,10月1日,0.01,10月29日
053087凱基LD,157530,126000,16,1.25,1.32,0.68,1.74,10月5日,0.62,10月30日
053088元大J2,1274360,2204000,64,0.58,0.49,0.23,0.74,10月4日,0.23,10月30日
053089元大J3,597890,2534000,69,0.24,0.23,0.17,0.34,10月19日,0.17,10月26日
053090元大J4,749620,1086000,351,0.69,0.69,0.58,0.88,10月1日,0.58,10月23日
053091元大J5,1027300,2040000,89,0.5,0.44,0.25,0.71,10月1日,0.22,10月29日
053092元大J6,971080,454000,59,2.14,2.2,2.2,2.68,10月5日,1.13,10月26日
053093元大J7,541980,617000,62,0.88,0.85,0.43,1.26,10月2日,0.31,10月29日
053094大華LC,5234520,5110000,172,1.02,1.03,0.97,1.32,10月5日,0.75,10月24日
053095大華LD,500,5000,1,0.1,0.1,0.1,0.1,10月15日,0.1,10月15日
053096兆豐10,14250,85000,9,0.17,0.15,0.01,0.36,10月2日,0.01,10月31日
053097兆豐11,3600,10000,1,0.36,0.36,0.36,0.36,10月11日,0.36,10月11日
053098兆豐12,2190800,4239000,85,0.52,0.65,0.31,1.1,10月2日,0.27,10月29日
053099兆豐13,9555010,16104000,661,0.59,0.58,0.45,0.72,10月17日,0.37,10月29日
053100兆豐14,59800,20000,1,2.99,2.99,2.99,2.99,10月12日,2.99,10月12日
053101兆豐15,8638760,16121000,296,0.54,0.46,0.1,0.73,10月5日,0.1,10月31日
053102兆豐16,103080,178000,7,0.58,0.48,0.31,0.64,10月2日,0.31,10月18日
053103兆豐17,403070,1054000,22,0.38,0.42,0.35,0.54,10月3日,0.3,10月26日
053104兆豐18,228400,90000,4,2.54,2.48,2.38,2.66,10月1日,2.38,10月24日
053105兆豐19,32250,75000,4,0.43,0.45,0.21,0.61,10月3日,0.21,10月15日
053106兆豐20,1162300,932000,34,1.25,1.33,1.14,1.67,10月4日,1.02,10月29日
053107富邦BS,257050,270000,22,0.95,0.92,0.42,1.22,10月2日,0.42,10月31日
053108富邦BT,29100,150000,15,0.19,0.26,0.08,0.54,10月1日,0.08,10月22日
053109富邦BU,71040,241000,9,0.29,0.36,0.19,0.54,10月3日,0.16,10月29日
053110DT永豐,928410,757000,38,1.23,1.3,0.96,1.74,10月1日,0.85,10月24日
053111DU永豐,530590,1044000,16,0.51,0.52,0.37,0.7,10月2日,0.35,10月11日
053113DW永豐,4230230,7542000,180,0.56,0.67,0.4,1.52,10月5日,0.23,10月25日
053114兆豐21,121330,187000,12,0.65,0.55,0.22,0.97,10月2日,0.22,10月31日
053115DX永豐,4300,4000,3,1.08,1.06,1.08,1.09,10月3日,1.05,10月1日
053116DY永豐,1118290,678000,69,1.65,1.64,1.76,1.76,10月29日,1.39,10月1日
053117DZ永豐,1383290,12161000,251,0.11,0.06,0.01,0.19,10月3日,0.01,10月31日
053118EA永豐,841530,1311000,25,0.64,1.01,0.64,1.33,10月5日,0.62,10月30日
053119EB永豐,214990,228000,118,0.94,0.78,0.58,1.05,10月17日,0.58,10月29日
053120國票HG,265870,1571000,38,0.17,0.12,0.01,0.22,10月2日,0.01,10月26日
053121元大K3,1572950,1634000,57,0.96,0.83,0.49,1.19,10月3日,0.49,10月26日
053122元大K4,835290,364000,32,2.29,2.28,2.46,2.86,10月3日,1.96,10月24日
053123元大K5,295480,90000,24,3.28,3.21,3.47,4.01,10月31日,2.54,10月11日
053124元大K6,16108550,50109000,827,0.32,0.39,0.04,0.78,10月2日,0.04,10月31日
053125元大K7,120650,12000,4,10.05,10.18,11.2,11.2,10月29日,9.15,10月1日
053126元大K8,8923130,33022000,1018,0.27,0.23,0.02,0.6,10月2日,0.01,10月31日
053127元大K9,54250,55000,4,0.99,0.95,0.83,1.12,10月1日,0.83,10月25日
053128元大L1,768660,8392000,174,0.09,0.23,0.01,0.69,10月8日,0.01,10月31日
053129凱基LE,427350,653000,20,0.65,0.68,0.28,0.94,10月1日,0.28,10月26日
053130凱基LF,12560,33000,5,0.38,0.41,0.27,0.53,10月4日,0.27,10月23日
053131凱基LG,2281980,3104000,104,0.74,0.74,0.22,1.24,10月2日,0.22,10月31日
053133富邦BW,1203170,472000,55,2.55,2.4,2.75,2.9,10月24日,2.07,10月4日
053134富邦BX,3885540,5291000,229,0.73,0.73,0.56,1.15,10月1日,0.44,10月29日
053135群益DH,4364430,8313000,257,0.53,0.53,0.2,0.73,10月1日,0.17,10月29日
053136群益DJ,84750,15000,1,5.65,5.65,5.65,5.65,10月3日,5.65,10月3日
053137群益DM,634770,354000,16,1.79,1.75,1.47,2.3,10月5日,1.46,10月11日
053138國泰63,1558850,664000,7,2.35,2.24,2.17,2.67,10月4日,1.95,10月26日
053139國泰64,8546210,17672000,380,0.48,0.56,0.1,1.11,10月5日,0.06,10月29日
053140凱基LK,19520360,17659000,561,1.11,1.88,1.35,3.69,10月3日,0.68,10月29日
053141凱基LM,1447150,11029000,197,0.13,0.36,0.02,0.81,10月3日,0.02,10月31日
053142凱基LN,400780,956000,134,0.42,0.43,0.03,0.83,10月5日,0.03,10月31日
053143凱基LP,2931060,2854000,73,1.03,1.3,0.37,1.91,10月5日,0.37,10月31日
053144凱基LQ,84970,596000,8,0.14,0.14,0.11,0.22,10月18日,0.11,10月23日
053145凱基LR,1460060,790000,33,1.85,1.83,1.2,2.56,10月2日,1.05,10月29日
053146永昌EP,10530,13000,1,0.81,0.81,0.81,0.81,10月23日,0.81,10月23日
053147永昌EQ,34820,64000,6,0.54,0.66,0.52,0.83,10月4日,0.52,10月26日
053148永昌ER,643570,2156000,76,0.3,0.35,0.13,0.62,10月4日,0.13,10月31日
053151永昌EU,162100,92000,5,1.76,1.65,0.99,1.9,10月2日,0.99,10月12日
053152永昌EV,279610,789000,11,0.35,0.39,0.04,0.6,10月3日,0.04,10月30日
053154永昌EX,960,8000,1,0.12,0.12,0.12,0.12,10月25日,0.12,10月25日
053155永昌EY,3552750,3100000,107,1.15,1.15,1.03,1.37,10月24日,0.84,10月9日
053157永昌FA,14000,20000,2,0.7,0.7,0.63,0.77,10月9日,0.63,10月11日
053159元大L2,4177310,23071000,505,0.18,0.2,0.02,0.6,10月1日,0.02,10月30日
053161元大L4,1862660,2416000,37,0.77,0.77,0.74,0.85,10月17日,0.7,10月16日
053162元大L5,1179530,7155000,137,0.16,0.14,0.02,0.35,10月3日,0.02,10月26日
053163元大L6,11447440,5294000,406,2.16,1.93,0.82,3.27,10月5日,0.81,10月31日
053164元大L7,114000,76000,7,1.5,1.51,1.4,1.62,10月5日,1.4,10月9日
053165元大L8,274460,509000,17,0.54,0.66,0.25,1.2,10月2日,0.25,10月26日
053166元大L9,70640,34000,9,2.08,2,2.03,2.36,10月2日,1.7,10月11日
053167元大M1,1884230,2990000,65,0.63,0.67,0.46,0.85,10月5日,0.46,10月29日
053168元大M2,327210,497000,30,0.66,0.69,0.3,1.15,10月2日,0.3,10月31日
053169元大M3,2301880,2003000,85,1.15,1.28,0.8,1.86,10月3日,0.64,10月29日
053170亞東29,877700,1870000,82,0.47,0.38,0.05,0.73,10月3日,0.05,10月31日
053171亞東30,197200,225000,18,0.88,0.85,0.53,1.25,10月3日,0.42,10月29日
053172亞東31,346440,2222000,70,0.16,0.12,0.01,0.35,10月1日,0.01,10月25日
053173富邦BY,23900,10000,1,2.39,2.39,2.39,2.39,10月12日,2.39,10月12日
053174富邦BZ,405850,1805000,106,0.22,0.23,0.05,0.54,10月2日,0.05,10月26日
053175統一BF,148100,70000,7,2.12,2.1,1.86,2.3,10月17日,1.86,10月29日
053176統一BG,1039790,664000,17,1.57,1.51,1.74,1.91,10月8日,1.2,10月23日
053177第一2M,104480,57000,5,1.83,1.81,1.62,1.96,10月16日,1.62,10月26日
053178第一2N,2930,5000,2,0.59,0.6,0.51,0.7,10月18日,0.51,10月26日
053179第一2P,13500,10000,1,1.35,1.35,1.35,1.35,10月3日,1.35,10月3日
053181第一2R,109700,260000,10,0.42,0.42,0.41,0.46,10月1日,0.37,10月4日
053183第一2T,362570,574000,13,0.63,0.64,0.54,0.68,10月2日,0.54,10月8日
053184EG永豐,551850,1758000,76,0.31,0.36,0.21,0.46,10月16日,0.17,10月29日
053185EH永豐,456750,474000,25,0.96,1.06,0.93,1.34,10月1日,0.81,10月11日
053186EI永豐,2543790,6534000,176,0.39,0.5,0.24,0.76,10月3日,0.2,10月29日
053187EJ永豐,570050,809000,24,0.7,0.84,0.3,1.07,10月2日,0.3,10月31日
053188EK永豐,315260,508000,18,0.62,0.6,0.47,0.72,10月2日,0.47,10月26日
053189EL永豐,636130,3482000,38,0.18,0.12,0.04,0.32,10月4日,0.04,10月31日
053190EM永豐,12230,439000,31,0.03,0.04,0.01,0.07,10月3日,0.01,10月30日
053191EN永豐,1177720,1620000,313,0.73,0.68,0.74,0.93,10月1日,0.47,10月12日
053192元富LY,54771930,18728000,331,2.92,3.53,2.64,4.76,10月2日,2.36,10月29日
053193元富LZ,207000,200000,11,1.04,1.02,1.01,1.09,10月2日,1.01,10月3日
053194元富MA,77160,1628000,48,0.05,0.06,0.02,0.15,10月2日,0.02,10月25日
053195元富MB,6187740,3349000,246,1.85,1.75,1.52,2.12,10月9日,1.33,10月26日
053196元富MC,6954830,16278000,727,0.43,0.57,0.52,1.35,10月3日,0.13,10月26日
053197元富ME,4999230,1761000,21,2.84,2.74,2.73,3.32,10月4日,2.4,10月22日
053198元富MF,1470,5000,3,0.29,0.3,0.28,0.34,10月24日,0.28,10月31日
053199元富MG,501960,4148000,50,0.12,0.1,0.01,0.24,10月1日,0.01,10月29日
053200大華LI,110740,83000,7,1.33,1.33,0.74,1.7,10月1日,0.74,10月29日
053201大華LJ,2283470,1050000,65,2.17,2.13,2.59,3.01,10月5日,1.69,10月29日
053202大華LK,468620,10503000,353,0.04,0.03,0.01,0.1,10月3日,0.01,10月31日
053203中信A6,1250260,646000,46,1.94,2.32,1.7,2.94,10月17日,1.57,10月29日
053204兆豐23,21165310,15452000,622,1.37,1.4,1.29,1.77,10月5日,1.15,10月1日
053205兆豐24,273800,799000,30,0.34,0.34,0.12,0.63,10月4日,0.11,10月29日
053206兆豐25,740330,2502000,112,0.3,0.32,0.08,0.54,10月5日,0.07,10月31日
053208兆豐27,495720,1085000,19,0.46,0.43,0.37,0.57,10月1日,0.36,10月11日
053209兆豐28,264470,429000,7,0.62,0.66,0.67,0.83,10月23日,0.58,10月15日
053210兆豐29,148540,642000,30,0.23,0.3,0.05,0.51,10月4日,0.05,10月31日
053211兆豐30,1190630,6147000,139,0.19,0.19,0.08,0.33,10月18日,0.04,10月16日
