,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1735  日勝化,22703034,2185974,773,10.39,10.54,10.25,11.2,10月8日,9.5,10月26日,2.38
1737  臺鹽,284624620,13045978,5249,21.82,21.52,19.5,23.4,10月3日,19.05,10月29日,4.69
1773  勝一,54155145,1402595,819,38.61,38.7,38.8,39.4,10月8日,38,10月29日,1.05
4722  國精化,84954952,3674826,1866,23.12,23.1,22.35,24.9,10月1日,22,10月31日,5.02
4725  信昌化,1336645580,31025137,19349,43.08,43.79,33.4,50.5,10月8日,33.4,10月31日,10.63
4733  上緯,139027211,3424374,1610,40.6,40.37,39,42.4,10月5日,38,10月29日,4.73
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1701  中化,946606220,46188398,19535,20.49,20.15,18.25,22.1,10月8日,17.9,10月29日,15.5
1707  葡萄王,2224884152,32680362,21714,68.08,67.59,67.5,73.7,10月11日,63,10月4日,25.09
1720  生達,869568820,32480188,16966,26.77,26.02,24.2,28.75,10月8日,23.4,10月29日,19.29
1729  必翔,605193434,17714290,5634,34.16,34.18,34.6,35.3,10月23日,32.95,10月29日,9.45
1731  美吾華,1171527750,73184212,27897,16.01,15.24,15.4,17.8,10月23日,13.45,10月15日,55.06
1733  五鼎,1314555793,17397312,10629,75.56,75.08,72.8,77.8,10月3日,71.4,10月29日,17.66
1734  杏輝,5403301185,173685355,82082,31.11,30.5,28.45,33.3,10月23日,27.2,10月29日,116.31
1736  喬山,445518897,6062137,4491,73.49,73.18,71,78.1,10月1日,69.9,10月16日,3.03
1762  中化生,971158657,17656590,11437,55,53.68,50.2,59.1,10月8日,47.9,10月29日,22.77
1789  神隆,4702454549,78853394,47701,59.64,58.95,56.9,63.9,10月2日,53.6,10月29日,12.13
3164  景岳,909701605,19275405,11259,47.19,46.35,40.65,51.4,10月8日,40.25,10月30日,31.64
3705  永信,465809013,11147760,6128,41.78,40.97,39.65,44,10月2日,38.8,10月29日,4.39
4104  佳醫,830757736,14064785,10521,59.07,58.5,53.3,62.2,10月5日,52.3,10月29日,12.42
4106  雃博,292048417,8749191,5710,33.38,32.56,30.1,35.75,10月1日,29.35,10月29日,10.49
4108  懷特,4022377020,77536639,43526,51.88,51.83,45.5,57.4,10月1日,45.15,10月30日,47.49
4119  旭富,1171272408,17745226,12590,66,64.69,62.1,72.2,10月23日,59.5,10月30日,36.07
4133  亞諾法,681898319,13254129,8778,51.45,49.25,42.9,57.9,10月8日,41.15,10月29日,22.26
4141  F-龍燈,401117859,5187206,3238,77.33,77.7,70.4,83.1,10月11日,68,10月30日,4.32
4142  國光生,813286898,21620041,12632,37.62,35.8,30.4,41.7,10月8日,30,10月29日,11.74
4144  F-康聯,2740357203,33866704,21961,80.92,79.34,77.4,88.7,10月24日,72.6,10月3日,48.38
4164  承業醫,5951221970,46078825,29327,129.15,125.83,125,148,10月24日,103.5,10月29日,38.4
4737  華廣,94816389,1699063,1298,55.81,60.94,48.65,71.2,10月1日,44.45,10月30日,3.87
4746  台耀,704900840,12205325,7962,57.75,55.46,44.95,65,10月9日,44.7,10月31日,18.2
23 油電燃氣類,,,,,,,,,,,
"Oil, Gas and Electricity",,,,,,,,,,,
