,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
049544永豐30,15460,238000,3,0.06,0.06,0.04,0.07,8月1日,0.04,8月6日
049546永豐32,2190,219000,4,0.01,0.01,0.01,0.01,8月8日,0.01,8月8日
049547國泰KZ,3000,100000,2,0.03,0.03,0.03,0.03,8月16日,0.03,8月16日
049548國泰LA,350,35000,2,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049550凱基B8,1077710,2642000,58,0.41,0.37,0.25,0.67,8月20日,0.25,8月31日
049551凱基B9,22300,325000,7,0.07,0.13,0.06,0.2,8月1日,0.06,8月17日
049553凱基C2,600,60000,6,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049554凱基C4,25460,2546000,268,0.01,0.01,0.01,0.01,8月20日,0.01,8月20日
049557寶來C2,990,99000,1,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049558寶來C3,2930,93000,5,0.03,0.06,0.01,0.16,8月6日,0.01,8月16日
049559寶來C4,7060,706000,10,0.01,0.01,0.01,0.01,8月16日,0.01,8月16日
049560寶來C7,911330,11703000,178,0.08,0.09,0.04,0.14,8月14日,0.02,8月30日
049561工銀NK,800,20000,1,0.04,0.04,0.04,0.04,8月9日,0.04,8月9日
049562工銀NL,108110,988000,14,0.11,0.1,0.05,0.14,8月9日,0.05,8月17日
049564B7元大,67370,416000,5,0.16,0.2,0.09,0.31,8月10日,0.09,8月16日
049566B9元大,5470,547000,6,0.01,0.01,0.01,0.01,8月21日,0.01,8月21日
049567亞東LV,232850,317000,30,0.73,0.83,1.02,1.12,8月9日,0.46,8月1日
049572亞東MA,2060670,5022000,89,0.41,0.41,0.33,0.61,8月1日,0.3,8月13日
049574亞東MC,393410,2129000,54,0.18,0.17,0.3,0.32,8月21日,0.04,8月1日
049575亞東MD,30320,14000,2,2.17,2.09,2.26,2.26,8月16日,1.93,8月6日
049578永豐33,19800,430000,8,0.05,0.04,0.03,0.06,8月1日,0.03,8月7日
049581大華M4,131600,640000,22,0.21,0.2,0.17,0.24,8月17日,0.16,8月15日
049582大華M5,3500,350000,5,0.01,0.01,0.01,0.01,8月16日,0.01,8月16日
049583大華M6,5900,100000,4,0.06,0.07,0.1,0.1,8月17日,0.05,8月10日
049584大華M7,254870,848000,25,0.3,0.27,0.3,0.46,8月15日,0.09,8月8日
049586大華M9,1800,180000,4,0.01,0.01,0.01,0.01,8月21日,0.01,8月21日
049587大華N1,1300,130000,2,0.01,0.01,0.01,0.01,8月21日,0.01,8月21日
049589日盛KK,1825920,2211000,151,0.83,0.83,0.62,1.24,8月6日,0.59,8月8日
049590日盛KL,390,13000,2,0.03,0.03,0.03,0.03,8月1日,0.03,8月1日
049592國泰LE,66770,180000,17,0.37,0.34,0.19,0.5,8月8日,0.19,8月29日
049593國票EG,1980,99000,1,0.02,0.02,0.02,0.02,8月17日,0.02,8月17日
049595國票EI,73810,606000,10,0.12,0.12,0.14,0.17,8月10日,0.1,8月9日
049596兆豐KD,198570,736000,16,0.27,0.28,0.24,0.34,8月13日,0.24,8月17日
049597兆豐KE,990,99000,1,0.01,0.01,0.01,0.01,8月10日,0.01,8月10日
049598兆豐KF,73500,362000,8,0.2,0.18,0.1,0.26,8月8日,0.1,8月13日
049599永豐35,910,91000,4,0.01,0.01,0.01,0.01,8月16日,0.01,8月16日
049600永豐36,378560,697000,23,0.54,0.45,0.26,0.73,8月1日,0.26,8月21日
049601C3元大,4370,437000,9,0.01,0.01,0.01,0.01,8月20日,0.01,8月20日
0496025H富邦,17810,1242000,23,0.01,0.02,0.02,0.05,8月3日,0.01,8月23日
049604凱基C7,209960,719000,20,0.29,0.3,0.15,0.41,8月10日,0.15,8月31日
049605凱基C8,88100,342000,8,0.26,0.25,0.26,0.34,8月14日,0.2,8月20日
049606凱基C9,450,15000,1,0.03,0.03,0.03,0.03,8月1日,0.03,8月1日
049608寶來C9,31130,480000,9,0.06,0.06,0.03,0.11,8月1日,0.03,8月15日
049609寶來D1,2080,60000,7,0.03,0.03,0.01,0.08,8月13日,0.01,8月24日
049611寶來D3,1420,15000,2,0.09,0.09,0.08,0.1,8月6日,0.08,8月9日
049614寶來D6,3970,397000,10,0.01,0.01,0.01,0.01,8月23日,0.01,8月23日
049617群益37,5000,42000,3,0.12,0.11,0.1,0.15,8月9日,0.09,8月6日
049618群益38,500,50000,1,0.01,0.01,0.01,0.01,8月22日,0.01,8月22日
049620群益40,390520,1352000,45,0.29,0.28,0.14,0.45,8月10日,0.14,8月24日
049621群益41,7390,22000,8,0.34,0.91,0.01,1.8,8月17日,0.01,8月21日
049622群益42,7920,792000,23,0.01,0.01,0.01,0.01,8月1日,0.01,8月1日
049626群益46,4410,441000,6,0.01,0.01,0.01,0.01,8月9日,0.01,8月9日
049628群益50,178600,581000,17,0.31,0.23,0.16,0.4,8月16日,0.16,8月23日
049629群益51,1900,190000,4,0.01,0.01,0.01,0.01,8月6日,0.01,8月6日
049630工銀NM,990,99000,1,0.01,0.01,0.01,0.01,8月24日,0.01,8月24日
049633凱基D2,372180,2307000,59,0.16,0.15,0.01,0.3,8月17日,0.01,8月28日
049634永昌N2,660,66000,1,0.01,0.01,0.01,0.01,8月20日,0.01,8月20日
049636永昌N4,26650,230000,6,0.12,0.11,0.04,0.18,8月21日,0.04,8月29日
049641永昌N9,7250,20000,2,0.36,0.4,0.33,0.46,8月10日,0.33,8月15日
049643永昌AB,17800,67000,6,0.27,0.24,0.23,0.33,8月16日,0.18,8月1日
049646C6元大,3870,387000,7,0.01,0.01,0.01,0.01,8月28日,0.01,8月28日
049648C8元大,10,1000,1,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049649C9元大,3260,326000,7,0.01,0.01,0.01,0.01,8月28日,0.01,8月28日
049650D1元大,100,10000,1,0.01,0.01,0.01,0.01,8月9日,0.01,8月9日
049651D2元大,3500,350000,35,0.01,0.01,0.01,0.01,8月24日,0.01,8月24日
049653康和DE,3733020,2556000,108,1.46,1.3,0.35,2.21,8月16日,0.25,8月29日
049654康和DF,27900,685000,12,0.04,0.03,0.01,0.06,8月10日,0.01,8月28日
049655康和DG,4660,466000,9,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049657康和DI,67040,1070000,15,0.06,0.06,0.01,0.1,8月21日,0.01,8月28日
049658康和DJ,346860,928000,155,0.37,0.33,0.06,0.54,8月17日,0.06,8月29日
049659康和DK,16850,1653000,53,0.01,0.02,0.01,0.05,8月6日,0.01,8月29日
049661日盛KM,168310,922000,23,0.18,0.14,0.05,0.25,8月14日,0.05,8月27日
049663日盛KP,800,40000,1,0.02,0.02,0.02,0.02,8月10日,0.02,8月10日
049664日盛KQ,42710,1362000,23,0.03,0.04,0.02,0.06,8月1日,0.02,8月24日
049665日盛KR,20,2000,2,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049666日盛KS,1700,20000,2,0.08,0.08,0.08,0.09,8月3日,0.08,8月6日
049667日盛KT,12050,175000,5,0.07,0.06,0.07,0.07,8月16日,0.05,8月15日
049668日盛KU,23470,359000,31,0.07,0.05,0.01,0.08,8月1日,0.01,8月28日
049669寶來E1,33020,662000,14,0.05,0.05,0.02,0.1,8月1日,0.02,8月24日
049670工銀NR,4160,218000,6,0.02,0.02,0.01,0.02,8月17日,0.01,8月24日
049675工銀NW,76940,1097000,19,0.07,0.06,0.02,0.12,8月8日,0.02,8月21日
049676大華N4,3650,365000,4,0.01,0.01,0.01,0.01,8月22日,0.01,8月22日
049677大華N5,98740,216000,19,0.46,0.53,0.35,0.72,8月15日,0.28,8月29日
049678大華N6,14070,709000,11,0.02,0.02,0.01,0.05,8月3日,0.01,8月24日
049679國泰LG,1422670,1555000,64,0.91,1.11,1.7,1.7,8月27日,0.47,8月1日
049680國泰LH,110,11000,2,0.01,0.01,0.01,0.01,8月9日,0.01,8月9日
049682國泰LL,803890,2325000,82,0.35,0.37,0.69,0.69,8月29日,0.19,8月1日
049685統一99,900,90000,2,0.01,0.01,0.01,0.01,8月20日,0.01,8月20日
049686統一A1,100,10000,1,0.01,0.01,0.01,0.01,8月29日,0.01,8月29日
049687統一A2,172010,1460000,28,0.12,0.15,0.09,0.22,8月6日,0.09,8月23日
049691永豐50,4000,100000,3,0.04,0.04,0.04,0.04,8月9日,0.04,8月9日
049695永豐55,110,11000,2,0.01,0.01,0.01,0.01,8月1日,0.01,8月1日
049696永豐56,9390,889000,17,0.01,0.03,0.01,0.1,8月9日,0.01,8月23日
049697永豐57,1010,101000,2,0.01,0.01,0.01,0.01,8月17日,0.01,8月17日
049698凱基D3,150,15000,2,0.01,0.01,0.01,0.01,8月22日,0.01,8月22日
049701寶來E3,12800,80000,2,0.16,0.16,0.07,0.25,8月3日,0.07,8月17日
049703日盛KV,49160,14000,4,3.51,3.37,3.33,3.62,8月14日,3.09,8月3日
049706大華N8,23840,870000,15,0.03,0.02,0.01,0.05,8月1日,0.01,8月28日
049707大華N9,2180,208000,3,0.01,0.02,0.01,0.02,8月1日,0.01,8月14日
049708大華AA,63510,1508000,72,0.04,0.04,0.01,0.11,8月21日,0.01,8月30日
049710D8元大,373960,372000,30,1.01,0.88,1.3,1.42,8月16日,0.4,8月28日
049711D9元大,755560,777000,55,0.97,1.02,1.49,1.65,8月29日,0.47,8月1日
049712E1元大,1290480,1058000,18,1.22,1.1,1.01,1.29,8月1日,0.96,8月21日
049714寶來F1,94190,523000,14,0.18,0.16,0.07,0.23,8月17日,0.07,8月29日
049716寶來F3,1000,5000,2,0.2,0.2,0.2,0.2,8月6日,0.2,8月6日
049718寶來F5,180,18000,2,0.01,0.01,0.01,0.01,8月23日,0.01,8月23日
0497215L富邦,540,16000,3,0.03,0.04,0.03,0.04,8月21日,0.03,8月22日
0497225M富邦,1986210,1264000,43,1.57,1.79,1.42,2.26,8月9日,1.23,8月1日
0497235N富邦,10380,107000,6,0.1,0.11,0.1,0.13,8月10日,0.09,8月8日
049724群益53,14850,99000,1,0.15,0.15,0.15,0.15,8月6日,0.15,8月6日
049725群益55,704490,2793000,38,0.25,0.22,0.05,0.4,8月1日,0.05,8月22日
049726群益56,2624720,5722000,145,0.46,0.43,0.05,0.69,8月9日,0.05,8月30日
049727群益57,9360,936000,10,0.01,0.01,0.01,0.01,8月9日,0.01,8月9日
049729群益59,48000,1430000,22,0.03,0.02,0.01,0.07,8月10日,0.01,8月30日
049730群益61,49854340,47096000,1254,1.06,1.05,1.53,1.63,8月24日,0.45,8月1日
049731群益64,89570,622000,15,0.14,0.13,0.07,0.2,8月9日,0.07,8月22日
049733群益66,67950,460000,15,0.15,0.14,0.14,0.16,8月8日,0.12,8月6日
049734群益67,22990,487000,15,0.05,0.04,0.01,0.06,8月1日,0.01,8月23日
049735群益68,67650,905000,31,0.07,0.15,0.01,0.29,8月6日,0.01,8月29日
049737統一A4,500,50000,1,0.01,0.01,0.01,0.01,8月23日,0.01,8月23日
049740統一A7,1772920,1370000,42,1.29,1.26,1.39,1.6,8月27日,0.83,8月17日
049741統一A8,200,20000,1,0.01,0.01,0.01,0.01,8月16日,0.01,8月16日
049742統一A9,106730,418000,16,0.26,0.16,0.02,0.29,8月15日,0.02,8月28日
049744凱基E2,190,19000,1,0.01,0.01,0.01,0.01,8月17日,0.01,8月17日
049745凱基E3,900,90000,9,0.01,0.01,0.01,0.01,8月6日,0.01,8月6日
049746日盛KY,40,4000,4,0.01,0.01,0.01,0.01,8月7日,0.01,8月7日
049749亞東MF,3747430,6679000,173,0.56,0.55,0.36,1.19,8月6日,0.32,8月1日
049750亞東MG,210,1000,1,0.21,0.21,0.21,0.21,8月8日,0.21,8月8日
049751亞東MH,1140,111000,9,0.01,0.01,0.01,0.04,8月6日,0.01,8月17日
049752亞東MJ,2160,126000,6,0.02,0.02,0.01,0.05,8月1日,0.01,8月13日
049754亞東ML,2140,46000,5,0.05,0.05,0.01,0.1,8月3日,0.01,8月31日
049755亞東MM,200,20000,2,0.01,0.01,0.01,0.01,8月17日,0.01,8月17日
0497595T富邦,2190,6000,2,0.36,0.36,0.33,0.4,8月15日,0.33,8月28日
0497605V富邦,1995630,1662000,51,1.2,1.18,1.55,1.57,8月23日,0.84,8月1日
049761兆豐KG,58260,368000,18,0.16,0.16,0.14,0.2,8月22日,0.1,8月9日
049762兆豐KH,305520,1748000,72,0.17,0.18,0.06,0.29,8月1日,0.05,8月30日
049763兆豐KJ,1750,145000,10,0.01,0.01,0.01,0.02,8月15日,0.01,8月31日
049764兆豐KK,43520,348000,4,0.13,0.13,0.1,0.14,8月10日,0.1,8月17日
049765兆豐KL,239840,715000,9,0.34,0.33,0.35,0.37,8月14日,0.29,8月9日
049767兆豐KN,200,20000,2,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049768兆豐KP,35640,341000,12,0.1,0.09,0.08,0.11,8月13日,0.07,8月20日
049770兆豐KR,10070,212000,18,0.05,0.05,0.02,0.1,8月14日,0.02,8月29日
049773永豐60,1100,110000,3,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049774永豐62,11130,847000,16,0.01,0.01,0.01,0.02,8月8日,0.01,8月21日
049776大華AE,7030,703000,14,0.01,0.01,0.01,0.01,8月21日,0.01,8月21日
049777大華AF,18120,528000,7,0.03,0.04,0.02,0.06,8月1日,0.02,8月14日
049779大華AH,485840,1928000,56,0.25,0.36,0.51,0.54,8月16日,0.08,8月28日
049780大華AI,30900,170000,8,0.18,0.19,0.18,0.23,8月7日,0.17,8月1日
049781大華AJ,3150,30000,3,0.1,0.11,0.07,0.14,8月24日,0.07,8月29日
049782E4元大,80,4000,4,0.02,0.02,0.02,0.03,8月6日,0.01,8月23日
049783E6元大,100,5000,1,0.02,0.02,0.02,0.02,8月3日,0.02,8月3日
049785第一MU,18000,55000,5,0.33,0.33,0.26,0.4,8月7日,0.26,8月14日
049787第一MW,85630,65000,7,1.32,1.34,1.49,1.49,8月16日,1.22,8月1日
049788第一MX,434660,997000,33,0.44,0.44,0.42,0.57,8月21日,0.34,8月28日
049789統一B1,150,15000,1,0.01,0.01,0.01,0.01,8月31日,0.01,8月31日
049790統一B2,1600,40000,1,0.04,0.04,0.04,0.04,8月8日,0.04,8月8日
049792群益70,18423970,14360000,624,1.28,1.29,1.38,1.79,8月15日,0.82,8月6日
049793群益71,2000,66000,4,0.03,0.03,0.03,0.05,8月9日,0.02,8月8日
049796群益74,220,4000,3,0.06,0.06,0.05,0.06,8月27日,0.05,8月28日
049798群益81,3310,331000,7,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049803群益86,805850,594000,40,1.36,1.24,0.97,1.56,8月1日,0.85,8月31日
049804群益87,1850,45000,2,0.04,0.04,0.05,0.05,8月13日,0.03,8月8日
049805日盛LC,80700,2367000,41,0.03,0.04,0.02,0.07,8月1日,0.01,8月23日
049807日盛LE,10,1000,1,0.01,0.01,0.01,0.01,8月14日,0.01,8月14日
049808日盛LF,1358160,2293000,94,0.59,0.63,0.93,1.08,8月28日,0.42,8月14日
049810日盛LH,400,40000,2,0.01,0.01,0.01,0.01,8月8日,0.01,8月8日
049812日盛LK,170,14000,6,0.01,0.01,0.01,0.02,8月10日,0.01,8月30日
049813日盛LL,112500,440000,28,0.26,0.26,0.19,0.35,8月14日,0.18,8月28日
049814日盛LM,990,99000,2,0.01,0.01,0.01,0.01,8月9日,0.01,8月9日
049816國泰LP,8117080,26857000,568,0.3,0.3,0.27,0.54,8月16日,0.14,8月7日
049817F1元大,37550,30000,5,1.25,1.16,0.97,1.65,8月6日,0.93,8月28日
049819F3元大,5040,8000,4,0.63,0.71,0.96,0.96,8月17日,0.47,8月3日
049820F4元大,10,1000,1,0.01,0.01,0.01,0.01,8月23日,0.01,8月23日
049821F5元大,350,8000,2,0.04,0.04,0.04,0.05,8月23日,0.04,8月24日
049822F6元大,300470,231000,34,1.3,1.23,1.4,1.42,8月3日,0.98,8月13日
049823F7元大,27166580,38144000,847,0.71,0.64,0.4,0.99,8月1日,0.35,8月31日
049824寶來F7,6473610,14929000,371,0.43,0.43,0.46,0.57,8月20日,0.32,8月7日
049827大眾8J,13860,594000,11,0.02,0.03,0.02,0.06,8月6日,0.01,8月1日
049830大眾2K,800,40000,1,0.02,0.02,0.02,0.02,8月1日,0.02,8月1日
049832國票EL,500,10000,1,0.05,0.05,0.05,0.05,8月6日,0.05,8月6日
049837國票ER,5940,297000,3,0.02,0.02,0.02,0.02,8月23日,0.02,8月23日
049838日盛LP,113510,868000,38,0.13,0.14,0.11,0.21,8月17日,0.09,8月31日
049839日盛LQ,20,2000,2,0.01,0.01,0.01,0.01,8月7日,0.01,8月7日
049840日盛LR,630,14000,8,0.04,0.04,0.04,0.05,8月15日,0.04,8月16日
049843兆豐KU,2254460,10178000,338,0.22,0.2,0.18,0.3,8月27日,0.05,8月3日
049844兆豐KV,40500,100000,2,0.4,0.4,0.4,0.41,8月3日,0.4,8月6日
049845兆豐KW,200130,1726000,20,0.12,0.13,0.1,0.19,8月10日,0.1,8月23日
049846兆豐KX,1500,150000,4,0.01,0.01,0.01,0.01,8月23日,0.01,8月23日
049847兆豐KY,4310,431000,6,0.01,0.01,0.01,0.01,8月14日,0.01,8月14日
049849兆豐LA,2586500,1774000,79,1.46,1.52,1.21,1.86,8月21日,1.08,8月1日
049850兆豐LB,2909150,3897000,204,0.75,0.74,0.97,0.99,8月23日,0.46,8月6日
049851兆豐LC,73180,43000,4,1.7,1.74,1.96,1.96,8月29日,1.55,8月3日
049852兆豐LD,2573750,2743000,163,0.94,1.14,1.93,2.01,8月31日,0.61,8月29日
049853兆豐LE,250,15000,2,0.02,0.02,0.02,0.02,8月17日,0.01,8月3日
049854永豐63,23980,16000,4,1.5,1.5,1.52,1.59,8月3日,1.4,8月1日
049856永豐65,501010,2333000,64,0.21,0.23,0.34,0.37,8月31日,0.07,8月29日
049857永豐66,555300,868000,31,0.64,0.7,0.7,0.84,8月21日,0.49,8月1日
049862群益93,171290,1639000,24,0.1,0.21,0.07,0.38,8月15日,0.07,8月27日
049864群益95,506840,7886000,146,0.06,0.06,0.01,0.13,8月16日,0.01,8月31日
049865群益97,2230,223000,5,0.01,0.01,0.01,0.01,8月31日,0.01,8月31日
049867凱基E5,8910,891000,96,0.01,0.01,0.01,0.01,8月24日,0.01,8月24日
049868凱基E7,1300,130000,13,0.01,0.01,0.01,0.01,8月22日,0.01,8月22日
049869凱基E8,37000,300000,6,0.12,0.12,0.1,0.15,8月7日,0.1,8月8日
049871國泰LS,5250,3000,1,1.75,1.75,1.75,1.75,8月9日,1.75,8月9日
049872國泰LT,2326080,5795000,243,0.4,0.39,0.32,0.72,8月15日,0.19,8月6日
049873國泰LU,7449910,4950000,162,1.51,1.68,1.35,2.83,8月6日,1.06,8月1日
049874國泰LV,282050,1089000,59,0.26,0.27,0.12,0.44,8月1日,0.12,8月28日
049877中信01,886120,1113000,46,0.8,0.73,1.12,1.23,8月24日,0.42,8月6日
049878中信02,31440,3134000,53,0.01,0.01,0.01,0.02,8月1日,0.01,8月31日
049879第一MY,3750,50000,5,0.08,0.08,0.08,0.08,8月27日,0.07,8月24日
049882F8元大,327230,12818000,253,0.03,0.03,0.02,0.04,8月23日,0.02,8月31日
049883F9元大,787670,18361000,349,0.04,0.05,0.03,0.31,8月8日,0.02,8月20日
049884G1元大,7390,739000,13,0.01,0.01,0.01,0.01,8月28日,0.01,8月28日
049885G2元大,433890,940000,21,0.46,0.45,0.55,0.59,8月9日,0.36,8月22日
049886G3元大,46200,620000,15,0.07,0.06,0.01,0.16,8月1日,0.01,8月28日
049889永豐69,900,10000,1,0.09,0.09,0.09,0.09,8月14日,0.09,8月14日
049890永豐70,1520,1000,1,1.52,1.52,1.52,1.52,8月17日,1.52,8月17日
049891永豐71,100,2000,1,0.05,0.05,0.05,0.05,8月10日,0.05,8月10日
049892永豐72,16250,270000,24,0.06,0.06,0.02,0.09,8月1日,0.02,8月17日
049894永豐74,29010,500000,6,0.06,0.07,0.01,0.12,8月10日,0.01,8月30日
049895永豐75,506010,4851000,63,0.1,0.07,0.05,0.16,8月15日,0.03,8月29日
049897永豐77,355020,1982000,37,0.18,0.15,0.08,0.25,8月15日,0.07,8月7日
049898永豐78,5320,67000,26,0.08,0.06,0.01,0.14,8月20日,0.01,8月31日
049899凱基F1,22800,110000,5,0.21,0.21,0.19,0.24,8月3日,0.19,8月7日
049900凱基F2,8910,297000,3,0.03,0.03,0.03,0.03,8月13日,0.03,8月13日
049901凱基F3,13555460,33694000,523,0.4,0.35,0.2,0.83,8月15日,0.11,8月29日
049902大華AK,1663380,3446000,144,0.48,0.48,0.32,0.7,8月1日,0.32,8月31日
049903大華AL,100,10000,1,0.01,0.01,0.01,0.01,8月6日,0.01,8月6日
049904大華AM,2773780,3767000,290,0.74,0.73,0.62,1.05,8月14日,0.52,8月28日
049905大華AR,100,10000,1,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049906大華AS,1960,196000,4,0.01,0.01,0.01,0.01,8月3日,0.01,8月3日
049907兆豐LF,22190,1005000,46,0.02,0.03,0.02,0.07,8月3日,0.02,8月29日
0499096D富邦,1026780,4528000,58,0.23,0.26,0.13,0.42,8月14日,0.13,8月31日
0499116F富邦,280470,963000,17,0.29,0.3,0.21,0.43,8月8日,0.21,8月21日
0499126G富邦,155200,40000,4,3.88,3.82,3.74,3.98,8月14日,3.74,8月15日
049913寶來G3,27070,209000,4,0.13,0.14,0.1,0.17,8月16日,0.1,8月29日
049915寶來G5,6510,62000,2,0.1,0.11,0.04,0.17,8月13日,0.04,8月21日
049916工銀NY,629080,1851000,34,0.34,0.32,0.27,0.48,8月17日,0.25,8月7日
049917工銀NZ,1700,170000,5,0.01,0.01,0.01,0.01,8月27日,0.01,8月27日
049918工銀01,100,10000,1,0.01,0.01,0.01,0.01,8月17日,0.01,8月17日
049919工銀02,1870,10000,5,0.19,0.22,0.09,0.28,8月9日,0.09,8月23日
049920工銀03,121000,336000,19,0.36,0.3,0.42,0.46,8月16日,0.07,8月29日
049926G5元大,10,1000,1,0.01,0.01,0.01,0.01,8月29日,0.01,8月29日
049928G7元大,300,10000,1,0.03,0.03,0.03,0.03,8月17日,0.03,8月17日
049929兆豐LG,26570,343000,8,0.08,0.06,0.02,0.09,8月7日,0.02,8月20日
049930兆豐LH,6500,325000,5,0.02,0.02,0.02,0.02,8月10日,0.02,8月10日
049931亞東MN,18600,140000,3,0.13,0.14,0.12,0.16,8月3日,0.12,8月7日
049932亞東MP,67360,798000,12,0.08,0.08,0.05,0.1,8月1日,0.05,8月21日
049933亞東MQ,900,30000,1,0.03,0.03,0.03,0.03,8月17日,0.03,8月17日
049934亞東MR,183270,1291000,23,0.14,0.1,0.08,0.23,8月17日,0.03,8月15日
049935亞東MS,300,30000,3,0.01,0.01,0.01,0.01,8月6日,0.01,8月6日
049936亞東MT,233040,1008000,20,0.23,0.21,0.26,0.26,8月22日,0.17,8月20日
049937亞東MU,77490,1299000,19,0.06,0.04,0.01,0.07,8月1日,0.01,8月27日
049938亞東MV,1132380,3633000,73,0.31,0.31,0.12,0.49,8月6日,0.12,8月29日
0499396H富邦,1900,20000,2,0.1,0.1,0.11,0.11,8月10日,0.08,8月7日
0499406J富邦,132890,414000,26,0.32,0.26,0.08,0.49,8月1日,0.08,8月27日
0499416K富邦,83990,260000,8,0.32,0.36,0.33,0.44,8月6日,0.3,8月3日
049944永昌AD,11900,596000,7,0.02,0.04,0.01,0.07,8月8日,0.01,8月31日
049945永昌AE,111880,427000,14,0.26,0.26,0.13,0.34,8月10日,0.13,8月31日
049946永昌AF,10,1000,1,0.01,0.01,0.01,0.01,8月31日,0.01,8月31日
049947永昌AG,141790,506000,10,0.28,0.28,0.21,0.42,8月21日,0.21,8月29日
049948永昌AH,22840,169000,2,0.14,0.13,0.1,0.16,8月21日,0.1,8月31日
049949永昌AJ,3960,198000,2,0.02,0.02,0.02,0.02,8月13日,0.02,8月13日
049950永昌AK,510,51000,1,0.01,0.01,0.01,0.01,8月6日,0.01,8月6日
049955國泰LX,180,2000,1,0.09,0.09,0.09,0.09,8月13日,0.09,8月13日
049957永豐79,1160,13000,4,0.09,0.08,0.08,0.1,8月9日,0.08,8月21日
049958永豐80,1790580,2965000,85,0.6,0.67,0.99,0.99,8月27日,0.4,8月1日
049959日盛LU,326940,7308000,78,0.04,0.05,0.07,0.07,8月24日,0.03,8月16日
049960日盛LV,100,2000,1,0.05,0.05,0.05,0.05,8月22日,0.05,8月22日
049961日盛LW,245770,250000,30,0.98,1.02,0.69,1.42,8月6日,0.65,8月1日
049962日盛LX,75500,1060000,19,0.07,0.08,0.03,0.12,8月3日,0.03,8月21日
049963日盛LY,9200,15000,2,0.61,0.59,0.52,0.66,8月8日,0.52,8月9日
049965日盛MA,6380,319000,4,0.02,0.02,0.02,0.02,8月7日,0.02,8月7日
049966日盛MB,28560,197000,9,0.14,0.16,0.08,0.24,8月17日,0.08,8月28日
049967日盛MC,38820,136000,13,0.29,0.29,0.19,0.43,8月10日,0.19,8月22日
049968日盛MD,325670,1602000,50,0.2,0.17,0.08,0.3,8月1日,0.08,8月31日
049969日盛ME,283070,936000,31,0.3,0.29,0.08,0.4,8月9日,0.08,8月28日
049970日盛MF,57140,844000,21,0.07,0.07,0.07,0.11,8月24日,0.05,8月20日
049973日盛MJ,10160,380000,6,0.03,0.03,0.02,0.04,8月22日,0.02,8月28日
049975統一B4,1800,180000,2,0.01,0.01,0.01,0.01,8月24日,0.01,8月24日
049976統一B5,10080,1008000,13,0.01,0.01,0.01,0.01,8月14日,0.01,8月14日
049979統一B8,4700,470000,10,0.01,0.01,0.01,0.01,8月31日,0.01,8月31日
049980統一B9,123980,598000,10,0.21,0.24,0.15,0.33,8月16日,0.15,8月27日
049981統一C1,691300,198000,15,3.49,3.51,3.55,3.67,8月14日,3.37,8月13日
0499846P富邦,300,10000,1,0.03,0.03,0.03,0.03,8月14日,0.03,8月14日
0499856Q富邦,307530,1338000,19,0.23,0.24,0.29,0.29,8月16日,0.14,8月3日
0499866R富邦,350,7000,1,0.05,0.05,0.05,0.05,8月23日,0.05,8月23日
0499876S富邦,15840,63000,8,0.25,0.25,0.21,0.47,8月15日,0.14,8月6日
049988凱基G1,664310,1978000,51,0.34,0.38,0.2,0.63,8月1日,0.2,8月29日
049990H2元大,9260,92000,3,0.1,0.12,0.13,0.13,8月14日,0.1,8月8日
049991H3元大,2300,190000,3,0.01,0.02,0.01,0.02,8月3日,0.01,8月31日
049992H4元大,29700,495000,5,0.06,0.06,0.06,0.06,8月6日,0.06,8月6日
049993H5元大,50550,265000,6,0.19,0.17,0.11,0.22,8月1日,0.11,8月23日
049994H6元大,88920,1520000,21,0.06,0.06,0.03,0.09,8月1日,0.03,8月31日
049995群益1C,10250,831000,26,0.01,0.01,0.01,0.02,8月27日,0.01,8月28日
049997群益1E,1188660,7683000,143,0.15,0.15,0.13,0.22,8月20日,0.09,8月30日
049998群益1F,11880,792000,10,0.02,0.02,0.01,0.02,8月6日,0.01,8月16日
049999群益1G,918930,291000,44,3.16,3.03,2.83,3.64,8月20日,2.39,8月6日
050000群益1H,129320,1010000,11,0.13,0.13,0.13,0.13,8月6日,0.12,8月3日
050001群益1I,299820,1281000,21,0.23,0.24,0.14,0.33,8月17日,0.14,8月23日
