,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
2906  高林,60841896,4821688,1658,12.62,12.59,12.55,12.9,8月14日,12.25,8月3日,1.99
2908  特力,410792013,19494335,4676,21.07,21.03,21.7,21.9,8月31日,20.4,8月16日,3.73
2910  統領,2949029,122206,99,24.13,23.89,23.8,24.8,8月16日,23,8月6日,0.06
2911  麗嬰房,846630237,32019722,15197,26.44,26.1,23.6,28.3,8月13日,23.2,8月31日,15.15
2912  統一超,6723061318,41095362,24411,163.6,163.89,159.5,168.5,8月14日,157,8月1日,3.95
2913  農林,808089163,52652963,15580,15.35,15.25,15.3,15.8,8月17日,14.8,8月1日,8.54
2915  潤泰全,6654643160,112878836,49968,58.95,58.75,58.2,61.6,8月6日,56.4,8月28日,13.42
3002  歐格,14727951,1309710,487,11.25,11.19,11.2,11.7,8月30日,10.55,8月6日,1.28
3003  健和興,371694756,14421058,4670,25.77,25.57,26.35,26.9,8月28日,24.7,8月14日,10.28
3004  豐達科,293134021,6103961,3711,48.02,47.23,45.5,51.9,8月3日,44.3,8月30日,25.68
3005  神基,3045457784,136817395,48898,22.26,22.11,21.5,23.5,8月14日,20.3,8月7日,23.67
3006  晶豪科,467768378,18983351,9783,24.64,24.45,24.75,25.95,8月27日,22.85,8月7日,7.28
3008  大立光,20496333254,33364635,27678,614.31,613.64,623,646,8月27日,588,8月9日,24.87
3010  華立,170028573,4388295,2691,38.75,38.75,39.1,39.9,8月30日,38,8月8日,1.9
3011  今皓,361965414,37606345,10683,9.63,9.21,9.86,10.7,8月28日,8.39,8月8日,33.36
3013  晟銘電,1240867077,42617094,13177,29.12,28.66,32.25,32.25,8月31日,25,8月7日,23.01
3014  聯陽,736630495,28937470,14045,25.46,24.97,24.8,26.8,8月17日,22.85,8月7日,14.29
3015  全漢,396428599,14481995,7401,27.37,26.47,28.1,29.05,8月30日,24.9,8月7日,6.32
3016  嘉晶,97527205,7222387,3121,13.5,13.19,13.15,14.15,8月22日,12,8月8日,7.69
3017  奇鋐,438113306,26072072,9864,16.8,16.56,16.6,17.65,8月10日,15,8月7日,7.78
3018  同開,18021080,1312754,423,13.73,13.62,13.4,15,8月23日,12.4,8月13日,3
3019  亞光,2542481276,79509939,37546,31.98,31.33,30.4,33.95,8月21日,28.8,8月7日,28.29
3021  衛展,9317729,660762,308,14.1,14.16,14.1,14.55,8月1日,13.85,8月30日,1.73
3022  威達電,1593465145,31095769,15750,51.24,50.82,52.5,53.5,8月30日,48.3,8月7日,13.7
3023  信邦,1066210628,43075469,13277,24.75,24.63,25.3,26.1,8月27日,22.85,8月1日,23.81
3024  憶聲,32729162,4487290,1889,7.29,7.24,7.46,7.72,8月15日,6.9,8月7日,1.56
3025  星通,13281839,1667211,743,7.97,7.89,7.94,8.27,8月10日,7.47,8月7日,2.35
3026  禾伸堂,201989983,7727886,4032,26.14,25.88,25.3,27.65,8月1日,25.1,8月8日,2.41
3027  盛達,23892087,2269727,951,10.53,10.4,11.15,11.15,8月31日,9.83,8月7日,2.39
3028  增你強,149584698,7812513,3973,19.15,19.22,18.9,19.6,8月22日,18.75,8月28日,3.66
3029  零壹,199471363,12318498,5438,16.19,16.11,15.85,16.9,8月20日,15.3,8月8日,13
3030  德律,1598158256,33175941,17866,48.17,48.01,47.9,49.95,8月13日,46.25,8月1日,14.89
3031  佰鴻,216637966,12178839,5487,17.79,17.36,17.25,18.6,8月17日,16.1,8月8日,6.19
3032  偉訓,24394314,3126720,993,7.8,7.6,7.84,8.12,8月27日,7.25,8月8日,3.03
3033  威健,148296930,6865708,2967,21.6,21.6,21.4,21.9,8月22日,21.25,8月7日,2.81
3034  聯詠,8184784222,87885051,50533,93.13,92.19,96.5,97.5,8月24日,84.6,8月6日,14.58
3035  智原,7597168799,181925574,80622,41.76,41.56,42.45,43.3,8月20日,39.4,8月7日,45.22
3036  文曄,842759169,23336987,10743,36.11,35.58,34.7,38.9,8月1日,34.55,8月31日,6.93
