,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
052939元大F5,32500,66000,8,0.49,0.51,0.6,0.6,11月29日,0.4,11月27日
052940元大F6,2168140,4627000,101,0.47,0.4,0.1,0.73,11月7日,0.1,11月29日
052941元大F7,16015830,12106000,389,1.32,1.29,1.36,1.66,11月7日,0.97,11月28日
052942元大F8,55700,70000,3,0.8,0.82,0.72,0.89,11月12日,0.72,11月14日
052944元大G1,128010,420000,8,0.3,0.3,0.12,0.47,11月9日,0.12,11月29日
052945元大G2,508740,1915000,45,0.27,0.29,0.3,0.41,11月26日,0.23,11月13日
052946元大G3,215080,18452000,290,0.01,0.02,0.01,0.06,11月12日,0.01,11月29日
052947元大G4,14750,75000,4,0.2,0.18,0.15,0.22,11月9日,0.15,11月13日
052948元大G5,459730,244000,14,1.88,1.76,1.85,2.12,11月12日,1.3,11月7日
052949元大G6,3680,4000,1,0.92,0.92,0.92,0.92,11月29日,0.92,11月29日
052950元大G7,27500,10000,1,2.75,2.75,2.75,2.75,11月6日,2.75,11月6日
052951元大G8,192490,89000,12,2.16,1.93,2.03,2.36,11月8日,1.48,11月1日
052952日盛78,137930,494000,14,0.28,0.28,0.16,0.38,11月5日,0.16,11月28日
052953CA永豐,216750,460000,15,0.47,0.48,0.48,0.52,11月26日,0.38,11月1日
052954CB永豐,6740,221000,17,0.03,0.05,0.01,0.09,11月2日,0.01,11月15日
052955CC永豐,140,8000,3,0.02,0.02,0.01,0.04,11月9日,0.01,11月26日
052957CE永豐,5100,3000,1,1.7,1.7,1.7,1.7,11月28日,1.7,11月28日
052959CG永豐,260,1000,1,0.26,0.26,0.26,0.26,11月1日,0.26,11月1日
052960CH永豐,615400,1172000,30,0.53,0.48,0.25,0.75,11月9日,0.25,11月28日
052961中信A2,2084590,754000,10,2.76,3.07,4.54,4.54,11月29日,2.63,11月13日
052963元富KG,4045520,2242000,81,1.8,1.76,1.76,2.04,11月6日,1.41,11月6日
052964元富KH,37860,370000,4,0.1,0.1,0.09,0.12,11月15日,0.09,11月16日
052965元富KJ,100,10000,1,0.01,0.01,0.01,0.01,11月29日,0.01,11月29日
052966元富KK,90560,245000,9,0.37,0.34,0.18,0.58,11月9日,0.15,11月22日
052967元富KM,202730,2715000,66,0.07,0.08,0.01,0.17,11月2日,0.01,11月30日
052968元富KN,398770,535000,16,0.75,0.71,0.87,0.93,11月29日,0.54,11月22日
052969元富KQ,213880,71000,4,3.01,3.12,2.77,3.46,11月6日,2.77,11月27日
052970元富KS,920,11000,2,0.08,0.1,0.08,0.12,11月7日,0.08,11月13日
052972元富KW,27300,535000,8,0.05,0.06,0.03,0.08,11月7日,0.01,11月30日
052973元富KY,37250,38000,6,0.98,1,1.01,1.02,11月2日,0.96,11月5日
052974元富KZ,370440,374000,10,0.99,0.96,1.07,1.07,11月30日,0.79,11月1日
052975元富LA,107750,36000,5,2.99,3.06,3.43,3.43,11月29日,2.82,11月6日
052978CN永豐,3220,45000,2,0.07,0.11,0.14,0.14,11月30日,0.07,11月1日
052979兆豐07,20720,131000,5,0.16,0.16,0.16,0.18,11月15日,0.13,11月1日
052980兆豐08,3941290,4525000,176,0.87,0.91,1.18,1.18,11月30日,0.7,11月19日
052981兆豐09,341450,578000,13,0.59,0.58,0.67,0.67,11月27日,0.47,11月16日
052982第一2K,233550,1054000,21,0.22,0.19,0.06,0.27,11月2日,0.06,11月26日
052983第一2L,39000,190000,9,0.21,0.19,0.15,0.27,11月7日,0.14,11月30日
052987富邦BD,59140,106000,9,0.56,0.55,0.43,0.69,11月12日,0.43,11月20日
052988富邦BF,27200,40000,2,0.68,0.68,0.4,0.96,11月2日,0.4,11月29日
052990富邦BH,39500,10000,1,3.95,3.95,3.95,3.95,11月14日,3.95,11月14日
052992富邦BK,19470,153000,10,0.13,0.13,0.18,0.2,11月7日,0.06,11月28日
052993富邦BL,4337610,2675000,52,1.62,1.19,2.01,2.05,11月30日,0.78,11月19日
052996統一BB,14050,5000,1,2.81,2.81,2.81,2.81,11月15日,2.81,11月15日
052997統一BC,49380,38000,4,1.3,1.3,1.2,1.36,11月2日,1.2,11月29日
052998統一BD,2256110,2972000,70,0.76,0.74,0.88,0.88,11月28日,0.48,11月21日
052999群益DB,140070,1974000,50,0.07,0.07,0.1,0.11,11月29日,0.03,11月22日
053000群益DC,134020,60000,10,2.23,2.17,2.33,2.38,11月29日,1.91,11月22日
053001群益DD,1700,170000,2,0.01,0.01,0.01,0.01,11月14日,0.01,11月14日
053002群益DE,538010,856000,12,0.63,0.64,0.82,0.86,11月27日,0.41,11月14日
053004元大H2,10390,1039000,14,0.01,0.01,0.01,0.01,11月30日,0.01,11月30日
053005元大H5,44070,138000,6,0.32,0.34,0.26,0.41,11月1日,0.26,11月13日
053006元大H6,182150,98000,9,1.86,2.07,2.5,2.5,11月30日,1.77,11月2日
053008元大H8,1520,147000,5,0.01,0.02,0.01,0.06,11月7日,0.01,11月30日
053009大華KQ,246210,348000,29,0.71,0.61,0.85,0.85,11月30日,0.37,11月15日
053010大華KR,185170,207000,16,0.89,0.97,1.14,1.14,11月28日,0.82,11月1日
053011大華KU,73800,40000,3,1.84,1.84,1.81,1.88,11月2日,1.81,11月5日
053012大華KV,863180,414000,28,2.08,2.07,1.91,2.49,11月2日,1.86,11月8日
053014大華KX,87350,55000,7,1.59,1.5,1.73,1.73,11月30日,1.29,11月28日
053015大華KY,3000,200000,3,0.02,0.02,0.01,0.03,11月2日,0.01,11月16日
053017大華LA,2762080,3427000,130,0.81,0.8,0.82,1.12,11月9日,0.51,11月13日
053019國泰51,421680,327000,29,1.29,1.25,1.07,1.51,11月12日,1,11月23日
053021國泰53,49690,1286000,34,0.04,0.04,0.02,0.11,11月27日,0.01,11月26日
053022國泰54,83300,77000,14,1.08,1.17,1.8,1.8,11月29日,0.76,11月6日
053023工銀C8,1661190,5188000,96,0.32,0.4,0.83,0.83,11月29日,0.2,11月21日
053024工銀C9,277730,782000,46,0.36,0.32,0.62,0.64,11月29日,0.11,11月21日
053025工銀D1,182160,1881000,19,0.1,0.09,0.01,0.17,11月9日,0.01,11月22日
053027工銀D3,41610,689000,13,0.06,0.05,0.04,0.07,11月29日,0.04,11月30日
053028CS永豐,28780,44000,3,0.65,0.68,0.65,0.78,11月2日,0.61,11月1日
053030CU永豐,205700,481000,7,0.43,0.41,0.38,0.44,11月7日,0.38,11月8日
053031CV永豐,1802350,6083000,101,0.3,0.31,0.5,0.5,11月30日,0.17,11月21日
053032CW永豐,266160,223000,5,1.19,1.33,1.76,1.76,11月12日,1.1,11月8日
053033群益DF,6834850,2905000,140,2.35,2.3,2.67,3.77,11月2日,1.04,11月21日
053034凱基KU,1925980,2321000,145,0.83,0.76,0.67,1.1,11月6日,0.56,11月21日
053035凱基KV,25130,1459000,127,0.02,0.02,0.01,0.12,11月2日,0.01,11月28日
053036元富LK,10255160,6490000,529,1.58,1.26,1.24,2.75,11月2日,0.46,11月20日
053037元富LL,13448600,3849000,358,3.49,3.46,4.44,4.69,11月30日,2.37,11月21日
053038元富LM,605430,963000,57,0.63,0.58,0.26,1.1,11月9日,0.18,11月30日
053039元富LN,10379740,4829000,228,2.15,2,2.79,3.41,11月14日,1.1,11月1日
053040元富LP,25655590,5296000,289,4.84,6.06,10,10.1,11月30日,3.89,11月1日
053041元富LQ,5790,579000,12,0.01,0.01,0.01,0.01,11月28日,0.01,11月28日
053042元富LR,84330,598000,18,0.14,0.2,0.03,0.48,11月5日,0.02,11月22日
053043元富LS,18280,50000,6,0.37,0.3,0.41,0.41,11月30日,0.19,11月22日
053044元富LT,41220,44000,6,0.94,0.92,1.32,1.48,11月27日,0.62,11月15日
053045康和GK,48500,260000,22,0.19,0.18,0.08,0.35,11月7日,0.06,11月20日
053046元大H9,17810,92000,6,0.19,0.18,0.12,0.23,11月2日,0.12,11月20日
053047大展K2,11250,25000,1,0.45,0.45,0.45,0.45,11月9日,0.45,11月9日
053048大展K3,43990,512000,17,0.09,0.08,0.06,0.11,11月6日,0.03,11月15日
053050大展K5,16590,516000,13,0.03,0.05,0.01,0.11,11月7日,0.01,11月20日
053051大展K6,2574190,7757000,168,0.33,0.33,0.47,0.57,11月28日,0.19,11月21日
053052大展K7,21877400,11649000,412,1.88,2.19,2.89,3.07,11月28日,1.2,11月1日
053053CZ永豐,300,30000,1,0.01,0.01,0.01,0.01,11月1日,0.01,11月1日
053054DA永豐,22760,518000,23,0.04,0.04,0.01,0.07,11月19日,0.01,11月30日
053055DB永豐,112600,226000,10,0.5,0.44,0.42,0.53,11月7日,0.34,11月29日
053056DC永豐,3040,59000,2,0.05,0.06,0.05,0.06,11月2日,0.05,11月7日
053057DG永豐,22370,470000,38,0.05,0.06,0.01,0.12,11月1日,0.01,11月21日
053058凱基KW,513820,3877000,107,0.13,0.1,0.02,0.21,11月2日,0.02,11月28日
053059凱基KX,26040,2600000,283,0.01,0.01,0.01,0.05,11月16日,0.01,11月30日
053060凱基KY,59310,1051000,40,0.06,0.07,0.01,0.12,11月2日,0.01,11月30日
053061凱基KZ,158130,498000,10,0.32,0.35,0.32,0.52,11月7日,0.23,11月22日
053062元富LC,18000,100000,4,0.18,0.18,0.16,0.2,11月13日,0.16,11月14日
053064元富LE,229840,491000,55,0.47,0.4,0.36,0.64,11月6日,0.3,11月21日
053065元富LF,4060,406000,5,0.01,0.01,0.01,0.01,11月27日,0.01,11月27日
053066元富LG,100,10000,1,0.01,0.01,0.01,0.01,11月22日,0.01,11月22日
053067元富LH,31460,3146000,45,0.01,0.01,0.01,0.01,11月28日,0.01,11月28日
053068元富LV,7750,595000,9,0.01,0.02,0.01,0.04,11月1日,0.01,11月20日
053069日盛80,3470,347000,9,0.01,0.01,0.01,0.01,11月19日,0.01,11月19日
053070日盛82,34100,150000,6,0.23,0.18,0.14,0.25,11月1日,0.14,11月22日
053071日盛83,496400,3713000,194,0.13,0.09,0.03,0.25,11月5日,0.01,11月27日
053072DH永豐,1320,43000,7,0.03,0.03,0.01,0.04,11月14日,0.01,11月20日
053073DI永豐,8000,20000,11,0.4,0.4,0.39,0.41,11月5日,0.39,11月6日
053074DJ永豐,1094180,3424000,69,0.32,0.41,0.79,0.79,11月29日,0.2,11月21日
053075DK永豐,62910,135000,17,0.47,0.5,0.79,0.79,11月29日,0.32,11月15日
053077DM永豐,100850,671000,20,0.15,0.13,0.03,0.21,11月9日,0.03,11月21日
053078DN永豐,918060,2257000,53,0.41,0.42,0.57,0.57,11月29日,0.31,11月1日
053079元大I1,550,5000,1,0.11,0.11,0.11,0.11,11月9日,0.11,11月9日
053080中信A4,20860,1486000,51,0.01,0.02,0.01,0.04,11月2日,0.01,11月30日
053081中信A5,28984360,13904000,275,2.08,2.3,3.94,3.98,11月30日,1.4,11月21日
053083統一BE,20230,46000,5,0.44,0.45,0.47,0.47,11月9日,0.4,11月8日
053084元富LW,4536360,1625000,124,2.79,2.82,3.19,3.19,11月30日,2.37,11月21日
053085元富LX,5107080,9896000,175,0.52,0.51,0.56,0.64,11月27日,0.37,11月1日
053086凱基LB,3480,348000,35,0.01,0.01,0.01,0.01,11月28日,0.01,11月28日
053087凱基LD,2501010,6077000,94,0.41,0.35,0.28,0.68,11月9日,0.14,11月22日
053088元大J2,67960,180000,19,0.38,0.36,0.39,0.45,11月28日,0.2,11月5日
053089元大J3,25580,347000,6,0.07,0.06,0.02,0.12,11月8日,0.02,11月27日
053091元大J5,187040,832000,25,0.22,0.21,0.16,0.29,11月8日,0.13,11月22日
053092元大J6,446510,178000,31,2.51,2.68,3.68,3.68,11月30日,2.3,11月16日
053093元大J7,137560,414000,11,0.33,0.31,0.12,0.45,11月1日,0.12,11月30日
053094大華LC,179630,107000,16,1.68,1.85,1.94,2.33,11月8日,1.05,11月2日
053096兆豐10,100,10000,1,0.01,0.01,0.01,0.01,11月14日,0.01,11月14日
053098兆豐12,474520,1606000,39,0.3,0.26,0.37,0.37,11月30日,0.1,11月27日
053099兆豐13,11776550,22732000,666,0.52,0.5,0.65,0.77,11月29日,0.39,11月21日
053101兆豐15,1534080,8056000,124,0.19,0.15,0.08,0.25,11月7日,0.05,11月21日
053102兆豐16,229960,1413000,25,0.16,0.17,0.18,0.21,11月7日,0.13,11月22日
053103兆豐17,802510,2331000,32,0.34,0.33,0.34,0.4,11月2日,0.29,11月23日
053105兆豐19,21120,786000,21,0.03,0.11,0.2,0.2,11月22日,0.02,11月20日
053106兆豐20,300290,192000,17,1.56,1.7,2.02,2.02,11月30日,1.29,11月2日
053107富邦BS,1500,10000,1,0.15,0.15,0.15,0.15,11月15日,0.15,11月15日
053108富邦BT,3010,43000,1,0.07,0.07,0.07,0.07,11月1日,0.07,11月1日
053110DT永豐,962430,779000,48,1.24,1.24,1.26,1.46,11月12日,0.87,11月1日
053111DU永豐,5500,115000,5,0.05,0.04,0.02,0.06,11月5日,0.02,11月30日
053112DV永豐,18000,100000,2,0.18,0.18,0.13,0.23,11月12日,0.13,11月14日
053113DW永豐,729930,1573000,44,0.46,0.42,0.8,0.8,11月30日,0.14,11月22日
053114兆豐21,1245620,6656000,181,0.19,0.17,0.25,0.31,11月30日,0.08,11月21日
053115DX永豐,282040,847000,50,0.33,0.24,0.28,0.45,11月7日,0.09,11月15日
053116DY永豐,254550,170000,10,1.5,1.53,1.66,1.73,11月2日,1.29,11月6日
053117DZ永豐,13220,1322000,29,0.01,0.01,0.01,0.01,11月30日,0.01,11月30日
053118EA永豐,803730,1351000,15,0.59,0.68,0.75,0.75,11月30日,0.58,11月5日
053120國票HG,9320,922000,12,0.01,0.01,0.01,0.02,11月29日,0.01,11月30日
053121元大K3,194220,677000,18,0.29,0.28,0.38,0.38,11月30日,0.13,11月21日
053122元大K4,505680,200000,13,2.53,2.59,2.84,2.86,11月26日,2.33,11月13日
053123元大K5,182620,52000,5,3.51,3.49,3.64,3.64,11月30日,3.33,11月13日
053124元大K6,365710,6506000,154,0.06,0.05,0.01,0.1,11月2日,0.01,11月19日
053125元大K7,3255700,340000,13,9.58,10.11,10.1,10.8,11月13日,9.5,11月6日
053126元大K8,354900,14335000,307,0.02,0.02,0.02,0.09,11月12日,0.01,11月29日
053127元大K9,22000,50000,1,0.44,0.44,0.44,0.44,11月27日,0.44,11月27日
053128元大L1,23720,1447000,39,0.02,0.02,0.01,0.03,11月2日,0.01,11月29日
053129凱基LE,135620,964000,13,0.14,0.16,0.08,0.25,11月12日,0.08,11月29日
053131凱基LG,287800,1742000,46,0.17,0.16,0.18,0.24,11月2日,0.1,11月16日
053132凱基LH,24940,8000,4,3.12,3.12,2.97,3.46,11月21日,2.89,11月22日
053133富邦BW,1045120,336000,42,3.11,2.97,3.1,3.53,11月1日,2.58,11月16日
053134富邦BX,3126580,3672000,194,0.85,0.87,1.09,1.2,11月29日,0.47,11月1日
053135群益DH,3055910,15768000,282,0.19,0.2,0.12,0.32,11月1日,0.11,11月23日
053136群益DJ,72000,25000,3,2.88,2.87,2.88,2.89,11月14日,2.86,11月13日
053137群益DM,31800,15000,2,2.12,2.12,2.12,2.12,11月22日,2.12,11月22日
053138國泰63,24780,6000,1,4.13,4.13,4.13,4.13,11月30日,4.13,11月30日
053139國泰64,985160,10793000,243,0.09,0.09,0.09,0.18,11月2日,0.04,11月23日
053140凱基LK,6337600,6293000,237,1.01,0.83,0.49,1.52,11月1日,0.39,11月22日
053141凱基LM,9600,320000,8,0.03,0.03,0.03,0.03,11月30日,0.03,11月30日
053143凱基LP,243580,930000,32,0.26,0.38,0.49,0.51,11月30日,0.18,11月1日
053144凱基LQ,990,99000,10,0.01,0.01,0.01,0.01,11月21日,0.01,11月21日
053145凱基LR,766560,519000,19,1.48,1.5,1.44,1.65,11月5日,1.43,11月16日
053147永昌EQ,7600,60000,4,0.13,0.15,0.23,0.23,11月30日,0.1,11月19日
053148永昌ER,2140,85000,4,0.03,0.06,0.02,0.1,11月1日,0.01,11月26日
053149永昌ES,200,20000,1,0.01,0.01,0.01,0.01,11月14日,0.01,11月14日
053150永昌ET,147700,898000,14,0.16,0.18,0.1,0.23,11月9日,0.1,11月13日
053152永昌EV,64000,1000000,16,0.06,0.06,0.07,0.07,11月29日,0.05,11月28日
053153永昌EW,80100,135000,3,0.59,0.59,0.57,0.61,11月7日,0.57,11月9日
053155永昌EY,643910,683000,46,0.94,0.96,1.14,1.14,11月29日,0.8,11月5日
053156永昌EZ,5160,516000,6,0.01,0.01,0.01,0.01,11月27日,0.01,11月27日
053157永昌FA,260,1000,1,0.26,0.26,0.26,0.26,11月22日,0.26,11月22日
053159元大L2,147750,9740000,151,0.02,0.02,0.02,0.03,11月9日,0.01,11月30日
053161元大L4,365910,694000,302,0.53,0.56,0.58,0.62,11月26日,0.47,11月15日
053162元大L5,2990,299000,7,0.01,0.01,0.01,0.01,11月29日,0.01,11月29日
053163元大L6,504230,821000,64,0.61,0.59,0.5,0.93,11月7日,0.29,11月22日
053166元大L9,160460,73000,10,2.2,2.09,1.73,2.47,11月9日,1.73,11月23日
053167元大M1,67230,289000,9,0.23,0.27,0.13,0.36,11月12日,0.13,11月28日
053168元大M2,91420,371000,19,0.25,0.26,0.32,0.34,11月29日,0.14,11月19日
053169元大M3,94600,100000,8,0.95,0.94,1.08,1.08,11月22日,0.87,11月6日
053170亞東29,5400,495000,14,0.01,0.02,0.01,0.05,11月2日,0.01,11月26日
053171亞東30,74450,103000,15,0.72,0.68,0.58,0.79,11月9日,0.58,11月20日
053174富邦BZ,4250,410000,12,0.01,0.02,0.01,0.04,11月1日,0.01,11月21日
053175統一BF,31200,20000,2,1.56,1.56,1.56,1.56,11月6日,1.56,11月6日
053176統一BG,5981040,3416000,76,1.75,1.73,2.2,2.2,11月30日,1.4,11月5日
053177第一2M,28080,16000,2,1.76,1.76,1.83,1.83,11月27日,1.68,11月23日
053178第一2N,180,1000,1,0.18,0.18,0.18,0.18,11月29日,0.18,11月29日
053179第一2P,142100,160000,7,0.89,0.89,0.86,0.94,11月2日,0.86,11月6日
053180第一2Q,3330,6000,2,0.56,0.52,0.48,0.57,11月5日,0.48,11月20日
053182第一2S,39200,80000,3,0.49,0.5,0.43,0.55,11月9日,0.43,11月19日
053184EG永豐,514280,2113000,53,0.24,0.25,0.28,0.29,11月27日,0.17,11月5日
053185EH永豐,342750,448000,17,0.77,0.66,0.91,0.93,11月30日,0.43,11月1日
053186EI永豐,1991050,15161000,230,0.13,0.1,0.02,0.2,11月2日,0.01,11月27日
053187EJ永豐,92070,297000,3,0.31,0.31,0.31,0.31,11月1日,0.31,11月1日
053188EK永豐,168300,396000,104,0.42,0.42,0.43,0.43,11月6日,0.42,11月5日
053190EM永豐,11100,1110000,16,0.01,0.01,0.01,0.01,11月16日,0.01,11月16日
053191EN永豐,726650,1319000,43,0.55,0.54,0.5,0.66,11月2日,0.41,11月28日
053192元富LY,8648830,3495000,278,2.47,2.89,4.64,4.64,11月30日,1.94,11月15日
053194元富MA,13940,1285000,21,0.01,0.01,0.01,0.03,11月14日,0.01,11月28日
053195元富MB,4939750,2979000,148,1.66,1.57,1.67,1.8,11月7日,1.33,11月16日
053196元富MC,9613950,18645000,736,0.52,0.58,1.13,1.21,11月30日,0.35,11月5日
053197元富ME,21910,7000,1,3.13,3.13,3.13,3.13,11月6日,3.13,11月6日
053198元富MF,249300,554000,19,0.45,0.45,0.51,0.52,11月30日,0.26,11月1日
053200大華LI,30900,60000,3,0.52,0.5,0.49,0.55,11月20日,0.49,11月21日
053201大華LJ,3126550,1223000,31,2.56,2.56,3.19,3.19,11月26日,2.21,11月5日
053202大華LK,8300,830000,45,0.01,0.01,0.01,0.01,11月30日,0.01,11月30日
053203中信A6,3816770,2073000,109,1.84,1.82,3.01,3.01,11月30日,1.14,11月21日
053204兆豐23,11812130,11874000,605,0.99,0.97,1.21,1.38,11月2日,0.63,11月20日
053205兆豐24,16070,339000,22,0.05,0.06,0.05,0.09,11月6日,0.03,11月21日
053206兆豐25,114040,1099000,32,0.1,0.1,0.12,0.14,11月2日,0.07,11月14日
053208兆豐27,143420,715000,28,0.2,0.19,0.19,0.24,11月9日,0.11,11月22日
053209兆豐28,261440,508000,11,0.51,0.53,0.36,0.72,11月2日,0.36,11月22日
053210兆豐29,1900,30000,2,0.06,0.06,0.03,0.08,11月2日,0.03,11月14日
053211兆豐30,165850,2019000,68,0.08,0.08,0.07,0.16,11月9日,0.04,11月16日
053212兆豐31,352090,3280000,103,0.11,0.1,0.16,0.16,11月30日,0.05,11月22日
053213兆豐32,946240,1695000,95,0.56,0.53,0.86,0.89,11月29日,0.36,11月21日
053214兆豐33,67800,40000,4,1.7,1.69,1.73,1.73,11月28日,1.66,11月23日
053215兆豐34,513150,526000,105,0.98,0.99,1.02,1.25,11月12日,0.75,11月1日
053216元富MH,4557030,15491000,562,0.29,0.23,0.05,0.54,11月7日,0.05,11月30日
053217元富MK,3140640,2478000,41,1.27,1.41,1.83,1.84,11月29日,1.01,11月14日
053218EQ永豐,348320,422000,9,0.83,0.71,0.63,0.97,11月1日,0.47,11月21日
053219ER永豐,440,22000,2,0.02,0.02,0.02,0.02,11月13日,0.02,11月13日
053220元大M5,15200,80000,1,0.19,0.19,0.19,0.19,11月16日,0.19,11月16日
053221元大M6,688730,2396000,61,0.29,0.35,0.54,0.55,11月30日,0.17,11月13日
053222元大M7,32250,3197000,48,0.01,0.01,0.01,0.02,11月9日,0.01,11月30日
053224元大M9,36470,2992000,91,0.01,0.01,0.01,0.03,11月9日,0.01,11月30日
053226元大N2,2594830,1383000,16,1.88,1.88,2,2,11月23日,1.75,11月1日
053228國泰65,20790,297000,3,0.07,0.07,0.07,0.07,11月30日,0.07,11月30日
053229國泰66,43580,156000,11,0.28,0.27,0.17,0.34,11月9日,0.17,11月30日
053230工銀D6,1883730,5690000,103,0.33,0.29,0.1,0.41,11月2日,0.1,11月30日
053231工銀E2,2295760,1948000,62,1.18,1.08,1.76,1.76,11月30日,0.74,11月21日
053232工銀E3,300,5000,1,0.06,0.06,0.06,0.06,11月9日,0.06,11月9日
053233工銀E4,63000,123000,36,0.51,0.53,0.52,0.72,11月2日,0.36,11月21日
053234工銀E5,181630,1444000,30,0.13,0.14,0.09,0.22,11月2日,0.09,11月28日
053235工銀E6,181320,804000,8,0.23,0.2,0.19,0.26,11月7日,0.17,11月29日
053237工銀E8,3700,370000,4,0.01,0.01,0.01,0.01,11月12日,0.01,11月12日
053238工銀E9,82670,411000,16,0.2,0.18,0.2,0.25,11月5日,0.15,11月19日
053241富邦CA,492820,5723000,99,0.09,0.08,0.06,0.13,11月1日,0.04,11月23日
053242富邦CB,2006350,915000,43,2.19,2.26,2.64,2.64,11月26日,1.93,11月6日
053243富邦CC,1934290,778000,110,2.49,2.7,5.15,5.45,11月27日,0.88,11月5日
053244富邦CD,6300,5000,1,1.26,1.26,1.26,1.26,11月30日,1.26,11月30日
053245富邦CE,2612550,3059000,86,0.85,0.85,0.88,1,11月29日,0.6,11月1日
053246兆豐35,2583900,3056000,192,0.85,0.81,1.42,1.43,11月30日,0.34,11月5日
053247群益DP,1124110,1258000,104,0.89,0.9,1.38,1.43,11月27日,0.39,11月5日
053248群益DQ,1067380,1388000,30,0.77,0.74,0.79,0.92,11月29日,0.52,11月1日
053249群益DR,800,10000,1,0.08,0.08,0.08,0.08,11月2日,0.08,11月2日
053250群益DT,630790,3390000,68,0.19,0.19,0.19,0.25,11月8日,0.12,11月1日
053251群益DU,510910,736000,44,0.69,0.68,0.48,1.48,11月9日,0.41,11月26日
053252群益DV,52600,420000,8,0.13,0.13,0.13,0.13,11月9日,0.12,11月9日
053253亞東32,120790,638000,5,0.19,0.16,0.18,0.22,11月2日,0.12,11月15日
053254亞東33,7907940,4826000,86,1.64,1.85,2.6,2.6,11月27日,1.39,11月1日
053256亞東35,4180,64000,4,0.07,0.07,0.06,0.08,11月2日,0.06,11月6日
053257亞東36,596460,467000,17,1.28,1.31,1.67,1.67,11月30日,1.09,11月21日
053258亞東37,316540,409000,27,0.77,0.79,0.87,0.89,11月29日,0.64,11月5日
053261富邦CF,2100,2000,1,1.05,1.05,1.05,1.05,11月23日,1.05,11月23日
053262富邦CG,33870,315000,6,0.11,0.12,0.07,0.17,11月9日,0.07,11月26日
053263富邦CH,149530,2227000,89,0.07,0.07,0.1,0.12,11月16日,0.03,11月2日
053264元富MM,8620690,2327000,57,3.7,3.83,4.59,4.59,11月28日,3.38,11月21日
053265元富MN,85430,2091000,142,0.04,0.05,0.05,0.5,11月14日,0.01,11月2日
053266元富MP,80080,1308000,105,0.06,0.08,0.12,0.3,11月12日,0.04,11月15日
053267元富MQ,3200,40000,1,0.08,0.08,0.08,0.08,11月7日,0.08,11月7日
053268第一2U,958510,3774000,72,0.25,0.27,0.35,0.36,11月30日,0.19,11月21日
053269第一2V,1100,110000,3,0.01,0.01,0.01,0.01,11月27日,0.01,11月27日
053270EU永豐,56610,3789000,124,0.01,0.02,0.02,0.03,11月16日,0.01,11月30日
053271大華LM,20110,1941000,23,0.01,0.02,0.01,0.05,11月9日,0.01,11月16日
053272大華LP,2850,19000,1,0.15,0.15,0.15,0.15,11月19日,0.15,11月19日
053273大華LQ,2750,181000,7,0.02,0.02,0.02,0.02,11月12日,0.01,11月2日
053274康和GP,8970,20000,4,0.45,0.5,0.54,0.62,11月27日,0.34,11月1日
053275康和GQ,1600,160000,2,0.01,0.01,0.01,0.01,11月23日,0.01,11月23日
053276康和GR,6600,24000,4,0.28,0.29,0.2,0.38,11月9日,0.2,11月12日
053277康和GS,200,2000,1,0.1,0.1,0.1,0.1,11月9日,0.1,11月9日
053278康和GT,16930,1431000,68,0.01,0.01,0.01,0.02,11月16日,0.01,11月29日
053279國泰70,21740,956000,13,0.02,0.02,0.02,0.03,11月15日,0.01,11月8日
053280中信A8,1191120,6825000,119,0.17,0.15,0.06,0.23,11月9日,0.06,11月30日
053281元大N5,27780,502000,19,0.06,0.08,0.12,0.12,11月30日,0.02,11月8日
053282元大N6,1262440,8119000,124,0.16,0.12,0.02,0.21,11月8日,0.01,11月26日
053283元大N7,1535030,785000,97,1.96,1.93,1.52,2.5,11月15日,1.52,11月30日
053284元富MR,746800,3902000,265,0.19,0.19,0.4,0.48,11月30日,0.04,11月7日
053286元富MT,4400,20000,1,0.22,0.22,0.22,0.22,11月26日,0.22,11月26日
053287凱基LS,18520,361000,11,0.05,0.15,0.06,0.5,11月2日,0.04,11月26日
053288凱基LT,369810,5240000,134,0.07,0.06,0.1,0.14,11月30日,0.01,11月2日
053289凱基LW,24509540,11661000,254,2.1,2.16,2.57,2.76,11月29日,1.71,11月13日
053290第一2W,123700,295000,23,0.42,0.44,0.19,0.64,11月13日,0.19,11月27日
053291大眾7Q,604760,1196000,228,0.51,0.52,0.58,0.59,11月2日,0.4,11月2日
053293國票HL,1192120,3027000,186,0.39,0.37,0.72,0.74,11月30日,0.15,11月22日
053294國票HM,450,36000,3,0.01,0.02,0.01,0.03,11月5日,0.01,11月22日
053295國票HN,84300,575000,9,0.15,0.15,0.21,0.21,11月27日,0.09,11月19日
053297國票HQ,205440,366000,13,0.56,0.64,0.86,0.86,11月30日,0.48,11月22日
053299國票HS,1476990,1333000,43,1.11,1.09,1.34,1.43,11月30日,0.86,11月13日
