,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3094  聯傑,50771223,3268646,1886,15.53,15.4,16.15,16.55,11月30日,14.8,11月21日,3.83
3189  景碩,8286124632,94497819,53015,87.69,87.39,92.5,93.1,11月29日,78.4,11月1日,21.19
3257  虹冠電,125768812,4829791,2959,26.04,25.94,26.7,27.35,11月2日,24.3,11月21日,12.47
3443  創意,3277660592,34922923,24395,93.85,93.05,99,100,11月30日,87,11月21日,26.06
3519  綠能,4683471977,249343349,86832,18.78,18.16,21.05,21.05,11月30日,13.5,11月1日,77.47
3532  台勝科,59717784,2016468,1482,29.62,29.54,31.1,31.5,11月30日,27.05,11月22日,0.26
3545  旭曜,2373414031,66590613,33572,35.64,34.87,38,39.25,11月30日,31.9,11月19日,48.04
3559  全智科,175324383,11194634,4764,15.66,15.34,16.2,16.8,11月27日,14.6,11月19日,9.53
3579  尚志,680509578,30966331,15558,21.98,21.4,23.65,24.45,11月30日,18.5,11月1日,26.79
3588  通嘉,64632976,1454939,1104,44.42,44.36,44.9,46,11月9日,42.35,11月22日,3.24
3598  奕力,5358815863,59196052,40452,90.53,89.83,92.3,96.4,11月2日,84.5,11月20日,86.62
3638  F-IML,1588939091,17012643,11639,93.4,93.8,94.7,99.6,11月7日,87.1,11月20日,21.02
3686  達能,1022963401,87882151,32342,11.64,11.45,12.6,12.7,11月30日,10,11月1日,43.15
3697  F-晨星,8993681983,36932113,22691,243.52,243.8,249,251,11月30日,231,11月21日,6.93
4919  新唐,501965985,17200315,9656,29.18,28.9,30.8,31.3,11月30日,27.25,11月21日,8.29
4952  凌通,59253985,3263057,1531,18.16,17.95,19.05,19.35,11月30日,17,11月21日,3
5305  敦南,127236146,9993988,3756,12.73,12.64,13.35,13.45,11月30日,12,11月1日,2.23
5471  松翰,348663985,9372456,5490,37.2,36.73,39.4,39.85,11月30日,35.5,11月21日,5.58
6145  勁永,753563572,65883104,19752,11.44,11.29,11.7,12.35,11月26日,10.5,11月6日,29.61
6202  盛群,95695270,3274904,2289,29.22,29.17,30,30.1,11月30日,28.5,11月23日,1.46
6239  力成,12573304773,309645101,132737,40.61,40.5,43.05,43.3,11月30日,37.65,11月20日,39.74
6243  迅杰,62396849,4983726,2557,12.52,12.46,12.8,13.35,11月9日,11.2,11月22日,6.62
6257  矽格,539050550,23006106,11510,23.43,23.31,23.85,24.65,11月2日,22.3,11月22日,6.3
6271  同欣電,1943489862,19106437,13206,101.72,101.1,100.5,108,11月9日,95.8,11月22日,11.73
6286  立錡,1836787176,11471861,9768,160.11,160.02,168,168,11月30日,151,11月1日,7.67
8016  矽創,280613746,7512867,4448,37.35,36.95,37.95,38.9,11月30日,35.5,11月22日,6.36
8081  致新,1158050902,11826302,9043,97.92,96.45,101,103.5,11月30日,92.5,11月1日,13.72
8110  華東,227162510,29492179,9089,7.7,7.33,8.18,8.34,11月28日,6.79,11月22日,5.87
8131  福懋科,90797912,5849086,3241,15.52,15.54,16.55,16.55,11月30日,14.7,11月21日,1.32
8261  富鼎,46594547,5111134,1945,9.12,9.09,9.42,9.5,11月30日,8.52,11月1日,3.63
8271  宇瞻,705576076,29156284,12356,24.2,24.1,24.15,25.35,11月12日,22.8,11月21日,22.29
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,3369048806,89342590,39157,37.71,37.58,39.7,39.7,11月30日,35.75,11月13日,3.89
2305  全友,4567637,1627625,701,2.81,2.83,2.85,2.97,11月9日,2.7,11月16日,0.79
2315  神達,969240010,98042698,24748,9.89,9.58,10.35,10.6,11月29日,9.15,11月20日,6.41
2324  仁寶,8460869365,456733173,120464,18.52,18.48,19.65,19.65,11月30日,17.3,11月22日,10.35
2331  精英,717307764,86239141,23374,8.32,7.96,9.05,9.23,11月30日,7.55,11月21日,7.29
2352  佳世達,658140508,104794125,26844,6.28,6.23,6.32,6.6,11月2日,5.9,11月21日,5.33
2353  宏碁,9942862842,413042500,138379,24.07,23.94,25.3,26,11月30日,22.7,11月22日,14.57
2356  英業達,830747116,81755075,32376,10.16,10.07,10.95,11.1,11月30日,9.51,11月15日,2.28
2357  華碩,23452771698,74616011,49928,314.31,313.27,320.5,323.5,11月9日,305.5,11月21日,9.91
2358  美格,59549234,5074930,1436,11.73,12.05,12.1,13,11月13日,10.35,11月2日,7.81
2362  藍天,810461986,22634103,12031,35.81,35.75,38.1,38.2,11月30日,34.05,11月21日,3.55
2364  倫飛,28099179,10512496,3361,2.67,2.65,2.8,3,11月13日,2.33,11月1日,5.53
2365  昆盈,136599988,15963471,5909,8.56,8.54,8.61,8.88,11月7日,8.01,11月5日,5.23
2376  技嘉,612041281,25811611,14098,23.71,23.71,24.15,24.4,11月2日,22.9,11月5日,4.13
2377  微星,311427487,23805022,10815,13.08,13.02,13.55,13.6,11月30日,12.5,11月5日,2.82
2380  虹光,57125717,7441324,2657,7.68,7.6,7.97,8.05,11月30日,7.2,11月5日,3.38
2382  廣達,13082983197,185160150,79754,70.66,70.56,73,73.8,11月30日,67,11月1日,4.81
2385  群光,2683799357,41782008,27022,64.23,64.43,68.1,68.3,11月30日,60.8,11月19日,6.18
2387  精元,78961136,6248773,1479,12.64,12.46,12.6,13.3,11月2日,11.8,11月22日,1.69
2395  研華,1155296612,10704404,7717,107.93,108.61,108.5,112.5,11月12日,100,11月1日,1.91
2397  友通,39105421,1767599,732,22.12,22.2,22.6,22.85,11月30日,21.6,11月9日,1.54
2399  映泰,81675585,7991903,3177,10.22,9.84,11.45,11.45,11月30日,9.02,11月21日,4.49
2405  浩鑫,226730963,22702217,6028,9.99,9.78,10.2,10.4,11月30日,9.01,11月22日,11.94
2417  圓剛,146215268,10504991,4977,13.92,13.9,13.3,14.6,11月5日,13.05,11月22日,5.08
2424  隴華,26352036,1115543,661,23.62,23.04,24.55,25.2,11月27日,21.1,11月12日,3.72
2442  新美齊,45650902,6623087,2386,6.89,6.74,7.05,7.36,11月14日,6.28,11月1日,4.23
2465  麗臺,11176971,2653487,1111,4.21,4.14,4.46,4.75,11月30日,3.81,11月21日,2.48
2474  可成,52367985707,379295214,210871,138.07,136.41,149,151,11月30日,123.5,11月5日,50.53
3002  歐格,5587624,545647,298,10.24,10.26,10.45,10.7,11月27日,9.8,11月14日,0.53
3005  神基,3127052922,214850208,67253,14.55,14.27,15.65,16.1,11月30日,12.65,11月1日,37.18
3013  晟銘電,514753119,19434244,7409,26.49,26.39,25.8,28.45,11月9日,24.65,11月21日,10.5
3017  奇鋐,197078291,14746181,7156,13.36,13.25,13.55,14.25,11月15日,12.7,11月22日,4.17
3022  威達電,1375290124,35649889,17536,38.58,37.33,41.3,42.2,11月30日,35.55,11月22日,12.09
3046  建碁,4824155,996950,599,4.84,4.86,4.8,5.07,11月9日,4.65,11月22日,0.64
3057  喬鼎,169817194,13903890,5394,12.21,12.03,12.5,13.05,11月16日,10.65,11月1日,9.19
