,民國101年06月,,,,,,,Jun-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
048521永豐JZ,341100,340000,15,1,1.12,1.14,1.45,6月18日,0.6,6月4日
0485238C凱基,488050,756000,46,0.65,0.62,0.46,0.88,6月18日,0.46,6月28日
0485248D凱基,18000,450000,5,0.04,0.04,0.04,0.04,6月21日,0.04,6月21日
0485258E凱基,1051560,2597000,37,0.4,0.4,0.47,0.52,6月1日,0.29,6月4日
0485268F凱基,42720,30000,30,1.42,1.44,1.42,1.67,6月20日,1.35,6月12日
0485278G凱基,260700,962000,27,0.27,0.22,0.34,0.34,6月29日,0.15,6月7日
0485288L凱基,1183230,493000,39,2.4,2.64,3.25,3.54,6月19日,1.56,6月4日
048529NA富邦,331400,5115000,125,0.06,0.07,0.04,0.12,6月26日,0.03,6月13日
048530NB富邦,678430,3248000,517,0.21,0.27,0.32,0.32,6月18日,0.1,6月5日
048532ND富邦,217370,160000,26,1.36,1.5,1.68,2.02,6月18日,0.89,6月4日
048533NE富邦,8897930,9898000,326,0.9,0.98,1.07,1.42,6月20日,0.48,6月4日
048534日盛FY,1073700,1250000,51,0.86,0.77,0.77,1.12,6月18日,0.52,6月4日
048536日盛GA,19900,10000,1,1.99,1.99,1.99,1.99,6月1日,1.99,6月1日
048537NR寶來,24550,45000,3,0.55,0.47,0.47,0.61,6月26日,0.47,6月26日
048539第一LL,21040,198000,3,0.11,0.1,0.08,0.12,6月1日,0.08,6月4日
048541永豐KA,300,20000,2,0.02,0.02,0.02,0.02,6月6日,0.01,6月4日
048542永豐KB,15940,447000,12,0.04,0.04,0.02,0.11,6月1日,0.02,6月19日
048543永豐KC,15400,20000,2,0.77,0.77,0.7,0.84,6月19日,0.7,6月21日
048544兆豐GL,10047460,16474000,797,0.61,0.67,0.77,0.89,6月20日,0.43,6月4日
048545兆豐GM,23750820,60181000,1317,0.39,0.42,0.48,0.63,6月20日,0.25,6月4日
048546兆豐GN,1274690,583000,23,2.19,2.07,1.32,2.9,6月1日,1.24,6月29日
048547兆豐GP,125190,1164000,40,0.11,0.1,0.01,0.32,6月1日,0.01,6月28日
048548兆豐GQ,13820,942000,23,0.01,0.02,0.01,0.03,6月18日,0.01,6月27日
048549兆豐GR,6560,82000,2,0.08,0.08,0.08,0.08,6月14日,0.08,6月14日
048550兆豐GS,27510,75000,5,0.37,0.33,0.16,0.39,6月8日,0.16,6月26日
048551兆豐GT,6506230,5162000,144,1.26,1.21,1.26,1.66,6月18日,0.91,6月4日
048553兆豐GV,1182320,552000,60,2.14,2.18,2.11,2.95,6月18日,1.64,6月4日
048554NS寶來,7010,696000,10,0.01,0.02,0.01,0.06,6月5日,0.01,6月26日
048555NT寶來,12180,1218000,21,0.01,0.01,0.01,0.01,6月22日,0.01,6月22日
048556NU寶來,4190440,8020000,412,0.52,0.53,0.6,0.8,6月18日,0.3,6月4日
048557NV寶來,3850,135000,11,0.03,0.03,0.03,0.03,6月20日,0.02,6月14日
048558NF富邦,725210,260000,18,2.79,2.86,2.68,3.22,6月7日,2.28,6月4日
048559日盛GB,7600,20000,1,0.38,0.38,0.38,0.38,6月4日,0.38,6月4日
048560日盛GC,604890,810000,144,0.75,0.67,0.81,1.11,6月18日,0.29,6月4日
048561日盛GD,4600,40000,2,0.12,0.12,0.13,0.13,6月7日,0.1,6月6日
048562國泰KB,473320,923000,72,0.51,0.44,0.42,0.7,6月19日,0.27,6月4日
048563國泰KC,17770,204000,8,0.09,0.1,0.1,0.12,6月20日,0.08,6月12日
048564國泰KD,9340,152000,5,0.06,0.06,0.05,0.08,6月8日,0.05,6月20日
048565國泰KE,409560,515000,19,0.8,0.75,0.49,1.21,6月1日,0.49,6月26日
048566國泰KF,60750,25000,4,2.43,2.33,2.83,2.83,6月27日,1.87,6月14日
0485678M凱基,2111530,2751000,170,0.77,0.87,0.94,1.61,6月20日,0.48,6月26日
0485688N凱基,6140480,9926000,482,0.62,0.6,0.64,0.91,6月1日,0.41,6月27日
0485698P凱基,14700,282000,11,0.05,0.07,0.02,0.1,6月7日,0.02,6月27日
0485708Q凱基,270640,2993000,64,0.09,0.08,0.05,0.14,6月1日,0.05,6月22日
0485718R凱基,183200,200000,4,0.92,0.95,0.96,1.11,6月20日,0.86,6月19日
048572永昌G5,212120,1785000,62,0.12,0.13,0.1,0.24,6月7日,0.09,6月26日
048575永昌G8,980210,3114000,46,0.31,0.32,0.26,0.39,6月7日,0.26,6月28日
048576永昌G9,49500,198000,2,0.25,0.25,0.24,0.26,6月18日,0.24,6月19日
048577永昌H1,35770,298000,4,0.12,0.12,0.11,0.13,6月5日,0.11,6月6日
048579永昌H3,5500,100000,2,0.06,0.06,0.06,0.06,6月20日,0.05,6月13日
048580永昌H4,79860,218000,4,0.37,0.36,0.37,0.37,6月28日,0.33,6月11日
048581永昌H5,3478610,2229000,50,1.56,1.47,1.8,2.13,6月25日,0.92,6月4日
048582L3群益,111530,71000,4,1.57,1.93,2.32,2.32,6月19日,1.45,6月1日
048583L4群益,1346930,2688000,65,0.5,0.54,0.6,1.08,6月5日,0.36,6月1日
048584L5群益,539720,1975000,53,0.27,0.25,0.29,0.39,6月19日,0.12,6月4日
048585L6群益,5880,28000,2,0.21,0.21,0.21,0.21,6月20日,0.21,6月20日
048586L7群益,6031530,21632000,684,0.28,0.23,0.19,0.76,6月1日,0.11,6月12日
048587L8群益,387260,2755000,120,0.14,0.11,0.04,0.44,6月1日,0.04,6月28日
048588L9群益,644820,6937000,144,0.09,0.06,0.01,0.24,6月1日,0.01,6月27日
048590康和CH,13700,274000,16,0.05,0.05,0.05,0.05,6月19日,0.05,6月19日
048591康和CI,113860,273000,7,0.42,0.43,0.38,0.54,6月1日,0.38,6月12日
048592康和CJ,4960,20000,2,0.25,0.22,0.18,0.26,6月1日,0.18,6月29日
048593康和CK,1300,10000,1,0.13,0.13,0.13,0.13,6月20日,0.13,6月20日
048594康和CL,69090,247000,63,0.28,0.28,0.26,0.3,6月4日,0.26,6月5日
048595康和CM,57320,139000,12,0.41,0.39,0.35,0.44,6月21日,0.35,6月22日
048596康和CN,18680,16000,3,1.17,1.23,1.37,1.37,6月7日,1,6月5日
048597康和CP,68070,979000,51,0.07,0.09,0.08,0.14,6月1日,0.04,6月28日
048598康和CQ,737250,697000,33,1.06,1.05,1.09,1.35,6月1日,0.83,6月4日
048599永豐KD,53780,477000,13,0.11,0.11,0.1,0.15,6月20日,0.04,6月4日
048600永豐KE,2098460,6343000,193,0.33,0.35,0.41,0.57,6月18日,0.16,6月5日
048601永豐KF,182350,4737000,136,0.04,0.02,0.01,0.12,6月1日,0.01,6月29日
048602永豐KG,31550,769000,20,0.04,0.04,0.03,0.05,6月6日,0.03,6月29日
048603永豐KH,224490,291000,8,0.77,0.75,0.89,0.89,6月18日,0.5,6月4日
048604工銀MC,994180,2960000,52,0.34,0.36,0.36,0.46,6月14日,0.24,6月5日
048606工銀ME,129620,1105000,49,0.12,0.12,0.1,0.54,6月18日,0.06,6月26日
048609工銀MH,65730,366000,17,0.18,0.18,0.18,0.21,6月1日,0.16,6月15日
048610工銀MJ,23760,891000,9,0.03,0.03,0.02,0.03,6月5日,0.02,6月8日
048611工銀MK,827730,435000,12,1.9,1.96,2.12,2.55,6月19日,1.57,6月6日
048612NG富邦,34570,317000,5,0.11,0.1,0.07,0.12,6月5日,0.07,6月20日
048613NH富邦,12400,40000,8,0.31,0.31,0.32,0.32,6月8日,0.3,6月7日
048614NJ富邦,3119900,7334000,330,0.43,0.42,0.43,0.6,6月18日,0.33,6月4日
048615NL富邦,2332030,5664000,485,0.41,0.39,0.27,0.57,6月1日,0.18,6月4日
048616NM富邦,1909550,4908000,156,0.39,0.33,0.33,0.5,6月13日,0.2,6月26日
048617NN富邦,2683710,2910000,102,0.92,1.04,1.01,1.27,6月6日,0.66,6月4日
048618NQ富邦,26600,283000,3,0.09,0.09,0.08,0.13,6月1日,0.07,6月14日
048619NR富邦,1088460,1451000,397,0.75,0.76,0.35,1.09,6月7日,0.32,6月29日
048620NS富邦,35440,92000,11,0.39,0.37,0.37,0.53,6月20日,0.31,6月14日
048621NT富邦,2596330,14733000,269,0.18,0.15,0.13,0.25,6月18日,0.09,6月5日
048622NU富邦,2000,60000,2,0.03,0.06,0.02,0.1,6月1日,0.02,6月28日
048623兆豐GW,2800,80000,6,0.04,0.03,0.04,0.04,6月19日,0.03,6月15日
048624兆豐GX,4860,152000,14,0.03,0.03,0.03,0.06,6月1日,0.02,6月11日
048625兆豐GY,229110,1237000,85,0.19,0.2,0.13,0.28,6月18日,0.13,6月25日
048627兆豐HA,89110,1081000,28,0.08,0.09,0.07,0.13,6月18日,0.05,6月4日
048628兆豐HB,4200,60000,5,0.07,0.07,0.06,0.08,6月5日,0.06,6月22日
048629兆豐HC,197120,574000,31,0.34,0.31,0.2,0.51,6月1日,0.2,6月27日
048630統一55,373220,206000,23,1.81,1.82,1.48,2.09,6月6日,1.37,6月25日
048631統一56,107480,481000,84,0.22,0.24,0.16,0.34,6月1日,0.15,6月14日
048632統一57,5892200,3775000,124,1.56,1.76,2.04,2.44,6月18日,1.03,6月4日
048633統一58,803880,792000,8,1.02,1.06,1.15,1.15,6月7日,0.89,6月4日
048634NY寶來,1306280,870000,45,1.5,1.66,2.1,2.1,6月20日,1.34,6月6日
048635NZ寶來,385080,902000,419,0.43,0.45,0.41,0.61,6月18日,0.38,6月28日
048636寶來01,180040,652000,13,0.28,0.28,0.26,0.32,6月25日,0.24,6月21日
048637寶來02,3015160,1900000,94,1.59,1.5,1.6,1.89,6月18日,1.15,6月4日
048638寶來03,11840,121000,3,0.1,0.1,0.08,0.14,6月5日,0.08,6月27日
048639第一LN,12900,23000,3,0.56,0.5,0.41,0.7,6月21日,0.41,6月27日
048640第一LP,2350,24000,3,0.1,0.07,0.03,0.11,6月21日,0.03,6月25日
0486414H元大,3640,194000,5,0.02,0.02,0.01,0.03,6月19日,0.01,6月27日
0486424I元大,31190,263000,18,0.12,0.12,0.08,0.18,6月21日,0.07,6月29日
0486434J元大,127700,370000,12,0.35,0.34,0.23,0.42,6月18日,0.23,6月29日
0486444L元大,4335930,12599000,449,0.34,0.34,0.28,0.6,6月25日,0.17,6月4日
0486454M元大,1699950,1903000,120,0.89,0.91,0.99,1.35,6月25日,0.54,6月4日
0486464N元大,550620,2398000,34,0.23,0.22,0.12,0.27,6月19日,0.12,6月29日
0486474P元大,13767890,37865000,1191,0.36,0.34,0.31,0.88,6月1日,0.23,6月26日
0486488S凱基,5310,6000,2,0.88,0.88,0.9,0.9,6月29日,0.87,6月27日
0486498T凱基,36143250,14293000,461,2.53,2.39,2.54,3.07,6月20日,1.51,6月4日
0486508U凱基,651170,1107000,23,0.59,0.54,0.44,0.67,6月21日,0.43,6月28日
0486518V凱基,4883570,19189000,305,0.25,0.27,0.28,0.5,6月18日,0.15,6月26日
0486528W凱基,20100,90000,3,0.22,0.23,0.13,0.29,6月1日,0.13,6月27日
0486538X凱基,129070,1305000,55,0.1,0.13,0.05,0.23,6月1日,0.05,6月29日
0486559B凱基,2000,10000,1,0.2,0.2,0.2,0.2,6月21日,0.2,6月21日
0486579D凱基,3000,30000,1,0.1,0.1,0.1,0.1,6月11日,0.1,6月11日
0486604U元大,11468390,13913000,1094,0.82,0.84,0.74,1.25,6月20日,0.45,6月27日
0486614V元大,1295950,4203000,137,0.31,0.29,0.2,0.53,6月1日,0.12,6月26日
0486624W元大,5094940,11317000,223,0.45,0.44,0.44,0.68,6月1日,0.3,6月26日
0486634X元大,11200,70000,1,0.16,0.16,0.16,0.16,6月12日,0.16,6月12日
0486644Y元大,721480,681000,64,1.06,1.14,1.21,1.5,6月18日,0.76,6月4日
0486654Z元大,1663390,754000,32,2.21,1.6,1.94,2.47,6月26日,0.94,6月4日
0486665A元大,1386610,361000,29,3.84,3.37,4.15,4.85,6月26日,2.37,6月15日
048667日盛GE,1047460,4748000,73,0.22,0.21,0.2,0.29,6月18日,0.1,6月6日
048668日盛GF,3280,23000,2,0.14,0.15,0.14,0.16,6月15日,0.14,6月20日
048669大華G4,9370,917000,19,0.01,0.01,0.01,0.02,6月21日,0.01,6月28日
048671NV富邦,36666690,41367000,1116,0.89,0.92,1.01,1.24,6月1日,0.67,6月4日
048672NW富邦,29090,211000,10,0.14,0.14,0.11,0.26,6月20日,0.1,6月26日
048673NZ富邦,1350,35000,2,0.04,0.04,0.04,0.04,6月18日,0.03,6月12日
0486751B富邦,14700,90000,3,0.16,0.19,0.11,0.27,6月1日,0.11,6月12日
0486765B元大,958610,1173000,42,0.82,0.77,0.87,0.89,6月21日,0.57,6月4日
0486775C元大,59230,269000,7,0.22,0.24,0.16,0.45,6月1日,0.16,6月29日
0486785D元大,2508370,17485000,697,0.14,0.13,0.08,0.21,6月11日,0.07,6月29日
0486795G元大,405940,723000,357,0.56,0.89,0.59,1.23,6月1日,0.53,6月26日
0486805H元大,1476390,2805000,118,0.53,0.52,0.33,0.82,6月18日,0.29,6月27日
0486815I元大,244220,1070000,26,0.23,0.23,0.15,0.32,6月1日,0.15,6月25日
0486825J元大,2300,230000,3,0.01,0.01,0.01,0.01,6月28日,0.01,6月28日
0486835K元大,58580,526000,9,0.11,0.1,0.05,0.13,6月18日,0.05,6月27日
048684國票DQ,218220,896000,24,0.24,0.25,0.19,0.31,6月18日,0.18,6月27日
048685國票DR,1000,50000,1,0.02,0.02,0.02,0.02,6月14日,0.02,6月14日
048686日盛GG,3040,304000,13,0.01,0.01,0.01,0.01,6月29日,0.01,6月29日
048687日盛GH,1495460,2184000,143,0.68,0.66,0.73,0.85,6月14日,0.38,6月4日
048688日盛GJ,73130,1996000,79,0.04,0.04,0.04,0.05,6月21日,0.02,6月4日
048689統一60,109080,523000,10,0.21,0.2,0.12,0.24,6月13日,0.12,6月29日
048690統一61,574140,868000,28,0.66,0.58,0.69,0.88,6月19日,0.28,6月4日
048691統一63,181300,402000,201,0.45,0.47,0.42,0.52,6月5日,0.4,6月28日
048692統一64,20080,568000,7,0.04,0.03,0.03,0.04,6月4日,0.03,6月4日
0486931C富邦,12490990,17651000,1231,0.71,0.68,0.61,1.07,6月18日,0.32,6月4日
0486945M元大,14000,335000,14,0.04,0.04,0.03,0.05,6月14日,0.03,6月18日
0486955N元大,250760,1401000,29,0.18,0.19,0.13,0.24,6月11日,0.12,6月4日
0486965P元大,149880,73000,8,2.05,2.07,2.11,2.58,6月19日,1.72,6月4日
0486975Q元大,2220090,3044000,259,0.73,0.7,0.74,0.86,6月20日,0.49,6月4日
0486985R元大,29189820,52544000,1070,0.56,0.56,0.58,0.72,6月20日,0.35,6月4日
0486995S元大,5850,13000,1,0.45,0.45,0.45,0.45,6月7日,0.45,6月7日
0487005T元大,409030,1608000,34,0.25,0.24,0.24,0.34,6月21日,0.18,6月4日
048701第一LQ,3480,348000,11,0.01,0.01,0.01,0.01,6月18日,0.01,6月18日
048703第一LS,990,99000,1,0.01,0.01,0.01,0.01,6月4日,0.01,6月4日
048704第一LT,3080,28000,3,0.11,0.11,0.15,0.15,6月5日,0.07,6月4日
048705第一LU,8770,46000,5,0.19,0.19,0.16,0.27,6月19日,0.15,6月26日
048706永豐KI,190930,2903000,50,0.07,0.07,0.05,0.12,6月25日,0.04,6月4日
048707永豐KJ,58220,323000,8,0.18,0.18,0.14,0.23,6月1日,0.14,6月29日
048708永豐KK,7340,565000,11,0.01,0.02,0.01,0.02,6月5日,0.01,6月8日
048709永豐KL,2100,30000,1,0.07,0.07,0.07,0.07,6月5日,0.07,6月5日
048711永豐KN,200,10000,1,0.02,0.02,0.02,0.02,6月19日,0.02,6月19日
048712永豐KP,48680,395000,15,0.12,0.11,0.07,0.15,6月11日,0.07,6月28日
048713永豐KQ,94090,708000,11,0.13,0.16,0.08,0.33,6月1日,0.08,6月26日
048714永豐KR,2100,110000,5,0.02,0.02,0.01,0.02,6月15日,0.01,6月21日
048715永豐KS,115940,720000,15,0.16,0.17,0.15,0.21,6月5日,0.12,6月4日
048716永豐KT,28760,544000,12,0.05,0.05,0.07,0.07,6月18日,0.04,6月7日
048717永豐KU,5311610,7298000,326,0.73,0.78,0.94,1.28,6月22日,0.38,6月4日
048718永豐KV,130180,637000,28,0.2,0.19,0.18,0.3,6月18日,0.12,6月8日
048719M4群益,760870,4564000,129,0.17,0.18,0.06,0.28,6月11日,0.06,6月28日
048720M5群益,25342440,20667000,728,1.23,1.41,1.47,2.16,6月25日,0.82,6月4日
048721M7群益,380380,2196000,58,0.17,0.16,0.08,0.23,6月11日,0.08,6月26日
048722M8群益,28000,50000,5,0.56,0.55,0.49,0.68,6月1日,0.48,6月4日
048723M9群益,8700,30000,1,0.29,0.29,0.29,0.29,6月26日,0.29,6月26日
048724N1群益,521850,281000,17,1.86,1.77,1.9,2.01,6月28日,1.56,6月6日
048725N2群益,387540,1205000,75,0.32,0.32,0.27,0.5,6月1日,0.22,6月26日
048726N3群益,10221570,15919000,298,0.64,0.67,0.68,0.85,6月18日,0.41,6月4日
048727N4群益,3733560,11501000,286,0.32,0.31,0.3,0.55,6月18日,0.18,6月4日
048729N6群益,1566010,18744000,380,0.08,0.06,0.01,0.28,6月1日,0.01,6月29日
048730N7群益,640210,1376000,34,0.47,0.43,0.4,0.6,6月1日,0.38,6月12日
0487319G凱基,113160,486000,14,0.23,0.21,0.22,0.28,6月1日,0.13,6月15日
0487329J凱基,44692400,30206000,950,1.48,1.45,1.45,1.95,6月20日,0.88,6月4日
0487339L凱基,49140,138000,5,0.36,0.32,0.38,0.38,6月20日,0.28,6月5日
0487349M凱基,2120580,14489000,265,0.15,0.13,0.08,0.26,6月1日,0.01,6月4日
0487359V凱基,1255860,1456000,38,0.86,0.81,0.81,1.05,6月18日,0.56,6月4日
0487369W凱基,19444900,32351000,744,0.6,0.63,0.77,1,6月19日,0.28,6月4日
0487379X凱基,56290,13000,8,4.33,4.06,4.8,4.91,6月19日,3.04,6月5日
0487389Z凱基,103090,297000,7,0.35,0.36,0.37,0.38,6月28日,0.29,6月25日
048739凱基01,5282540,5687000,144,0.93,0.89,0.81,1.12,6月7日,0.74,6月26日
048740凱基02,10900,88000,2,0.12,0.12,0.13,0.13,6月6日,0.1,6月4日
048741凱基03,57970,604000,21,0.1,0.09,0.03,0.15,6月1日,0.03,6月28日
048742凱基04,2383690,9579000,282,0.25,0.19,0.1,0.79,6月26日,0.04,6月27日
048743凱基05,594580,7461000,217,0.08,0.04,0.01,0.18,6月1日,0.01,6月29日
048744凱基06,6480,81000,2,0.08,0.08,0.08,0.08,6月20日,0.08,6月20日
048745凱基07,8000,100000,2,0.08,0.08,0.06,0.1,6月21日,0.06,6月26日
048746寶來05,600,20000,1,0.03,0.03,0.03,0.03,6月20日,0.03,6月20日
048747寶來06,16260,39000,3,0.42,0.42,0.5,0.5,6月19日,0.34,6月13日
048748寶來07,6040,24000,4,0.25,0.28,0.24,0.38,6月18日,0.17,6月15日
048749寶來08,882400,3674000,75,0.24,0.24,0.29,0.33,6月18日,0.15,6月4日
048750寶來09,1980,198000,2,0.01,0.01,0.01,0.01,6月8日,0.01,6月8日
048751寶來10,12332880,31798000,419,0.39,0.37,0.32,0.51,6月18日,0.22,6月4日
048752寶來11,23400,60000,1,0.39,0.39,0.39,0.39,6月28日,0.39,6月28日
048753寶來12,119940,421000,6,0.28,0.26,0.29,0.29,6月15日,0.2,6月7日
048754寶來13,39530,488000,14,0.08,0.07,0.04,0.1,6月11日,0.04,6月20日
048758大華G6,1000,20000,1,0.05,0.05,0.05,0.05,6月21日,0.05,6月21日
048759工銀MM,6440,644000,15,0.01,0.01,0.01,0.01,6月29日,0.01,6月29日
048760工銀MN,2381270,6357000,133,0.37,0.31,0.2,0.55,6月19日,0.13,6月4日
048761工銀MQ,722050,3065000,96,0.24,0.23,0.25,0.35,6月1日,0.15,6月27日
048762工銀MS,446910,3125000,40,0.14,0.15,0.15,0.25,6月1日,0.1,6月26日
048763永昌H6,210,6000,2,0.04,0.04,0.03,0.04,6月11日,0.03,6月22日
048764永昌H7,4430,23000,2,0.19,0.2,0.21,0.21,6月18日,0.19,6月11日
048766永昌H9,66160,171000,10,0.39,0.43,0.39,0.55,6月18日,0.33,6月7日
048768永昌J2,11480,28000,2,0.41,0.41,0.46,0.46,6月18日,0.36,6月14日
048769永昌J3,68190,643000,16,0.11,0.11,0.1,0.15,6月1日,0.09,6月4日
048770永昌J4,39640,500000,9,0.08,0.08,0.1,0.11,6月1日,0.03,6月28日
048771永昌J5,32030,252000,4,0.13,0.13,0.13,0.15,6月20日,0.12,6月14日
048772永昌J6,12300,40000,4,0.31,0.29,0.32,0.35,6月1日,0.21,6月4日
0487741D富邦,19850,262000,8,0.08,0.08,0.09,0.09,6月18日,0.07,6月13日
0487751E富邦,23310,701000,13,0.03,0.03,0.02,0.04,6月15日,0.02,6月29日
0487761F富邦,219030,1407000,55,0.16,0.16,0.19,0.29,6月1日,0.09,6月14日
0487771H富邦,7630,107000,3,0.07,0.08,0.07,0.11,6月1日,0.05,6月15日
048779寶來14,309120,93000,8,3.32,3.3,3.87,3.87,6月22日,2.72,6月11日
048780寶來15,284680,2088000,38,0.14,0.15,0.1,0.2,6月1日,0.09,6月29日
048781寶來16,9260,101000,5,0.09,0.09,0.07,0.15,6月1日,0.05,6月4日
048782寶來18,1099080,2619000,76,0.42,0.42,0.38,0.55,6月11日,0.25,6月28日
048783寶來19,56070,558000,19,0.1,0.09,0.08,0.13,6月11日,0.07,6月4日
048784寶來20,3534620,12236000,454,0.29,0.29,0.34,0.59,6月4日,0.18,6月14日
048787群益02,2961210,3565000,70,0.83,0.87,0.88,1.11,6月18日,0.55,6月4日
048788群益03,2500,5000,1,0.5,0.5,0.5,0.5,6月4日,0.5,6月4日
048789日盛GK,15300,406000,11,0.04,0.07,0.05,0.16,6月1日,0.02,6月28日
0487915V元大,2170,7000,1,0.31,0.31,0.31,0.31,6月25日,0.31,6月25日
0487925W元大,9369020,17827000,553,0.53,0.49,0.64,0.83,6月18日,0.2,6月4日
0487935X元大,201520,1507000,50,0.13,0.13,0.04,0.2,6月11日,0.04,6月29日
0487945Y元大,50516130,64464000,2614,0.78,0.75,0.74,1.04,6月18日,0.43,6月4日
0487955Z元大,1484880,5607000,142,0.26,0.23,0.11,0.42,6月18日,0.08,6月28日
048796第一LV,7920,792000,19,0.01,0.01,0.01,0.01,6月29日,0.01,6月29日
048799凱基08,11700,45000,1,0.26,0.26,0.26,0.26,6月1日,0.26,6月1日
048800凱基10,13240,573000,8,0.02,0.02,0.01,0.04,6月1日,0.01,6月21日
048801凱基11,1000,50000,1,0.02,0.02,0.02,0.02,6月12日,0.02,6月12日
048802凱基12,196370,846000,34,0.23,0.23,0.14,0.4,6月1日,0.14,6月29日
048803凱基13,238970,2969000,39,0.08,0.13,0.1,0.39,6月26日,0.05,6月8日
048804凱基14,2058960,2681000,42,0.77,0.73,0.58,0.86,6月21日,0.58,6月27日
048805凱基15,1857240,11664000,218,0.16,0.16,0.17,0.27,6月19日,0.08,6月4日
048807凱基18,4914760,2274000,216,2.16,2.53,2.97,3.95,6月25日,1.39,6月4日
048808凱基19,100,2000,1,0.05,0.05,0.05,0.05,6月26日,0.05,6月26日
048810永豐KW,93670,1075000,21,0.09,0.08,0.04,0.1,6月18日,0.04,6月29日
048811永豐KX,66610,395000,7,0.17,0.18,0.16,0.24,6月18日,0.13,6月5日
048812永豐KY,2412500,2675000,70,0.9,0.92,1.05,1.36,6月19日,0.41,6月4日
048813永豐KZ,16660,674000,35,0.02,0.03,0.01,0.04,6月20日,0.01,6月29日
048814永豐LA,74980,323000,24,0.23,0.24,0.18,0.28,6月20日,0.17,6月4日
048815永豐LB,13880,556000,44,0.02,0.02,0.03,0.06,6月15日,0.01,6月13日
048816永豐LC,500,10000,1,0.05,0.05,0.05,0.05,6月1日,0.05,6月1日
048817永豐LD,2590,253000,27,0.01,0.01,0.01,0.02,6月21日,0.01,6月22日
048818永豐LE,157410,2594000,44,0.06,0.08,0.01,0.2,6月1日,0.01,6月27日
048819永豐LF,92880,2373000,72,0.04,0.04,0.03,0.08,6月1日,0.02,6月26日
048820永豐LG,32450,310000,11,0.1,0.1,0.12,0.17,6月1日,0.08,6月18日
048821永豐LH,40360,639000,17,0.06,0.07,0.04,0.11,6月18日,0.04,6月29日
048823永豐LJ,7610,91000,3,0.08,0.1,0.11,0.11,6月25日,0.07,6月20日
048825永豐LL,5290,27000,3,0.2,0.18,0.21,0.21,6月18日,0.15,6月15日
048826永豐LM,164930,1198000,28,0.14,0.13,0.07,0.21,6月19日,0.07,6月29日
048827永豐LN,469070,2266000,81,0.21,0.15,0.17,0.6,6月26日,0.06,6月14日
048828永豐LP,3540,54000,6,0.07,0.08,0.06,0.1,6月5日,0.06,6月29日
0488291K富邦,844420,4187000,225,0.2,0.18,0.23,0.34,6月18日,0.09,6月4日
0488301L富邦,5800,50000,6,0.12,0.14,0.04,0.18,6月6日,0.04,6月27日
0488311M富邦,2931970,2576000,73,1.14,1.12,1.09,1.54,6月19日,0.77,6月14日
0488326H元大,4030,13000,1,0.31,0.31,0.31,0.31,6月4日,0.31,6月4日
0488336I元大,710930,2774000,101,0.26,0.24,0.31,0.42,6月1日,0.18,6月14日
0488346J元大,5353930,12312000,571,0.43,0.43,0.57,0.58,6月29日,0.37,6月25日
0488356K元大,1132490,6767000,117,0.17,0.14,0.16,0.26,6月19日,0.1,6月26日
0488366L元大,713710,2262000,69,0.32,0.29,0.26,0.39,6月20日,0.2,6月4日
0488376M元大,3018340,9595000,201,0.31,0.3,0.29,0.4,6月20日,0.18,6月4日
0488386N元大,2536770,4308000,79,0.59,0.62,0.51,0.79,6月18日,0.48,6月29日
0488396P元大,579050,2224000,42,0.26,0.25,0.18,0.32,6月18日,0.15,6月4日
0488406Q元大,460680,313000,24,1.47,1.58,2.02,2.11,6月19日,1.04,6月4日
0488416R元大,682080,792000,108,0.86,0.86,0.68,1.38,6月18日,0.5,6月4日
0488426S元大,707940,4702000,69,0.15,0.15,0.1,0.23,6月1日,0.1,6月29日
0488436T元大,737040,3462000,167,0.21,0.21,0.17,0.33,6月18日,0.13,6月4日
048844大華G8,2696020,1759000,97,1.53,1.66,1.69,2.07,6月19日,1.23,6月6日
048845大華H3,94340,1527000,51,0.06,0.06,0.07,0.11,6月1日,0.04,6月27日
048847大華H5,809500,640000,13,1.26,1.15,1.24,1.4,6月13日,0.89,6月4日
048848寶來22,400,20000,1,0.02,0.02,0.02,0.02,6月18日,0.02,6月18日
048849寶來23,5761650,9920000,322,0.58,0.59,0.75,0.99,6月18日,0.25,6月4日
048850寶來24,7511030,5494000,123,1.37,1.27,1.26,1.87,6月18日,0.76,6月4日
048851寶來25,1021570,3741000,96,0.27,0.27,0.17,0.43,6月1日,0.13,6月19日
048852寶來26,10950,515000,11,0.02,0.02,0.01,0.03,6月18日,0.01,6月28日
048853寶來27,2015440,2965000,182,0.68,0.7,0.67,1.09,6月1日,0.46,6月27日
048854寶來28,571100,2806000,52,0.2,0.23,0.12,0.36,6月1日,0.1,6月26日
048855寶來29,6603110,11789000,220,0.56,0.47,0.5,0.67,6月20日,0.25,6月4日
048856寶來30,41840,450000,7,0.09,0.1,0.04,0.15,6月1日,0.04,6月25日
