,民國101年06月,,,,,,,Jun-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2442  新美齊,17199988,2664252,1022,6.46,6.42,6.56,6.9,6月25日,6.15,6月4日,1.7
2465  麗臺,11307639,2265218,1260,4.99,4.97,4.68,5.4,6月7日,4.52,6月29日,2.11
2474  可成,50032025786,260389235,153448,192.14,192.07,198.5,203.5,6月20日,172.5,6月4日,34.69
3002  歐格,27595855,2337290,1079,11.81,11.75,11.7,12.35,6月20日,10.8,6月4日,2.29
3005  神基,10183278839,427022608,142422,23.85,23.6,25,25.7,6月22日,21.35,6月4日,74
3013  晟銘電,596420852,24244689,8972,24.6,23.82,25.8,26.35,6月28日,22,6月4日,13.09
3017  奇鋐,294428125,19649949,7572,14.98,15.06,15.1,16.1,6月1日,14.05,6月15日,5.86
3022  威達電,2302915530,49043570,25155,46.96,45.06,48.6,49.5,6月18日,37.75,6月4日,21.61
3046  建碁,4059998,655354,429,6.2,6.25,6.27,6.55,6月7日,5.9,6月4日,0.42
3057  喬鼎,494118439,28816932,11251,17.15,17,17,18.9,6月1日,16.2,6月8日,19.09
3060  銘異,2003706606,27651907,13351,72.46,72.15,73,75.1,6月18日,69.4,6月12日,16.83
3231  緯創,6769649854,180930757,74251,37.42,37.43,36.5,40.1,6月18日,35.6,6月4日,8.64
3494  誠研,91611574,5088284,1991,18,17.88,17.7,18.8,6月20日,16.75,6月4日,3.7
3515  華擎,529451570,4694402,3162,112.78,113.69,116.5,119.5,6月28日,106,6月15日,4.08
3701  大眾控,842414,95314,245,8.84,9.03,9.08,9.44,6月12日,8.21,6月14日,0.08
4938  和碩,9832067216,241332562,96195,40.74,41.33,38.9,44,6月7日,37.5,6月29日,10.7
5215  F-科嘉,394496258,6962817,4656,56.66,55.11,55.8,60.9,6月22日,51,6月12日,14.74
6117  迎廣,4206779,333469,248,12.62,12.68,12.25,13.45,6月6日,12,6月27日,0.38
6128  上福,57218128,2046611,1210,27.96,27.71,25.55,29.2,6月22日,25.5,6月28日,2.25
6166  凌華,66243882,1934049,1100,34.25,34.68,35.9,36.6,6月27日,32.8,6月4日,1.41
6206  飛捷,233714424,3556066,2753,65.72,65.95,67.3,70.5,6月1日,62.2,6月15日,3.9
