,民國101年05月,,,,,,,May-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
8072  陞泰,252210492,2584858,2188,97.57,97.29,97,100,5月3日,95.2,5月28日,2.58
8105  凌巨,123643657,13760311,5314,8.99,8.92,8.88,9.6,5月4日,8.3,5月24日,3.12
8199  廣鎵,253351108,17558816,7580,14.43,14.09,13.6,15.5,5月9日,12.9,5月28日,3.4
8215  明基材,676105297,45814880,17511,14.76,14.08,13.75,17.25,5月4日,11.5,5月25日,14.29
27 通信網路業類,,,,,,,,,,,
Communications and Internet,,,,,,,,,,,
2314  台揚,334094992,34374979,10808,9.72,9.57,9.27,10.25,5月3日,8.8,5月28日,8.32
2332  友訊,564447073,27229573,10642,20.73,20.71,20,21.75,5月4日,19.45,5月24日,4.2
2345  智邦,898006289,51373050,17711,17.48,17.27,17.5,18.25,5月10日,16.35,5月18日,9.87
2402  毅嘉,1943377553,127807212,41436,15.21,14.93,15.8,16.35,5月29日,13.65,5月18日,37.96
2412  中華電,20472144487,225781442,84823,90.67,90.71,90.2,91.8,5月3日,89.3,5月11日,2.91
2419  仲琦,680458404,39092188,13281,17.41,17.05,17.05,18.3,5月4日,16,5月28日,21.33
2439  美律,3843514919,73035069,35263,52.63,52.05,50,59.5,5月3日,46.7,5月25日,46.24
2444  友旺,36635510,5427811,1960,6.75,6.74,6.89,7.3,5月9日,6.2,5月24日,4.34
2450  神腦,7460862590,66208878,44798,112.69,112.75,110,129.5,5月4日,97.8,5月21日,25.77
2455  全新,4653648159,93726375,46426,49.65,49.33,49,54.3,5月4日,44.2,5月21日,42.04
2485  兆赫,607658092,19316734,10468,31.46,31.38,30.7,34.15,5月3日,28.95,5月28日,6.08
2498  宏達電,91633138297,211630258,167615,432.99,432.91,430,474,5月4日,398,5月18日,24.84
3025  星通,12434742,1454709,641,8.55,8.47,8.2,8.97,5月4日,8.13,5月31日,2
3027  盛達,23027162,2221202,1051,10.37,10.36,10.15,11.05,5月3日,9.9,5月25日,2.34
3045  台灣大,16568245301,173907548,57259,95.27,95.45,94.5,98.5,5月15日,92.2,5月31日,5.08
3047  訊舟,319562244,29083652,8507,10.99,10.88,10.45,11.85,5月3日,9.91,5月24日,16.91
3062  建漢,411745398,17017224,9890,24.2,24.09,24.8,25.45,5月4日,22.85,5月21日,5.23
3311  閎暉,3730039068,52931988,31953,70.47,68.71,68.2,74.9,5月3日,63.5,5月28日,29.25
3380  明泰,455083797,18717945,7135,24.31,24.23,23.8,25.2,5月11日,23.25,5月29日,3.91
3419  譁裕,40697380,2858288,1307,14.24,14.01,13.9,15.4,5月8日,13,5月18日,2.8
3596  智易,818682290,22087666,11898,37.07,36.29,35.3,40.5,5月4日,31,5月28日,15.72
3694  海華,244180686,8924150,4895,27.36,26.74,24.7,30.05,5月4日,23.25,5月28日,6.87
3704  合勤控,272653408,16995542,6983,16.04,15.97,15.35,17.3,5月4日,14.4,5月28日,3.38
4904  遠傳,9502098907,143548748,59852,66.19,66.73,66.4,70.2,5月17日,63,5月11日,4.41
4906  正文,798017056,29640126,14122,26.92,26.26,25.5,29.35,5月4日,23.7,5月25日,9.66
4984  F-科納,205515856,3384146,2802,60.73,60.07,58.5,73.5,5月3日,49.5,5月28日,7.92
5388  中磊,3688175356,85875799,40748,42.95,42.58,43.1,46,5月3日,38.9,5月28日,45.81
6136  富爾特,89217679,3057696,1782,29.18,29.07,28.75,30.1,5月3日,28.3,5月28日,2.65
6142  友勁,60205551,8077572,3097,7.45,7.49,7.16,8.11,5月4日,6.76,5月28日,2.96
6152  百一,226324146,9133432,4599,24.78,24.7,24.9,25.9,5月3日,23.15,5月28日,5.93
6216  居易,138647217,6297072,3344,22.02,21.8,21.85,23.5,5月3日,20.7,5月21日,8.45
6283  淳安,14992871,1961248,906,7.64,7.59,6.75,8.96,5月2日,6.5,5月28日,2.18
6285  啟碁,2453918805,45021788,27390,54.51,55.05,53.9,59.5,5月3日,49.55,5月25日,15.59
8011  台通,574496846,16499533,9421,34.82,34.66,35.8,36.35,5月29日,32.5,5月2日,23.89
8078  華寶,16820663344,437523247,191197,38.45,39.32,36.4,44.9,5月3日,33,5月25日,71.99
8101  華冠,1493361242,84230532,32733,17.73,17.67,17.5,19.95,5月4日,15.45,5月21日,23.53
28 電子零組件業類,,,,,,,,,,,
Electronic Parts & Components,,,,,,,,,,,
1471  首利,110273440,9535004,4038,11.57,11.47,11.2,12.4,5月4日,10.6,5月28日,4.73
1582  信錦,1033865917,23347888,13692,44.28,44.03,44.2,46.9,5月8日,41.5,5月24日,17.09
2059  川湖,2415348258,14788263,10029,163.33,164.45,171,171.5,5月31日,148,5月2日,16.02
2308  台達電,17868395699,198525033,93532,90.01,90.07,83.2,96.4,5月4日,81.6,5月28日,8.25
2313  華通,1518431085,130376451,33768,11.65,11.58,11.85,12.55,5月4日,10.6,5月18日,10.94
2316  楠梓電,287561321,20519690,5793,14.01,13.95,13.75,14.5,5月4日,13.1,5月25日,5.89
2327  國巨,875858853,104097388,16657,8.41,8.45,9.02,9.1,5月31日,8.17,5月28日,4.72
2328  廣宇,2646679413,96006381,44042,27.57,26.78,29.45,29.5,5月31日,23.6,5月2日,18.85
2355  敬鵬,963659082,35522779,13211,27.13,26.88,26.9,28.45,5月4日,25.3,5月18日,8.94
2367  燿華,417991287,36420288,12120,11.48,11.44,11.3,12.5,5月4日,10.5,5月24日,6.62
2368  金像電,336129298,49034644,12822,6.85,6.77,6.76,7.35,5月24日,6.47,5月16日,8.68
2375  智寶,20927100,4982933,1563,4.2,4.25,4.08,4.8,5月2日,3.82,5月18日,2.59
2383  台光電,2820964777,102986739,39121,27.39,27.13,27.9,29.1,5月4日,25.3,5月24日,34.35
2392  正崴,6854678958,117412651,63581,58.38,58.27,62.6,63.8,5月30日,55.8,5月16日,24.39
2413  環科,12489153,1601093,645,7.8,7.79,7.86,8.05,5月7日,7.52,5月17日,1.26
2415  錩新,28321754,2547288,1200,11.12,11.17,11,11.7,5月8日,10,5月25日,3.12
2420  新巨,170697510,7247928,3439,23.55,23.5,23,24.65,5月2日,22.2,5月28日,4.75
2421  建準,449107270,21298984,5874,21.09,20.53,22.3,22.85,5月30日,19.5,5月18日,8.26
2428  興勤,216958673,7499036,3438,28.93,28.78,28.3,31.4,5月4日,26.65,5月25日,5.91
2431  聯昌,19209919,2553956,1041,7.52,7.57,7.11,8.28,5月4日,6.63,5月28日,2.3
2437  旺詮,34687963,1238755,852,28,28.17,28.05,30,5月9日,26.5,5月17日,2.04
2440  太空梭,6036965,1233542,595,4.89,4.93,4.78,5.33,5月7日,4.7,5月31日,0.89
2456  奇力新,176954695,11679867,3986,15.15,14.94,14.9,16.05,5月4日,13.85,5月28日,7.62
2457  飛宏,1646325402,51305594,25915,32.09,31.68,31.25,35,5月4日,29.6,5月18日,18.53
2460  建通,24008855,1756969,881,13.66,13.7,13.5,14.2,5月9日,13.25,5月24日,1.02
2462  良得電,319413296,9568613,4781,33.38,33.05,32.75,35,5月3日,31.25,5月28日,11.53
2467  志聖,198895542,9286593,4749,21.42,21.24,22.05,22.4,5月3日,20.15,5月25日,5.95
2472  立隆電,105367297,7411274,3078,14.22,13.91,13.7,15.2,5月4日,13.05,5月25日,5.04
2476  鉅祥,44067336,2895658,1506,15.22,15.29,14.8,16,5月4日,14.4,5月28日,1.19
2478  大毅,36833556,2113914,1367,17.42,17.44,17.55,18.6,5月4日,16.4,5月18日,0.9
2483  百容,14695169,1256046,423,11.7,11.7,11.4,12.45,5月2日,11,5月28日,1.11
2484  希華,60543697,6594136,2634,9.18,9.17,8.77,10.05,5月4日,8.18,5月28日,4.19
2492  華新科,149129516,19279615,6417,7.74,7.68,7.65,8.23,5月2日,7.22,5月24日,2.79
2493  揚博,621712585,22783773,10915,27.29,26.94,26,29.5,5月3日,25,5月28日,19.91
3003  健和興,181745154,7209218,2020,25.21,25.16,25,26,5月16日,24.15,5月25日,5.15
3011  今皓,36023353,4924298,1814,7.32,7.36,6.9,8.15,5月4日,6.55,5月24日,4.37
3015  全漢,223092049,7828939,3898,28.5,28.21,28.4,29.5,5月8日,27.2,5月2日,3.41
3023  信邦,608523198,25201021,9452,24.15,24,23.8,24.9,5月2日,22.8,5月18日,14.04
3026  禾伸堂,133541065,4919493,2657,27.15,27.2,27.1,27.85,5月4日,26.6,5月31日,1.54
3032  偉訓,6572388,846611,331,7.76,7.84,7.59,8.19,5月4日,7.43,5月28日,0.82
3037  欣興,7370135457,239533842,78340,30.77,30.52,32.25,34.05,5月2日,28,5月25日,15.57
3042  晶技,1077767414,25083523,12564,42.97,42.87,43.7,47,5月4日,38.6,5月21日,8.3
3044  健鼎,3069736798,34987698,24922,87.74,87.76,83.2,92.9,5月4日,82,5月31日,6.66
3058  立德,71946151,5931950,2226,12.13,11.95,11.5,12.8,5月3日,11,5月28日,3.93
3090  日電貿,73888792,2653151,1801,27.85,27.89,27.3,28.95,5月2日,27,5月28日,2.54
3229  晟鈦,12153108,1398580,613,8.69,8.5,7.97,9.38,5月10日,7.76,5月31日,2.29
3296  勝德,805379512,30779327,11932,26.17,25.3,24.35,28.9,5月8日,22.4,5月21日,27.45
3308  聯德,5100573,745013,376,6.85,6.86,6.85,7.3,5月18日,6.38,5月21日,0.75
3376  新日興,3955866102,48807704,29774,81.05,80.25,81.7,87.4,5月4日,75.6,5月28日,30.81
3432  台端,14630041,1463362,592,10,9.96,9.7,10.7,5月3日,9.4,5月25日,2.23
3501  維熹,102180030,2393013,1560,42.7,42.37,42,44.8,5月4日,40.5,5月28日,2.15
3533  嘉澤,525081950,6982854,5283,75.2,74.7,73.2,80.8,5月4日,69.2,5月25日,7.47
3550  聯穎,11044171,864191,424,12.78,12.82,12.5,13.45,5月15日,12,5月23日,1.02
3605  宏致,287785957,6280723,3957,45.82,45.87,45.45,47.5,5月2日,42.5,5月28日,5.05
3607  谷崧,169452384,4194256,2600,40.4,40.22,40.5,42,5月4日,38.35,5月25日,3.76
3645  達邁,689801227,17777175,8810,38.8,38.86,40,43,5月3日,34.45,5月15日,15.62
3653  健策,1475001407,17329921,12878,85.11,83.87,82.9,91.5,5月4日,76.1,5月28日,17.03
3679  新至陞,266576600,4072155,3227,65.46,64.91,63.7,72.8,5月3日,59,5月21日,5.02
4958  F-臻鼎,6080045034,64367278,31295,94.46,94.04,93.3,102.5,5月16日,86.5,5月21日,9.61
5469  瀚宇博,463340795,29459402,9594,15.73,15.37,15.1,16.45,5月10日,14,5月28日,5.8
6108  競國,153251535,7243509,3471,21.16,20.91,20.25,22.15,5月2日,19.4,5月28日,4.53
6115  鎰勝,94341003,2081972,1107,45.31,45.22,43.2,47,5月3日,42.15,5月28日,1.27
6133  金橋,19327411,2391108,488,8.08,8.06,8.01,8.4,5月3日,7.7,5月30日,2.31
6141  柏承,40445010,3119636,1178,12.96,13.31,13.1,14.4,5月2日,11.65,5月21日,2.28
6153  嘉聯益,4738059975,108119238,52530,43.82,43.55,45.7,46.5,5月30日,39.8,5月15日,33.3
6155  鈞寶,4353654,215906,172,20.16,20.4,19.85,21.45,5月3日,19.2,5月28日,0.27
6165  捷泰,7005389,1756525,567,3.99,3.97,3.99,4.22,5月29日,3.6,5月17日,1.85
6191  精成科,239546032,17769820,6305,13.48,13.43,13.35,14.25,5月10日,12.65,5月24日,3.55
6205  詮欣,32265265,2027845,872,15.91,15.84,15.7,16.65,5月8日,15.3,5月18日,2.77
6213  聯茂,663278356,20543989,7943,32.29,31.84,31.8,34.3,5月2日,30.2,5月28日,6.78
6224  聚鼎,901035389,15071904,9138,59.78,57.42,55.8,64.4,5月4日,53.4,5月25日,18.92
6251  定穎,216270175,20609187,6977,10.49,10.43,9.36,11.25,5月4日,9.36,5月31日,7.2
6269  台郡,18592120558,182988460,97705,101.6,103.77,117,118.5,5月31日,91.7,5月10日,102.99
6282  康舒,756989853,46173237,16690,16.39,16.3,16.65,17.3,5月4日,15.25,5月21日,9.01
8039  台虹,3769768244,84813960,41264,44.45,44.06,46.25,47.75,5月29日,41.3,5月2日,41.91
8046  南電,1451117530,28120952,19260,51.6,51.32,48.75,57.2,5月3日,47.8,5月23日,4.35
8103  瀚荃,688203234,15661494,8714,43.94,42.94,42.15,46.2,5月4日,40.3,5月28日,21.94
8163  達方,473979007,23469037,10792,20.2,19.5,21.6,21.85,5月31日,17.9,5月18日,7.36
8213  志超,5305859027,134456038,59643,39.46,38.61,37.55,44.3,5月4日,33.8,5月28日,56.9
8249  菱光,53754883,3585736,2022,14.99,15.08,14.85,16.2,5月4日,13.9,5月30日,2.82
29 電子通路業類,,,,,,,,,,,
Electronic Products Distribution,,,,,,,,,,,
2347  聯強,5543506677,80814158,37200,68.6,68.79,66.7,71.3,5月9日,66.4,5月31日,5.13
2359  所羅門,35765966,3559137,1289,10.05,10.07,9.94,10.45,5月2日,9.73,5月25日,1.89
2414  精技,57171635,3654284,1596,15.65,15.65,15.55,16,5月8日,15.3,5月25日,2.26
2430  燦坤,1292701704,19060524,11198,67.82,66.12,65.9,73.1,5月8日,61.8,5月15日,11.38
2459  敦吉,58917991,2308763,1459,25.52,25.53,25.25,27.3,5月3日,24.2,5月25日,1.59
3010  華立,172181889,4353526,2638,39.55,39.45,39.3,41.2,5月4日,37.8,5月28日,1.88
3028  增你強,371947209,16413208,7288,22.66,22.51,22.5,23.4,5月2日,21.65,5月28日,7.7
3033  威健,293113758,11743702,4109,24.96,25.01,25,25.65,5月4日,24.15,5月21日,4.81
3036  文曄,1121268930,28837819,14328,38.88,38.66,39,41.45,5月2日,36.6,5月18日,8.76
3040  遠見,15677816,1085272,530,14.45,14.42,14.1,15.5,5月7日,13.65,5月24日,1.04
3048  益登,21050935,2241417,956,9.39,9.48,9.17,10.1,5月4日,8.81,5月28日,1.39
3055  蔚華科,17703307,1553861,766,11.39,11.34,10.8,12.3,5月3日,10.3,5月28日,1.19
3209  全科,83276618,3569207,2039,23.33,23.22,22.45,25.4,5月4日,21.05,5月28日,4.15
3312  弘憶股,74447589,6239006,2522,11.93,11.47,11.05,12.85,5月2日,10.4,5月28日,7.16
3315  宣昶,162669863,6285693,3411,25.88,25.42,24.5,27.35,5月3日,23.4,5月28日,8.94
3702  大聯大,3633652088,97136894,43875,37.41,37.6,35.6,41.5,5月2日,33.65,5月28日,5.87
5434  崇越,574354545,11169191,6884,51.42,51.58,51,54,5月3日,48.2,5月25日,7.5
6189  豐藝,127897105,5353370,2140,23.89,23.92,23.85,24.45,5月7日,23.55,5月28日,2.94
6281  全國電,221999416,3470656,2270,63.96,63.92,64,66,5月9日,62.5,5月28日,3.5
8070  長華,104620110,1412986,1102,74.04,73.97,71.9,79.7,5月8日,68.1,5月28日,2.25
8112  至上,929553190,57793913,20548,16.08,16.1,15.9,18,5月4日,14.75,5月28日,30
30 資訊服務業類,,,,,,,,,,,
Information Service,,,,,,,,,,,
2427  三商電,131928800,12685707,4693,10.4,10.28,10.6,11,5月4日,9.9,5月28日,6.67
2453  凌群,38674192,3687363,1650,10.49,10.48,10.3,11.05,5月16日,9.65,5月28日,3.69
2468  華經,10347801,938280,484,11.03,10.96,10.8,11.8,5月2日,10.3,5月21日,1.34
2471  資通,96661469,5367238,3054,18.01,17.83,18.4,19.05,5月4日,16.85,5月28日,11.36
2480  敦陽科,472866910,16904323,7616,27.97,27.67,27.6,29.3,5月10日,26.65,5月28日,12.71
3021  衛展,26887388,1888045,832,14.24,14.13,13.5,15.4,5月4日,12.9,5月28日,4.95
3029  零壹,129374420,7470730,4093,17.32,17.02,16.6,18.7,5月4日,15.65,5月28日,7.89
3130  一零四,48830261,644023,523,75.82,75.86,74,80,5月11日,72.5,5月31日,1.89
5203  訊連,333209876,3820982,3072,87.21,87.35,85.1,90.6,5月3日,84.6,5月31日,4.05
6112  聚碩,392515775,13413278,5957,29.26,29.14,29.4,30.35,5月3日,27.8,5月28日,18.58
6183  關貿,84360494,4607496,1590,18.31,18.31,18.25,18.7,5月14日,17.9,5月24日,3.07
6214  精誠,112782508,3623244,2259,31.13,31,30.95,32.8,5月8日,29.9,5月25日,1.4
31 其他電子業類,,,,,,,,,,,
Other Electronic,,,,,,,,,,,
2312  金寶,141993053,21044487,5899,6.75,6.75,6.75,7.06,5月4日,6.38,5月25日,1.44
2317  鴻海,1.04214E+11,1195090921,464191,87.2,86.82,87.5,91,5月2日,82.8,5月16日,11.18
2354  鴻準,25601542596,252140110,138259,101.54,101.38,107.5,109,5月31日,91,5月15日,21.5
2360  致茂,514547061,7824385,5589,65.76,65.8,67.1,71.2,5月4日,60,5月23日,2.08
2371  大同,2544191626,361979746,59428,7.03,7.35,6.55,8.34,5月3日,6.52,5月31日,15.47
2373  震旦行,94257690,1934246,1489,48.73,49.1,49.5,49.95,5月30日,46.15,5月18日,0.57
2390  云辰,24398981,3021950,1184,8.07,8.1,8.2,8.54,5月3日,7.57,5月15日,1.4
2404  漢唐,460450256,16894151,8261,27.26,27.14,27.35,28.6,5月4日,25.05,5月28日,7.09
2423  固緯,15377949,796980,471,19.3,19.28,19.1,19.85,5月4日,18.7,5月25日,0.72
2433  互盛電,84909769,2169836,1580,39.13,39.05,38.5,41.8,5月3日,37.85,5月25日,1.5
2461  光群雷,34206471,3431150,1271,9.97,9.98,9.8,10.5,5月4日,9.5,5月28日,2.56
2464  盟立,49886532,2297557,1411,21.71,21.8,21.55,23.15,5月4日,20.5,5月28日,1.3
2477  美隆電,15020184,1638769,889,9.17,9.44,8.21,10.5,5月4日,8.21,5月31日,0.62
2482  連宇,19578620,1914576,698,10.23,10.21,10.05,10.85,5月10日,9.8,5月18日,3.08
2488  漢平,7785517,781903,348,9.96,9.99,10.1,10.1,5月31日,9.26,5月24日,0.98
2495  普安,98747813,4411859,2660,22.38,22.4,21.9,24.25,5月4日,20.65,5月25日,1.56
2497  怡利電,657824645,18476478,9161,35.6,35.18,33,39.7,5月7日,30.7,5月28日,17.24
3018  同開,23100385,1722945,771,13.41,13.2,13.35,14.45,5月4日,12.4,5月22日,3.93
3030  德律,622470944,16047273,7903,38.79,38.77,41,41,5月31日,37.75,5月14日,7.42
3043  科風,687235275,43981683,19974,15.63,15.46,15.25,16.95,5月4日,14.3,5月15日,22.57
3052  夆典,408398249,34910925,10287,11.7,11.37,11,12.55,5月8日,10.5,5月28日,18
3305  昇貿,104362042,2876004,2011,36.29,35.97,35.7,38.2,5月4日,34.05,5月28日,2.42
3450  聯鈞,642911744,16498510,11075,38.97,39.37,38.3,44.3,5月3日,33.5,5月28日,21.53
3518  柏騰,60044291,2036818,1220,29.48,29.42,28.6,30.9,5月4日,27.05,5月28日,2.54
3617  碩天,72112379,1346012,1060,53.57,53.4,53.4,56.5,5月3日,50.6,5月28日,1.7
3665  F-貿聯,31840992,1085262,695,29.34,29.15,28.6,31,5月8日,28,5月28日,1.66
6139  亞翔,107554406,3284510,1908,32.75,32.85,32.65,34,5月4日,31.3,5月25日,1.74
6192  巨路,1330279820,20045470,11675,66.36,65.45,66.2,70.4,5月4日,61.3,5月18日,18.57
6196  帆宣,370118081,18343873,8788,20.18,20.05,20.25,20.75,5月3日,19.2,5月9日,11.15
6197  佳必琪,417685925,15369958,8429,27.18,26.89,27,28.95,5月3日,25.55,5月28日,8.86
6201  亞弘電,19656326,714259,474,27.52,27.53,27.6,27.95,5月4日,26.85,5月28日,0.8
6215  和椿,11109630,916098,405,12.13,12.09,11.3,13.05,5月8日,11.05,5月31日,1.11
8021  尖點,155622743,8913333,3188,17.46,17.69,16.55,19.4,5月10日,16.3,5月28日,5.84
8201  無敵,269580924,15271072,5466,17.65,17.2,16.35,18.85,5月8日,15.7,5月28日,17.14
20 其他類,,,,,,,,,,,
Others,,,,,,,,,,,
1435  中福,6654394,1850307,755,3.6,3.62,3.49,3.87,5月3日,3.31,5月28日,1.32
2062  橋椿,16099252,514160,419,31.31,31.27,30.35,32.5,5月3日,30,5月31日,0.32
2514  龍邦,97201309,7751120,1538,12.54,12.56,12.7,13.3,5月16日,11.8,5月28日,1.51
2904  匯僑,742153787,24427858,10574,30.38,30.06,30.2,31.3,5月4日,28.2,5月2日,35.39
5871  F-中租,4857510537,107797113,40444,45.06,44.81,46,48,5月24日,42.55,5月2日,13.73
6184  大豐電,69461019,1207741,967,57.51,57.52,57.5,58.3,5月10日,56.6,5月28日,1.72
8033  雷虎,22570815,2587424,1003,8.72,8.55,8.07,9.88,5月2日,7.67,5月24日,2.99
8404  F-百和,30598408,2017884,1096,15.16,14.98,14.25,16.7,5月4日,14.05,5月31日,0.95
8411  F-福貞,163110794,3358664,2119,48.56,50,45.5,61.5,5月2日,43.1,5月18日,4.98
8422  可寧衛,2703142194,12798443,10044,211.21,206.86,204,232,5月3日,188,5月24日,11.75
8427  F-基勝,376471118,4432965,3256,84.93,83.36,80.9,89,5月8日,78.2,5月28日,4.93
9902  台火,23388288,2373132,1057,9.86,9.79,9.24,10.7,5月7日,9,5月28日,2.42
9904  寶成,1981143057,78062453,29955,25.38,25.32,25.85,26.3,5月3日,24.5,5月18日,2.65
9905  大華,779922630,22486623,14129,34.68,36.29,33.6,41.2,5月8日,31.55,5月28日,7.37
9906  興達,102970576,3863950,2478,26.65,26.21,25.3,29.6,5月9日,22.2,5月2日,21.47
9907  統一實,928873562,59377912,16949,15.64,15.46,15.2,16.45,5月4日,14.8,5月28日,3.76
9910  豐泰,74780769,2672305,1718,27.98,28.02,27.8,28.5,5月2日,27.55,5月31日,0.51
9911  櫻花,172055024,11264370,4483,15.27,15.37,15.05,16.45,5月4日,14.05,5月28日,4.08
9914  美利達,5659210550,52408445,27998,107.98,108.25,108,118,5月3日,98.7,5月14日,21.17
9917  中保,316850696,5057870,3681,62.65,62.64,63.8,64,5月31日,60.1,5月2日,1.14
9919  康那香,61183343,4640665,1875,13.18,13.17,13,13.9,5月4日,12.65,5月25日,2.35
9921  巨大,2678963733,18784501,12870,142.62,142.89,140.5,151,5月16日,132,5月25日,5.01
9924  福興,128115457,6457437,2892,19.84,19.62,19.9,20.65,5月22日,19.15,5月2日,3.43
9925  新保,517521632,17456094,8699,29.65,29.67,29.85,30.5,5月14日,28.7,5月28日,4.6
9927  泰銘,50159242,1847793,1254,27.15,27.23,26.6,28.5,5月3日,26.05,5月28日,0.91
9928  中視,26380806,1720038,808,15.34,15.41,14.6,16.9,5月7日,13.75,5月28日,1.3
9929  秋雨,3301986,1097280,432,3.01,3.03,2.89,3.37,5月7日,2.73,5月25日,0.74
9930  中聯資,185775444,4018818,2703,46.23,46.3,46.65,47.5,5月25日,45.1,5月22日,1.78
9933  中鼎,6940686647,119739971,50125,57.96,56.99,60.9,60.9,5月31日,53.3,5月23日,16.73
9934  成霖,159167193,8091867,3460,19.67,19.66,19.5,20.25,5月15日,18.8,5月28日,2.7
9935  慶豐富,12585046,2040144,720,6.17,6.15,6.16,6.68,5月3日,5.78,5月24日,1.71
9938  百和,172906919,7908586,4093,21.86,21.32,20.4,23.35,5月4日,19.8,5月28日,2.84
9939  宏全,1017812888,15267256,8736,66.67,65.71,65.3,69.5,5月3日,62,5月25日,5.88
9940  信義,304382282,7190069,4184,42.33,43.15,41.95,45.4,5月9日,39.1,5月25日,1.64
9941  裕融,1972915430,30412176,16785,64.87,63.73,67.5,68.7,5月24日,60.1,5月4日,12.9
9942  茂順,97554820,1933048,1167,50.47,50.68,50.6,51.6,5月4日,49.9,5月2日,2.32
9943  好樂迪,839178860,16276002,8023,51.56,51.2,50.6,53.9,5月7日,48.15,5月25日,11.05
9944  新麗,40866760,1884373,582,21.69,21.49,20.8,22.15,5月9日,20.6,5月31日,1.96
9945  潤泰新,6246849714,147005648,64104,42.49,42.67,43.75,44.3,5月22日,40,5月28日,15.01
9955  佳龍,62552595,2349410,1608,26.62,27.41,24.2,29.2,5月4日,24.1,5月31日,2.2
全額交割股票,,,,,,,,,,,
Stocks Requiring Full Delivery,,,,,,,,,,,
1438  裕豐,464960,228426,79,2.04,2.1,2.1,2.17,5月2日,1.97,5月10日,0.22
1449  佳和,705726,412683,162,1.71,1.69,1.84,2.2,5月23日,1.35,5月11日,0.22
1456  怡華,2035828,1178471,45,1.73,1.85,1.69,2.03,5月22日,1.69,5月31日,0.7
1516  川飛,3243524,678695,204,4.78,4.86,4.5,5.18,5月22日,4.22,5月28日,1.9
1529  樂士,4700776,2388864,463,1.97,2.11,2.04,2.51,5月15日,1.65,5月4日,1.5
2008  高興昌,11752628,1992837,249,5.9,5.88,5.6,6.29,5月3日,5.4,5月2日,0.47
2321  東訊,2387225,1102985,294,2.16,2.37,2.02,2.8,5月2日,1.86,5月28日,0.37
2348  力廣,461626,282060,113,1.64,1.62,1.82,1.9,5月29日,1.43,5月2日,0.73
2361  鴻友,390294,197833,136,1.97,2.03,1.77,2.28,5月8日,1.77,5月31日,0.27
2408  南科,64308536,25656764,2950,2.51,2.49,2.48,2.92,5月11日,2.16,5月4日,0.64
2429  銘旺科,12171,2212,2,5.5,5.56,5.56,5.56,5月15日,5.56,5月15日,0.01
2438  英誌,2289251,984612,350,2.33,2.26,2.08,2.77,5月7日,2,5月17日,1.09
2475  華映,233530988,182161602,13754,1.28,1.2,1.02,1.7,5月2日,0.96,5月28日,2.81
2496  卓越,2462020,345072,98,7.13,7.02,7.27,7.51,5月9日,6.5,5月16日,0.95
2540  金尚昌,18987,3003,14,6.32,6.74,6.74,6.74,5月2日,6.3,5月2日,0.04
3051  力特,3930125,2442725,483,1.61,1.66,1.4,1.92,5月14日,1.37,5月25日,0.91
6172  互億,1264128,324307,264,3.9,3.86,5.01,5.01,5月31日,3.21,5月14日,0.7
6225  天瀚,2310000,1031637,324,2.24,2.25,2.25,2.6,5月4日,1.9,5月18日,0.89

受益憑證,,,,,,,,,,,
Beneficiary Certificates,,,,,,,,,,,
封閉式基金,,,,,,,,,,,
Closed-end Fund,,,,,,,,,,,
0015  富邦,3370750,480000,187,7.02,7.07,6.97,7.27,5月23日,6.91,5月28日,0.1
ETF,,,,,,,,,,,
ETF,,,,,,,,,,,
0050  台灣50,17810060756,351268922,61790,50.7,50.91,50.15,53.35,5月2日,48.85,5月28日,19.67
0051  中100,57016785,2264457,1369,25.18,25.17,25,26.55,5月2日,23.94,5月28日,6.47
0052  FB科技,7410610,243000,126,30.5,30.17,28.81,34.09,5月4日,28.15,5月25日,1.8
0053  寶電子,15874259,721155,452,22.01,21.92,21.45,23,5月7日,20.9,5月25日,1.83
0054  台商50,5082510,267000,212,19.04,18.99,18.63,20.02,5月3日,17.94,5月28日,0.76
0055  寶金融,762786574,73383122,13968,10.39,10.34,10.16,10.98,5月2日,9.86,5月24日,19.43
0056  高股息,221450609,9549202,5479,23.19,23.51,23.19,24.46,5月3日,22.5,5月28日,13.35
0057  FB摩台,84053180,2892000,434,29.06,29.04,28.48,30.5,5月4日,27.9,5月25日,22.2
0058  FB發達,3470720,116000,51,29.92,29.76,28.75,32.5,5月4日,28.54,5月18日,1.61
0059  FB金融,7607930,350000,99,21.74,22.03,20.98,24.66,5月4日,20.8,5月25日,2.92
0060  新台灣,4879459,194875,158,25.04,25.26,24.68,26.6,5月3日,24.17,5月25日,2.25
0061  寶滬深,2367375462,160236090,21346,14.77,14.73,14.61,15.36,5月2日,14.21,5月28日,12.87
