,民國101年05月,,,,,,,May-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
6005  群益證,585162331,60796261,21153,9.62,9.7,9.83,10.8,5月4日,8.87,5月23日,2.57
18 貿易百貨類,,,,,,,,,,,
Trading and Consumers' Goods,,,,,,,,,,,
2901  欣欣,14437079,578843,307,24.94,25.09,25.1,25.5,5月30日,24.5,5月28日,0.79
2903  遠百,7525391377,264665174,96758,28.43,28.35,27.8,33.75,5月4日,25.85,5月24日,20.09
2905  三商行,669932948,30365835,15279,22.06,21.95,22.2,25.6,5月3日,19.5,5月28日,5.01
2906  高林,66488111,4646732,1615,14.31,14.25,14.25,14.65,5月2日,13.7,5月21日,1.92
2908  特力,313351922,15917921,4531,19.69,19.66,19.85,20.4,5月2日,18.95,5月18日,3.14
2910  統領,5341263,231803,202,23.04,23.16,23,24,5月17日,22.1,5月31日,0.11
2911  麗嬰房,404264122,13935740,8150,29.01,29.41,27.5,31.75,5月3日,25.65,5月28日,6.86
2912  統一超,4270510545,27066547,17271,157.78,157.77,157.5,165,5月4日,152,5月25日,2.6
2913  農林,538466029,36707957,11981,14.67,14.61,14.8,15.55,5月4日,13.65,5月24日,5.95
2915  潤泰全,3230825146,65351743,33793,49.44,49.45,47.75,53.1,5月3日,46.2,5月18日,7.77
5906  F-台南,26014112,1652779,509,15.74,16.6,14.75,18.3,5月2日,14.15,5月31日,2.49
21 化學工業類,,,,,,,,,,,
Chemical,,,,,,,,,,,
1704  榮化,1224421106,26661689,16524,45.92,45.56,46.8,47.7,5月30日,43.8,5月18日,3.32
1708  東?,399252938,11886787,5954,33.59,33.26,32.7,35.2,5月4日,31.4,5月28日,7.53
1709  和益,149294120,7191716,3350,20.76,20.74,21.35,21.6,5月7日,19.8,5月18日,1.84
1710  東聯,2073723904,58422287,26281,35.5,35.6,35.5,37.5,5月4日,33.05,5月23日,7.26
1711  永光,193465547,10328336,4911,18.73,18.76,19,19.75,5月4日,17.65,5月24日,2.41
