,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
5305  敦南,341727680,21976058,7465,15.55,15.34,15.35,16.1,9月18日,14.9,9月11日,4.91
5471  松翰,715501479,16490351,9780,43.39,43.07,42,44.7,9月13日,41.8,9月28日,9.82
6145  勁永,1639039891,121304027,34825,13.51,13.34,12.6,15.4,9月6日,12.15,9月12日,54.51
6202  盛群,185434620,5891573,3923,31.47,31.39,30.9,32.4,9月14日,30.6,9月27日,2.63
6239  力成,8547255219,146679521,71725,58.27,57.93,56.3,60.3,9月18日,55.8,9月28日,18.83
6243  迅杰,280459887,16403565,6044,17.1,16.95,16.35,18,9月19日,15.9,9月3日,21.78
6257  矽格,1260991631,49961602,20094,25.24,25.05,24.25,26.15,9月10日,24.05,9月26日,13.69
6271  同欣電,3327264080,33169170,19416,100.31,99.96,98,106,9月13日,96.5,9月21日,20.36
6286  立錡,3179657366,18022965,13855,176.42,175.65,175.5,184.5,9月4日,171,9月6日,12.05
8016  矽創,1729101511,40005429,21598,43.22,42.99,42.1,44.8,9月12日,41,9月28日,33.86
8081  致新,2340695670,23181231,16939,100.97,100.22,95.8,106,9月13日,94.5,9月28日,26.9
8110  華東,304874422,33264716,9881,9.17,9.15,9.25,9.39,9月19日,8.85,9月3日,6.62
8131  福懋科,85578778,3933019,2348,21.76,21.67,22,22.6,9月25日,20.7,9月3日,0.89
8261  富鼎,107908490,9504179,3661,11.35,11.18,10.7,11.9,9月17日,10.6,9月28日,6.75
8271  宇瞻,1627907599,63051030,25376,25.82,25.63,26.7,26.9,9月28日,24.9,9月24日,48.2
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,2685406233,73486720,30918,36.54,36.46,37.85,37.85,9月28日,35.25,9月6日,3.2
2305  全友,16512963,5355354,1356,3.08,3.06,3.06,3.3,9月7日,2.88,9月4日,2.6
2315  神達,2526929425,234928739,51643,10.76,10.43,11.3,11.7,9月27日,9.67,9月3日,15.36
2324  仁寶,5178301161,199588097,72040,25.94,25.99,26.35,27.05,9月21日,24.9,9月3日,4.52
2331  精英,1410969323,142765888,37301,9.88,9.8,9.77,10.4,9月3日,9.5,9月13日,12.07
2352  佳世達,1013293158,147706661,36319,6.86,6.79,6.65,7.16,9月12日,6.38,9月3日,7.51
2353  宏碁,14778727658,516313139,168070,28.62,28.09,28.8,30.55,9月25日,26.1,9月6日,18.21
2356  英業達,1347182074,124735733,42081,10.8,10.77,11.6,11.65,9月28日,9.81,9月3日,3.48
2357  華碩,21299581142,68633463,50401,310.34,309.48,318.5,324.5,9月14日,294.5,9月6日,9.12
2358  美格,126555728,9236769,2426,13.7,13.72,13.65,14.1,9月10日,13.1,9月3日,14.21
2362  藍天,463266104,11229315,7741,41.26,41.24,43.45,43.6,9月28日,38.5,9月5日,1.76
2364  倫飛,51457451,21146074,4743,2.43,2.4,2.37,2.67,9月24日,2.29,9月10日,8.27
2365  昆盈,257934585,23605490,6867,10.93,10.82,10.5,11.45,9月14日,10.2,9月4日,7.74
2376  技嘉,401922373,15217083,9323,26.41,26.42,26.75,27.2,9月21日,25.6,9月3日,2.44
2377  微星,324453841,22386888,9027,14.49,14.44,14.35,14.75,9月21日,14.25,9月28日,2.65
2380  虹光,121616148,12294093,3336,9.89,9.85,9.82,10.15,9月17日,9.52,9月3日,5.58
2382  廣達,10741498478,137674401,62078,78.02,78.19,77.9,80.3,9月3日,75.8,9月27日,3.58
2385  群光,3556757476,53400460,31787,66.61,66.84,69,69.2,9月28日,62.7,9月3日,7.9
2387  精元,125929236,9012214,3038,13.97,13.71,13.25,14.6,9月17日,13,9月3日,2.44
