,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
047916元大XN,16900,121000,14,0.14,0.12,0.08,0.21,9月18日,0.08,9月21日
047950LS寶來,29390,2939000,55,0.01,0.01,0.01,0.01,9月26日,0.01,9月26日
047951LT寶來,1640020,4546000,66,0.36,0.39,0.01,1.01,9月11日,0.01,9月26日
047952LU寶來,110300,861000,29,0.13,0.11,0.01,0.23,9月4日,0.01,9月25日
047953LV寶來,56310,5631000,94,0.01,0.01,0.01,0.01,9月26日,0.01,9月26日
047954LW寶來,4047400,7363000,199,0.55,0.46,0.04,1.01,9月14日,0.04,9月26日
047955LX寶來,7440,624000,8,0.01,0.04,0.01,0.05,9月4日,0.01,9月13日
047956LY寶來,1350,135000,3,0.01,0.01,0.01,0.01,9月18日,0.01,9月18日
047957LZ寶來,990,99000,1,0.01,0.01,0.01,0.01,9月17日,0.01,9月17日
047958MA寶來,111310,982000,35,0.11,0.14,0.01,0.35,9月3日,0.01,9月26日
047959MB寶來,80710,71000,13,1.14,1.13,0.64,1.62,9月3日,0.64,9月26日
047961MD寶來,28360,2836000,43,0.01,0.01,0.01,0.01,9月26日,0.01,9月26日
047995元大YE,485360,2164000,38,0.22,0.22,0.11,0.28,9月10日,0.11,9月26日
047998元大YH,1359530,1894000,83,0.72,0.71,0.94,0.98,9月24日,0.53,9月10日
048014大華B4,389530,837000,52,0.47,0.64,0.88,0.91,9月17日,0.34,9月6日
0480891E元大,20,2000,2,0.01,0.01,0.01,0.01,9月18日,0.01,9月18日
048209H9群益,24760,138000,10,0.18,0.16,0.16,0.5,9月14日,0.01,9月7日
048342MS富邦,760,76000,8,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
048407國泰JY,48570,120000,8,0.4,0.41,0.47,0.47,9月21日,0.34,9月17日
048518L1群益,29900,13000,3,2.3,2.3,2.3,2.3,9月7日,2.3,9月7日
048519L2群益,252230,63000,3,4,3.91,3.81,4.01,9月3日,3.81,9月6日
048544兆豐GL,5816230,5522000,248,1.05,1.07,1.17,1.37,9月25日,0.61,9月6日
048545兆豐GM,16678850,33918000,876,0.49,0.51,0.54,0.78,9月17日,0.2,9月6日
048719M4群益,8900,890000,11,0.01,0.01,0.01,0.01,9月18日,0.01,9月18日
048721M7群益,200,20000,1,0.01,0.01,0.01,0.01,9月14日,0.01,9月14日
0487945Y元大,1577490,7566000,262,0.21,0.2,0.15,0.38,9月24日,0.1,9月27日
0488346J元大,82990,143000,5,0.58,0.58,0.58,0.59,9月3日,0.58,9月3日
0488822A富邦,50,5000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
0489187A元大,2740,274000,3,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
048945寶來43,24222220,38030000,1090,0.64,0.57,0.15,0.96,9月11日,0.11,9月28日
0489647I元大,500,50000,1,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
0489687M元大,115120,1876000,48,0.06,0.05,0.04,0.09,9月3日,0.04,9月6日
0489853A富邦,920,92000,3,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
0490523J富邦,66740,54000,7,1.24,1.21,1.16,1.34,9月3日,1.16,9月6日
0490533K富邦,33670,141000,11,0.24,0.22,0.16,0.31,9月19日,0.13,9月10日
0490553P富邦,760,76000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049071寶來54,14910,1491000,21,0.01,0.01,0.01,0.01,9月26日,0.01,9月26日
049072寶來55,15030,1484000,22,0.01,0.03,0.01,0.06,9月21日,0.01,9月28日
0491057Y元大,1720,172000,4,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
0491083Q富邦,10250,25000,2,0.41,0.41,0.41,0.41,9月10日,0.41,9月10日
0491093R富邦,31740,360000,9,0.09,0.07,0.04,0.12,9月7日,0.04,9月10日
049137凱基39,200,20000,2,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
049153兆豐HR,6470,213000,15,0.03,0.02,0.01,0.05,9月14日,0.01,9月28日
049154兆豐HS,487490,1769000,99,0.28,0.27,0.1,0.54,9月17日,0.09,9月28日
0491618F元大,72850,1152000,22,0.06,0.08,0.04,0.13,9月19日,0.03,9月25日
049200兆豐HW,429910,650000,62,0.66,0.69,0.81,1.08,9月11日,0.33,9月6日
049201兆豐HX,4830,483000,6,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
049208兆豐JE,6000,150000,10,0.04,0.04,0.04,0.06,9月4日,0.02,9月7日
049213兆豐JK,60,6000,1,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
049248寶來93,9709060,5930000,302,1.64,1.44,0.64,2.03,9月5日,0.62,9月28日
0492778R元大,2880,288000,3,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
0492828X元大,6200,620000,8,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
0492838Y元大,46120,27000,4,1.71,1.77,2.18,2.18,9月12日,1.43,9月5日
0493234H富邦,60,2000,1,0.03,0.03,0.03,0.03,9月18日,0.03,9月18日
0493304R富邦,14940,92000,5,0.16,0.16,0.12,0.3,9月3日,0.12,9月13日
049352寶來A8,50800,361000,17,0.14,0.11,0.07,0.2,9月17日,0.07,9月26日
049385兆豐JM,280,28000,2,0.01,0.01,0.01,0.01,9月11日,0.01,9月11日
0493939I元大,7140,461000,14,0.02,0.02,0.01,0.03,9月11日,0.01,9月17日
0493969L元大,38790,3879000,56,0.01,0.01,0.01,0.01,9月17日,0.01,9月17日
049401群益17,196830,327000,48,0.6,0.53,0.23,0.74,9月11日,0.18,9月17日
0494319M元大,50490,594000,6,0.08,0.08,0.05,0.12,9月4日,0.05,9月10日
0494554T富邦,5050,45000,4,0.11,0.12,0.12,0.12,9月13日,0.11,9月13日
0494619S元大,2900,290000,5,0.01,0.01,0.01,0.01,9月19日,0.01,9月19日
0494649V元大,85110,305000,11,0.28,0.24,0.21,0.39,9月17日,0.13,9月13日
049467寶來B6,34780,535000,7,0.07,0.08,0.06,0.13,9月3日,0.06,9月10日
049471寶來C1,12340,1214000,20,0.01,0.01,0.01,0.02,9月10日,0.01,9月27日
049478兆豐JU,43680,1183000,55,0.04,0.06,0.04,0.21,9月4日,0.01,9月10日
049482兆豐JY,260360,234000,13,1.11,1.24,1.37,1.46,9月14日,0.99,9月4日
049531A3元大,27110,123000,7,0.22,0.22,0.23,0.3,9月17日,0.19,9月14日
049537A9元大,2990,299000,10,0.01,0.01,0.01,0.01,9月19日,0.01,9月19日
049550凱基B8,524370,2122000,61,0.25,0.25,0.29,0.34,9月18日,0.16,9月17日
049560寶來C7,23880,1427000,33,0.02,0.02,0.01,0.04,9月3日,0.01,9月28日
049592國泰LE,7140,124000,3,0.06,0.06,0.04,0.08,9月17日,0.04,9月18日
049596兆豐KD,1590,109000,2,0.01,0.03,0.01,0.06,9月4日,0.01,9月20日
049604凱基C7,164920,968000,29,0.17,0.16,0.07,0.28,9月14日,0.07,9月25日
049605凱基C8,1600,20000,3,0.08,0.09,0.07,0.11,9月3日,0.06,9月14日
049626群益46,70,7000,2,0.01,0.01,0.01,0.01,9月25日,0.01,9月25日
049730群益61,59635400,34374000,696,1.73,1.65,0.63,2.38,9月14日,0.43,9月28日
0497595T富邦,114660,333000,19,0.34,0.38,0.48,0.48,9月27日,0.27,9月10日
0497605V富邦,9370,6000,2,1.56,1.88,1.4,2.37,9月11日,1.4,9月28日
049761兆豐KG,353450,2698000,50,0.13,0.14,0.07,0.56,9月19日,0.07,9月24日
049762兆豐KH,11260,325000,23,0.03,0.04,0.01,0.1,9月6日,0.01,9月28日
049763兆豐KJ,440,44000,4,0.01,0.01,0.01,0.01,9月20日,0.01,9月20日
049764兆豐KK,2300,40000,3,0.06,0.06,0.05,0.07,9月3日,0.05,9月5日
049765兆豐KL,5200,44000,3,0.12,0.13,0.1,0.18,9月10日,0.1,9月19日
049770兆豐KR,820,82000,1,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
049783E6元大,2870,287000,6,0.01,0.01,0.01,0.01,9月25日,0.01,9月25日
049786第一MV,50,5000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049788第一MX,9920,22000,4,0.45,0.46,0.46,0.46,9月3日,0.44,9月3日
049792群益70,8583390,7558000,286,1.14,1.08,0.59,1.46,9月3日,0.5,9月26日
049803群益86,11400,10000,1,1.14,1.14,1.14,1.14,9月3日,1.14,9月3日
049808日盛LF,149280,129000,8,1.16,1.18,1.18,1.18,9月3日,1.12,9月3日
049816國泰LP,8200,26000,5,0.32,0.32,0.32,0.32,9月3日,0.31,9月3日
049823F7元大,264590,648000,14,0.41,0.45,0.4,0.51,9月3日,0.38,9月4日
049824寶來F7,9005940,14241000,534,0.63,0.61,0.52,0.79,9月10日,0.45,9月3日
049838日盛LP,4000,80000,1,0.05,0.05,0.05,0.05,9月4日,0.05,9月4日
049843兆豐KU,1208350,3116000,146,0.39,0.42,0.28,0.7,9月17日,0.17,9月26日
049844兆豐KV,37910,239000,10,0.16,0.16,0.12,0.21,9月17日,0.12,9月18日
049846兆豐KX,200,20000,2,0.01,0.01,0.01,0.01,9月19日,0.01,9月19日
049847兆豐KY,1290,129000,5,0.01,0.01,0.01,0.01,9月28日,0.01,9月28日
049849兆豐LA,19350,11000,2,1.76,1.68,1.86,1.86,9月26日,1.49,9月13日
049850兆豐LB,1680670,1577000,76,1.07,1.24,1.38,1.7,9月24日,0.89,9月4日
049852兆豐LD,29600,16000,3,1.85,1.95,1.95,1.95,9月3日,1.77,9月3日
049853兆豐LE,1900,190000,4,0.01,0.01,0.01,0.01,9月28日,0.01,9月28日
049856永豐65,117820,355000,6,0.33,0.34,0.34,0.34,9月4日,0.29,9月3日
049862群益93,280,28000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049864群益95,15240,1524000,24,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
049865群益97,400,40000,1,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
049869凱基E8,120,12000,2,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049871國泰LS,4710,3000,1,1.57,1.57,1.57,1.57,9月4日,1.57,9月4日
049872國泰LT,324610,1065000,35,0.3,0.36,0.34,0.4,9月4日,0.26,9月3日
049874國泰LV,4600,20000,2,0.23,0.29,0.29,0.29,9月3日,0.17,9月3日
0498755X富邦,300,30000,3,0.01,0.01,0.01,0.01,9月14日,0.01,9月14日
0498765Z富邦,1550,155000,16,0.01,0.01,0.01,0.01,9月13日,0.01,9月13日
049877中信01,219090,171000,6,1.28,1.2,1.3,1.3,9月4日,1.11,9月3日
049878中信02,1310,131000,3,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049879第一MY,800,20000,1,0.04,0.04,0.04,0.04,9月3日,0.04,9月3日
049882F8元大,809900,16948000,396,0.05,0.05,0.02,0.09,9月17日,0.02,9月28日
049883F9元大,5317840,47220000,1147,0.11,0.1,0.09,0.16,9月14日,0.04,9月6日
049885G2元大,3800,10000,1,0.38,0.38,0.38,0.38,9月5日,0.38,9月5日
049895永豐75,50,5000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049897永豐77,17580,586000,8,0.03,0.03,0.03,0.03,9月5日,0.03,9月5日
049900凱基F2,500,50000,5,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049901凱基F3,28800,250000,7,0.12,0.07,0.04,0.15,9月3日,0.04,9月5日
049902大華AK,356080,1008000,16,0.35,0.36,0.32,0.42,9月3日,0.32,9月5日
049904大華AM,83660,156000,17,0.54,0.56,0.23,0.75,9月3日,0.23,9月5日
049907兆豐LF,800,60000,5,0.01,0.01,0.01,0.02,9月4日,0.01,9月21日
0499096D富邦,5550,105000,3,0.05,0.04,0.01,0.08,9月4日,0.01,9月5日
049913寶來G3,17840,182000,7,0.1,0.1,0.09,0.13,9月19日,0.09,9月21日
049916工銀NY,37960,200000,3,0.19,0.17,0.17,0.19,9月4日,0.17,9月4日
049920工銀03,93700,280000,12,0.33,0.37,0.3,0.44,9月4日,0.3,9月5日
049923凱基F7,100,10000,1,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
049929兆豐LG,400,40000,4,0.01,0.01,0.01,0.01,9月28日,0.01,9月28日
049930兆豐LH,2970,297000,3,0.01,0.01,0.01,0.01,9月18日,0.01,9月18日
049932亞東MP,100,10000,1,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
049933亞東MQ,10,1000,1,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
049934亞東MR,1980,198000,4,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
049935亞東MS,100,10000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049937亞東MU,200,20000,2,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
049938亞東MV,121800,800000,15,0.15,0.16,0.12,0.19,9月3日,0.11,9月4日
049944永昌AD,6920,692000,10,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
049945永昌AE,63070,537000,9,0.12,0.12,0.1,0.14,9月5日,0.1,9月6日
049949永昌AJ,3300,330000,5,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049959日盛LU,400,40000,2,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
049961日盛LW,6000,10000,2,0.6,0.6,0.49,0.71,9月3日,0.49,9月6日
049968日盛MD,26690,210000,4,0.13,0.14,0.1,0.17,9月3日,0.1,9月6日
049969日盛ME,300,30000,2,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
049970日盛MF,12100,260000,8,0.05,0.05,0.02,0.07,9月4日,0.02,9月6日
049976統一B5,990,99000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
049980統一B9,2900,20000,2,0.14,0.15,0.14,0.15,9月3日,0.14,9月5日
049981統一C1,33160,16000,3,2.07,2.15,2.32,2.32,9月6日,2,9月3日
049982統一C2,56040,242000,13,0.23,0.23,0.14,0.32,9月3日,0.14,9月7日
0499876S富邦,2820,24000,3,0.12,0.14,0.1,0.18,9月4日,0.1,9月7日
049988凱基G1,7700,25000,2,0.31,0.3,0.3,0.31,9月3日,0.3,9月7日
049990H2元大,100,10000,1,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
049992H4元大,6060,66000,3,0.09,0.11,0.16,0.16,9月21日,0.06,9月13日
049993H5元大,120,3000,1,0.04,0.04,0.04,0.04,9月6日,0.04,9月6日
049994H6元大,1800,60000,2,0.03,0.03,0.03,0.03,9月7日,0.03,9月7日
049995群益1C,10,1000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
049997群益1E,999620,5291000,99,0.19,0.17,0.06,0.28,9月12日,0.06,9月28日
049999群益1G,28930,9000,2,3.21,3.22,3.17,3.27,9月3日,3.17,9月5日
050001群益1I,800,80000,2,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
050002群益1J,36050,52000,6,0.69,0.67,0.64,0.75,9月3日,0.52,9月7日
050004群益1L,301340,211000,19,1.43,1.49,1.97,1.97,9月7日,1.01,9月3日
050005中信03,300,30000,2,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050007中信05,990,99000,2,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050008中信06,2475800,3089000,81,0.8,0.77,0.88,1,9月7日,0.67,9月4日
050016康和DP,100,10000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050019國票EU,6400,40000,6,0.16,0.15,0.14,0.19,9月3日,0.14,9月5日
050021工銀06,303300,200000,9,1.52,1.52,1.49,1.54,9月6日,1.49,9月7日
050025兆豐LL,365970,1610000,40,0.23,0.21,0.17,0.32,9月10日,0.16,9月6日
050030大眾4K,20100,190000,8,0.11,0.13,0.08,0.18,9月3日,0.08,9月6日
0500316T富邦,900,30000,3,0.03,0.03,0.01,0.05,9月3日,0.01,9月7日
0500326U富邦,19050,9000,2,2.12,2.11,2.11,2.13,9月10日,2.11,9月10日
050037中信07,936850,1011000,30,0.93,0.9,0.94,1.11,9月7日,0.79,9月4日
050038中信08,1390,139000,4,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050041大華AV,8310,133000,2,0.06,0.06,0.07,0.07,9月7日,0.05,9月3日
050044日盛MM,8750,117000,5,0.07,0.07,0.06,0.09,9月3日,0.05,9月6日
050045日盛MN,300,10000,1,0.03,0.03,0.03,0.03,9月10日,0.03,9月10日
050046日盛MP,3960,99000,1,0.04,0.04,0.04,0.04,9月6日,0.04,9月6日
050047日盛MQ,2400,20000,2,0.12,0.12,0.09,0.15,9月5日,0.09,9月6日
050049日盛MS,6670,136000,6,0.05,0.05,0.05,0.06,9月7日,0.04,9月10日
0500516Y富邦,14090,45000,5,0.31,0.31,0.27,0.4,9月4日,0.27,9月6日
0500537A富邦,40,2000,1,0.02,0.02,0.02,0.02,9月5日,0.02,9月5日
050055H7元大,916670,923000,35,0.99,1.02,0.84,1.42,9月17日,0.83,9月5日
050057H9元大,1150,115000,3,0.01,0.01,0.01,0.01,9月11日,0.01,9月11日
050058I1元大,4711020,15496000,355,0.3,0.25,0.04,0.42,9月3日,0.04,9月28日
050061群益1M,10290,154000,6,0.07,0.06,0.01,0.1,9月3日,0.01,9月11日
050062群益1N,132930,208000,18,0.64,0.66,0.62,0.72,9月3日,0.49,9月3日
050063群益1P,3560,8000,2,0.44,0.44,0.4,0.49,9月17日,0.4,9月21日
050064群益1U,603160,158000,35,3.82,3.68,3.54,4.32,9月14日,2.88,9月4日
050065群益1V,64620,57000,5,1.13,1.09,1.26,1.26,9月7日,0.94,9月6日
050066群益1W,285400,250000,15,1.14,1.09,0.8,1.54,9月4日,0.8,9月11日
050067群益1X,146410,444000,32,0.33,0.3,0.38,0.42,9月11日,0.22,9月6日
050068群益1Y,300,30000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050069群益1Z,817070,813000,40,1.01,1.21,1.93,1.93,9月11日,0.6,9月7日
050071群益2C,129700,847000,33,0.15,0.12,0.05,0.22,9月4日,0.05,9月11日
050072群益2D,1853920,8672000,179,0.21,0.22,0.12,0.41,9月14日,0.09,9月27日
050075群益2I,33190,395000,7,0.08,0.07,0.03,0.15,9月3日,0.03,9月10日
050076大華AX,19650,15000,4,1.31,1.37,1.48,1.54,9月10日,1.21,9月5日
050078大華AZ,400,40000,2,0.01,0.01,0.01,0.01,9月11日,0.01,9月11日
050079大華BA,400,40000,2,0.01,0.01,0.01,0.01,9月11日,0.01,9月11日
050081大華BC,291920,1290000,24,0.23,0.24,0.21,0.3,9月5日,0.2,9月3日
050082日盛MV,5200,260000,5,0.02,0.02,0.02,0.02,9月10日,0.02,9月10日
050083日盛MW,200310,1167000,42,0.17,0.14,0.02,0.25,9月3日,0.02,9月11日
050084國泰MA,29530,303000,11,0.1,0.08,0.01,0.16,9月5日,0.01,9月11日
050089兆豐LQ,600,40000,3,0.02,0.02,0.01,0.02,9月5日,0.01,9月6日
050090兆豐LR,5274770,10553000,361,0.5,0.47,0.1,0.85,9月14日,0.09,9月28日
050092兆豐LT,124680,655000,21,0.19,0.16,0.04,0.25,9月6日,0.04,9月28日
050093兆豐LU,1777600,2846000,47,0.62,0.63,0.48,0.88,9月14日,0.45,9月6日
050094兆豐LV,6500,100000,8,0.06,0.06,0.03,0.1,9月19日,0.03,9月25日
050095兆豐LW,2261680,1469000,44,1.54,1.4,1.49,1.89,9月14日,1,9月6日
050096兆豐LX,30550,554000,23,0.06,0.05,0.02,0.18,9月21日,0.01,9月28日
050097兆豐LY,651640,2041000,57,0.32,0.29,0.17,0.44,9月19日,0.17,9月26日
050099兆豐MA,551250,235000,12,2.35,2.39,2.71,2.71,9月28日,2.02,9月3日
050100兆豐MB,200,20000,2,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
050101兆豐MC,607040,1603000,78,0.38,0.35,0.24,0.49,9月13日,0.2,9月26日
050103兆豐ME,1368260,2455000,162,0.56,0.47,0.32,0.82,9月4日,0.29,9月28日
050104統一C3,139430,420000,15,0.33,0.34,0.24,0.39,9月3日,0.24,9月10日
050111大展J3,7440,16000,2,0.46,0.45,0.51,0.51,9月12日,0.39,9月10日
050120康和DU,5060,476000,9,0.01,0.01,0.01,0.02,9月7日,0.01,9月12日
050122大華BD,27890,240000,7,0.12,0.13,0.16,0.16,9月10日,0.05,9月7日
050123大華BE,100,10000,1,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
050124大華BF,7360,61000,5,0.12,0.12,0.11,0.16,9月11日,0.11,9月12日
050125大華BG,100,10000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
050129大華BK,76720,406000,18,0.19,0.19,0.16,0.33,9月3日,0.14,9月11日
050130大華BL,3590,359000,8,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
0501317C富邦,7520,56000,9,0.13,0.11,0.09,0.21,9月10日,0.02,9月3日
050136國泰ME,179160,532000,17,0.34,0.33,0.18,0.47,9月3日,0.14,9月12日
050140工銀09,1890,189000,5,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
050142工銀11,92600,726000,17,0.13,0.15,0.13,0.23,9月3日,0.09,9月10日
050146永昌AS,660,66000,1,0.01,0.01,0.01,0.01,9月4日,0.01,9月4日
050151永昌AX,170700,445000,12,0.38,0.38,0.4,0.4,9月11日,0.33,9月10日
050160凱基H6,700,70000,8,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
050162凱基H9,1990,199000,20,0.01,0.01,0.01,0.01,9月13日,0.01,9月13日
050164凱基J2,108430,598000,17,0.18,0.17,0.11,0.31,9月21日,0.1,9月17日
050165凱基J3,547170,3984000,71,0.14,0.13,0.17,0.18,9月12日,0.06,9月11日
050167I5元大,1651960,1348000,47,1.23,1.37,1.61,1.61,9月13日,1.01,9月6日
050168I6元大,2862170,4835000,206,0.59,0.53,0.55,1.29,9月20日,0.17,9月7日
050174國票FB,21840,198000,3,0.11,0.11,0.11,0.12,9月10日,0.11,9月10日
050175國票FC,9000,6000,3,1.5,1.49,1.62,1.62,9月13日,1.28,9月6日
050179國票FG,400,40000,1,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
050182日盛NB,940,94000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050185日盛NE,49700,20000,2,2.48,2.49,2.7,2.7,9月12日,2.27,9月11日
050186日盛NF,20,2000,2,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
050187群益2K,10800,211000,5,0.05,0.06,0.05,0.06,9月11日,0.05,9月12日
050188群益2L,190,19000,1,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
050190群益2N,16600,80000,3,0.21,0.23,0.2,0.26,9月3日,0.2,9月4日
050194群益2S,4700,52000,4,0.09,0.09,0.07,0.11,9月11日,0.07,9月12日
050195群益2T,6030,3000,1,2.01,2.01,2.01,2.01,9月3日,2.01,9月3日
050197群益2V,100,10000,1,0.01,0.01,0.01,0.01,9月10日,0.01,9月10日
050200群益2Z,1980,198000,2,0.01,0.01,0.01,0.01,9月7日,0.01,9月7日
0502051A永豐,46450,240000,9,0.19,0.2,0.25,0.25,9月11日,0.11,9月7日
0502061B永豐,773520,1292000,35,0.6,0.5,0.81,0.95,9月11日,0.24,9月3日
050213亞東MW,100,10000,1,0.01,0.01,0.01,0.01,9月3日,0.01,9月3日
050217亞東NA,349690,592000,24,0.59,0.68,1.07,1.07,9月13日,0.42,9月6日
050218亞東NB,4000,400000,12,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
050219亞東NC,240,2000,1,0.12,0.12,0.12,0.12,9月6日,0.12,9月6日
050221I8元大,40430,24000,5,1.68,1.87,2.16,2.16,9月13日,1.29,9月4日
050222I9元大,990,99000,1,0.01,0.01,0.01,0.01,9月12日,0.01,9月12日
050223J1元大,7330,158000,7,0.05,0.05,0.01,0.1,9月4日,0.01,9月12日
0502297G富邦,76900,440000,11,0.17,0.16,0.18,0.19,9月18日,0.11,9月6日
0502307J富邦,5750,210000,22,0.03,0.05,0.1,0.13,9月17日,0.01,9月6日
0502327L富邦,15920,1562000,127,0.01,0.01,0.01,0.04,9月4日,0.01,9月28日
0502337N富邦,355580,1873000,29,0.19,0.24,0.39,0.39,9月14日,0.12,9月3日
050236中信11,8850,130000,9,0.07,0.05,0.13,0.13,9月14日,0.01,9月12日
050237中信12,111150,645000,10,0.17,0.23,0.27,0.27,9月14日,0.17,9月13日
050238中信13,59150,25000,4,2.37,2.48,2.99,2.99,9月11日,2.16,9月3日
050241大華BQ,990,99000,1,0.01,0.01,0.01,0.01,9月6日,0.01,9月6日
050242大華BR,382140,944000,55,0.4,0.35,0.49,0.87,9月14日,0.22,9月11日
050243大華BS,128970,86000,8,1.5,1.54,2.03,2.03,9月7日,1.27,9月5日
050247凱基J7,1581780,1113000,43,1.42,1.55,1.99,2.22,9月11日,0.85,9月3日
0502507U富邦,24000,200000,4,0.12,0.11,0.04,0.16,9月13日,0.04,9月17日
050251日盛NJ,148500,80000,7,1.86,1.85,1.95,1.95,9月14日,1.8,9月11日
050252日盛NK,30420,220000,3,0.14,0.14,0.14,0.15,9月7日,0.13,9月7日
050253日盛NL,36000,903000,11,0.04,0.04,0.03,0.05,9月4日,0.03,9月5日
050255日盛NP,2850,100000,4,0.03,0.04,0.02,0.07,9月3日,0.02,9月14日
050257日盛NR,27000,12000,2,2.25,2.25,2.4,2.4,9月12日,2.1,9月10日
050263國票FL,126640,525000,17,0.24,0.26,0.1,0.33,9月5日,0.1,9月14日
050266國票FP,100,10000,1,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
050268國泰ML,22810,475000,15,0.05,0.12,0.01,0.23,9月7日,0.01,9月17日
050270中信14,11820,66000,7,0.18,0.25,0.35,0.37,9月17日,0.11,9月10日
050271中信15,12290,1229000,27,0.01,0.01,0.01,0.01,9月17日,0.01,9月17日
050272凱基J9,300,30000,3,0.01,0.01,0.01,0.01,9月5日,0.01,9月5日
050273兆豐MF,120,6000,1,0.02,0.02,0.02,0.02,9月7日,0.02,9月7日
050274兆豐MG,120,3000,1,0.04,0.04,0.04,0.04,9月6日,0.04,9月6日
050275兆豐MH,100,10000,1,0.01,0.01,0.01,0.01,9月18日,0.01,9月18日
050276兆豐MJ,78470,118000,2,0.66,0.66,0.71,0.71,9月10日,0.62,9月7日
050278兆豐ML,281060,1755000,36,0.16,0.15,0.06,0.24,9月17日,0.06,9月26日
050279兆豐MM,275390,1312000,45,0.21,0.21,0.26,0.28,9月28日,0.16,9月18日
050280K1元大,3500,50000,1,0.07,0.07,0.07,0.07,9月14日,0.07,9月14日
050281K2元大,20,1000,1,0.02,0.02,0.02,0.02,9月14日,0.02,9月14日
050282K3元大,34760,289000,3,0.12,0.12,0.11,0.14,9月14日,0.11,9月20日
050284K5元大,17800,240000,10,0.07,0.07,0.07,0.1,9月17日,0.05,9月14日
050286K7元大,2098750,14620000,288,0.14,0.14,0.12,0.24,9月4日,0.1,9月28日
050287K8元大,9736460,58453000,1789,0.17,0.16,0.13,0.25,9月14日,0.06,9月3日
050288K9元大,6706780,30069000,1345,0.22,0.23,0.21,0.31,9月17日,0.11,9月3日
050290L2元大,148570,256000,20,0.58,0.91,0.36,1.34,9月11日,0.36,9月18日
050291L3元大,14300,248000,7,0.06,0.11,0.01,0.18,9月11日,0.01,9月17日
