,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
047084LI群益,3792870,4126000,145,0.92,0.83,0.45,1.34,4月2日,0.45,4月30日
047085日盛BX,22620,28000,3,0.81,0.8,0.73,0.93,4月17日,0.73,4月26日
047086日盛BY,983020,2704000,69,0.36,0.39,0.19,0.77,4月3日,0.18,4月19日
047087日盛BZ,146960,446000,90,0.33,0.35,0.23,0.66,4月2日,0.14,4月26日
047088日盛CA,373220,498000,32,0.75,0.78,0.63,1.05,4月3日,0.61,4月27日
047089日盛CE,9720,18000,3,0.54,0.5,0.44,0.62,4月3日,0.44,4月30日
047090康和AT,68070,106000,19,0.64,0.58,0.31,0.78,4月2日,0.3,4月24日
047091國泰GV,300900,510000,11,0.59,0.6,0.47,0.73,4月3日,0.47,4月9日
047092國泰GW,288250,530000,28,0.54,0.7,0.2,1,4月13日,0.13,4月30日
047093國泰GX,23700,20000,2,1.18,1.18,0.99,1.38,4月17日,0.99,4月20日
047094元大KA,4852720,21377000,521,0.23,0.2,0.03,0.67,4月2日,0.02,4月27日
047095DV富邦,3218970,1318000,135,2.44,2.53,3.1,3.46,4月27日,1.8,4月12日
047096DW富邦,359450,467000,38,0.77,0.75,0.59,0.96,4月18日,0.54,4月24日
047098DY富邦,2323560,3948000,113,0.59,0.62,0.59,0.89,4月2日,0.48,4月25日
047099DZ富邦,151140,207000,19,0.73,0.76,0.55,0.93,4月11日,0.55,4月27日
047100EA富邦,777330,1749000,54,0.44,0.46,0.32,0.82,4月2日,0.3,4月27日
047101元大KD,62640,86000,5,0.73,0.74,0.63,0.96,4月3日,0.63,4月19日
047102元大KE,28945540,37628000,1352,0.77,0.61,0.04,2.32,4月2日,0.02,4月30日
047103EB富邦,1684330,1885000,81,0.89,0.92,0.75,1.22,4月3日,0.73,4月24日
047104EC富邦,2008580,1447000,195,1.39,1.36,1.16,1.66,4月2日,1.12,4月30日
047105ED富邦,45480,1560000,38,0.03,0.03,0.01,0.06,4月2日,0.01,4月30日
047106EF富邦,5119670,4892000,127,1.05,1.1,0.61,1.54,4月16日,0.56,4月30日
047107EG富邦,292330,1747000,33,0.17,0.15,0.06,0.3,4月2日,0.06,4月24日
047108EH富邦,15243930,60136000,1713,0.25,0.21,0.07,0.58,4月2日,0.05,4月30日
047109大眾8G,469620,3379000,77,0.14,0.14,0.11,0.25,4月16日,0.07,4月23日
047110國泰GZ,2155010,5522000,210,0.39,0.33,0.14,0.5,4月5日,0.11,4月27日
047112國泰HB,357050,781000,42,0.46,0.55,0.15,0.82,4月2日,0.15,4月30日
047113國泰HC,37600,20000,1,1.88,1.88,1.88,1.88,4月3日,1.88,4月3日
047114國泰HD,438200,358000,47,1.22,1.27,1.07,1.86,4月18日,0.91,4月30日
047115統一9E,1010770,1044000,61,0.97,1.05,0.48,2.18,4月2日,0.4,4月20日
047116統一9F,525500,341000,25,1.54,1.48,1.42,1.88,4月3日,1.21,4月27日
047117統一9G,1373580,2028000,55,0.68,0.72,0.73,1.01,4月2日,0.55,4月27日
047118統一9H,176620,974000,27,0.18,0.19,0.04,0.55,4月2日,0.04,4月30日
047119統一9J,1740,6000,2,0.29,0.29,0.3,0.3,4月26日,0.28,4月25日
047121兆豐CU,287000,348000,29,0.82,0.77,0.65,1.09,4月2日,0.64,4月25日
047123兆豐CW,58060,36000,4,1.61,1.7,1.83,1.92,4月25日,1.25,4月3日
047124兆豐CX,1023690,1770000,102,0.58,0.64,0.17,0.99,4月16日,0.1,4月30日
047126兆豐CZ,262300,710000,41,0.37,0.39,0.32,0.51,4月17日,0.3,4月30日
047127兆豐DA,162950,90000,9,1.81,1.86,2.02,2.1,4月3日,1.56,4月27日
047128兆豐DB,6665470,6586000,238,1.01,1.04,0.96,1.52,4月3日,0.83,4月27日
047129兆豐DC,405640,1314000,38,0.31,0.3,0.22,0.5,4月3日,0.22,4月27日
047131永豐BU,222660,308000,12,0.72,0.78,0.55,1,4月16日,0.55,4月27日
047132永豐BV,17500,260000,17,0.07,0.08,0.03,0.17,4月3日,0.03,4月27日
047133永豐BW,238460,1060000,20,0.22,0.24,0.15,0.39,4月2日,0.15,4月27日
047134永豐BX,1319570,11326000,243,0.12,0.09,0.03,0.19,4月2日,0.01,4月30日
047135永豐BY,1551710,8179000,134,0.19,0.2,0.02,0.6,4月3日,0.02,4月30日
047136永豐BZ,44560,185000,12,0.24,0.19,0.09,0.33,4月2日,0.09,4月20日
047137永豐CA,360690,1734000,106,0.21,0.23,0.16,0.31,4月13日,0.12,4月23日
047139永豐CC,1031340,3309000,136,0.31,0.27,0.14,0.64,4月2日,0.13,4月23日
047140永豐CD,2530,2000,2,1.26,1.27,1.35,1.35,4月25日,1.18,4月24日
047141LM群益,10065440,10024000,349,1,0.99,0.5,1.98,4月2日,0.41,4月30日
047142LN群益,655070,1147000,38,0.57,0.53,0.17,1.05,4月2日,0.17,4月27日
047143LP群益,2906350,792000,31,3.67,3.94,1.58,6.35,4月2日,1.58,4月30日
047144LQ群益,3558450,1739000,89,2.05,1.94,1.99,2.31,4月2日,1.62,4月9日
047145LR群益,2320,32000,2,0.07,0.09,0.07,0.11,4月16日,0.07,4月20日
047146LS群益,238330,336000,17,0.71,0.71,0.7,0.8,4月13日,0.61,4月23日
047147LT群益,770770,891000,36,0.87,0.94,0.79,1.36,4月2日,0.76,4月27日
047148LU群益,7700,43000,5,0.18,0.16,0.1,0.2,4月2日,0.1,4月13日
047149大華32,4076240,9361000,291,0.44,0.45,0.65,0.65,4月30日,0.32,4月11日
047150大華33,4200,30000,2,0.14,0.14,0.15,0.15,4月20日,0.13,4月19日
047151大華34,4199130,6040000,252,0.7,0.66,0.35,1.09,4月3日,0.35,4月30日
047152大華35,127300,186000,6,0.68,0.66,0.45,0.79,4月12日,0.45,4月18日
0471533C凱基,4007200,1738000,115,2.31,2.22,1.78,2.78,4月9日,1.78,4月30日
0471543D凱基,1525410,1485000,115,1.03,1.02,1.16,1.28,4月2日,0.87,4月25日
0471553E凱基,24000,19000,6,1.26,1.3,1.05,1.81,4月6日,0.91,4月18日
0471563F凱基,1027870,1653000,39,0.62,0.7,0.44,0.95,4月3日,0.44,4月30日
0471583H凱基,2280030,4650000,168,0.49,0.46,0.46,0.62,4月3日,0.33,4月24日
0471593J凱基,372360,2033000,41,0.18,0.17,0.13,0.32,4月2日,0.12,4月23日
0471603K凱基,6937190,10355000,242,0.67,0.69,0.47,1.17,4月2日,0.44,4月30日
0471623M凱基,13341300,16156000,362,0.83,0.81,0.73,1.27,4月3日,0.62,4月27日
0471633N凱基,3721100,1000000,56,3.72,3.22,0.79,4.6,4月2日,0.79,4月30日
047164日盛CF,61820,24000,3,2.58,2.28,1.68,2.88,4月2日,1.68,4月30日
047166日盛CH,17180,33000,8,0.52,0.48,0.5,0.67,4月18日,0.36,4月24日
047167日盛CK,108500,396000,6,0.27,0.28,0.27,0.28,4月13日,0.26,4月16日
047169日盛CM,66800,12000,3,5.57,5.92,6,6.3,4月19日,5.45,4月17日
047170日盛CP,2216050,3431000,106,0.65,0.94,0.28,2.36,4月2日,0.21,4月27日
047171LV群益,1340830,1545000,38,0.87,0.92,0.47,1.11,4月13日,0.47,4月27日
047172LX群益,82960,125000,5,0.66,0.62,0.49,0.7,4月6日,0.49,4月26日
047173LY群益,12400,32000,3,0.39,0.38,0.2,0.5,4月16日,0.2,4月27日
047174LZ群益,103860,593000,21,0.18,0.18,0.18,0.27,4月3日,0.14,4月26日
047175MA群益,977930,1241000,47,0.79,0.66,0.46,1.15,4月16日,0.46,4月27日
047176MB群益,1040960,4459000,173,0.23,0.22,0.24,0.4,4月30日,0.11,4月24日
047177MC群益,391300,1006000,23,0.39,0.4,0.36,0.52,4月12日,0.23,4月23日
047178MD群益,54390,13000,5,4.18,4.3,4.21,4.68,4月2日,4,4月10日
047179JS寶來,320020,296000,39,1.08,1.14,0.5,1.56,4月2日,0.5,4月27日
047180JV寶來,2221840,2834000,102,0.78,0.74,0.52,1.47,4月2日,0.36,4月26日
047181JW寶來,170510,273000,18,0.62,0.56,0.44,0.77,4月5日,0.36,4月24日
047182JX寶來,114750,293000,7,0.39,0.42,0.29,0.53,4月3日,0.29,4月16日
047183JZ寶來,904380,3992000,144,0.23,0.18,0.01,0.52,4月2日,0.01,4月27日
047184KA寶來,4896300,17500000,452,0.28,0.24,0.05,0.74,4月2日,0.03,4月27日
047187永豐CE,171990,269000,36,0.64,0.64,0.43,0.77,4月3日,0.43,4月23日
047188永豐CF,15060,106000,4,0.14,0.17,0.09,0.21,4月16日,0.09,4月20日
047189永豐CG,1572210,1407000,61,1.12,1.09,1.01,1.5,4月3日,0.77,4月23日
047190永豐CH,36220,212000,8,0.17,0.2,0.14,0.32,4月12日,0.14,4月20日
047191永豐CI,3930,2000,2,1.96,1.97,1.97,1.97,4月26日,1.96,4月26日
047192永豐CJ,96570,682000,30,0.14,0.18,0.09,0.37,4月3日,0.08,4月23日
047194EJ富邦,68960,129000,3,0.53,0.52,0.5,0.55,4月3日,0.5,4月5日
047195EK富邦,398860,2415000,93,0.17,0.2,0.06,0.49,4月6日,0.06,4月25日
0471963R凱基,4156380,3200000,113,1.3,1.23,0.45,1.7,4月2日,0.45,4月27日
047197EL富邦,3616800,4144000,135,0.87,0.83,0.51,1.51,4月2日,0.5,4月30日
047198EM富邦,1233870,4821000,161,0.26,0.26,0.09,0.57,4月2日,0.09,4月27日
047199EN富邦,1621600,6469000,238,0.25,0.34,0.07,0.71,4月5日,0.07,4月27日
047200EP富邦,4045520,7549000,297,0.54,0.74,0.31,1.44,4月2日,0.24,4月30日
047201EQ富邦,9104310,15160000,576,0.6,0.79,0.31,1.61,4月2日,0.19,4月30日
047203亞東KV,23560,342000,10,0.07,0.08,0.04,0.14,4月3日,0.04,4月25日
047204亞東KW,327440,464000,45,0.71,0.64,0.2,1.02,4月13日,0.2,4月30日
0472053S凱基,1802810,2979000,588,0.61,0.64,0.24,1.38,4月2日,0.21,4月27日
0472063T凱基,1124260,3173000,102,0.35,0.46,0.14,1.08,4月2日,0.12,4月27日
0472073V凱基,87930,96000,18,0.92,1.11,0.7,1.91,4月13日,0.7,4月30日
0472083W凱基,640390,637000,17,1.01,1.01,1.05,1.3,4月20日,0.8,4月6日
0472093X凱基,6296800,3118000,143,2.02,1.94,1.97,2.36,4月2日,1.43,4月5日
0472103Y凱基,546570,632000,59,0.86,0.92,0.8,1.32,4月2日,0.6,4月27日
047211工銀JP,1155640,5213000,81,0.22,0.22,0.05,0.39,4月3日,0.04,4月27日
047212工銀JQ,5561140,3875000,393,1.44,1.43,1.43,1.75,4月2日,1.18,4月5日
047213工銀JR,3760,270000,9,0.01,0.02,0.01,0.04,4月6日,0.01,4月30日
047214工銀JS,164780,369000,22,0.45,0.31,0.25,0.58,4月3日,0.18,4月24日
047215工銀JT,278250,682000,15,0.41,0.32,0.25,0.45,4月3日,0.24,4月18日
047216工銀JU,169070,1070000,25,0.16,0.13,0.11,0.26,4月2日,0.08,4月5日
047218工銀JW,726520,288000,14,2.52,2.3,2.79,2.79,4月30日,1.56,4月9日
047219工銀JX,150840,336000,14,0.45,0.45,0.33,0.56,4月26日,0.33,4月30日
047220元大KF,3524910,3389000,68,1.04,1.05,0.84,1.34,4月2日,0.84,4月30日
047221元大KG,1274060,334000,29,3.81,3.84,4.46,4.46,4月27日,3.15,4月5日
047222元大KH,4735500,4472000,168,1.06,0.89,0.3,1.28,4月16日,0.3,4月30日
047223元大KI,46200,30000,3,1.54,1.51,1.51,1.57,4月26日,1.51,4月26日
047224元大KJ,629690,765000,166,0.82,0.75,0.47,1.17,4月2日,0.47,4月30日
047225元大KK,3061700,6422000,296,0.48,0.41,0.1,1.01,4月2日,0.07,4月30日
047226元大KL,6507760,9711000,616,0.67,0.75,0.27,1.58,4月2日,0.19,4月30日
047227國泰HE,56900,45000,3,1.26,1.24,1.18,1.28,4月19日,1.18,4月26日
047229國泰HG,1161860,400000,62,2.9,2.33,1.1,3.44,4月2日,1.1,4月30日
047230統一9K,2602760,3834000,563,0.68,0.63,0.22,1.03,4月13日,0.16,4月30日
047231統一9N,1515760,1619000,65,0.94,0.9,0.4,1.51,4月2日,0.4,4月30日
047232統一9P,965900,405000,63,2.38,2.5,1.5,3.76,4月2日,1.44,4月30日
047233統一9S,139410,206000,23,0.68,0.7,0.33,0.95,4月2日,0.33,4月27日
047234統一9T,118800,238000,4,0.5,0.7,0.42,1.05,4月3日,0.38,4月27日
047235統一9V,7659990,2439000,241,3.14,2.88,3.32,4.63,4月27日,2.12,4月12日
047237統一9Z,89220,31000,8,2.88,3.06,3.02,3.66,4月18日,2.52,4月20日
047238MG群益,12990,6000,2,2.16,2.24,2.13,2.34,4月3日,2.13,4月5日
047239MH群益,162160,93000,11,1.74,1.58,0.99,2.33,4月2日,0.99,4月27日
047240MI群益,1544450,4744000,122,0.33,0.47,0.14,1.17,4月2日,0.11,4月27日
047241MJ群益,1369500,5970000,137,0.23,0.35,0.06,0.91,4月2日,0.05,4月30日
047242ML群益,124600,246000,8,0.51,0.58,0.73,0.73,4月26日,0.39,4月9日
047243MM群益,84330,202000,4,0.42,0.48,0.38,0.58,4月3日,0.38,4月17日
047244國泰HH,644340,459000,39,1.4,1.1,0.3,2.23,4月3日,0.3,4月27日
047245國泰HJ,86310,42000,36,2.06,2.19,1.92,2.8,4月3日,1.28,4月24日
0472463Z凱基,189680,60000,23,3.16,3.23,3.53,3.53,4月26日,2.86,4月10日
0472474A凱基,1252200,1897000,110,0.66,0.62,0.57,0.82,4月3日,0.55,4月17日
0472484B凱基,8720,8000,1,1.09,1.09,1.09,1.09,4月17日,1.09,4月17日
047249康和AV,6268690,5297000,310,1.18,1.01,0.31,2.33,4月2日,0.19,4月30日
047250日盛CS,902890,1006000,26,0.9,0.85,0.77,1.23,4月6日,0.62,4月23日
047251日盛CT,1542310,3366000,127,0.46,0.34,0.08,0.59,4月2日,0.06,4月30日
047252永豐CL,100,10000,1,0.01,0.01,0.01,0.01,4月30日,0.01,4月30日
047253永豐CM,78700,394000,12,0.2,0.26,0.2,0.38,4月10日,0.11,4月24日
047255永豐CP,2001350,4428000,99,0.45,0.3,0.06,0.79,4月2日,0.04,4月27日
047256永豐CQ,312750,350000,5,0.89,0.89,0.82,0.95,4月6日,0.82,4月9日
047257永豐CR,102810,1497000,30,0.07,0.06,0.02,0.12,4月3日,0.02,4月30日
047258元大KR,12164990,18509000,498,0.66,0.67,0.45,0.89,4月13日,0.41,4月30日
047259元大KS,178370,253000,26,0.71,0.88,0.38,1.09,4月6日,0.34,4月30日
047260元大KT,23070,179000,4,0.13,0.12,0.11,0.13,4月11日,0.11,4月12日
047261元大KU,133540,760000,19,0.18,0.19,0.06,0.28,4月3日,0.06,4月26日
047262元大KV,255600,608000,42,0.42,0.39,0.1,0.81,4月2日,0.1,4月25日
047263元大KW,41740,32000,3,1.3,1.45,1.36,1.77,4月26日,1.23,4月24日
047264永豐CS,1608960,1340000,29,1.2,1.17,1,1.39,4月9日,0.92,4月5日
047265永豐CT,4092750,24871000,489,0.16,0.13,0.02,0.28,4月3日,0.02,4月30日
047266永豐CU,505210,128000,14,3.95,3.84,3.69,4.33,4月13日,3.62,4月10日
047267永豐CV,159770,2287000,94,0.07,0.05,0.02,0.13,4月2日,0.01,4月27日
047269永豐CX,136740,1054000,23,0.13,0.11,0.05,0.18,4月3日,0.05,4月23日
047270永豐CY,437400,1003000,38,0.44,0.41,0.32,0.55,4月2日,0.31,4月24日
047271ER富邦,50500,100000,7,0.5,0.53,0.54,0.54,4月11日,0.45,4月9日
047272ES富邦,222540,600000,17,0.37,0.33,0.26,0.47,4月2日,0.26,4月17日
047274EU富邦,850,5000,1,0.17,0.17,0.17,0.17,4月26日,0.17,4月26日
047275KE寶來,2041110,1262000,83,1.62,1.54,1.09,1.92,4月16日,0.98,4月30日
047276KF寶來,16345870,8680000,486,1.88,1.89,0.91,2.77,4月13日,0.76,4月30日
047277KG寶來,7511360,8721000,407,0.86,0.8,0.2,2.03,4月2日,0.13,4月30日
047278KH寶來,51256690,66235000,1963,0.77,0.75,0.05,3.05,4月2日,0.05,4月30日
047279KL寶來,92510,149000,13,0.62,0.6,0.6,0.7,4月26日,0.5,4月20日
047280大華36,151330,168000,31,0.9,0.82,0.62,1.44,4月2日,0.61,4月27日
047281大華38,45000,20000,2,2.25,2.25,2.3,2.3,4月10日,2.2,4月9日
047282元大KX,1073810,1133000,186,0.95,1,0.4,1.33,4月2日,0.4,4月27日
047283元大KY,104580,603000,16,0.17,0.19,0.12,0.3,4月2日,0.12,4月20日
047284元大KZ,9344970,1673000,39,5.59,6.5,5.8,8.15,4月2日,4.91,4月23日
047285元大LA,1759140,2442000,718,0.72,0.6,0.48,0.87,4月2日,0.48,4月26日
047286元大LB,691140,763000,38,0.91,0.79,0.61,1.28,4月2日,0.54,4月23日
047287國泰HK,172550,247000,19,0.7,0.65,0.49,0.93,4月6日,0.48,4月11日
047288國泰HL,2255380,1341000,39,1.68,1.5,0.75,2.67,4月2日,0.73,4月20日
047289永豐CZ,452480,766000,34,0.59,0.49,0.33,0.71,4月2日,0.3,4月24日
047290永豐DB,208680,275000,13,0.76,0.83,0.85,0.94,4月13日,0.56,4月3日
047292MS群益,469220,462000,28,1.02,0.98,0.42,1.25,4月2日,0.42,4月27日
047293MT群益,864360,4061000,146,0.21,0.22,0.11,0.38,4月2日,0.09,4月26日
047294MU群益,1626050,1326000,118,1.23,1.25,0.67,1.79,4月13日,0.55,4月30日
047295MV群益,788350,1643000,56,0.48,0.47,0.21,0.9,4月2日,0.21,4月30日
047296MW群益,914130,1322000,133,0.69,0.82,0.34,1.66,4月2日,0.27,4月27日
047297MX群益,315690,242000,10,1.3,1.46,1.21,1.9,4月11日,1.21,4月27日
047298MY群益,4998210,2041000,203,2.45,2.52,1.32,3.12,4月2日,1.29,4月30日
047299MZ群益,92440,110000,6,0.84,0.76,0.36,1.17,4月3日,0.36,4月26日
047300NA群益,220150,428000,25,0.51,0.52,0.31,0.92,4月2日,0.31,4月25日
047301NB群益,201530,633000,44,0.32,0.38,0.25,0.54,4月6日,0.22,4月24日
047302NC群益,32150,10000,2,3.22,3.22,3.24,3.24,4月23日,3.19,4月20日
047303NE群益,12059040,24551000,778,0.49,0.47,0.24,0.66,4月16日,0.16,4月30日
047304NF群益,13853380,22200000,608,0.62,0.58,0.2,0.92,4月2日,0.11,4月27日
047305統一01,401220,163000,27,2.46,2.24,1.85,3.08,4月13日,1.59,4月30日
047306統一02,2910710,3603000,158,0.81,0.78,0.76,1.4,4月24日,0.48,4月9日
047307統一03,183820,303000,9,0.61,0.65,0.42,1.01,4月3日,0.42,4月27日
047308統一04,303230,434000,28,0.7,0.78,0.69,1.08,4月2日,0.57,4月20日
047309統一05,4737510,4208000,115,1.13,1.05,0.66,1.61,4月11日,0.66,4月30日
047311國泰HM,33400,10000,1,3.34,3.34,3.34,3.34,4月13日,3.34,4月13日
047313EV富邦,1965290,1520000,144,1.29,1.21,0.98,1.67,4月2日,0.92,4月30日
047314EW富邦,130690,304000,8,0.43,0.48,0.3,0.61,4月3日,0.3,4月24日
047315EX富邦,689000,1927000,61,0.36,0.38,0.41,0.49,4月3日,0.32,4月17日
047316EY富邦,10871410,5519000,193,1.97,1.85,1.39,2.3,4月16日,1.29,4月30日
047317EZ富邦,2740310,7271000,214,0.38,0.52,0.41,1.07,4月2日,0.26,4月27日
047318FA富邦,167730,93000,30,1.8,1.78,2.14,2.14,4月20日,1.45,4月5日
047319FB富邦,211370,582000,28,0.36,0.4,0.4,0.62,4月27日,0.27,4月20日
047320FC富邦,3001270,5457000,151,0.55,0.82,0.29,1.63,4月6日,0.21,4月30日
047321FD富邦,1984200,3892000,781,0.51,0.53,0.35,0.65,4月13日,0.35,4月24日
047322FE富邦,379120,692000,223,0.55,0.55,0.46,0.64,4月6日,0.46,4月26日
047323FF富邦,383760,1057000,30,0.36,0.37,0.17,0.5,4月3日,0.17,4月25日
047324永昌79,94050,396000,4,0.24,0.24,0.17,0.31,4月3日,0.17,4月5日
047325永昌80,7200,20000,1,0.36,0.36,0.36,0.36,4月9日,0.36,4月9日
047326永昌81,2400,10000,1,0.24,0.24,0.24,0.24,4月3日,0.24,4月3日
047327永昌82,197500,100000,2,1.98,1.98,1.93,2.02,4月6日,1.93,4月9日
047328永昌83,1558410,1816000,23,0.86,0.86,0.88,0.98,4月24日,0.74,4月27日
047329永昌84,243500,280000,38,0.87,0.89,0.84,0.96,4月6日,0.74,4月5日
047330永昌85,8400,60000,2,0.14,0.14,0.14,0.14,4月30日,0.14,4月30日
047332永昌87,383150,1431000,58,0.27,0.27,0.14,0.41,4月13日,0.14,4月27日
047333永昌88,2178260,5151000,107,0.42,0.38,0.16,0.54,4月16日,0.1,4月30日
047334永昌89,3000,10000,1,0.3,0.3,0.3,0.3,4月3日,0.3,4月3日
047335永昌90,235840,737000,16,0.32,0.35,0.23,0.52,4月2日,0.22,4月20日
047336永昌91,30000,100000,2,0.3,0.3,0.28,0.32,4月9日,0.28,4月16日
047337永昌92,204440,402000,20,0.51,0.46,0.28,0.66,4月2日,0.28,4月27日
047338永昌93,222950,463000,85,0.48,0.51,0.45,0.69,4月2日,0.35,4月24日
047339永昌94,2361920,3275000,50,0.72,0.85,0.76,1.09,4月2日,0.65,4月30日
047340永昌95,133850,216000,11,0.62,0.63,0.58,0.79,4月26日,0.55,4月24日
047341永昌96,517600,448000,27,1.16,1.14,1.04,1.25,4月9日,0.93,4月5日
0473424C凱基,211430,217000,30,0.97,1.12,0.4,1.74,4月2日,0.4,4月27日
0473434D凱基,13677230,16941000,408,0.81,0.71,0.21,1.7,4月2日,0.15,4月30日
0473444E凱基,284140,516000,29,0.55,0.56,0.46,0.82,4月13日,0.29,4月24日
0473454F凱基,194900,210000,6,0.93,1.19,1.01,1.85,4月3日,0.72,4月24日
0473464G凱基,7782280,34930000,824,0.22,0.22,0.11,0.42,4月2日,0.1,4月30日
0473474H凱基,24840,47000,10,0.53,0.61,0.58,0.87,4月18日,0.45,4月27日
0473484J凱基,4771180,6078000,218,0.78,0.85,0.65,1.4,4月3日,0.56,4月27日
0473494K凱基,2709490,5760000,325,0.47,0.49,0.33,0.93,4月3日,0.29,4月23日
0473504L凱基,1202660,3649000,61,0.33,0.32,0.14,0.57,4月2日,0.13,4月27日
0473514M凱基,411320,531000,21,0.77,0.8,0.65,0.95,4月6日,0.65,4月20日
047352日盛CX,11676680,2563000,206,4.56,6.9,2.59,14,4月2日,2.06,4月27日
047354日盛CZ,11960,35000,7,0.34,0.36,0.24,0.55,4月3日,0.24,4月23日
047355日盛DC,1501060,1290000,114,1.16,1.09,0.93,1.37,4月2日,0.93,4月24日
047356日盛DG,137000,331000,8,0.41,0.42,0.64,0.64,4月30日,0.33,4月25日
047358康和AX,410620,952000,302,0.43,0.42,0.31,0.65,4月2日,0.24,4月24日
047359康和AY,134500,20000,2,6.72,6.72,6.9,6.9,4月13日,6.55,4月3日
047360康和AZ,927570,442000,68,2.1,2.14,1.64,3.56,4月2日,1.64,4月30日
047361康和BA,660610,881000,39,0.75,0.87,0.53,1.27,4月13日,0.53,4月30日
047362康和BB,2423170,2191000,105,1.11,0.98,0.42,1.44,4月13日,0.42,4月30日
047364大華39,2308260,2723000,57,0.85,0.71,0.18,1.77,4月2日,0.18,4月27日
047365大華40,194580,234000,32,0.83,0.76,0.4,1,4月6日,0.4,4月26日
047366大華41,314730,440000,214,0.72,0.63,0.25,0.86,4月2日,0.25,4月27日
047367大華42,24660,273000,8,0.09,0.07,0.04,0.11,4月3日,0.04,4月18日
047369統一08,488140,396000,9,1.23,1.26,1.25,1.4,4月2日,1.13,4月6日
047370兆豐DD,4420,7000,4,0.63,0.64,0.53,0.71,4月9日,0.53,4月26日
047371兆豐DF,2608300,5110000,149,0.51,0.51,0.52,0.68,4月3日,0.43,4月9日
047372兆豐DG,68700,40000,3,1.72,1.73,1.8,1.8,4月30日,1.66,4月16日
047373兆豐DH,2808180,2303000,163,1.22,1.19,0.61,1.7,4月16日,0.39,4月30日
047374兆豐DJ,108090,266000,31,0.41,0.43,0.26,0.56,4月24日,0.26,4月30日
047375兆豐DK,554050,620000,30,0.89,0.92,0.82,1.19,4月11日,0.71,4月24日
047376兆豐DL,422150,2193000,128,0.19,0.12,0.03,0.44,4月2日,0.03,4月27日
047377兆豐DM,167290,102000,12,1.64,1.64,1.97,1.97,4月30日,1.38,4月6日
047378兆豐DN,83010,69000,17,1.2,1.31,0.82,1.97,4月10日,0.8,4月24日
047379兆豐DP,306650,250000,5,1.23,1.23,1.09,1.36,4月17日,1.09,4月18日
047380兆豐DQ,19620,60000,5,0.33,0.3,0.22,0.4,4月6日,0.22,4月17日
047381兆豐DR,215680,393000,27,0.55,0.52,0.33,0.77,4月2日,0.31,4月20日
047382兆豐DS,1395300,7011000,182,0.2,0.2,0.09,0.38,4月3日,0.06,4月30日
047383兆豐DT,14040,8000,2,1.76,1.76,1.76,1.76,4月27日,1.75,4月27日
047384兆豐DU,8602470,3435000,155,2.5,2.47,2.32,2.75,4月10日,2.04,4月24日
047385兆豐DV,3768980,2271000,69,1.66,1.77,1.5,2.2,4月2日,1.5,4月30日
047386NI群益,28800,281000,17,0.1,0.1,0.08,0.16,4月2日,0.07,4月11日
047387NJ群益,12400,40000,1,0.31,0.31,0.31,0.31,4月12日,0.31,4月12日
047388NK群益,3963330,784000,44,5.06,4.53,3.69,5.8,4月2日,3.69,4月30日
047390NN群益,1076900,935000,23,1.15,1.24,0.71,1.77,4月9日,0.71,4月30日
047391NP群益,7445580,2797000,145,2.66,2.75,4.2,4.23,4月30日,1.9,4月3日
047392NQ群益,731140,482000,45,1.52,1.97,1.23,2.98,4月3日,1.2,4月18日
047393NR群益,1217510,1305000,76,0.93,0.9,0.38,1.49,4月2日,0.29,4月30日
047394NS群益,8841140,30769000,551,0.29,0.27,0.07,0.51,4月13日,0.06,4月30日
047395NT群益,14788220,5303000,227,2.79,2.49,1.19,3.59,4月2日,1.13,4月27日
047396NU群益,556000,854000,27,0.65,0.63,0.49,0.95,4月2日,0.48,4月25日
047397工銀JY,881730,1191000,56,0.74,0.74,0.44,1.06,4月17日,0.38,4月27日
047398工銀JZ,236760,492000,11,0.48,0.49,0.43,0.53,4月6日,0.43,4月20日
047399工銀KA,2696680,6709000,113,0.4,0.43,0.2,0.74,4月2日,0.12,4月30日
047400工銀KB,93260,667000,42,0.14,0.12,0.02,0.35,4月2日,0.02,4月30日
047402工銀KD,74460,81000,2,0.92,0.94,0.94,0.94,4月30日,0.88,4月30日
047403工銀KE,280750,1550000,24,0.18,0.2,0.13,0.31,4月2日,0.12,4月24日
047404永豐DD,942600,1978000,55,0.48,0.56,0.23,0.81,4月13日,0.23,4月30日
047405永豐DE,746650,2114000,39,0.35,0.3,0.11,0.46,4月2日,0.11,4月27日
047407FG富邦,4667250,3330000,237,1.4,1.33,0.92,2.17,4月16日,0.74,4月30日
047408FH富邦,2521740,1313000,67,1.92,2.19,1.6,2.68,4月13日,1.58,4月30日
047409FJ富邦,358900,210000,5,1.71,1.67,1.71,1.72,4月10日,1.59,4月2日
