,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3494  誠研,176544590,8769260,3985,20.13,19.78,18.95,21.9,4月2日,18.55,4月5日,6.37
3515  華擎,256266424,2248040,1912,114,113.55,112,119.5,4月3日,109,4月5日,1.95
3701  大眾控,1878925,208660,339,9,9.16,9.12,9.91,4月5日,8.62,4月12日,0.17
4938  和碩,8536436160,193822506,75310,44.04,43.79,42.3,46.6,4月25日,41.65,4月9日,8.59
5215  F-科嘉,892691259,12814751,9024,69.66,68.83,66.8,75.3,4月13日,64.2,4月20日,27.12
6117  迎廣,8722645,563822,283,15.47,15.33,15,15.9,4月23日,14.6,4月5日,0.64
6128  上福,74309724,2628541,1205,28.27,28.55,28.05,30.1,4月2日,26.65,4月5日,2.89
6166  凌華,156112398,3767725,2192,41.43,41.13,40.25,43.5,4月12日,39.4,4月5日,2.74
6206  飛捷,318557871,4469229,3029,71.28,71.41,70.8,74,4月19日,67.1,4月5日,4.91
6230  超眾,171426892,5436401,2885,31.53,31.26,29,33.8,4月2日,28.7,4月30日,6.3
6235  華孚,218629604,16731739,6167,13.07,12.78,11.7,15.45,4月2日,11.3,4月23日,11.83
6277  宏正,97682332,1761082,1322,55.47,55.57,56,58.2,4月3日,53.3,4月5日,1.47
