,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
054426群益IR,109870,334000,19,0.33,0.32,0.25,0.39,12月3日,0.23,12月25日
054427群益IS,267650,1877000,51,0.14,0.13,0.07,0.22,12月5日,0.06,12月18日
054429群益IU,1722790,710000,20,2.43,2.58,3.62,3.62,12月17日,2.1,12月4日
054430群益IV,123390,676000,20,0.18,0.17,0.14,0.24,12月13日,0.09,12月24日
054432KC永豐,834590,1538000,29,0.54,0.64,0.56,0.81,12月3日,0.5,12月22日
054433統一DC,2289060,1299000,58,1.76,1.78,1.73,2.27,12月19日,1.51,12月22日
054434統一DE,86910,291000,13,0.3,0.3,0.22,0.41,12月7日,0.22,12月28日
054435統一DG,1278850,3504000,115,0.36,0.41,0.32,0.77,12月3日,0.22,12月21日
054436統一DH,212760,1854000,30,0.11,0.1,0.05,0.16,12月7日,0.05,12月26日
054437統一DJ,866630,1124000,214,0.77,0.69,0.52,0.85,12月19日,0.5,12月21日
054438統一DK,195110,1153000,63,0.17,0.21,0.1,0.36,12月4日,0.09,12月21日
054439ED元大,3306360,7341000,300,0.45,0.47,0.19,0.95,12月5日,0.19,12月28日
054440日盛4E,195170,809000,24,0.24,0.33,0.2,0.67,12月5日,0.19,12月27日
054441日盛4F,348680,1840000,56,0.19,0.25,0.07,0.41,12月5日,0.07,12月21日
054442日盛4G,299230,106000,30,2.82,2.78,2.84,3.46,12月14日,1.89,12月21日
054443大華1V,81800,230000,12,0.36,0.35,0.1,0.61,12月7日,0.1,12月22日
054444大華1W,885670,992000,23,0.89,0.87,0.6,1.02,12月14日,0.6,12月28日
054445大華1X,6385740,6026000,92,1.06,1.06,0.96,1.36,12月19日,0.8,12月24日
054446亞東58,4767280,3462000,62,1.38,1.35,1.44,1.65,12月13日,1.1,12月24日
054447亞東59,1290890,2535000,32,0.51,0.52,0.45,0.57,12月18日,0.45,12月22日
054448亞東60,827640,536000,9,1.54,1.51,1.47,1.64,12月7日,1.35,12月3日
054449亞東61,1910740,1598000,50,1.2,1.18,1.03,1.29,12月4日,1.03,12月21日
054450亞東62,4933230,7339000,130,0.67,0.6,0.56,0.76,12月14日,0.47,12月21日
054451亞東63,130890,687000,13,0.19,0.2,0.18,0.23,12月7日,0.17,12月18日
054453富邦HN,3080690,1432000,49,2.15,2.06,2.12,2.32,12月19日,1.71,12月4日
054454富邦HP,4982090,2009000,36,2.48,2.19,2.05,2.87,12月14日,1.38,12月21日
054455富邦HQ,4656380,1293000,26,3.6,3.26,3.34,4.11,12月13日,2.3,12月21日
054456第一4E,16070,202000,5,0.08,0.12,0.1,0.16,12月3日,0.05,12月18日
054457第一4F,22800,251000,5,0.09,0.09,0.09,0.1,12月19日,0.08,12月14日
054458凱基4S,815180,3364000,78,0.24,0.32,0.57,0.57,12月28日,0.15,12月22日
054459凱基4W,830120,4892000,57,0.17,0.15,0.07,0.28,12月5日,0.07,12月24日
054460凱基4X,5516860,1868000,45,2.95,2.93,2.73,3.5,12月14日,2.66,12月3日
054461EH元大,1150060,8092000,145,0.14,0.14,0.17,0.21,12月25日,0.09,12月17日
054462EI元大,785440,1316000,32,0.6,0.57,0.44,0.66,12月14日,0.44,12月25日
054463EJ元大,4767530,2868000,125,1.66,1.49,1.19,2.05,12月13日,1.04,12月26日
054464EK元大,3186940,1866000,94,1.71,1.47,1.46,1.79,12月7日,1.29,12月21日
054465富邦HT,1420,6000,2,0.24,0.27,0.32,0.32,12月28日,0.22,12月21日
054466富邦HV,5659750,4549000,96,1.24,1.41,1.3,1.74,12月13日,1.04,12月27日
054467富邦HX,51800,1010000,12,0.05,0.09,0.1,0.13,12月26日,0.05,12月3日
054468富邦HY,941690,1393000,27,0.68,0.45,0.22,0.77,12月3日,0.16,12月21日
054469富邦HZ,15580,4000,2,3.9,3.9,3.62,4.17,12月14日,3.62,12月24日
054470KD永豐,444820,2714000,70,0.16,0.19,0.12,0.3,12月5日,0.11,12月22日
054472群益IZ,1396060,792000,31,1.76,1.73,1.64,2.05,12月13日,1.27,12月24日
054473群益JA,19657000,8157000,213,2.41,2.33,2.52,2.92,12月13日,1.88,12月21日
054474康和IR,1775800,3676000,298,0.48,0.51,0.7,0.8,12月25日,0.2,12月3日
054475康和IS,247370,363000,61,0.68,0.67,0.87,0.87,12月28日,0.48,12月21日
054476康和IT,116320,211000,6,0.55,0.55,0.57,0.62,12月3日,0.52,12月18日
054477康和IU,12810,131000,6,0.1,0.1,0.08,0.11,12月14日,0.08,12月19日
054481日盛4H,1722790,1883000,53,0.91,0.93,0.66,1.58,12月3日,0.64,12月21日
054482日盛4J,4882270,5681000,67,0.86,0.85,0.77,1.11,12月19日,0.62,12月24日
054483中信E4,440,4000,1,0.11,0.11,0.11,0.11,12月24日,0.11,12月24日
054484中信E6,400,20000,2,0.02,0.02,0.02,0.02,12月22日,0.02,12月22日
054485永昌GM,1205130,2442000,75,0.49,0.51,0.5,0.61,12月5日,0.4,12月21日
054486永昌GN,532460,476000,11,1.12,0.94,0.6,1.35,12月12日,0.6,12月21日
054487永昌GP,28620,104000,8,0.28,0.23,0.13,0.31,12月3日,0.13,12月12日
054488永昌GQ,60250,201000,5,0.3,0.28,0.25,0.31,12月6日,0.25,12月19日
054489永昌GR,78900,100000,9,0.79,0.8,0.67,0.89,12月13日,0.67,12月20日
054490永昌GS,2369510,3304000,54,0.72,0.7,0.52,0.79,12月19日,0.52,12月22日
054491永昌GT,11510,68000,7,0.17,0.17,0.15,0.2,12月17日,0.14,12月25日
054492凱基4Y,244590,1033000,31,0.24,0.23,0.14,0.66,12月5日,0.11,12月21日
054493KE永豐,142000,80000,10,1.78,1.83,2.02,2.02,12月18日,1.7,12月7日
054495統一DL,230450,290000,19,0.79,0.8,0.68,1.02,12月3日,0.65,12月21日
054496統一DM,699050,2009000,109,0.35,0.32,0.27,0.5,12月5日,0.19,12月24日
054497統一DN,1145120,1801000,54,0.64,0.59,0.43,0.88,12月4日,0.38,12月18日
054499EM元大,420,3000,1,0.14,0.14,0.14,0.14,12月4日,0.14,12月4日
054500EN元大,11575360,12870000,421,0.9,0.91,0.83,1.08,12月5日,0.71,12月21日
054501中信E8,2970,1000,1,2.97,2.97,2.97,2.97,12月28日,2.97,12月28日
054502中信E9,3268090,6330000,137,0.52,0.47,0.26,0.92,12月3日,0.2,12月21日
054503日盛4L,2846990,1235000,63,2.31,2.17,2.81,2.91,12月26日,1.76,12月7日
054505日盛4N,251130,738000,20,0.34,0.28,0.16,0.5,12月6日,0.16,12月28日
054506日盛4P,1000,20000,1,0.05,0.05,0.05,0.05,12月13日,0.05,12月13日
054507日盛4Q,7115970,3343000,94,2.13,2.17,1.71,2.94,12月13日,1.61,12月21日
054508大華1Y,10750,85000,4,0.13,0.13,0.05,0.2,12月6日,0.05,12月25日
054510富邦JB,19730660,9422000,273,2.09,2.09,2.3,2.62,12月17日,1.63,12月5日
054511富邦JD,2680350,4560000,57,0.59,0.56,0.43,0.68,12月6日,0.43,12月21日
054512富邦JE,56903280,21275000,899,2.67,2.46,1.67,3.87,12月3日,1.41,12月27日
054513富邦JF,522660,313000,15,1.67,1.67,1.51,1.84,12月10日,1.41,12月21日
054514富邦JG,1589040,1652000,35,0.96,0.79,0.61,1.09,12月6日,0.59,12月21日
054515統一DP,2824340,7603000,177,0.37,0.44,0.23,0.83,12月6日,0.22,12月17日
054516統一DQ,6650,25000,2,0.27,0.28,0.23,0.32,12月7日,0.23,12月25日
054517群益JC,183510,175000,22,1.05,0.96,0.9,1.14,12月6日,0.78,12月24日
054518群益JD,3478060,776000,30,4.48,4.78,5,5.35,12月10日,3.99,12月4日
054519群益JF,1053170,1997000,41,0.53,0.59,0.36,0.85,12月3日,0.36,12月26日
054521元富4B,168600,228000,5,0.74,0.69,0.5,0.78,12月13日,0.5,12月28日
054522元富4C,5765030,1491000,73,3.87,4.07,4.22,4.99,12月14日,3.56,12月10日
054523元富4E,5833790,12467000,231,0.47,0.48,0.28,0.74,12月6日,0.27,12月26日
054524元富4F,9843980,24472000,346,0.4,0.37,0.3,0.49,12月6日,0.26,12月25日
054525元富4G,1901790,4690000,147,0.41,0.33,0.2,0.65,12月4日,0.18,12月25日
054526凱基5A,316530,1375000,55,0.23,0.25,0.21,0.37,12月4日,0.18,12月19日
054527EP元大,1634040,3095000,104,0.53,0.42,0.37,0.78,12月6日,0.29,12月25日
054529ER元大,1660960,3966000,101,0.42,0.37,0.33,0.55,12月5日,0.23,12月21日
054532大華2C,246820,252000,13,0.98,0.95,0.87,1.07,12月13日,0.75,12月17日
054533兆豐G5,4569150,19517000,800,0.23,0.22,0.2,0.33,12月10日,0.11,12月4日
054534兆豐G6,1357440,1425000,35,0.95,0.96,0.6,1.7,12月3日,0.56,12月26日
054535兆豐G7,27300,130000,4,0.21,0.21,0.21,0.21,12月28日,0.21,12月28日
054536兆豐G8,5312740,10942000,371,0.49,0.44,0.37,0.88,12月6日,0.32,12月21日
054537兆豐G9,289630,748000,15,0.39,0.36,0.26,0.51,12月7日,0.26,12月28日
054538兆豐H1,49950,180000,8,0.28,0.28,0.3,0.33,12月13日,0.24,12月3日
054539兆豐H2,13950,35000,3,0.4,0.38,0.35,0.42,12月7日,0.35,12月11日
054540第一4G,18200,20000,2,0.91,0.91,0.83,0.99,12月6日,0.83,12月11日
054541第一4H,60300,60000,2,1,1,1.01,1.01,12月4日,1,12月3日
054542第一4J,41650,25000,24,1.67,1.65,1.92,1.92,12月26日,1.49,12月7日
054543元富4H,745800,228000,4,3.27,3.26,3.26,3.32,12月6日,3.2,12月5日
054544元富4J,852590,441000,21,1.93,1.84,1.68,2.13,12月6日,1.67,12月19日
054545元富4K,529880,164000,11,3.23,3.42,3.9,4.01,12月14日,2.94,12月10日
054546兆豐H3,547860,3364000,73,0.16,0.18,0.15,0.25,12月7日,0.12,12月20日
054547兆豐H4,4372980,2697000,67,1.62,1.58,1.73,1.79,12月10日,1.33,12月21日
054548KM永豐,425900,3790000,55,0.11,0.09,0.05,0.17,12月5日,0.05,12月27日
054549KN永豐,450,5000,1,0.09,0.09,0.09,0.09,12月13日,0.09,12月13日
054550KP永豐,136310,91000,10,1.5,1.56,1.57,1.7,12月17日,1.06,12月4日
054551國票KK,509310,2520000,82,0.2,0.16,0.11,0.3,12月6日,0.09,12月21日
054552日盛4W,45460,178000,8,0.26,0.2,0.1,0.3,12月3日,0.1,12月27日
054553日盛4X,129670,215000,24,0.6,0.57,0.54,0.77,12月7日,0.43,12月25日
054554日盛4Y,499650,143000,8,3.49,3.42,3.49,3.72,12月14日,3.07,12月4日
054556富邦JM,3450,35000,3,0.1,0.09,0.05,0.14,12月4日,0.05,12月19日
054557富邦JN,242410,1154000,38,0.21,0.2,0.16,0.33,12月5日,0.14,12月17日
054558工銀J3,382050,1100000,24,0.35,0.27,0.2,0.4,12月4日,0.16,12月21日
054559工銀J4,938700,2436000,33,0.39,0.37,0.27,0.46,12月6日,0.26,12月21日
054560工銀J5,2646590,2069000,62,1.28,1.36,1.45,1.94,12月17日,1.16,12月21日
054561工銀J6,8600,60000,3,0.14,0.15,0.14,0.18,12月14日,0.14,12月27日
054562凱基5E,4855630,1943000,80,2.5,2.63,2.59,3.1,12月19日,2.08,12月4日
054563凱基5G,1531510,802000,11,1.91,1.88,1.89,1.96,12月7日,1.87,12月6日
054564統一DU,587390,131000,10,4.48,4.29,4.42,4.52,12月13日,3.99,12月3日
054565國泰C8,1730130,755000,71,2.29,2.33,2.19,2.62,12月19日,1.99,12月21日
054566KQ永豐,36610,61000,6,0.6,0.53,0.31,0.7,12月12日,0.31,12月25日
054567KR永豐,5115470,3572000,118,1.43,1.71,2,2.46,12月17日,1.02,12月3日
054568群益JI,12444300,13270000,150,0.94,0.85,0.8,1.34,12月5日,0.58,12月3日
054569群益JJ,1972550,3238000,150,0.61,0.56,0.49,0.82,12月4日,0.4,12月18日
054570群益JK,9444510,16621000,531,0.57,0.47,0.26,0.9,12月3日,0.24,12月21日
054571元富4M,10682180,2567000,184,4.16,4.45,3.65,5.75,12月12日,3.17,12月21日
054572富邦JP,51600,30000,3,1.72,1.74,1.78,1.78,12月27日,1.69,12月25日
054573富邦JR,637290,2781000,210,0.23,0.23,0.16,0.47,12月5日,0.1,12月21日
054574富邦JS,1400970,1504000,37,0.93,0.8,0.77,1.16,12月12日,0.57,12月24日
054575富邦JU,5670,5000,2,1.13,1.13,1.14,1.14,12月14日,1.13,12月6日
054576亞東64,539760,183000,10,2.95,2.92,3.11,3.11,12月13日,2.72,12月5日
054577亞東65,4828950,4205000,269,1.15,1.16,1.06,1.48,12月11日,0.9,12月21日
054578亞東66,1736930,9018000,112,0.19,0.23,0.19,0.41,12月5日,0.12,12月21日
054579亞東67,430670,2924000,68,0.15,0.15,0.2,0.24,12月25日,0.1,12月20日
054580亞東68,1417300,3148000,40,0.45,0.44,0.39,0.53,12月6日,0.36,12月25日
054581亞東69,7915490,10783000,260,0.73,0.76,0.66,0.87,12月19日,0.62,12月27日
054582大華2D,358290,3059000,74,0.12,0.13,0.02,0.33,12月3日,0.02,12月21日
054583大華2G,471850,110000,5,4.29,3.72,2.94,4.54,12月7日,2.94,12月20日
054584大華2H,118550,234000,17,0.51,0.49,0.38,0.71,12月14日,0.36,12月22日
054585康和IW,901190,201000,19,4.48,4.63,4.78,4.78,12月14日,4.24,12月4日
054586康和IX,1570800,2315000,67,0.68,0.68,0.6,0.97,12月5日,0.48,12月21日
054587康和JA,12829850,2479000,186,5.18,4.27,2.59,6.75,12月10日,2.34,12月21日
054588中信F1,7246400,445000,144,16.28,15.32,12.3,20.5,12月12日,10.5,12月21日
054589中信F2,10573100,485000,46,21.8,22.25,20.3,24.1,12月13日,20,12月5日
054590EW元大,3331200,3326000,55,1,0.91,0.84,1.27,12月12日,0.65,12月22日
054591日盛5A,12945100,1756000,134,7.37,7.16,6,8.5,12月12日,5.45,12月17日
054592第一4K,407960,2060000,45,0.2,0.18,0.1,0.3,12月6日,0.05,12月28日
054593第一4L,94550,155000,10,0.61,0.6,0.51,0.65,12月14日,0.51,12月21日
054594凱基5J,7602560,5061000,156,1.5,1.51,1.52,2.04,12月17日,1.1,12月6日
054595凱基5K,566970,2133000,107,0.27,0.21,0.14,0.39,12月3日,0.09,12月21日
054596大眾7R,7400,10000,1,0.74,0.74,0.74,0.74,12月3日,0.74,12月3日
054597大眾8R,19290,101000,14,0.19,0.2,0.18,0.25,12月6日,0.12,12月5日
054600大華2I,1041830,1707000,33,0.61,0.5,0.62,0.72,12月26日,0.28,12月25日
054601大華2J,3060,34000,1,0.09,0.09,0.09,0.09,12月28日,0.09,12月28日
054602群益JM,26255020,9216000,591,2.85,2.81,3.18,4.24,12月17日,1.59,12月3日
054603KT永豐,2021430,2214000,56,0.91,0.93,0.98,1.21,12月17日,0.77,12月11日
054604KU永豐,251130,1792000,20,0.14,0.15,0.14,0.2,12月3日,0.12,12月11日
054605凱基5M,8888470,3180000,72,2.8,2.92,2.71,3.74,12月14日,2.39,12月10日
054606凱基5N,5164720,3294000,438,1.57,1.83,2.1,2.26,12月14日,1.38,12月11日
054607凱基5Q,710,2000,2,0.36,0.36,0.36,0.36,12月3日,0.35,12月3日
054608兆豐H5,2167560,2793000,88,0.78,0.99,0.53,1.92,12月3日,0.46,12月26日
054609兆豐H6,7606090,13486000,302,0.56,0.57,0.6,0.64,12月18日,0.49,12月4日
054610兆豐H7,307070,6301000,319,0.05,0.04,0.03,0.07,12月3日,0.02,12月28日
054611兆豐H8,1287640,1678000,45,0.77,0.74,0.7,0.99,12月6日,0.64,12月22日
054612兆豐H9,6096910,8088000,131,0.75,0.7,0.59,0.91,12月6日,0.57,12月27日
054613兆豐J1,3995670,14111000,253,0.28,0.24,0.36,0.4,12月27日,0.17,12月4日
054614兆豐J2,4553730,24293000,625,0.19,0.18,0.25,0.26,12月28日,0.14,12月18日
054615日盛5B,15755030,8473000,540,1.86,1.55,1.08,3.02,12月10日,0.8,12月17日
054616日盛5C,154360,64000,11,2.41,2.99,2.18,4.37,12月4日,2.01,12月27日
054617大華2K,4631570,1348000,64,3.44,3.38,2.97,3.88,12月14日,2.89,12月25日
054618大華2L,407230,1526000,22,0.27,0.25,0.2,0.3,12月13日,0.19,12月27日
054619中信F3,7638920,6121000,421,1.25,1.22,1.52,1.88,12月13日,1,12月3日
054620中信F4,23687900,1137000,164,20.83,20.91,18.7,27.6,12月13日,17.9,12月22日
054621凱基5R,2421680,2977000,63,0.81,0.79,0.73,0.88,12月13日,0.71,12月21日
054622富邦JV,595960,1522000,77,0.39,0.35,0.55,0.64,12月26日,0.23,12月25日
054623富邦JX,117100,50000,4,2.34,2.34,2.29,2.45,12月6日,2.25,12月11日
054625富邦JZ,1582310,1048000,20,1.51,1.58,1.68,1.69,12月12日,1.39,12月10日
054626富邦KA,19963840,19030000,758,1.05,1.1,1.06,1.49,12月6日,0.49,12月3日
054627富邦KB,23039990,35246000,771,0.65,0.84,0.52,1.55,12月6日,0.41,12月20日
054628富邦KD,53050,441000,21,0.12,0.12,0.11,0.16,12月19日,0.08,12月18日
054629富邦KE,2200,10000,1,0.22,0.22,0.22,0.22,12月4日,0.22,12月4日
054630永昌GU,624200,428000,19,1.46,1.41,1.28,1.62,12月13日,1.12,12月4日
054631永昌GV,32226340,14984000,286,2.15,2.16,2.09,2.49,12月13日,1.86,12月21日
054632永昌GW,362900,569000,22,0.64,0.6,0.4,0.73,12月3日,0.4,12月28日
054633EZ元大,23120710,26808000,695,0.86,0.79,0.75,1.08,12月4日,0.58,12月18日
054634第一4M,153850,1037000,32,0.15,0.13,0.08,0.25,12月6日,0.08,12月26日
054635國票KN,3862670,1692000,182,2.28,2.24,2.02,2.95,12月13日,1.91,12月24日
054636日盛5E,417310,2427000,34,0.17,0.16,0.06,0.33,12月5日,0.06,12月28日
054637兆豐J3,12719970,29679000,1161,0.43,0.42,0.55,0.58,12月28日,0.34,12月3日
054639FA元大,6073440,14428000,263,0.42,0.42,0.43,0.61,12月26日,0.26,12月4日
054640FB元大,388690,68000,23,5.72,5.53,4.64,7.35,12月13日,4.58,12月27日
054641FC元大,1992710,11996000,270,0.17,0.16,0.16,0.26,12月6日,0.13,12月21日
054642群益JP,7776250,30954000,384,0.25,0.26,0.19,0.44,12月3日,0.15,12月21日
054643群益JQ,8589490,1961000,84,4.38,4.17,3.92,5,12月13日,3.71,12月24日
054644群益JS,6144950,5094000,207,1.21,1.22,1.04,1.92,12月10日,0.75,12月17日
054645群益JT,5632340,2757000,107,2.04,1.89,1.99,2.36,12月7日,1.38,12月21日
054646KV永豐,323210,834000,31,0.39,0.35,0.27,0.49,12月6日,0.26,12月22日
054647KW永豐,6896230,12559000,230,0.55,0.59,0.55,0.84,12月4日,0.44,12月18日
054648KX永豐,246640,341000,8,0.72,0.75,0.53,0.98,12月7日,0.53,12月27日
054649KY永豐,40500,270000,3,0.15,0.15,0.15,0.15,12月6日,0.15,12月6日
054650KZ永豐,97000,420000,19,0.23,0.26,0.2,0.37,12月12日,0.17,12月27日
054651LA永豐,900,10000,1,0.09,0.09,0.09,0.09,12月12日,0.09,12月12日
054653LC永豐,422100,580000,15,0.73,0.77,0.74,1.01,12月13日,0.61,12月24日
054654凱基5S,799580,1534000,63,0.52,0.46,0.5,0.65,12月26日,0.29,12月4日
054655凱基5T,817810,2469000,71,0.33,0.29,0.32,0.45,12月26日,0.17,12月4日
054657凱基5V,67976450,33898000,1942,2.01,1.99,1.95,2.71,12月6日,0.91,12月3日
054658凱基5W,2547130,2889000,79,0.88,0.85,0.81,1.07,12月6日,0.7,12月24日
054659凱基5X,13074370,16582000,474,0.79,0.76,1.05,1.09,12月28日,0.59,12月21日
054660元富4P,6870670,6561000,175,1.05,0.98,0.97,1.39,12月6日,0.69,12月4日
054661元富4Q,2246260,3382000,129,0.66,0.66,0.6,0.8,12月5日,0.49,12月21日
054662元富4R,965600,1803000,58,0.54,0.58,0.45,0.8,12月6日,0.42,12月28日
054663元富4V,30880,294000,12,0.11,0.08,0.05,0.17,12月6日,0.05,12月28日
054664日盛5G,678340,975000,35,0.7,0.67,0.6,0.96,12月5日,0.49,12月18日
054665日盛5H,811770,1956000,95,0.42,0.34,0.37,0.54,12月26日,0.21,12月4日
054666大華2P,1199750,851000,76,1.41,1.34,1.32,1.67,12月5日,1.01,12月18日
054667大華2Q,3372020,4233000,156,0.8,0.77,0.72,1.02,12月6日,0.34,12月3日
054668國票KQ,3054860,5353000,123,0.57,0.6,0.71,0.88,12月6日,0.26,12月3日
054669兆豐J8,1397470,1066000,48,1.31,1.29,1.18,1.52,12月13日,1.04,12月25日
054670兆豐J9,989400,3155000,123,0.31,0.31,0.26,0.51,12月6日,0.21,12月24日
054671兆豐K1,16670,48000,8,0.35,0.34,0.24,0.39,12月18日,0.24,12月28日
054672兆豐K2,1418870,1439000,69,0.99,0.92,0.94,1.2,12月7日,0.67,12月22日
054673兆豐K3,1089910,11523000,542,0.09,0.09,0.05,0.17,12月5日,0.05,12月28日
054674兆豐K4,8725500,9505000,265,0.92,0.91,1.13,1.2,12月28日,0.78,12月11日
054675兆豐K5,78714430,49393000,1489,1.59,1.42,1.02,2.08,12月5日,0.9,12月21日
054676兆豐K6,164300,1898000,40,0.09,0.08,0.07,0.12,12月5日,0.05,12月24日
054677兆豐K7,495610,13028000,446,0.04,0.03,0.02,0.08,12月7日,0.02,12月28日
054678兆豐K8,124050,205000,13,0.61,0.59,0.52,0.64,12月13日,0.5,12月20日
054679統一EA,1971080,3527000,103,0.56,0.53,0.45,0.75,12月3日,0.43,12月27日
054680統一EB,9250,25000,1,0.37,0.37,0.37,0.37,12月25日,0.37,12月25日
054681統一EC,665460,2396000,57,0.28,0.24,0.19,0.41,12月6日,0.19,12月28日
054682富邦KH,1112100,412000,37,2.7,2.61,2.64,3.27,12月17日,1.8,12月4日
054683康和JC,731360,723000,87,1.01,0.98,0.84,1.22,12月6日,0.8,12月21日
054684康和JD,4000,10000,1,0.4,0.4,0.4,0.4,12月3日,0.4,12月3日
054685康和JE,1141670,1401000,64,0.81,0.82,0.8,1.06,12月5日,0.67,12月24日
054687凱基5Y,1550490,1748000,59,0.89,0.86,0.61,1.08,12月3日,0.61,12月27日
054688FD元大,52330,299000,6,0.18,0.17,0.18,0.19,12月7日,0.17,12月6日
054689FE元大,390250,2232000,58,0.17,0.19,0.12,0.31,12月7日,0.09,12月21日
054690FF元大,33250,65000,6,0.51,0.5,0.43,0.59,12月10日,0.43,12月27日
054691FG元大,19141500,22727000,612,0.84,0.78,0.8,1.07,12月6日,0.64,12月24日
054692FI元大,17349150,18066000,662,0.96,0.86,0.64,1.41,12月13日,0.6,12月24日
054693大華2S,7890560,17619000,451,0.45,0.44,0.47,0.58,12月10日,0.19,12月4日
054695大華2U,499790,1302000,73,0.38,0.37,0.31,0.54,12月3日,0.31,12月26日
054696大華2V,42540,384000,13,0.11,0.1,0.07,0.16,12月6日,0.06,12月25日
054697元富4W,4844330,3575000,113,1.36,0.97,0.66,1.71,12月3日,0.56,12月21日
054698元富4X,4389190,5945000,136,0.74,0.75,0.53,0.95,12月14日,0.52,12月28日
054699元富4Z,8693190,18916000,566,0.46,0.41,0.33,0.65,12月6日,0.27,12月21日
054700元富5B,1344630,548000,50,2.45,2.41,2.19,3.01,12月11日,1.97,12月21日
054701元富5C,1916160,560000,40,3.42,3.48,2.69,4.01,12月11日,2.48,12月17日
054702工銀J9,4109950,4699000,183,0.87,0.81,0.47,1.14,12月10日,0.41,12月27日
054703工銀K1,151050,351000,15,0.43,0.54,0.46,0.73,12月7日,0.26,12月5日
054705富邦KM,1503060,2488000,132,0.6,0.57,0.81,0.83,12月28日,0.45,12月18日
054706富邦KN,701180,1985000,52,0.35,0.33,0.26,0.52,12月6日,0.25,12月24日
054707大眾2S,122090,238000,13,0.51,0.5,0.45,0.61,12月13日,0.44,12月20日
054708LE永豐,9889300,17244000,458,0.57,0.64,0.65,0.84,12月6日,0.3,12月3日
054709LF永豐,694270,1399000,25,0.5,0.45,0.61,0.64,12月26日,0.27,12月4日
054710LG永豐,22620,82000,5,0.28,0.29,0.31,0.31,12月10日,0.26,12月3日
054711LI永豐,177820,509000,12,0.35,0.38,0.33,0.49,12月3日,0.28,12月18日
054712LJ永豐,6690,21000,3,0.32,0.31,0.29,0.33,12月10日,0.29,12月28日
054713LK永豐,1754780,4960000,113,0.35,0.36,0.44,0.49,12月28日,0.29,12月24日
054714LL永豐,2719150,1460000,25,1.86,1.74,1.19,1.94,12月12日,1.19,12月22日
054715LM永豐,941510,2862000,115,0.33,0.37,0.24,0.64,12月6日,0.21,12月21日
054716第一4P,18420,23000,3,0.8,0.79,0.75,0.87,12月6日,0.74,12月12日
054717元富5D,10520,24000,3,0.44,0.44,0.45,0.45,12月5日,0.42,12月4日
054718日盛5L,129230,451000,20,0.29,0.31,0.23,0.39,12月5日,0.23,12月21日
054719FK元大,95110,418000,11,0.23,0.22,0.2,0.26,12月17日,0.2,12月28日
054720FL元大,2584210,4594000,88,0.56,0.53,0.44,0.7,12月6日,0.41,12月21日
054721FM元大,55862010,66314000,2474,0.84,0.82,1.11,1.21,12月28日,0.6,12月3日
054723工銀K2,9387480,10326000,331,0.91,0.81,0.61,1.29,12月6日,0.57,12月28日
054724兆豐K9,984430,4296000,167,0.23,0.22,0.1,0.49,12月5日,0.1,12月28日
054725富邦KQ,3861360,6104000,146,0.63,0.57,0.41,0.75,12月6日,0.37,12月27日
054726富邦KU,1378140,3214000,76,0.43,0.43,0.39,0.51,12月13日,0.36,12月22日
054727統一ED,171410,743000,39,0.23,0.27,0.33,0.39,12月25日,0.12,12月3日
054728統一EE,1576570,1709000,25,0.92,0.96,0.95,1.1,12月12日,0.85,12月5日
054729國泰D5,8130460,16990000,430,0.48,0.47,0.39,0.7,12月3日,0.36,12月24日
054730群益JW,1405990,2084000,62,0.67,0.68,0.7,0.77,12月6日,0.58,12月25日
054731群益JX,112950,198000,31,0.57,0.6,0.53,0.76,12月4日,0.46,12月17日
054732群益JY,459920,1366000,36,0.34,0.42,0.35,0.6,12月5日,0.25,12月21日
054733群益JZ,2564580,5436000,75,0.47,0.46,0.46,0.55,12月19日,0.39,12月5日
054734群益KA,6600,21000,2,0.31,0.36,0.31,0.4,12月5日,0.31,12月22日
054735群益KB,6371340,2147000,152,2.97,3.06,3.98,4,12月28日,2.44,12月3日
054736群益KC,321200,270000,16,1.19,1.31,1,1.72,12月13日,0.96,12月21日
054737群益KF,21528200,8422000,284,2.56,2.55,2.72,3,12月13日,2.09,12月21日
054738LN永豐,172160,756000,59,0.23,0.22,0.2,0.27,12月6日,0.16,12月22日
054739LP永豐,451390,2892000,46,0.16,0.15,0.09,0.22,12月5日,0.09,12月28日
054740元富5E,2730880,2154000,145,1.27,1.08,0.74,1.66,12月5日,0.73,12月27日
054741凱基6A,8611370,15151000,310,0.57,0.58,0.53,0.69,12月19日,0.41,12月21日
054742凱基6D,210,21000,2,0.01,0.01,0.01,0.01,12月26日,0.01,12月26日
054743凱基6F,2466420,1288000,143,1.91,1.92,1.82,2.64,12月14日,1.46,12月10日
054744凱基6H,1195680,6514000,119,0.18,0.18,0.14,0.31,12月6日,0.14,12月28日
