,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3041  揚智,2093287467,61417188,29133,34.08,33.72,33.3,35.5,12月3日,32.6,12月11日,19.88
3054  萬國,36791337,4715046,1668,7.8,7.82,7.58,8.5,12月6日,7.33,12月13日,6.08
3094  聯傑,106399116,6276813,3167,16.95,16.7,16.9,17.9,12月13日,15.75,12月11日,7.36
3189  景碩,4097731233,44765941,26458,91.54,91.03,91.1,93.9,12月7日,87.8,12月21日,10.04
3257  虹冠電,216162888,7780404,4277,27.78,27.48,28.5,29.3,12月25日,26.2,12月11日,20.09
3443  創意,2790425114,28089882,19743,99.34,98.68,100.5,103,12月5日,95.6,12月11日,20.96
3519  綠能,6803444253,281514383,109037,24.17,24.1,24.65,26.05,12月13日,20.85,12月3日,87.47
3532  台勝科,64901511,2081610,1480,31.18,31.02,30.8,32.75,12月3日,29.5,12月24日,0.27
3545  旭曜,3129146856,80693032,39430,38.78,38.47,38.8,41,12月7日,36.5,12月11日,58.21
3559  全智科,147841282,9137151,4099,16.18,16.1,16.1,16.7,12月20日,15.6,12月11日,7.78
3579  尚志,988620686,39034761,18520,25.33,24.7,26.3,27.55,12月27日,23.4,12月18日,33.78
3588  通嘉,129308923,2702955,1937,47.84,47.09,50.7,51.3,12月26日,44.05,12月4日,6.02
3598  奕力,3937839588,43143718,29276,91.27,89.97,91.5,95.4,12月5日,87.6,12月18日,63.13
3638  F-IML,870488660,9482787,6817,91.8,90.99,89.5,96.9,12月5日,88.1,12月21日,11.72
3686  達能,1576557487,119529751,38176,13.19,12.9,14,14.6,12月28日,12,12月11日,58.69
3697  F-晨星,10432808886,45242685,27168,230.6,227.17,218,253.5,12月3日,209,12月24日,8.49
4919  新唐,453261669,14580722,7816,31.09,30.8,31.8,32.35,12月28日,28.6,12月11日,7.03
4952  凌通,246564720,12373300,3269,19.93,19.37,19.5,20.8,12月14日,18.4,12月12日,11.37
5269  祥碩,1249504478,16485542,12078,75.79,72.54,70.2,87,12月12日,67.4,12月21日,29.24
5305  敦南,833668235,55561579,15133,15,14.06,15.4,15.8,12月28日,12.75,12月11日,12.42
5471  松翰,263991255,6758347,4139,39.06,38.96,38.95,39.9,12月5日,38,12月11日,4.03
6145  勁永,1072747881,86305245,24514,12.43,12.25,12.05,13.5,12月12日,11.75,12月10日,38.79
6202  盛群,214629105,7259491,4720,29.57,29.79,29.5,30.8,12月7日,28.35,12月21日,3.25
6239  力成,8436685628,184447190,79773,45.74,45.82,46.95,48.5,12月19日,42.15,12月4日,23.67
6243  迅杰,69819568,5185154,2623,13.47,13.35,13.7,14.4,12月26日,12.8,12月4日,6.89
6257  矽格,1135993114,45000570,19513,25.24,25.24,25.9,25.95,12月28日,23.95,12月3日,12.33
6271  同欣電,1950335735,19355104,12060,100.77,100.62,101.5,104,12月21日,96.1,12月17日,11.88
6286  立錡,1529768466,8945746,7340,171.01,169.93,169.5,176.5,12月18日,166,12月10日,5.98
8016  矽創,687291458,17871378,10462,38.46,38.1,38.75,39.7,12月28日,37.1,12月18日,15.13
8081  致新,2520808433,23259986,15330,108.38,106.4,111.5,117,12月19日,99.6,12月11日,26.99
8110  華東,196343151,22972988,7426,8.55,8.53,8.4,8.95,12月6日,8.17,12月3日,4.57
8131  福懋科,128916157,7547380,3868,17.08,16.96,17.15,18.2,12月18日,16.3,12月4日,1.71
8261  富鼎,64736151,6444492,2432,10.05,10.03,10.35,10.6,12月28日,9.33,12月3日,4.57
8271  宇瞻,1104858258,43937638,17485,25.15,24.96,25.9,25.95,12月7日,24.1,12月11日,33.59
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
2301  光寶科,3446651357,87824944,37263,39.24,39.11,38.55,40.25,12月7日,37.65,12月22日,3.83
2305  全友,13212868,4615833,1552,2.86,2.87,2.85,2.96,12月12日,2.78,12月12日,2.24
2315  神達,1620252240,152348695,33499,10.64,10.51,10.4,11.05,12月12日,10.1,12月11日,9.96
2324  仁寶,9373278284,469173507,115873,19.98,19.7,19.55,21,12月7日,18.75,12月21日,10.63
2331  精英,933244228,102325259,26060,9.12,8.99,8.99,9.56,12月7日,8.69,12月21日,8.65
2352  佳世達,3348660538,456166294,87359,7.34,7.16,7.3,7.95,12月18日,6.35,12月3日,23.19
2353  宏碁,9896529970,391105413,129077,25.3,25.17,25.2,26.6,12月5日,23.95,12月21日,13.8
2356  英業達,790101236,71533168,24281,11.05,11.04,11.15,11.35,12月20日,10.7,12月24日,1.99
2357  華碩,26033160266,80277076,54375,324.29,322.88,326.5,342,12月14日,311,12月11日,10.66
2358  美格,54490418,4657042,1545,11.7,11.76,11.55,12.4,12月13日,10.8,12月25日,7.16
