,41306,,,,,,,41306,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,2529233796,74283011,26263,34.05,33.92,32.9,34.9,41310,32.9,41332,1.47
1409  新纖,443447297,46145045,9731,9.61,9.58,9.5,9.73,41330,9.5,41332,2.62
1410  南染,165125537,6931396,3042,23.82,23.57,23.2,24.5,41325,23.1,41331,7.7
1413  宏洲,6093816,1396069,518,4.36,4.39,4.28,4.65,41306,4.22,41332,0.82
1414  東和,82758625,8988767,2667,9.21,9.19,9.12,9.48,41326,8.98,41310,4.09
1416  廣豐,192479601,10979602,3337,17.53,17.48,17.3,18.1,41324,17,41310,2.85
1417  嘉裕,90650169,9703832,2963,9.34,9.33,9.2,9.53,41309,9.18,41332,2.55
1418  東華,18074092,3087819,942,5.85,5.76,5.7,6.26,41323,5.6,41331,2.34
1419  新紡,134227912,3491290,2241,38.45,38.29,38.1,39,41323,38,41332,1.16
1423  利華,14749289,2101283,499,7.02,7.03,6.97,7.12,41309,6.92,41328,1.2
1432  大魯閣,127613948,8404447,2965,15.18,15.04,16.7,17.45,41330,12.9,41310,15.6
1434  福懋,492457028,17041145,8215,28.9,28.88,28.75,29.3,41330,28.1,41309,1.01
1439  中和,27925251,1926155,812,14.5,14.55,14.7,14.9,41310,14.05,41306,2.09
1440  南紡,821351482,56428091,11482,14.56,14.37,14.55,15,41330,14.05,41324,3.6
1441  大東,30460916,3269177,1138,9.32,9.3,9.18,9.6,41309,9.17,41332,3.63
1443  立益,9833187,1829414,396,5.38,5.34,5.36,5.58,41326,5.21,41310,1.35
