,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2886  兆豐金,14957537349,649285563,132930,23.04,23.05,24.35,24.35,7月31日,22,7月2日,5.76
2887  台新金,12595787250,1111751568,77516,11.33,11.58,12.2,12.2,7月31日,11.25,7月11日,17.58
2887C 新丙特,8447400,255000,29,33.13,33.11,32.35,33.35,7月18日,32.25,7月19日,0.05
2888  新光金,3064382757,344037694,61783,8.91,8.89,9.15,9.17,7月30日,8.65,7月2日,4.08
2889  國票金,319532510,31767457,6629,10.06,10.04,10.15,10.15,7月31日,9.95,7月9日,1.29
2890  永豐金,6886355019,579676054,95049,11.88,11.75,12.95,13.25,7月30日,11.15,7月2日,7.93
2891  中信金,12853444848,734088205,146928,17.51,17.5,18,18.1,7月31日,17,7月25日,6.43
2892  第一金,4884059490,274510299,55908,17.79,17.76,18.3,18.3,7月31日,17.4,7月3日,3.58
5880  合庫金,2053745054,115043460,26414,17.85,17.79,18.25,18.25,7月31日,17.5,7月13日,1.74
6005  群益證,389873041,39185840,14591,9.95,9.93,10.2,10.2,7月31日,9.65,7月13日,1.65
18 貿易百貨類,,,,,,,,,,,
Trading and Consumers' Goods,,,,,,,,,,,
2901  欣欣,80684219,3149412,316,25.62,25.7,26.2,26.8,7月30日,25,7月10日,4.31
2903  遠百,4018137374,136237369,52614,29.49,28.97,31.7,31.85,7月31日,27.95,7月16日,10.34
2905  三商行,830811690,35942686,17212,23.11,22.87,25,25,7月31日,21.8,7月17日,5.7
2906  高林,109081557,7995084,2567,13.64,12.92,12.3,14.55,7月4日,12,7月30日,3.3
2908  特力,630125815,30237046,5365,20.84,20.88,21.35,21.4,7月31日,20.3,7月23日,5.96
2910  統領,1873352,81397,75,23.02,23,22.95,23.7,7月3日,22.25,7月3日,0.04
2911  麗嬰房,362908558,13724404,7373,26.44,26.31,26.85,27.75,7月6日,25.2,7月25日,6.76
2912  統一超,4212438671,26781122,16563,157.29,157.2,157,161,7月11日,153,7月25日,2.58
2913  農林,492760669,33964824,9273,14.51,14.43,14.9,15.15,7月3日,13.85,7月24日,5.51
2915  潤泰全,5682822615,105387795,53343,53.92,52.58,59,59.3,7月30日,48.5,7月2日,12.52
5906  F-台南,13383212,916509,479,14.6,13.85,13.75,16.45,7月12日,13.1,7月3日,1.38
5907  F-大洋,771275316,7854653,5643,98.19,99.11,98.5,113,7月4日,88.6,7月17日,3.89
21 化學工業類,,,,,,,,,,,
Chemical,,,,,,,,,,,
1704  榮化,1247682420,30145432,17171,41.39,41.93,40.5,47.9,7月2日,37.2,7月25日,3.75
1708  東?,1066719774,30566087,14307,34.9,34.24,36.3,36.7,7月31日,32.05,7月2日,19.37
1709  和益,121074210,5944944,2011,20.37,20.33,20.75,20.85,7月4日,20,7月17日,1.52
1710  東聯,2206339161,59182019,23598,37.28,37.59,34.6,38.9,7月30日,33.6,7月31日,6.68
1711  永光,154184389,8817830,3822,17.49,17.47,17.5,17.9,7月5日,17,7月25日,1.96
1712  興農,809794708,59986677,15598,13.5,13.4,13.9,14.1,7月30日,12.65,7月13日,17.98
1713  國化,20213989,1854606,611,10.9,10.87,10.75,11.25,7月4日,10.55,7月27日,1.23
1714  和桐,332127071,19789201,6509,16.78,16.71,17.15,17.3,7月30日,16.3,7月25日,2.55
1717  長興,304791896,13233483,7651,23.03,23.02,22.8,23.6,7月9日,22.05,7月2日,1.33
1718  中纖,486813052,49403395,12961,9.85,9.8,10.1,10.45,7月5日,9.09,7月2日,3.5
1721  三晃,5803850,822689,480,7.05,7.06,6.85,7.65,7月4日,6.75,7月31日,1.12
1722  台肥,6528692688,96660326,55086,67.54,67.04,71.2,71.9,7月31日,63.4,7月18日,9.86
1723  中碳,1900454415,14083603,8602,134.94,134.57,131.5,140,7月6日,125,7月26日,5.94
1724  台硝,219911893,9331912,1358,23.57,23.14,23.4,23.9,7月4日,22.5,7月23日,7.3
1725  元禎,6815580,452270,285,15.07,15.1,14.95,15.65,7月3日,14.5,7月25日,0.25
1726  永記,157350547,3080059,1637,51.09,50.97,51.9,52.2,7月18日,49.9,7月2日,1.9
1727  中華化,60184523,3225886,1370,18.66,18.65,18.8,19.1,7月5日,18.05,7月17日,3.75
1730  花仙子,50714613,2809004,1221,18.05,18.03,18.3,18.4,7月31日,17.75,7月23日,5.25
1732  毛寶,7514919,544926,337,13.79,13.8,14.15,14.3,7月31日,13.4,7月9日,1.28
1735  日勝化,4495624,432582,195,10.39,10.36,10.45,10.85,7月24日,10.1,7月18日,0.47
1737  臺鹽,255367083,11733675,4545,21.76,21.65,22,22.45,7月5日,20.9,7月25日,4.22
1773  勝一,57496769,1557024,723,36.93,36.91,37.4,37.5,7月31日,36.5,7月26日,1.17
4725  信昌化,2474694691,40430151,27499,61.21,61.73,53.2,74.4,7月4日,51.9,7月25日,13.85
4733  上緯,194956757,4538786,2895,42.95,41.84,41.5,46.3,7月5日,39.6,7月25日,6.27
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1701  中化,522811964,28402282,12588,18.41,18.29,18.5,19.2,7月3日,17.5,7月13日,9.53
1707  葡萄王,2392407149,41091167,24075,58.22,58.32,60.8,60.9,7月5日,55.2,7月11日,31.55
1720  生達,214612592,8478360,4694,25.31,25.02,25.3,26.05,7月3日,24.35,7月16日,5.03
1729  必翔,461183983,12953371,5307,35.6,35.08,36.85,37.2,7月31日,34,7月18日,6.91
1731  美吾華,97382092,7500093,2620,12.98,12.95,13,13.25,7月16日,12.55,7月10日,5.64
1733  五鼎,1130153891,14858860,10103,76.06,75.92,79.3,79.7,7月31日,74.2,7月10日,15.55
1734  杏輝,764600321,29615810,14451,25.82,25.55,26.1,27.1,7月3日,24.4,7月2日,19.83
1736  喬山,718047450,9347395,7664,76.82,76.3,80,82.6,7月27日,71.5,7月6日,4.69
1762  中化生,549885234,11366396,7275,48.38,47.92,46.95,50.7,7月4日,46.05,7月24日,14.65
1789  神隆,4187319580,72799649,40396,57.52,57.02,57.8,59.3,7月23日,54.2,7月13日,11.54
3164  景岳,73892327,1895722,1363,38.98,38.5,38.1,40.85,7月3日,35.6,7月25日,3.6
3705  永信,202667743,5068646,2530,39.98,39.54,39.05,41.9,7月4日,38.55,7月16日,2
4104  佳醫,491830422,8133721,5553,60.47,59.76,60.3,62.5,7月3日,58,7月24日,7.9
4106  雃博,282701287,8258182,5447,34.23,33.88,33.9,35.6,7月2日,33,7月25日,9.9
4108  懷特,795166734,18939554,11273,41.98,41.61,41.75,44.35,7月17日,39.2,7月10日,15.84
4119  旭富,115506034,2116321,1558,54.58,53.49,51.8,58.6,7月4日,48.75,7月24日,4.3
4133  亞諾法,566002381,12124809,8229,46.68,45.97,47,50.4,7月6日,42.5,7月16日,20.36
4141  F-龍燈,859578076,10721009,6936,80.18,78.05,84.5,84.9,7月26日,73.7,7月16日,8.92
4142  國光生,211708539,6364047,3880,33.27,32.9,32.6,35.4,7月3日,31.65,7月17日,3.46
4144  F-康聯,474645678,7169383,4548,66.2,65.36,68.9,70.7,7月30日,61.2,7月16日,10.24
4737  華廣,24861136,321130,266,77.42,77.99,75.5,82.7,7月2日,74.4,7月13日,0.73
4746  台耀,299748924,4893334,3418,61.26,61.16,56.1,67.5,7月3日,54.2,7月26日,7.3
23 油電燃氣類,,,,,,,,,,,
"Oil, Gas and Electricity",,,,,,,,,,,
2616  山隆,50288820,2610297,1190,19.27,19.22,19.6,19.6,7月31日,18.9,7月2日,2.31
6505  台塑化,2567037517,31000421,18651,82.81,82.73,87,87,7月31日,80,7月12日,0.33
8926  台汽電,503657932,25055988,7670,20.1,19.6,19,20.95,7月5日,18.8,7月24日,4.25
9908  大台北,271559443,14325123,4179,18.96,18.84,19.05,19.6,7月4日,18.35,7月11日,2.77
9918  欣天然,63263254,2259061,456,28,27.88,28,28.6,7月6日,27.1,7月17日,1.25
9926  新海,5478358,143371,117,38.21,38.24,38.95,38.95,7月31日,37.45,7月5日,0.1
9931  欣高,2726421,120290,78,22.67,22.71,22.9,23.75,7月23日,22.4,7月4日,0.13
9937  全國,178094026,5503431,3415,32.36,32.19,29.9,33.4,7月19日,29.55,7月30日,1.78
24 半導體業類,,,,,,,,,,,
Semiconductor,,,,,,,,,,,
1437  勤益,45224391,3726997,1071,12.13,12.02,12.6,12.7,7月31日,11.5,7月17日,1.83
2302  麗正,5556735,1423427,665,3.9,3.84,3.86,4.1,7月5日,3.7,7月24日,0.89
2303  聯電,9775533251,772814234,110651,12.65,12.52,12.6,13.55,7月3日,11.9,7月13日,5.97
2311  日月光,14894372163,629054486,165823,23.68,23.86,23.35,25.7,7月5日,21.65,7月24日,9.45
2325  矽品,6372810117,207792649,64970,30.67,30.45,33.4,33.55,7月3日,27.65,7月25日,6.67
2329  華泰,22448787,5540207,1535,4.05,4.06,4,4.25,7月3日,3.9,7月24日,0.69
2330  台積電,90060262655,1154227493,292950,78.03,78.09,81,84.9,7月3日,73.8,7月23日,4.45
2337  旺宏,3045466137,363588386,82128,8.38,8.41,7.43,9.68,7月2日,7.22,7月31日,10.33
2338  光罩,61295861,5595666,1325,10.95,10.98,11,11.2,7月5日,10.8,7月25日,2.07
2342  茂矽,55985695,18329784,6022,3.05,3.02,2.92,3.4,7月3日,2.76,7月26日,2.71
2344  華邦電,464167124,104659797,18640,4.44,4.36,4.26,4.83,7月3日,4.01,7月25日,2.84
2351  順德,74470255,3586223,1605,20.77,20.9,19.95,22.1,7月5日,19.8,7月31日,2.07
2363  矽統,188523275,18599615,5911,10.14,10.08,10.3,10.45,7月5日,9.85,7月12日,2.96
2369  菱生,535895557,34445977,14266,15.56,15.28,15.55,16.75,7月3日,14.05,7月25日,9.06
2379  瑞昱,5376703552,98536125,53080,54.57,54.16,52.1,59.4,7月12日,49.35,7月25日,20.02
2388  威盛,566560171,54389750,17584,10.42,10.16,9.31,11.6,7月4日,9.13,7月25日,7.92
2401  凌陽,137124283,16371603,5142,8.38,8.41,7.91,9.12,7月5日,7.82,7月25日,2.74
2425  承啟,397866819,10540348,4285,37.75,37.93,39.4,40.5,7月26日,34.6,7月4日,17.05
2434  統懋,11095352,1761554,647,6.3,6.25,6.03,6.78,7月3日,5.92,7月27日,2.13
2436  偉詮電,162057061,12951165,5608,12.51,12.35,11.9,13.65,7月5日,11.15,7月24日,5.25
2441  超豐,96183218,4324835,2518,22.24,22.2,22.85,22.9,7月31日,21.75,7月12日,0.78
2449  京元電,2165877949,151714299,36393,14.28,13.99,13.15,15.2,7月10日,12.9,7月25日,12.96
2451  創見,1063563046,13353150,8841,79.65,79.32,81,83.8,7月4日,75.8,7月12日,3.1
2454  聯發科,41346669157,162991377,101219,253.67,255.32,255,277.5,7月6日,235.5,7月26日,14.2
2458  義隆,12497762901,267877971,119670,46.65,46.45,48.9,49.25,7月31日,42.5,7月2日,64.34
2473  思源,1776520518,41601638,20630,42.7,42.6,42.45,44.1,7月20日,39.8,7月2日,20.17
2481  強茂,214423419,17809378,6358,12.04,11.85,11.5,13,7月5日,11.1,7月25日,4.79
3006  晶豪科,308286442,12660956,6442,24.35,23.83,23.5,26,7月4日,22.1,7月25日,4.86
3014  聯陽,486643308,19289333,10192,25.23,24.34,23.95,27.4,7月4日,22.2,7月24日,9.53
