,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
049783E6元大,21780,772000,17,0.03,0.03,0.01,0.05,7月5日,0.01,7月27日
049784第一MT,7920,198000,2,0.04,0.04,0.02,0.06,7月4日,0.02,7月16日
049785第一MU,3050,10000,2,0.3,0.31,0.33,0.33,7月31日,0.28,7月30日
049787第一MW,479360,509000,15,0.94,1.01,1.03,1.16,7月20日,0.89,7月2日
049788第一MX,425750,1505000,57,0.28,0.39,0.35,0.71,7月3日,0.13,7月23日
049789統一B1,1500,30000,1,0.05,0.05,0.05,0.05,7月5日,0.05,7月5日
049790統一B2,138210,972000,15,0.14,0.14,0.05,0.2,7月4日,0.05,7月17日
049792群益70,13877710,13970000,667,0.99,0.91,0.98,1.3,7月5日,0.59,7月18日
049793群益71,1020,101000,3,0.01,0.02,0.02,0.02,7月20日,0.01,7月19日
049796群益74,15200,40000,3,0.38,0.38,0.35,0.41,7月5日,0.35,7月6日
049798群益81,28370,2127000,37,0.01,0.02,0.01,0.05,7月3日,0.01,7月25日
049800群益83,10650,45000,3,0.24,0.19,0.05,0.27,7月5日,0.05,7月16日
049803群益86,12499050,10713000,496,1.17,1.18,1.52,1.59,7月31日,0.77,7月2日
049804群益87,23170,177000,7,0.13,0.12,0.07,0.16,7月6日,0.07,7月31日
049805日盛LC,706890,6193000,76,0.11,0.1,0.06,0.16,7月2日,0.06,7月31日
049807日盛LE,1980,99000,1,0.02,0.02,0.02,0.02,7月4日,0.02,7月4日
049808日盛LF,2785410,5694000,125,0.49,0.5,0.42,0.66,7月4日,0.25,7月17日
049811日盛LJ,5000,60000,4,0.08,0.07,0.05,0.1,7月9日,0.05,7月12日
049812日盛LK,130230,3211000,47,0.04,0.03,0.01,0.07,7月4日,0.01,7月31日
049813日盛LL,295050,690000,37,0.43,0.45,0.31,0.58,7月10日,0.25,7月30日
049814日盛LM,3960,99000,1,0.04,0.04,0.04,0.04,7月3日,0.04,7月3日
049816國泰LP,4590900,9933000,160,0.46,0.58,0.16,1.2,7月4日,0.16,7月31日
049817F1元大,1106870,1303000,52,0.85,0.84,0.76,0.98,7月10日,0.68,7月2日
049818F2元大,2400,160000,2,0.02,0.02,0.02,0.02,7月3日,0.01,7月2日
049819F3元大,1105920,1361000,75,0.81,0.85,0.62,1.55,7月5日,0.37,7月25日
049820F4元大,1030,103000,6,0.01,0.01,0.01,0.01,7月31日,0.01,7月31日
049821F5元大,129550,1000000,13,0.13,0.12,0.08,0.14,7月5日,0.08,7月27日
049822F6元大,5391040,6923000,303,0.78,0.82,1.51,1.51,7月31日,0.53,7月2日
049823F7元大,31772090,42146000,1054,0.75,0.75,0.95,0.98,7月31日,0.5,7月2日
049824寶來F7,6662140,15813000,382,0.42,0.41,0.42,0.65,7月4日,0.27,7月25日
049825寶來F9,8500,30000,4,0.28,0.3,0.23,0.35,7月4日,0.23,7月12日
049826寶來G1,1000,100000,2,0.01,0.01,0.01,0.01,7月12日,0.01,7月12日
049827大眾8J,126720,891000,9,0.14,0.13,0.09,0.16,7月6日,0.09,7月12日
049828大眾9J,20370,159000,3,0.13,0.13,0.13,0.13,7月4日,0.12,7月3日
049829大眾1K,251680,770000,41,0.33,0.33,0.02,0.8,7月4日,0.02,7月31日
049830大眾2K,43700,580000,8,0.08,0.09,0.05,0.14,7月9日,0.05,7月17日
049832國票EL,3850,25000,2,0.15,0.16,0.13,0.19,7月5日,0.13,7月13日
049833國票EM,70,7000,1,0.01,0.01,0.01,0.01,7月4日,0.01,7月4日
049835國票EP,5000,150000,3,0.03,0.03,0.03,0.04,7月12日,0.03,7月12日
049837國票ER,56430,297000,3,0.19,0.19,0.19,0.19,7月3日,0.19,7月3日
049838日盛LP,92210,746000,39,0.12,0.13,0.11,0.23,7月5日,0.08,7月25日
049839日盛LQ,51260,745000,10,0.07,0.07,0.01,0.16,7月5日,0.01,7月23日
049841日盛LS,7930,793000,20,0.01,0.01,0.01,0.01,7月26日,0.01,7月26日
049842兆豐KT,3630,33000,2,0.11,0.11,0.11,0.11,7月4日,0.11,7月4日
049843兆豐KU,77410,405000,44,0.19,0.18,0.08,0.29,7月10日,0.06,7月26日
049845兆豐KW,67400,310000,11,0.22,0.25,0.14,0.33,7月2日,0.14,7月23日
049846兆豐KX,2100,90000,9,0.02,0.02,0.02,0.03,7月5日,0.02,7月17日
049847兆豐KY,30360,694000,34,0.04,0.03,0.03,0.06,7月5日,0.03,7月31日
049849兆豐LA,2648750,2919000,94,0.91,0.89,1,1.1,7月10日,0.72,7月2日
049850兆豐LB,1060690,1989000,193,0.53,0.55,0.59,0.84,7月3日,0.38,7月25日
049851兆豐LC,3723430,3370000,158,1.1,1.21,1.68,1.72,7月23日,0.84,7月2日
049852兆豐LD,1189750,2103000,38,0.57,0.62,0.75,0.9,7月3日,0.43,7月23日
049853兆豐LE,97800,384000,20,0.25,0.23,0.01,0.46,7月2日,0.01,7月31日
049854永豐63,274830,274000,14,1,0.94,1.36,1.36,7月31日,0.6,7月4日
049855永豐64,25580,11000,3,2.33,2.26,2.6,2.6,7月31日,2.08,7月12日
049856永豐65,687500,4676000,116,0.15,0.16,0.17,0.27,7月6日,0.11,7月24日
049857永豐66,1335370,3405000,93,0.39,0.39,0.39,0.47,7月12日,0.31,7月9日
049860群益90,169110,392000,15,0.43,0.4,0.36,0.45,7月3日,0.35,7月18日
049862群益93,519040,2499000,42,0.21,0.19,0.15,0.43,7月2日,0.07,7月26日
049863群益94,10800,144000,2,0.08,0.08,0.06,0.09,7月16日,0.06,7月17日
049864群益95,7588920,30439000,643,0.25,0.32,0.04,0.91,7月4日,0.04,7月31日
049865群益97,26130,487000,8,0.05,0.05,0.02,0.08,7月6日,0.02,7月17日
049866群益99,750,66000,2,0.01,0.06,0.01,0.1,7月4日,0.01,7月6日
049868凱基E7,11860,1136000,76,0.01,0.01,0.01,0.02,7月9日,0.01,7月27日
049869凱基E8,61980,192000,10,0.32,0.34,0.26,0.42,7月5日,0.26,7月9日
049871國泰LS,1031790,712000,37,1.45,1.52,1.66,1.66,7月30日,1.24,7月10日
049872國泰LT,1561690,5714000,119,0.27,0.28,0.28,0.5,7月2日,0.12,7月25日
049873國泰LU,16642550,16474000,526,1.01,1,1.07,1.21,7月18日,0.79,7月2日
049874國泰LV,3800950,4715000,172,0.81,0.74,0.55,0.97,7月12日,0.48,7月27日
0498755X富邦,20760,153000,6,0.14,0.13,0.12,0.14,7月4日,0.12,7月9日
0498765Z富邦,13900,90000,2,0.15,0.16,0.17,0.17,7月3日,0.15,7月2日
049877中信01,422000,1950000,55,0.22,0.29,0.13,0.62,7月6日,0.12,7月27日
049878中信02,5640,228000,7,0.02,0.03,0.02,0.04,7月13日,0.01,7月10日
049882F8元大,2754250,21105000,330,0.13,0.18,0.04,0.4,7月4日,0.03,7月30日
049883F9元大,1906220,14017000,319,0.14,0.22,0.07,0.45,7月4日,0.05,7月31日
049884G1元大,5660,566000,6,0.01,0.01,0.01,0.01,7月17日,0.01,7月17日
049885G2元大,248520,437000,17,0.57,0.52,0.34,0.69,7月3日,0.34,7月13日
049886G3元大,398040,1359000,26,0.29,0.28,0.15,0.36,7月4日,0.15,7月27日
049887永豐67,75310,1494000,18,0.05,0.06,0.03,0.08,7月9日,0.03,7月20日
049888永豐68,10200,54000,6,0.19,0.19,0.2,0.2,7月11日,0.18,7月10日
049889永豐69,32100,185000,3,0.17,0.16,0.12,0.18,7月13日,0.12,7月26日
049890永豐70,738280,1065000,26,0.69,0.7,0.66,0.76,7月4日,0.6,7月6日
049891永豐71,50,1000,1,0.05,0.05,0.05,0.05,7月25日,0.05,7月25日
049892永豐72,306220,1387000,28,0.22,0.18,0.09,0.27,7月2日,0.09,7月31日
049894永豐74,35070,97000,2,0.36,0.43,0.35,0.51,7月12日,0.35,7月17日
049895永豐75,131390,1548000,43,0.08,0.08,0.06,0.13,7月6日,0.03,7月25日
049896永豐76,78170,1088000,46,0.07,0.06,0.01,0.11,7月4日,0.01,7月25日
049897永豐77,986860,8549000,119,0.12,0.12,0.1,0.2,7月5日,0.06,7月25日
049898永豐78,85410,1099000,25,0.08,0.08,0.13,0.19,7月2日,0.05,7月26日
049899凱基F1,29440,202000,7,0.15,0.17,0.12,0.3,7月4日,0.12,7月20日
049900凱基F2,3360,103000,2,0.03,0.08,0.03,0.12,7月5日,0.03,7月30日
049901凱基F3,21325640,63996000,653,0.33,0.33,0.31,0.67,7月2日,0.12,7月25日
049902大華AK,2384730,4426000,183,0.54,0.54,0.67,0.69,7月31日,0.37,7月2日
049903大華AL,270,3000,3,0.09,0.09,0.04,0.12,7月5日,0.04,7月25日
049904大華AM,6206600,11736000,515,0.53,0.63,0.76,1.26,7月4日,0.22,7月25日
049905大華AR,1830,121000,4,0.02,0.01,0.01,0.02,7月5日,0.01,7月13日
049906大華AS,2990,299000,6,0.01,0.01,0.01,0.01,7月31日,0.01,7月31日
049907兆豐LF,673990,2873000,80,0.23,0.15,0.05,0.31,7月4日,0.02,7月26日
0499096D富邦,4117900,12778000,238,0.32,0.3,0.33,0.61,7月5日,0.1,7月25日
0499116F富邦,2160840,6343000,172,0.34,0.35,0.32,0.44,7月4日,0.25,7月24日
0499126G富邦,52880,25000,4,2.12,2.31,2.64,2.71,7月4日,1.67,7月2日
049913寶來G3,181990,637000,19,0.29,0.25,0.17,0.34,7月5日,0.17,7月23日
049916工銀NY,1151740,2780000,55,0.41,0.42,0.34,0.56,7月17日,0.34,7月30日
049917工銀NZ,79110,986000,17,0.08,0.08,0.08,0.09,7月12日,0.06,7月11日
049919工銀02,2990,15000,4,0.2,0.2,0.19,0.23,7月2日,0.17,7月19日
049920工銀03,340,1000,1,0.34,0.34,0.34,0.34,7月3日,0.34,7月3日
049923凱基F7,55550,610000,8,0.09,0.07,0.02,0.15,7月6日,0.02,7月17日
049925凱基F9,14000,50000,1,0.28,0.28,0.28,0.28,7月4日,0.28,7月4日
049926G5元大,133260,2974000,116,0.04,0.03,0.01,0.08,7月5日,0.01,7月25日
049928G7元大,900,10000,1,0.09,0.09,0.09,0.09,7月19日,0.09,7月19日
049929兆豐LG,210790,1380000,20,0.15,0.17,0.08,0.26,7月2日,0.08,7月30日
049930兆豐LH,50900,658000,24,0.08,0.07,0.04,0.11,7月2日,0.03,7月27日
049931亞東MN,53400,220000,3,0.24,0.25,0.21,0.29,7月3日,0.21,7月24日
049932亞東MP,57530,500000,11,0.12,0.14,0.1,0.23,7月6日,0.08,7月25日
049933亞東MQ,250,15000,2,0.02,0.02,0.01,0.03,7月13日,0.01,7月25日
049934亞東MR,226960,1333000,18,0.17,0.14,0.08,0.29,7月5日,0.07,7月17日
049935亞東MS,184390,2904000,44,0.06,0.04,0.01,0.09,7月3日,0.01,7月31日
049936亞東MT,23780,106000,5,0.22,0.22,0.21,0.3,7月4日,0.16,7月17日
049937亞東MU,77490,1101000,17,0.07,0.07,0.08,0.08,7月31日,0.06,7月31日
049938亞東MV,104740,434000,13,0.24,0.31,0.39,0.39,7月30日,0.16,7月24日
0499396H富邦,179270,1081000,17,0.17,0.16,0.09,0.22,7月2日,0.08,7月31日
0499406J富邦,1373970,3166000,74,0.43,0.44,0.48,0.53,7月30日,0.3,7月25日
0499416K富邦,36770,121000,5,0.3,0.27,0.31,0.34,7月27日,0.16,7月9日
0499426M富邦,2300,10000,1,0.23,0.23,0.23,0.23,7月2日,0.23,7月2日
049945永昌AE,86540,252000,5,0.34,0.33,0.26,0.41,7月6日,0.25,7月19日
049946永昌AF,1000,100000,3,0.01,0.01,0.01,0.01,7月30日,0.01,7月30日
049947永昌AG,44390,166000,6,0.27,0.24,0.27,0.32,7月2日,0.19,7月13日
049948永昌AH,195950,668000,13,0.29,0.29,0.14,0.4,7月12日,0.14,7月23日
049949永昌AJ,21780,198000,2,0.11,0.11,0.11,0.11,7月12日,0.11,7月12日
049950永昌AK,3180,23000,5,0.14,0.14,0.12,0.16,7月4日,0.12,7月9日
049951永昌AL,14300,360000,8,0.04,0.02,0.01,0.05,7月6日,0.01,7月19日
049953永昌AN,3000,30000,1,0.1,0.1,0.1,0.1,7月12日,0.1,7月12日
049954國泰LW,15860,248000,3,0.06,0.06,0.04,0.09,7月3日,0.04,7月10日
049956國泰LY,10890,99000,1,0.11,0.11,0.11,0.11,7月5日,0.11,7月5日
049957永豐79,9970,66000,7,0.15,0.14,0.09,0.22,7月4日,0.07,7月26日
049958永豐80,1726440,4834000,160,0.36,0.31,0.28,0.44,7月5日,0.21,7月26日
049960日盛LV,23700,230000,4,0.1,0.11,0.14,0.14,7月30日,0.08,7月25日
049961日盛LW,25000,40000,5,0.62,0.64,0.63,0.68,7月20日,0.6,7月4日
049962日盛LX,11690,208000,3,0.06,0.06,0.08,0.08,7月30日,0.05,7月27日
049964日盛LZ,8910,297000,3,0.03,0.03,0.03,0.03,7月13日,0.03,7月13日
049965日盛MA,41850,585000,6,0.07,0.06,0.07,0.08,7月19日,0.05,7月16日
049966日盛MB,57660,254000,17,0.23,0.24,0.18,0.3,7月16日,0.18,7月30日
049967日盛MC,910180,2128000,50,0.43,0.37,0.26,0.59,7月10日,0.16,7月24日
049968日盛MD,2105070,3435000,112,0.61,0.57,0.38,0.79,7月12日,0.33,7月27日
049969日盛ME,292200,817000,45,0.36,0.39,0.35,0.52,7月4日,0.28,7月26日
049970日盛MF,8390,193000,6,0.04,0.06,0.03,0.09,7月3日,0.03,7月26日
049972日盛MH,47520,594000,6,0.08,0.08,0.07,0.09,7月11日,0.07,7月13日
049973日盛MJ,390150,3860000,55,0.1,0.1,0.02,0.16,7月3日,0.02,7月30日
049976統一B5,1100,10000,1,0.11,0.11,0.11,0.11,7月5日,0.11,7月5日
049977統一B6,600,10000,1,0.06,0.06,0.06,0.06,7月16日,0.06,7月16日
049978統一B7,5800,60000,2,0.1,0.11,0.09,0.13,7月5日,0.09,7月19日
049980統一B9,520800,1200000,16,0.43,0.35,0.3,0.47,7月10日,0.3,7月30日
049981統一C1,1607040,632000,22,2.54,2.74,2.82,3.29,7月10日,1.68,7月3日
049982統一C2,1257040,1187000,59,1.06,1.04,0.72,1.27,7月12日,0.7,7月30日
0499846P富邦,1000,10000,1,0.1,0.1,0.1,0.1,7月5日,0.1,7月5日
0499856Q富邦,584300,2048000,31,0.29,0.29,0.27,0.32,7月10日,0.25,7月30日
0499876S富邦,938680,4061000,66,0.23,0.19,0.21,0.34,7月5日,0.1,7月25日
049988凱基G1,18692010,15838000,356,1.18,1.06,0.79,1.41,7月12日,0.73,7月27日
049989凱基G4,23880,99000,2,0.24,0.24,0.12,0.36,7月2日,0.12,7月27日
049990H2元大,99700,794000,10,0.13,0.24,0.11,0.39,7月6日,0.11,7月19日
049991H3元大,25020,158000,4,0.16,0.16,0.05,0.24,7月3日,0.05,7月23日
049992H4元大,602290,4354000,61,0.14,0.13,0.1,0.19,7月2日,0.09,7月17日
049993H5元大,1698470,2786000,57,0.61,0.57,0.35,0.73,7月12日,0.35,7月27日
049994H6元大,158890,1218000,29,0.13,0.11,0.07,0.18,7月3日,0.04,7月25日
049995群益1C,28310,1168000,45,0.02,0.03,0.01,0.05,7月4日,0.01,7月31日
049996群益1D,1080,9000,1,0.12,0.12,0.12,0.12,7月6日,0.12,7月6日
049997群益1E,876210,4474000,89,0.2,0.19,0.17,0.36,7月4日,0.09,7月25日
049998群益1F,23800,436000,8,0.05,0.08,0.05,0.13,7月13日,0.05,7月24日
049999群益1G,789940,359000,48,2.2,2.15,3,3,7月31日,1.55,7月3日
050000群益1H,191400,1273000,15,0.15,0.19,0.14,0.24,7月2日,0.14,7月30日
050001群益1I,1120110,2980000,57,0.38,0.29,0.11,0.55,7月4日,0.09,7月25日
050002群益1J,370970,608000,16,0.61,0.64,0.62,0.72,7月12日,0.51,7月30日
050004群益1L,896920,1454000,35,0.62,0.61,0.57,0.81,7月4日,0.37,7月17日
050005中信03,2000,60000,2,0.03,0.06,0.02,0.1,7月20日,0.02,7月27日
050006中信04,188290,1074000,23,0.18,0.14,0.01,0.25,7月4日,0.01,7月27日
050007中信05,240900,300000,7,0.8,0.78,0.62,0.96,7月4日,0.62,7月10日
050008中信06,6524920,4753000,91,1.37,1.02,0.38,1.75,7月4日,0.38,7月31日
050009永豐81,1040,104000,6,0.01,0.01,0.01,0.01,7月10日,0.01,7月10日
050011永豐83,55250,223000,4,0.25,0.25,0.21,0.29,7月6日,0.21,7月10日
050012永豐85,827430,1080000,46,0.77,0.79,1.05,1.05,7月26日,0.68,7月19日
050013永豐86,200,10000,1,0.02,0.02,0.02,0.02,7月19日,0.02,7月19日
050014康和DM,140,1000,1,0.14,0.14,0.14,0.14,7月9日,0.14,7月9日
050015康和DN,558020,2476000,61,0.23,0.29,0.16,0.52,7月4日,0.13,7月23日
050016康和DP,29900,299000,4,0.1,0.1,0.1,0.1,7月3日,0.1,7月3日
050018國票ET,800,80000,1,0.01,0.01,0.01,0.01,7月31日,0.01,7月31日
050019國票EU,1156990,1600000,35,0.72,0.69,0.47,0.85,7月12日,0.43,7月31日
050021工銀06,1372320,938000,48,1.46,1.43,1.78,1.78,7月31日,1.18,7月10日
050024兆豐LK,3600,30000,1,0.12,0.12,0.12,0.12,7月4日,0.12,7月4日
050026兆豐LM,1350,15000,1,0.09,0.09,0.09,0.09,7月4日,0.09,7月4日
050027兆豐LN,46400,360000,15,0.13,0.09,0.03,0.17,7月5日,0.03,7月25日
050028兆豐LP,400,20000,2,0.02,0.02,0.02,0.02,7月27日,0.02,7月27日
050029大眾3K,19900,90000,5,0.22,0.22,0.25,0.25,7月13日,0.18,7月2日
050030大眾4K,364670,1174000,16,0.31,0.28,0.11,0.38,7月2日,0.11,7月26日
0500316T富邦,423810,3893000,68,0.11,0.13,0.02,0.21,7月6日,0.02,7月31日
0500326U富邦,3733700,2924000,92,1.28,1.3,1.51,1.67,7月31日,1.03,7月18日
0500346W富邦,1009750,2081000,25,0.49,0.46,0.28,0.76,7月12日,0.28,7月31日
050036永豐87,108780,729000,16,0.15,0.13,0.11,0.19,7月10日,0.07,7月24日
050037中信07,827630,930000,55,0.89,0.9,0.94,1.32,7月3日,0.63,7月17日
050039大華AT,8135040,10861000,249,0.75,0.65,0.45,0.94,7月6日,0.36,7月27日
050040大華AU,13790,105000,8,0.13,0.13,0.11,0.18,7月12日,0.11,7月27日
050041大華AV,68030,328000,6,0.21,0.16,0.09,0.23,7月3日,0.08,7月31日
050042大華AW,150070,424000,9,0.35,0.39,0.48,0.48,7月4日,0.35,7月3日
050043日盛ML,420050,8189000,157,0.05,0.05,0.02,0.14,7月2日,0.02,7月31日
050044日盛MM,3726110,6965000,181,0.53,0.52,0.51,0.75,7月3日,0.34,7月26日
050045日盛MN,15800,90000,2,0.18,0.18,0.18,0.18,7月26日,0.17,7月3日
050046日盛MP,70400,125000,5,0.56,0.54,0.44,0.7,7月4日,0.44,7月19日
050047日盛MQ,33870,123000,3,0.28,0.34,0.09,0.5,7月12日,0.09,7月27日
050048日盛MR,800,5000,1,0.16,0.16,0.16,0.16,7月16日,0.16,7月16日
050049日盛MS,3520,41000,4,0.09,0.09,0.05,0.12,7月11日,0.05,7月30日
0500516Y富邦,791460,896000,30,0.88,0.81,0.58,1.09,7月12日,0.57,7月26日
0500526Z富邦,33140,246000,7,0.13,0.12,0.09,0.18,7月12日,0.09,7月17日
0500537A富邦,101950,392000,24,0.26,0.23,0.23,0.31,7月30日,0.17,7月25日
050055H7元大,2839030,2437000,155,1.16,1.2,1.42,1.48,7月30日,1.02,7月2日
050056H8元大,3600,54000,4,0.07,0.09,0.15,0.15,7月31日,0.05,7月30日
050057H9元大,6098230,12670000,230,0.48,0.48,0.35,0.72,7月4日,0.32,7月31日
050058I1元大,3961100,11696000,266,0.34,0.3,0.31,0.49,7月2日,0.17,7月25日
050059永豐89,265140,7523000,210,0.04,0.03,0.01,0.06,7月5日,0.01,7月30日
050060永豐90,930,9000,3,0.1,0.1,0.09,0.11,7月11日,0.09,7月12日
050061群益1M,1813750,3514000,206,0.52,0.51,0.48,0.71,7月5日,0.34,7月26日
050062群益1N,3522180,3392000,137,1.04,1.1,0.9,1.42,7月12日,0.79,7月27日
050063群益1P,1066880,874000,24,1.22,1.18,1.1,1.4,7月12日,0.97,7月2日
050064群益1U,6258650,2210000,155,2.83,2.75,3.21,3.3,7月31日,2.11,7月2日
050065群益1V,1615600,3270000,52,0.49,0.5,0.56,0.74,7月4日,0.35,7月23日
050066群益1W,7306770,6388000,357,1.14,1.27,1.24,2.21,7月6日,0.61,7月25日
050067群益1X,323240,637000,33,0.51,0.5,0.68,0.69,7月30日,0.36,7月2日
050069群益1Z,1584330,5248000,138,0.3,0.37,0.2,0.75,7月18日,0.09,7月26日
050070群益2B,3320,92000,6,0.04,0.05,0.01,0.09,7月5日,0.01,7月30日
050071群益2C,2025320,7871000,109,0.26,0.23,0.06,0.41,7月6日,0.05,7月26日
050072群益2D,1559320,12340000,224,0.13,0.15,0.08,0.25,7月4日,0.04,7月26日
050073群益2G,699410,219000,28,3.19,3.63,4.24,4.38,7月10日,2.73,7月3日
050074群益2H,140,1000,1,0.14,0.14,0.14,0.14,7月30日,0.14,7月30日
050075群益2I,2181230,6283000,758,0.35,0.34,0.29,0.66,7月5日,0.11,7月25日
050076大華AX,489260,547000,35,0.89,0.92,1.18,1.27,7月27日,0.76,7月2日
050078大華AZ,46240,561000,16,0.08,0.06,0.02,0.09,7月5日,0.02,7月30日
050079大華BA,724810,2744000,71,0.26,0.23,0.17,0.38,7月4日,0.1,7月16日
050081大華BC,100040,404000,23,0.25,0.26,0.09,0.49,7月11日,0.09,7月25日
050082日盛MV,100170,2182000,31,0.05,0.04,0.03,0.07,7月2日,0.03,7月23日
050083日盛MW,962720,4694000,34,0.21,0.23,0.2,0.38,7月5日,0.13,7月18日
050084國泰MA,81100,200000,6,0.41,0.46,0.34,0.6,7月5日,0.33,7月23日
050088第一NC,65580,298000,4,0.22,0.22,0.21,0.26,7月9日,0.21,7月20日
050090兆豐LR,151150,926000,19,0.16,0.17,0.1,0.26,7月6日,0.07,7月31日
050092兆豐LT,969650,5097000,73,0.19,0.19,0.22,0.27,7月5日,0.15,7月24日
050093兆豐LU,772690,717000,69,1.08,0.81,0.27,1.23,7月4日,0.27,7月31日
050094兆豐LV,11000,50000,2,0.22,0.22,0.21,0.23,7月10日,0.21,7月11日
050095兆豐LW,1556670,3405000,51,0.46,0.53,0.61,0.81,7月4日,0.38,7月25日
050096兆豐LX,107170,1012000,26,0.11,0.06,0.01,0.12,7月4日,0.01,7月31日
050097兆豐LY,5533250,11311000,241,0.49,0.42,0.44,0.59,7月10日,0.25,7月24日
050098兆豐LZ,850,5000,1,0.17,0.17,0.17,0.17,7月13日,0.17,7月13日
050099兆豐MA,894680,601000,48,1.49,1.56,1.97,1.98,7月27日,1.23,7月2日
050101兆豐MC,331180,987000,22,0.34,0.3,0.17,0.51,7月11日,0.14,7月25日
050102兆豐MD,2835150,1635000,37,1.73,1.61,2.32,2.44,7月30日,1.24,7月10日
050103兆豐ME,2653640,4514000,108,0.59,0.68,0.54,1.01,7月4日,0.39,7月25日
050104統一C3,175620,756000,15,0.23,0.25,0.24,0.38,7月5日,0.15,7月18日
050107永豐94,6750,139000,4,0.05,0.05,0.04,0.05,7月3日,0.04,7月12日
050108永豐96,66740,1736000,26,0.04,0.04,0.03,0.04,7月9日,0.02,7月10日
050109永豐99,8340,104000,3,0.08,0.09,0.08,0.1,7月3日,0.08,7月19日
050110大展J2,85650,372000,34,0.23,0.2,0.25,0.29,7月4日,0.17,7月24日
050114大展J6,5710,87000,11,0.07,0.09,0.1,0.12,7月4日,0.03,7月26日
050117康和DR,57990,348000,29,0.17,0.16,0.12,0.24,7月3日,0.12,7月26日
050118康和DS,425620,900000,23,0.47,0.55,0.65,0.67,7月27日,0.39,7月25日
050119康和DT,86230,198000,100,0.44,0.44,0.45,0.45,7月5日,0.43,7月4日
050120康和DU,289040,1100000,21,0.26,0.24,0.14,0.38,7月10日,0.1,7月24日
050122大華BD,113230,2052000,51,0.06,0.06,0.04,0.11,7月4日,0.01,7月30日
050123大華BE,140,2000,1,0.07,0.07,0.07,0.07,7月17日,0.07,7月17日
050124大華BF,208320,682000,10,0.31,0.27,0.21,0.35,7月6日,0.21,7月20日
050125大華BG,19380,216000,4,0.09,0.09,0.08,0.1,7月20日,0.07,7月24日
050127大華BI,47500,215000,7,0.22,0.22,0.17,0.33,7月2日,0.15,7月9日
050129大華BK,3380400,8714000,135,0.39,0.39,0.5,0.5,7月31日,0.33,7月25日
050130大華BL,8490,189000,23,0.04,0.07,0.03,0.23,7月19日,0.01,7月12日
0501317C富邦,155940,906000,12,0.17,0.19,0.14,0.24,7月6日,0.14,7月31日
0501327D富邦,6160160,5446000,173,1.13,1.3,1.97,1.97,7月31日,0.87,7月2日
0501337E富邦,47140,199000,7,0.24,0.2,0.12,0.26,7月4日,0.12,7月23日
0501347F富邦,74400,40000,2,1.86,1.86,1.94,1.94,7月5日,1.78,7月4日
050135國泰MD,2900,290000,6,0.01,0.01,0.01,0.01,7月6日,0.01,7月6日
050136國泰ME,1679980,2154000,85,0.78,0.79,0.62,1.01,7月12日,0.56,7月25日
050137國泰MF,386310,2395000,111,0.16,0.17,0.08,0.36,7月2日,0.08,7月31日
050138工銀07,600,20000,1,0.03,0.03,0.03,0.03,7月5日,0.03,7月5日
050140工銀09,92610,685000,12,0.14,0.15,0.1,0.19,7月4日,0.09,7月25日
050141工銀10,246040,1732000,38,0.14,0.1,0.04,0.16,7月4日,0.04,7月19日
050142工銀11,79400,220000,9,0.36,0.34,0.16,0.51,7月13日,0.16,7月23日
050144永昌AQ,3600,45000,4,0.08,0.08,0.1,0.1,7月19日,0.01,7月12日
050145永昌AR,2550,10000,2,0.26,0.25,0.25,0.26,7月5日,0.25,7月5日
050147永昌AT,221960,896000,15,0.25,0.24,0.2,0.3,7月2日,0.2,7月17日
050151永昌AX,10250,25000,1,0.41,0.41,0.41,0.41,7月5日,0.41,7月5日
050152永昌AY,170,2000,2,0.08,0.08,0.07,0.1,7月12日,0.07,7月13日
050153統一C8,27300,180000,6,0.15,0.15,0.1,0.17,7月4日,0.1,7月10日
050155統一D2,13200,50000,3,0.26,0.33,0.17,0.43,7月2日,0.17,7月10日
050157凱基H3,2131230,2757000,67,0.77,0.75,0.48,0.98,7月12日,0.48,7月31日
050158凱基H4,465240,846000,28,0.55,0.53,0.31,0.73,7月12日,0.31,7月26日
050159凱基H5,437900,196000,23,2.23,2.56,3.09,3.09,7月31日,1.57,7月3日
050160凱基H6,1460,1000,1,1.46,1.46,1.46,1.46,7月2日,1.46,7月2日
050162凱基H9,1000,99000,11,0.01,0.02,0.01,0.02,7月12日,0.01,7月18日
050163凱基J1,30600,180000,2,0.17,0.17,0.17,0.17,7月4日,0.17,7月4日
050164凱基J2,398550,1383000,45,0.29,0.27,0.25,0.38,7月10日,0.18,7月25日
050165凱基J3,1092260,2526000,34,0.43,0.35,0.2,0.48,7月4日,0.2,7月23日
050166I4元大,40140,441000,7,0.09,0.09,0.06,0.12,7月6日,0.06,7月20日
050167I5元大,13026620,16293000,426,0.8,1.02,1.25,1.57,7月3日,0.53,7月23日
