105年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2016,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
1443,立益紡織,"35,167,252","7,322,435",4.88,5.4
,LILYTEXTILE,,,,
1444,力麗,"2,117,932,844","238,989,273",8.71,24.97
,LEALEA,,,,
1445,大宇紡織,"571,996,610","60,033,445",9.38,43.3
,Universal,,,,
1446,宏和紡織,"357,055,800","19,388,514",18.64,14.08
,Hong Ho,,,,
1447,力鵬,"2,119,737,317","267,997,902",7.68,29.3
,LP,,,,
1449,佳和實業,"73,306,257","16,114,542",4.44,13.43
,CHIA HER,,,,
1451,年興紡織,"1,029,008,272","43,456,412",23.66,10.86
,NIEN HSING,,,,
1452,宏益纖維,"9,571,833,531","426,359,652",21.26,321.43
,HONG YI,,,,
1453,大將,"74,992,506","9,053,340",8.16,10.25
,TA JIANG,,,,
1454,臺灣富綢,"347,555,801","39,083,031",8.7,27.84
,TTF,,,,
1455,集盛,"5,833,401,894","644,229,484",8.62,105.3
,ZIG SHENG,,,,
1456,怡華,"24,588,097","2,467,420",9.24,2.58
,I-HWA,,,,
1457,宜進,"5,012,652,158","450,144,959",10.71,134.3
,YI JINN,,,,
1459,聯發紡織,"1,124,024,683","118,360,258",8.89,33
,Lan Fa Textile,,,,
1460,宏遠,"6,697,327,120","415,056,315",15.74,88.09
,Everest Textile,,,,
1463,強盛染整,"2,885,626,543","153,013,723",17.74,88.32
,CS,,,,
1464,得力,"20,235,705,152","609,596,873",30.33,237.47
,DE LICACY,,,,
1465,偉全,"130,325,668","9,431,793",13.77,9.11
,WISHER,,,,
1466,聚隆纖維,"276,436,291","19,742,884",13.93,17.77
,Acelon,,,,
1467,南緯,"2,643,129,198","181,003,347",13.46,107.61
,TEX-RAY,,,,
1468,昶和纖維,"61,031,069","6,119,866",9.99,3.83
,CHANG HO,,,,
1469,理隆纖維,"18,586,341","1,431,373",13.12,1.15
,Lilontex,,,,
1470,大統染,"41,033,586","2,189,907",18.75,2.55
,EVERTEX,,,,
1472,三洋紡織,"485,625,789","34,960,591",12.16,58.75
,Tri Ocean,,,,
1473,台南企業,"10,198,472,654","276,015,268",34.43,188.14
,Tainan,,,,
1474,弘裕,"1,943,717,820","171,125,274",10.47,131.74
,HONMYUE,,,,
1475,本盟光電,"163,153,147","16,314,577",8.67,50.18
,SUMAGH,,,,
1476,儒鴻企業,"150,081,481,078","417,964,839",364.94,155.37
,ECLAT,,,,
1477,聚陽,"61,250,610,962","375,216,355",161.28,186.18
,Makalot,,,,
4414,如興,"9,396,350,948","425,025,709",20.29,308.74
,ROO HSING,,,,
4426,利勤實業,"45,659,464,631","295,318,261",147.96,305.79
,LI CHENG,,,,
4438,廣越,"3,377,963,215","20,701,976",152.11,19.95
,QVE,,,,
5,電機機械類,,,,
,Electric Machinery,,,,
1503,士林電機,"743,845,686","18,701,540",39.74,3.58
,SEEC,,,,
1504,東元電機,"17,649,865,177","662,181,368",26.74,33.07
,TECO,,,,
1506,正道,"710,811,933","45,852,405",15.09,37.5
,R.W.,,,,
1507,永大機電,"6,060,340,477","132,110,027",45.68,32.17
,YUNGTAY,,,,
1512,瑞利,"632,268,855","115,201,440",5,63.37
,JL,,,,
1513,中興電工,"3,930,333,421","213,192,494",18.14,50.76
,CHEM,,,,
1514,亞力電機,"1,384,299,997","138,882,105",9.6,69.06
,AEC,,,,
1515,力山工業,"3,542,179,378","246,333,492",12.69,135.75
,REXON,,,,
1517,利奇機械,"450,089,345","41,483,075",10.81,18.2
,Lee Chi,,,,
1519,華城電機,"2,461,792,837","142,758,816",16.33,54.69
,FE,,,,
1521,大億,"4,551,765,232","56,393,672",80.29,73.98
,DAIOKU,,,,
1522,堤維西,"17,058,325,267","568,666,976",29.63,181.73
