櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4528,江興鍛,"5,018,140,420","59,306,160","44,907",84.61,94.20,73.10,83.55,85.20,24.84 ,1.76,77.51,4.06
4530,宏易,"575,619","116,560",53,4.94,5.40,4.33,4.87,5.19,N/A,0.00,0.32,0.79
4533,協易機,"57,273,441","4,724,805","1,761",12.12,13.05,11.50,12.17,11.60,14.50 ,5.17,2.95,0.69
4534,慶騰,"46,314,672","3,359,418","1,118",13.79,14.30,13.40,13.75,13.55,17.37 ,4.41,4.19,1.12
4535,至興,"43,105,694","891,770",676,48.34,50.00,47.00,48.70,47.40,17.24 ,5.27,1.18,1.59
4549,桓達,"261,585,082","2,166,393","1,622",120.75,128.50,109.00,120.86,125.50,24.80 ,3.19,5.86,3.72
4550,長佳,"29,405,007","1,435,022",767,20.49,23.25,18.70,20.37,20.05,9.20 ,6.23,4.36,1.00
6122,擎邦,"10,240,251","1,200,289",544,8.53,9.30,7.95,8.52,8.07,57.64 ,0.00,1.75,0.56
6603,富強鑫,"292,127,961","20,617,371","6,864",14.17,16.45,12.30,13.10,12.40,14.59 ,3.23,17.60,0.77
6609,瀧澤科,"184,611,755","6,330,121","4,261",29.16,34.20,26.50,29.25,29.40,8.40 ,6.80,8.91,1.11
8027,鈦昇,"1,199,075,719","32,866,633","14,504",36.48,41.50,30.20,34.18,35.55,12.43 ,3.71,58.79,2.44
8083,瑞穎,"829,791,095","5,113,420","3,662",162.28,179.50,143.00,158.76,145.00,16.16 ,5.17,14.55,4.63
8255,朋程,"2,665,100,003","21,638,922","14,009",123.16,133.00,114.00,119.38,115.50,15.06 ,5.19,28.90,2.87
9951,皇田,"905,901,564","7,330,443","5,940",123.58,133.50,115.00,121.02,117.00,17.33 ,4.62,9.79,4.58
2061,風青,"36,992,517","2,700,345",843,13.70,15.00,13.20,13.83,13.70,N/A,0.00,4.35,1.24
4609,唐鋒,"22,203,397","2,730,769","1,223",8.13,10.00,5.85,7.04,9.94,N/A,0.00,5.70,1.05
2035,唐榮,"32,385,413","635,212",448,50.98,53.10,46.65,51.30,48.40,N/A,0.00,0.18,2.73
2063,世鎧,"2,760,924","105,769",97,26.10,29.45,24.55,26.26,26.05,18.22 ,5.76,0.24,1.83
2064,晉椿,"51,883,037","2,411,989","1,134",21.51,24.00,18.70,21.18,19.20,9.01 ,10.42,3.45,0.89
5009,榮剛,"763,857,010","34,537,180","13,022",22.12,23.85,20.50,21.60,20.95,12.77 ,3.82,7.66,1.07
5011,久陽,"6,605,544","272,038",55,24.28,25.70,22.85,24.44,24.80,45.93 ,6.45,0.81,1.82
5013,強新,"225,593,600","10,447,909","3,922",21.59,23.90,19.70,21.07,19.95,8.83 ,6.02,10.34,1.10
5014,建錩,"19,384,516","2,184,607",823,8.87,9.30,8.63,8.83,8.75,8.75 ,5.14,1.32,0.67
5015,華祺,"43,490,873","2,004,516","1,192",21.70,23.70,20.35,21.66,21.25,7.46 ,14.12,3.31,1.18
5016,松和,"21,675,210","824,368",505,26.29,28.05,23.70,26.77,24.40,9.57 ,8.20,1.66,1.07
