101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
1417,嘉裕,"6,969,637,277 ","675,016,715 ",9.98 ,177.68 
,Carnival,,,,
1418,東華合纖,"220,992,922 ","30,822,155 ",6.87 ,23.35 
,TONG-HWA,,,,
1419,新光紡織,"8,898,156,809 ","219,671,527 ",39.67 ,73.21 
,SHINKO.SPIN.,,,,
1423,利華羊毛,"365,819,034 ","49,380,168 ",7.27 ,28.24 
,Reward Wool,,,,
1432,大魯閣,"1,034,636,139 ","87,109,617 ",10.86 ,161.70 
,TAROKO,,,,
1434,福懋,"6,401,854,400 ","232,608,535 ",27.52 ,13.82 
,Formosa Taffeta,,,,
1439,中和羊毛,"1,092,856,336 ","61,968,937 ",16.92 ,67.38 
,Chuwa Wool,,,,
1440,台南紡織,"11,742,833,437 ","881,601,655 ",12.91 ,56.19 
,Tainan Spinning,,,,
1441,大東紡織,"1,934,969,313 ","177,416,766 ",10.11 ,202.25 
,Tah Tong,,,,
1443,立益紡織,"222,727,043 ","42,461,984 ",5.03 ,31.39 
,LILYTEXTILE,,,,
1444,力麗,"11,245,469,778 ","963,249,066 ",11.20 ,107.59 
,LEALEA,,,,
1445,大宇紡織,"277,126,223 ","37,038,284 ",7.30 ,26.71 
,Universal,,,,
1446,宏和紡織,"695,814,293 ","46,338,005 ",14.71 ,33.43 
,Hong Ho,,,,
1447,力鵬,"8,727,463,221 ","830,111,555 ",9.42 ,114.07 
,LP,,,,
1451,年興紡織,"2,129,750,392 ","103,352,259 ",20.35 ,21.99 
,NIEN HSING,,,,
1452,宏益纖維,"484,671,040 ","50,723,802 ",9.27 ,38.23 
,HONG YI,,,,
1453,大將,"346,117,440 ","33,624,478 ",9.14 ,43.74 
,TA JIANG,,,,
1454,臺灣富綢,"399,517,959 ","52,058,405 ",7.32 ,37.10 
,TTF,,,,
1455,集盛,"10,185,805,780 ","905,964,013 ",10.63 ,158.99 
,ZIG SHENG,,,,
1457,宜進,"1,812,914,601 ","240,925,155 ",7.06 ,75.22 
,YI JINN,,,,
1459,聯發紡織,"844,398,860 ","85,003,861 ",9.35 ,23.71 
,Lan Fa Textile,,,,
1460,宏遠,"2,177,541,482 ","262,092,890 ",7.92 ,55.62 
,Everest Textile,,,,
1463,強盛染整,"2,551,990,573 ","231,252,510 ",10.30 ,122.74 
,CS,,,,
1464,得力,"462,946,192 ","48,922,238 ",8.96 ,22.01 
,DE LICACY,,,,
1465,偉全,"403,394,520 ","28,945,974 ",13.55 ,33.54 
,WISHER,,,,
1466,聚隆纖維,"2,894,432,595 ","146,159,533 ",18.15 ,153.44 
,Acelon,,,,
1467,南緯,"572,179,210 ","62,671,719 ",8.95 ,37.51 
,TEX-RAY,,,,
1468,昶和纖維,"125,556,798 ","10,855,502 ",10.59 ,6.77 
,CHANG HO,,,,
1469,理隆纖維,"20,918,821 ","2,348,884 ",8.87 ,1.88 
,Lilontex,,,,
1470,大統染,"48,854,462 ","3,977,871 ",12.47 ,4.63 
,EVERTEX,,,,
1472,三洋紡織,"861,743,753 ","67,233,782 ",11.83 ,113.00 
,Tri Ocean,,,,
1473,台南企業,"1,852,968,156 ","55,982,187 ",32.07 ,38.13 
,Tainan,,,,
1474,弘裕,"196,583,441 ","26,319,455 ",7.33 ,19.08 
,HONMYUE,,,,
1475,本盟光電,"21,335,543 ","2,692,058 ",7.72 ,8.27 
,SUMAGH,,,,
1476,儒鴻企業,"22,265,861,601 ","294,764,616 ",74.33 ,129.88 
,ECLAT,,,,
1477,聚陽,"13,881,963,789 ","163,780,778 ",84.31 ,100.10 
,Makalot,,,,
4414,如興,"590,397,020 ","65,248,726 ",8.36 ,111.28 
,ROO HSING,,,,
4426,利勤實業,"1,407,693,444 ","69,667,735 ",20.09 ,112.41 
,LI CHENG,,,,
05,電機機械類,,,,
,Electric Machinery,,,,
1503,士林電機,"2,292,126,647 ","66,594,303 ",34.51 ,12.78 
,SEEC,,,,
1504,東元電機,"24,943,294,073 ","1,238,091,698 ",20.08 ,67.20 
,TECO,,,,
1506,正道,"2,431,102,957 ","94,812,339 ",24.97 ,120.26 
,R.W.,,,,
1507,永大機電,"10,238,621,008 ","202,599,791 ",50.85 ,49.31 
,YUNGTAY,,,,
1512,瑞利,"715,520,051 ","88,413,780 ",7.81 ,48.61 
,JL,,,,
1513,中興電工,"5,609,365,866 ","339,438,768 ",16.26 ,70.72 
,CHEM,,,,
