101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2615,萬海,"4,907,101,398 ","318,444,382 ",15.39 ,14.36 
,WANHAI,,,,
2617,台航,"1,901,672,501 ","66,690,611 ",28.25 ,15.97 
,TAIWANLINE,,,,
2618,長榮航,"49,776,323,540 ","2,703,872,530 ",17.93 ,82.96 
,EVAAIR,,,,
2637,F-慧洋,"4,855,253,836 ","117,413,592 ",40.86 ,31.74 
,WISDOM,,,,
5607,遠雄港,"8,369,215,982 ","401,669,763 ",18.71 ,236.30 
,Farglory FTZ,,,,
5608,四維航,"2,808,684,678 ","107,862,413 ",25.77 ,29.43 
,S. W.,,,,
6702,復興航空,"5,669,001,762 ","307,365,898 ",16.56 ,61.11 
,TNA,,,,
16,觀光事業類,,,,
,Tourism,,,,
2701,萬企,"369,743,867 ","26,225,255 ",13.87 ,7.63 
,WANHWA,,,,
2702,華園,"872,093,568 ","42,440,024 ",20.19 ,52.67 
,HG,,,,
2704,國賓,"10,527,564,891 ","321,740,459 ",32.54 ,87.70 
,AMBH,,,,
2705,六福,"10,098,427,205 ","557,167,238 ",17.04 ,168.73 
,LEOFOO,,,,
2706,第一店,"1,224,239,957 ","61,841,609 ",19.63 ,18.24 
,First Hotel,,,,
2707,晶華酒店,"27,298,435,897 ","77,012,678 ",363.49 ,84.93 
,GFRT,,,,
2722,夏都,"3,177,753,183 ","69,964,456 ",39.39 ,89.60 
,Chateau,,,,
2723,F-美食,"10,099,837,403 ","46,825,527 ",218.69 ,33.75 
,Gourmet,,,,
2727,王品,"26,969,362,287 ","58,412,701 ",439.00 ,85.96 
,WOWPRIME,,,,
5706,鳳凰旅遊,"8,037,269,761 ","125,163,545 ",61.51 ,204.89 
,PHX TOUR,,,,
8940,新天地,"1,890,999,594 ","70,172,581 ",25.78 ,103.96 
,New Palace,,,,
17,金融保險類,,,,
,Finance and Insurance,,,,
2801,彰銀,"48,729,974,372 ","2,960,216,576 ",16.04 ,42.82 
,C.H.B,,,,
2809,京城銀,"17,576,470,335 ","901,156,898 ",19.25 ,85.73 
,KTB,,,,
2812,台中商銀,"9,468,059,049 ","979,878,465 ",9.46 ,43.20 
,TCCB,,,,
2816,旺旺保險,"1,371,378,668 ","110,248,287 ",12.38 ,45.12 
,UNION INS.,,,,
2820,華票,"16,567,708,740 ","1,397,037,656 ",11.33 ,104.02 
,CBF,,,,
2823,中國人壽,"127,242,460,194 ","4,665,629,551 ",26.97 ,205.46 
,CHINA LIFE,,,,
2832,台灣產物,"1,534,208,960 ","72,682,235 ",20.84 ,19.98 
,TFMI,,,,
2833,台灣人壽,"10,324,533,231 ","540,698,928 ",18.44 ,63.10 
,Taiwan Life,,,,
2833A,台壽甲,"60,117,575 ","1,718,429 ",35.10 ,2.96 
,TLI-PSA,,,,
2834,台灣企銀,"21,501,336,887 ","2,364,104,732 ",8.79 ,49.41 
,TBB,,,,
2836,高雄銀行,"1,702,315,472 ","186,776,785 ",8.87 ,26.42 
,B.O.K,,,,
2837,萬泰銀行,"2,482,950,508 ","306,197,176 ",7.92 ,18.87 
,CSMB,,,,
2838,聯邦銀行,"2,473,200,024 ","237,517,503 ",10.24 ,14.22 
,UBOT,,,,
2845,遠東商銀,"8,686,593,204 ","742,244,114 ",11.49 ,34.49 
,FEIB,,,,
2847,大眾商銀,"21,685,562,864 ","2,074,631,423 ",9.86 ,94.39 
,TC Bank,,,,
2849,安泰商銀,"2,116,248,120 ","145,611,480 ",13.90 ,9.69 
,ETB,,,,
2850,新光產險,"2,049,796,334 ","107,615,389 ",18.92 ,34.08 
,SK Insurance,,,,
2851,中再保,"536,432,293 ","42,594,376 ",12.61 ,7.71 
,C.R.C.,,,,
2852,第一保,"756,676,032 ","55,255,639 ",13.58 ,18.35 
,First Ins.,,,,
2855,統一證券,"3,438,512,693 ","220,691,463 ",15.52 ,17.01 
,PSC,,,,
2856,元富證券,"2,374,372,084 ","247,532,453 ",9.35 ,16.19 
,ML,,,,
2867,三商壽,"1,029,840,604 ","56,062,513 ",18.14 ,4.84 
,Mercuries Life,,,,
2880,華南金,"36,099,915,296 ","2,171,730,938 ",16.41 ,26.04 
,HNFHC,,,,
2881,富邦金,"138,359,963,567 ","4,330,661,928 ",31.61 ,47.04 
,Fubon Financial,,,,
2882,國泰金,"138,457,535,869 ","4,398,032,628 ",30.96 ,41.54 
,Cathay Holdings,,,,
2883,開發金,"75,805,908,605 ","9,963,568,656 ",7.69 ,76.49 
,CDIBH,,,,
2884,玉山金,"46,468,534,035 ","2,965,666,437 ",15.59 ,62.80 
,E.SUN FHC,,,,
2885,元大金,"80,756,740,838 ","5,445,525,818 ",14.59 ,54.36 
,Yuanta Group,,,,
2886,兆豐金,"150,535,255,538 ","6,869,672,375 ",21.92 ,60.59 
,MEGA FHC,,,,
2887,台新金,"70,361,537,078 ","6,223,335,190 ",11.27 ,94.97 
,TSFHC,,,,
2887C,新丙特,"36,416,100 ","1,102,000 ",33.02 ,0.23 
,TSFHC (C Preferred),,,,
2888,新光金,"50,120,483,266 ","5,850,270,536 ",8.60 ,69.35 
,SKFHC,,,,
2889,國票金,"5,606,655,754 ","578,178,917 ",9.61 ,23.16 
,Waterland Holdings,,,,
2890,永豐金控,"47,049,511,414 ","4,194,684,941 ",11.10 ,56.65 
,SINOPACHOLDINGS,,,,
2891,中信金,"142,929,110,427 ","7,989,553,635 ",17.80 ,68.57 
,Chinatrust Group,,,,
2892,第一金,"66,745,398,970 ","3,744,308,106 ",17.62 ,47.91 
,FFHC,,,,
5880,合庫金控,"29,409,039,110 ","1,724,379,701 ",17.22 ,23.35 
,TCFHC,,,,
6005,群益證,"6,766,677,737 ","624,687,812 ",10.67 ,26.36 
,CSC,,,,
18,貿易百貨類,,,,
,Trading and Consumers' Goods,,,,
2901,欣欣大眾,"1,746,578,873 ","46,675,959 ",30.42 ,63.89 
,Shin Shin,,,,
2903,遠東百貨,"67,301,151,051 ","2,025,644,184 ",31.90 ,151.84 
,FEDS,,,,
2905,三 商 行,"12,023,365,740 ","436,077,193 ",26.95 ,70.46 
,Mercuries,,,,
2906,高林實業,"903,396,355 ","65,940,155 ",13.10 ,27.20 
,Collins,,,,
2908,特力,"5,415,827,357 ","259,063,411 ",20.84 ,50.62 
,Test Rite,,,,
2910,統領百貨,"125,710,857 ","4,687,954 ",25.46 ,2.26 
,TONLIN,,,,
2911,麗嬰房,"9,898,408,315 ","333,302,740 ",27.59 ,161.63 
,LES,,,,
2912,統一超商,"78,922,921,884 ","502,129,094 ",157.11 ,48.30 
,PCSC,,,,
2913,臺灣農林,"12,813,047,367 ","825,436,483 ",15.08 ,133.90 
,TTC,,,,
2915,潤泰全球,"81,267,754,897 ","1,354,576,959 ",58.99 ,160.99 
,RUENTEX IND. LTD,,,,
5906,F-台南,"244,570,589 ","12,468,834 ",16.58 ,18.79 
,TAINAN CAYMAN,,,,
5907,F-大洋,"5,490,140,780 ","55,093,290 ",91.55 ,27.28 
,GORG,,,,
8429,F-金麗,"740,792,241 ","10,629,701 ",68.96 ,8.79 
,Jinli,,,,
21,化學工業類,,,,
,Chemical,,,,
1704,榮化,"27,023,592,712 ","576,390,632 ",43.36 ,70.91 
,LCYCIC,,,,
1708,東?,"7,563,333,542 ","220,565,885 ",33.43 ,139.75 
,Sesoda,,,,
1709,和益化工,"3,044,820,793 ","149,184,494 ",19.47 ,37.16 
,FUCC,,,,
1710,東聯化學,"40,186,678,177 ","1,069,487,369 ",36.30 ,127.64 
,OUCC,,,,
1711,永光化學,"5,601,299,778 ","277,033,370 ",19.00 ,63.00 
,EVERLIGHT,,,,
1712,興農,"4,644,796,749 ","341,152,586 ",13.31 ,102.10 
,Sinon,,,,
1713,國泰化工,"505,855,722 ","42,102,775 ",11.58 ,27.89 
,Cathay Chemical,,,,
1714,和桐化學,"10,277,250,276 ","611,147,413 ",16.43 ,76.38 
,HO TUNG,,,,
1717,長興化學,"4,695,710,312 ","194,282,328 ",24.09 ,19.57 
,ETERNAL,,,,
1718,中國人纖,"12,498,338,706 ","1,089,193,618 ",10.59 ,77.19 
,CMFC,,,,
1721,三晃,"338,765,756 ","42,204,293 ",7.51 ,57.29 
,Sunko Ink,,,,
1722,台灣肥料,"72,236,278,021 ","974,082,735 ",73.18 ,99.39 
,Taiwan Fertilizer,,,,
1723,中鋼碳素,"18,768,742,532 ","142,394,095 ",131.34 ,60.10 
,CSCC,,,,
1724,台硝,"3,335,776,475 ","127,971,077 ",24.08 ,100.13 
,T.N.C.,,,,
1725,元禎,"125,462,829 ","8,163,174 ",15.26 ,4.48 
,YJE,,,,
1726,永記造漆,"2,613,164,686 ","47,964,899 ",51.87 ,29.60 
,YCP,,,,
1727,中華化,"2,383,983,447 ","117,495,104 ",19.22 ,131.29 
,CHCIW,,,,
1730,花仙子,"973,103,621 ","54,150,087 ",17.65 ,101.25 
,FARCENT,,,,
1732,毛寶,"230,940,075 ","15,411,722 ",14.19 ,36.30 
,Mao Bao,,,,
1735,日勝化工,"209,441,745 ","18,400,654 ",10.98 ,20.03 
,EMC,,,,
1737,臺鹽,"5,721,758,803 ","251,734,286 ",21.69 ,90.53 
,TAIYEN,,,,
1773,勝一化工,"926,857,177 ","24,114,589 ",38.40 ,18.07 
,SHINY,,,,
4722,國精化學,"430,459,742 ","18,152,283 ",23.65 ,23.66 
,QPC,,,,
4725,信昌化工,"39,771,266,820 ","627,276,847 ",60.58 ,214.84 
,TPCC,,,,
4733,上緯,"3,378,662,651 ","78,761,773 ",41.56 ,108.95 
,SWANCOR,,,,
22,生技醫療類,,,,
,Biotechnology & Medical Care,,,,
1701,中國化學,"9,692,480,025 ","478,554,010 ",19.47 ,160.56 
,CCPC,,,,
1707,葡萄王,"17,522,609,993 ","301,274,609 ",57.36 ,231.34 
,Grape King,,,,
1720,生達化學,"3,552,679,970 ","137,002,549 ",25.02 ,81.35 
,S.C.P.C,,,,
1729,必翔,"7,335,078,711 ","204,390,603 ",35.74 ,109.04 
,Pihsiang,,,,
1731,美吾華,"3,462,202,429 ","232,616,159 ",13.56 ,175.23 
,Maywufa,,,,
1733,五鼎,"15,953,833,881 ","210,536,333 ",75.16 ,218.29 
,ApexBio,,,,
1734,杏輝藥品,"16,474,728,069 ","555,025,632 ",26.62 ,371.76 
,SINPHAR,,,,
1736,喬山,"7,069,204,257 ","95,024,320 ",73.60 ,47.62 
,JHT,,,,
1762,中化合成,"11,138,378,453 ","207,882,460 ",51.75 ,268.02 
,CCSB,,,,
1789,台灣神隆,"47,122,570,242 ","795,700,372 ",56.10 ,123.87 
,SPT,,,,
3164,景岳生技,"4,473,049,341 ","99,036,645 ",41.55 ,180.57 
,GenMont,,,,
3705,永信,"3,685,343,526 ","88,245,877 ",40.91 ,34.77 
,Y.S.H.,,,,
4104,佳醫,"9,216,176,877 ","145,115,175 ",61.02 ,136.90 
,EXCELSIOR,,,,
4106,雃博,"3,066,167,120 ","91,762,464 ",32.60 ,110.04 
,APEX,,,,
4108,懷特,"20,282,189,136 ","431,451,299 ",43.08 ,314.00 
,PhytoHealth,,,,
4119,旭富,"4,459,508,008 ","69,188,580 ",58.35 ,140.60 
,SCI,,,,
4133,亞諾法,"5,445,619,181 ","107,541,401 ",48.38 ,180.60 
,Abnova,,,,
4141,F-龍燈,"7,049,504,306 ","87,480,325 ",77.38 ,72.79 
,Rotam,,,,
4142,國光生技,"6,087,172,708 ","161,964,208 ",35.09 ,87.96 
,ADIM,,,,
4144,F-康聯,"13,736,946,980 ","168,819,542 ",77.99 ,241.18 
,Coland,,,,
4164,承業生醫,"21,285,109,125 ","163,554,556 ",128.46 ,136.30 
,CHC,,,,
4737,華廣,"1,070,094,321 ","14,265,941 ",77.39 ,32.44 
,BIONIME,,,,
4746,台耀化學,"5,727,437,789 ","86,839,566 ",63.17 ,129.50 
,FRMSL,,,,
23,油電燃氣類,,,,
,"Oil, Gas and Electricity",,,,
2616,山隆,"791,987,637 ","39,464,381 ",19.92 ,34.92 
,SLC,,,,
6505,台塑化,"44,761,937,186 ","511,771,175 ",86.93 ,5.37 
,FPCC,,,,
8926,台汽電,"5,883,571,304 ","272,149,613 ",20.45 ,46.18 
,TCC,,,,
9908,大台北瓦斯,"2,389,855,678 ","125,482,910 ",19.27 ,24.28 
,GTG,,,,
9918,欣天然,"314,603,630 ","10,736,589 ",29.26 ,5.95 
,S.S.N.G.,,,,
9926,新海瓦斯,"169,536,053 ","4,444,547 ",38.05 ,3.03 
,S.H.,,,,
9931,欣高,"75,429,154 ","3,111,051 ",24.28 ,3.29 
,Hsin Kao,,,,
9937,全國加油站,"1,679,791,573 ","51,567,811 ",31.84 ,16.68 
,NPC,,,,
24,半導體業類,,,,
,Semiconductor,,,,
1437,勤益,"2,132,977,347 ","137,510,766 ",14.25 ,67.42 
,GTM,,,,
2302,麗正,"235,242,485 ","52,611,644 ",4.21 ,32.88 
,Rectron,,,,
2303,聯電,"127,110,981,448 ","9,811,948,497 ",12.90 ,75.61 
,UMC,,,,
2311,日月光,"159,239,816,651 ","6,166,788,159 ",25.61 ,88.28 
,A. S. E.,,,,
2325,矽品,"68,440,902,600 ","2,133,704,784 ",32.03 ,68.47 
,Siliconware,,,,
2329,華泰,"667,532,450 ","148,528,847 ",4.35 ,18.41 
,OSE,,,,
2330,台積電,"844,105,649,462 ","10,106,805,880 ",84.08 ,38.97 
,TSMC,,,,
2337,旺宏,"50,679,460,826 ","5,104,742,949 ",9.54 ,147.92 
,MXIC,,,,
2338,光罩,"831,699,181 ","78,307,759 ",10.64 ,28.92 
,TMC,,,,
2342,茂矽,"3,876,274,456 ","754,148,303 ",4.06 ,152.18 
,MVI,,,,
2344,華邦電,"16,165,971,888 ","3,072,134,632 ",4.72 ,83.51 
,WEC,,,,
2351,順德,"3,117,599,853 ","127,384,335 ",21.83 ,73.39 
,SDI Corporation,,,,
2363,矽統,"5,910,717,606 ","509,957,429 ",10.99 ,80.00 
,SiS,,,,
2369,菱生,"14,465,776,609 ","814,181,196 ",16.48 ,214.46 
,LPI,,,,
2379,瑞昱,"59,254,720,590 ","1,033,673,000 ",56.86 ,209.13 
,RT,,,,
2388,威盛,"17,202,782,451 ","954,987,375 ",16.32 ,160.47 
,VIA,,,,
2401,凌陽,"4,511,606,916 ","439,389,276 ",9.64 ,73.62 
,Sunplus,,,,
2425,承啟,"2,918,496,119 ","103,475,031 ",33.38 ,163.42 
,CHAINTECH,,,,
2434,統懋,"380,928,029 ","50,381,512 ",6.60 ,61.02 
,Mospec,,,,
2436,偉詮電,"4,475,039,811 ","309,727,866 ",13.18 ,125.50 
,Weltrend,,,,
2441,超豐,"3,112,901,261 ","131,576,617 ",23.25 ,23.76 
,GTK,,,,
2449,京元電,"25,130,938,822 ","1,746,513,520 ",14.05 ,146.51 
,KYEC,,,,
2451,創見,"14,456,617,872 ","177,755,090 ",79.99 ,41.49 
,Transcend,,,,
2454,聯發科,"748,631,483,048 ","2,526,278,783 ",294.00 ,205.30 
,MediaTek,,,,
2458,義隆,"107,921,748,708 ","2,519,651,232 ",42.76 ,605.18 
,Elan,,,,
2473,思源,"26,242,483,059 ","584,553,356 ",46.28 ,286.66 
,Springsoft,,,,
2481,強茂,"8,153,489,853 ","540,025,804 ",13.02 ,145.20 
,Pan Jit,,,,
3006,晶豪科,"8,371,743,652 ","307,432,472 ",24.94 ,117.87 
,ESMT,,,,
3014,聯陽,"12,292,224,174 ","447,493,125 ",25.72 ,220.27 
,ITE,,,,
3016,嘉晶,"2,610,488,830 ","152,953,598 ",14.99 ,162.94 
,PRECISION,,,,
3034,聯詠,"99,606,237,619 ","1,032,680,426 ",95.70 ,171.49 
,NOVATEK,,,,
3035,智原,"92,440,901,105 ","2,179,358,091 ",41.11 ,544.30 
,Faraday,,,,
3041,揚智,"71,183,757,124 ","1,802,407,512 ",37.49 ,590.13 
,Ali,,,,
3054,萬國,"294,569,563 ","26,874,190 ",10.94 ,34.64 
,CARRY,,,,
3094,聯傑國際,"1,948,464,599 ","97,084,926 ",18.07 ,113.99 
,DAVICOM,,,,
3189,景碩,"101,904,889,053 ","1,136,470,208 ",88.09 ,254.82 
,KINSUS,,,,
3257,虹冠電,"4,494,312,449 ","150,395,996 ",27.36 ,388.36 
,CMC,,,,
3443,創意,"54,169,144,221 ","503,887,549 ",104.98 ,375.99 
,GUC,,,,
3519,綠能,"49,387,726,588 ","1,732,681,691 ",26.72 ,562.45 
,GET,,,,
3532,台勝科,"1,863,328,561 ","51,775,805 ",32.29 ,6.66 
,FST,,,,
3545,旭曜,"24,216,400,520 ","682,453,641 ",34.14 ,493.26 
,Orisetech,,,,
3559,全智科技,"9,051,967,649 ","446,350,502 ",18.69 ,392.28 
,GS,,,,
3579,尚志,"11,686,303,037 ","357,401,455 ",30.23 ,309.39 
,SCSC,,,,
3588,通嘉,"2,210,510,583 ","40,833,065 ",51.94 ,91.43 
,LD,,,,
3598,奕力科技,"56,880,076,320 ","640,394,511 ",86.16 ,982.36 
,ILITEK,,,,
3638,F-IML,"36,723,035,012 ","337,214,670 ",105.33 ,458.58 
,IML,,,,
3686,達能科技,"23,240,214,864 ","1,292,365,105 ",16.22 ,634.53 
,Danen,,,,
3697,F-晨星,"177,668,727,101 ","882,272,992 ",206.34 ,166.32 
,MStar,,,,
4919,新唐科技,"13,219,579,385 ","398,158,296 ",31.69 ,191.84 
,NTC,,,,
4952,凌通科技,"2,331,413,201 ","97,823,781 ",21.56 ,89.98 
,Generalplus,,,,
5269,祥碩科技,"1,249,504,478 ","16,485,542 ",72.54 ,29.24 
,Asmedia,,,,
5305,敦南,"7,036,310,611 ","427,313,516 ",15.14 ,95.49 
,LSC,,,,
5471,松翰,"10,680,524,021 ","231,045,654 ",43.58 ,137.63 
,SONIX,,,,
6145,勁永,"8,406,820,663 ","696,813,981 ",10.81 ,313.16 
,PQI,,,,
6202,盛群,"4,382,423,056 ","135,102,749 ",31.52 ,60.42 
,HOLTEK,,,,
6239,力成,"168,777,695,158 ","2,972,619,925 ",55.99 ,374.45 
,PTI,,,,
6243,迅杰,"2,470,435,229 ","130,023,877 ",16.64 ,172.68 
,ENE,,,,
6257,矽格,"16,384,852,192 ","694,562,814 ",23.16 ,191.73 
,SIGURD,,,,
6271,同欣電子,"45,244,274,228 ","462,429,716 ",97.73 ,284.12 
,THEIL,,,,
6286,立錡科技,"50,435,669,563 ","290,935,075 ",172.57 ,194.57 
,Richtek,,,,
8016,矽創,"12,143,663,570 ","300,358,345 ",38.58 ,254.23 
,Sitronix,,,,
8081,致新,"31,019,288,983 ","302,636,285 ",99.56 ,351.18 
,GMT,,,,
8110,華東科技,"4,018,929,961 ","408,765,850 ",9.17 ,81.33 
,WALTON,,,,
8131,福懋科技,"2,837,976,760 ","106,730,296 ",23.67 ,24.14 
,FATC,,,,
8261,富鼎先進,"1,457,965,768 ","120,295,730 ",11.24 ,83.82 
,APEC,,,,
8271,宇瞻,"24,681,721,273 ","1,068,875,993 ",22.96 ,825.87 
,Apacer,,,,
25,電腦及週邊設備業類,,,,
,Computer and Peripheral Equipment,,,,
2301,光寶科,"41,661,002,597 ","1,127,391,536 ",36.93 ,49.27 
,LTC,,,,
2305,全友,"123,736,145 ","39,295,252 ",3.09 ,19.10 
,MII,,,,
2315,神達,"18,439,639,092 ","1,708,458,412 ",10.15 ,111.67 
,MIC,,,,
2324,仁寶,"84,163,982,237 ","3,230,009,634 ",27.77 ,73.25 
,Compal,,,,
2331,精英,"19,557,271,359 ","1,913,054,885 ",9.18 ,161.69 
,Elitegroup,,,,
2352,佳世達,"15,525,643,193 ","2,117,854,292 ",6.99 ,107.67 
,Qisda,,,,
2353,宏碁,"152,344,673,898 ","4,856,901,952 ",31.58 ,171.39 
,ACER,,,,
2356,英業達,"12,403,297,847 ","1,133,142,109 ",10.99 ,32.14 
,Inventec,,,,
2357,華碩,"308,057,288,272 ","1,078,544,176 ",287.28 ,143.27 
,Asustek,,,,
2358,美格,"2,194,346,579 ","192,396,413 ",11.91 ,295.99 
,MAG,,,,
2362,藍天,"7,677,931,508 ","182,141,791 ",42.96 ,28.08 
,CLEVO,,,,
2364,倫飛,"629,356,287 ","204,843,439 ",2.86 ,82.89 
,Twinhead,,,,
2365,昆盈,"1,988,322,116 ","179,709,919 ",10.58 ,58.23 
,KYE,,,,
2376,技嘉,"9,965,855,364 ","393,168,628 ",25.48 ,62.29 
,GIGABYTE,,,,
2377,微星,"10,149,348,029 ","718,720,594 ",13.96 ,78.60 
,MSI,,,,
2380,虹光,"1,408,092,181 ","127,028,867 ",10.05 ,57.68 
,Avision,,,,
2382,廣達,"192,334,776,544 ","2,615,948,658 ",73.57 ,68.03 
,QCI,,,,
2385,群光,"37,650,076,767 ","625,107,578 ",60.15 ,94.84 
,Chicony,,,,
2387,精元,"2,647,465,731 ","155,405,705 ",15.30 ,41.93 
,Sunrex,,,,
2395,研華,"15,396,185,011 ","152,001,970 ",101.96 ,27.37 
,Advantech,,,,
2397,友通,"651,367,373 ","28,342,425 ",22.77 ,24.68 
,DFI,,,,
2399,映泰,"1,640,163,373 ","115,734,179 ",13.82 ,64.98 
,Biostar,,,,
2405,浩鑫,"3,168,682,113 ","301,621,669 ",9.83 ,158.35 
,Shuttle,,,,
2417,圓剛,"4,884,367,923 ","204,222,949 ",21.27 ,98.12 
,AVerMedia,,,,
2424,隴華,"245,147,555 ","11,413,948 ",18.37 ,38.04 
,Lung Hwa,,,,
2442,新美齊,"491,714,540 ","68,228,671 ",6.92 ,43.61 
,Jean,,,,
2465,麗臺,"255,885,752 ","44,996,394 ",5.29 ,42.00 
,Leadtek,,,,
2474,可成,"689,980,817,941 ","4,055,468,950 ",169.94 ,540.25 
,Catcher,,,,
3002,歐格,"251,972,260 ","22,851,327 ",10.83 ,22.40 
,Ahoku,,,,
3005,神基,"80,571,272,819 ","3,688,796,683 ",20.12 ,641.37 
,MTC,,,,
3013,晟銘電,"9,999,759,742 ","364,957,561 ",25.84 ,196.37 
,UNEEC,,,,
3017,奇鋐,"7,385,548,139 ","389,475,277 ",17.17 ,114.46 
,AVC,,,,
3022,威達電,"18,877,423,112 ","417,309,343 ",44.73 ,171.01 
,IEI,,,,
3046,建碁,"176,809,254 ","27,050,912 ",6.14 ,17.38 
,AOpen,,,,
3057,喬鼎,"5,926,090,562 ","336,528,466 ",15.90 ,222.95 
,Promise.,,,,
3060,銘異,"42,401,623,251 ","547,759,008 ",75.18 ,332.39 
,MIN AIK,,,,
3231,緯創,"109,692,183,835 ","2,826,255,487 ",37.43 ,132.53 
,Wistron,,,,
3494,誠研,"2,442,683,184 ","122,470,898 ",17.67 ,89.05 
,HiTi,,,,
3515,華擎,"3,553,995,816 ","31,189,701 ",108.74 ,27.10 
,ASROCK,,,,
3701,大眾控,"105,866,858 ","11,175,578 ",9.26 ,9.26 
,FICG,,,,
4915,致伸,"8,146,969,036 ","299,278,101 ",26.69 ,70.10 
,Primax,,,,
4938,和碩,"110,918,513,017 ","2,803,269,766 ",39.27 ,124.25 
,Pegatron,,,,
5215,F-科嘉,"6,971,790,314 ","122,427,571 ",52.42 ,259.10 
,KO JA,,,,
6117,迎廣,"134,517,359 ","9,670,827 ",13.05 ,10.92 
,IN WIN,,,,
6128,上福,"669,587,077 ","23,228,571 ",26.83 ,25.51 
,GPI,,,,
6166,凌華,"1,701,919,110 ","45,722,525 ",35.33 ,31.84 
,ADLINK,,,,
6206,飛捷,"3,813,483,623 ","56,220,761 ",66.80 ,59.12 
,FLYTECH,,,,
6230,超眾,"5,302,954,876 ","144,036,232 ",33.33 ,166.81 
,CCI,,,,
6235,華孚科技,"3,236,162,786 ","247,908,724 ",12.05 ,175.25 
,Waffer,,,,
6277,宏正,"1,755,049,123 ","32,374,114 ",52.47 ,27.09 
,ATEN,,,,
8008,建興電,"14,027,270,409 ","484,702,487 ",27.63 ,53.33 
,LITE-ON IT,,,,
8114,振樺電子,"108,077,530 ","1,837,727 ",58.75 ,2.92 
,POSIFLEX,,,,
8210,勤誠興業,"3,003,496,750 ","85,605,219 ",33.60 ,73.26 
,CHENBRO,,,,
9912,偉聯科技,"618,014,159 ","32,352,950 ",14.81 ,70.21 
,AIC,,,,
26,光電業類,,,,
,Optoelectronic,,,,
2323,中環,"14,828,914,788 ","2,879,568,327 ",4.92 ,103.54 
,CMC,,,,
2340,光磊,"11,248,349,209 ","840,434,645 ",12.58 ,159.31 
,OPTO,,,,
2349,錸德,"14,140,573,928 ","3,189,692,874 ",4.17 ,120.48 
,RITEK,,,,
2374,佳能,"9,440,921,926 ","334,308,213 ",27.80 ,74.89 
,Ability,,,,
2384,勝華,"175,156,298,186 ","9,397,133,059 ",17.73 ,534.34 
,Wintek Corp.,,,,
2393,億光,"59,323,484,070 ","1,284,520,111 ",49.76 ,306.41 
,Everlight,,,,
2406,國碩,"26,940,841,778 ","1,144,129,413 ",22.19 ,391.86 
,Gigastorage,,,,
2409,友達,"246,959,076,241 ","19,496,473,550 ",12.49 ,220.89 
,AUO,,,,
2426,鼎元,"3,842,940,331 ","342,851,443 ",10.10 ,98.23 
,Tyntek,,,,
2443,新利虹,"532,922,812 ","212,694,855 ",2.33 ,60.09 
,LEADDATA LTD,,,,
2448,晶電,"140,228,622,965 ","2,243,519,876 ",63.06 ,258.57 
,Epistar,,,,
2466,冠西電,"577,435,843 ","23,225,718 ",24.87 ,16.98 
,Cosmo,,,,
2486,一詮,"10,264,705,817 ","495,747,145 ",19.62 ,241.02 
,I-Chiun,,,,
2489,瑞軒,"28,868,339,651 ","1,269,848,615 ",22.80 ,154.61 
,Amtran,,,,
2499,東貝,"30,684,404,910 ","996,968,273 ",29.57 ,299.49 
,UNI,,,,
3008,大立光,"303,805,679,070 ","486,834,457 ",623.06 ,362.93 
,LARGAN,,,,
3019,亞洲光學,"27,672,568,124 ","901,754,381 ",29.17 ,320.85 
,ASIA,,,,
3024,憶聲,"999,410,593 ","116,028,370 ",7.94 ,39.10 
,ACN,,,,
3031,佰鴻,"6,022,596,490 ","269,317,638 ",19.18 ,136.93 
,BRIGHT,,,,
3038,全台,"851,512,983 ","137,709,713 ",5.72 ,60.91 
,EDT,,,,
3049,和鑫,"36,668,027,249 ","2,827,797,324 ",12.13 ,319.89 
,SINTEK,,,,
3050,鈺德,"1,034,458,129 ","161,873,068 ",5.97 ,78.04 
,U-Tech,,,,
3059,華晶科,"9,763,745,159 ","466,730,505 ",20.29 ,117.92 
,Altek,,,,
3061,璨圓,"42,740,657,079 ","1,805,952,874 ",22.32 ,461.83 
,FOREPI,,,,
3080,威力盟,"3,265,914,588 ","217,400,833 ",14.20 ,127.84 
,WELLYPOWER,,,,
3149,正達國際,"86,438,770,418 ","1,009,314,698 ",85.11 ,413.72 
,G-TECH,,,,
3356,奇偶科技,"13,367,541,673 ","108,765,725 ",118.49 ,192.32 
,GeoVision,,,,
3383,新世紀,"19,379,386,336 ","539,032,556 ",30.28 ,193.93 
,GPI,,,,
3406,玉晶光,"332,544,063,587 ","1,404,681,863 ",235.77 ,"1,576.52 "
,GENIUS,,,,
3454,晶睿,"27,742,934,946 ","292,148,197 ",94.23 ,436.29 
,VIVOTEK,,,,
3481,奇美電,"196,724,379,072 ","15,111,666,591 ",12.46 ,204.96 
,CMI,,,,
3504,揚明光,"43,957,720,864 ","430,191,150 ",94.26 ,377.16 
,Young Optics,,,,
3514,昱晶能源,"42,772,643,564 ","1,281,800,570 ",31.76 ,378.27 
,GINTECH,,,,
3535,晶彩科,"1,850,441,463 ","142,987,597 ",11.88 ,181.92 
