櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1256,F-鮮活,"79,805,930","402,860",411,198.1,208.5,191,197.38,201,21.22,3.23,1.63,5.78
1258,F-其祥,"303,858,350","7,115,044","4,034",42.71,52,30.1,38.04,47.55,16.4,2.73,20.93,2.45
1264,德麥,"264,178,384","1,246,345",986,211.96,226,198,211.62,210,17.09,4.76,4.07,3.82
4205,中華食,"8,981,039","238,151",176,37.71,38,37.3,37.77,38,19.59,3.95,0.33,2.31
4207,環泰,"56,171,419","5,151,371","1,484",10.9,11.9,9.8,10.72,11.6,48.33,3.88,3.04,1
4712,南璋,"142,692,733","12,455,665","4,707",11.46,14.15,9.35,10.88,10.05,N/A,0,12.94,1.3
4303,信立,"14,666,903","1,021,019",395,14.36,15.35,13.2,14.44,14.5,16.86,1.38,1.46,1.39
4304,勝昱,"7,190,990","458,646",396,15.68,16.8,14.15,15.34,16.8,N/A,0,0.89,1.78
4305,世坤,"2,370,314","88,702",74,26.72,27.75,26.05,26.83,26.95,12.19,6.68,0.16,1.62
