,民國99年05月,,,,,,,May-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1717  長興,1668746521 ,53816662 ,19885 ,31.01,30.72,30.2,33.55,5月3日,29,5月25日,5.98
1718  中纖,7944111862 ,756189950 ,127699 ,10.51,10.2,9.42,11.45,5月18日,8.63,5月26日,53.61
1721  三晃,205419182 ,13478485 ,5611 ,15.24,15.15,14.5,17.6,5月4日,13.25,5月25日,18.29
1722  台肥,10667665268 ,115917171 ,61792 ,92.03,92.23,89,101,5月4日,82.1,5月27日,11.83
1723  中碳,1812311620 ,19239633 ,11358 ,94.2,94.68,96.2,98.6,5月14日,88.9,5月21日,8.12
1724  台硝,82269037 ,6561564 ,2206 ,12.54,12.42,11.8,13.4,5月3日,11.6,5月26日,5.13
1725  元禎,46246031 ,1837931 ,1189 ,25.16,24.79,23.8,27.35,5月19日,22.15,5月26日,1.34
1726  永記,87469858 ,1949009 ,1065 ,44.88,45.42,44,48.8,5月4日,42.05,5月21日,1.2
1727  中華化,500499306 ,19972095 ,8772 ,25.06,24.84,24.5,27.5,5月14日,21.6,5月26日,26.92
1730  花仙子,128794086 ,7753842 ,2865 ,16.61,16.39,16.1,17.35,5月11日,15.1,5月25日,14.5
1732  毛寶,85308271 ,5466597 ,2401 ,15.61,15.31,15.05,16.9,5月11日,14,5月25日,12.88
1735  日勝化,155719720 ,8604958 ,3481 ,18.1,17.89,17.2,20,5月3日,16.35,5月25日,9.22
1737  臺鹽,241116345 ,12624765 ,4570 ,19.1,19.11,19,20.2,5月4日,18,5月27日,4.54
1773  勝一,730002010 ,17729251 ,7777 ,41.18,40.69,40.05,43.6,5月4日,37.3,5月25日,13.28
4725  信昌化,1717758229 ,30249529 ,15850 ,56.79,54.9,49.8,64.8,5月5日,43.55,5月26日,10.36
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1701  中化,919841427 ,46629042 ,18842 ,19.73,19.69,19.5,21.55,5月3日,18.3,5月25日,15.64
1707  葡萄王,981243866 ,23298865 ,13644 ,42.12,42.13,41.65,45.4,5月4日,38.35,5月7日,17.89
1716  永信,292879217 ,8773807 ,4797 ,33.38,33.39,33.75,35,5月4日,32.2,5月25日,3.46
1720  生達,445656652 ,16548014 ,7548 ,26.93,26.65,27.6,28.2,5月28日,24.6,5月7日,10.6
1729  必翔,1031638529 ,20609697 ,10255 ,50.06,51.2,48.5,55.3,5月3日,45.3,5月26日,10.96
1731  美吾華,501998033 ,31203082 ,11521 ,16.09,16,16.25,18,5月5日,14,5月25日,29.11
1733  五鼎,1183655818 ,18954069 ,10421 ,62.45,62.25,64.9,65.6,5月28日,58.4,5月7日,19.84
1734  杏輝,2114732904 ,67449399 ,31542 ,31.35,30.8,31.9,33.6,5月26日,27.8,5月7日,55.77
1736  喬山,775406207 ,18213160 ,9955 ,42.57,42.72,41,49.3,5月4日,35.1,5月25日,9.37
3164  景岳,2212487593 ,25268127 ,16439 ,87.56,85.7,87,95.4,5月18日,77,5月7日,51.26
4104  佳醫,979041495 ,14285790 ,9406 ,68.53,68.24,71.5,72.1,5月28日,61.1,5月7日,15.1
4106  雃博,1423787791 ,39643592 ,17697 ,35.91,35.15,35.85,39.35,5月20日,32,5月7日,54.91
4108  懷特,1469466589 ,30789361 ,17598 ,47.73,47.03,47.45,53.8,5月3日,42,5月25日,26.04
4119  旭富,87492278 ,1371247 ,1046 ,63.8,63.85,62.5,67.7,5月4日,61.1,5月25日,3.39
4133  亞諾法,681514327 ,7013735 ,5199 ,97.17,96.46,91.8,105,5月14日,88.6,5月25日,11.78
23 油電燃氣類,,,,,,,,,,,
"Oil, Gas and Electricity",,,,,,,,,,,
2616  山隆,131611161 ,8294604 ,2463 ,15.87,15.88,15.85,16.4,5月13日,15.25,5月7日,7.3
6505  台塑化,5171701319 ,65488878 ,22612 ,78.97,79.51,77.7,82.8,5月3日,74,5月26日,0.69
8926  台汽電,357224956 ,21380628 ,5648 ,16.71,16.72,16.6,17.2,5月3日,16.25,5月25日,4.04
9908  大台北,122188847 ,7154816 ,1938 ,17.08,17.2,17.25,18,5月4日,16.7,5月26日,1.39
9918  欣天然,19373307 ,721636 ,372 ,26.85,27.09,26.25,29.7,5月6日,25.5,5月26日,0.42
9926  新海,10585449 ,381297 ,254 ,27.76,27.68,28,29.35,5月3日,26.7,5月7日,0.3
9931  欣高,20653469 ,971251 ,542 ,21.26,21.08,20.6,22.8,5月3日,19.7,5月21日,1.03
9937  全國,202104516 ,5684287 ,2205 ,35.55,35.65,34.85,37.85,5月4日,33.5,5月7日,1.84
24 半導體業類,,,,,,,,,,,
Semiconductor,,,,,,,,,,,
1437  勤益,416858881 ,21128400 ,7357 ,19.73,19.66,20,21.1,5月17日,18.4,5月26日,10.36
2302  麗正,614063227 ,69969581 ,16769 ,8.78,8.62,8.4,9.65,5月13日,7.16,5月7日,44.47
2303  聯電,15793043279 ,1071780052 ,177539 ,14.74,14.71,15.1,16,5月3日,13.5,5月21日,8.25
2311  日月光,19196471461 ,688665512 ,158068 ,27.87,28.01,27,31.25,5月3日,25.1,5月21日,12.53
2325  矽品,11453765553 ,317488785 ,97703 ,36.08,36.3,35.6,38.8,5月3日,33.1,5月25日,10.19
2329  華泰,425395870 ,50411711 ,12609 ,8.44,8.35,8.19,9.7,5月3日,7.39,5月26日,8.32
2330  台積電,58807894047 ,986920329 ,223022 ,59.59,59.68,60.2,62.6,5月3日,57.7,5月27日,3.81
2337  旺宏,13605325960 ,640419235 ,153692 ,21.24,21.22,21.15,22.6,5月14日,19.55,5月25日,19.23
2338  光罩,191878692 ,16569677 ,4768 ,11.58,11.54,11.45,12.8,5月3日,10.3,5月25日,4.89
2342  茂矽,1125235062 ,77297904 ,22724 ,14.56,14.22,13.3,15.8,5月13日,12.2,5月26日,13.41
2344  華邦電,3603752526 ,445258783 ,78774 ,8.09,8.14,8.12,9.19,5月4日,6.92,5月21日,12.18
2351  順德,2272210555 ,47831473 ,19095 ,47.5,47.63,43.2,55.2,5月3日,40.5,5月26日,27.56
2363  矽統,1710097866 ,89395921 ,28203 ,19.13,19,19.35,20.75,5月3日,17.05,5月26日,12.53
2369  菱生,2686404065 ,155053751 ,41193 ,17.33,17.25,16.8,19.8,5月3日,15.3,5月26日,42.94
2379  瑞昱,7991157074 ,105257812 ,54154 ,75.92,75.15,77.5,85.3,5月3日,68.6,5月25日,22.07
2401  凌陽,1958287765 ,76550096 ,28126 ,25.58,25.47,24.25,29.5,5月3日,22.35,5月26日,12.82
2408  南科,4826178725 ,189035974 ,54650 ,25.53,25.87,26.4,28.1,5月11日,23.2,5月21日,5.51
2425  承啟,420697411 ,24807709 ,8536 ,16.96,16.74,15.4,20,5月3日,13.35,5月27日,27.76
2434  統懋,519958064 ,26505843 ,10154 ,19.62,18.89,18.55,21.6,5月24日,16.35,5月7日,32.1
2436  偉詮電,821923060 ,35483191 ,15417 ,23.16,23.16,23.2,25.25,5月3日,20.2,5月26日,14.38
2441  超豐,1794568278 ,54467823 ,17654 ,32.95,32.95,32.7,35.45,5月3日,30.5,5月25日,10.07
2449  京元電,1803061942 ,133198298 ,30757 ,13.54,13.54,14.05,15.05,5月3日,12.2,5月26日,10.68
2451  創見,5053042474 ,56446649 ,33205 ,89.52,90.65,84.2,105,5月4日,79,5月26日,13.31
2454  聯發科,47466790201 ,91791508 ,64079 ,517.12,518.45,523,545,5月3日,483,5月25日,8.42
2458  義隆,9407506359 ,199899624 ,86310 ,47.06,47.2,45.1,51.8,5月11日,40.1,5月27日,48.06
2473  思源,811647595 ,26511956 ,12202 ,30.61,30.67,28.95,33.8,5月3日,27.75,5月27日,12.79
2481  強茂,3138025098 ,104805707 ,35766 ,29.94,30.06,30.8,32.3,5月4日,27.2,5月7日,31.59
3006  晶豪科,17772785947 ,286986260 ,121335 ,61.93,61.7,59.2,70.1,5月4日,52,5月25日,116.94
3014  聯陽,1798761878 ,35375828 ,20133 ,50.85,50.77,50.1,56,5月3日,45.1,5月26日,17.49
3016  嘉晶,403799266 ,13381298 ,8014 ,30.18,30.5,30.1,33.7,5月3日,26.55,5月25日,17.04
3034  聯詠,12103293776 ,127316110 ,67365 ,95.06,95.11,93,110,5月3日,82.4,5月25日,21.37
3035  智原,5651588420 ,109011026 ,50761 ,51.84,51.82,52.3,55.9,5月3日,47.7,5月25日,29.46
3041  揚智,6937543826 ,118276257 ,52748 ,58.66,58.05,56.2,65.3,5月3日,51.8,5月25日,38.91
3056  駿億,315491106 ,12375614 ,5431 ,25.49,23.33,21.7,28.7,5月3日,21.6,5月31日,13.83
3094  聯傑,806034271 ,18436359 ,10463 ,43.72,43.35,44.05,47.5,5月3日,39.1,5月25日,22.5
3189  景碩,7057941111 ,89526680 ,40871 ,78.84,78.59,76.1,85.1,5月4日,69.4,5月26日,20.07
3443  創意,2375006526 ,18810272 ,13468 ,126.26,128.79,121.5,145,5月3日,109.5,5月25日,14.25
3474  華亞科,12730945392 ,657316858 ,140420 ,19.37,19.97,19.15,22.5,5月3日,16.95,5月21日,14.24
