,民國99年05月,,,,,,,May-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
03119 亞東GM,14191350 ,11826000 ,681 ,1.2,1.07,0.74,2.33,5月3日,0.42,5月25日
03120 亞東GN,123150 ,500000 ,15 ,0.25,0.24,0.06,0.43,5月4日,0.06,5月21日
03121 亞東GP,1278460 ,2136000 ,95 ,0.6,0.54,0.28,1.23,5月4日,0.17,5月21日
03122 亞東GQ,204820 ,1785000 ,32 ,0.11,0.14,0.13,0.27,5月4日,0.09,5月7日
03123 亞東GR,545550 ,2144000 ,45 ,0.25,0.24,0.17,0.7,5月3日,0.07,5月24日
03124 永豐1A,3700 ,50000 ,4 ,0.07,0.08,0.05,0.12,5月4日,0.05,5月14日
03125 永豐1B,195280 ,2591000 ,47 ,0.08,0.06,0.01,0.12,5月3日,0.01,5月25日
03126 永豐1C,128900 ,618000 ,21 ,0.21,0.16,0.03,0.28,5月4日,0.03,5月25日
03127 永豐1D,404390 ,4162000 ,101 ,0.1,0.1,0.02,0.19,5月11日,0.01,5月27日
03128 永豐1E,2638500 ,10282000 ,220 ,0.26,0.24,0.19,0.35,5月4日,0.12,5月21日
03129 永豐1F,37300 ,290000 ,8 ,0.13,0.11,0.07,0.17,5月4日,0.07,5月20日
03130 永豐1G,199050 ,496000 ,15 ,0.4,0.3,0.1,0.48,5月4日,0.1,5月25日
03131 群益NK,9091140 ,15053000 ,325 ,0.6,0.56,0.35,1.04,5月4日,0.2,5月25日
03132 群益NL,1688190 ,2826000 ,55 ,0.6,0.58,0.5,0.88,5月4日,0.48,5月19日
03133P群益NM,46367750 ,11194000 ,865 ,4.14,4.18,3.73,5.95,5月25日,2.8,5月19日
03134 凱基86,1209770 ,3353000 ,75 ,0.36,0.39,0.21,0.69,5月4日,0.13,5月25日
03135 凱基87,3097340 ,1916000 ,62 ,1.62,1.48,1.29,1.8,5月3日,0.98,5月25日
03136 凱基88,656270 ,2175000 ,122 ,0.3,0.24,0.4,0.55,5月3日,0.08,5月26日
03137 凱基89,2831570 ,4632000 ,125 ,0.61,0.49,0.19,1.33,5月3日,0.1,5月27日
03138P凱基90,5800400 ,6487000 ,178 ,0.89,0.97,0.83,1.34,5月25日,0.61,5月4日
03139 凱基91,1555860 ,776000 ,50 ,2,2.07,1.89,2.59,5月14日,1.49,5月26日
03140 統一AS,469810 ,1015000 ,63 ,0.46,0.44,0.12,0.99,5月3日,0.1,5月25日
03141 統一AT,19910 ,174000 ,8 ,0.11,0.18,0.05,0.26,5月3日,0.05,5月31日
03142 統一AU,884870 ,2784000 ,125 ,0.32,0.24,0.08,0.61,5月3日,0.06,5月25日
03143 統一AV,1600 ,10000 ,1 ,0.16,0.16,0.16,0.16,5月3日,0.16,5月3日
03144 統一AW,3110 ,26000 ,4 ,0.12,0.11,0.07,0.16,5月4日,0.07,5月6日
03145 統一AX,3246750 ,2792000 ,99 ,1.16,1.2,1.07,1.61,5月3日,0.96,5月25日
03146 統一AY,742530 ,1798000 ,64 ,0.41,0.41,0.43,0.55,5月4日,0.3,5月13日
03147 統一AZ,2674070 ,2199000 ,74 ,1.22,1.22,0.93,2.18,5月4日,0.51,5月25日
03148P統一BA,2583380 ,6149000 ,184 ,0.42,0.43,0.39,0.6,5月21日,0.3,5月17日
03149 工銀IY,253760 ,880000 ,22 ,0.29,0.32,0.1,0.52,5月4日,0.1,5月21日
03150 工銀IZ,233580 ,499000 ,41 ,0.47,0.45,0.37,0.65,5月3日,0.25,5月21日
03151 工銀JA,2475680 ,5474000 ,184 ,0.45,0.52,0.35,0.97,5月3日,0.25,5月25日
03152 群益NN,2830660 ,4045000 ,257 ,0.7,0.66,0.4,1.25,5月4日,0.23,5月25日
03153 群益NP,1166530 ,9923000 ,189 ,0.12,0.1,0.05,0.24,5月14日,0.05,5月24日
03154 群益NQ,149640 ,732000 ,47 ,0.2,0.18,0.05,0.35,5月3日,0.05,5月26日
03155 群益NR,726780 ,4547000 ,107 ,0.16,0.19,0.07,0.54,5月13日,0.04,5月25日
03156 凱基92,176770 ,781000 ,52 ,0.23,0.24,0.08,0.53,5月4日,0.06,5月25日
03157 國票BF,685290 ,4604000 ,270 ,0.15,0.16,0.16,0.4,5月10日,0.02,5月25日
03158 國票BG,31160 ,68000 ,15 ,0.46,0.35,0.23,0.52,5月3日,0.23,5月31日
03159 國票BH,719910 ,2404000 ,110 ,0.3,0.29,0.16,0.63,5月3日,0.13,5月24日
03160 統一BB,891570 ,4716000 ,174 ,0.19,0.2,0.11,0.39,5月4日,0.08,5月26日
03161P統一BC,17220 ,45000 ,9 ,0.38,0.4,0.56,0.56,5月25日,0.31,5月14日
03162 統一BD,1357550 ,9391000 ,171 ,0.14,0.13,0.09,0.34,5月3日,0.03,5月21日
03163 統一BE,1650 ,15000 ,2 ,0.11,0.13,0.07,0.19,5月19日,0.07,5月25日
03164 統一BF,398500 ,966000 ,21 ,0.41,0.4,0.28,0.56,5月4日,0.21,5月25日
03166 統一BH,682480 ,648000 ,49 ,1.05,1.1,0.93,1.71,5月4日,0.7,5月25日
03167 日盛MK,6925110 ,5648000 ,280 ,1.23,1.44,0.31,2.93,5月4日,0.26,5月31日
03168P日盛ML,10959280 ,29232000 ,697 ,0.37,0.32,0.61,0.69,5月31日,0.17,5月13日
03169P日盛MM,112750 ,295000 ,12 ,0.38,0.38,0.39,0.51,5月7日,0.33,5月14日
03170 日盛MN,790480 ,4158000 ,90 ,0.19,0.19,0.13,0.32,5月13日,0.1,5月26日
03171 日盛MP,199550 ,1557000 ,77 ,0.13,0.13,0.14,0.28,5月3日,0.07,5月21日
03172 日盛MQ,5500 ,50000 ,1 ,0.11,0.11,0.11,0.11,5月13日,0.11,5月13日
03173 日盛MR,2580 ,128000 ,4 ,0.02,0.02,0.02,0.04,5月18日,0.02,5月27日
03175 日盛MT,309500 ,2097000 ,147 ,0.15,0.18,0.08,0.39,5月3日,0.05,5月27日
03176 元大9W,106430 ,1213000 ,28 ,0.09,0.09,0.05,0.14,5月3日,0.04,5月26日
03177 元大9X,900200 ,824000 ,43 ,1.09,1.1,0.78,1.35,5月3日,0.72,5月25日
03178 元大9Y,3147240 ,7298000 ,178 ,0.43,0.34,0.14,0.83,5月3日,0.13,5月27日
03179 元大9Z,81730 ,1003000 ,17 ,0.08,0.08,0.01,0.15,5月4日,0.01,5月31日
03180 元大01,2260380 ,21749000 ,357 ,0.1,0.09,0.04,0.19,5月3日,0.03,5月27日
03181 元大02,4520 ,29000 ,5 ,0.16,0.22,0.13,0.38,5月3日,0.11,5月7日
03182 凱基93,4266600 ,7016000 ,252 ,0.61,0.62,0.44,1.02,5月4日,0.34,5月21日
03183P凱基94,13096010 ,13769000 ,415 ,0.95,0.97,1,1.28,5月21日,0.78,5月17日
03184 兆豐1F,676350 ,3385000 ,101 ,0.2,0.2,0.14,0.39,5月3日,0.1,5月7日
03185 兆豐1G,121800 ,120000 ,5 ,1.02,0.94,0.73,1.31,5月13日,0.73,5月27日
03186 兆豐1H,8888940 ,2079000 ,98 ,4.28,4.21,3.77,5.35,5月14日,2.95,5月25日
03187 兆豐1J,1471090 ,2599000 ,95 ,0.57,0.53,0.27,0.95,5月4日,0.16,5月26日
03188 兆豐1K,6045520 ,4459000 ,189 ,1.36,1.32,0.93,2,5月11日,0.67,5月21日
03189 兆豐1L,112290 ,701000 ,31 ,0.16,0.22,0.07,0.82,5月13日,0.07,5月27日
03190 兆豐1M,1924990 ,5081000 ,229 ,0.38,0.39,0.49,0.66,5月19日,0.21,5月21日
03191 兆豐1N,6552790 ,6959000 ,172 ,0.94,0.97,0.81,1.77,5月4日,0.46,5月26日
03192 兆豐1P,4790330 ,2270000 ,158 ,2.11,2.05,2.37,2.56,5月26日,1.16,5月7日
03193P兆豐1Q,3293910 ,2782000 ,243 ,1.18,1.07,1.03,1.59,5月25日,0.78,5月4日
03194 群益NS,2947280 ,4392000 ,237 ,0.67,0.61,0.39,0.94,5月4日,0.23,5月26日
03195 群益NT,330980 ,4335000 ,226 ,0.08,0.07,0.04,0.14,5月13日,0.03,5月27日
03196 群益NU,3024790 ,3284000 ,99 ,0.92,0.78,0.56,1.34,5月4日,0.35,5月26日
03197 統一BI,952580 ,4251000 ,90 ,0.22,0.24,0.13,0.58,5月3日,0.06,5月25日
03198 統一BK,150340 ,767000 ,14 ,0.2,0.17,0.04,0.33,5月4日,0.04,5月31日
03199 統一BL,396290 ,1651000 ,29 ,0.24,0.23,0.13,0.43,5月3日,0.13,5月31日
03200 統一BM,15360 ,38000 ,3 ,0.4,0.37,0.08,0.52,5月4日,0.08,5月18日
03201 統一BN,2198090 ,11410000 ,339 ,0.19,0.19,0.17,0.4,5月3日,0.06,5月25日
03202 統一BP,8957060 ,9907000 ,348 ,0.9,0.98,0.65,2.3,5月3日,0.43,5月27日
03203P統一BQ,6786280 ,6200000 ,164 ,1.09,1.11,0.84,1.59,5月25日,0.84,5月31日
03204 凱基96,19259950 ,21991000 ,460 ,0.88,0.8,0.51,1.51,5月3日,0.36,5月27日
03205 凱基97,1364030 ,1789000 ,37 ,0.76,0.62,0.35,0.95,5月4日,0.32,5月25日
03206P凱基98,2350330 ,7125000 ,197 ,0.33,0.31,0.29,0.46,5月21日,0.25,5月13日
03207P凱基99,2072650 ,2710000 ,120 ,0.76,0.75,0.87,1.05,5月25日,0.59,5月13日
03208 凱基1A,1172020 ,865000 ,37 ,1.35,1.36,1.62,1.67,5月20日,0.92,5月7日
03209 元大07,9431550 ,7987000 ,391 ,1.18,1.15,0.88,1.83,5月3日,0.69,5月21日
03210 元大08,692570 ,4805000 ,160 ,0.14,0.14,0.08,0.28,5月3日,0.04,5月25日
03211 元大09,3483440 ,10875000 ,274 ,0.32,0.31,0.27,0.68,5月3日,0.1,5月25日
03212 元大10,2415340 ,8691000 ,213 ,0.28,0.23,0.25,0.52,5月3日,0.1,5月26日
03213 元大11,671090 ,2404000 ,134 ,0.28,0.32,0.33,0.8,5月24日,0.13,5月21日
03214 元大12,660670 ,2777000 ,70 ,0.24,0.23,0.12,0.53,5月3日,0.03,5月26日
03215 元大13,827700 ,742000 ,52 ,1.12,1.11,0.72,1.5,5月4日,0.72,5月31日
03216 國泰EY,336990 ,3628000 ,64 ,0.09,0.09,0.03,0.22,5月4日,0.01,5月26日
03217 國泰EZ,194380 ,3151000 ,71 ,0.06,0.06,0.02,0.11,5月13日,0.01,5月26日
03218P國泰FA,8687300 ,5459000 ,259 ,1.59,1.54,1.2,2.41,5月25日,1.19,5月11日
03219 富邦M9,2335310 ,2785000 ,120 ,0.84,0.84,0.78,1.12,5月4日,0.67,5月7日
03220 富邦N1,3666340 ,6700000 ,299 ,0.55,0.59,0.45,0.94,5月4日,0.26,5月25日
03221 富邦N2,1190140 ,3460000 ,51 ,0.34,0.38,0.23,0.57,5月13日,0.18,5月27日
03222P富邦N3,586740 ,589000 ,20 ,1,0.95,1.09,1.23,5月27日,0.75,5月13日
03223 富邦N4,17103880 ,20087000 ,554 ,0.85,0.83,0.64,1.5,5月3日,0.37,5月25日
03224 富邦N5,48160 ,226000 ,9 ,0.21,0.16,0.09,0.26,5月5日,0.06,5月26日
03225 富邦N6,294740 ,1386000 ,36 ,0.21,0.27,0.12,0.48,5月5日,0.12,5月26日
03226 富邦N7,902350 ,4973000 ,100 ,0.18,0.24,0.13,0.63,5月4日,0.05,5月26日
03227 元富JT,449930 ,488000 ,26 ,0.92,1.12,0.58,1.71,5月4日,0.55,5月21日
03228 元富JU,628620 ,2518000 ,62 ,0.25,0.27,0.19,0.47,5月3日,0.12,5月21日
03229 元富JV,4578470 ,14257000 ,719 ,0.32,0.32,0.22,0.8,5月25日,0.06,5月25日
03230 元富JW,530490 ,4027000 ,50 ,0.13,0.12,0.04,0.24,5月3日,0.03,5月25日
03231 元富JX,775990 ,3380000 ,94 ,0.23,0.25,0.13,0.48,5月3日,0.1,5月27日
03232 元富JY,3059100 ,11802000 ,488 ,0.26,0.25,0.11,0.54,5月4日,0.05,5月27日
03233 元富JZ,854700 ,3200000 ,92 ,0.27,0.26,0.07,0.47,5月4日,0.07,5月25日
03234 元富KA,1745100 ,3565000 ,83 ,0.49,0.45,0.15,1,5月11日,0.08,5月26日
03235 元富KB,3351100 ,6085000 ,218 ,0.55,0.46,0.3,0.86,5月3日,0.23,5月21日
03236 元富KC,393690 ,216000 ,41 ,1.82,1.82,2.14,2.3,5月26日,1.06,5月7日
03237 元富KD,1233490 ,3631000 ,183 ,0.34,0.52,0.05,1.5,5月4日,0.05,5月28日
03238 大華GN,14812370 ,13115000 ,784 ,1.13,1.27,1.07,2.05,5月4日,0.77,5月27日
03239 大華GP,701230 ,3605000 ,92 ,0.19,0.25,0.08,0.66,5月4日,0.08,5月31日
03240 統一BR,1490470 ,2784000 ,60 ,0.54,0.51,0.27,0.77,5月3日,0.27,5月26日
03241 統一BS,1600 ,40000 ,1 ,0.04,0.04,0.04,0.04,5月13日,0.04,5月13日
03242 統一BT,229680 ,541000 ,19 ,0.42,0.46,0.12,0.88,5月4日,0.12,5月21日
03243 統一BU,9921360 ,8009000 ,488 ,1.24,1.34,1.07,3.17,5月4日,0.5,5月21日
03244 統一BV,1227200 ,1802000 ,84 ,0.68,0.6,0.35,0.97,5月3日,0.21,5月26日
03245 日盛MU,2957460 ,14726000 ,333 ,0.2,0.18,0.11,0.48,5月12日,0.03,5月31日
03246 日盛MV,1223140 ,4086000 ,78 ,0.3,0.26,0.14,0.4,5月14日,0.09,5月25日
03247 日盛MW,1958020 ,9619000 ,224 ,0.2,0.22,0.15,0.38,5月4日,0.06,5月25日
03248 日盛MX,4364950 ,3837000 ,154 ,1.14,1.1,1.12,1.31,5月20日,0.96,5月7日
03249 日盛MY,1111580 ,6906000 ,197 ,0.16,0.17,0.07,0.33,5月18日,0.04,5月27日
03250 凱基1B,987630 ,3642000 ,110 ,0.27,0.27,0.06,0.52,5月4日,0.05,5月26日
03251 凱基1C,2796820 ,11422000 ,276 ,0.24,0.22,0.22,0.41,5月3日,0.13,5月7日
03252 凱基1D,11032050 ,9924000 ,355 ,1.11,0.98,0.47,1.8,5月4日,0.36,5月26日
03253 凱基1E,1562970 ,6274000 ,147 ,0.25,0.38,0.22,0.93,5月4日,0.12,5月19日
03254P凱基1F,5584940 ,4369000 ,116 ,1.28,1.22,1.14,1.7,5月21日,0.86,5月3日
03255 永豐1H,289390 ,1334000 ,51 ,0.22,0.23,0.24,0.46,5月4日,0.12,5月21日
03256 永豐1J,2320740 ,3906000 ,89 ,0.59,0.49,0.42,0.65,5月3日,0.34,5月25日
03257 永豐1K,2482280 ,25855000 ,521 ,0.1,0.08,0.07,0.2,5月3日,0.04,5月26日
03258 永豐1L,969920 ,5564000 ,110 ,0.17,0.19,0.08,0.39,5月3日,0.04,5月27日
03259 永豐1M,1639190 ,5456000 ,135 ,0.3,0.4,0.27,0.74,5月3日,0.16,5月25日
03260 群益NV,2652430 ,3122000 ,123 ,0.85,0.82,0.54,1.77,5月3日,0.37,5月25日
03261 寶來63,3728620 ,11952000 ,227 ,0.31,0.23,0.09,0.58,5月4日,0.07,5月25日
03262P寶來64,11133280 ,10480000 ,394 ,1.06,0.96,0.92,1.56,5月19日,0.54,5月3日
03263 寶來65,2059640 ,2949000 ,66 ,0.7,0.73,0.58,1.08,5月3日,0.42,5月21日
03264P寶來66,5860000 ,9945000 ,299 ,0.59,0.57,0.56,0.75,5月21日,0.44,5月17日
03265 寶來67,2115740 ,1678000 ,63 ,1.26,1.24,0.91,1.7,5月4日,0.91,5月31日
03266 寶來68,2231320 ,2236000 ,138 ,1,0.96,0.53,1.73,5月3日,0.43,5月26日
03267 寶來69,1736960 ,1793000 ,40 ,0.97,0.87,0.74,1.2,5月19日,0.54,5月25日
03268 寶來70,967020 ,3303000 ,53 ,0.29,0.3,0.12,0.54,5月13日,0.11,5月25日
03269 寶來71,9244960 ,15379000 ,266 ,0.6,0.59,0.46,0.8,5月13日,0.37,5月25日
03270 寶來72,41270 ,110000 ,4 ,0.38,0.69,0.32,0.91,5月13日,0.32,5月27日
03271 寶來73,1867490 ,7072000 ,145 ,0.26,0.44,0.15,1.09,5月4日,0.11,5月27日
03272 寶來74,764770 ,227000 ,37 ,3.37,3.34,3.96,4.01,5月31日,2.54,5月21日
03273 寶來75,2672030 ,3237000 ,123 ,0.83,0.87,0.85,1.6,5月10日,0.21,5月26日
03274 寶來76,628880 ,3998000 ,111 ,0.16,0.16,0.04,0.28,5月3日,0.02,5月27日
03275 寶來77,2384670 ,1208000 ,45 ,1.97,1.74,1.47,2.32,5月4日,1.35,5月28日
03276 寶來78,4874100 ,13142000 ,183 ,0.37,0.38,0.2,0.78,5月4日,0.12,5月27日
03277P寶來79,1316240 ,1368000 ,48 ,0.96,1,0.99,1.48,5月25日,0.78,5月14日
03278 寶來80,210480 ,292000 ,21 ,0.72,0.57,0.28,0.94,5月4日,0.28,5月25日
03279 寶來81,35720 ,269000 ,6 ,0.13,0.13,0.13,0.14,5月3日,0.13,5月4日
03280 寶來82,3124820 ,8942000 ,233 ,0.35,0.38,0.21,0.79,5月3日,0.15,5月26日
03281 寶來83,38810 ,124000 ,3 ,0.31,0.19,0.11,0.34,5月3日,0.11,5月17日
03282 寶來84,569230 ,1713000 ,32 ,0.33,0.33,0.26,0.44,5月13日,0.2,5月26日
03283 寶來85,21960 ,74000 ,7 ,0.3,0.32,0.33,0.4,5月13日,0.21,5月26日
03284 永昌KQ,66400 ,140000 ,4 ,0.47,0.49,0.46,0.68,5月3日,0.34,5月10日
03285 永昌KR,60930 ,325000 ,13 ,0.19,0.18,0.09,0.25,5月19日,0.09,5月27日
03287 永昌KT,457480 ,627000 ,34 ,0.73,0.86,0.65,1.37,5月5日,0.4,5月25日
03288 凱基1G,1751720 ,6439000 ,206 ,0.27,0.31,0.08,0.8,5月4日,0.05,5月26日
03289 大華GQ,297180 ,2027000 ,68 ,0.15,0.11,0.06,0.48,5月21日,0.05,5月25日
03290 大華GR,29090 ,42000 ,11 ,0.69,0.55,0.31,1,5月4日,0.31,5月25日
03291 大華GS,53000 ,578000 ,11 ,0.09,0.09,0.08,0.1,5月27日,0.08,5月31日
03292 大華GT,1953820 ,3660000 ,87 ,0.53,0.44,0.24,0.77,5月3日,0.17,5月25日
03293 大華GU,4429150 ,609000 ,101 ,7.27,7.41,7.7,9.05,5月4日,6.05,5月12日
03294 大華GV,197660 ,2101000 ,58 ,0.09,0.07,0.01,0.16,5月18日,0.01,5月31日
03295 大華GW,149100 ,505000 ,21 ,0.3,0.26,0.06,0.47,5月3日,0.06,5月28日
03296 大華GX,707700 ,2665000 ,61 ,0.27,0.2,0.08,0.45,5月4日,0.08,5月27日
03297 大華GY,159660 ,596000 ,19 ,0.27,0.25,0.09,0.47,5月3日,0.05,5月25日
03298 大華GZ,271470 ,1408000 ,74 ,0.19,0.16,0.07,0.47,5月3日,0.07,5月27日
03299 大華HA,906480 ,818000 ,159 ,1.11,1.35,1.01,3.11,5月4日,0.58,5月21日
03300 大華HB,267540 ,386000 ,17 ,0.69,0.66,0.31,1.19,5月3日,0.25,5月25日
03301 大華HC,15592390 ,5429000 ,647 ,2.87,2.73,1.26,5.15,5月5日,0.95,5月25日
03302 元大14,14056230 ,12183000 ,615 ,1.15,1.63,1.03,3.08,5月3日,0.6,5月25日
03303 元大15,2443600 ,3536000 ,93 ,0.69,0.63,0.27,1.38,5月4日,0.2,5月26日
03304 元大16,391500 ,1229000 ,156 ,0.32,0.33,0.18,0.71,5月3日,0.11,5月27日
03305 元大17,2667550 ,4427000 ,146 ,0.6,0.61,0.52,1.22,5月3日,0.37,5月27日
03306 元大18,224260 ,262000 ,11 ,0.86,0.91,0.74,1.34,5月3日,0.72,5月27日
03307 元大19,1218980 ,3798000 ,110 ,0.32,0.26,0.11,0.58,5月4日,0.05,5月26日
03308 元大20,2527070 ,1500000 ,101 ,1.68,1.68,1.3,2.64,5月3日,1.01,5月27日
03309 元大21,837240 ,2089000 ,47 ,0.4,0.35,0.28,0.57,5月3日,0.24,5月26日
03310 兆豐1R,609840 ,1514000 ,62 ,0.4,0.36,0.11,0.88,5月3日,0.09,5月27日
03311 兆豐1S,5029700 ,449000 ,98 ,11.2,10.79,13.1,13.4,5月31日,7.9,5月21日
03312 兆豐1T,614500 ,1025000 ,49 ,0.6,0.67,0.8,1.06,5月18日,0.41,5月25日
03313 兆豐1U,30498640 ,21570000 ,1247 ,1.41,1.56,0.98,3.45,5月4日,0.27,5月25日
03314 兆豐1V,363640 ,2937000 ,65 ,0.12,0.13,0.13,0.25,5月3日,0.06,5月20日
03315 兆豐1W,404620 ,743000 ,28 ,0.54,0.52,0.37,1.13,5月3日,0.23,5月27日
03316 兆豐1X,8395330 ,4376000 ,230 ,1.92,2.28,2.1,3.11,5月3日,1.43,5月25日
03317 兆豐1Y,2486770 ,2460000 ,146 ,1.01,1.02,0.74,1.5,5月3日,0.63,5月24日
03318 兆豐1Z,19403270 ,7905000 ,639 ,2.45,2.49,2.24,3.3,5月19日,1.75,5月7日
03319 兆豐A1,1379960 ,344000 ,42 ,4.01,4.21,4.91,4.94,5月3日,3.31,5月7日
03320 兆豐A2,793510 ,1044000 ,85 ,0.76,0.7,0.49,1.13,5月10日,0.28,5月21日
03321 國泰FB,4198490 ,4794000 ,107 ,0.88,0.73,0.51,1.39,5月3日,0.29,5月25日
03322 國泰FC,586160 ,3773000 ,128 ,0.16,0.14,0.03,0.29,5月4日,0.01,5月24日
03323 國泰FD,27212620 ,30804000 ,736 ,0.88,0.91,0.71,1.92,5月6日,0.37,5月25日
03324 國泰FE,6389260 ,16992000 ,643 ,0.38,0.37,0.33,0.55,5月3日,0.19,5月25日
03325 元大22,5428170 ,6176000 ,228 ,0.88,0.88,0.97,1.32,5月3日,0.62,5月21日
03326 元大23,3350110 ,2448000 ,111 ,1.37,1.53,1.12,2.47,5月3日,1,5月27日
03327 元大24,669620 ,737000 ,25 ,0.91,0.98,0.53,1.41,5月3日,0.43,5月27日
03328 元大25,838900 ,1254000 ,55 ,0.67,0.57,0.2,1.03,5月4日,0.14,5月26日
03329 永豐1N,472500 ,3746000 ,105 ,0.13,0.11,0.05,0.42,5月3日,0.03,5月26日
03330 永豐1P,5104060 ,8347000 ,164 ,0.61,0.65,0.44,0.91,5月18日,0.29,5月26日
03331 永豐1Q,206580 ,900000 ,37 ,0.23,0.26,0.16,0.34,5月5日,0.15,5月25日
03332 永豐1R,236360 ,2356000 ,55 ,0.1,0.08,0.05,0.22,5月7日,0.01,5月27日
03333 永豐1S,6900 ,490000 ,23 ,0.01,0.02,0.01,0.08,5月3日,0.01,5月31日
03334 永豐1T,569420 ,685000 ,40 ,0.83,0.75,0.4,1.11,5月3日,0.26,5月25日
03335 永豐1U,72660 ,1212000 ,36 ,0.06,0.06,0.03,0.11,5月5日,0.01,5月27日
03336 群益NW,3299820 ,5256000 ,201 ,0.63,0.59,0.56,1.2,5月3日,0.34,5月26日
03337 工銀JB,378990 ,1492000 ,80 ,0.25,0.26,0.19,0.62,5月3日,0.13,5月27日
03338 工銀JC,254120 ,1734000 ,42 ,0.15,0.16,0.11,0.33,5月3日,0.05,5月25日
03339 工銀JD,874040 ,3260000 ,64 ,0.27,0.23,0.12,0.43,5月3日,0.1,5月26日
03340 工銀JE,2308990 ,8291000 ,116 ,0.28,0.29,0.28,0.5,5月3日,0.16,5月25日
03341 元富KF,1439790 ,2468000 ,149 ,0.58,0.53,0.36,0.93,5月3日,0.24,5月25日
03342P元富KG,35100 ,15000 ,1 ,2.34,2.34,2.34,2.34,5月6日,2.34,5月6日
03343 元富KH,10034810 ,17135000 ,484 ,0.59,0.48,0.22,1.27,5月3日,0.11,5月25日
03344P元富KJ,11478700 ,20759000 ,594 ,0.55,0.57,0.62,1.06,5月25日,0.26,5月3日
03345 元富KK,324220 ,743000 ,51 ,0.44,0.44,0.22,0.8,5月3日,0.21,5月21日
03346 元富KL,3990420 ,9144000 ,252 ,0.44,0.46,0.47,0.76,5月3日,0.25,5月21日
03347 元富KM,7383650 ,7359000 ,586 ,1,1.05,0.34,2.3,5月4日,0.23,5月25日
03348 元富KN,59280 ,160000 ,19 ,0.37,0.42,0.21,0.61,5月3日,0.21,5月31日
03349 元富KP,102040 ,176000 ,11 ,0.58,0.56,0.45,0.68,5月5日,0.42,5月24日
03350 元富KQ,2865170 ,5209000 ,196 ,0.55,0.49,0.38,0.83,5月3日,0.19,5月25日
03351 元富KR,106870 ,938000 ,30 ,0.11,0.13,0.07,0.25,5月3日,0.04,5月26日
03352 永豐1W,50460 ,386000 ,16 ,0.13,0.14,0.05,0.27,5月3日,0.05,5月26日
03353 永豐1X,1278720 ,6068000 ,141 ,0.21,0.19,0.05,0.37,5月4日,0.03,5月27日
03354 永豐1Y,970340 ,584000 ,56 ,1.66,1.69,1.71,1.98,5月20日,1.44,5月12日
03355 永豐1Z,268520 ,2504000 ,175 ,0.11,0.12,0.07,0.28,5月3日,0.04,5月27日
03356 群益NX,186730 ,680000 ,42 ,0.27,0.32,0.08,0.58,5月3日,0.07,5月26日
03357 群益NY,543490 ,210000 ,39 ,2.59,2.82,2.38,4.02,5月3日,1.49,5月24日
03358 國票BI,31150 ,64000 ,20 ,0.49,0.45,0.63,0.63,5月28日,0.28,5月25日
03359 國票BJ,243090 ,739000 ,43 ,0.33,0.33,0.47,0.5,5月4日,0.19,5月17日
03360 凱基1H,8811530 ,15628000 ,404 ,0.56,0.67,0.22,1.2,5月3日,0.13,5月27日
03361 凱基1J,3084340 ,1638000 ,65 ,1.88,1.61,1.72,2.55,5月3日,0.73,5月21日
03362 富邦N8,4685390 ,7689000 ,309 ,0.61,0.57,0.38,0.98,5月4日,0.25,5月27日
03363 富邦N9,610950 ,2807000 ,76 ,0.22,0.39,0.12,1.1,5月3日,0.06,5月25日
03364 富邦AA,37345550 ,21346000 ,366 ,1.75,1.87,1.6,3.41,5月3日,1.13,5月25日
03365 富邦AB,312220 ,453000 ,45 ,0.69,0.69,0.52,1.09,5月4日,0.32,5月26日
03366 富邦AC,1068700 ,3028000 ,79 ,0.35,0.33,0.27,0.54,5月4日,0.2,5月21日
03367 富邦AD,6546340 ,8419000 ,157 ,0.78,0.83,0.73,1.13,5月4日,0.58,5月27日
03368 富邦AE,12164810 ,3731000 ,141 ,3.26,3.42,3.12,4.35,5月12日,2.14,5月25日
03369 富邦AF,1081020 ,3425000 ,49 ,0.32,0.36,0.1,0.82,5月3日,0.1,5月25日
03370 富邦AG,3226220 ,17910000 ,368 ,0.18,0.2,0.2,0.35,5月3日,0.1,5月25日
03371 富邦AH,9473290 ,11908000 ,488 ,0.8,0.8,0.7,1.15,5月3日,0.45,5月25日
03372 亞東GS,1127060 ,2181000 ,72 ,0.52,0.34,0.13,1.03,5月3日,0.09,5月25日
03373P亞東GT,791610 ,1589000 ,64 ,0.5,0.45,0.58,0.73,5月25日,0.24,5月5日
03374 亞東GU,517040 ,3228000 ,114 ,0.16,0.2,0.16,0.35,5月3日,0.09,5月25日
03375P亞東GV,196370 ,842000 ,49 ,0.23,0.26,0.21,0.39,5月7日,0.16,5月11日
03376 亞東GW,299790 ,689000 ,17 ,0.44,0.33,0.15,0.56,5月11日,0.06,5月25日
