,民國99年06月,,,,,,,Jun-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
4133  亞諾法,549401173 ,6255337 ,4033 ,87.83,88.42,84.4,92.4,6月17日,81.8,6月30日,10.5
23 油電燃氣類,,,,,,,,,,,
"Oil, Gas and Electricity",,,,,,,,,,,
2616  山隆,117008987 ,7193892 ,2202 ,16.27,16.18,16.35,16.75,6月29日,15.55,6月7日,6.33
6505  台塑化,3806387631 ,48601283 ,20169 ,78.32,78.39,77.9,83.2,6月17日,74,6月7日,0.51
8926  台汽電,281228725 ,16730123 ,4495 ,16.81,16.79,16.9,17.2,6月28日,16.35,6月7日,3.16
9908  大台北,104428584 ,6064204 ,1212 ,17.22,17.26,17.15,17.5,6月21日,16.95,6月7日,1.17
9918  欣天然,4354924 ,163438 ,139 ,26.65,26.63,26.55,27.55,6月22日,26.05,6月30日,0.1
9926  新海,8253780 ,295508 ,186 ,27.93,27.87,27.7,28.65,6月23日,27.25,6月9日,0.23
9931  欣高,11093370 ,527227 ,296 ,21.04,21.15,21.6,21.8,6月28日,19.85,6月7日,0.56
9937  全國,229010888 ,6274946 ,1824 ,36.5,35.71,36.05,38.6,6月21日,33.8,6月7日,2.03
24 半導體業類,,,,,,,,,,,
Semiconductor,,,,,,,,,,,
1437  勤益,500940533 ,23980040 ,8434 ,20.89,20.16,20.4,22.3,6月23日,18.85,6月7日,11.76
2302  麗正,399100348 ,44852783 ,10372 ,8.9,8.65,8.62,9.89,6月22日,8.03,6月2日,28.51
2303  聯電,13023801185 ,894765635 ,143521 ,14.56,14.52,14.35,15.3,6月17日,13.75,6月9日,6.89
2311  日月光,11960569125 ,450537582 ,116938 ,26.55,26.71,25.65,27.75,6月21日,24.95,6月9日,8.2
2325  矽品,7986772262 ,222864105 ,74474 ,35.84,35.84,35.05,38.1,6月21日,33.8,6月9日,7.15
2329  華泰,599882232 ,68131110 ,14333 ,8.8,8.64,8.2,9.26,6月4日,8.06,6月2日,11.24
2330  台積電,55297657502 ,906871508 ,203939 ,60.98,60.93,60.6,63.7,6月21日,58.3,6月9日,3.5
2337  旺宏,9124333277 ,425472842 ,107169 ,21.45,21.39,21.35,22.75,6月24日,20,6月9日,12.78
2338  光罩,160981553 ,13837150 ,3595 ,11.63,11.36,11.3,12.2,6月24日,10.7,6月8日,4.08
2342  茂矽,1018362535 ,73795030 ,20933 ,13.8,13.67,14.05,14.75,6月29日,12.7,6月7日,10.91
2344  華邦電,1943084075 ,231170131 ,50088 ,8.41,8.36,8.15,9,6月21日,7.97,6月7日,6.32
2351  順德,1663244221 ,37524039 ,16674 ,44.32,43.85,40.3,47.5,6月4日,40.2,6月30日,21.62
2363  矽統,4687962385 ,220549207 ,65302 ,21.26,20.97,20.15,22.5,6月23日,19.7,6月30日,30.91
2369  菱生,5980645506 ,299586131 ,81291 ,19.96,19.37,19.55,22,6月24日,16.5,6月2日,81.41
2379  瑞昱,7105710849 ,97366089 ,47186 ,72.98,73.22,71.1,78,6月1日,70,6月30日,20.41
2401  凌陽,931658423 ,38926392 ,14289 ,23.93,23.82,22.55,24.8,6月4日,22.45,6月30日,6.52
2408  南科,3893505673 ,148517461 ,39876 ,26.22,25.92,25.25,27.6,6月29日,24.15,6月9日,4.33
