,民國99年06月,,,,,,,Jun-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
030350凱基9X,5324710 ,3265000 ,73 ,1.63,1.47,1.18,1.78,6月1日,1.13,6月30日
030351凱基9Y,2767420 ,3273000 ,101 ,0.85,0.86,0.9,1.21,6月29日,0.51,6月10日
030352凱基9Z,4837690 ,1976000 ,51 ,2.45,2.59,1.92,3.04,6月3日,1.88,6月30日
030353凱基A2,2008190 ,1646000 ,53 ,1.22,1.19,0.97,1.39,6月24日,0.94,6月7日
030354國泰JE,2167040 ,2013000 ,79 ,1.08,1.54,0.8,2.37,6月11日,0.77,6月30日
030355統一IP,1900630 ,2573000 ,82 ,0.74,0.77,0.67,0.92,6月21日,0.58,6月10日
030356工銀MA,751680 ,978000 ,33 ,0.77,0.82,0.7,1.03,6月24日,0.67,6月29日
030357工銀MB,55630 ,46000 ,4 ,1.21,1.16,1.12,1.33,6月3日,1.09,6月7日
030358工銀MC,1591310 ,1092000 ,67 ,1.46,1.44,1.23,1.62,6月11日,1.2,6月7日
030359工銀MD,2182330 ,1614000 ,34 ,1.35,1.43,1.28,1.68,6月21日,1.21,6月30日
03035P寶來46,9840 ,751000 ,50 ,0.01,0.03,0.01,0.07,6月9日,0.01,6月30日
03036 寶來47,11410 ,323000 ,7 ,0.04,0.04,0.01,0.1,6月14日,0.01,6月29日
030360元大HS,244080 ,150000 ,11 ,1.63,1.73,1.88,1.88,6月29日,1.59,6月9日
030361元大HU,13709350 ,6747000 ,106 ,2.03,1.88,1.73,2.21,6月1日,1.49,6月30日
030362元大HW,1492860 ,1650000 ,121 ,0.9,0.93,0.73,1.2,6月1日,0.73,6月30日
030363元大HX,5699250 ,2320000 ,208 ,2.46,2.38,2.01,2.9,6月24日,1.43,6月3日
030364元大HY,174070 ,89000 ,24 ,1.96,1.9,1.52,2.21,6月23日,1.52,6月30日
030365元大JA,10157010 ,6884000 ,229 ,1.48,1.45,1.3,1.9,6月22日,1,6月9日
030366永昌06,4589210 ,4355000 ,135 ,1.05,1.01,1.21,1.72,6月24日,0.75,6月8日
030367永昌07,457300 ,416000 ,6 ,1.1,1.1,1.19,1.19,6月8日,1.01,6月7日
030368永昌08,14000 ,20000 ,1 ,0.7,0.7,0.7,0.7,6月25日,0.7,6月25日
030369永昌09,492910 ,634000 ,29 ,0.78,0.79,0.61,0.97,6月21日,0.47,6月30日
03036P元富31,820520 ,1190000 ,31 ,0.69,0.72,0.79,0.92,6月9日,0.6,6月14日
030370永昌10,6900 ,6000 ,2 ,1.15,1.15,1.18,1.18,6月3日,1.12,6月2日
030371永昌11,170550 ,170000 ,9 ,1,1.03,0.91,1.29,6月24日,0.87,6月10日
030373永昌13,1478760 ,1787000 ,58 ,0.83,0.89,1,1.24,6月29日,0.7,6月30日
030374永昌14,20100 ,25000 ,3 ,0.8,0.79,0.75,0.91,6月25日,0.7,6月3日
030375永昌15,174460 ,100000 ,11 ,1.74,1.74,2.03,2.03,6月15日,1.57,6月8日
030376凱基A4,1173720 ,1020000 ,53 ,1.15,1.09,1,1.46,6月25日,0.78,6月10日
030377凱基A5,4310210 ,1703000 ,174 ,2.53,2.46,2.18,3,6月25日,1.57,6月2日
030378凱基A6,1225200 ,952000 ,53 ,1.29,1.28,1.37,1.47,6月2日,1.07,6月7日
030379凱基A7,1673330 ,1110000 ,37 ,1.51,1.51,1.38,1.75,6月17日,1.31,6月9日
03037P寶來48,1188360 ,2808000 ,41 ,0.42,0.44,0.47,0.54,6月9日,0.31,6月21日
03038 寶來49,105040 ,1262000 ,14 ,0.08,0.11,0.05,0.2,6月9日,0.05,6月29日
030380元大JB,2485450 ,2006000 ,116 ,1.24,1.23,0.86,1.7,6月21日,0.86,6月30日
030381元大JC,71612000 ,18259000 ,680 ,3.92,3.79,1.68,5.45,6月4日,1.68,6月30日
030382元大JE,172470 ,395000 ,22 ,0.44,0.44,0.37,0.5,6月8日,0.37,6月30日
030383元大JF,1233950 ,1992000 ,95 ,0.62,0.66,0.49,0.84,6月22日,0.48,6月30日
030384國泰JH,430860 ,524000 ,20 ,0.82,0.9,0.56,1.13,6月15日,0.56,6月30日
030385富邦GC,5997570 ,7497000 ,170 ,0.8,0.76,0.62,1.02,6月21日,0.5,6月8日
030386富邦GD,5338320 ,12708000 ,403 ,0.42,0.61,0.29,0.91,6月3日,0.27,6月30日
030387富邦GE,3314050 ,2147000 ,138 ,1.54,2.38,3.15,3.69,6月24日,0.88,6月1日
030388富邦GF,2393830 ,3791000 ,95 ,0.63,0.63,0.54,0.71,6月24日,0.54,6月30日
030389富邦GG,8404530 ,4008000 ,261 ,2.1,2.08,2.02,2.86,6月21日,1.28,6月7日
03038P日盛A4,443360 ,933000 ,40 ,0.48,0.48,0.38,0.68,6月9日,0.33,6月17日
03039 寶來50,1314310 ,7941000 ,162 ,0.17,0.15,0.2,0.84,6月30日,0.05,6月11日
030390富邦GH,1614640 ,1232000 ,19 ,1.31,1.32,1.26,1.37,6月15日,1.24,6月28日
030391富邦GJ,307300 ,482000 ,31 ,0.64,0.63,0.5,0.8,6月1日,0.5,6月29日
030392富邦GK,3434960 ,2842000 ,72 ,1.21,1.18,0.96,1.55,6月9日,0.91,6月29日
030393大華2S,1270750 ,1698000 ,64 ,0.75,0.81,0.79,1.06,6月17日,0.54,6月2日
030394大華2T,319500 ,300000 ,7 ,1.06,1.06,0.9,1.18,6月4日,0.9,6月17日
030395大華2U,3279460 ,2809000 ,65 ,1.17,1.14,1.13,1.29,6月28日,0.96,6月7日
030396第一83,5100 ,10000 ,1 ,0.51,0.51,0.51,0.51,6月23日,0.51,6月23日
030398第一85,10300 ,28000 ,6 ,0.37,0.41,0.32,0.57,6月4日,0.24,6月23日
03039P日盛A5,772420 ,338000 ,10 ,2.29,2.55,2.54,3.35,6月10日,1.96,6月29日
03040 寶來51,22940 ,763000 ,13 ,0.03,0.03,0.02,0.05,6月3日,0.01,6月15日
030400第一87,328550 ,473000 ,17 ,0.69,0.6,0.46,0.8,6月21日,0.46,6月30日
030402第一89,567810 ,607000 ,38 ,0.94,0.93,0.94,1.06,6月23日,0.79,6月7日
030403第一90,14400 ,20000 ,2 ,0.72,0.72,0.7,0.74,6月4日,0.7,6月11日
030404第一91,1379040 ,1218000 ,59 ,1.13,1.22,1.07,1.72,6月23日,0.89,6月10日
030405第一92,138400 ,120000 ,7 ,1.15,1.16,1.17,1.24,6月11日,1.09,6月17日
030406永豐H6,3779160 ,6814000 ,130 ,0.55,0.52,0.37,0.64,6月22日,0.37,6月30日
030407永豐H7,54900 ,60000 ,2 ,0.92,0.92,0.97,0.97,6月14日,0.86,6月11日
030408永豐H8,39610 ,94000 ,10 ,0.42,0.41,0.33,0.46,6月21日,0.33,6月28日
030409永豐H9,471930 ,1131000 ,64 ,0.42,0.37,0.31,0.54,6月17日,0.26,6月30日
03040P日盛A7,3230650 ,3830000 ,200 ,0.84,0.9,1,1.33,6月7日,0.64,6月21日
03041 寶來52,1510 ,83000 ,5 ,0.02,0.02,0.01,0.03,6月21日,0.01,6月30日
030410永豐J1,45840 ,102000 ,3 ,0.45,0.44,0.42,0.46,6月22日,0.42,6月23日
030411永豐J2,1515840 ,1971000 ,79 ,0.77,0.67,0.62,0.9,6月29日,0.36,6月10日
030412永豐J3,45750 ,70000 ,6 ,0.65,0.67,0.69,0.86,6月3日,0.56,6月9日
030413永豐J4,587710 ,1280000 ,21 ,0.46,0.46,0.41,0.53,6月21日,0.39,6月9日
030414永豐J5,765590 ,1291000 ,43 ,0.59,0.56,0.44,0.67,6月4日,0.44,6月30日
030415永豐J6,631110 ,575000 ,18 ,1.1,1.08,0.99,1.2,6月24日,0.93,6月30日
030416永豐J7,3545150 ,5410000 ,155 ,0.66,0.63,0.45,0.96,6月4日,0.42,6月30日
030417永豐J8,11850 ,17000 ,5 ,0.7,0.7,0.61,0.76,6月15日,0.6,6月30日
030418永豐J9,3085400 ,1962000 ,39 ,1.57,1.57,1.44,2.16,6月21日,1.12,6月9日
030419永豐K2,34450 ,70000 ,7 ,0.49,0.5,0.63,0.63,6月22日,0.4,6月10日
03041P寶來H4,2458010 ,6237000 ,113 ,0.39,0.36,0.37,0.47,6月8日,0.29,6月21日
03042 寶來53,9140 ,278000 ,3 ,0.03,0.04,0.03,0.04,6月10日,0.03,6月15日
030420群益K8,290950 ,236000 ,14 ,1.23,1.19,1.05,1.31,6月25日,1.05,6月30日
030421群益K9,95480 ,99000 ,12 ,0.96,0.91,0.68,1.08,6月4日,0.68,6月30日
030422群益L1,724740 ,990000 ,17 ,0.73,0.74,0.65,0.84,6月29日,0.63,6月30日
030423大展E1,1326060 ,1468000 ,48 ,0.9,0.97,0.93,1.66,6月28日,0.74,6月2日
030424工銀MF,16329550 ,13133000 ,314 ,1.24,1.25,1.24,1.82,6月24日,0.96,6月7日
030425工銀MG,2631590 ,2248000 ,34 ,1.17,1.16,1.23,1.29,6月15日,0.98,6月8日
030426工銀MH,98230 ,92000 ,9 ,1.07,1.06,1.09,1.12,6月18日,0.95,6月14日
030427工銀MJ,1475740 ,1757000 ,34 ,0.84,0.86,0.75,1.12,6月22日,0.58,6月30日
030428亞東KW,892750 ,1228000 ,62 ,0.73,0.68,0.5,0.88,6月3日,0.5,6月30日
030429亞東KX,159440 ,152000 ,16 ,1.05,1.07,1.51,1.51,6月29日,0.8,6月4日
03042P寶來H6,3464810 ,20775000 ,471 ,0.17,0.18,0.12,0.27,6月9日,0.11,6月29日
03043 寶來54,2000 ,160000 ,4 ,0.01,0.02,0.01,0.02,6月18日,0.01,6月23日
030430亞東KY,2021670 ,3321000 ,180 ,0.61,0.54,0.55,0.81,6月29日,0.46,6月24日
030431亞東KZ,189740 ,246000 ,17 ,0.77,0.76,0.6,0.9,6月4日,0.6,6月30日
030432亞東LA,9124540 ,11413000 ,211 ,0.8,1.09,0.46,1.66,6月3日,0.45,6月30日
030433亞東LB,3939680 ,2774000 ,79 ,1.42,1.4,1.19,1.83,6月17日,0.97,6月7日
030434國泰JJ,804210 ,716000 ,21 ,1.12,1.07,0.88,1.2,6月23日,0.88,6月30日
030435國泰JK,114230 ,95000 ,13 ,1.2,1.26,0.97,1.56,6月21日,0.97,6月30日
030436富邦GL,3065420 ,1877000 ,136 ,1.63,1.61,1.59,2.33,6月28日,1.03,6月7日
030437富邦GM,1029140 ,948000 ,90 ,1.09,0.87,0.96,1.3,6月28日,0.61,6月7日
030438富邦GN,894380 ,966000 ,75 ,0.93,0.81,0.75,0.99,6月28日,0.62,6月9日
030439富邦GP,1762340 ,2610000 ,101 ,0.68,0.72,0.3,1,6月3日,0.29,6月30日
03043P寶來H8,6621890 ,29049000 ,532 ,0.23,0.23,0.25,0.32,6月9日,0.18,6月24日
03044 寶來55,9480 ,348000 ,7 ,0.03,0.04,0.01,0.13,6月10日,0.01,6月28日
030440日盛A8,235530 ,153000 ,21 ,1.54,1.52,1.8,2.05,6月21日,1.15,6月9日
030441日盛B2,3086720 ,2386000 ,92 ,1.29,1.27,1.27,1.4,6月17日,1.11,6月30日
030442日盛B3,968910 ,870000 ,46 ,1.11,1.08,0.88,1.32,6月24日,0.7,6月8日
030443日盛B5,499240 ,287000 ,36 ,1.74,1.72,1.61,2.08,6月21日,1.3,6月9日
030444日盛B7,1914360 ,1627000 ,62 ,1.18,1.02,1.15,1.39,6月28日,0.72,6月9日
030445日盛B8,1651870 ,1400000 ,39 ,1.18,1.35,0.92,1.68,6月15日,0.9,6月30日
030446日盛B9,3734480 ,3522000 ,263 ,1.06,0.93,1.01,1.34,6月29日,0.67,6月9日
030447元大JR,889550 ,763000 ,102 ,1.17,1.11,1.02,1.37,6月24日,0.86,6月9日
030448元大JS,85460 ,125000 ,7 ,0.68,0.66,0.68,0.69,6月17日,0.64,6月14日
030449元大JT,8512910 ,4236000 ,108 ,2.01,1.83,1.71,2.29,6月28日,1.5,6月7日
03044P寶來J1,17620 ,63000 ,12 ,0.28,0.28,0.28,0.3,6月14日,0.27,6月30日
03045 寶來56,50000 ,2309000 ,49 ,0.02,0.03,0.01,0.08,6月1日,0.01,6月29日
030450元大JU,10760 ,4000 ,3 ,2.69,2.69,2.67,2.71,6月9日,2.67,6月14日
030451元大JV,10503600 ,4155000 ,322 ,2.53,2.47,3.02,3.5,6月24日,1.77,6月9日
030452元大JW,677790 ,519000 ,17 ,1.31,1.33,1.42,1.52,6月23日,1.16,6月15日
030453永豐K3,832910 ,1485000 ,34 ,0.56,0.52,0.4,0.66,6月23日,0.4,6月30日
030454永豐K4,738130 ,905000 ,22 ,0.82,0.8,0.78,0.92,6月21日,0.71,6月30日
030455永豐K5,201050 ,146000 ,17 ,1.38,1.35,1.3,1.58,6月24日,1.21,6月9日
030456永豐K6,3807010 ,11938000 ,277 ,0.32,0.38,0.23,0.74,6月4日,0.22,6月30日
030457元大JG,3062620 ,2747000 ,93 ,1.11,1.09,0.95,1.28,6月23日,0.89,6月9日
030458元大JH,1098590 ,880000 ,33 ,1.25,1.15,1.08,1.37,6月21日,0.95,6月7日
030459元大JJ,5731080 ,4127000 ,165 ,1.39,1.32,1.05,1.58,6月24日,1,6月30日
03045P寶來J5,1246060 ,1367000 ,44 ,0.91,0.86,0.76,1.03,6月1日,0.76,6月30日
030460元大JK,4523800 ,5067000 ,136 ,0.89,0.82,0.67,1.08,6月14日,0.64,6月7日
030461元大JL,5603640 ,7873000 ,214 ,0.71,0.65,0.55,0.87,6月24日,0.48,6月10日
030462元大JM,1080320 ,563000 ,37 ,1.92,2,1.7,2.47,6月22日,1.56,6月10日
030463元大JN,1574870 ,804000 ,44 ,1.96,1.97,1.65,2.38,6月17日,1.4,6月7日
030464元大JQ,624020 ,1149000 ,63 ,0.54,0.53,0.36,0.7,6月24日,0.36,6月30日
030465寶來J6,195230 ,303000 ,24 ,0.64,0.61,0.4,0.91,6月21日,0.4,6月30日
030466寶來J8,595140 ,434000 ,42 ,1.37,1.43,1.02,1.81,6月22日,1,6月9日
030467寶來J9,1202980 ,921000 ,62 ,1.31,1.22,1.29,1.68,6月22日,0.67,6月8日
030468寶來K1,212300 ,275000 ,24 ,0.77,0.72,0.63,0.87,6月23日,0.62,6月30日
030469寶來K2,4741310 ,3123000 ,136 ,1.52,1.29,1.52,1.77,6月25日,0.99,6月9日
03046P富邦GB,10675720 ,10246000 ,454 ,1.04,1.01,1.21,1.5,6月8日,0.76,6月21日
03047 寶來58,25200 ,1244000 ,20 ,0.02,0.02,0.01,0.1,6月4日,0.01,6月30日
030470寶來K3,3300970 ,1731000 ,145 ,1.91,2,1.33,2.61,6月15日,1.28,6月30日
030471寶來K4,1303660 ,845000 ,27 ,1.54,1.54,1.4,1.91,6月24日,1.2,6月30日
030472寶來K5,1198300 ,867000 ,59 ,1.38,1,1.16,2,6月14日,0.7,6月10日
030473寶來K6,6062480 ,4224000 ,176 ,1.44,1.41,1.18,1.89,6月17日,0.91,6月8日
030474寶來K7,1963690 ,1658000 ,46 ,1.18,1.12,0.91,1.39,6月9日,0.91,6月30日
030475兆豐BY,4688090 ,3201000 ,120 ,1.46,1.38,1.09,1.61,6月24日,1.07,6月30日
030476兆豐BZ,29850 ,19000 ,5 ,1.57,1.52,1.44,1.64,6月22日,1.4,6月8日
030477兆豐CA,8119800 ,12540000 ,630 ,0.65,0.76,0.5,1.02,6月21日,0.45,6月8日
030478兆豐CB,1631230 ,1077000 ,55 ,1.51,1.59,1.6,1.8,6月17日,1.27,6月9日
030479兆豐CC,1408950 ,1623000 ,47 ,0.87,0.98,0.68,1.3,6月21日,0.68,6月30日
03047P元富35,2443680 ,2145000 ,56 ,1.14,1.18,1.4,1.49,6月9日,0.96,6月17日
03048 寶來59,11220 ,923000 ,30 ,0.01,0.01,0.01,0.02,6月24日,0.01,6月29日
030480兆豐CD,907810 ,588000 ,25 ,1.54,1.53,1.44,1.61,6月22日,1.44,6月29日
030481兆豐CE,2439020 ,1141000 ,56 ,2.14,2.08,1.67,2.58,6月22日,1.61,6月30日
030482兆豐CF,44540 ,34000 ,4 ,1.31,1.31,1.33,1.33,6月14日,1.29,6月11日
030483兆豐CG,301810 ,141000 ,24 ,2.14,2.16,2.2,2.68,6月22日,1.59,6月7日
030484兆豐CH,256980 ,158000 ,19 ,1.63,1.57,1.38,1.8,6月22日,1.38,6月30日
030485兆豐CJ,1098450 ,816000 ,70 ,1.35,1.33,1.08,1.5,6月22日,1.05,6月10日
030486兆豐CK,2060 ,2000 ,1 ,1.03,1.03,1.03,1.03,6月9日,1.03,6月9日
030487兆豐CL,2947490 ,2618000 ,97 ,1.13,1.03,1.18,1.37,6月28日,0.78,6月10日
030488兆豐CM,199400 ,210000 ,21 ,0.95,0.92,0.84,0.97,6月14日,0.84,6月30日
030489兆豐CN,1185440 ,1162000 ,45 ,1.02,1.11,0.85,1.38,6月22日,0.85,6月30日
03048P元富37,2720140 ,1532000 ,75 ,1.78,1.7,1.84,1.98,6月28日,1.47,6月1日
03049 寶來60,19460 ,1089000 ,31 ,0.02,0.03,0.01,0.08,6月9日,0.01,6月29日
030490兆豐CP,2209230 ,2002000 ,163 ,1.1,1.07,0.75,1.33,6月11日,0.75,6月30日
030491兆豐CQ,1265510 ,766000 ,49 ,1.65,1.83,1.63,2.34,6月21日,1.34,6月9日
030492大華2V,5526380 ,5500000 ,200 ,1,1,0.81,1.32,6月24日,0.71,6月10日
030493大華2W,184480 ,184000 ,18 ,1,0.93,0.71,1.17,6月24日,0.64,6月7日
030494大華2X,520090 ,458000 ,38 ,1.14,1.09,0.91,1.41,6月17日,0.78,6月30日
030495大華2Y,458600 ,329000 ,5 ,1.39,1.52,1.43,1.74,6月4日,1.36,6月7日
030496大華2Z,18457940 ,8065000 ,326 ,2.29,2.25,1.98,3.02,6月22日,1.5,6月9日
030497統一IQ,3853120 ,2342000 ,235 ,1.65,1.65,1.6,1.99,6月21日,1.3,6月30日
030498統一IS,647240 ,594000 ,38 ,1.09,1.1,1.07,1.23,6月11日,0.95,6月9日
030499統一IT,2731250 ,2242000 ,115 ,1.22,1.13,0.75,1.44,6月24日,0.75,6月30日
03049P元富39,113280 ,256000 ,20 ,0.44,0.48,0.52,0.62,6月9日,0.36,6月17日
030500統一IU,6323740 ,8834000 ,225 ,0.72,0.71,0.72,0.97,6月21日,0.51,6月7日
030501統一IV,639640 ,518000 ,10 ,1.23,1.29,1.37,1.37,6月11日,1.1,6月10日
030502國泰JL,1802880 ,2324000 ,45 ,0.78,0.75,0.53,0.93,6月22日,0.53,6月30日
030503國泰JM,9434020 ,8469000 ,122 ,1.11,1.12,1.19,1.44,6月24日,0.69,6月9日
030504國泰JN,6077310 ,3377000 ,286 ,1.8,1.71,2.08,2.6,6月24日,1.26,6月9日
030505國泰JP,14611570 ,6437000 ,252 ,2.27,2.36,1.98,2.91,6月21日,1.66,6月9日
030506國泰JQ,533970 ,384000 ,10 ,1.39,1.36,1.41,1.54,6月21日,1.04,6月9日
030507群益L2,7160040 ,1541000 ,49 ,4.65,4.36,4.05,5.25,6月21日,3.56,6月7日
030508群益L5,69140 ,103000 ,5 ,0.67,0.79,0.6,0.92,6月24日,0.6,6月30日
030509群益L6,374850 ,170000 ,15 ,2.2,2.2,2.32,2.32,6月24日,1.98,6月10日
03050P兆豐BL,23300 ,20000 ,2 ,1.16,1.16,1.29,1.29,6月30日,1.04,6月29日
030511群益L8,40730 ,34000 ,5 ,1.2,1.19,1.19,1.22,6月23日,1.13,6月18日
030512群益L9,1145810 ,429000 ,57 ,2.67,2.56,1.86,3.16,6月11日,1.86,6月30日
030513富邦GR,1362980 ,921000 ,20 ,1.48,1.44,1.25,1.81,6月21日,1.21,6月11日
030514富邦GS,3000 ,4000 ,2 ,0.75,0.75,0.65,0.85,6月14日,0.65,6月29日
030515富邦GT,3927620 ,2108000 ,84 ,1.86,1.92,1.67,2.26,6月28日,1.41,6月28日
030516富邦GU,1083220 ,875000 ,38 ,1.24,1.24,1.26,1.32,6月24日,1.09,6月15日
030517富邦GV,8679520 ,7797000 ,198 ,1.11,1.07,0.71,1.41,6月17日,0.7,6月30日
030518富邦GW,1769510 ,1546000 ,39 ,1.14,1.07,1,1.3,6月21日,0.92,6月10日
030519富邦GX,1203550 ,1115000 ,36 ,1.08,1.05,0.8,1.27,6月21日,0.8,6月30日
03051P寶來62,15254400 ,2749000 ,272 ,5.55,5.49,4.31,6.5,6月10日,4.12,6月24日
03052 凱基71,212010 ,1559000 ,28 ,0.14,0.13,0.11,0.17,6月24日,0.09,6月23日
030520富邦GY,19320040 ,13285000 ,422 ,1.45,1.46,1.16,2.17,6月8日,1.1,6月30日
030521日盛C1,4750720 ,1970000 ,49 ,2.41,2.44,2.11,2.91,6月21日,1.77,6月10日
030522日盛C2,1106140 ,1521000 ,49 ,0.73,0.76,0.61,0.92,6月17日,0.59,6月30日
030523日盛C3,19890 ,34000 ,8 ,0.58,0.59,0.57,0.62,6月24日,0.57,6月29日
030524凱基A9,629690 ,618000 ,27 ,1.02,1.11,0.99,1.29,6月22日,0.92,6月30日
030525凱基B1,16520 ,13000 ,2 ,1.27,1.3,1.25,1.34,6月8日,1.25,6月29日
030526凱基B2,3552550 ,2075000 ,118 ,1.71,1.76,1.57,2.22,6月24日,1.08,6月8日
030527凱基B3,2141870 ,2200000 ,107 ,0.97,0.91,0.85,1.09,6月29日,0.64,6月7日
030528凱基B4,1868610 ,848000 ,39 ,2.2,2.23,1.98,2.63,6月25日,1.81,6月30日
030529凱基B5,1924600 ,808000 ,10 ,2.38,2.32,2.31,2.46,6月14日,2.2,6月25日
03052P元大HN,1565070 ,1035000 ,39 ,1.51,1.45,1.76,1.78,6月30日,1.22,6月17日
03053 凱基72,10800 ,42000 ,4 ,0.26,0.24,0.2,0.3,6月1日,0.19,6月22日
030530凱基B6,53400 ,60000 ,2 ,0.89,0.89,0.9,0.9,6月15日,0.88,6月14日
030531凱基B7,565280 ,308000 ,49 ,1.84,1.6,1.22,2.2,6月23日,1.22,6月30日
030532凱基B8,576490 ,510000 ,20 ,1.13,1.17,1.09,1.34,6月11日,1.09,6月29日
030533凱基B9,989760 ,343000 ,29 ,2.89,2.84,2.51,3.15,6月18日,2.51,6月30日
030534凱基C1,315050 ,440000 ,34 ,0.72,0.76,0.61,0.94,6月21日,0.57,6月30日
030535凱基C2,111920 ,165000 ,26 ,0.68,0.66,0.6,0.8,6月22日,0.48,6月10日
030536永豐K7,552530 ,757000 ,54 ,0.73,0.74,0.66,0.97,6月15日,0.57,6月9日
030537永豐K8,11400 ,20000 ,1 ,0.57,0.57,0.57,0.57,6月30日,0.57,6月30日
030539永豐L1,1514660 ,2139000 ,54 ,0.71,0.61,0.62,0.9,6月28日,0.42,6月8日
03053P元大HR,132300 ,120000 ,8 ,1.1,1.09,1.11,1.17,6月9日,1.04,6月25日
030540永豐L2,499340 ,350000 ,27 ,1.43,1.37,1.43,1.57,6月24日,1.12,6月22日
030541大華3A,857460 ,606000 ,34 ,1.41,1.37,1.08,1.74,6月22日,1.08,6月30日
030542大華3C,504930 ,605000 ,8 ,0.83,0.86,0.82,0.89,6月11日,0.81,6月30日
030543統一IW,10036250 ,9388000 ,173 ,1.07,1,0.61,1.24,6月21日,0.61,6月30日
030544統一IX,2871140 ,3088000 ,97 ,0.93,0.93,0.87,1.11,6月29日,0.63,6月10日
030545統一IY,714670 ,891000 ,49 ,0.8,0.85,0.81,0.98,6月29日,0.61,6月9日
030546統一IZ,2002800 ,1742000 ,65 ,1.15,0.97,0.97,1.23,6月22日,0.64,6月10日
030547統一JA,1015050 ,1212000 ,16 ,0.84,0.84,0.71,0.89,6月15日,0.71,6月28日
030548統一JB,4920840 ,4169000 ,71 ,1.18,1.03,0.75,1.55,6月9日,0.73,6月30日
030549兆豐CR,885050 ,748000 ,40 ,1.18,1.2,1.05,1.44,6月21日,0.94,6月8日
03054P凱基9W,4029830 ,2270000 ,100 ,1.78,1.94,1.89,2.79,6月7日,1.41,6月21日
03055 凱基74,1200 ,20000 ,2 ,0.06,0.06,0.06,0.06,6月3日,0.06,6月3日
030550元大JX,408540 ,386000 ,14 ,1.06,1.04,1.12,1.22,6月24日,0.82,6月11日
030551元大JY,634010 ,1258000 ,32 ,0.5,0.47,0.45,0.53,6月14日,0.41,6月25日
030552元大JZ,2402960 ,1253000 ,75 ,1.92,1.72,1.46,2.19,6月23日,1.09,6月10日
030553元大KA,5879140 ,4440000 ,75 ,1.32,1.33,1.14,1.53,6月24日,1.1,6月30日
030554元大KB,516130 ,350000 ,27 ,1.47,1.45,1.26,1.65,6月21日,1.26,6月30日
030555元大KC,922450 ,785000 ,51 ,1.18,1.15,0.95,1.43,6月24日,0.92,6月10日
030556元大KD,3326730 ,2959000 ,131 ,1.12,1.11,0.89,1.35,6月21日,0.85,6月30日
030557元大KF,3040410 ,1718000 ,149 ,1.77,1.7,1.47,1.98,6月18日,1.47,6月30日
030558元大KH,2650220 ,1072000 ,41 ,2.47,2.42,2.04,2.67,6月15日,2.04,6月30日
03056 凱基75,1442700 ,12253000 ,162 ,0.12,0.15,0.02,0.33,6月2日,0.02,6月30日
030560群益M2,75200 ,40000 ,3 ,1.88,1.94,1.69,2.08,6月14日,1.69,6月28日
030561群益M3,75760040 ,41598000 ,777 ,1.82,1.88,1.35,2.42,6月21日,1.3,6月9日
030562群益M4,56400 ,40000 ,2 ,1.41,1.41,1.39,1.43,6月11日,1.39,6月15日
030563群益M5,711810 ,381000 ,46 ,1.87,1.84,1.55,2.06,6月10日,1.47,6月30日
030564寶來K8,1894250 ,3551000 ,185 ,0.53,0.54,0.41,0.66,6月21日,0.37,6月10日
030565寶來L1,297990 ,204000 ,26 ,1.46,1.44,1.43,1.58,6月15日,1.29,6月11日
030566寶來L3,2801130 ,2334000 ,104 ,1.2,1.22,1.03,1.46,6月21日,0.98,6月10日
030567寶來L5,1377720 ,1325000 ,55 ,1.04,1.08,0.68,1.5,6月21日,0.68,6月30日
030568寶來L7,35630 ,63000 ,7 ,0.57,0.53,0.46,0.67,6月21日,0.46,6月30日
030569寶來L9,63700 ,50000 ,5 ,1.27,1.27,1.33,1.33,6月24日,1.24,6月15日
03056P凱基A3,1302540 ,1368000 ,21 ,0.95,0.99,1,1.17,6月10日,0.83,6月24日
03057 凱基76,4450 ,117000 ,22 ,0.04,0.15,0.01,1.25,6月23日,0.01,6月29日
030570寶來M2,313590 ,422000 ,22 ,0.74,0.84,0.97,0.97,6月30日,0.64,6月9日
030571寶來M3,1109560 ,850000 ,74 ,1.31,1.24,0.98,1.53,6月24日,0.87,6月30日
030573寶來M5,255100 ,200000 ,14 ,1.28,1.23,1.14,1.36,6月21日,1.14,6月29日
030574寶來M6,3667680 ,2169000 ,92 ,1.69,1.82,1.68,2.33,6月24日,1.2,6月14日
030575寶來M7,62900 ,50000 ,2 ,1.26,1.24,1.24,1.27,6月30日,1.24,6月30日
030576寶來M8,1672470 ,1866000 ,61 ,0.9,0.84,0.86,1.15,6月29日,0.71,6月18日
030577寶來M9,1118770 ,2250000 ,47 ,0.5,0.49,0.41,0.57,6月24日,0.41,6月30日
030579寶來N2,1508580 ,1106000 ,32 ,1.36,1.38,1.31,1.7,6月23日,1.1,6月9日
03057P國泰JF,1404330 ,761000 ,36 ,1.85,1.67,2.42,2.44,6月30日,1.34,6月4日
