櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
"102年1月  Jan., 13",,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 295,799,422,390元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,506,985筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,878,106,691股",,,,,,4. 成交量週轉率： 13.17%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
"代 號
 Code",股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,"總  成  交  量
（ 股 ）　　　Total Trading Volume　　　　　（Share）","總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比      P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
4533,協易機械,178220921,16087439,5404,11.07,11.8,10.2,10.68,11.35,10.91,7.58,11.21,0.78
4534,慶騰精密,2143008,257320,151,8.32,8.78,7.68,8.31,8.5,N/A,0,0.39,0.86
4535,至興精機,38445172,1002669,763,38.34,39.8,37.55,38.45,39.8,11.15,7.54,1.33,1.53
6122,擎邦國際,38369146,2860949,1276,13.41,13.95,12.6,13.3,13.5,17.31,7.41,4.16,0.83
6603,富強鑫  ,265686192,19536028,6219,13.59,15.1,11.5,12.43,14.75,22.35,3.39,17.45,0.96
6609,瀧澤科技,225081693,11480428,4918,19.6,20.65,17.8,18.67,19.8,8.61,7.58,16.16,0.95
8083,瑞穎    ,23922347,408186,261,58.6,60.9,56.9,58.5,58.5,10.91,5.13,1.35,3.3
8255,朋程    ,252870621,3628841,2699,69.68,73.8,66.6,69.19,68.4,15.58,6.58,4.85,2.27
8996,高力    ,1143743607,25280893,15619,45.24,50.5,38.2,44.18,47.7,23.61,3.14,36.17,2.47
9951,皇田工業,80253144,1922652,1157,41.74,42.9,40.95,41.7,42,9.44,5.95,2.57,2.74
2061,風青    ,6278261,269699,158,23.27,25.4,21.75,23.42,23.25,N/A,0.86,0.65,1.89
4609,唐鋒實業,31832139,2108750,1085,15.09,16.25,14.5,14.92,14.65,N/A,0,4.4,1.27
2035,唐榮公司,19167120,632051,355,30.32,32.1,29.4,30.07,30.2,44.41,0,0.18,1.44
2063,世鎧精密,137400695,4811241,3000,28.55,30.85,26.05,27.66,26.15,23.99,11.47,11.68,1.88
5009,榮剛材料,2484529292,101568973,36304,24.46,25.4,22.95,24.1,24.05,11.24,6.11,23.86,1.27
5011,久陽精密,122848013,5673151,179,21.65,22.8,20.55,21.62,21.65,7.08,8.31,17.39,1.69
5013,強新工業,24722341,2105182,747,11.74,12.15,11.25,11.64,11.55,23.1,6.06,2.11,0.79
5014,建錩實業,25373900,3350849,1126,7.57,8.19,7,7.56,7.2,N/A,1.39,2.03,0.6
5015,華祺工業,12786724,1057837,506,12.08,12.9,11.5,11.92,11.7,N/A,12.82,1.74,0.83
5016,松和工業,20674039,873505,417,23.66,25,22.85,23.61,23.35,13.82,10.71,1.76,1.16
8349,友信    ,38452304,1365403,512,28.16,29.6,26.6,27.99,28.45,12.76,6.29,1.95,1.85
8930,青鋼金屬,7836618,618302,301,12.67,13,12.25,12.62,12.4,47.69,7.82,1.08,0.96
9962,有益鋼鐵,29181577,2288720,890,12.75,13.1,12.4,12.75,12.85,10.2,6.23,2.54,1.09
5102,富強輪胎,14568480,981820,401,14.83,15.05,14.5,14.85,14.9,51.38,8.05,1.53,1.14
