櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年02月 Feb. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 239,928,422,738元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,492,700筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,416,941,179股",,,,,,4. 成交量週轉率： 8.85%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
5007,三星科技,73219795,2635547,975,27.78,28.7,26.55,27.87,27.3,136.5,4.54,1.2,1.88,,,,
5009,榮剛材料,1216134239,62473101,18094,19.46,20.9,16.65,19.16,20.2,NA,4.8,18.86,1.3,,,,
5011,久陽精密,30800,10000,3,3.08,3.08,3.08,3.08,3.08,NA,0,0.03,3.58,,,,
5013,強新工業,69184832,5550678,1794,12.46,13.3,11.3,12.52,12.8,NA,5.46,6.37,1.05,,,,
5014,建錩實業,42190596,3368821,1058,12.52,13.4,11.1,12.44,12.8,NA,2.34,2.71,0.89,,,,
5015,華祺工業,10371952,665254,349,15.59,16.55,14.85,15.59,15.1,44.41,6.62,1.1,0.99,,,,
5016,松和工業,4357185,239800,126,18.17,18.95,17.1,18.34,18.05,NA,13.85,0.53,1.02,,,,
8349,友信    ,5027495,202109,148,24.87,26,23.3,24.81,24.8,NA,2.01,0.33,1.74,,,,
8930,青鋼金屬,12188696,910973,380,13.37,14.2,12.4,13.31,13.8,NA,4.78,2.1,1.04,,,,
9962,有益鋼鐵,37870091,2751216,1023,13.76,14.8,12.6,13.72,14.4,NA,4.16,3.75,1.34,,,,
2114,鑫永銓  ,44008260,1399767,189,31.43,32.6,30.1,31.55,32.55,11.03,4.6,2.79,1.57,,,,
5102,富強輪胎,27588368,2309016,669,11.94,12.95,10.45,11.43,11.95,NA,4.18,3.97,0.99,,,,
2596,綠意開發,53817992,2385062,1248,22.56,24.45,20.75,22.69,22.8,9.66,10.96,3.5,1.56,,,,
4416,三圓建設,9588088,109018,106,87.94,91,84.1,87.3,84.1,24.1,2.14,0.18,3.48,,,,
5213,亞昕    ,571055720,16572267,6967,34.45,37.9,28.6,33.26,32.6,14.42,3.09,16.11,2.34,,,,
5505,和旺建設,97552595,3506589,1009,27.81,33.35,24.1,26.88,33.35,85.51,0,7.09,2.74,,,,
5506,長鴻營造,67061897,13637054,3621,4.91,5.2,4.43,4.9,5.11,NA,0,5.12,0.32,,,,
5508,永信建設,152944542,3948765,2496,38.73,40.8,35.5,38.78,38.75,17.22,20.02,2.15,2.28,,,,
5511,德昌營造,24633482,1529671,509,16.1,17,15.35,16.07,16.45,11.5,6.07,1.86,1.03,,,,
5512,力麒建設,1249290302,82370906,17629,15.16,16.5,13.5,15.11,15.2,15.67,3.28,17.14,0.86,,,,
5514,三豐建設,19813959,1189610,388,16.65,17.45,15.8,16.68,17,29.82,6.47,1.21,1.33,,,,
5516,雙喜    ,8848956,753074,325,11.75,12.9,10.85,11.84,11.6,21.48,6.46,1.97,1.02,,,,
5519,隆大營建,9410053,446776,263,21.06,22.7,19.6,21.26,21.5,26.88,6.69,0.68,1.7,,,,
5520,力泰建設,18399190,731163,317,25.16,26.3,24,25.12,24.95,8.57,4.4,1.03,1.01,,,,
5521,工信    ,458107075,39118648,8486,11.71,12.8,10.45,11.48,11.85,NA,6.75,11.26,1.06,,,,
5523,宏都建設,42479461,3815744,1468,11.13,11.85,10.25,11.07,11.2,NA,13.66,3.49,0.99,,,,
5529,志嘉建設,11281997,1186710,562,9.5,10.2,8.66,9.58,9.81,NA,5.09,2.57,0.67,,,,
5530,大漢建設,169252650,6251830,2377,27.07,29.5,24.5,26.74,26.4,NA,0,2.03,4.02,,,,
2636,台驊國際,50233766,2627211,1164,19.12,19.8,18.3,19.13,19.3,66.55,7.92,5.21,1.22,,,,
5601,台聯貨櫃,6824286,429206,270,15.89,16.8,14.2,15.8,16.2,64.8,1.35,0.6,0.82,,,,
5603,陸海交通,70366695,5860589,1731,12,13.2,11.05,11.89,12.95,33.21,3.86,9.31,0.98,,,,
5604,中連貨運,30975656,1455043,626,21.28,22.3,20.1,21.09,21.8,15.46,7.11,1.34,1.09,,,,
5609,中菲行  ,646659654,20307286,9360,31.84,33.7,29.6,31.76,31.05,17.74,3.86,16.51,2.36,,,,
5701,劍湖山  ,995315786,78278708,22822,12.71,13.65,11.7,12.57,11.9,NA,0,18.83,1.29,,,,
5703,亞都麗緻,3035897,125283,106,24.23,25.25,23.2,24.46,24.95,NA,0,0.18,2.32,,,,
5704,老爺知  ,5819318,299365,171,19.43,20.4,18.65,19.17,18.75,1875,1.6,0.5,1.61,,,,
5706,鳳凰國際,191334493,3345684,2122,57.18,60.2,53.6,56.95,54.2,28.23,3,8.4,2.83,,,,
5820,日盛金控,242887141,60944875,8076,3.98,4.29,3.75,4.01,4.06,NA,0,1.35,0.8,,,,
6008,凱基證券,3519548486,243070956,45348,14.47,15.55,13.3,14.54,13.85,26.63,1.08,7.58,1,,,,
6015,宏遠證券,242540687,27222676,6248,8.9,9.88,8.12,8.9,8.57,NA,0,5.96,0.96,,,,
6016,康和證券,430970281,42267833,8960,10.19,11.25,9.4,10.17,9.8,42.61,6.83,6.45,0.83,,,,
6020,大展證券,8193390,524641,255,15.61,16.4,14.8,15.7,15.8,43.89,7.65,0.23,1.13,,,,
6021,大慶證券,258425559,14469495,4995,17.86,19.75,15.9,17.63,16.65,11.03,3.9,5.45,1.22,,,,
6022,大眾證  ,355897037,22928090,6570,15.52,17.5,14.45,15.63,14.95,12.46,7.89,7.18,1.11,,,,
6023,寶來期  ,82076220,2159731,1388,38,38.8,37.35,38.01,38.1,10.33,7.87,1.65,1.8,,,,
6024,群益期  ,87469285,2606594,1467,33.55,34.35,32.8,33.64,34.1,11.88,6.21,3.46,1.84,,,,
2916,滿心企業,11217910,809972,247,13.84,14.25,13.5,13.98,14.2,NA,2.11,1.92,0.94,,,,
5902,德記洋行,20544539,1970825,712,10.42,11.4,9.6,10.29,10.55,NA,0,2.09,1.28,,,,
5903,全家    ,6556652,111099,92,59.01,60.8,57.6,59.04,60,18.24,4.16,0.05,3.57,,,,
5904,寶雅國際,25538109,909645,438,28.07,28.55,27.35,28.18,28.55,10.46,9.45,1.25,1.73,,,,
5905,南仁湖  ,1133588244,59091418,19062,19.18,20.45,17.4,19.07,19.4,NA,0,33.81,1.65,,,,
8941,關中    ,19337535,1505667,612,12.84,13.6,12.05,12.94,12.8,NA,7.03,1.64,1.03,,,,
9960,邁達康  ,56868071,2151910,1115,26.42,28.7,23.15,25.68,27,13.5,4.44,8.59,1.87,,,,
1584,精剛精密,18024889,1198147,638,15.04,16.35,13.8,15.28,16.35,NA,0,2.06,0.99,,,,
2221,大甲    ,11199427,876828,429,12.77,14,11,12.5,12.45,NA,12.04,2.07,0.85,,,,
3284,太普高  ,73609528,3883612,1363,18.95,19.8,17.55,18.92,18.75,26.04,0,7.56,1.67,,,,
3388,崇越電通,117728842,1772453,1070,66.42,69.2,61.6,66.79,65,17.96,4.61,3.18,1.69,,,,
5312,寶島科  ,164362286,2798245,1766,58.73,62,56,58.25,59.9,23.96,3.33,4.66,3.83,,,,
8390,金益鼎  ,64663077,1461344,895,44.24,47.5,41.25,44.21,43.7,112.05,3.45,2.59,2.48,,,,
8705,東隆五金,23285543,760101,405,30.63,31.85,29,30.77,31.05,14.31,2.57,0.91,2.22,,,,
8905,裕國    ,10301016,691008,310,14.9,15.35,14.2,14.86,14.6,112.31,1.36,0.58,1.15,,,,
8906,花王企業,8666525,1419653,502,6.1,6.5,5.73,6.15,6.1,NA,0,2.77,0.67,,,,
8913,華夏資融,31131188,2593811,835,12,12.85,10.85,11.98,12.75,637.5,0,7.38,1.23,,,,
8916,光隆    ,70707535,4577293,1773,15.44,16.3,13.65,14.91,14.9,15.85,3.42,5.33,0.71,,,,
8921,沈氏印刷,5507293,457526,53,12.03,12.3,11.6,12,12,25,1.66,0.98,0.72,,,,
8923,時報出版,1707402,119018,43,14.34,14.8,14,14.42,14.5,13.06,5.86,0.39,1.05,,,,
8924,大田精密,96667803,2392734,1386,40.4,42.35,38.15,40.27,40,13.25,8.75,1.97,2.15,,,,
8925,偉盟工業,716252173,33507903,9349,21.37,22.65,19.4,21.72,22.15,NA,6.77,13.77,1.69,,,,
8928,鉅明    ,16444865,1248059,450,13.17,13.8,12.3,13.25,13.35,95.36,5.99,1.96,1.14,,,,
8929,富堡工業,312835171,6472360,3155,48.33,54.1,36,41.8,52.9,11.43,0,25.68,3.32,,,,
8932,宏大    ,14129173,1392429,577,10.14,10.8,9.21,10.12,9.75,23.21,0,3.68,1.12,,,,
8933,愛地雅  ,220700385,10763789,4446,20.5,22.6,18.65,20.41,19.8,8.39,2.52,9.41,1.34,,,,
8934,世一旦  ,134570,44000,10,3.05,3.28,2.8,3.06,3.06,NA,0,0.07,5.1,,,,
8935,邦泰    ,160522012,14519136,3818,11.05,12.1,9.8,10.79,11.6,NA,0,9.56,1.16,,,,
8936,國統國際,914938165,27109313,10543,33.74,35.85,32,33.59,34.15,58.88,2.92,29.96,2.74,,,,
8937,合騏    ,9090141,784686,351,11.58,12.7,10.4,11.38,11.35,NA,0.88,1.07,0.94,,,,
8938,明安國際,835490618,11978666,5681,69.74,75,64.5,69.67,69.1,15.46,4.67,9.22,2.64,,,,
8942,森鉅科技,185242753,7106634,2706,26.06,28.2,23.05,24.96,26.35,24.63,3.94,7.73,1.62,,,,
9946,金革科技,14292299,1170299,292,12.21,13.45,11.45,12.2,12.6,NA,0,1.67,1.5,,,,
9949,琉園    ,67117270,2142243,773,31.33,32.2,30,31.44,31.15,49.44,1.47,4.74,2.03,,,,
1742,台蠟    ,39011630,1000401,687,38.99,40.95,37.5,39.07,39.85,13.2,11.66,2.47,2.14,,,,
1787,福盈科技,70163506,4901790,1673,14.31,15.85,12.8,14.37,15.6,111.43,5.76,8.12,1.08,,,,
4702,中美聯合,14385625,2770174,914,5.19,5.71,4.6,5.2,5.02,NA,0,4.54,0.8,,,,
4703,金美克能,10408293,1273207,367,8.17,8.84,7.01,8.12,8.21,43.21,0,1.86,1.28,,,,
