櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年3月 Mar., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 394,896,730,495元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,375,348筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,181,868,705股",,,,,,4. 成交量週轉率： 15.41%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
9951,皇田工業,111952816,3615414,1765,30.96,32.6,29.05,30.53,31.5,8.08,6.35,4.83,2.17,,
2061,風青    ,50289560,1628466,533,30.88,32.6,29,30.59,30,N/A,3.33,4.08,2.4,,
4609,唐鋒實業,32889468,2210828,1268,14.87,16.15,13.6,14.7,13.8,N/A,6.96,4.61,1.13,,
2035,唐榮公司,65499736,2185917,1076,29.96,31.3,28.5,29.73,29.4,21.3,0,0.62,1.33,,
2063,世鎧精密,184788182,4474305,2636,41.29,44.5,38.1,41.4,40.9,11.14,9.78,13.03,2.48,,
5009,榮剛材料,6583474595,223356250,75028,29.47,32.3,25.8,28.76,31.2,12.89,1.51,56.98,1.62,,
5011,久陽精密,9496274,233549,254,40.66,47,32.25,36.66,42,12.69,0,0.72,3.28,,
5013,強新工業,101037634,7071852,2453,14.28,15.25,13.5,14.03,13.65,7.22,12.45,7.24,0.88,,
5014,建錩實業,27024653,3086526,1078,8.75,9.68,8.05,8.7,8.77,N/A,6.84,1.88,0.68,,
5015,華祺工業,179500997,9748816,3758,18.41,19.2,17.3,18.17,18.4,8.76,2.17,16.08,1.14,,
5016,松和工業,40613196,1146606,800,35.42,36.85,33.6,35.43,35.2,8.21,7.1,2.31,1.61,,
8349,友信    ,12672425,440028,371,28.79,29.5,27.75,28.93,29.2,14.17,4.42,0.68,1.81,,
8930,青鋼金屬,15546168,1178058,579,13.19,13.65,12.75,13.07,13.2,18.59,6.74,2.07,0.95,,
9962,有益鋼鐵,26396086,2021408,908,13.05,13.6,12.1,13.06,12.6,12.35,15.08,2.24,1.1,,
5102,富強輪胎,49896301,2467412,926,20.22,20.9,19.3,20.19,19.75,11.9,5.06,4.04,1.44,,
2596,綠意開發,27960160,1721619,852,16.24,17.4,15,16.36,16.45,58.75,7.29,2.53,1.2,,
4113,聯上實業,168257700,8366328,3289,20.11,21.8,17.85,19.64,20.9,14.32,0,15.15,1.5,,
4416,三圓建設,3110531,43473,42,71.55,76.6,67.8,74,70,9.62,4.57,0.07,2.33,,
5213,亞昕    ,651195742,24994902,9476,26.05,27.95,23.65,25.62,24.85,7.99,18.59,10.18,1.36,,
5324,士林開發,75225359,1924049,1042,39.09,42,34.2,39.11,40.1,8.15,0.75,3.93,2.34,,
5505,和旺建設,757603029,19468266,6000,38.91,42.1,31.75,37.91,34.8,91.58,12.5,16.47,1.84,,
5506,長鴻營造,22923544,4631409,1244,4.94,5.15,4.8,4.95,0,N/A,0,2.28,0.57,,
5508,永信建設,914270141,21097398,7927,43.33,46.5,38.05,42.47,40.7,22.12,6.22,11.64,2.41,,
5511,德昌營造,601041662,18175113,6778,33.06,35.2,30.2,33.01,32.1,5.91,6.23,19.04,1.52,,
5512,力麒建設,1382493173,93330930,23601,14.81,15.6,13.55,14.71,14.45,11.56,9.76,15.92,0.84,,
5514,三豐建設,14311079,569551,269,25.12,27.4,23.45,25.5,25.55,12.65,3.52,0.49,1.82,,
5516,雙喜    ,59217900,2712070,1257,21.83,24.2,18.5,20.84,23.05,4.89,2.17,7.08,1.41,,
5519,隆大營建,825860460,23511144,9094,35.12,39.75,30.5,35.38,36.7,6.9,10.22,26.48,2.18,,
5520,力泰建設,1979022,90029,59,21.98,22.8,21,21.67,21.4,14.56,6.31,0.13,0.84,,
5521,工信    ,129129984,15270830,4314,8.45,8.98,7.62,8.37,8,13.79,3.75,4.39,0.65,,
5523,宏都建設,26588896,2602682,897,10.21,10.95,9.05,10.04,9.22,N/A,0,1.47,1.02,,
5529,志嘉建設,15373179,1094587,380,14.04,15.15,13.3,14,14.15,N/A,7.07,2.05,1.41,,
