櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年8月 Aug., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,838,048,868元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,608,643筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,817,722,221股",,,,,,4. 成交量週轉率： 8.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
9951,皇田工業,239995730,6944695,3588,34.55,36.8,30.05,34.25,36.4,8.484848485,6.86,9.27,2.33
2061,風青    ,42115791,1416476,715,29.73,32.9,27,29.02,30.9,N/A,3.23,3.51,2.46
4609,唐鋒實業,113935424,7122779,3638,15.99,18.45,9.6,12.68,16.9,N/A,5.68,14.86,1.45
2035,唐榮公司,19077494,700009,256,27.25,28.15,26.75,27.36,27.3,30.33333333,0,0.2,1.23
2063,世鎧精密,7165844,295940,238,24.21,25.9,23,24.37,23,11.8556701,13.04,0.72,1.39
5009,榮剛材料,2532426468,87211493,29634,29.03,30.2,27.5,29.02,28.45,10.53703704,5.16,20.68,1.43
5011,久陽精密,17342236,559102,251,31.01,34,29.5,31.14,30.85,7.542787286,0,1.71,2.12
5013,強新工業,14439928,1285322,515,11.23,11.8,10.9,11.26,11.2,9.911504425,6.25,1.29,0.72
5014,建錩實業,7925104,1162643,393,6.81,7.08,6.6,6.82,7,N/A,8.57,0.71,0.55
5015,華祺工業,9315255,714521,408,13.03,13.45,12.2,13.08,12.7,47.03703704,11.81,1.18,0.8
5016,松和工業,14111145,556589,294,25.35,26.65,24.3,25.6,24.3,9.27480916,10.28,1.12,1.11
8349,友信    ,6462248,240986,194,26.81,27.9,26,26.84,27.8,11.77966102,4.64,0.37,1.71
8930,青鋼金屬,4308612,410287,182,10.5,10.65,10.2,10.51,10.6,55.78947368,9.15,0.72,0.77
9962,有益鋼鐵,6051110,580694,311,10.42,10.85,10,10.38,10.45,N/A,7.65,0.64,0.94
5102,富強輪胎,36542587,2009297,716,18.18,18.65,17.45,18.02,18.6,19.17525773,6.45,3.29,1.31
2596,綠意開發,17378695,1049023,585,16.56,17.5,16.05,16.49,16.85,13.0620155,5.93,1.47,1.18
3266,昇陽開發,30891523,2037429,669,15.16,15.85,14.8,15.11,15.5,64.58333333,5.16,1.65,1.11
4113,聯上實業,141685085,6708906,2407,21.11,22.15,18.5,20.05,21.6,11.55080214,6.38,10.17,1.53
4416,三圓建設,72808272,928663,222,78.4,102.5,69.5,78.94,102.5,5.109670987,3.12,1.55,3.26
5213,亞昕    ,595510935,25978181,5712,22.92,24.2,19.6,22.87,23.45,11.7839196,10.61,9.51,1.25
5324,士林開發,71735908,1779182,1100,40.31,46.9,30.5,38.98,31.5,5.46875,12.69,2.8,1.72
5505,和旺建設,265734470,10317825,4834,25.75,28.3,22.1,25.6,27.45,N/A,15.84,8.68,1.43
5506,長鴻營造,11409103,1449904,584,7.86,8.15,7.63,7.88,7.91,197.75,0,0.92,0.68
5508,永信建設,1358986751,29014408,5056,46.83,48.4,42.2,44.49,46.45,4.920550847,5.44,16.01,2.77
5511,德昌營造,242666413,8419859,3913,28.82,30.75,27.15,28.59,29.75,4.137691238,10.08,7.11,1.34
