櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年11月 Nov. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 435,557,747,218元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,288,778筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,835,527,797股",,,,,,4. 成交量週轉率： 16.27%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,693052653,20092045,7895,34.49,36.05,31.55,34.15,34.05,NA,0,5.74,2.21,,,,
5007,三星科技,68820700,3461531,938,19.88,21.2,18.25,20.33,21.05,105.25,5.89,1.57,1.45,,,,
5009,榮剛材料,1718994842,107150106,26644,16.04,17.3,14.65,15.87,16.85,NA,5.75,32.36,1.08,,,,
5011,久陽精密,622,187,1,3.33,-,-,-,3.57,NA,0,0,4.15,,,,
5013,強新工業,70524156,6360064,1981,11.08,11.5,10.7,11.05,11.05,NA,6.33,7.3,0.91,,,,
5014,建錩實業,346393514,26710389,7186,12.96,13.65,11.7,12.8,13.2,NA,2.27,21.52,0.91,,,,
5015,華祺工業,31009161,1979267,855,15.66,16.2,15.05,15.61,15.8,46.47,6.32,3.26,1.03,,,,
5016,松和工業,5482400,293450,193,18.68,19.7,17.9,18.8,18.95,NA,13.19,0.65,1.07,,,,
8349,友信    ,15445241,768899,459,20.08,21.9,18.5,19.63,20,NA,2.5,1.24,1.4,,,,
8930,青鋼金屬,40632259,3659688,1411,11.1,11.6,10.5,11.01,11.1,NA,5.94,8.42,0.84,,,,
9962,有益鋼鐵,48786710,3600580,1281,13.54,14.1,12.85,13.47,13.4,NA,4.47,4.91,1.25,,,,
2114,鑫永銓  ,102584071,3497838,1313,29.32,31.85,26.9,28.65,31.85,10.8,4.7,6.97,1.53,,,,
5102,富強輪胎,14123958,1232575,474,11.45,12,10.7,11.44,11.9,NA,4.2,2.12,0.99,,,,
2596,綠意開發,60426503,2790083,1466,21.65,22.5,20.8,21.63,21.8,9.24,11.46,4.1,1.49,,,,
4416,三圓建設,3443375,51095,43,67.39,73.7,62.5,68.27,68,19.48,2.64,0.09,2.81,,,,
5213,亞昕    ,462781322,13424375,7175,34.47,37,29.2,34.12,31,13.72,3.25,13.05,2.22,,,,
5505,和旺建設,55395980,3101780,536,17.85,19,16,17.88,17.95,46.03,0,6.6,1.47,,,,
5506,長鴻營造,20420380,4379787,959,4.66,5.72,3.43,4.7,3.92,NA,0,1.65,0.25,,,,
5508,永信建設,108790778,2987624,2188,36.41,38.9,35,36.16,35.8,15.91,21.67,1.63,2.11,,,,
5511,德昌營造,34781852,2354339,952,14.77,15.15,14.3,14.8,15.15,10.59,6.6,2.86,0.95,,,,
5512,力麒建設,2867676636,179038727,37751,16.01,16.9,14.5,15.87,16.35,16.86,3.05,41.52,0.92,,,,
5514,三豐建設,30254245,1964157,515,15.4,16.05,14.55,15.5,15.6,27.37,7.05,1.99,1.22,,,,
5516,雙喜    ,22519060,1784294,774,12.62,13.7,11.45,12.07,12.1,22.41,6.19,4.66,1.06,,,,
5519,隆大營建,8238767,354353,249,23.25,24.1,22.3,23.4,23.35,29.19,6.16,0.54,1.85,,,,
5520,力泰建設,40154460,1497497,683,26.81,28,25.35,26.36,27.8,9.55,3.95,2.11,1.12,,,,
5521,工信    ,581858327,50820218,12100,11.44,12.2,10.8,11.44,10.95,NA,7.3,14.62,0.98,,,,
5523,宏都建設,154221737,13692299,4322,11.26,12.25,9.97,10.93,11.05,NA,13.84,12.52,0.97,,,,
5529,志嘉建設,44149182,4267855,1699,10.34,10.95,9.9,10.27,10,NA,5,9.23,0.68,,,,
5530,大漢建設,363459371,19518898,5289,18.62,20.4,16.7,18.6,18.6,NA,0,6.35,2.84,,,,
2636,台驊國際,110426651,6188838,2741,17.84,18.8,16.65,17.45,18.25,62.93,8.38,12.27,1.16,,,,
5601,台聯貨櫃,21013101,1439694,589,14.59,15.75,13.3,14.66,15.6,62.4,1.41,2,0.79,,,,
5603,陸海交通,65280091,7114541,1834,9.17,9.63,8.31,9.05,9.1,23.33,5.49,11.31,0.69,,,,
5604,中連貨運,21307341,1038919,494,20.5,20.9,20.1,20.5,20.6,14.61,7.52,0.96,1.03,,,,
5609,中菲行  ,1210422597,43378680,15259,27.9,29.55,25.05,27.09,28.9,16.51,4.15,35.27,2.2,,,,
5701,劍湖山  ,1452347003,119335308,28977,12.17,12.8,11.5,11.92,11.8,NA,0,28.71,1.28,,,,
5703,亞都麗緻,12048274,485372,269,24.82,25.8,23.75,24.68,24.25,NA,0,0.69,2.26,,,,
5704,老爺知  ,1821725,95137,87,19.14,19.5,18.7,19.12,19.1,1910,1.57,0.16,1.64,,,,
5706,鳳凰國際,881136859,14455429,9117,60.95,64.9,56.2,59.26,59.3,30.89,2.74,36.3,3.1,,,,
5820,日盛金控,788708221,156039899,20151,5.05,5.29,4.77,5.03,4.79,NA,0,3.45,0.94,,,,
6008,凱基證券,4446069759,270868839,57027,16.41,17.5,14.75,16.43,15.7,30.19,0.95,8.45,1.13,,,,
6015,宏遠證券,236289664,26676838,6137,8.85,9.58,8.3,8.81,8.4,NA,0,6.21,0.94,,,,
6016,康和證券,733209994,66515449,13329,11.02,11.65,10,10.8,10.7,46.52,6.26,10.15,0.91,,,,
6020,大展證券,21908741,1337157,542,16.38,17,15.75,16.37,16.3,45.28,7.42,0.57,1.16,,,,
6021,大慶證券,223664294,14011550,4203,15.96,16.7,14.8,15.88,15.4,10.2,4.22,5.28,1.13,,,,
6022,大眾證  ,407182963,25626790,6626,15.88,16.5,15,15.79,15.3,12.75,7.71,8.19,1.14,,,,
6023,寶來期  ,119275367,3137099,1973,38.02,39,37.4,37.97,37.65,10.2,7.96,2.39,1.78,,,,
6024,群益期  ,121652971,3613784,1698,33.66,34.4,33.05,33.64,33.3,6.32,6.36,4.8,1.8,,,,
2916,滿心企業,15866021,1242792,416,12.76,13.2,12.1,12.73,13,NA,2.3,2.94,0.86,,,,
2921,特力和樂,17009818,763356,305,22.28,22.6,22,22.15,22.05,9.04,10.02,1.81,1.46,,,,
5902,德記洋行,52325063,4051990,1408,12.91,14.6,11.3,12.19,11.5,NA,0,4.29,1.4,,,,
5903,全家    ,43177512,686318,572,62.91,67.8,56,62.5,63,19.15,3.96,0.31,3.75,,,,
5904,寶雅國際,59192116,2191107,1064,27.01,27.5,26.8,27.03,27.15,9.95,9.94,3,1.64,,,,
5905,南仁湖  ,406658426,28425376,7920,14.3,14.85,13.9,14.24,14.15,NA,0,16.26,1.2,,,,
8941,關中    ,37112873,2880137,1059,12.88,13.55,12.3,12.84,12.8,NA,7.03,3.13,1.03,,,,
9960,邁達康  ,47298899,1940574,983,24.37,25.55,22.4,24.41,23.35,11.68,5.13,7.75,1.61,,,,
1584,精剛精密,23112387,1756493,849,13.15,13.8,12.55,13.04,13.1,NA,0,3.04,0.8,,,,
2221,大甲    ,16918390,1453155,467,11.64,12.15,10.7,11.63,11.5,NA,13.04,3.43,0.79,,,,
3284,太普高  ,397492554,23164250,5723,17.15,18.9,15.05,16.62,16.95,23.54,0,45.07,1.51,,,,
3388,崇越電通,240126201,3480850,2324,68.98,72.5,64,68.39,68.3,18.87,4.39,6.25,1.78,,,,
5312,寶島科  ,432747236,6723650,3754,64.36,67.5,59.5,63.67,60.5,24.2,3.3,11.19,3.87,,,,
8390,金益鼎  ,342664304,7000131,4296,48.95,51.5,44.15,48.23,48.6,124.62,3.1,12.42,2.76,,,,
8705,東隆五金,23450211,860592,577,27.24,28.5,26.05,27.42,27.2,12.53,2.94,1.03,1.95,,,,
8905,裕國    ,15577144,1041781,510,14.95,15.4,14.25,14.88,15.35,118.08,1.3,0.87,1.21,,,,
8906,花王企業,29161594,4451965,1574,6.55,7.06,5.66,6.34,5.96,NA,0,8.67,0.65,,,,
8913,華夏資融,144390097,12592915,3357,11.46,12.8,9.15,10.42,11.05,552.5,0,35.81,1.06,,,,
8916,光隆    ,149999559,9927989,3566,15.1,17.15,13.75,14.75,14,14.89,3.64,11.92,0.67,,,,
8921,沈氏印刷,6917108,669578,252,10.33,10.95,9.92,10.26,10.1,21.04,1.98,1.44,0.61,,,,
8923,時報出版,6807155,483842,166,14.06,14.6,13.5,13.91,14.2,12.79,5.98,1.59,1.03,,,,
8924,大田精密,151953767,3561470,2195,42.66,44,41.3,42.58,41.6,13.77,8.41,2.94,2.24,,,,
8925,偉盟工業,3063417332,131223482,31373,23.34,25,20.8,23.02,25,NA,6,58.37,1.91,,,,
8928,鉅明    ,18140555,1570036,563,11.55,12,11.05,11.51,11.45,81.79,6.98,2.47,0.97,,,,
8929,富堡工業,151583088,3951526,2502,38.36,40,34.6,38.25,35.8,7.73,0,15.68,2.25,,,,
8932,宏大    ,20823079,2045146,539,10.18,10.7,9.97,10.27,10.2,24.29,0,5.41,1.17,,,,
8933,愛地雅  ,915459022,35597643,13630,25.71,27.45,24.45,25.35,25.65,10.87,1.94,31.13,1.74,,,,
8934,世一旦  ,5297668,2092644,8,2.72,2.91,2.53,2.71,2.53,NA,0,3.22,4.22,,,,
8935,邦泰    ,640194880,43395544,11212,14.75,15.6,13.25,14.48,13.5,NA,0,28.57,1.34,,,,
8936,國統國際,673978028,32546845,12089,20.7,22.3,18.9,20.45,20.7,35.69,4.83,35.97,1.66,,,,
8937,合騏    ,29158649,2568805,1000,11.35,11.95,10.15,10.96,10.6,NA,0.94,3.51,0.88,,,,
8938,明安國際,460333716,7820269,4416,58.86,61,55.5,58.56,58.1,13,5.55,6.05,2.22,,,,
8942,森鉅科技,141789039,7338023,3104,19.32,20.7,16.9,18.99,19,17.76,5.47,7.98,1.16,,,,
9946,金革科技,6380977,568348,211,11.22,12,10.3,11.2,10.7,NA,0,1.36,1.28,,,,
