櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年08月 Aug.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 538,136,267,467元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,525,623筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,218,014,869股",,,,,,4. 成交量週轉率： 21.11%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
5007,三星科技,246442693,8652517,2175,28.48,29.55,27.45,28.47,28.7,26.09,3.34,3.93,1.95,,,
5009,榮剛材料,3665185944,183899457,50882,19.93,22.05,17.65,19.74,18.7,N/A,0,55.44,1.21,,,
5011,久陽精密,28653,15883,19,1.8,2.24,1.53,1.84,2.24,28,0,0,2.46,,,
5013,強新工業,409754743,26336462,7703,15.55,16.4,14.5,15.38,15.7,7.58,0,30.22,1.13,,,
5014,建錩實業,88957854,7538543,2445,11.8,12.4,11.3,11.75,11.45,10.8,2.62,6.07,0.79,,,
5015,華祺工業,74070504,4607474,1909,16.07,16.9,15,15.79,15.2,31.02,6.57,7.6,1.03,,,
5016,松和工業,182765427,7128498,3195,25.63,28.4,22.1,23.72,26.8,6.96,1.11,15.8,1.34,,,
8349,友信    ,9839243,371642,263,26.47,29,24,26.53,24.25,71.32,1.64,0.6,1.63,,,
8930,青鋼金屬,229642600,14717276,4689,15.6,17.2,14.25,14.95,15.25,7.37,4.32,31.06,1.13,,,
9962,有益鋼鐵,124230817,7304202,2607,17,17.9,15.6,16.7,15.7,8.53,4.45,9.31,1.28,,,
2114,鑫永銓  ,62663023,2143119,1243,29.23,31.55,27,29.3,27,10.07,9.25,3.56,1.28,,,
5102,富強輪胎,82755297,5963897,2017,13.87,15.05,13.15,13.7,13.7,17.79,0,10.26,1.1,,,
2596,綠意開發,75341917,3363139,1524,22.4,24,20.85,22.14,20.85,7.93,7.19,4.94,1.42,,,
4113,聯上實業,106530679,5146265,2694,20.7,22.7,17.3,20.45,17.4,9.61,0,11.38,1.54,,,
4416,三圓建設,8754846,111129,88,78.78,84.2,75,79.19,80,21.33,2.25,0.19,3.41,,,
5213,亞昕    ,1089915344,32686431,12945,33.34,36.25,29.5,31.98,34.4,6.43,7.84,21.84,1.72,,,
5505,和旺建設,910164898,19855775,8243,45.83,47.4,42.45,44.86,47.1,N/A,1.42,25.07,3.16,,,
5506,長鴻營造,60971302,12728122,1852,4.79,5.1,3.91,4.63,4.91,N/A,0,4.78,0.93,,,
5508,永信建設,113634944,3463402,2320,32.81,36.4,30,32.21,30,10.53,8.7,1.89,1.85,,,
5511,德昌營造,42993380,2672757,1012,16.08,16.9,15.15,15.92,16.3,7.69,7.36,3.25,0.99,,,
5512,力麒建設,2438746809,151586457,27078,16.08,16.9,14,15.96,15.3,9.27,8.49,28,0.86,,,
5514,三豐建設,10920139,606453,285,18,18.45,17.35,17.97,18.4,42.79,4.34,0.57,1.4,,,
5516,雙喜    ,35845716,2738567,1188,13.08,14.05,11.9,12.44,13.1,13.94,3.81,7.15,1.08,,,
5519,隆大營建,31981749,1272692,795,25.12,28.2,21.55,23.44,28,12.02,1.89,1.93,2.1,,,
5520,力泰建設,8215954,348058,275,23.6,24.4,22.6,23.39,23.2,8.85,6.46,0.49,0.93,,,
5521,工信    ,1900682746,153006799,29622,12.42,13.4,11.15,12.05,11.15,16.4,0,44.03,0.95,,,
5523,宏都建設,241070362,22805804,5354,10.57,11.2,9.64,10.39,9.65,N/A,0,20.86,0.88,,,
5529,志嘉建設,19057021,1849733,719,10.3,10.65,9.91,10.24,10,N/A,5,3.83,0.7,,,
5530,大漢建設,2115987466,43846873,15205,48.25,54.5,40.3,44.35,53.4,32.76,0,11.47,4.85,,,
6177,達麗建設,109249481,4285522,1484,25.49,27.75,22.7,24.68,24.85,12,5.87,5.75,1.8,,,
6212,理銘科技,103472096,8344752,2495,12.39,13.9,9.9,12.18,12.4,7.43,0,8.18,1.4,,,
2636,台驊國際,508534882,17293551,7261,29.4,32.1,26.5,28.66,26.65,15.14,2.58,33.63,1.62,,,
5601,台聯貨櫃,89678811,5294537,2052,16.93,18.15,15.35,16.21,15.6,N/A,1.41,7.35,3.08,,,
5603,陸海交通,110432558,7835178,2612,14.09,15.4,12.2,13.59,12.35,308.75,0,12.45,0.94,,,
5604,中連貨運,106162060,4307597,1685,24.64,27.5,23.1,24.44,24.1,11.76,4.89,3.96,1.2,,,
5609,中菲行  ,1020284736,31955134,13566,31.92,33.8,29.05,31.46,29.05,12.63,4.26,24.39,1.96,,,
5701,劍湖山  ,1159390949,98229141,26595,11.8,12.45,10.5,11.61,10.5,N/A,0,23.63,1.25,,,
5703,亞都麗緻,41962206,1363579,850,30.77,32.6,28.1,30.38,29.5,42.75,0,1.94,2.56,,,
5704,老爺知  ,10269946,478686,306,21.45,26.4,19.95,22.07,24.5,72.06,0.81,1.23,2.01,,,
5706,鳳凰國際,684208539,10466250,6595,65.37,68.7,59.5,64.33,60,22.06,3.8,26.29,2.74,,,
5820,日盛金控,2708952738,483836196,48892,5.59,10.3,5.02,6.05,9.65,15.82,0,20.57,0.93,,,
6008,凱基證券,5926907252,418524111,65852,14.16,15.05,13.2,14.03,13.35,18.04,3.37,13.05,0.95,,,
6015,宏遠證券,327541707,37017249,9064,8.84,9.39,7.9,8.67,7.98,19.46,0,8.1,0.9,,,
6016,康和證券,616578922,61096967,12014,10.09,10.65,8.92,9.9,9,900,4.44,8.96,0.78,,,
6020,大展證券,27175548,1576403,696,17.23,18.7,16.25,17.12,16.6,79.05,3.25,0.68,1.23,,,
6021,大慶證券,401774516,22623632,5919,17.75,18.55,16,17.49,16,12.21,4.06,8.52,1.12,,,
6022,大眾證  ,460270430,32900930,8973,13.98,14.9,12.6,13.79,12.6,21,17.14,8.42,0.92,,,
6023,寶來期  ,131953335,3232436,1844,40.82,43,38.8,40.3,39,23.64,4.69,2.46,1.89,,,
6024,群益期  ,77072970,2563337,1287,30.06,31.5,28.2,29.94,28.2,14.31,6.2,3.03,1.45,,,
2916,滿心企業,266767075,11513992,4327,23.16,25.1,20,21.59,20.3,10.74,8.86,24.79,1.23,,,
5902,德記洋行,526610088,38400081,10570,13.71,15.45,11.8,13.35,15.35,N/A,0,40.64,1.99,,,
5903,全家    ,211109767,2595420,1674,81.33,90,69.9,81.08,84.9,22.34,3.06,1.16,5.12,,,
5904,寶雅國際,219513975,6124486,3038,35.84,37.7,34.1,35.47,35.8,11.05,7.54,8.38,1.87,,,
5905,南仁湖  ,2046067507,85328601,27475,23.97,25.75,21.9,23.39,22.35,N/A,0,42.24,1.89,,,
8941,關中    ,151457786,11741193,4144,12.89,14.15,11.3,12.37,11.3,N/A,0,9.63,1.47,,,
9960,邁達康  ,48519451,1877839,1079,25.83,31.8,22,24.59,22,8.84,10.9,6.05,1.39,,,
1584,精剛精密,650747312,27461970,10786,23.69,29.75,16.9,20.98,23.75,N/A,0,47.13,1.46,,,
2221,大甲    ,83078597,5140180,2004,16.16,17.45,14,15.42,14.2,N/A,0,12.12,1.2,,,
3284,太普高  ,129755968,5874745,2218,22.08,23.2,19.6,22.08,19.8,11.38,5.05,11.43,1.53,,,
3388,崇越電通,446682300,5859560,3610,76.23,81.2,71.5,75,73,9.43,5.75,10.52,1.81,,,
5312,寶島科  ,910545090,11824216,7425,77,85.9,67.1,75.99,69.1,21.73,2.89,19.69,4.16,,,
6186,晶磊興業,232999639,10745792,5494,21.68,23,19.1,21.09,20,16,0,53.25,1.62,,,
6803,崑鼎投控,1453686057,12696713,8563,114.49,130.5,88.1,110.61,115,16.34,5.26,24.31,3.37,,,
8390,金益鼎  ,690340774,14507974,7261,47.58,50.8,38.6,44.88,39.7,15.57,3.77,24.99,2.09,,,
8401,白紗科技,513020501,10258391,5976,50,54.3,45.2,48.47,46.5,16.79,4.3,27.85,2.65,,,
8705,東隆五金,36901699,1157101,726,31.89,32.8,30.5,31.91,31.55,13.26,7.76,1.39,2.37,,,
8905,裕國    ,51820193,3897221,1416,13.29,14.1,12.2,13.19,12.2,12.08,3.27,3.26,0.93,,,
8906,花王企業,28050548,3963995,1378,7.07,7.4,6.54,7.08,6.74,N/A,0,7.72,0.77,,,
8913,華夏資融,820119158,26886307,12016,30.5,34.45,25.45,29.12,25.6,3.38,1.56,59.53,1.48,,,
8916,光隆    ,476038073,22578767,5628,21.08,24.8,14.7,18.38,20,10.7,3.2,25.91,0.99,,,
8921,沈氏印刷,67144702,4394919,1808,15.27,17,12.7,14.11,12.75,15.36,4.7,9.43,0.76,,,
8923,時報出版,65833972,3046752,1231,21.6,24.15,18.6,20.54,19.1,13.84,5.23,10.03,1.35,,,
8924,大田精密,134178500,3204111,1996,41.87,42.9,40.45,41.79,41,20.3,6.09,2.64,2.3,,,
8925,偉盟工業,1011737164,46170262,15173,21.91,24.15,19.2,21.71,19.95,90.68,4.96,16.71,1.42,,,
8928,鉅明    ,83729185,6597204,1743,12.69,13.6,11,12.43,11,N/A,4.54,10.38,0.99,,,
8929,富堡工業,1097612230,22036006,11345,49.8,56.4,41.8,47.57,42,9.88,4.71,87.42,2.42,,,
8932,宏大    ,56446569,4900515,1474,11.51,12.6,10.75,11.4,10.9,24.77,0,10.04,1.21,,,
8933,愛地雅  ,398295122,22441197,8935,17.74,18.8,15.65,17.37,15.9,32.45,3.14,19.62,1.1,,,
8934,馭鳳    ,0,0,0,-,-,-,-,2.85,N/A,0,0,4.83,,,
8935,邦泰    ,264065089,21900723,6254,12.05,12.8,11,11.82,11.05,N/A,0,14.42,1.3,,,
8936,國統國際,1884396935,58930936,24270,31.97,35,28.6,31.09,28.8,12.31,0,53.34,2.05,,,
8937,合騏    ,752506045,34600676,9015,21.74,27.45,12.8,18.9,21,N/A,0,47.74,1.81,,,
8938,明安國際,400602268,6815551,4006,58.77,60.6,57.2,58.58,58,11.33,6.2,5.19,2.11,,,
8942,森鉅科技,411722866,14634894,5736,28.13,29.8,25.5,27.82,25.7,26.49,3.89,13.29,1.57,,,
9946,金革科技,30172513,1807576,537,16.69,17.4,16.1,16.66,16.5,126.92,0,2.58,1.92,,,
9949,琉園    ,441035987,9960254,3662,44.27,47,39.5,44.24,44,39.64,1.97,22.04,2.8,,,
1742,台蠟    ,688515985,12462861,7016,55.24,62.2,44.8,53.41,45.3,11.19,5.8,24.66,2.44,,,
1787,福盈科技,2284979949,100087257,33721,22.82,25,19.4,22.17,19.4,17.02,2.16,152.03,1.27,,,
4702,中美聯合,347474451,18571102,5437,18.71,29.5,11.1,18.29,20.95,N/A,0,51.01,2.13,,,
4703,金美克能,60384545,7688746,1933,7.85,8.6,7,7.77,7.08,64.36,0,11.24,1.11,,,
4706,大恭化學,211077585,11130880,4211,18.96,20.55,16.95,18.56,17,9.19,4.11,14.08,1.07,,,
4707,磐亞    ,189607618,13306913,4087,14.24,15.2,12.35,14,12.4,19.68,11.69,5.9,0.75,,,
4711,永純    ,55112395,2311710,1025,23.84,24.9,22.15,23.82,24.4,9.96,6.55,3.79,1.39,,,
4712,南璋    ,281012606,15791240,4498,17.79,19.8,16.4,17.28,16.7,N/A,0,26.28,1.51,,,
4714,永捷    ,270495180,14557501,5127,18.58,19.65,16.65,18.07,17,9.34,2.94,34.3,1.03,,,
4716,大立    ,2204583106,46431779,24421,47.48,55.5,40,46.36,45.2,43.88,1.17,83.15,3.47,,,
4720,德淵企業,2589269560,95821188,31634,27.02,32.75,19.45,25.23,26,32.5,1.92,137.47,1.96,,,
4721,美琪瑪  ,486974215,14420839,7698,33.76,36,30.1,32.94,30.3,13.96,3.3,20.74,2.09,,,
4722,國精化學,1086995092,50240649,12341,21.63,23.85,17.3,18.98,21.3,25.98,2.76,79.59,1.35,,,
4733,上緯企業,1172752954,18273395,9935,64.17,67.6,54.7,63.1,56.3,21.41,5.48,27.91,2.85,,,
6509,聚和國際,4093012581,135149623,54021,30.28,32.5,26.2,29.06,29.15,23.13,3.36,83.59,1.7,,,
1565,精華光學,1747893047,5972035,4929,292.67,322,273,285.43,311,20.45,3.37,11.85,7.8,,,
1752,南光    ,1409767437,44314278,20194,31.81,36,26.6,30.86,27.8,N/A,3.59,70.34,2.21,,,
1777,生泰合成,909439716,16469602,9030,55.21,62.1,42.5,51.9,59.8,21.28,2.84,69.28,3.33,,,
1781,合世生醫,701576138,21744957,10448,32.26,37.85,25.45,30.22,34.1,21.86,0,60.16,3.91,,,
1784,訊聯    ,294788136,5162609,3312,57.1,60.3,50.3,56.55,50.3,N/A,2.52,11.85,2.58,,,
1788,杏昌生技,1811232008,19462836,12161,93.06,101,79.7,91.84,80.5,17.97,3.97,66.54,2.95,,,
1795,美時化學,1576421273,26691273,14199,59.06,69.5,46.1,57.61,61.9,476.15,1.13,65.5,4.63,,,
1799,紅電醫  ,79391696,3207749,1730,24.74,25.5,24,24.56,24.1,24.34,8.29,10.38,1.64,,,
1813,寶利徠  ,197968632,4273527,2640,46.32,49.9,43.25,45.45,45.25,25.56,2.2,10.39,2.89,,,
3118,進階    ,1970875526,40086840,20032,49.16,59,38.05,45.85,48,21.52,3.12,129.7,3.33,,,
3205,佰研生化,42857380,1465085,1111,29.25,32,26.25,28.42,26.35,N/A,0,9.96,3.5,,,
3218,大學光學,129880529,4402505,2652,29.5,31.9,26.7,28.73,26.8,N/A,0,9.72,1.86,,,
3266,弘如洋  ,552393800,21035023,9305,26.26,30.15,21.1,24.23,28.05,N/A,0,25.3,2.38,,,
4102,永日化工,3113944863,57825382,25705,53.85,62.7,39.3,54.52,49.3,21.62,4.05,159.05,3.32,,,
4103,百略    ,1208083153,21222524,12450,56.92,65.1,46.4,55.8,46.65,9.84,6.43,17.36,2.34,,,
4105,東洋藥品,4670908780,45454469,24553,102.76,110,93.1,100.74,106,33.54,1.98,35.43,6.64,,,
4107,邦特生技,3023876722,62535866,32117,48.35,52.4,41.8,47.14,44.6,20.27,4.48,79.89,2.94,,,
4109,加捷    ,812394513,30674270,11606,26.48,29.3,24,25.35,24.15,50.31,2.89,68.44,1.87,,,
4111,濟生    ,1575298764,55273671,22364,28.49,31.35,25.2,27.82,26.3,41.75,2.09,115.17,1.6,,,
4114,健喬信元,838572590,21562709,12003,38.88,41.5,34.2,38.37,34.25,58.05,0,27.06,2.42,,,
4120,友華生技,853530008,16163006,9731,52.8,58,49,51.53,51.1,13.41,4.1,19.92,1.99,,,
4121,優盛醫學,535364146,27255254,10889,19.64,22.05,17.1,18.52,18.7,13.17,2.67,38.66,1.21,,,
4123,晟德    ,497636742,11489945,6251,43.31,47.9,37.2,42.93,40.2,31.65,6.21,13.19,1.78,,,
4126,太平洋醫,2021043970,23511047,12649,85.96,92.5,78.2,84.12,87.8,27.78,2.44,38.3,4.09,,,
4127,天良    ,2734469242,72077477,35344,37.93,40.95,34.5,37.12,34.6,29.57,0.57,157.51,1.99,,,
4128,中天生技,7136388251,129444059,60383,55.13,58.5,50.2,54.68,50.3,173.45,0,57.79,2.52,,,
4129,聯合骨科,3258944897,55942743,30695,58.25,66.8,49.8,56.71,57.7,76.93,1.59,120.66,4.34,,,
4131,晶宇生技,470711631,10926930,7118,43.07,46,38.1,42.14,38.1,N/A,0,22.63,5.57,,,
8908,欣雄    ,44724886,2315973,1314,19.31,21.5,17.35,18.69,18.55,20.16,1.61,3.05,1.61,,,
8917,欣泰    ,1891494,44890,47,42.14,44.9,40.2,41.81,41.65,18.11,4.8,0.04,2.72,,,
8927,北基加油,474332957,25943454,7934,18.28,20.5,15.25,17.22,15.25,42.36,3.27,23.92,1.31,,,
8931,大園汽電,74655788,4801681,1939,15.54,16.25,14.65,15.37,14.85,10.46,6.73,4.5,1.09,,,
3073,普格    ,99571877,3270511,1881,30.44,33.8,26,30.32,26.5,N/A,0.67,6.73,1.5,,,
3087,翔準    ,835873139,65894731,16214,12.68,13.75,11,12.27,11,15.71,0,23.12,0.81,,,
3169,亞信電子,447343248,8238262,5131,54.3,56.3,50.2,54.03,50.5,16.95,4.15,15.43,3.39,,,
3188,安茂    ,114465117,6791134,2558,16.85,17.8,13.95,16.79,13.95,N/A,0,14.19,1.2,,,
3219,倚強科技,24602402,1889617,939,13.01,13.75,11.4,12.99,11.4,N/A,0,4.76,1.77,,,
3227,原相科技,4032223861,23476843,17703,171.75,186.5,147,170.86,148.5,18.8,3.36,17.95,3.29,,,
3228,金麗科  ,1047873749,12712639,8361,82.42,88.7,73,82.41,73,N/A,0,21.6,5.86,,,
3252,海灣科技,5279194,551210,276,9.57,10.7,8.4,9.47,9.3,N/A,0,0.9,18.98,,,
