櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2061,風青    ,15225783,537186,304,28.34,30.45,27,28.53,27.9,N/A,0,1.34,2.217806041
4609,唐鋒實業,17489826,1355238,782,12.9,14,11.7,12.88,12.3,N/A,7.8,2.83,1.053082192
2035,唐榮公司,38232975,1305415,1095,29.28,30.2,27.1,29.04,27.6,20.75,0,0.37,1.245487365
2063,世鎧精密,25581755,667217,470,38.34,40.9,35.5,37.96,36.5,14.48,10.96,1.94,2.212121212
5009,榮剛材料,4967205904,157040300,59679,31.63,33.7,27.5,31.51,32.55,12.28,1.44,39.97,1.633216257
5011,久陽精密,8783808,223699,221,39.27,42.2,35.65,38.1,39.05,8.19,0,0.69,2.680164722
5013,強新工業,24526686,1839480,825,13.33,13.8,12.7,13.36,12.7,8.25,13.39,1.88,0.814102564
5014,建錩實業,9597306,1171722,417,8.19,8.95,7.22,8.11,7.36,N/A,8.15,0.71,0.573208723
5015,華祺工業,46522274,2672198,1050,17.4,18.45,16.1,17.49,16.5,13.98,2.42,4.41,1.034482759
5016,松和工業,18845366,571181,394,32.99,35.5,29.8,33.28,31.8,9.22,7.86,1.15,1.452718136
8349,友信    ,5600094,198018,226,28.28,29.2,27.25,28.26,28.4,13.92,4.54,0.3,1.749845964
8930,青鋼金屬,7900117,610815,307,12.93,13.35,12.5,12.89,12.55,50.2,7.09,1.07,0.913391557
9962,有益鋼鐵,17515234,1452780,673,12.05,12.9,10.7,12.03,10.8,72,17.59,1.61,0.968609865
5102,富強輪胎,24159833,1299911,387,18.58,19.75,17.6,18.48,18.9,12.52,5.29,2.13,1.330985915
2596,綠意開發,8772124,547586,314,16.01,16.7,15.05,16.23,16.4,18.22,7.32,0.8,1.146853147
4113,聯上實業,60383527,2839548,1208,21.26,22.3,19.9,21.4,21.6,17.14,0,5.14,1.525423729
4416,三圓建設,6102599,84184,43,72.5,76.8,67.8,72.96,72.5,12.29,4.41,0.14,2.302318196
5213,亞昕    ,176711143,7434439,2728,23.76,25.1,22.2,23.57,23.2,30.13,19.91,3.06,1.237993597
5324,士林開發,28032668,707000,444,39.65,41.5,37.9,39.65,41.3,7.18,0.73,1.44,2.253136934
5505,和旺建設,761427390,20204943,6931,37.68,39.95,33.35,37.09,39,N/A,11.15,17.02,2.034428795
5506,長鴻營造,19543924,3060351,1210,6.38,6.99,6.16,6.39,6.4,23.7,0,1.94,0.547476476
5508,永信建設,531531710,14161081,1781,37.53,41.4,36.55,39.63,40.1,42.21,6.31,7.82,2.388326385
5511,德昌營造,261841854,8972358,3850,29.18,32.65,27.6,29.12,28.5,4.67,7.02,9.4,1.285520974
5512,力麒建設,520547893,40237053,10450,12.93,14.5,11.5,12.8,11.8,11.13,11.95,6.86,0.679332182
5514,三豐建設,9710609,393652,155,24.66,26.4,23.9,25.03,23.9,10.35,3.77,0.34,1.595460614
5516,雙喜    ,124512231,5437443,2434,22.89,26.35,16.6,22.05,16.6,3.31,3.01,14.2,0.993417115
5519,隆大營建,222353072,6454469,3014,34.44,37.2,32.15,34.63,34.55,10.53,10.85,7.27,1.981077982
5520,力泰建設,7742915,364315,95,21.25,22.7,20.1,21.35,21.5,14.93,6.28,0.51,0.828516378
5521,工信    ,97779723,12567912,3227,7.78,8.1,7.34,7.75,7.7,13.28,3.9,3.62,0.627035831
5523,宏都建設,9697802,1079247,435,8.98,9.4,8.63,9.11,9,N/A,0,0.61,1.007838746
5529,志嘉建設,13560089,966895,417,14.02,14.45,13.9,14.18,14.2,N/A,7.04,1.81,1.457905544
5530,龍巖    ,1845984742,19383291,12253,95.23,101,88,93.19,88.6,17.34,1.69,4.86,4.559958827
