櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4127,天良    ,38768425,2612902,1535,14.83,15.95,13.6,14.75,15.3,28.33,0,5.71,0.957446809
4128,中天生技,1079057462,30186722,16385,35.74,38.2,31.9,35.51,36.5,N/A,6.85,11.02,1.936339523
4129,聯合骨科,143217907,4000255,2470,35.8,38.2,31.6,35.4,34.6,29.32,1.97,8.63,2.384562371
4130,健亞    ,1167911878,33966031,19397,34.38,39.5,28,33.93,28.5,55.88,0,35.04,2.835820896
4131,晶宇生技,13157779,1058849,820,12.42,13.5,11.25,12.51,11.35,N/A,0,2.19,2.001763668
4138,曜亞國際,262238759,2538765,2055,103.29,112.5,95,103.14,99.5,15.84,5.03,9.58,2.566417333
4139,F-馬光  ,10680141,147522,134,72.39,75.8,70.2,72.51,73,41.71,0,0.74,4.319526627
4154,F-康樂  ,79387894,1897344,1373,41.84,45.1,38.4,41.48,40,13.89,4.83,8.7,2.503128911
4728,雙美    ,558099619,13757031,9105,40.56,44.3,36.65,40.18,39,38.61,0,25.26,3.217821782
4735,豪展    ,5202198,460956,244,11.28,12.4,10.45,11.36,10.8,N/A,4.63,1.6,0.906040268
4736,泰博    ,361129742,6305257,4048,57.27,61,50,56.53,54,16.77,7.65,9.98,1.709943002
4743,合一    ,157012481,7585485,4146,20.69,23.3,18.9,20.36,19.2,31.48,2.34,6.52,1.596009975
4911,德英    ,90097638,1520504,1307,59.25,62,56.9,59.37,57.8,525.45,0,2.76,3.805134957
8403,盛弘    ,40483230,1534213,1169,26.38,29.3,24,26.08,24.3,20.25,7.41,3.53,1.258415329
8406,F-金可  ,1684441150,7510050,5352,224.29,243,209,232.5,241.5,24.44,0,8.34,6.01
8432,東生華  ,188954256,2002561,1663,94.35,99.6,88.3,96.3,96.3,16.66,1.56,6.31,3.848920863
8908,欣雄    ,2205804,98786,105,22.33,23.3,21.6,22.33,22.35,18.47,6.26,0.11,1.856312292
8917,欣泰    ,17813716,414249,40,43,43.1,42.5,43.01,43,20.87,5.12,0.37,2.674129353
8927,北基加油,7444138,521150,213,14.28,15,13.15,14.09,13.75,15.8,2.18,0.46,1.179245283
8931,大園汽電,107200679,6647643,3228,16.12,17.25,14.3,15.7,15.05,18.58,5.98,6.23,1.096938776
3073,普格    ,1107378122,43287931,17744,25.58,31.35,19.6,25.01,21.5,N/A,0,92.26,1.54787617
3087,翔準    ,82460743,6412699,1618,12.85,13.3,12.2,12.83,12.85,16.47,0,2.43,0.848745046
3105,穩懋    ,7197816907,159614625,63771,45.09,49.55,38.8,44.87,41.95,19.16,1.95,24.61,2.540884313
3169,亞信電子,368696558,10249131,6497,35.97,41.15,30.8,35.27,32.4,15.36,7.72,19.19,2.062380649
3188,安茂    ,4622318,657707,610,7.02,7.55,6.61,6.99,6.87,N/A,0,1.46,0.847102343
3219,倚強科技,12662709,1977082,168,6.4,7.32,5.82,6.61,6.5,N/A,0,3.55,2.181208054
3227,原相科技,976986802,13249812,9632,73.73,77.8,70,73.61,76,21.59,6.32,10.1,1.688888889
3228,金麗科  ,21987253,949717,488,23.15,25.4,21.9,23.61,23.15,N/A,0,1.61,2.465388711
3252,海灣科技,1528962,86375,69,17.7,18.9,16.25,18.01,16.9,16.1,0,0.25,2.898799314
3259,鑫創科技,17720873,1330641,597,13.31,14.9,12,13.23,12.5,N/A,0,2.13,1.039933444
3260,威剛科技,903967168,27539045,12833,32.82,36.7,29.9,32.11,34.85,29.29,0,12.2,1.087702871
3264,欣銓科技,772844743,36092663,14045,21.41,23.35,19.7,21.31,20.45,12.39,10.27,7.93,1.131084071
3265,台星科  ,1171486324,37291291,16143,31.41,33.8,27.65,30.78,33.8,9.91,4.91,27.37,1.467013889
3268,海德威  ,6333387,639115,475,9.9,10.6,9.3,9.92,10,N/A,0,2.08,1.187648456
3291,遠翔科技,81455623,2772426,1650,29.38,31.45,27.25,29.27,28.7,10.47,8.54,7.95,1.815306768
3317,尼克森  ,27343288,2045093,1349,13.37,14.7,12.4,13.3,12.65,N/A,3.16,3.34,0.539445629
3372,典範    ,44085251,8984495,2640,4.9,5.3,4.5,4.88,4.76,N/A,0,2.97,0.468965517
3438,類比科  ,167008985,4112962,2864,40.6,44.85,37,40,37.4,18.16,8.56,10.65,1.399700599
3527,聚積    ,1922095621,14690226,10757,130.84,139.5,114,127.97,132,13.81,6.06,44.31,2.642642643
3529,力旺電子,1093298515,14803592,9658,73.85,80.4,66,73.45,69.5,32.48,3.6,19.31,3.207198892
3553,力積電子,185583804,10002942,5797,18.55,20.25,16.9,18.3,18.7,N/A,11.76,15.6,1.499599038
3555,擎泰    ,1165697547,17601488,13149,66.22,76.2,54,65.54,54.3,93.62,16.57,27.57,1.666155262
3556,禾瑞亞  ,717572067,11919377,9112,60.2,70.7,51.5,60.51,53.7,13.07,5.21,25.21,2.405913978
3567,逸昌    ,2531344,282311,151,8.96,9.38,8.43,8.96,8.75,N/A,17.49,0.71,0.7
3582,凌耀    ,3611102342,21273950,14869,169.74,187,143,166.85,177.5,21.62,3.11,59.29,5.209862049
3680,家登    ,526141443,7999925,5833,65.76,70.8,55.7,65.13,65.3,23.16,3.06,19.24,3.722919042
4947,F-昂寶  ,315570857,2750408,2265,114.73,127,101.5,113.22,108.5,12.3,0,6.47,2.909627246
4966,F-譜瑞  ,1119482896,3186072,2779,351.36,393,316.5,355.85,340,27.38,0,6.23,7.093678281
5302,太欣半導,10941577,1291159,577,8.47,9.4,7.7,8.5,8.01,N/A,0,0.8,1.164244186
5314,世紀民生,210448441,12800652,6828,16.44,18.95,14.2,16.03,14.65,N/A,0,21.33,1.403256705
5326,漢磊科技,551020304,47844501,13750,11.51,12.4,10.4,11.21,11,24.44,0,14.65,0.991884581
5344,立衛科技,13087599,1140727,324,11.47,12.85,10.35,11.21,12.85,8.4,7.24,1.44,1.065505804
5346,力晶    ,111860141,112088539,6147,0.99,1.1,0.89,0.99,0.95,N/A,0,2.02,1.104651163
5347,世界先進,497536258,36958606,10495,13.46,14.3,12.65,13.34,13.95,43.59,4.3,2.28,1.105388273
5351,鈺創科技,159558503,16582832,5958,9.62,10.25,8.6,9.57,9.2,N/A,3.48,3.71,0.85106383
5425,台半    ,233122560,15331623,5609,15.2,16.45,14.3,15.12,14.9,13.07,8.05,6.28,0.746492986
5455,訊利電業,3011375,844699,219,3.56,5.5,2.76,3.58,3,N/A,0,2.3,0.675675676
5466,泰林科技,242826160,19964995,6908,12.16,13.7,10.65,11.95,10.85,N/A,9.22,8.17,0.485893417
5468,凱鈺科技,21070887,1687314,973,12.48,13.85,10.2,11.89,11.5,N/A,0,3.76,1.393939394
5483,中美晶  ,6040552273,113180842,64572,53.37,57.2,46.6,52.39,50.8,N/A,10.83,25.54,1.23661149
5487,通泰    ,26377636,1704207,775,15.47,16.15,14.55,15.33,14.7,18.15,6.8,3.85,0.891990291
6103,合邦電子,328164,122236,80,2.68,3.03,2.35,2.69,2.35,N/A,0,0.22,2.043478261
6104,創惟科技,206953702,9311062,4955,22.22,24.9,19,21.75,19.5,N/A,0,10.76,1.275343362
6129,普誠科技,90334610,8504700,3313,10.62,11.3,9.72,10.55,10.3,32.19,9.71,4.7,0.823341327
6130,基因科技,3448187,45584,77,75.78,80.2,71,75.65,71,13.5,0,0.18,6.580166821
6138,茂達電子,271355297,13060808,6394,20.77,22.4,19,20.55,19.45,16.91,7.71,10.03,1.231792274
6147,頎邦科技,7164874792,187650247,72820,38.18,40.4,33.85,37.75,39.6,13.75,5.05,31.91,1.393875396
6182,合晶科技,719242727,31267719,17853,23,25.5,20.15,22.61,21.2,N/A,6.13,11.1,0.852775543
6198,凌泰科技,2552927,454351,370,5.61,6.49,5.1,5.66,5.12,N/A,0,1.3,0.77224736
6223,旺矽科技,689168311,9769167,6994,70.54,75.2,63.1,70.43,64.3,12.04,9,12.43,1.597912525
6229,研通科技,7249410,638081,453,11.36,12.05,10.6,11.36,11.15,61.94,9.78,1.78,0.916940789
6233,旺玖科技,72309684,4828509,2742,14.97,16.3,13.6,14.91,13.8,N/A,0,5.48,0.906106369
6236,凌越科技,978382,55778,46,17.6,19.8,13.3,16.27,18,150,0,0.84,3.904555315
6237,驊訊電子,69544636,3562983,2239,19.51,21.45,18,19.38,18.4,N/A,0,4.63,0.943589744
6261,久元電子,2306609542,28268067,16243,81.59,87.2,69.2,80.91,80.7,13.91,5.9,26.11,1.721049264
6287,元隆電子,15680501,2682365,1268,5.84,7.19,5.26,5.75,5.31,N/A,0,1.93,0.885
6291,沛亨半導,5696180,1111391,485,5.12,5.55,4.6,5.09,4.9,N/A,0,2.28,1.084070796
8024,佑華微電,18620352,1231819,559,15.11,16,13.65,15.1,14.5,483.33,12.97,2.22,0.972501677
8040,九暘    ,41569125,3653206,2006,11.37,12.5,10.65,11.33,11.25,N/A,9.24,4.13,0.963184932
8054,安國國際,2439535686,44871356,27103,54.36,57,47.1,53.95,55.1,12,4.54,54.47,1.93877551
8066,政德光電,2762565,617285,179,4.47,5.94,2.68,4.24,3.59,N/A,0,0.55,179.5
8079,誠遠科技,56770623,3608378,1746,15.73,16.55,15,15.71,15.5,10.62,14,4.84,1.031270792
8084,巨虹電子,4115116,477230,239,8.62,9.3,8.06,8.75,8.45,17.98,0,1.18,0.985997666
8086,宏捷科技,2415561328,86152008,38443,28.03,31.95,24.55,27.67,25.2,66.32,2.78,66.34,1.792318634
8088,品安科技,165714843,11617412,4403,14.26,15.9,11.85,13.47,15.3,N/A,0,25.98,1.06323836
8277,商丞科技,76355664,4925262,2463,15.5,16.8,13.8,15.34,16.1,N/A,0,7.57,1.23561013
1569,濱川企業,1235509515,17448495,11185,70.8,75.5,62,69.85,66.5,15.08,1.29,23.57,2.495309568
3071,協禧電機,59162002,6701931,1934,8.82,9.43,7.83,8.73,8.61,26.91,0,3.63,0.797222222
3088,艾訊    ,37023873,1673021,737,22.12,23,21.25,22.02,21.35,15.25,10.3,2.16,1.347853535
3126,信億科技,232648803,5970769,1557,38.96,41.7,33.8,37.89,38.8,N/A,0,12.37,6.119873817
3171,天馳科技,2166262,190010,129,11.4,12.55,10.4,11.35,10.6,N/A,0,0.36,1.172566372
3211,順達科技,9681735555,62879763,40802,153.97,164.5,140,153.72,150,13.95,3.99,41.46,3.159890457
3213,茂訊電腦,69585428,1227704,1148,56.67,58.5,55,56.67,55.7,9.59,9.87,2.22,2.563276576
3217,優群科技,14446371,1294302,635,11.16,12.1,10.65,11.13,11,15.94,13.64,1.58,0.750341064
3287,廣寰科  ,22745216,2414513,500,9.42,10.65,8.7,9.64,9.1,N/A,14.29,5.49,0.807453416
3323,加百裕  ,597822590,24142153,11255,24.76,28.6,21.45,23.71,21.7,N/A,6.91,23.68,0.841085271
3325,旭品    ,105261518,7261877,3231,14.49,15.7,13.6,14.44,13.9,N/A,3.53,10.82,0.908496732
3416,融程電  ,22000092,478620,401,45.96,47.8,44.7,46.27,45.9,13.34,9.8,1.05,1.804954778
3479,安勤    ,159538625,5085156,3188,31.37,33.4,29.4,31.17,30.4,11.74,9.21,10.99,1.423887588
3483,力致科技,202748215,6765518,3671,29.96,33,27,29.61,29.95,16.28,1,13.82,0.750438487
3489,筌寶    ,8617421,1235357,550,6.97,7.41,6.65,6.98,6.68,N/A,0,2.34,0.583916084
3521,鴻翊    ,20085656,920606,501,21.81,24.55,19.25,21.54,19.25,N/A,0,2.91,1.516942474
3540,曜越    ,22296247,1146644,1400,19.44,21.6,18.1,19.29,19,30.65,0,1.88,0.838112042
3577,泓格科技,52986138,1763998,1163,30.03,32.5,27.9,29.89,28.2,14.31,7.06,4.04,1.579831933
3611,鼎翰科技,229249578,2393287,2029,95.78,101,90,95.76,92.1,10.78,6.51,7.07,2.851393189
3625,西勝    ,20061962,2111745,768,9.5,11.2,8.25,9.55,8.32,N/A,0,3.77,0.666666667
3652,精聯電子,4018896,201793,155,19.91,21.1,19,19.85,19.1,N/A,6.02,0.42,0.782466202
4924,F-欣厚  ,113753308,3602372,1779,31.57,37.05,28.3,31.45,29.1,13.73,3.85,10.54,1.696793003
4987,科誠    ,167042053,3980719,2842,41.96,46.85,39,41.43,43,10.78,4.65,16.59,1.669902913
5371,中強光電,2140687669,83241788,34204,25.71,27.45,24.05,25.62,24.65,15.8,14.2,11.5,0.864002804
5384,捷元    ,12436182,1081146,354,11.5,11.85,10.8,11.51,11.65,194.17,0,1.22,0.869402985
5386,青雲國際,12600,1000,1,12.6,12.6,12.6,12.6,12.6,N/A,0,0.01,3.442622951
5426,振發實業,49250259,4309450,1106,11.42,11.75,10.9,11.49,11.6,18.71,7.76,3,0.791268759
5438,東友    ,16083437,1089116,506,14.76,15.45,13.9,14.91,14.25,36.54,11.23,0.97,1.023706897
5450,寶聯電腦,18315768,1227644,732,14.91,16.5,13.5,14.79,14.4,N/A,0,2.44,1.151079137
5465,富驊企業,7570009,955337,389,7.92,8.87,7.2,7.9,7.2,N/A,0,0.62,0.818181818
5474,聰泰科技,8520350,870363,478,9.78,10.25,8.82,9.68,9.4,N/A,0,2.58,0.773026316
5490,同亨科技,206485538,6414759,3430,32.18,34.2,29.25,31.57,30.1,11.32,11.03,6.8,1.719017704
6105,瑞傳科技,143944047,5238962,2623,27.47,28.8,25.75,27.19,28.8,7.74,3.47,4.76,1.077844311
6121,新普科技,8670337982,39393334,27171,220.09,235,200,220.87,225,16.64,2.89,14.06,3.800033778
6123,上奇科技,138568323,3639429,2133,38.07,41.2,35.45,38.17,38.4,13.91,7.29,7.54,2.276229994
6150,撼訊科技,93645993,5214895,2847,17.95,20.25,16.2,17.77,16.5,45.83,16.36,7.44,1.302288871
6160,欣技資訊,48888506,1530171,945,31.94,32.9,31,31.96,32.35,11.81,7.73,2.16,2.00931677
6161,捷波資訊,158452970,10901114,4012,14.53,16,13.5,14.27,13.8,8.73,2.17,10.49,0.823880597
6188,廣明光電,233743091,11298315,5101,20.68,22.8,19.4,20.53,19.65,11.29,10.18,4.06,0.687784389
6199,精威科技,42643947,4320090,1411,9.87,12.6,6.36,9.2,11.3,N/A,0,6.83,1.751937984
6219,富旺    ,13335495,661240,292,20.16,20.65,19.15,20.18,20,N/A,0,0.48,2.383790226
6222,上揚科技,3302058,347019,161,9.51,9.72,9.01,9.2,9.66,10.06,0,0.62,1.065049614
6228,全譜科技,8350403,1186221,600,7.03,7.58,6.5,7.13,6.9,N/A,0,2.89,0.692076229
6247,淇譽電子,22969223,1871107,962,12.27,13,11.9,12.27,12,N/A,3.75,3.1,0.842105263
6298,崴強科技,493816288,28046253,11357,17.6,20.15,14.65,16.82,15.6,14.72,1.28,16.62,1.026315789
8050,廣積    ,207469605,4932267,2902,42.06,43.65,39.5,41.98,42.8,11.2,7.73,7,1.700437028
8076,伍豐科技,524100425,13423656,7474,39.04,42.8,35.5,38.89,37,50.68,0,7.96,2.5
8114,振樺電  ,65581854,1200859,963,54.61,56.8,52.1,54.74,55.7,10.57,8.13,1.97,2.670182167
8234,新漢    ,156101627,5361153,2547,29.11,31.9,27,28.99,27.2,10.15,7.35,5.56,1.561423651
8299,群聯電子,11584683351,52095530,36397,222.37,253.5,194,225.42,208,14.02,2.09,28.96,3.240885011
8410,森田印刷,748734128,13671803,8526,54.76,61.6,47.65,53.15,49.1,20.29,4.07,37.37,1.621532365
3066,李洲科技,4897021,816956,368,5.99,6.38,5.65,6.1,6.09,N/A,0,0.54,0.963607595
3128,昇銳電子,15183970,1232470,564,12.31,13.4,11.8,12.34,11.95,N/A,0,2.93,0.763578275
3230,錦明實業,7500566,1096516,396,6.84,7.7,6,6.86,6.1,N/A,0,0.99,0.38510101
3297,杭特電子,6988083,345418,264,20.23,21.85,19.1,20.22,19.75,20.57,5.01,0.99,0.877777778
3339,泰谷光電,379962710,21583451,9132,17.6,19.1,14.05,16.86,18,N/A,5.56,7.84,1.227830832
3362,先進光  ,38374950,1742030,876,22.02,23.85,19.35,21.9,21.85,437,0,2.24,2.375
3434,哲固資訊,15740053,1619329,205,9.72,10.3,9.16,9.77,9.6,N/A,0,4.94,1.149700599
3441,聯一光學,646063789,12170615,7787,53.08,58.4,48.55,52.56,49.3,13.4,1.62,38.72,1.969636436
3452,益通光能,1083595015,66105441,24983,16.39,18.25,14.05,16.03,15.1,N/A,0,13.79,0.848791456
3455,由田新技,123815152,4768202,3205,25.96,29.1,22.5,25.58,22.85,N/A,13.04,7.87,0.764725569
3490,單井    ,25337990,1174629,623,21.57,22.75,20.15,21.67,21.4,12.44,16.36,3.36,0.970961887
3516,亞帝歐  ,15340853,1715286,732,8.94,9.5,8.49,8.91,8.72,N/A,0,2.26,0.304788535
3520,振維    ,53991410,3781872,511,14.27,14.9,13.2,14.12,13.2,N/A,0,7.38,1.046788263
3522,宏森    ,34621434,2745885,1320,12.6,13.6,11.5,12.56,12,33.33,10,5.81,0.557103064
3523,迎輝科技,164148092,6177312,2589,26.57,30.4,22.75,26.32,23.35,N/A,0,6.31,0.912465807
3531,先益電子,24444218,1219804,735,20.03,21.75,18.75,20.2,20.8,10.1,5.77,2.01,0.724738676
3562,頂晶科技,12834807,916269,768,14,15.7,11.75,13.64,12.5,N/A,0,1.75,1.854599407
3615,安可光電,670496083,10642453,7825,63,74,51.5,63.28,51.5,9.38,1.94,23.14,1.245465538
3623,富晶通  ,55766652,3992048,2182,13.96,15.85,11.55,13.75,11.8,N/A,0,6.98,1.150097466
3629,卓韋光電,91313814,4370796,2453,20.89,23.2,17.35,20.35,17.35,N/A,2.82,16.59,1.472835314
3630,新鉅科  ,1110693428,22029862,14226,50.41,57.4,42.05,49.33,43.9,N/A,6.95,25.53,1.775171856
3685,政翔    ,182979942,7619637,4387,24.01,28.1,20.15,23.51,20.3,10.1,9.95,18.93,1.141732283
3691,碩禾    ,3318621842,11232082,10715,295.45,312.5,265,292.6,300.5,16.23,9.32,25.45,3.876919107
4729,熒茂光學,146040712,7648826,4056,19.09,20.95,17.4,18.87,17.6,N/A,0,7.51,0.773626374
4933,友輝    ,3992657604,29590334,18598,134.93,155.5,113,135.32,127,16.26,3.15,61.1,3.036098494
4944,兆遠    ,1464649565,46231237,21542,31.68,34.4,27,30.49,29.7,N/A,7.41,50.27,1.665731913
4950,牧東    ,99313755,3979095,2297,24.95,25.4,24,24.9,24.8,N/A,1.57,5.18,1.02947281
5315,光聯科技,63478104,13250942,3325,4.79,5.2,4.2,4.76,4.52,N/A,0,8.34,0.644793153
5392,應華精密,312922335,5187527,3772,60.32,65.7,52.6,59.84,53.5,23.46,7.48,6.66,1.23986095
5395,圓方創新,5788828,312783,251,18.5,22,15.05,18.88,17.6,N/A,0,1.23,2.458100559
5432,達威光電,4945412,363853,202,13.59,15.8,12.6,14.01,13.1,12.84,0,1.76,1.449115044
5443,均豪精密,85571011,8876167,2828,9.64,10.5,8.8,9.51,9.29,30.97,7.53,4.96,0.656537102
6125,廣運機械,116761191,10354234,4177,11.27,12.95,10.1,11.1,10.55,N/A,12.89,4.07,0.457105719
6156,松上電子,254783,73555,106,3.47,4.15,3.11,3.48,3.5,N/A,0,0.09,0.486111111
6167,久正光電,1710649,742893,324,2.3,2.6,1.99,2.27,2.6,10,0,0.46,0.653266332
6234,高僑    ,27376416,1983435,733,13.8,14.4,12.6,13.83,13.9,33.9,0,2.78,0.411242604
6244,茂迪    ,2308406891,49178238,28722,46.93,51,42,46.55,42.85,N/A,16.34,11.24,1.047421168
6246,臺龍電子,191749207,16353664,5805,11.72,12.85,10.9,11.62,11.1,29.21,0,9.2,1.168421053
6294,智基科技,3936519,100098,102,39.41,44.25,35.3,38.63,44.25,21.07,0,0.65,5.005656109
8049,晶采光電,48725905,8083341,2546,6.02,6.65,5.2,5.9,6.15,N/A,0,7.43,0.593056895
8053,巨擘科技,12984938,2311965,783,5.61,6.2,5.3,5.61,5.5,N/A,0,0.56,0.471293916
8064,東捷科技,21189075,2557554,978,8.28,9.24,7.7,8.2,7.77,N/A,5.15,1.94,0.543736879
8069,元太科技,4892820804,136062584,65584,35.96,39.8,30.1,36.29,32,8.51,8.31,12.6,1.278465841
8071,豐聲科技,11189955,436601,215,25.62,27.3,23.8,25.94,24.35,8.09,1.72,1.29,1.68395574
8077,冠華科技,117259,34294,18,3.41,3.9,2.7,3.33,3.07,N/A,0,0.06,2.088435374
8087,華鎂鑫  ,1540245,204131,112,7.54,8.27,7.22,7.8,7.58,N/A,0,0.59,0.640743872
8107,大億科技,32406453,4324678,1254,7.49,7.99,7,7.41,7.53,N/A,11.29,2.56,0.490873533
8111,立碁電子,63852232,6590712,2737,9.68,10.6,8.76,9.58,9.09,N/A,8.47,4.49,0.826363636
8240,華宏新技,386852280,7662020,5082,50.48,56.2,46.4,49.94,46.8,10.4,6.84,9.01,0.99384158
8266,中日新  ,9117974,2793415,714,3.26,5.06,2.04,3.15,2.04,N/A,0,2.42,0.651757188
3068,美磊科技,132490962,2824291,1895,46.91,51.5,42,46.03,42.4,18.84,10.28,3.91,2.436781609
3095,及成    ,102099218,9476461,3392,10.77,12,9.66,10.64,9.7,N/A,0,4.35,0.671280277
3152,璟德電子,315890870,3981915,2814,79.33,90.4,69.9,81.24,74,15.38,7.43,5.77,1.9592269
3221,台灣嘉碩,13004134,1221176,824,10.64,11.8,9.92,10.62,10.1,N/A,11.88,1.44,0.59976247
3234,光環    ,662198400,25871269,12611,25.59,27.7,22.9,25.04,24.35,12.75,4.11,27.66,1.666666667
3290,東浦    ,329985456,18448920,8377,17.88,21.4,14.85,17.68,15.15,12.73,3.3,21.88,1.056485356
3306,鼎天國際,60025482,2313449,1459,25.94,29.7,23.2,25.61,24.8,11.32,6.45,4.57,0.78680203
3363,上詮    ,258161005,8266850,4207,31.22,34.55,27.9,31.22,28.35,17.5,4.23,13.75,1.692537313
3431,長天科技,99748125,6536923,2694,15.25,17.7,12.6,15.04,13.95,126.82,0,13.81,2.28314239
3491,昇達科技,248822037,5938891,3491,41.89,45.5,38.05,41.45,40.8,24.58,5.37,13.37,1.886269071
3499,環天科技,29773752,2184107,904,13.63,14.45,11.25,13.02,12.4,N/A,0,4.11,0.824468085
3632,研勤科技,206762137,4302218,3483,48.05,55.3,39.05,46.84,39.15,25.93,4.6,17.58,2.214366516
4903,聯光通信,66953100,7818733,2943,8.56,9.23,7.73,8.43,8.06,12.59,0,10.26,0.744916821
4905,台聯電訊,56953356,2518982,1372,22.6,24.35,19.4,22.06,23.9,13.13,2.09,4.97,1.214430894
4907,春雨開發,1541021,462139,8,3.33,3.53,3.06,3.17,3.06,N/A,0,1.21,17
4908,前鼎光電,129687607,4646654,1702,27.9,29.6,25.25,27.47,26.9,10.63,7.81,6.22,1.757021555
4909,新復興  ,335288009,9648649,5363,34.74,39.4,30.25,34.36,30.9,11.93,8.74,10.43,1.33650519
4979,華星光  ,684184736,12660087,7993,54.04,59.3,46.9,53.29,51.2,23.38,0.98,30.45,3.196004994
5304,鼎創達  ,9327186,1371986,760,6.79,7.35,6.22,6.78,6.7,10.63,0,0.74,1.261770245
5306,訊康科技,129485484,3527010,1880,36.71,39.85,32.8,37.05,34.75,N/A,0,3.42,4.088235294
5348,系通科技,37296146,2216500,1112,16.82,19.5,15.4,16.58,16.7,11.52,0,8.54,1.698880977
5353,台林通信,20209910,1946304,979,10.38,11.3,9.8,10.24,9.85,32.83,3.65,2,0.711705202
6109,亞元科技,6539647,679702,366,9.62,10.35,8.63,9.62,9.4,N/A,0,0.94,0.960163432
6143,振曜科技,151805107,5648320,3122,26.87,30.25,24.1,26.5,24.2,12.28,8.14,7.01,1.101502048
6163,華電聯網,1272104475,68975226,26215,18.44,20,16.5,18.29,17.2,10.68,0,75.86,1.197771588
6170,統振    ,208960155,9428751,4751,22.16,24.3,20.2,21.74,20.8,17.33,0.63,10.5,1.349772875
6190,萬泰科技,20760370,2351674,1043,8.82,9.76,7.83,8.74,7.94,198.5,3.78,1.87,0.661666667
6218,豪勉科技,79200279,2724686,1410,29.06,31.5,27.65,29.04,27.8,12.41,14.39,4.66,1.593123209
6241,易通展  ,10163488,222451,190,45.68,49.3,40.6,45.26,44.1,38.02,0,0.94,3.948075201
6245,立端科技,525079798,14528915,6249,36.14,38.65,33.3,36.19,35.55,13.07,0.7,21.86,2.104795737
6263,普萊德  ,21257599,963623,616,22.06,23.6,20.8,22.24,22.3,12.25,6.73,1.66,1.444300518
6264,德士通  ,23990255,2407338,1193,9.96,11,8.8,9.85,9.6,N/A,0,1.75,1.295546559
8034,榮群電訊,9230041,1624765,645,5.68,6,5.4,5.71,5.81,N/A,0,2.58,0.734513274
8048,德勝科技,13865671,1309442,685,10.58,11.8,10,10.76,10.6,23.56,3.77,2.61,0.839936609
8059,凱碩    ,18961453,2927043,754,6.47,6.94,5.9,6.35,5.9,N/A,0,3.16,0.635091496
8082,眾星國際,17560363,2275258,781,7.71,9.01,6.47,7.7,7.45,N/A,0,4.02,1.41634981
8097,鴻松精密,2156954,375141,139,5.74,6.3,4.4,5.6,6.18,N/A,0,0.93,1.786127168
8171,天宇    ,53496669,2446256,1344,21.86,23.8,19.35,21.73,21.4,31.01,5.61,5.97,1.140117208
1333,恩得利  ,12166243,2008249,952,6.05,6.69,5.62,5.98,5.97,N/A,0,1.96,0.962903226
1336,台翰    ,23499593,1964682,334,11.96,12.95,11.55,12.22,12.2,N/A,0,2.97,0.483743061
1595,川寶    ,172736573,2397556,1859,72.04,78.8,64.9,71.92,65.5,8.04,4.58,6.51,1.599902296
1815,富喬    ,4478078757,186633341,62459,23.99,26.65,19.95,23.4,19.95,17.65,5.06,63.86,1.122678672
3078,僑威科技,144639885,12827736,4087,11.27,12.55,10.2,11.35,10.3,11.57,10.97,5.64,0.729978738
3089,展成科技,69799257,4664009,1053,14.96,16,13.35,15.14,14.35,N/A,2.09,8.94,1.343632959
3092,鴻碩精密,10023461,841572,577,11.91,12.75,11.35,11.96,12,50,10,1.32,0.653950954
3114,好德科技,12861003,1083570,604,11.86,12.5,11,11.85,11.6,20,1.72,2.17,0.767195767
3115,寶島極光,7659749,647207,238,11.83,12.4,11.1,11.82,12,N/A,0,1.48,1.524777637
3144,新揚科  ,34710124,2729183,670,12.71,13.3,11.95,12.85,12.95,18.77,0,3.54,2.217465753
3191,和進電子,10800565,1313263,544,8.22,8.89,7.57,8.26,7.65,85,0,2.43,0.537974684
3202,樺晟電子,10343578,1376280,458,7.51,8.24,7.15,7.53,7.35,N/A,2.72,1.78,0.466074826
3206,志豐電子,250653018,10708027,3695,23.4,25.35,20.95,22.98,21.45,12.05,6.95,27.53,1.274509804
3207,耀勝電子,16358524,1366281,656,11.97,13.3,11.1,11.98,11.8,N/A,3.39,3.57,0.870848708
