櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年09月 Sep. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,911,835,357元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,769,136筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,399,491,231股",,,,,,4. 成交量週轉率： 9.57%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5011,久陽精密,776458,24927,37,31.17,34.25,28.1,30.9,28.1,20.81,0,0.08,2.68
5013,強新工業,40741470,2855279,1109,14.26,15.2,13.55,14.28,13.7,4.79,12.4,2.92,0.85
5014,建錩實業,23527841,2542604,779,9.25,9.9,8.4,9.21,8.88,15.31,6.75,1.55,0.69
5015,華祺工業,46698271,2790470,1419,16.73,18,15.6,16.61,15.75,10.16,2.53,4.6,1.02
5016,松和工業,475623394,12221251,1969,38.91,40.4,36.7,38.82,39.4,9.87,6.34,24.63,1.82
8349,友信    ,17795687,671544,243,26.49,28.3,24.8,26.42,25.95,16.74,4.97,1.03,1.82
8930,青鋼金屬,19593083,1555683,712,12.59,13.7,11.25,12.54,11.75,12.37,7.57,2.73,0.88
9962,有益鋼鐵,28383721,1911576,1086,14.84,15.55,14,14.72,14.25,6.72,13.33,2.12,1.1
5102,富強輪胎,154527509,6271335,2479,24.64,28.3,19.5,23.36,21.45,9.05,4.66,10.28,1.51
2596,綠意開發,5952170,429893,283,13.84,14.75,13,14.04,13.35,N/A,8.98,0.63,1.01
4113,聯上實業,12915250,865000,483,14.93,16.5,14,14.86,14.3,16.82,0,1.57,1.06
4416,三圓建設,123065492,1841301,50,66.83,70,62,66.23,65,13.83,4.92,3.07,2.6
