櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
04月Apr. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 503,279,227,831元",,,,,,4. 加權平均本益比：16.07,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,875,680,645股",,,,,,5. 加權平均殖利率： 5.56%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,278,317筆",,,,,,6. 成交量週轉率： 19.33%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5007,三星科技,141648391,5007036,1582,28.28,29.8,27.7,28.2,28.1,10.04,7.54,2.28,2.21
5009,榮剛材料,1445851643,29542234,12635,48.94,53.4,46.1,48.97,48,9.96,4.79,9.86,2.5
5011,久陽精密,,,,,,,,3.22,NA,0,0,3.58
5013,強新工業,218296208,11866522,3418,18.39,20.15,15.8,17.9,18.9,10.27,5.29,15.3,1.34
5014,建錩實業,112604918,7096844,2934,15.86,16.85,14.1,15.75,14.3,14.16,15.38,6.1,0.9
5015,華祺工業,350506404,10642097,5219,32.93,35.65,31.5,32.99,31.85,5.54,6.27,17.55,1.8
5016,松和工業,14757532,721614,317,20.45,21.6,19.45,20.52,21.1,13.19,7.1,1.76,1.02
8349,友信    ,8252913,384383,186,21.47,22.45,20.8,21.62,22,0,6.81,0.66,1.51
8930,青鋼金屬,35312523,2327079,724,15.17,15.9,13.8,15.02,15.7,13.08,6.36,5.71,1.25
9962,有益鋼鐵,192254015,9320189,3616,20.62,21.55,18.4,20.23,18.95,16.48,0,12.71,1.21
2114,鑫永銓  ,51825431,1210772,539,42.8,44.3,41.75,42.65,44.1,10.35,5.8,2.69,2.2
5102,富強輪胎,16334095,1437735,419,11.36,12.4,10.5,11.26,12.25,136.11,3.1,2.6,0.99
4416,三圓建設,4999255,59484,64,84.04,92.6,79,85.99,81,25.39,1.79,0.1,4.91
