櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年05月 May 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 425,129,230,170元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,019,226筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,585,590,742股",,,,,,4. 成交量週轉率： 14.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5009,榮剛材料,9204731276,251473484,88359,36.6,39.6,33.3,36.39,36,26.09,0,71.67,2.12
5011,久陽精密,2484454,97256,131,25.6,33.75,18.3,24.21,23.15,79.83,0,0.3,2.39
5013,強新工業,118650871,6117830,2289,19.39,20.2,18.4,19.24,18.9,6.12,0,7.02,1.18
5014,建錩實業,81059817,7333492,2786,11.05,11.6,10.7,10.97,10.95,13.86,3.66,4.65,0.82
5015,華祺工業,197625571,11760791,4816,16.8,17.85,15.7,16.32,16.35,24.04,6.3,19.39,1.07
5016,松和工業,273349619,6170975,3552,44.29,47.65,40.25,43.66,43,10.78,0.69,13.68,1.96
8349,友信    ,10978938,407684,311,26.93,27.4,26.5,26.95,27.4,17.13,1.48,0.63,1.78
8930,青鋼金屬,28045860,1862160,784,15.06,15.55,14.75,15.01,15.1,10.79,4.41,3.37,1.06
9962,有益鋼鐵,89207792,4332131,1941,20.59,21.3,19.9,20.58,20.35,8.17,3.43,5.52,1.56
5102,富強輪胎,229237004,10142883,4549,22.6,24.4,20,21.92,21.65,11.90,0,17.45,1.56
2596,綠意開發,19794685,1123343,469,17.62,18.05,17.25,17.68,17.35,66.73,8.64,1.65,1.19
4113,聯上實業,10523777,693845,382,15.16,15.8,14.8,15.13,15.5,110.71,0,1.26,1.22
4416,三圓建設,2066027,26685,32,77.37,81.3,73.8,77.39,75.1,12.09,4.55,0.04,2.61
5213,亞昕    ,519616208,13110084,5818,39.63,40.6,38.55,39.42,39.5,5.03,6.96,8.21,1.64
5505,和旺建設,810274138,19412609,8281,41.73,43.55,39.3,41.02,43.1,7.07,1.66,21.77,1.97
5506,長鴻營造,101032064,12000332,3842,8.41,9.26,7.88,8.15,7.9,18.81,0,5.92,0.93
5508,永信建設,78845706,2503357,1466,31.49,33.5,29.75,31.12,32.75,10.46,8,1.36,1.76
5511,德昌營造,88115360,3597912,1320,24.49,26.3,23.4,24.39,23.95,7.02,4.87,4.37,1.25
5512,力麒建設,1251851307,76453447,20201,16.37,16.95,15.5,16.2,16.55,6.95,7.92,13.65,0.91
5514,三豐建設,56339136,2352113,936,23.95,26.6,21.4,22.68,25.8,19.40,3.59,2.21,1.88
5516,雙喜    ,5416870,433443,216,12.49,12.95,12.25,12.58,12.55,13.94,3.98,1.13,1.02
5519,隆大營建,130779922,3348160,1760,39.06,40.2,37.8,38.8,39.8,5.37,2.91,4.78,2.09
5520,力泰建設,9996961,396177,337,25.23,26.75,24.5,25.04,25.4,20.48,6,0.56,0.98
5521,工信    ,255339980,22233749,5371,11.48,11.9,10.95,11.41,11.25,22.96,0,6.4,0.94
5523,宏都建設,48927183,4239970,1512,11.53,12.15,10.8,11.46,11.75,48.96,0,3.88,1.16
5529,志嘉建設,9514428,983568,281,9.67,10,9.32,9.7,9.95,N/A,5.13,2.03,0.79
5530,龍巖    ,4105499887,41983013,24460,97.78,108,85.5,93.25,100.5,53.46,0,10.52,6.41
6177,達麗建設,77669783,2371118,947,32.75,34.85,29.75,32.55,34.85,7.46,4.5,2.55,2.04
6212,理銘科技,7254661,565878,197,12.82,13.55,12.6,12.91,12.9,58.64,0,0.55,1.43
2636,台驊國際,109672320,3423114,1606,32.03,32.65,31.5,32.01,31.75,12.21,2.15,6.66,1.62
5601,台聯貨櫃,2908301,163920,105,17.74,18.6,16.95,17.64,16.95,70.63,1.26,0.23,0.85
5603,陸海交通,52300531,3473680,1187,15.05,16.35,13.9,14.99,16.25,125.00,0,5.52,1.28
5604,中連貨運,49480718,1831306,890,27.01,27.75,26.5,26.98,26.6,12.26,4.41,1.68,1.14
5609,中菲行  ,148058653,5722714,2817,25.87,26.7,24.7,25.85,25.65,10.56,4.87,4.37,1.85
2718,桃園店  ,76231179,1910385,1116,39.9,41.5,38.5,39.95,40,27.78,1.11,8.46,2.14
5701,劍湖山  ,271137363,26935211,7142,10.06,10.35,9.7,10.03,10.15,N/A,0,6.48,1.3
5703,亞都麗緻,110605755,3356272,1809,32.95,35.3,28.2,32.62,32.7,40.37,0,4.78,2.7
5704,老爺知  ,6269604,274716,212,22.82,23.6,21.7,22.97,23.05,45.20,0.88,0.71,1.8
5706,鳳凰國際,1709163805,19139185,11941,89.3,102,78.5,86.41,102,21.89,6.89,48.07,3.81
5820,日盛金控,2440784211,171025906,27260,14.27,15.2,13.15,13.93,13.4,12.41,0,7.27,1.09
6008,凱基證券,3635431551,242445250,44946,14.99,15.55,14.4,14.87,15.15,14.16,3.04,7.56,0.98
6015,宏遠證券,116840503,14506084,3130,8.05,8.47,7.52,8.03,8.06,89.56,0,3.18,0.84
6016,康和證券,165088639,17319255,3819,9.53,9.85,9.16,9.5,9.65,48.25,4.32,2.54,0.82
6020,大展證券,58962591,3199220,690,18.43,20,17.4,18,17.85,21.51,2.98,1.38,1.18
6021,大慶證券,81657981,4949592,1958,16.49,17.25,15.15,16.31,16.25,13.21,3.07,1.77,1.03
6022,大眾證  ,114064153,9520743,2504,11.98,12.45,11.2,11.92,11.95,44.26,18.07,2.43,0.95
6023,寶來期  ,34791128,919569,604,37.83,38.45,37.3,37.78,37.5,13.94,4.84,0.7,1.55
6024,群益期  ,23520046,837966,484,28.06,28.55,27.6,28.17,27.7,11.94,6.31,0.99,1.37
2916,滿心企業,134131775,5003198,1920,26.8,27.5,25.35,26.77,27,11.95,6.64,10.77,1.6
5902,德記洋行,29963400,2713010,1046,11.04,11.6,10.05,10.93,10.8,N/A,0,2.87,1.67
5903,全家    ,1693463045,12172169,9495,139.12,147.5,129,137.83,134,31.83,1.88,5.45,6.86
5904,寶雅國際,356962940,10250292,4096,34.82,37.2,33.6,34.42,34.4,10.06,6.8,11.61,1.84
5905,南仁湖  ,452778572,25642793,11097,17.65,20.25,15.35,17.93,16.15,N/A,0,12.13,1.42
8941,關中    ,12013560,1129796,387,10.63,11.1,10.3,10.7,10.55,N/A,0,0.93,1.94
9960,邁達康  ,62137179,3109998,1500,19.97,22.3,18.3,19.97,19.6,11.74,12.76,10.01,1.47
