櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5011,久陽精密,0,0,0,0,0,0,0,19.7,49.25,0,0,2.18
5013,強新工業,191775618,9224011,3160,20.79,22.1,19.9,20.58,19.95,7.31,0,10.58,1.34
5014,建錩實業,212793495,17737684,5393,11.99,12.5,11.2,11.87,11.4,190.00,3.5,11.24,0.81
5015,華祺工業,24854935,1675599,680,14.83,15.3,14.2,14.76,14.5,29.00,6.89,2.76,0.98
5016,松和工業,160888388,4102711,2132,39.21,40.75,37,38.99,39.75,9.08,0.75,9.09,1.87
8349,友信    ,15187659,560914,333,27.07,28,26,27.11,27,21.60,1.48,0.87,1.81
8930,青鋼金屬,29403627,1868516,708,15.73,16.65,15.25,15.6,15.3,9.44,4.29,3.46,1.03
9962,有益鋼鐵,189398168,8986643,3083,21.07,22.2,18.8,20.57,20.7,11.83,3.28,11.45,1.81
5102,富強輪胎,31614538,2221684,572,14.22,14.75,13.8,14.22,14.3,15.54,0,3.82,1.12
2596,綠意開發,19143698,995662,493,19.22,20.5,17.8,19.35,18.3,11.02,8.19,1.46,1.24
4113,聯上實業,8306848,470562,287,17.65,18.45,17.05,17.64,17.2,26.46,0,0.85,1.4
4416,三圓建設,838068,10075,12,83.2,86,81,83.7,86,23.82,4.18,0.02,3.55
5213,亞昕    ,306460200,7918964,3213,38.69,41.25,36,39.04,37.45,5.37,7.2,4.96,1.95
5505,和旺建設,302235295,7088816,2960,42.63,44.95,39.8,42.93,42,N/A,1.59,7.95,3.02
5506,長鴻營造,52221650,5833186,1513,8.95,9.44,8.21,8.97,8.23,N/A,0,2.88,1
5508,永信建設,120131491,4025034,694,29.84,32.4,29.8,31.42,30.1,13.03,8.67,2.19,1.81
5511,德昌營造,133139106,5330501,2193,24.97,26.55,23.65,25.04,25.1,10.59,4.78,6.48,1.48
5512,力麒建設,574097154,33710046,9373,17.03,18.35,15.7,17.07,16.1,6.57,8.07,6.04,0.94
5514,三豐建設,10125169,484450,314,20.9,21.9,20.3,21.16,20.7,29.57,3.86,0.45,1.65
5516,雙喜    ,5499037,430299,195,12.77,13.55,12.5,12.84,12.85,9.96,3.89,1.12,1.06
5519,隆大營建,56425717,1483892,770,38.02,40.4,34.2,38.04,34.6,11.57,3.35,2.12,2.56
5520,力泰建設,3081882,130245,68,23.66,25.2,23,23.87,23.15,11.75,6.47,0.18,0.92
5521,工信    ,569196073,45513727,9848,12.5,13.3,11.05,12.39,11.25,N/A,0,13.1,2.22
5523,宏都建設,96397731,7958033,2012,12.11,12.8,11.55,12.03,11.9,N/A,0,7.28,1.09
5529,志嘉建設,7351158,795905,239,9.23,9.65,9.05,9.25,9.05,N/A,5.52,1.64,0.68
5530,大漢建設,2300447237,21696257,12767,106.02,116,98.2,104.32,98.5,44.57,0,5.68,8.5
6177,達麗建設,228542415,6073681,1959,37.62,38.5,35.3,37.59,35.7,19.19,4.08,6.95,2.94
6212,理銘科技,4789303,378924,110,12.63,12.9,12.5,12.73,12.65,7.67,0,0.37,1.42
2636,台驊國際,86253056,2755219,1100,31.3,32.85,30.5,31.22,30.85,12.39,2.23,5.36,1.82
5601,台聯貨櫃,5372249,311319,196,17.25,18.2,16.4,17.24,17.6,67.69,1.25,0.43,0.89
5603,陸海交通,15465360,1237918,349,12.49,12.8,12.2,12.48,12.35,56.14,0,1.97,0.92
5604,中連貨運,24165454,868501,453,27.82,28.4,27.45,27.88,27.7,12.94,4.25,0.8,1.35
5609,中菲行  ,112435988,4211635,2439,26.69,28,25,26.73,25.4,11.39,4.88,3.21,1.8
5701,劍湖山  ,299058922,28467348,7724,10.5,11.6,10,10.3,10.1,N/A,0,6.85,1.22
5703,亞都麗緻,5189936,189149,130,27.43,28.7,26.6,27.83,27.3,33.29,0,0.27,2.36
5704,老爺知  ,2029360,89418,93,22.69,23.8,21.95,22.78,22.6,102.73,0.88,0.23,1.82
5706,鳳凰國際,466235455,6344596,4056,73.48,81,68.5,72.75,70.2,16.83,3.24,15.93,2.9
5820,日盛金控,2054164774,146968252,21490,13.97,14.65,13.2,13.88,13.6,19.71,0,6.25,1.26
6008,凱基證券,4118393553,270860265,45038,15.2,17.1,14.1,15.16,14.25,12.95,3.15,8.45,0.96
6015,宏遠證券,160860508,18647109,4093,8.62,9.6,7.96,8.57,8.1,23.82,0,4.08,0.88
6016,康和證券,274896899,27422761,5650,10.02,11.15,9.34,9.94,9.53,68.07,4.19,4.02,0.83
6020,大展證券,14181367,805475,299,17.6,18.6,17.1,17.65,17.4,22.03,3.1,0.35,1.21
6021,大慶證券,170406273,9836158,3303,17.32,19.45,15.95,17.14,16.3,11.99,3.06,3.53,1.12
6022,大眾證  ,143210446,11542666,3307,12.4,13.6,11.75,12.35,12.1,18.91,17.85,2.95,1.01
6023,寶來期  ,34381620,933733,790,36.82,37.6,36.1,36.9,36.8,20.11,4.97,0.71,1.74
6024,群益期  ,18219085,618788,414,29.44,29.95,28.5,29.51,29.1,16.08,6.01,0.73,1.63
2916,滿心企業,17788434,762713,346,23.32,23.85,22.5,23.3,23,11.39,7.82,1.64,1.53
5902,德記洋行,11357911,974566,397,11.65,12.2,11.1,11.6,11.2,N/A,0,1.03,1.53
5903,全家    ,549103650,5056453,3190,108.59,121,97.5,106.93,98.6,23.99,2.63,2.27,5.41
5904,寶雅國際,29092623,986917,576,29.47,29.8,29.25,29.45,29.5,10.65,8.3,1.12,1.8
5905,南仁湖  ,946533727,39255814,12415,24.11,25.55,23,23.67,24.4,N/A,0,18.6,2.03
8941,關中    ,21917158,1874118,766,11.69,12.7,10.75,11.5,11.5,N/A,0,1.54,1.76
9960,邁達康  ,13877067,641862,375,21.62,22.55,20.6,21.54,21.2,10.93,11.42,2.07,1.59
1584,精剛精密,439787834,13192608,6595,33.33,35,30.8,32.52,33.35,555.83,0,19.29,2.02
2221,大甲    ,23249938,1461861,739,15.9,16.9,15.2,15.86,15.8,N/A,0,3.45,1.28
3284,太普高  ,37133800,2023729,828,18.34,19.95,16.8,18.41,18.15,10.25,5.5,3.85,1.37
3388,崇越電通,924515316,11137941,6857,83,88.6,71.8,77.07,86,11.10,4.88,20,2.06
5312,寶島科  ,344285548,4372045,3087,78.74,81.3,75,78.27,77,22.38,2.59,7.28,4.41
6186,晶磊興業,43903830,2382563,1084,18.42,19.75,16.8,17.96,17.1,16.29,0,11.25,1.41
6803,崑鼎投控,85333650,745058,677,114.53,118.5,109,114.82,115,16.76,5.26,1.29,3.15
8390,金益鼎  ,47207083,1198239,923,39.39,41,37.15,39.06,39.35,15.49,3.82,2.06,2.06
8401,白紗科技,65469773,1995229,1149,32.81,34.7,31.55,32.67,31.75,11.55,6.25,5.42,1.97
8705,東隆五金,28023712,851569,594,32.9,33.95,32.1,32.8,32.5,12.17,7.53,1.02,2.22
8905,裕國    ,18234438,1295330,533,14.07,14.6,13.65,14.06,13.8,11.79,2.89,1.08,1.01
8906,花王企業,21786275,2850344,783,7.64,8.26,6.64,7.19,8.26,N/A,0,5.55,0.95
8913,華夏資融,45239516,2230074,1205,20.28,21.3,19.7,20.08,19.8,2.69,2.01,4.94,1.14
8916,光隆    ,225325260,9417663,4332,23.92,27.55,20.2,23.1,21.2,9.18,3.01,10.62,0.96
8921,沈氏印刷,2540660,180897,74,14.04,14.45,14,14.08,14.2,14.79,4.22,0.39,0.84
