櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年03月 Mar. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,700,709,051元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,914,571筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,928,243,769股",,,,,,4. 成交量週轉率： 18.00%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5009,榮剛材料,5152195397,164275364,60600,31.36,33.8,28.55,31,30.3,275.45,0,48.83,1.91
5011,久陽精密,0,0,0,0,0,0,0,19.7,49.25,0,0,2.18
5013,強新工業,352159597,17635526,5977,19.96,21.5,18,19.85,20.5,7.51,0,20.23,1.38
5014,建錩實業,154343191,14125001,3982,10.92,11.8,9.7,10.8,11.35,189.17,3.52,8.95,0.81
5015,華祺工業,23551812,1654186,733,14.23,14.75,13.6,14.29,14.4,28.80,6.94,2.73,0.97
5016,松和工業,1035600972,19989815,9790,51.8,64.5,40,50.62,51.2,11.69,0.59,44.31,2.41
8349,友信    ,16049879,599030,385,26.79,27.5,25.2,26.9,26.5,21.20,1.51,0.93,1.77
8930,青鋼金屬,36037819,2394157,886,15.05,15.55,14.25,15.1,15.15,9.35,4.36,4.41,1.02
9962,有益鋼鐵,144703431,7022025,2566,20.6,21.6,19.05,20.57,20.85,11.91,3.36,8.95,1.78
5102,富強輪胎,926560719,46622113,15680,19.87,25,13.85,18.23,24.5,26.63,0,80.21,1.92
2596,綠意開發,42359485,2325229,1184,18.21,19.6,16.1,17.73,18.8,11.33,7.98,3.41,1.27
4113,聯上實業,22112238,1430696,788,15.45,17.2,14,15.4,15.8,24.31,0,2.59,1.29
4416,三圓建設,2427729,31197,34,77.83,82,73,79.77,78.6,21.77,4.58,0.05,3.25
5213,亞昕    ,333880170,9679551,4405,34.49,37,32.2,34.62,34.1,4.89,7.92,6.06,1.78
5505,和旺建設,944152968,23765901,10627,39.72,42.55,33.6,39.62,41.15,N/A,1.63,26.65,2.95
5506,長鴻營造,68496001,8439518,1915,8.11,8.34,7.77,8.14,8.25,N/A,0,4.16,1
5508,永信建設,218548007,7938218,1345,27.53,30.5,26.85,28.89,28.75,12.45,9.08,4.33,1.73
5511,德昌營造,144321817,6257045,2453,23.06,25.75,20.05,23.56,23.6,9.96,5.08,7.6,1.39
5512,力麒建設,1102439209,72852105,17981,15.13,16.8,13.8,15.11,14.9,6.08,8.72,13.04,0.87
5514,三豐建設,18399410,911067,427,20.19,21,18.4,20.24,21,30.00,3.81,0.86,1.67
5516,雙喜    ,23554927,1776091,779,13.26,14.7,11.75,12.83,12.8,9.92,3.91,4.64,1.06
5519,隆大營建,96162847,2880358,1393,33.38,36,30,33.28,35.4,11.84,3.28,4.11,2.62
5520,力泰建設,6242443,258473,166,24.15,24.95,22.35,24.3,24.85,12.61,6.04,0.36,0.98
5521,工信    ,424479629,38674763,8843,10.97,11.7,10.15,10.98,11.2,N/A,0,11.13,2.21
5523,宏都建設,67403165,5951262,1677,11.32,12.15,10.35,11.46,11.1,N/A,0,5.44,1.01
5529,志嘉建設,10744554,1211942,354,8.86,9.23,8.31,8.9,9.15,N/A,5.46,2.5,0.69
5530,大漢建設,3058357043,33468306,22484,91.38,101.5,83,90.87,90.9,41.13,0,8.76,7.84
6177,達麗建設,205077049,6153859,1928,33.32,37.7,30.3,32.76,31.8,17.10,4.59,6.95,2.62
6212,理銘科技,10272133,814879,198,12.6,13.1,12,12.68,12.6,7.64,0,0.8,1.42
2636,台驊國際,247664371,7748451,2845,31.96,33.65,28.9,31.1,32.3,12.97,2.14,15.07,1.91
5601,台聯貨櫃,61806525,3364850,734,18.36,19.4,15.8,17.57,17.5,67.31,1.26,4.67,0.89
5603,陸海交通,29976586,2415173,655,12.41,13,11.6,12.44,12.35,56.14,0,3.84,0.92
5604,中連貨運,57056467,2059463,1073,27.7,28.5,26.2,27.81,28.3,13.22,4.17,1.89,1.38
5609,中菲行  ,206912426,8088792,4180,25.58,26.95,23.25,25.45,25.8,11.57,4.81,6.17,1.82
2718,桃園店  ,66749829,1788524,1177,37.32,39.3,35,37.16,36.9,35.14,1.22,7.92,2.33
5701,劍湖山  ,300790203,32170281,9626,9.34,10.35,8.23,9.52,9.27,N/A,0,7.74,1.12
5703,亞都麗緻,5658528,216024,159,26.19,28.25,24,26.71,27,32.93,0,0.31,2.33
5704,老爺知  ,3372395,150689,126,22.37,23,21.05,22.48,21.05,95.68,0.95,0.39,1.7
5706,鳳凰國際,1026539791,14513459,9246,70.73,78.2,62.1,71.65,73.4,17.60,3.11,36.45,3.03
5820,日盛金控,1719861469,125256947,16915,13.73,14.35,12.45,13.74,13.9,20.14,0,5.33,1.29
6008,凱基證券,3229555680,225331870,44915,14.33,15.25,13.5,14.37,14.1,12.82,3.19,7.03,0.95
6015,宏遠證券,144892952,18577794,4177,7.79,8.4,7,7.82,7.64,22.47,0,4.07,0.83
6016,康和證券,238007587,26203455,6685,9.08,9.78,8.39,9.14,9.19,65.64,4.35,3.84,0.8
6020,大展證券,21560831,1257019,336,17.15,17.7,16.3,17.2,17,21.52,3.18,0.54,1.19
