櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5013,強新工業,668956071,37522504,10750,17.82,19.8,16.1,17.47,19.05,6.98,0,43.05,1.27
5014,建錩實業,48241379,4278410,1133,11.27,11.6,11,11.26,11.1,185.00,3.52,3.35,0.81
5015,華祺工業,18980707,1252918,598,15.14,15.6,14.8,15.14,14.9,29.80,6.62,2.07,1.02
5016,松和工業,101507241,3615826,1808,28.07,29.6,26.6,27.66,29,6.62,1.06,8.02,1.33
8349,友信    ,14898210,654091,364,22.77,25,22,23.09,22.2,17.76,1.8,1.01,1.48
8930,青鋼金屬,153976659,9231141,2467,16.68,17.3,15.85,16.49,16.6,10.25,3.97,18.25,1.12
9962,有益鋼鐵,65457245,3834768,1411,17.06,17.55,16.4,16.95,16.85,9.63,4.21,4.89,1.41
2114,鑫永銓  ,28894876,979211,523,29.5,30.1,28.6,29.3,28.9,9.97,8.65,1.63,1.37
5102,富強輪胎,26571587,1929769,655,13.76,14.2,13.35,13.67,13.8,15.00,0,3.32,1.08
2596,綠意開發,36456986,1846074,977,19.74,20.95,18.3,19.52,18.6,11.20,8.02,2.71,1.27
4113,聯上實業,39118316,2210684,1152,17.69,19.1,16,17.09,16.2,24.92,0,4,1.34
4416,三圓建設,8738767,104269,80,83.81,88.9,81,85.27,84.5,23.41,4.22,0.17,3.52
5213,亞昕    ,308470807,9301944,4521,33.16,34.95,31,32.8,33.7,4.83,8.24,6.22,1.71
5505,和旺建設,532613614,11965719,6415,44.51,47.3,41.1,44.23,45.35,N/A,1.56,13.42,3.07
5506,長鴻營造,201273681,33982714,6042,5.92,6.15,5.5,5.86,5.82,N/A,0,9.72,0.7
5508,永信建設,224501061,8022419,1060,27.98,30.9,29,29.99,30.3,13.12,8.83,4.37,1.77
5511,德昌營造,1481645418,58583211,17627,25.29,28.05,18.35,24.76,24.2,10.21,4.61,71.18,1.53
5512,力麒建設,3705139228,195614682,43812,18.94,20.2,17.8,18.54,17.9,7.31,7.18,36.07,1.05
5514,三豐建設,172841291,7870253,2995,21.96,23.5,19.05,21.55,22.75,32.50,3.57,7.39,1.78
5516,雙喜    ,6703850,562000,263,11.92,12.35,11.4,11.93,11.7,9.07,4.27,1.47,0.96
5519,隆大營建,26422695,942528,407,28.03,29.9,26.6,27.56,27.05,9.05,4.28,1.35,2
5520,力泰建設,5746996,244650,200,23.49,23.8,22.8,23.44,23,11.68,6.38,0.34,0.93
5521,工信    ,773533211,67350991,13407,11.48,12.2,10.65,11.32,10.7,N/A,0,19.38,2.25
5523,宏都建設,74996821,7382139,2123,10.15,10.65,9.71,10,9.8,N/A,0,6.75,0.9
5529,志嘉建設,8814604,881516,350,9.99,10.35,9.8,9.98,9.9,N/A,5,1.82,0.75
