櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4123,晟德    ,1328623163,26293217,15474,50.53,53.7,46.5,49.04,46.55,179.04,5.25,30.19,2.46
4126,太平洋醫,2502995002,19402847,13531,129,139.5,118,127.95,128,18.88,0.78,35.95,4.86
4127,天良    ,2301514131,55844821,29727,41.21,45.5,36.6,40.11,37.4,74.80,0.5,122.04,2.34
4128,中天生技,4212566578,80814110,40048,52.12,57.2,48.4,50.9,48.55,103.30,0,36.04,2.47
4129,聯合骨科,1157131448,20053449,12390,57.7,62.5,50.9,56.06,51,68.92,1.64,43.25,4.14
4131,晶宇生技,241251769,6402402,4346,37.68,42.5,33.2,36.74,33.8,N/A,0,13.26,5.33
8908,欣雄    ,13025452,707425,411,18.41,19.45,17.1,17.95,18.2,17.01,1.64,0.9,1.58
8917,欣泰    ,795839,19298,27,41.28,41.95,39.8,41.47,41.85,20.32,4.76,0.02,2.76
8927,北基加油,74842484,4568186,1800,16.38,16.7,15.9,16.25,16.5,45.83,3.11,4.21,1.41
8931,大園汽電,32042912,2137030,766,14.99,15.3,14.8,14.99,14.9,12.74,6.66,2,1.08
3073,普格    ,51233318,1974168,1108,25.95,27.3,24,26.06,26,N/A,0.67,4.07,1.37
3087,翔準    ,162401862,14040342,3796,11.56,11.95,11.1,11.47,11.3,17.38,0,4.93,0.83
3169,亞信電子,278536020,5189776,3080,53.67,56.5,51.8,53.47,52.6,17.08,3.96,9.72,3.37
3188,安茂    ,35925914,2521148,1180,14.24,15.3,13.1,14.05,14,N/A,0,5.27,1.18
3219,倚強科技,13055390,1188029,658,10.98,11.9,10,11.1,10.6,N/A,0,2.99,1.73
3227,原相科技,2431054641,17134943,13626,141.87,153,128,141.8,143.5,19.74,3.55,13.1,3.01
3228,金麗科  ,767102085,9796443,6471,78.3,89.1,68.1,74.58,68.1,N/A,0,16.59,6.03
3252,海灣科技,2219266,258290,239,8.59,9.99,7.65,9,8.21,N/A,0,0.42,12.69
3259,鑫創科技,103979440,4435873,2061,23.44,24.8,20.6,22.69,22.4,N/A,1.76,7.13,1.47
3260,威剛科技,3154216395,65946966,31357,47.82,51.1,44.2,46.78,49.1,14.79,6.47,28.9,1.49
3264,欣銓科技,2427886170,97606310,29519,24.87,26.05,23.65,24.65,24.7,7.94,4.85,21.93,1.42
3265,台星科  ,491348421,30084722,9601,16.33,17.2,15.55,16.09,16.8,8.44,2.47,11.04,1.16
3268,海德威  ,32590998,1056152,725,30.85,32.15,29.4,31,30,96.77,0,3.44,2.91
3291,遠翔科技,83899435,2186748,1735,38.36,41.65,36.1,38.22,38.45,12.82,4.61,6.56,2.58
3317,尼克森  ,115353298,3303321,2397,34.92,37.1,33.2,34.66,34.05,27.02,2.85,5.39,1.3
3372,典範    ,232547935,20560244,5921,11.31,11.95,10.7,11.09,10.8,N/A,0,6.8,0.94
3438,類比科  ,212448211,3154577,2380,67.34,70.7,65,67.11,68.1,14.04,2.98,7.92,2.55
3527,聚積    ,4405535532,27879654,18253,158.01,174,136.5,154.54,158,15.54,3.59,84.15,3.62
3553,力積電子,1286913125,18190380,13219,70.74,80.5,63.1,70.71,68.3,8.90,7.29,32.1,3.11
3556,禾瑞亞  ,3608942625,39577045,27444,91.18,99,82.1,89.91,93.2,34.26,2.6,87.88,4.69
3582,凌耀    ,1025491536,6231164,4442,164.57,180,148,161.95,176,18.84,3.57,18.65,5.17
5302,太欣半導,36362049,3055757,1399,11.89,12.9,11,11.65,12.9,N/A,0,1.88,1.4
5314,世紀民生,136674416,10787686,3571,12.66,13.85,11.5,12.29,11.8,78.67,0,9.64,1.4
5324,士林開發,5340913,148851,206,35.89,37,34.5,35.94,34.5,15.27,0,0.31,3.17
5326,漢磊科技,887281015,50626276,15916,17.52,19.1,15.8,17.4,17.35,11.27,0,15.5,1.62
5344,立衛科技,20497861,1152621,557,17.78,19.05,17,17.71,17.2,17.20,6.7,1.45,1.55
5346,力晶    ,5617114963,710152413,106863,7.9,8.6,7.3,7.84,7.57,3.06,0,12.66,1.04
5347,世界先進,644707231,48608779,12435,13.26,13.75,12.8,13.22,13.3,12.79,3.1,2.92,1.03
5351,鈺創科技,3429174193,145197599,48540,23.61,24.65,21.3,23.18,23.3,16.52,0.66,32.74,1.59
5387,茂德科技,143511648,71006616,5997,2.02,3.91,1.38,2.52,3.31,N/A,0,2.79,0.68
5425,台半    ,612297898,25630085,10145,23.88,25.75,22.55,23.72,22.9,12.45,1.72,10.5,1.22
5455,訊利電業,429752865,21894954,6478,19.62,22.6,16.1,18.79,17.15,N/A,0,59.95,2.67
5466,泰林科技,793253011,49847091,13416,15.91,16.8,14.85,15.37,15.6,6.27,0,20.41,0.85
5468,凱鈺科技,15009252,1600175,720,9.37,10.7,8.6,9.28,9.89,N/A,0,2.02,1.37
5483,中美晶  ,18587769822,200327902,102353,92.78,100,85.4,91.75,95.8,13.99,1.77,52.44,2.1
5487,通泰    ,30317605,1634184,784,18.55,19.9,17.5,18.49,18,12.41,6.94,3.61,1.11
6103,合邦電子,495066,90461,120,5.47,6.09,4.68,5.46,4.68,N/A,0,0.36,1.56
6104,創惟科技,3991135970,70239052,36686,56.82,61,51.4,56.57,59.2,N/A,0,82.33,3.32
6129,普誠科技,985655299,42275400,15549,23.31,24.65,21.6,22.99,23.3,17.39,2.57,23.4,1.77
6138,茂達電子,1505210481,40176088,20130,37.46,40.3,34.6,36.99,36.3,23.73,4.07,30.86,2.26
6147,頎邦科技,6303766937,135414189,57482,46.55,48.8,42.5,45.95,47.6,13.48,0,23.1,1.74
6182,合晶科技,1520635699,33453286,21104,45.45,48.8,42.4,44.85,44.25,21.17,0,12.23,1.57
6198,凌泰科技,21647052,2051398,904,10.55,11.2,9.75,10.31,11.2,N/A,0,5.89,1.25
6223,旺矽科技,1637271632,16504533,9964,99.2,104.5,94.2,98.1,98.1,14.30,0,21.24,2.75
6229,研通科技,103987050,5407344,2052,19.23,20.55,17.5,18.98,19.2,13.15,2.7,15.16,1.43
6233,旺玖科技,1787601930,39385328,21846,45.38,48.8,42.2,44.52,43.3,N/A,0,44.87,2.83
6236,凌越科技,13905622,1530947,66,9.08,10.5,8.35,9.56,9.85,N/A,0,12.12,11.76
6237,驊訊電子,215226172,4340122,2498,49.58,52.7,47.5,49.42,48.4,46.10,0,5.59,2.11
6261,久元電子,2439358600,28846389,17702,84.56,89,81.1,83.94,82.7,10.60,3.64,30.17,2.19
6287,元隆電子,83900376,7256939,2808,11.56,12.75,10.2,11.19,11.55,N/A,0,4.25,1.66
6291,沛亨半導,36050483,2626304,1166,13.72,14.75,12.4,13.48,12.4,N/A,0,5.32,1.67
8024,佑華微電,182474661,6391498,3771,28.54,31.3,26.7,28.47,28.6,12.33,4.4,11.24,1.65
8040,九暘    ,925712058,24776210,13450,37.36,41.9,34.8,36.38,35.05,22.61,0,29.34,2.38
8054,安國國際,462386121,8651512,5541,53.44,56.4,50.9,52.99,51.2,19.92,3.88,10.49,2.05
8066,福陞科技,39980504,2081663,605,19.2,20.75,16.85,19.07,16.85,N/A,0,1.87,21.09
8079,誠遠科技,314631919,14000742,5827,22.47,24,20.6,21.9,21.85,7.95,7.85,20.64,1.46
8084,巨虹電子,13600388,1255530,592,10.83,11.95,9.7,10.81,9.98,N/A,0,3.1,1.17
8086,宏捷科技,4156352488,80029926,39492,51.93,56,46.5,50.53,49.2,39.68,0.4,64.04,3.54
8088,品安科技,118758118,7190837,3199,16.51,18.95,14.25,16.38,15.6,120.00,0,17.18,1.13
8277,商丞科技,1067831208,22449694,14361,47.56,53.8,40,46.1,50.8,14.03,7.22,34.51,1.83
1569,濱川企業,246707750,5841796,3493,42.23,44.5,40.5,42.52,41.8,14.72,4.76,8.4,1.8
3069,寶晟科技,13359020,1330738,593,10.03,10.6,9.4,9.8,9.42,N/A,0,4.98,1.32
3071,協禧電機,193636194,11713194,4369,16.53,17.4,15.6,16.41,16,9.47,0,5.68,1.76
3088,艾訊    ,149013794,5326705,2418,27.97,29.2,26.65,27.67,28.5,10.63,4.71,6.76,1.72
3126,信億科技,14855123,1029613,580,14.42,17.1,13,14.84,13.55,N/A,0,2.98,2.75
3171,天馳科技,37037878,2822710,1034,13.12,13.95,12.3,12.88,12.9,N/A,0,8.73,1.03
3211,順達科技,2391746764,25385401,16059,94.21,98.1,90.1,92.58,95.5,9.35,6.42,19.62,2.55
3213,茂訊電腦,83469809,1243247,1160,67.13,69.3,65.6,66.74,66.1,11.62,9.95,2.6,3.49
3217,優群科技,81144275,3567848,1878,22.74,23.4,22.1,22.74,22.65,8.45,10.99,4.28,1.45
3287,廣寰科  ,36286890,1454698,1011,24.94,26.3,23.8,24.86,23.9,10.96,5.41,3.33,1.77
3323,加百裕  ,1317466258,27309094,13871,48.24,51.8,43.55,49.52,43.95,11.07,4.12,25.45,1.74
3325,旭品    ,394920073,9691742,4127,40.74,42.2,38,40.16,39.2,1960.00,3.06,14.83,2
3416,融程電  ,404322223,5809910,3111,69.59,73,67.1,69.05,67.9,13.72,5.44,13.5,2.78
3479,安勤    ,108180038,2610198,1540,41.44,43.1,39.5,41.24,42.7,12.56,4.98,5.9,1.99
3483,力致科技,239619858,6034915,4224,39.7,45.1,36.7,39.62,37.2,35.77,9.84,12.33,0.99
3489,筌寶    ,29142047,1586973,925,18.36,19.8,16.2,17.69,16.6,N/A,5.26,3.62,1.2
3521,鴻翊    ,13581115,842322,381,16.12,18.4,14.55,15.54,14.9,N/A,0,2.69,1.07
3540,曜越    ,222176088,6598406,4144,33.67,35.5,30.2,32.7,33.9,32.60,5.41,10.86,1.49
3577,泓格科技,353030619,5659271,3475,62.38,67.1,58.3,62.14,59.6,24.03,0.96,13.14,3.75
3611,鼎翰科技,275640879,3267881,2144,84.34,89,80,84.46,85.5,12.30,5.85,10.82,3.02
3625,西勝    ,197455213,7208000,2620,27.39,30.2,24.2,26.16,24.95,N/A,3.99,20.44,1.97
3652,精聯電子,43540754,1115132,721,39.04,40.6,36.5,38.4,38,19.59,2.62,2.34,1.49
5371,中強光電,4174089033,86525151,39527,48.24,49.6,46.55,48.2,46.7,7.94,5.91,11.95,1.64
5384,捷元    ,62601725,6385892,1930,9.8,10.2,9.4,9.68,9.57,N/A,0,6.91,0.73
5386,青雲國際,1678728,58807,68,28.54,32.2,26.4,28.12,27.4,8.98,0,0.67,5.2
5426,振發實業,74319239,4726703,1943,15.72,16.25,15.2,15.68,15.5,10.92,11.16,3.29,1.05
5438,東友    ,292674067,10227731,4774,28.61,31.3,27.05,28.39,27.7,12.88,5.69,9.09,1.76
5450,寶聯電腦,67699719,2241790,1224,30.19,31.9,28.8,30.16,29.55,N/A,0,4.45,2.4
5465,富驊企業,16600089,2388855,913,6.94,7.83,6.2,6.87,6.2,29.52,0,1,1.09
5474,聰泰科技,12423781,687212,466,18.07,19.1,16.4,18.06,17.5,N/A,5.52,2.04,1.42
5490,同亨科技,837033781,22814376,11131,36.68,40.7,33.1,36.38,35.9,9.50,3.05,24.17,2.11
6105,瑞傳科技,170243255,5365571,2538,31.72,32.75,30.4,31.63,31.5,9.66,6.36,4.88,1.35
6121,新普科技,6268674139,33507410,22352,187.08,201.5,176,183.16,196,15.53,3.35,13.15,3.57
6123,上奇科技,604085047,13305145,6258,45.4,50,41.05,44.55,42.8,16.85,2.3,26.85,2.81
6150,撼訊科技,674368849,16481874,8906,40.91,45,35.2,39.69,41.7,10.94,6.7,25.64,2.58
6160,欣技資訊,518631917,12398966,4719,41.82,44.05,38.8,40.19,39.7,14.38,3.77,17.47,2.69
6161,捷波資訊,70886626,4390033,2138,16.14,16.65,15.15,16.02,15.95,14.50,8.37,3.92,1.07
6188,廣明光電,928063801,25065687,12343,37.02,39.2,35.25,36.22,35.75,13.24,8.85,8.79,1.29
6199,精威科技,9192903,940374,344,9.77,10.4,9.3,9.69,9.61,N/A,0,1.49,1.1
6219,富旺    ,11226443,446954,305,25.11,26.4,22,24.21,23.9,159.33,0,0.27,4.06
6222,上揚科技,8060033,677056,386,11.9,13.2,10.85,11.67,11.6,21.48,0,1.21,1.37
6228,全譜科技,21601198,1808300,590,11.94,12.5,11.7,11.91,11.8,20.70,0,4.4,1.07
6247,淇譽電子,51814714,2634021,1383,19.67,20,19.25,19.69,19.8,12.00,3.78,4.37,1.24
6298,崴強科技,84729495,4801877,2085,17.64,18.8,17.1,17.53,17.15,46.35,0,2.87,1.22
8050,廣積    ,215657635,4311270,3071,50.02,51.5,48,49.52,49.2,14.18,5.16,6.15,2.13
8076,伍豐科技,1997557360,30977084,18155,64.48,72.8,55.1,63.8,62.8,N/A,2.36,18.26,3.68
8114,振樺電  ,113644812,2113641,1333,53.76,55.4,51.8,53.39,54.5,11.31,5.34,3.51,3.12
8210,勤誠興業,479238663,15246544,5328,31.43,33.3,28.95,31.29,31.5,7.97,7.93,13.67,1.99
8234,新漢    ,44918453,1836153,1220,24.46,25.4,23.7,24.35,24.7,11.38,4.21,2.11,1.51
8299,群聯電子,4535611435,31000710,22515,146.3,157,132,143.76,154.5,14.02,4.84,17.51,2.98
3066,李洲科技,22618765,2021681,995,11.18,12,10.5,11.18,11.1,N/A,0,1.43,1.13
3128,昇銳電子,91031121,3990806,1385,22.81,24,21.6,22.64,22.35,24.56,6.71,9.5,1.38
3230,錦明實業,70900134,5615335,2142,12.62,14.8,10.9,12.66,11.75,N/A,0,5.46,0.63
3297,杭特電子,26668155,874465,611,30.49,33.15,28.4,30.15,28.4,11.98,4.1,2.54,1.28
3339,泰谷光電,1220113415,33168328,13512,36.78,39.1,35,36.23,35.7,25.14,0,12.09,1.85
3362,先進光  ,60640086,2476692,1246,24.48,27.9,22.8,24.25,24.35,71.62,0,3.19,2.3
3434,哲固資訊,14149369,1139938,527,12.41,13.5,11.05,12.43,13.1,N/A,0,3.48,1.16
3441,聯一光學,266543108,7320725,4393,36.4,40.9,33.5,35.87,35.2,16.30,1.41,23.29,1.64
3452,益通光能,2709891461,65068181,29873,41.64,43.4,39.2,41.14,42.35,N/A,0,26.08,1.26
3455,由田新技,1031463663,20436919,12279,50.47,53.6,45.2,48.85,50.8,11.34,1.94,39.35,1.81
3490,單井    ,83238037,1999287,1255,41.63,43.65,40.1,41.33,40.2,10.72,1.21,5.72,2.18
3516,亞帝歐  ,146141142,9378586,1858,15.58,16.2,14.45,14.97,14.75,737.50,3.2,12.22,0.47
3520,振維    ,31686192,2365794,1179,13.39,14.1,12.5,13.35,13.1,N/A,3.81,4.56,0.81
3522,宏森    ,468141403,15433290,8096,30.33,32.5,27.6,29.8,28.2,14.17,1.03,32.52,1.34
3523,迎輝科技,656522683,12400852,5779,52.94,57.3,48.7,51.24,49.5,N/A,0,12.26,1.77
3531,先益電子,444753250,12329947,6302,36.07,38.6,32.5,35.06,33.25,14.71,5.04,20.44,1.15
3562,頂晶科技,44780271,1327106,988,33.74,36.65,32,33.39,32.15,N/A,0,2.53,2.22
3615,安可光電,195059310,3884976,2721,50.2,55.1,46.5,50.31,47.3,37.54,1.01,10.49,1.98
3623,富晶通  ,108840034,2683962,1810,40.55,43,38.85,40.58,39,975.00,1.75,4.69,3.21
3629,卓韋光電,273849877,6066209,3593,45.14,48.3,42.45,44.81,43.9,43.04,2.02,23.42,3.37
3630,新鉅科  ,4439888336,32276847,23828,137.55,152,118.5,136.35,140,57.38,0.85,38.1,8.46
4729,熒茂光學,2887197238,72881631,29000,39.61,45,30.9,40.1,39.9,N/A,0,113.91,2.08
5315,光聯科技,109555899,11308228,3199,9.68,10.3,8.65,9.35,8.93,N/A,0,7.11,0.95
5392,應華精密,2450551488,17568077,12157,139.48,152,130.5,138.85,133,14.83,3.77,23.7,3.05
5395,圓方創新,8636104,325100,283,26.56,30.6,22.1,26.12,27.2,N/A,0,1.33,2.99
5432,達威光電,491528,95750,101,5.13,5.98,4.62,5.24,5.3,16.06,0,0.21,1.61
5443,均豪精密,1475990175,75556680,24314,19.53,20.65,18.3,19.03,19.3,35.09,0,33.07,1.43
6125,廣運機械,340082751,13307971,5218,25.55,26.35,25,25.42,25.05,20.53,3.88,5.98,1
6156,科橋電子,44006230,8080268,2131,5.44,6.28,3.61,5.07,5.47,N/A,0,4.63,1.1
6167,久正光電,34678451,7049613,1094,4.91,5.44,3.75,4.92,4.71,N/A,0,4.35,1.19
6234,高僑    ,76868279,3865511,1470,19.88,20.55,18.7,19.69,19.65,N/A,0,5.38,0.57
6244,茂迪    ,9234257873,80407347,44048,114.84,129,103.5,112.38,123,13.49,0.84,21.14,2.05
6246,臺龍電子,1303104512,55236533,20461,23.59,27.45,21.2,23.1,21.8,38.25,0,37.3,3.01
6294,智基科技,1530492,48523,68,31.63,35.05,28.5,31.61,29.55,N/A,0,0.43,4.85
8049,晶采光電,412806444,23826669,9614,17.32,18.65,16,17.03,16.1,15.05,0,21.89,1.46
8053,巨擘科技,45202857,9071199,2088,4.98,6.45,4.32,5.53,4.46,N/A,0,2.2,0.31
8064,東捷科技,427470794,21106339,7461,20.25,24.4,18.1,20.3,19.7,N/A,0,15.99,1.12
8069,元太科技,16425816104,303005079,126285,54.2,61.7,47.8,54.46,53.5,24.21,0,28.19,2.49
8071,豐聲科技,19021547,502375,372,37.86,40,36.1,37.09,37.25,65.35,0,1.49,3.3
8077,冠華科技,2753060,205942,109,13.36,14.4,12.4,13.13,12.6,N/A,0,0.55,3.45
8087,華鎂鑫  ,5728928,487348,304,11.75,13.2,11.1,11.75,11.15,58.68,1.35,1.38,0.92
8107,大億科技,715170825,34529775,11731,20.71,21.9,19.8,20.41,20.2,N/A,0,20.09,1.27
8111,立碁電子,1579977982,63752359,21206,24.78,26.45,22.6,24.22,24.5,32.67,0,51.88,1.89
8240,華宏新技,2537597765,32878254,18939,77.18,84.1,70.8,76.1,74.5,12.91,2.41,43.2,1.81
8266,中日新  ,221562261,10112599,4907,21.9,24.95,19.7,21.6,19.7,N/A,0,14.24,1.72
3068,美磊科技,1279234098,17168060,8221,74.51,80.9,69.1,73.38,78,11.89,3.96,24.25,3.28
3095,及成    ,186711422,12405087,4888,15.05,16.3,14,14.83,14.8,N/A,0,5.7,0.83
3152,璟德電子,1823345512,10614187,7338,171.78,209.5,159.5,173.23,185,20.04,2.7,15.38,5.09
3221,台灣嘉碩,119768700,5176565,2334,23.13,24.7,20.85,22.71,22.35,13.88,2.9,6.31,1.19
3290,東浦    ,583144436,29078149,8891,20.05,20.9,18.6,19.62,19.4,7.67,2.51,39.13,1.54
3306,鼎天國際,2375452645,45259161,22479,52.48,55.8,47,51.81,49.95,26.02,2.81,62.6,2.39
3431,長天科技,31017217,2000893,1126,15.5,16.85,14.4,15.24,14.65,N/A,0,4.12,2.27
3454,晶睿通訊,2858279042,48239839,22420,59.25,66.2,51.8,57.31,63.1,20.22,2.2,79.03,3.25
3491,昇達科技,158807607,2989542,2017,53.12,56.1,50,51.99,51.2,20.40,5.98,6.97,2.48
3499,環天科技,22458841,921848,755,24.36,26,23,24.43,23.5,19.58,4.11,1.73,1.5
4903,聯光通信,39287476,3844647,1436,10.21,11,9.56,10.18,10.1,21.04,4.45,5.07,0.93
4905,台聯電訊,94474034,4458467,1591,21.18,22.35,20.6,21.07,20.9,12.67,0,7.89,1.28
4907,春雨開發,394885,77315,59,5.1,5.69,4.61,5.19,4.61,N/A,0,0.27,22.78
4908,前鼎光電,182090962,4541013,2770,40.09,43.5,37.4,40.15,37.5,13.02,5.33,6.4,2.67
4909,新復興  ,2754788427,47250114,21856,58.3,63,54.5,57.65,58,15.85,4.31,58.25,2.57
5304,鼎創達  ,23511239,3892495,1464,6.04,6.6,5.5,5.99,6.5,3.23,0,2.09,1.1
5306,訊康科技,13223577,2418629,1089,5.46,6.2,5.04,5.5,5.1,N/A,0,3.01,0.9
5348,系通科技,8090983,540690,311,14.96,15.8,14.3,14.99,14.75,N/A,0,2.08,1.81
5353,台林通信,128310676,10330844,3471,12.42,13,11.4,12.05,12.3,32.37,3.47,10.63,0.92
6109,亞元科技,48611338,2866350,1164,16.95,18.3,16,17.14,17.15,27.66,2.14,3.94,1.46
6143,振曜科技,1692892618,21837072,14522,77.52,83.6,69.2,76.43,79.1,16.41,2.11,31.4,3.64
6163,華電聯網,93750558,6052726,2667,15.48,16.2,14.5,15.39,14.5,31.52,3.98,6.56,1.13
6170,統振    ,197368303,8251685,4162,23.91,25.5,22.3,23.82,23,N/A,0,9.19,1.83
6190,萬泰科技,227996852,14628484,3992,15.58,15.9,15.2,15.54,15.45,9.78,3.03,10.85,1.19
6218,豪勉科技,79860827,3035781,1375,26.3,27.9,25.35,25.93,27.9,8.86,5.74,5.98,1.46
6241,易通展  ,4206115,233006,179,18.05,19.6,16.8,18.03,17.95,16.47,0,0.77,2.19
6245,立端科技,74650379,3958423,1841,18.85,21.1,17.4,19.3,18.1,95.26,1.36,6.05,1.3
6263,普萊德  ,54388262,1767940,1399,30.76,31.8,29.2,30.24,30.15,13.70,6.57,3.04,2.09
6264,德士通  ,16901179,1125066,641,15.02,15.9,14.1,15.03,14.6,N/A,0,1.05,2.05
8034,榮群電訊,47463307,5996279,1515,7.91,8.85,7.2,7.83,7.31,N/A,0,9.54,0.77
8048,德勝科技,73187726,3258726,1797,22.45,23.5,20.75,21.62,20.9,24.02,4.68,6.77,1.74
8059,凱碩    ,67650038,4193101,1918,16.13,17.55,15,16,15.1,251.67,11.88,4.53,1.41
8082,捷超通訊,760662460,36230884,4397,20.99,21.8,20.3,20.88,20.7,N/A,0,66.13,2.03
8097,鴻松精密,19619260,3175582,1328,6.17,7.04,5.4,6.21,5.98,N/A,0,7.87,1.17
1333,恩得利  ,81078740,5891582,2508,13.76,15.4,11.8,13.81,12.75,N/A,0,5.75,1.66
1336,台翰    ,149102930,7497586,2381,19.88,20.85,18.25,19.38,19.4,#錯誤,0,11.32,0.72
1815,富喬    ,4413132987,150435681,53650,29.33,34.5,25.45,28.82,27.1,13.42,0,58.43,1.83
3078,僑威科技,986480942,32850951,10763,30.02,35.1,27,30.31,27.9,15.41,5.28,15.61,1.92
3089,展成科技,110187364,9795195,3273,11.24,12.6,9.9,11.14,10.25,N/A,0,18.77,0.96
3092,鴻碩精密,115909579,3615070,2576,32.06,34.95,30.05,31.18,30.2,21.12,3.94,5.95,1.6
3114,好德科技,43571342,3222272,1363,13.52,14.35,13.05,13.36,13.2,N/A,3.74,6.44,0.91
3115,寶島極光,9052351,678084,285,13.34,14,12.85,13.38,13.55,N/A,0,1.55,1.66
3144,新揚科  ,13122637,1090315,368,12.03,12.3,11.7,12.09,12.25,10.21,0,1.58,2.37
3191,和進電子,53035925,3946517,1640,13.43,15.15,12.1,13.56,12.8,11.85,0,7.29,0.88
3202,樺晟電子,236447053,13185845,3948,17.93,19.25,16.3,18.19,17,17.35,6.14,16.7,0.95
3206,志豐電子,1002642081,19308877,10777,51.92,60.5,41.55,51.58,58.1,30.42,0.85,49.33,3.7
3207,耀勝電子,39080438,2344547,1073,16.66,18,15.85,16.65,16.5,10.86,3.1,6.25,1.11
3226,至寶電腦,10453507,565625,304,18.48,19.95,17.85,18.75,18.9,N/A,0,2.01,2.3
3236,千如電機,144467039,6792183,2590,21.26,22.6,19.55,20.94,21.2,13.25,0.95,15.63,1.28
3276,宇環科技,47867989,3820357,1281,12.52,13.6,11.8,12.56,11.8,N/A,0,4.86,1.61
3288,點晶科技,57438077,2182929,1258,26.31,28.4,25.2,26.23,25.8,34.40,0,4.39,2.33
3294,英濟    ,45569970,3322140,1213,13.71,14.35,13.2,13.7,13.6,N/A,0,2.43,0.67
3299,帛漢    ,1006101465,23511370,12354,42.79,46.65,39.1,40.95,39.45,11.05,4.93,43.93,1.8
3310,佳穎精密,27271050,860000,540,31.71,35.55,28.6,31.64,32.55,N/A,0,2.34,2.5
3313,斐成企業,700422816,31652725,12157,22.12,24.35,19.1,20.56,23.95,20.65,0,37.28,1.12
3322,建舜電子,33268102,1838476,800,18.09,18.7,17.4,18.13,17.8,N/A,2.77,2.21,1.32
3332,幸康電子,243033567,5213817,2811,46.61,51.1,43.5,45.45,45.2,10.20,3.35,10.84,1.7
3354,律勝    ,70516553,3523311,1628,20.01,21.4,17.25,18.88,18.8,24.42,2.59,4.53,1.13
3390,旭軟電子,252966915,7099382,2635,35.63,37.8,34,35.47,34.9,11.79,4.58,14.99,2.12
3465,祥業科技,13438491,1323793,633,10.15,11.35,9.13,10.3,9.33,N/A,0,4.6,1.53
3484,崧騰    ,209539911,5260035,2912,39.83,40.8,38.75,39.75,40,11.56,6.16,10.17,1.69
3511,矽瑪科技,467971062,6588208,4159,71.03,79,64.9,68.9,65.6,11.25,6.05,17.25,2.57
3512,能緹    ,18879785,606100,345,31.14,31.8,29.8,31.07,30.3,N/A,0,1.64,1.93
3526,凡甲科技,817377790,10555808,8036,77.43,82.3,71.9,75.51,79.4,11.94,10.55,18.4,3.13
3537,堡達    ,135553606,3971115,2554,34.13,38.6,30.85,33.74,31.6,16.29,9.41,8.56,2.04
3548,兆利科技,79315424,1940744,1423,40.86,43,39,40.4,39.6,10.97,2.96,3.85,0.92
5301,祥裕電子,2531060,649307,164,3.89,4.17,3.06,3.76,3.41,N/A,0,1.44,0.52
5309,系統電子,627412890,41062161,14505,15.27,16.15,14.5,15.1,14.9,24.83,0,26.99,1.68
5317,凱美電機,472846512,37159616,8929,12.72,13.7,11.4,12.01,11.65,13.39,0,27.25,0.92
5321,友銓電子,14414443,1898026,571,7.59,8.1,7.26,7.64,7.3,N/A,0,1.26,0.93
5328,華容    ,353031183,31068309,7803,11.36,12.25,10.5,11.09,10.6,22.55,0,13.64,1.03
5340,建榮工業,82725113,9381205,2555,8.81,9.47,8.25,8.69,8.32,16.31,0,5.65,0.92
5345,天揚    ,126296902,12891303,3789,9.79,12.6,8.55,9.95,8.74,N/A,0,25.78,0.74
5349,先豐通訊,395310079,24162763,7139,16.36,17.2,15.2,15.97,16,14.04,2.78,12.01,1.13
5355,佳總興業,375345013,22666609,6432,16.55,19.15,15,16.69,15.4,N/A,0,15.78,2.07
5356,協益電子,3885185024,89207084,33690,43.55,48.3,38.4,43.04,47,5.71,2.12,67.36,1.74
5364,浩騰    ,26949883,8632025,1539,3.12,3.86,2.61,3.09,2.64,N/A,0,4.08,0.96
5381,合正科技,203510737,32436397,6532,6.27,6.75,5.75,6.23,5.98,N/A,0,10.83,0.63
5398,力瑋實業,12591018,1116130,363,11.28,12,11,11.25,11.3,23.06,2.21,2.67,1.05
5439,高技企業,254263427,7010193,3513,36.27,38.1,35,36.05,35.4,9.05,3.63,9.26,2.29
