櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年04月 Apr. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 375,300,588,732元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,686,830筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,764,672,186股",,,,,,4. 成交量週轉率： 13.20%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5009,榮剛材料,4098405526,128852441,44143,31.8,33.75,30,31.37,33.1,23.99,0,37.89,1.95
5011,久陽精密,380,20,2,-,-,-,-,19.7,67.93,0,1.74,2.04
5013,強新工業,199794422,9782239,3638,20.42,21,19.9,20.32,20.1,6.50,0,11.37,1.26
5014,建錩實業,81577833,7436189,2512,10.97,11.5,10.3,10.92,10.7,13.54,3.72,5.16,0.8
5015,華祺工業,37505661,2547135,868,14.72,15.9,14.05,14.52,15.9,23.38,6.84,5.36,1.04
5016,松和工業,537366788,11144712,5758,48.21,53.2,42.4,47.13,42.5,10.65,0.62,26.29,1.94
8349,友信    ,13003241,482014,385,26.97,27.5,26.1,27.04,27.1,16.94,1.48,0.75,1.76
8930,青鋼金屬,24384068,1599171,638,15.24,15.65,14.95,15.24,15.35,10.96,4.27,2.98,1.07
9962,有益鋼鐵,101340685,4837525,1775,20.94,21.4,20.6,20.9,21.15,8.49,3.3,6.17,1.62
5102,富強輪胎,520794245,22482077,10074,23.16,25.6,20.5,22.34,20.85,11.46,0,39.92,1.5
2596,綠意開發,21241137,1180715,708,17.99,18.65,17.5,18,18,69.23,8.4,1.74,1.23
4113,聯上實業,13086604,838734,509,15.6,16.5,14.9,15.51,15.1,107.86,0,1.63,1.19
4416,三圓建設,1255381,15900,20,79.14,82.9,76.1,78.37,76.1,12.25,4.55,0.07,2.64
5213,亞昕    ,688843656,18114267,7532,38.02,40.3,34.45,37.17,39.5,5.03,6.92,11.38,1.64
5505,和旺建設,370836085,9019214,4481,41.11,41.95,39.5,41.05,40,6.56,1.64,10.19,1.82
5506,長鴻營造,27705586,3458576,4231,8.01,8.3,7.9,8,7.91,18.83,0,1.78,0.93
5508,永信建設,50455804,1706801,1135,29.56,30.8,28.1,29.52,30.7,9.81,8.5,0.93,1.65
5511,德昌營造,117381178,4652005,1806,25.23,27.5,23.4,25.17,26.5,7.77,4.52,5.82,1.39
5512,力麒建設,721058446,46457736,12238,15.52,16.25,14.5,15.41,15.85,6.66,8.41,8.33,0.87
5514,三豐建設,21355474,987721,388,21.62,22.5,20.55,21.7,21.9,16.47,3.65,1.06,1.6
5516,雙喜    ,5997289,469277,241,12.77,13.4,12.45,12.82,12.85,14.28,3.84,1.61,1.04
5519,隆大營建,224763692,5793512,3319,38.79,41.1,34,38.52,39,5.26,2.92,8.49,2.05
5520,力泰建設,28916156,1144438,626,25.26,26.3,23,24.86,25,20.16,6.06,1.84,0.97
5521,工信    ,670147492,56622959,12266,11.83,12.25,11.2,11.71,11.6,23.67,0,16.38,0.97
5523,宏都建設,75216873,6386319,2238,11.77,12.55,10.8,11.56,11.05,46.04,0,5.99,1.1
5529,志嘉建設,7826115,838198,275,9.33,9.75,8.88,9.34,9.6,N/A,5.42,2.07,0.76
5530,大漢建設,2083135038,21596941,14378,96.45,103.5,88.5,94.65,89.6,47.66,0,5.45,5.71
6177,達麗建設,52065718,1636397,686,31.81,33.2,30.5,31.87,31.85,6.82,4.59,1.99,1.87
6212,理銘科技,8789003,695017,171,12.64,12.85,12.5,12.71,12.7,57.73,0,0.87,1.41
2636,台驊國際,169475165,5149577,2348,32.91,33.6,32.2,32.76,32.45,12.48,2.11,10.01,1.65
5601,台聯貨櫃,23487891,1273976,320,18.43,19,17.35,18.17,18.45,76.88,1.21,2.01,0.93
5603,陸海交通,190054722,12644556,3587,15.03,17,12.35,15.11,15.4,118.46,0,20.38,1.21
5604,中連貨運,55492962,1980519,796,28.01,28.6,27.65,28.05,27.75,12.79,4.22,1.98,1.19
5609,中菲行  ,249449854,9475966,4460,26.32,27.25,25.35,26.23,25.6,10.53,4.62,7.4,1.85
2718,桃園店  ,152291964,4009463,2133,37.98,40.5,36.7,37.89,39,27.08,1.18,17.76,2.09
5701,劍湖山  ,256325653,25652957,7300,9.99,10.35,9.28,9.94,9.99,N/A,0,6.22,1.28
5703,亞都麗緻,6140588,220644,139,27.83,28.6,26.6,27.91,28.2,34.81,0,0.59,2.33
5704,老爺知  ,3388753,150259,114,22.55,24.05,22.25,22.74,22.3,43.73,0.88,0.87,1.74
5706,鳳凰國際,1084024894,13512946,8629,80.22,85.8,73.6,79.46,82.2,17.64,2.77,34.44,3.07
5820,日盛金控,2809889811,195529802,26240,14.37,14.95,13.6,14.06,14.6,,0,8.34,1.35
6008,凱基證券,3668007460,246300120,44159,14.89,15.65,13.95,14.78,15,14.02,3,7.7,0.97
6015,宏遠證券,122415645,15258346,3810,8.02,8.55,7.5,7.93,8.35,92.78,0,3.41,0.87
6016,康和證券,188748515,19754914,5172,9.55,10,9,9.43,9.67,48.35,4.11,2.94,0.82
6020,大展證券,10287454,592371,229,17.36,18.4,17,17.45,17.65,21.27,3,0.38,1.16
6021,大慶證券,128667057,7854243,2882,16.38,17.5,14.85,15.87,16.7,13.58,2.96,2.91,1.05
6022,大眾證  ,172890123,14679615,3966,11.77,12.65,11,11.58,12.25,45.37,17.63,3.83,0.97
6023,寶來期  ,56035505,1482761,863,37.79,38.75,36.5,37.63,37.85,14.07,4.82,1.24,1.57
6024,群益期  ,34445645,1213050,791,28.39,28.8,28,28.47,28.5,12.28,6.19,1.76,1.41
2916,滿心企業,156264549,6107466,2559,25.58,26.9,24.6,25.52,25.3,11.19,7.03,13.21,1.5
5902,德記洋行,30331907,2744121,802,11.05,11.4,10.5,10.9,10.7,N/A,0,3.15,1.65
5903,全家    ,1914399083,14252727,9922,134.31,152,122.5,131.68,143,33.97,1.84,6.49,7.32
5904,寶雅國際,383178180,12067024,4296,31.75,35.4,29.65,31.68,34.25,10.01,7.42,13.67,1.83
5905,南仁湖  ,402006130,18840703,8301,21.33,22.45,20.15,21.16,20.15,N/A,0,9.03,1.77
8941,關中    ,12580777,1160199,455,10.84,11.5,10.4,10.89,10.9,N/A,0,0.96,2.01
9960,邁達康  ,15743302,815438,513,19.3,20.6,18.35,19.01,20,11.98,12.12,2.63,1.5
1584,精剛精密,363718727,10944707,5152,33.23,35.95,29.9,32.16,33.4,28.55,0,16.04,1.85
2221,大甲    ,18336226,1127534,575,16.26,16.8,15.7,16.16,15.9,12.72,0,2.7,1.25
3284,太普高  ,55396526,2911576,1325,19.02,19.85,18.5,18.97,18.75,16.59,5.22,5.54,1.37
3388,崇越電通,583942190,6434740,4845,90.74,96.1,86.1,89.92,89,11.01,4.71,11.58,1.99
5312,寶島科  ,1138347378,12803892,8866,88.9,93.5,83.5,87.71,89.5,23.01,2.19,21.48,4.77
6186,晶磊興業,26878687,1683267,909,15.96,17.45,14.1,16.26,14.35,N/A,0,6.1,1.31
6803,崑鼎投控,785930577,6049023,4470,129.92,139,115.5,126.63,129.5,17.50,4.47,10.53,3.11
8390,金益鼎  ,446767950,10503778,5744,42.53,44.65,40.6,42.23,42.8,15.07,0,16.11,2.14
8401,白紗科技,346880782,9621641,5281,36.05,38,33.35,35.45,34.25,13.59,5.43,26.15,2.06
8705,東隆五金,44330776,1357729,722,32.65,34.15,32.05,32.57,32.1,13.72,7.55,1.83,2.2
8905,裕國    ,21540792,1539673,591,13.99,14.5,13.7,13.99,14,13.33,2.87,1.43,0.98
8906,花王企業,10444289,1305876,437,7.99,8.55,7.71,8.04,8.08,N/A,0,2.55,0.95
8913,華夏資融,78749859,3562305,1642,22.1,22.7,21.5,22.03,21.5,134.38,1.8,7.89,1.23
8916,光隆    ,128915506,5895740,2664,21.86,24,19.5,20.71,20.85,12.05,3.06,6.63,1.03
8921,沈氏印刷,4078014,278681,159,14.63,15.15,14.3,14.61,14.3,13.49,4.1,0.6,0.82
8923,時報出版,821347,44676,43,18.38,18.65,18.1,18.35,18.5,15.04,5.4,0.15,1.22
8924,大田精密,154134610,4762452,3005,32.36,35.35,30.45,33.05,30.75,26.06,8.13,3.93,1.79
8925,偉盟工業,1519884551,77469828,20078,19.61,20.4,18.15,19.64,19.3,62.26,4.97,27.92,1.49
8928,鉅明    ,16704604,1662556,704,10.04,10.7,9.5,9.93,9.57,N/A,5.14,2.64,1.13
8929,富堡工業,80946864,1922367,1184,42.1,44.8,40.5,41.88,41,14.91,4.72,7.18,2.06
8932,宏大    ,8539050,853174,335,10,10.2,9.77,10.02,9.95,N/A,0,1.75,1.17
8933,愛地雅  ,250778994,15797506,6356,15.87,16.65,15.15,15.73,15.55,19.94,6.26,13.02,1.11
8934,馭鳳    ,198020,90010,5,2.2,2.2,2.2,2.2,2.2,N/A,0,0.14,4.58
8935,邦泰    ,371546090,35907336,8633,10.34,11.45,9.22,10.45,9.22,N/A,0,17.79,1.08
8936,國統國際,3738068095,77887068,38209,47.99,50.7,43.25,47.65,43.4,3.56,2.43,65.33,1.41
8937,合騏    ,100248526,6724779,2686,14.9,16.1,13.7,14.19,13.8,N/A,0,9.35,1.25
8938,明安國際,4846582915,74490348,35522,65.06,69.8,54,61.92,61.7,25.71,5.61,55.23,2.25
8942,森鉅科技,2997327136,54870270,26797,54.62,60,49.5,53.67,51.1,25.17,1.95,46.72,2.7
9946,金革科技,8819426,495232,326,17.8,18.65,17.35,17.82,18,16.98,0,0.5,1.58
9949,琉園    ,460679195,11658408,7138,39.51,44.6,30.35,38.07,30.35,38.42,2.86,25.82,1.91
1742,台蠟    ,129796034,2432796,1575,53.35,54.6,52,53.24,53,15.82,4.97,4.82,3.04
1787,福盈科技,176749109,9957977,4478,17.74,18.5,16.15,17.17,16.9,14.96,2.42,14.32,1.09
4702,中美聯合,283940907,17890631,7465,15.87,17.6,13.7,15.16,16.2,N/A,0,50.32,1.66
4703,金美克能,8240278,1043617,287,7.89,8.5,7.21,7.8,7.56,N/A,0,2.14,1.24
4706,大恭化學,35095286,2176723,926,16.12,16.95,15.6,16.09,16.15,13.35,4.3,3.36,0.98
4707,磐亞    ,1018513711,46930302,16278,21.7,23.3,19.75,21.17,19.95,68.79,0.98,21.05,1.13
4711,永純    ,22760763,1100372,585,20.68,22,19.8,20.51,21.4,13.21,7.76,2.69,1.16
4712,南璋    ,712028372,12482177,5015,57.04,64.3,49.3,58.42,49.55,N/A,0,21.69,4.52
4714,永捷    ,343656020,15038906,5636,22.85,24.6,20.2,22.45,20.5,18.14,4.58,36.71,1.27
4716,大立    ,383071197,11180154,5933,34.26,36.3,31,33.88,31.3,24.08,1.55,21.02,2.34
4720,德淵企業,516881909,23990780,11357,21.54,23.85,19.1,20.7,19.1,90.95,2.5,35.24,1.53
4721,美琪瑪  ,78862825,2713688,1727,29.06,30.15,28.1,28.95,29.6,11.75,3.46,4.54,1.92
4722,國精化學,1908400023,72620528,24967,26.27,29.7,21.8,25.83,23.6,18.73,2.35,100.43,1.48
