櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
2035,唐榮公司,116762127,4092298,1641,28.53,29.05,26.6,28.31,29,N/A,0,1.17,1.45,
2063,世鎧精密,36175593,1076220,418,33.61,35.25,30,33.65,33.25,8.11,12.03,3.13,2.04,
5009,榮剛材料,1894852373,81227310,29658,23.32,25.15,20.15,23,24.4,11.96,1.92,20.73,1.32,
5011,久陽精密,1058570,35128,49,30.13,33.1,27.85,31.13,28.8,12.36,0,0.11,2.47,
5013,強新工業,23069626,1893713,763,12.18,12.6,11.85,12.21,12.45,6.07,13.65,1.94,0.83,
5014,建錩實業,11425288,1606287,594,7.11,7.84,6.63,7.23,6.91,30.04,8.68,0.98,0.53,
5015,華祺工業,14205018,924242,517,15.36,16.3,15.05,15.44,15.3,7.46,2.61,1.52,0.94,
5016,松和工業,33949244,1187783,722,28.58,30.85,26.1,28.78,30,8.24,8.33,2.39,1.42,
8349,友信    ,10654763,419494,251,25.39,26.75,24.05,25.24,26.75,18.84,4.82,0.64,1.69,
8930,青鋼金屬,29445547,2200724,813,13.37,13.85,12.7,13.35,13.85,19.79,6.42,3.86,1.01,
9962,有益鋼鐵,18411933,1803557,709,10.2,11,9.6,10.14,10.05,6.4,18.9,2,0.88,
5102,富強輪胎,29845543,1720550,691,17.34,19,15.8,17.44,17.1,6.63,5.84,2.82,1.21,
2596,綠意開發,7562399,565567,306,13.37,14.5,12.6,13.61,13.05,N/A,9.19,0.83,0.99,
4113,聯上實業,4716983,368126,206,12.81,13.9,12,12.86,12.6,9.69,0,0.67,0.91,
4416,三圓建設,1579733,22118,18,71.45,73,64.1,70.72,71,10.55,4.5,0.04,2.56,
5213,亞昕    ,258388511,12100035,4768,21.35,23.95,18.55,21.15,22.35,5.48,20.67,4.93,0.91,
5324,士林開發,83412540,2666145,272,31.28,38.5,29.9,33.54,32.9,8.94,0.91,5.45,2.33,
5505,和旺建設,882945665,31568892,9549,27.96,31.6,24.05,27.66,26.3,5.25,16.53,26.71,1.25,
5506,長鴻營造,16344361,3443678,1071,4.74,5.18,4.24,4.81,4.61,12.46,0,1.7,0.53,
5508,永信建設,61340431,2302888,580,26.63,29.2,26.5,28.08,28.9,9.9,8.75,1.27,1.72,
5511,德昌營造,46636746,1999843,904,23.32,24.2,22.55,23.4,23.15,4.73,8.63,2.09,1.21,
5512,力麒建設,310953189,30258830,8230,10.27,11.4,8.85,10.38,10.35,5.1,13.62,5.1,0.6,
5514,三豐建設,9345170,422701,236,22.1,23.4,20.7,22.32,22.3,10.32,4.03,0.36,1.62,
5516,雙喜    ,13713359,791372,461,17.32,18.3,16.2,17.35,17.3,7.42,2.89,2.07,1.24,
5519,隆大營建,105169592,4241954,1911,24.79,26.5,22.9,24.89,25.5,3.91,14.7,4.78,1.56,
5520,力泰建設,3866301,192335,104,20.1,21.6,19.1,20.15,20.1,14.46,6.71,0.27,0.79,
5521,工信    ,123530454,15692588,3765,7.87,8.43,7.07,7.91,7.59,33,3.95,4.52,0.64,
5523,宏都建設,13372059,1418725,519,9.42,10.4,8.85,9.49,9.05,N/A,0,0.8,0.92,
5529,志嘉建設,9711314,913409,253,10.63,11.65,10.2,10.81,10.75,N/A,9.3,1.71,1.01,
5530,龍巖    ,2555233720,28908247,19846,88.39,95.5,78,88.05,88.9,24.49,1.68,7.24,5.15,
6177,達麗建設,9918644,518826,329,19.11,20.6,18.1,19.32,18.8,4.26,16.43,0.44,1.31,
6212,理銘科技,1540577,134435,88,11.46,12,11.05,11.61,11.5,52.27,0,0.13,1.26,
9946,金革科技,15580229,1150312,507,13.54,15.25,12.65,13.95,13.5,6.75,0,0.72,1,
2636,台驊國際,65092385,2938476,1205,22.15,23,21.05,22.08,21.85,9.46,12.4,4.67,1.15,
5601,台聯貨櫃,15323271,920473,189,16.64,17.6,15.9,16.5,17.6,67.69,1.3,1.28,0.89,
5603,陸海交通,6816457,665293,290,10.24,11.85,9.5,10.55,10.15,N/A,0,1.06,0.8,
5604,中連貨運,43678875,1813607,994,24.08,24.45,22.9,24.11,24.4,15.74,8.03,1.67,1.06,
5609,中菲行  ,43249888,2644690,1545,16.35,16.9,15.65,16.33,16.65,9.25,9.06,1.96,1.23,
