櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
3087,翔準    ,96955233,9573460,2604,10.12,11.2,9.47,10,10.55,8.87,0,3.45,0.71,
3105,穩懋    ,1332474170,46449836,16061,28.68,31.6,24.4,28,29.4,19.34,2.78,7.16,2.05,
3169,亞信電子,56696091,2484721,1087,22.81,23.7,21.2,22.69,23,12.99,10.86,4.69,1.58,
3188,安茂    ,16305278,2447326,635,6.66,7.35,5.71,6.39,7.1,N/A,0,5.43,0.75,
3219,倚強科技,1885662,331664,84,5.68,6.32,4.65,5.53,4.65,N/A,0,0.6,1.1,
3227,原相科技,930199314,13674396,10276,68.02,74.3,60,67.06,68.7,25.16,6.98,10.41,1.57,
3228,金麗科  ,16081879,865433,573,18.58,19.4,17.7,18.57,18.55,N/A,0,1.46,1.83,
3252,海灣科技,4053468,184235,130,22,24.15,20.8,22.19,21.25,4.28,0,0.53,3.61,
3259,鑫創科技,12212751,1162790,552,10.5,11.15,9.41,10.41,10.7,N/A,0,1.86,0.82,
3260,威剛科技,1538908087,54413405,24245,28.28,33.3,21.25,26.61,31.9,N/A,0,24.1,1.07,
3264,欣銓科技,1197283085,61746150,23976,19.39,20.7,18.05,19.15,18.9,9.36,11.11,13.57,1.13,
3265,台星科  ,226450053,10811081,5290,20.94,23,18.75,20.45,19.65,5.8,8.44,7.93,0.94,
3268,海德威  ,6618290,824157,465,8.03,8.75,7.27,8.02,8.17,N/A,0,1.93,0.84,
3291,遠翔科技,21319169,909296,696,23.44,24.6,21.8,23.67,23.95,8.94,10.22,2.61,1.62,
3317,尼克森  ,25906134,2134508,1139,12.13,13.25,11.1,12.07,12.5,N/A,3.2,3.48,0.49,
3372,典範    ,29010966,7071570,2076,4.1,4.28,3.89,4.08,4.2,N/A,0,2.34,0.39,
3438,類比科  ,47732812,1451258,1068,32.89,35.25,30.6,32.85,32.8,10.58,9.75,3.76,1.26,
3527,聚積    ,255959310,2836241,2308,90.24,95.5,86.1,89.73,90.7,12,8.82,8.55,2.02,
3529,力旺電子,831342623,11951646,8391,69.55,74.5,63.6,68.99,66.9,29.34,3.73,15.71,3.2,
3553,力積電子,246732373,15280736,7966,16.14,18.35,13.6,15.63,16.6,N/A,13.25,24.04,1.27,
3555,擎泰    ,2351520172,33082582,22770,71.08,79.8,58,70.53,74.5,6.01,12.08,51.82,2.58,
3556,禾瑞亞  ,1080684152,18606836,13080,58.07,63,51.6,57.05,59.2,11.56,4.72,39.35,2.73,
3567,逸昌    ,5016352,662753,338,7.56,8.2,6.93,7.51,7.86,18.71,19.46,1.66,0.6,
3582,凌耀    ,1871968052,18724365,13912,99.97,113.5,86.5,97.2,93,13.58,5.93,52.6,3.18,
3680,家登    ,32268550,927877,679,34.77,37.9,30,33.82,34.5,13.42,5.79,2.23,2.12,
4947,F-昂寶  ,322012190,4285578,3120,75.13,83,66.1,75.3,80,11.82,0,10.07,2.9,
4966,F-譜瑞  ,475938729,1433772,1168,331.94,402,255,326.36,391,63.47,0,2.8,9.8,
5302,太欣半導,6508404,1003029,493,6.48,7.48,5.62,6.47,7.22,N/A,0,0.62,1.01,
5314,世紀民生,433966767,34476399,13279,12.58,14.75,10.85,12.64,11.95,6.83,0,30.67,1.15,
5326,漢磊科技,378666365,43005905,12655,8.8,9.84,7.21,8.41,9.31,7.89,0,13.17,0.82,
5344,立衛科技,3181313,359352,221,8.85,10,8.05,8.94,8.78,12.19,10.59,0.45,0.81,
5346,力晶    ,358140734,386577449,22260,0.92,1.06,0.78,0.9,0.86,N/A,0,6.98,0.25,
5347,世界先進,809530086,80118353,25925,10.1,10.65,9.47,10.18,10.55,14.86,5.68,4.86,0.84,
5351,鈺創科技,189667938,20485266,7448,9.25,10.1,8.33,9.18,9.7,N/A,3.29,4.53,0.79,
5425,台半    ,268225988,18847663,7614,14.23,15.2,12.4,13.91,14.5,7.84,8.27,7.72,0.73,
5455,訊利電業,5898276,1365656,563,4.31,4.83,3.7,4.16,4.15,N/A,0,3.72,0.76,
5466,泰林科技,93884547,10831072,4280,8.66,9.5,7.58,8.34,8.17,11.51,12.23,4.43,0.52,
5468,凱鈺科技,8137584,779399,554,10.44,11.95,8.95,10.17,9.59,N/A,0,1.74,1.05,
5483,中美晶  ,6973809421,160232881,82915,43.52,48,38,42.34,46.6,7.86,11.8,36.16,1.05,
5487,通泰    ,6917829,535467,290,12.91,13.3,12.1,13.04,13.15,15.11,7.6,1.18,0.82,
6103,合邦電子,809039,217823,85,3.71,3.8,3.34,3.73,3.8,N/A,0,0.39,2.3,
6104,創惟科技,324890617,16923314,7812,19.19,22.6,15,17.7,21.25,N/A,0,19.56,1.27,
6129,普誠科技,41901671,4738218,2039,8.84,9.32,8,8.8,8.9,27.81,11.23,2.62,0.72,
6130,基因科技,1302699,29000,73,46.7,55.6,26.6,40.77,55.6,14.33,0,0.12,7.18,
6138,茂達電子,157408596,9071768,4838,17.35,18.25,15.75,17.37,17,42.5,8.82,6.97,1.12,
6147,頎邦科技,6354658540,207454503,79875,30.63,32.75,27.6,30.38,29.5,10,6.77,34.78,1.09,
6182,合晶科技,993514754,55939043,27585,17.76,19.25,15.1,17.32,18.55,11.45,7,19.85,0.7,
6198,凌泰科技,1942921,313641,167,6.19,7.18,5.82,6.35,6.18,N/A,0,0.9,0.85,
6223,旺矽科技,1161570486,17695341,11938,65.64,74.3,58.7,65.67,66.1,6.33,8.75,22.51,1.65,
6229,研通科技,7693402,779921,507,9.86,10.45,9.21,9.85,9.86,13.69,11.05,2.18,0.78,
6233,旺玖科技,165263957,11607581,5449,14.23,15.7,12.25,13.69,15.1,107.86,0,13.18,0.96,
6236,凌越科技,58600,3000,3,19.53,20.4,19,19.8,18.9,16.58,0,0.05,2.84,
6237,驊訊電子,80163530,4585153,2830,17.48,19.5,15.45,17.57,17.55,N/A,0,5.96,0.83,
6261,久元電子,942992946,16529151,10817,57.05,66.6,51.4,57.7,55.8,7.62,8.53,15.52,1.27,
6287,元隆電子,3465629,1111868,471,3.11,3.62,2.86,3.1,2.87,N/A,0,0.65,0.54,
6291,沛亨半導,3394825,679926,368,4.99,5.57,4.57,5.02,4.9,N/A,0,1.39,0.9,
8024,佑華微電,20388879,1446220,576,14.09,14.9,12.55,13.98,14.4,30,13.05,2.56,0.93,
8040,九暘    ,43305560,4053087,1812,10.68,11.25,9.81,10.61,10.8,N/A,9.62,4.58,0.8,
8054,安國國際,264934932,6897480,4317,38.41,40.4,36,37.9,39.25,12.58,6.36,8.38,1.54,
8066,福陞科技,8800,1000,1,8.8,8.8,8.8,8.8,8.8,N/A,0,0,97.78,
8079,誠遠科技,23918095,1852663,1054,12.91,13.6,12.1,12.87,13.15,6.54,16.5,2.48,0.9,
8084,巨虹電子,2795689,346453,194,8.06,8.82,7.6,8.1,7.89,N/A,0,0.86,1.06,
8086,宏捷科技,569315560,29413426,12664,19.35,21.4,16.2,18.5,20.65,23.74,3.38,22.65,1.47,
8088,品安科技,43480570,4420663,2088,9.83,10.35,8.82,9.63,9.8,N/A,0,9.93,0.72,
8277,商丞科技,132463321,9384712,4918,14.11,16.3,11.8,13.72,14.75,N/A,0,14.43,1.09,
1569,濱川企業,3724348648,65358310,36323,56.98,69.8,47.7,54.73,54,28.88,1.59,89.96,2.07,
3071,協禧電機,13956035,2079238,695,6.71,7.02,6.35,6.73,6.9,13.53,0,1,0.7,
3088,艾訊    ,16834936,875544,503,19.22,19.85,18.5,19.18,19.45,10.87,11.31,1.13,1.27,
3126,信億科技,198721087,4712681,2279,42.16,47.8,34.1,43.45,44.2,N/A,0,10,5.76,
3171,天馳科技,2861204,246796,156,11.59,12.25,10.7,11.66,11.9,N/A,0,0.47,1.17,
3211,順達科技,5416892373,49497042,31599,109.43,119.5,98.1,108,115.5,11.93,5.18,38.05,2.83,
3213,茂訊電腦,87709300,1632892,1425,53.71,55.2,51.5,53.13,53.9,9.14,10.2,2.95,2.79,
3217,優群科技,19478741,1875767,827,10.38,11.3,9.74,10.44,10.2,8.5,14.7,2.25,0.7,
3287,廣寰科  ,4042702,405871,241,9.96,10.25,9.63,9.94,9.9,N/A,13.13,0.92,0.84,
3323,加百裕  ,138528033,8868086,3639,15.62,16.9,14,15.27,15.7,N/A,9.55,8.7,0.6,
3325,旭品    ,368982295,24007134,8877,15.36,17.2,13.7,15.08,15.4,N/A,3.18,35.78,0.9,
3416,融程電  ,21385398,497500,401,42.98,45,41,43.21,43.25,10.65,10.4,1.09,1.82,
3479,安勤    ,120381294,5524105,3120,21.79,26.4,19.35,22.23,23.6,12.83,11.86,11.94,1.18,
3483,力致科技,44452054,2215649,1543,20.06,21.35,18.1,19.94,20.1,N/A,1.49,4.53,0.51,
3489,筌寶    ,13019949,1810523,818,7.19,7.6,6.75,7.19,7.07,N/A,0,3.43,0.55,
3521,鴻翊    ,140046579,6098309,2417,22.96,25.5,20.2,22.07,22.6,N/A,0,19.43,1.71,
3540,曜越    ,23643050,1665332,1044,14.19,15.15,12.5,13.96,14.8,61.67,0,2.73,0.65,
3577,泓格科技,42145056,1495006,990,28.19,30.5,25.2,27.94,29.25,12.89,6.8,3.42,1.71,
3611,鼎翰科技,147708694,1794531,1535,82.31,86.8,77.7,82.36,83.9,10.42,7.15,5.34,2.87,
3625,西勝    ,18912775,2395135,1026,7.89,8.48,7.31,7.91,8.08,N/A,0,4.27,0.63,
3652,精聯電子,5789971,285001,204,20.31,21.4,19,20.17,19.75,17.79,5.82,0.6,0.78,
4924,F-欣厚  ,278650001,6694851,2330,41.62,47.9,39,41.57,46.65,16.25,2.4,19.59,2.87,
5371,中強光電,4159879444,210377840,71961,19.77,22.65,17.3,19.42,20.5,9.62,17.07,29.06,0.73,
5384,捷元    ,10079434,1000176,285,10.07,10.25,9.95,10.12,10.2,N/A,0,1.08,0.77,
5386,青雲國際,0,0,0,0,0,0,0,19.5,N/A,0,0,8.48,
5426,振發實業,23530883,2213081,694,10.63,11,10,10.63,10.7,23.26,8.41,1.54,0.74,
5438,東友    ,14256503,1050252,591,13.57,13.9,13,13.54,13.55,33.88,11.8,0.93,0.95,
5450,寶聯電腦,6409283,552512,357,11.6,12.5,11,11.71,11.45,N/A,0,1.1,0.91,
5465,富驊企業,14530469,1972055,567,7.36,7.9,6.91,7.37,7.1,142,0,1.27,0.77,
5474,聰泰科技,13116702,1521138,663,8.62,9.16,7.78,8.42,8.75,N/A,0,4.51,0.7,
5490,同亨科技,180351202,6558469,3893,27.49,28.8,25.35,27.14,28.6,8.99,11.6,6.95,1.7,
6105,瑞傳科技,124960523,4748717,1562,26.31,26.85,25.6,26.38,26.8,9.02,3.73,4.32,1.05,
6121,新普科技,4798901760,29033793,21165,165.28,181,148,164.27,177,14.33,3.67,10.36,3.32,
6123,上奇科技,118357172,3428444,1997,34.52,36.8,31.6,34.33,36.4,12.47,7.69,7.1,2.24,
6150,撼訊科技,66468371,4844039,2536,13.72,14.7,11.3,13.6,14.6,16.98,18.49,6.95,1.18,
6160,欣技資訊,111727112,3968756,2044,28.15,29.35,26.85,27.82,28.5,11.4,8.77,5.59,1.88,
6161,捷波資訊,77092666,6530521,2530,11.8,12.55,10.9,11.69,12.1,8.64,2.47,6.1,0.77,
6188,廣明光電,255197840,13640761,5056,18.7,19.85,16.9,18.54,19,9.84,10.52,4.78,0.68,
6199,精威科技,1766050,309000,195,5.71,6.2,5.25,5.68,5.82,N/A,0,0.49,0.85,
6219,富旺    ,1547625,108361,100,14.28,18.2,12.9,14.82,18.2,11.03,0,0.08,2.09,
6222,上揚科技,3477523,386601,150,8.99,9.6,8.9,9.01,9.05,N/A,0,0.69,1.07,
6228,全譜科技,4606211,690074,406,6.67,7.18,6.28,6.81,6.49,N/A,0,1.68,0.61,
6247,淇譽電子,19992518,1652199,861,12.1,12.5,11.6,12.12,12.25,N/A,3.67,2.74,0.8,
6298,崴強科技,255599867,19455943,7292,13.13,14.1,11.75,12.74,14.1,100.71,1.41,11.53,0.98,
8050,廣積    ,86083696,2516833,1637,34.2,35.45,32,34.1,34.75,10.16,9.52,3.61,1.52,
8076,伍豐科技,412340737,16777987,8708,24.57,28,21.65,24.43,25,N/A,0,9.9,1.73,
8114,振樺電  ,31956298,710256,536,44.99,46.35,43.6,44.92,45.1,8.57,10.04,1.16,2.45,
8234,新漢    ,97060674,4588778,2360,21.15,22.4,19.8,21.06,21.6,7.42,9.25,4.77,1.31,
8299,群聯電子,9427118711,53249160,36857,177.03,187.5,167,176.59,182.5,15.64,2.37,29.79,3.26,
8410,森田印刷,265676314,5874068,4120,45.22,52.6,38,44.12,42.65,8.56,4.68,16.05,1.37,
3066,李洲科技,6600326,1128056,429,5.85,6.1,5.6,5.86,5.74,N/A,0,0.74,0.68,
3128,昇銳電子,22168397,2078097,961,10.66,11.6,9.52,10.36,10.3,N/A,0,4.95,0.65,
3230,錦明實業,10118076,1684025,631,6,6.7,5.31,6.06,5.83,N/A,0,1.59,0.35,
3297,杭特電子,26784922,1284129,409,20.85,21.45,20.1,20.8,20.5,128.13,4.82,3.71,0.93,
3339,泰谷光電,136973788,11018068,4120,12.43,13.6,11.35,12.3,13.3,N/A,7.51,4,0.77,
3362,先進光  ,7107016,431430,140,16.47,18.25,16.1,16.87,16.65,N/A,0,0.55,1.71,
3434,哲固資訊,6359612,646392,189,9.83,10.3,9.17,9.85,10.15,N/A,0,1.97,1.06,
3441,聯一光學,233057299,6534589,4222,35.66,39,31.3,35.26,36.8,11.61,2.17,20.79,1.53,
3452,益通光能,1062818236,86415085,26990,12.29,13.8,10.6,11.85,12.8,N/A,0,18.02,0.64,
3455,由田新技,443428857,18250728,9854,24.29,27.3,21.25,23.6,26.4,10.95,11.28,30.25,0.86,
3490,單井    ,34406614,1891379,986,18.19,19.6,16.35,17.36,18.6,6.44,18.81,5.41,0.88,
3516,亞帝歐  ,22001632,2443937,803,9,9.51,8.46,8.94,8.73,N/A,0,3.22,0.28,
3520,振維    ,5604499,480959,253,11.65,12.9,10.85,11.87,11,N/A,0,0.94,0.79,
3522,宏森    ,30541147,2658927,1336,11.48,12.45,10.2,11.3,12.45,12.97,9.63,5.62,0.57,
3523,迎輝科技,64999321,3087952,1553,21.04,23.5,18.05,21.49,22.9,N/A,0,3.15,0.91,
3531,先益電子,7929651,420031,260,18.87,20.25,17,19.09,18.9,11.89,6.34,0.69,0.67,
3562,頂晶科技,14622333,1242641,849,11.76,14.1,10.15,11.54,12.45,N/A,0,2.37,1.25,
3615,安可光電,2123567455,31087430,21805,68.3,78.2,57.3,67.14,72.5,10.07,1.37,67.6,1.79,
3623,富晶通  ,104775848,7463990,3576,14.03,15,12.75,13.66,13.9,N/A,0,13.05,1.32,
3629,卓韋光電,11815322,975326,626,12.11,14.2,10.6,12.27,11.8,62.11,4.15,3.71,0.92,
3630,新鉅科  ,816263412,19600262,12827,41.64,47.7,35.9,40.85,40.5,8.51,7.53,22.9,1.53,
3685,政翔    ,35534108,1666805,859,21.31,22.9,19.8,21.06,21.8,7.65,9.26,4.06,1.23,
3691,碩禾    ,3318875818,14135098,12137,234.79,279,185,222.45,256,8.72,10.93,32.03,3.44,
4729,熒茂光學,422079275,20542851,10380,20.54,22.2,17.8,20.02,21,N/A,0,20.16,0.82,
4933,友輝    ,232466035,4039761,2980,57.54,65.5,52.4,57.19,56.3,7.44,7.1,8.34,1.44,
4944,兆遠    ,259628888,14093525,6424,18.42,20.95,15.4,17.25,19.95,N/A,11.02,15.33,1.07,
5315,光聯科技,16054344,5093681,1420,3.15,3.64,2.76,3.06,3.49,N/A,0,3.2,0.43,
5392,應華精密,755781920,13011254,9053,58.08,67.6,48.7,54.8,52,10.83,7.69,16.71,1.23,
5395,圓方創新,953757,61788,60,15.43,18,13.5,15.98,14.1,235,0,0.24,1.57,
5432,達威光電,5876727,453333,353,12.96,15.5,11,12.89,11.6,11.84,0,2.19,1.37,
5443,均豪精密,52181139,6214116,2640,8.39,9.34,7.48,8.33,8.14,4.24,8.59,3.41,0.54,
6125,廣運機械,130407554,11415845,4404,11.42,12.35,10.05,11.26,11.7,68.82,11.62,4.48,0.48,
6156,松上電子,188513,46745,74,4.06,5.18,3.55,3.98,3.55,N/A,0,0.06,0.39,
6167,久正光電,2888087,1482889,280,1.94,2.17,1.75,1.97,2.09,N/A,0,0.91,0.54,
6234,高僑    ,30948071,2699079,1100,11.46,12.35,10.6,11.44,11.65,89.62,0,3.78,0.35,
6244,茂迪    ,4025237974,77862443,42783,51.69,55.5,44.9,50.37,53.1,22.41,13.18,17.8,1.11,
6246,臺龍電子,374762258,33170011,11091,11.29,12.4,9.35,10.71,11.7,10.64,0,18.67,1.02,
6294,智基科技,931630,25038,42,37.24,40,34.2,37.26,35,N/A,0,0.16,5.62,
8049,晶采光電,27246196,5511870,1766,4.94,5.74,4.31,4.86,5.6,N/A,0,5.06,0.5,
8053,巨擘科技,30363217,7153650,1909,4.24,5.18,3.75,4.76,4.41,N/A,0,1.74,0.38,
8064,東捷科技,172106271,19135424,4134,8.99,9.62,8,8.7,8.87,443.5,4.5,14.48,0.57,
8069,元太科技,16301471613,367336731,152057,44.37,57.5,36.4,43.95,39.5,5.96,6.73,34.01,1.58,
8071,豐聲科技,4865406,270348,195,17.99,19.95,16.65,18.21,17.95,12.21,2.33,0.8,1.42,
8077,冠華科技,354806,129085,64,2.74,4.25,2.14,2.97,2.52,N/A,0,0.23,1.15,
8087,華鎂鑫  ,5103800,664231,378,7.68,8.29,6.72,7.08,6.9,N/A,0,1.89,0.63,
8107,大億科技,22737186,3346149,1272,6.79,7.47,5.91,6.7,7.47,N/A,11.37,1.95,0.46,
8111,立碁電子,92563105,9974984,3941,9.27,10.4,7.71,9.12,10,N/A,7.7,6.69,0.75,
8240,華宏新技,349447991,8895792,5833,39.28,48.8,34.1,40.02,38,7.66,8.42,10.47,0.83,
8266,中日新  ,19915972,5190690,1787,3.83,4.24,3.4,3.8,3.99,N/A,0,4.49,0.54,
3068,美磊科技,102629456,2675879,1402,38.35,40.7,35.15,38.05,38.8,12.28,11.23,3.72,2.43,
3095,及成    ,241882260,22823957,6283,10.59,11.6,8.7,10.23,10.15,N/A,0,10.49,0.65,
3152,璟德電子,513164935,7997440,5433,64.16,74,59.2,65.27,65,12.82,8.46,11.59,1.81,
3221,台灣嘉碩,16263829,1650782,617,9.85,10.5,9.25,9.86,9.81,N/A,12.23,1.94,0.57,
3234,光環    ,237689714,15069598,5930,15.77,17.3,13.35,14.57,16.55,19.02,6.04,16.18,1.22,
3290,東浦    ,194249830,12216149,5687,15.9,18.55,14.05,16.16,15.8,7.28,3.16,14.49,1.06,
3306,鼎天國際,70771666,3206177,2000,22.07,23.4,20.5,22.11,22.3,8.45,7.17,6.34,0.78,
3363,上詮    ,101687869,4199529,2262,24.21,27.4,20.8,23.27,26.25,14.34,4.57,7,1.62,
3431,長天科技,49915252,5056311,2338,9.87,10.8,8.8,9.84,9.64,N/A,0,10.69,1.65,
3491,昇達科技,61701970,2341070,1450,26.35,28.8,23.85,26.28,26.6,19.42,8.23,5.27,1.28,
3499,環天科技,14637704,1292341,647,11.32,12.1,10.6,11.45,11.8,N/A,0,2.43,0.75,
3632,研勤科技,574812231,8789718,6461,65.39,75.4,52.5,64.53,61.2,30.3,2.94,35.92,3.52,
4903,聯光通信,19809974,2876817,1075,6.88,7.31,6.41,6.9,7.02,9.49,0,3.78,0.66,
4905,台聯電訊,1826369,97939,80,18.64,19,18.2,18.58,18.5,8.6,2.7,0.19,1.04,
4907,春雨開發,52460,15000,9,3.49,3.8,3.26,3.45,3.5,N/A,0,0.04,21.88,
4908,前鼎光電,117713977,4807102,3195,24.48,27.1,21.7,23.32,25.6,11.8,8.2,6.43,1.82,
4909,新復興  ,446074932,12758019,7726,34.96,36.6,32.6,34.57,33.85,11.55,7.97,13.79,1.51,
4979,華星光  ,196307455,9311598,4324,21.08,25.1,17.8,20.91,25.1,24.85,1.99,22.4,1.82,
5304,鼎創達  ,13933791,2124165,1016,6.55,7.5,5.43,6.12,7.13,N/A,0,1.14,1.41,
5306,訊康科技,148098766,7101993,3098,20.85,22.6,18.7,20.6,20.55,N/A,0,5.06,3.33,
5348,系通科技,55472906,3405378,1819,16.28,19.8,13,15.05,14.25,14.84,0,13.12,1.57,
5353,台林通信,18046786,1863445,1021,9.68,10.35,8.61,9.75,9.5,10,3.78,1.92,0.68,
6109,亞元科技,3590173,493121,270,7.28,7.72,6.96,7.38,7.35,N/A,0,0.68,0.74,
6143,振曜科技,418516783,14771439,8524,28.33,30.6,25,27.6,27.2,8.98,7.24,18.18,1.29,
6163,華電聯網,29091874,2501738,1141,11.62,12.2,10.8,11.61,11.45,32.71,0,2.75,0.84,
6170,統振    ,236119515,12309205,5690,19.18,20.5,17.8,18.95,18.8,17.57,0.69,13.71,1.3,
6190,萬泰科技,18447227,2317380,836,7.96,8.45,7.4,7.96,8.04,30.92,3.73,1.84,0.64,
6218,豪勉科技,46497256,1771781,1069,26.24,27.75,24.8,26.38,26.15,6.08,15.29,3.03,1.52,
6241,易通展  ,5007574,246555,187,20.31,21.7,18.9,20.24,21.15,N/A,0,1.04,2.2,
6245,立端科技,75547985,3862071,1902,19.56,21,18.05,19.4,20.5,13.4,1.21,5.81,1.33,
6263,普萊德  ,13422273,796394,438,16.85,17.9,16,16.9,17.65,14.83,8.49,1.37,1.24,
6264,德士通  ,18977235,1725674,741,10.99,12.5,10.05,11.1,10.5,50,0,1.6,1.45,
8034,榮群電訊,7316401,1502624,470,4.86,5.31,4.5,4.87,5,N/A,0,2.39,0.59,
8048,德勝科技,9047940,829780,475,10.9,12.25,9.96,10.99,11.2,20.74,3.57,1.65,0.91,
8059,凱碩    ,11681671,1756494,637,6.65,6.98,6.21,6.67,6.57,N/A,0,1.9,0.65,
8082,眾星國際,118383120,12612995,2846,9.38,12.9,5.98,9.96,5.98,N/A,0,22.28,0.71,
8097,鴻松精密,5921758,811857,267,7.29,8.57,5.2,6.73,6.4,N/A,0,3.99,1.75,
8171,天宇    ,67832597,3129331,1532,21.67,24.1,19.65,21.38,21.25,11.07,5.64,7.63,1.13,
1333,恩得利  ,6710500,1555765,579,4.31,4.65,4.05,4.26,4.23,N/A,0,1.52,0.61,
1336,台翰    ,16949508,1606329,589,10.55,11.2,9.71,10.48,11,33.33,5.45,2.42,0.43,
1595,川寶    ,329913243,5167291,4010,63.84,72.5,57,61.96,59.6,8.15,5.03,14.02,1.55,
1815,富喬    ,304381583,20472941,8085,14.86,16.05,13.2,14.9,15,7.32,6.73,7.05,0.87,
3078,僑威科技,69629313,7150076,2468,9.73,10.4,9,9.73,10.3,18.07,10.97,3.14,0.73,
3089,展成科技,16348481,1584804,547,10.31,11.5,9.4,10.33,9.92,23.07,3.02,3.04,0.91,
3092,鴻碩精密,8979738,817605,423,10.98,11.8,10.1,10.87,11.05,13.31,10.85,1.28,0.6,
3114,好德科技,13751056,1153524,701,11.92,12.6,11.05,11.93,12.3,53.48,1.62,2.31,0.83,
3115,寶島極光,4144756,408105,230,10.15,11.7,9.23,10.48,10.4,148.57,0,0.93,1.25,
3144,新揚科  ,15089478,1190903,462,12.67,13.55,12,12.75,12.6,21.72,0,1.54,2.14,
3191,和進電子,17590989,2195837,940,8.01,8.58,7.1,7.7,7.8,11.3,0,4.05,0.52,
3202,樺晟電子,9748782,1347341,532,7.23,8.06,6.76,7.39,7.3,N/A,2.73,1.71,0.43,
3206,志豐電子,39636404,2498556,1256,15.86,17.15,14.55,15.88,16.3,7.84,9.14,6.34,0.99,
3207,耀勝電子,30198265,2148998,908,14.05,15.45,12.65,13.8,13.6,43.87,2.94,5.57,0.95,
3226,至寶電腦,23472194,1297804,502,18.08,19.6,16.6,18.18,18.9,N/A,0,2.01,1.38,
3236,千如電機,8531467,872622,445,9.77,10.5,9.1,9.75,9.81,16.91,12.23,1.89,0.7,
3276,宇環科技,72785585,7107283,2080,10.24,12.9,8.81,10.39,9.84,57.88,0,10.2,0.94,
3288,點晶科技,14805942,1115316,859,13.27,14.45,12.3,13.39,14.2,N/A,0,2.24,1.38,
3294,英濟    ,250001492,19099982,7787,13.08,14.2,11.9,12.81,13.25,35.81,0,14.03,0.61,
3299,帛漢    ,60531857,2269434,1335,26.67,27.5,25,26.6,27.1,7.17,11.07,4.52,1.18,
3310,佳穎精密,5917816,846114,420,6.99,7.96,6,7.13,7.37,N/A,0,1.81,1.1,
3313,斐成企業,21960835,2074153,991,10.58,11.25,9.85,10.53,10.8,38.57,0,2.48,0.6,
3322,建舜電子,22661202,2699068,971,8.39,10.4,7.22,8.26,7.63,N/A,0,3.25,0.58,
3332,幸康電子,21103046,459125,192,45.96,46.95,44.1,45.85,46.2,10.62,8.65,0.95,1.76,
3354,律勝    ,26348159,2397695,664,10.98,12.5,10.1,11.1,11.15,9.53,7.62,3,0.65,
3390,旭軟電子,363197953,13177831,6439,27.56,30.2,24.4,27.54,28.8,8.32,7.63,24.75,1.67,
3465,祥業科技,3095758,630010,316,4.91,5.45,4.57,4.91,5.06,N/A,0,2.22,0.97,
3484,崧騰    ,15742823,874010,560,18.01,18.55,16.9,17.97,18.2,10.83,10.43,1.58,0.8,
3511,矽瑪科技,32295327,1569553,933,20.57,22,18.3,19.94,21.15,13.56,23.64,4.07,0.95,
3512,能緹    ,16974884,2096082,1060,8.09,9.14,7,7.86,8.03,N/A,0,4.76,0.59,
3526,凡甲科技,63853028,2197056,1651,29.06,31.35,26.1,29.06,29.4,10.54,19.42,3.55,1.48,
3537,堡達    ,66905560,3752660,2315,17.82,19.35,15.7,17.54,18,10.47,5.55,8.09,1.11,
3548,兆利科技,20677120,1241178,657,16.65,17.45,15.2,16.6,16.6,N/A,6.02,2.46,0.39,
3609,東林科技,13282664,621020,416,21.38,22.7,20.15,21.29,22.6,11.89,5.3,1.98,0.91,
3624,光頡科技,710725280,31566441,14420,22.51,25.3,18.4,21.51,23.9,16.83,6.27,36.03,1.16,
3631,晟楠    ,81272512,2344769,1257,34.66,42.5,29.6,34.75,33.8,9.44,11.56,3.01,1.84,
4912,F-聯德  ,46635827,1866050,935,24.99,26.3,22.9,24.51,23.9,8.45,4.18,6.71,1.05,
4927,F-泰鼎  ,191197926,6710411,3271,28.49,31.6,25.5,28.05,28,6.06,4.82,7.22,1.31,
4939,亞電    ,119726088,6293783,3104,19.02,20.3,17.4,18.74,19.35,10.99,6.51,8.75,1.27,
4974,亞泰    ,213072203,9238793,4687,23.06,25.45,20.75,22.6,23.05,6.88,11.27,18,1.33,
5301,祥裕電子,1188,339,3,0,0,0,0,2.41,N/A,0,0,0.7,
