櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年11月 Nov. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,439,664,390元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,951,773筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,075,106,374股",,,,,,4. 成交量週轉率： 10.48%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2063,世鎧精密,98257739,2569440,1284,38.24,42.2,32.6,36.77,33.3,8.12,12.01,7.48,2.04
5009,榮剛材料,3362225246,136680584,44734,24.59,26.25,22.05,24.09,22.2,10.88,2.11,34.89,1.2
5011,久陽精密,1128821,34499,54,32.74,34.9,29.35,33.47,34.5,14.81,0,0.11,2.96
5013,強新工業,35821225,2761435,1156,12.97,13.85,11.8,12.87,12.3,6,13.82,2.83,0.82
5014,建錩實業,19948726,2407247,667,8.28,8.97,7.31,8.38,7.6,33.04,7.89,1.47,0.59
5015,華祺工業,27612821,1696989,829,16.27,17.25,14.8,16.15,15.1,7.37,2.64,2.8,0.93
5016,松和工業,323593626,9075783,1841,35.65,39.45,26.3,35.6,28,7.69,8.92,18.29,1.32
8349,友信    ,9437283,373734,279,25.25,26.5,23.7,25.36,25,17.61,5.16,0.58,1.58
8930,青鋼金屬,19953242,1573704,678,12.67,13.3,11.5,12.73,12.9,18.43,6.89,2.76,0.94
9962,有益鋼鐵,25447812,2197417,1006,11.58,13.5,9.92,12.08,10.45,6.66,18.18,2.44,0.92
5102,富強輪胎,61391955,3014641,1275,20.36,21.85,17.8,20.12,18.45,7.15,5.42,4.94,1.3
