櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
"101年11月  Nov., 12",,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 203,955,035,096元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,395,365筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,392,892,597股",,,,,,4. 成交量週轉率： 8.32%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
"代 號
 Code",股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,"總  成  交  量
（ 股 ）　　　Total Trading Volume　　　　　（Share）","總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比      P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4160,創源    ,723921419,16086458,12319,45,51.9,37.3,44.2,40.3,73.27,0.86,68.36,2.34,,,
4162,智擎    ,6396065563,37069442,27851,172.54,186,155,171.31,181.5,181.5,0,40.26,10.18,,,
4163,鐿鈦    ,2676729784,22450056,17060,119.23,140,108,115.66,117.5,25.32,1.7,55.79,5.25,,,
4728,雙美    ,222806200,8650227,5377,25.75,27.1,23.55,25.57,25.65,80.16,2.33,15.88,2.25,,,
4735,豪展    ,34642988,2990800,1544,11.58,12.3,10.5,11.35,11.4,N/A,4.38,10.41,1,,,
4736,泰博    ,76995514,1850617,1204,41.6,44.95,39,41.72,44.4,14.85,9,2.93,1.56,,,
4743,合一    ,451502138,19723663,8782,22.89,24.3,20.85,22.75,22.8,N/A,4.82,15.41,2.14,,,
4911,德英    ,927194740,14874013,11040,62.33,67.5,56.5,60.93,57.7,524.55,0,27.04,3.82,,,
6130,基因科技,366912228,2936532,2807,124.94,138,110,123.36,118,26.22,0,11,7.47,,,
8403,盛弘    ,175538860,6633163,4606,26.46,28.7,23.6,25.84,28.1,25.78,3.16,12.92,1.38,,,
8406,F-金可  ,3626381626,9875359,8599,367.21,392.5,345,365.25,364,31.82,0.63,10.96,5.82,,,
8432,東生華  ,1013689362,10248833,8731,98.9,109.5,85.1,96.58,98,24.2,4.28,29.36,3.45,,,
8908,欣雄    ,5232560,219937,126,23.79,24.4,22.7,23.57,24.25,16.96,3.29,0.23,2.04,,,
8917,欣泰    ,18579573,414154,98,44.86,46.7,42.7,45.39,45.8,23.13,3.93,0.35,3.05,,,
8927,北基國際,114415010,8604118,753,13.29,13.8,12.7,13.25,13.3,16.42,5.93,7.34,1.22,,,
8931,大園汽電,13658598,972978,415,14.03,14.45,13.5,14.05,14.2,17.75,4.22,0.91,1.04,,,
3073,普格    ,99966578,18618369,4807,5.36,9.49,3.73,5.95,6.53,N/A,0,31.88,1.21,,,
3087,翔準    ,136243813,10203001,837,13.35,13.55,12.85,13.28,12.85,27.93,0,4.21,0.82,,,
3105,穩懋    ,5999757748,187202012,73010,32.04,34.6,28.9,31.72,33.9,10.73,2.35,25,1.99,,,
3169,亞信電子,50048140,1858291,1264,26.93,28.25,24.9,26.91,28,11.29,7.14,3.48,1.87,,,
3188,安茂    ,6929093,998142,345,6.94,7.36,6.64,6.96,6.86,N/A,0,2.22,0.87,,,
3219,倚強科技,3197289,531692,65,6.01,6.52,2.86,4.36,6.49,N/A,0,2.38,0.89,,,
3227,原相科技,2302088697,35414241,23961,65,71,58.5,63.16,68.6,21.64,4.37,26.7,1.59,,,
3228,金麗科  ,16072668,887603,549,18.1,19.25,16.7,18.1,18.3,N/A,0,1.5,2.11,,,
3252,海灣科技,5137329,383864,265,13.38,14.5,12,13.53,13.45,42.03,0,1.1,2.17,,,
3259,鑫創科技,28039860,2245476,895,12.48,13.05,11.5,12.21,12.5,N/A,0,3.59,1.18,,,
3260,威剛科技,625768327,22546512,10356,27.75,29.55,25.7,27.86,28.9,8.6,1.03,9.99,0.89,,,
3264,欣銓科技,272389776,14661378,8036,18.57,19.25,17.85,18.4,19.25,10.69,6.75,3.18,1.08,,,
3265,台星科  ,878709046,26588330,12875,33.04,35.85,29.1,32.14,35.8,9.3,6.56,19.51,1.59,,,
3268,海德威  ,4287311,608606,348,7.04,7.68,6.36,7.1,7.49,N/A,0,1.98,0.91,,,
3291,遠翔科技,56711493,1872442,1026,30.28,31.65,29.1,30.14,31.4,10.06,5.73,5.37,1.93,,,
3317,尼克森  ,18280746,1547322,860,11.81,12.4,11.35,11.75,12.1,N/A,3.3,2.53,0.51,,,
3372,典範    ,38158405,9014449,2484,4.23,4.57,4.01,4.2,4.42,N/A,0,2.98,0.44,,,
3438,類比科  ,56853431,1951539,1384,29.13,30.55,28.05,29.02,30.45,15.23,3.94,5.05,1.13,,,
3527,聚積    ,718926132,6904569,5535,104.12,113,95.2,104.21,107.5,10.51,7.72,20.82,2.25,,,
3529,力旺電子,563181841,10094535,6546,55.79,59.3,50.7,55.54,58.1,33.2,4.3,13.14,2.89,,,
3553,力積電子,59502155,4552024,2719,13.07,14.1,12.05,12.85,13.4,N/A,16.41,7.1,1.04,,,
3555,擎泰    ,1188967891,48851358,25392,24.33,27.8,21.7,24.15,24.25,N/A,17.31,75.23,1.16,,,
3556,禾瑞亞  ,863488458,16319398,10329,52.91,55.6,47.5,52.52,54,29.03,8.33,33.83,2.86,,,
3567,逸昌    ,7009121,843252,277,8.31,8.62,7.76,8.35,8.5,N/A,2.11,2.11,0.68,,,
3582,凌耀    ,2575444742,14139325,10632,182.14,190,170.5,180.79,189.5,13.43,3.16,39.39,4.96,,,
3658,漢微科  ,4859596952,8400045,7027,578.52,632,490,557.22,632,34.98,0.63,12.73,12.09,,,
3675,德微    ,24069067,1290462,864,18.65,20.7,16.7,18.14,20.3,N/A,1.77,2.91,1.07,,,
3680,家登    ,1046558987,16501602,11290,63.42,68,57.6,62.57,65.5,28.11,3.05,30.38,3.32,,,
4947,F-昂寶  ,119707196,1421781,1231,84.19,91,79.3,85.24,84.5,9.52,4.73,3.34,2.2,,,
4966,F-譜瑞  ,8233611562,35468802,27468,232.13,267,194.5,233.02,232,9.43,1.49,68.69,3.9,,,
4973,廣穎    ,1259566086,30500539,16021,41.29,45.5,35.5,41.3,45,8.98,4.44,50.66,2.01,,,
5302,太欣半導,3918574,631071,390,6.2,6.65,5.6,6.13,6.47,N/A,0,0.39,0.96,,,
5314,世紀民生,48345895,4578726,1923,10.55,11.15,9.8,10.47,10.95,N/A,0,7.63,1.09,,,
5326,漢磊科技,109983877,14144101,4773,7.77,8.29,7.3,7.58,7.9,N/A,6.32,4.33,0.74,,,
5344,立衛科技,15762733,1313691,667,11.99,12.85,10.5,11.75,11.9,9.6,3.27,1.65,1.02,,,
5346,力晶    ,99244259,458545166,32309,0.21,0.26,0.17,0.21,0.23,N/A,0,20.69,-0.17,,,
5347,世界先進,2721055140,142724915,47372,19.06,19.85,17.65,19.07,19.3,19.3,3.26,8.79,1.48,,,
5351,鈺創科技,272625595,35152409,12321,7.75,8.38,6.51,7.65,7.56,N/A,4.23,8,0.75,,,
5425,台半    ,152007628,12770071,5971,11.9,12.85,11.15,11.98,11.5,14.56,8.69,5.23,0.59,,,
5455,訊利電業,530516,278979,100,1.9,2.18,1.73,1.93,1.9,N/A,0,0.76,0.47,,,
5466,泰林科技,88346009,9126887,3241,9.67,10.15,8.88,9.59,10.15,N/A,9.85,3.74,0.48,,,
5468,凱鈺科技,1156010,152593,101,7.57,8.09,7.31,7.71,7.5,N/A,0,0.34,1.04,,,
5483,中美晶  ,5265054830,165918022,64084,31.73,34.45,28.05,31.25,31.2,N/A,2.72,31.72,0.79,,,
5487,通泰    ,9114430,560551,272,16.25,18.2,13.3,16.1,18.2,10.28,4.61,2.53,0.81,,,
6103,合邦電子,253653,172718,94,1.46,1.62,1.36,1.46,1.62,N/A,0,0.31,2.66,,,
6104,創惟科技,54349217,2787396,1748,19.49,20.45,18,19.33,20.1,N/A,0,3.22,1.3,,,
6129,普誠科技,32249048,4054925,1976,7.95,8.55,7.42,7.86,8.24,28.41,6.06,2.24,0.68,,,
6138,茂達電子,119591493,6819026,3414,17.53,18.5,16.55,17.47,18.1,12.57,8.45,5.24,1.19,,,
6147,頎邦科技,5500379256,103726077,48658,53.02,58,49,52.65,56.3,14.55,3.55,17.6,1.97,,,
6182,合晶科技,475923144,36991865,18661,12.86,14.25,11.15,12.71,13.55,N/A,1.47,12.9,0.61,,,
6198,凌泰科技,2585598,482223,182,5.36,5.65,4.84,5.29,5.2,N/A,0,1.38,0.83,,,
6223,旺矽科技,233627842,5171543,3865,45.17,49.3,41.4,44.75,48.3,17.01,9.31,6.58,1.27,,,
6229,研通科技,10714276,1048481,506,10.21,10.65,9.85,10.22,10.3,93.64,4.85,2.93,0.85,,,
6233,旺玖科技,35275480,2938259,1560,12,12.5,11.4,11.97,12.4,N/A,0,3.36,0.83,,,
6236,凌越科技,144511,9233,11,15.72,17.1,14.1,15.58,17.1,N/A,0,0.14,5.9,,,
6237,驊訊電子,26510847,1471843,970,18.01,19,16.6,18.02,17.85,N/A,1.4,1.91,0.94,,,
6261,久元電子,423098955,6881575,4849,61.48,64.6,59.3,61.28,64.2,11.74,8.31,6.02,1.43,,,
6287,元隆電子,6009659,1498015,605,4.01,4.3,3.71,4.01,3.94,N/A,0,1.08,0.75,,,
6291,沛亨半導,713657,350657,139,2.03,2.37,1.86,2.13,1.93,N/A,0,0.72,0.51,,,
8024,佑華微電,7464576,601656,372,12.4,13.1,11.8,12.5,12.5,50,1.84,1.2,0.78,,,
8040,九暘    ,12580782,1523043,794,8.26,8.9,7.5,8.27,8.6,N/A,12.09,1.76,0.77,,,
8054,安國國際,247618161,7488042,4991,33.06,34.85,30.5,32.84,33,8.71,10,9.06,1.25,,,
8066,來思達  ,2338878,97762,53,23.92,33,20.5,24.59,22.5,N/A,0,0.5,90,,,
8079,誠遠科技,19398990,1588514,891,12.21,12.6,11.8,12.18,12.5,11.79,12,1.98,0.9,,,
8084,巨虹電子,1934474,319187,181,6.06,6.89,5.62,6.23,5.9,7.87,0,0.79,0.72,,,
8086,宏捷科技,1209124971,61373693,27855,19.7,21.2,17.3,19.52,20.4,97.14,2.35,45.28,1.48,,,
8088,品安科技,81781867,5097702,2078,16.04,17.4,15.1,16.15,16.5,110,3.63,8.94,1.26,,,
8277,商丞科技,64004072,5202102,2720,12.3,13.35,10.7,11.98,12.25,N/A,0,8,0.95,,,
1569,濱川企業,1005050235,27070665,14146,37.12,40,31.05,36.45,38.6,15.63,4.66,36.56,1.53,,,
3071,協禧電機,22643792,3266894,933,6.93,7.26,6.5,6.79,6.98,41.06,2.86,1.79,0.65,,,
3088,艾訊    ,68518956,2805782,1152,24.42,25.2,23.35,24.29,24.65,12.71,6.08,3.63,1.56,,,
3126,信億科技,10649794,884173,565,12.04,13.8,10.6,12.17,12.5,N/A,0,1.83,2.34,,,
3171,新洲全球,4979618,378371,231,13.16,14,12.05,13.2,14,N/A,0,0.77,1.48,,,
3211,順達科技,5243281324,48805819,33513,107.43,114.5,97.4,107.49,113,10.09,5.75,32.16,2.48,,,
3213,茂訊電腦,80654409,2506599,1900,32.17,35.9,28.5,30.71,34.1,10.15,13.19,4.27,1.87,,,
3287,廣寰科  ,3625104,500341,245,7.24,7.66,7,7.25,7.3,N/A,17.8,1.14,0.67,,,
3323,加百裕  ,175858758,9502627,5686,18.5,20,16.5,18.41,19,N/A,5.26,9.6,0.76,,,
3325,旭品    ,90206583,5891492,2430,15.31,16.45,13.95,15.14,15.55,N/A,0,7.64,1.05,,,
3416,融程電  ,26793788,656465,417,40.81,42.2,39.6,40.9,41.25,11.92,7.75,1.42,1.73,,,
3479,安勤    ,545773476,13871394,7713,39.34,41.95,36.5,38.53,39.35,7.37,5.87,29.94,1.72,,,
3483,力致科技,120221158,4199992,2288,28.62,30.4,26.25,28.29,30,9.23,1.66,8.58,0.73,,,
3489,筌寶    ,386091849,27628885,9405,13.97,16.2,11.35,13.65,14.85,N/A,0,52.28,1.36,,,
3521,鴻翊    ,59201004,2669098,1006,22.18,24.25,17.7,20.43,18.9,N/A,0,8.43,1.56,,,
3540,曜越    ,14094713,1027625,678,13.71,14.3,13.15,13.71,13.8,27.6,8.69,1.69,0.64,,,
3577,泓格科技,23302802,961555,726,24.23,25.6,22.3,24.42,24.8,13.63,6.85,2.2,1.44,,,
3611,鼎翰科技,74919580,900273,780,83.21,87,80,83.47,83.6,9.99,8.37,2.64,2.76,,,
3625,西勝    ,13820722,1327057,561,10.41,11.1,9.4,10.36,9.92,20.67,0,2.37,0.73,,,
3652,精聯電子,1844713,115004,92,16.04,16.8,15.45,16.02,16.1,N/A,5.77,0.24,0.68,,,
4924,F-欣厚  ,47447133,1746013,1159,27.17,30.3,24,27.8,26.25,N/A,5.79,5.02,1.67,,,
4987,科誠    ,32673907,871464,557,37.49,38.8,36.2,37.25,38.4,8.91,5.98,3.63,1.48,,,
5356,協益電子,321091072,9597865,4947,33.45,35.4,31.75,33.29,35,7.49,12.85,7.25,1.22,,,
5371,中強光電,1986538973,96194309,38814,20.65,22.15,18.35,20.63,21.75,16.35,7.35,13.29,0.8,,,
5384,捷元    ,10836566,914508,329,11.84,12.3,11.45,11.82,11.6,38.67,0,1.15,0.84,,,
5386,青雲國際,798184,36327,54,22.08,27.35,12.3,20.58,19.55,3.96,0,0.42,2.7,,,
5426,振發實業,42560817,3463190,892,12.28,12.6,12,12.28,12.5,9.62,5.12,2.41,0.85,,,
5438,東友    ,7767856,720070,472,10.78,11.15,10.4,10.76,10.9,47.39,5.5,0.64,0.85,,,
5450,寶聯通  ,5543789,476286,338,11.63,12.4,11.1,11.74,11.75,N/A,0,0.95,0.94,,,
5465,富驊企業,11124539,2179802,785,5.1,5.61,4.43,4.92,5,N/A,0,1.4,0.56,,,
5474,聰泰科技,29319842,2155568,1162,13.6,14.5,12.1,13.31,13.7,48.93,0,6.39,1.07,,,
5490,同亨科技,35028746,1444431,907,24.25,25.75,22.55,24.15,24.1,13.39,10.37,1.53,1.5,,,
6105,瑞傳科技,113797716,3961055,2311,28.72,29.45,27.6,28.75,29.25,7.93,6.83,3.88,1.11,,,
6121,新普科技,12589019389,91162731,59377,138.09,148,124,137.77,147,12.16,4.76,29.57,2.7,,,
6123,上奇科技,30128555,1110057,775,27.14,29,24.6,27.16,28.2,10.04,9.57,2.3,1.83,,,
6150,撼訊科技,81364985,6755225,3150,12.04,13.55,11,11.81,13.1,N/A,3.81,9.63,1.16,,,
6160,欣技資訊,65904348,3097226,1679,21.27,23,20,21.27,22.2,13.45,10.36,4.36,1.55,,,
6161,捷波資訊,41659468,3927011,1816,10.6,11,10.2,10.57,10.85,8.82,15.48,3.25,0.73,,,
6188,廣明光電,151290705,8942219,3894,16.91,17.6,16.15,17.02,17.3,15.59,7.51,3.21,0.63,,,
6199,精威科技,33409845,1832261,235,18.23,19.65,16.7,18.38,19.5,N/A,0,2.9,2.95,,,
6222,上揚科技,1361440,142806,105,9.53,10.35,9.05,9.58,9.56,14.71,0,0.25,1.09,,,
6228,全譜科技,2861907,719891,338,3.97,4.55,3.75,4.05,3.94,N/A,0,1.75,0.46,,,
6298,崴強科技,1379859912,60332829,24383,22.87,24.8,20.75,22.17,22,8.98,2.72,35.73,1.37,,,
8050,廣積    ,163435799,4658590,3009,35.08,36.05,33.6,34.99,35.9,9,9.66,5.54,1.48,,,
8076,伍豐科技,313402929,8852936,5146,35.4,38.6,32.45,35.25,38.3,37.92,1.27,5.1,2.59,,,
8114,振樺電  ,62922650,1119224,838,56.21,57.4,55,56.02,56.5,N/A,8.14,1.78,2.93,,,
8234,新漢    ,57767731,2388619,1249,24.18,24.9,23.6,24.12,24.55,13.42,10.18,2.15,1.59,,,
8299,群聯電子,7853315853,39086996,29526,200.91,227,182,200.7,205,12.63,3.41,21.7,3.15,,,
8410,森田印刷,34925979,892101,726,39.15,41.2,37.2,39.1,40.5,32.93,4.93,2.44,1.33,,,
3066,李洲科技,3920961,673926,238,5.81,6.05,5.67,5.81,5.9,N/A,0,0.45,1.03,,,
3128,昇銳電子,5396874,687208,259,7.85,8.54,7.52,7.93,7.85,N/A,12.73,1.64,0.55,,,
3230,錦明實業,10162004,2182234,629,4.65,5.04,4.4,4.72,4.7,N/A,0,1.97,0.31,,,
3297,杭特電子,7212321,389811,252,18.5,19,17.8,18.45,18.8,11.75,3.19,1.11,0.81,,,
3339,泰谷光電,154769924,12653011,4108,12.23,13.15,11.1,11.81,12.5,N/A,8,4.6,0.93,,,
3362,先進光  ,34757218,920543,568,37.75,39.5,35,37.83,38.95,58.13,0,1.18,3.75,,,
3428,光燿科  ,70228670,2832871,1762,24.79,27,22.15,24.01,25.9,41.77,4.63,3.91,1.89,,,
3434,哲固資訊,1441607,167450,49,8.6,8.97,8.3,8.5,8.59,N/A,0,0.51,1.27,,,
3441,聯一光學,188312275,5184812,3468,36.31,39.5,32.7,36.07,36.5,12.17,3.09,13.34,1.32,,,
3452,益通光能,265531017,26092546,11072,10.17,11.1,8.55,9.97,10.8,N/A,0,5.44,0.68,,,
3455,由田新技,100489798,5946640,3402,16.89,18.2,13.8,16.31,17.4,N/A,5.74,9.81,0.66,,,
3490,單井    ,9389885,570718,283,16.45,17.4,15.6,16.42,16.8,17.14,8.92,1.63,0.82,,,
3516,亞帝歐  ,6651202,737630,323,9.01,9.3,8.7,8.93,8.83,N/A,0,0.97,0.32,,,
3522,宏森    ,47519536,3819555,1657,12.44,13.4,11.4,12.32,13.35,15.52,3.74,8.08,0.61,,,
3523,迎輝科技,40153698,1574066,844,25.5,26.6,23.5,25.17,24,N/A,0,1.61,1,,,
3531,先益電子,31746817,1514808,819,20.95,21.95,19.2,20.97,21.05,10.02,5.7,2.48,0.74,,,
3562,頂晶科技,1906898,215304,102,8.85,9.56,6.89,8.96,6.89,N/A,0,0.41,1.77,,,
3615,安可光電,830976326,16317924,11580,50.92,54.9,44.6,50.91,52.8,27.79,6.25,32.26,1.44,,,
3623,富晶通  ,17342771,1896898,881,9.14,9.71,8.52,9.11,9.47,N/A,0,3.32,0.9,,,
3629,卓韋光電,14559273,1557643,953,9.34,10.1,8.5,9.44,9.05,N/A,0,4.06,1.16,,,
3630,新鉅科  ,479813704,11041889,6402,43.45,46.1,38.5,43.13,44.7,N/A,2.25,12.74,1.95,,,
3685,政翔    ,22477723,1262401,741,17.8,18.8,16.7,17.89,18,23.08,11.11,3.14,1.13,,,
3691,碩禾    ,2726199665,12019592,10665,226.81,243,192,224.43,232,17.55,8.62,27.24,3.48,,,
4729,熒茂光學,25863342,2722119,1334,9.5,10.15,8.99,9.54,10,N/A,0,2.67,0.48,,,
4933,友輝    ,4726823333,38078099,25835,124.13,148,105.5,125.38,123,15.36,3.23,63,3.26,,,
4944,兆遠    ,504053926,23109931,11932,21.81,24.1,19.55,21.56,21.9,N/A,10.04,24.94,1.27,,,
4950,牧東    ,65908644,2810272,1239,23.45,25.65,21.6,23.39,25.15,N/A,1.55,3.66,1.07,,,
4995,晶達    ,9032332,560153,357,16.12,17.1,15.4,16.02,16.9,16.1,6.33,1.65,1.37,,,
5230,雷笛克  ,190701039,2875589,1978,66.31,69.8,61.6,66.69,68,22.15,3.64,8.06,2.34,,,
5251,天鉞電  ,232369711,4946944,3114,46.97,60,42,46.88,53.9,11.44,2.59,22.16,3.07,,,
5315,光聯科技,7351721,2808611,976,2.61,2.88,2.33,2.6,2.6,N/A,0,1.77,0.4,,,
5392,應華精密,281147618,5967041,4312,47.11,49.5,44.5,46.73,47.1,18.05,5.3,7.67,1.13,,,
5395,圓方創新,49064,3955,6,12.37,13.4,12.1,12.97,13.1,N/A,0,0.01,1.72,,,
5432,達威光電,6860334,451850,365,15.18,16.2,14,14.95,15.2,12.46,0,2.18,1.57,,,
5443,均豪精密,52375671,7393801,2028,7.08,7.34,6.6,6.9,7.3,N/A,4.1,4.14,0.56,,,
6125,廣運機械,60815352,7007335,2627,8.67,9.25,8.15,8.66,9.04,N/A,2.21,2.78,0.41,,,
6156,松上電子,14054185,1622175,1056,8.66,9.9,6.7,8.43,9.2,N/A,0,1.96,1.27,,,
6167,久正光電,1901094,764295,232,2.48,2.78,2.3,2.54,2.49,4.45,0,0.47,0.58,,,
6234,高僑    ,14140166,1335031,601,10.59,11.1,10.25,10.62,11.1,N/A,1.8,1.87,0.34,,,
6244,茂迪    ,2756333007,113352854,43502,24.31,26.9,21.35,23.87,24.3,N/A,28.8,25.92,0.71,,,
6246,臺龍電子,48225601,4950177,2252,9.74,10.35,9.35,9.7,9.63,N/A,0,2.79,1.05,,,
8049,晶采光電,10780496,2284204,823,4.71,5.12,4.42,4.67,4.77,N/A,0,2.1,0.46,,,
8053,巨擘科技,836847,600898,133,1.39,1.62,1.23,1.44,1.5,N/A,0,0.15,0.13,,,
8064,東捷科技,20426121,3554233,935,5.74,6.08,5.33,5.71,6.08,N/A,6.57,2.69,0.44,,,
8069,元太科技,5243084746,244376261,88204,21.45,25.7,18.75,21.31,21.4,N/A,14.01,22.61,1.01,,,
8071,能率豐  ,6595496,315187,205,20.92,23.5,18.8,21.7,19.9,14.42,7.53,0.93,1.58,,,
8077,冠華科技,122556,80047,25,1.53,1.8,1.32,1.59,1.68,N/A,0,0.14,2.4,,,
8087,華鎂鑫  ,3321324,487303,217,6.81,7.15,6.62,6.97,6.88,137.6,0,1.59,0.59,,,
8107,大億科技,96362048,10175151,3529,9.47,10.05,8.64,9.22,9.53,N/A,8.91,6.34,0.62,,,
8111,立碁電子,58704428,11114177,2983,5.28,5.63,4.8,5.04,5.32,N/A,14.47,7.59,0.52,,,
8240,華宏新技,271946009,6503778,4342,41.81,45,38.2,41.25,44.4,12.61,6.08,7.65,0.97,,,
8266,中日新  ,600852,299918,195,2,2.21,1.84,2.01,1.97,N/A,0,0.58,0.33,,,
3068,美磊科技,68641409,1762860,479,38.93,40.3,37.6,38.6,38.5,23.77,4.98,2.23,2.53,,,
3095,及成    ,91582037,17294239,5075,5.29,5.75,4.9,5.21,5.63,N/A,0,7.94,0.43,,,
3152,璟德電子,131316041,1661367,1401,79.04,83.9,76.9,79.21,78.8,17.32,5.59,2.41,2.18,,,
3221,台灣嘉碩,5410621,614624,355,8.8,9.15,8.52,8.8,9.1,N/A,2.19,0.72,0.56,,,
3234,光環    ,140949328,6434435,3053,21.9,22.75,20.8,21.79,22.4,10.67,6.65,6.87,1.58,,,
3290,東浦    ,31279473,3080381,1232,10.15,10.7,9.66,10.2,10.35,N/A,4.83,4.14,0.81,,,
3306,鼎天國際,21037612,1059993,752,19.84,21.1,19.1,19.72,20.25,17.61,8.39,2.09,0.65,,,
3363,上詮    ,144668076,6173105,2796,23.43,24.6,21.5,23.1,23.6,12.42,5.08,10.22,1.4,,,
3431,長天科技,9502123,1061888,465,8.94,9.78,8.04,8.98,9.04,N/A,0,2.24,1.57,,,
3466,致振企業,7665123,404305,242,18.95,20,18.35,19.05,19.5,12.34,7.69,0.65,0.74,,,
3491,昇達科技,365776406,7966616,4767,45.91,48.5,40.35,44.74,47.5,18.13,2.58,17.76,2.15,,,
3499,環天科技,6014661,660278,472,9.1,9.87,8.8,9.2,8.86,N/A,11.06,1.13,0.59,,,
3632,研勤科技,66378992,3077484,2304,21.56,23.9,19.6,21.31,22.75,35.55,6.15,11.23,1.38,,,
3664,F-安瑞  ,12967185,1077326,645,12.03,12.95,11.35,11.9,11.95,N/A,4.1,1.53,0.72,,,
4903,聯光通信,396902377,39415767,13204,10.06,10.9,9,9.85,9.61,11.17,2.6,51.74,0.86,,,
4905,台聯電訊,86348879,3591495,948,24.04,24.9,21.5,23.56,23.15,9.98,2.15,7.01,1.12,,,
4907,春雨開發,2295421,297576,89,7.71,8.1,7.03,7.73,7.5,N/A,0,0.22,10,,,
4908,前鼎光電,51520031,2187201,1482,23.55,24.7,22.65,23.42,24.4,9.31,8.19,2.93,1.65,,,
4909,新復興  ,97632858,3766227,2310,25.92,27.7,24,25.73,26.9,12.45,7.43,4.07,1.21,,,
4979,華星光  ,774344149,15270833,10034,50.7,54.8,44.95,51.01,53,13.25,1.13,30.56,2.99,,,
5306,桂盟國際,202972640,4071621,2528,49.85,52,46.25,49.64,51.2,36.06,0,3.95,5.24,,,
5348,系通科技,6781588,468924,283,14.46,15.8,13.6,14.45,14.1,8.1,0,1.81,1.31,,,
5353,台林通信,10456191,1218427,646,8.58,8.98,8.22,8.55,8.7,48.33,6.43,1.25,0.64,,,
6109,亞元科技,2900576,309004,182,9.38,9.94,8.94,9.46,9.77,23.26,0,0.43,0.95,,,
6143,振曜科技,1815109884,40140530,21831,45.21,52,38.2,45.7,42.2,14.55,4.73,49.07,1.93,,,
6163,華電聯網,532267334,27823736,10601,19.12,19.7,18.1,18.82,19,8.48,2.57,28.71,1.21,,,
6170,統振    ,185132599,13441255,5056,13.77,14.5,12.6,13.49,13.4,21.27,8.88,14.16,0.94,,,
6190,萬泰科技,12447378,2298653,800,5.41,5.97,5.05,5.4,5.75,N/A,3.47,1.84,0.49,,,
6218,豪勉科技,32785698,1676622,871,19.55,20.2,18.8,19.55,19.85,15.75,12.59,2.61,1.29,,,
6241,易通展  ,2241926,57720,61,38.84,41.5,36.8,39.32,37.6,11.19,0,0.24,2.9,,,
6245,立端科技,298221663,9306082,4872,32.04,33.9,29.7,31.95,32.75,10.3,3.9,12.85,1.91,,,
6263,普萊德  ,16803167,704002,498,23.86,24.5,23,23.94,24.4,9.76,5.73,1.21,1.59,,,
8034,榮群電訊,23573160,4026617,751,5.85,6.18,5.4,5.89,6.04,N/A,0,6.4,0.78,,,
8048,德勝科技,5750857,508773,327,11.3,11.8,11,11.33,11.3,16.62,3.62,1.01,0.9,,,
8059,凱碩    ,3235174,538055,235,6.01,6.3,5.61,6.02,6.1,N/A,0,0.58,0.67,,,
8082,眾星國際,5132103,1237066,595,4.14,4.7,3.84,4.15,3.98,N/A,0,2.19,0.79,,,
8097,鴻松精密,599024,50439,79,11.92,13.15,10.45,11.68,11.15,19.22,0,0.37,1.07,,,
8171,天宇    ,17386193,1292954,795,13.44,14.8,12,13.03,13.7,N/A,8.75,3.15,0.79,,,
1333,恩得利  ,4635200,1198435,553,3.86,4.1,3.55,3.87,3.96,N/A,0,1.17,0.66,,,
1336,台翰    ,7312868,757543,307,9.65,10,9.41,9.75,9.53,N/A,3.14,1.18,0.4,,,
1595,川寶    ,82244311,1370398,1118,60.01,62.6,58,59.82,61,8.57,8.19,3.54,1.55,,,
1815,富喬    ,461238869,37823620,14944,12.19,13,11,12.11,12.65,40.81,1.42,11.56,0.72,,,
3078,僑威科技,28573908,3201700,1291,8.92,9.3,8.6,8.96,9.11,17.86,3.84,1.41,0.65,,,
3089,展成科技,13585842,1223841,493,11.1,12,10.5,11.11,10.85,27.82,2.76,2.35,1.04,,,
3092,鴻碩精密,8252517,922623,444,8.94,9.36,8.61,9.09,9.02,451,5.54,1.45,0.51,,,
3114,好德科技,5295161,464627,258,11.39,11.85,11.05,11.4,11.65,15.53,3.43,0.93,0.79,,,
3115,寶島極光,1861034,172493,103,10.78,11.8,10.2,10.93,10.65,N/A,0,0.39,1.33,,,
3144,新揚科  ,127194294,5711654,1901,22.26,24.4,20.8,21.92,22,11.4,0,12.97,1.98,,,
3191,和進電子,4184939,587622,317,7.12,7.78,6.8,7.29,6.92,N/A,2.89,1.07,0.53,,,
