櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
2063,世鎧精密,360281581,5194919,2838,69.35,81.3,60,67.67,81.3,16.59,2.33,18.15,4.81,,
5007,三星科技,350480319,10860387,2961,32.27,33.5,31.1,32.21,32.4,17.51,2.96,4.94,2.08,,
5009,榮剛材料,2459555827,92679582,28949,26.53,28.1,25.25,26.34,26.7,242.73,0,27.92,1.69,,
5011,久陽精密,66795,3411,7,19.71,19.75,19.7,19.72,19.7,49.25,0,0.01,2.18,,
5013,強新工業,458701369,21462993,6795,21.37,22.5,20.5,21.21,21.15,7.75,0,24.62,1.41,,
5014,建錩實業,157747390,14144085,5910,11.15,11.8,10.7,11.05,11,183.33,3.72,8.96,0.77,,
5015,華祺工業,45794778,3025968,1042,15.13,15.75,14.5,14.84,14.55,29.10,6.87,4.99,0.98,,
5016,松和工業,468883566,11231719,6095,41.74,45.4,37.2,40.07,39,8.90,0.77,24.9,1.83,,
8349,友信    ,109433157,4359954,444,25.09,27,24.55,25.63,26.2,20.96,1.6,6.74,1.67,,
8930,青鋼金屬,39485859,2491654,981,15.84,16.15,15.65,15.8,15.9,9.81,4.2,4.63,1.06,,
9962,有益鋼鐵,161278998,8085061,2492,19.94,20.8,18.35,19.88,20,11.43,3.48,10.31,1.71,,
5102,富強輪胎,19799827,1440573,448,13.74,13.95,13.5,13.72,13.9,15.11,0,2.48,1.07,,
2596,綠意開發,29545644,1485455,725,19.88,21,19.25,19.96,19.8,11.93,7.57,2.18,1.34,,
4113,聯上實業,27956261,1484673,764,18.82,19.55,17.9,18.54,18,27.69,0,2.69,1.5,,
4416,三圓建設,1997282,23424,21,85.26,89,85,85.57,85,23.55,4.23,0.04,3.51,,
5213,亞昕    ,1492376254,35933738,14294,41.53,44,38.4,41.29,40.4,5.79,6.36,22.51,2.21,,
5505,和旺建設,739836884,17006660,7956,43.5,47.4,39.8,43.37,41.45,N/A,1.52,19.07,3.15,,
5506,長鴻營造,140573911,14646921,3728,9.59,10.15,9.22,9.52,9.31,N/A,0,7.23,1.13,,
5508,永信建設,222886240,7233342,1224,30.81,34.6,31.8,32.51,31.95,13.83,8.13,3.94,1.93,,
5511,德昌營造,807781292,27981793,10549,28.86,30.5,26.05,27.59,26.05,10.99,4.56,34,1.55,,
5512,力麒建設,1898119152,101122862,24545,18.77,19.85,17.7,18.36,17.8,7.27,7.18,18.2,1.05,,
5514,三豐建設,31268194,1452280,527,21.53,22.5,21,21.6,21.5,30.71,3.72,1.36,1.71,,
5516,雙喜    ,31211224,2298447,1066,13.57,14.4,12.3,12.96,12.85,9.96,3.83,6,1.08,,
5519,隆大營建,216010528,5621936,3282,38.42,40.95,35.9,38.46,39.65,13.26,2.92,8.03,2.93,,
5520,力泰建設,2827309,115055,95,24.57,25,23.9,24.61,25,12.69,6.07,0.16,0.98,,
5521,工信    ,2492682478,189389571,32993,13.16,13.65,12.5,12.87,12.55,N/A,0,54.5,2.51,,
5523,宏都建設,481602209,39256184,10089,12.26,13.4,10.6,12.37,12.4,N/A,0,35.91,1.19,,
5529,志嘉建設,23805657,2493208,753,9.54,10.3,8.8,9.42,9.35,N/A,5.31,5.15,0.71,,
5530,大漢建設,4791774551,42451299,23821,112.87,123,99.6,110.37,114,51.58,0,11.11,10.09,,
6177,達麗建設,653691116,18012391,5559,36.29,38.35,32,35.15,36.9,19.84,3.94,21.08,3.05,,
6212,理銘科技,8601661,669456,313,12.84,13.55,12.5,12.8,12.8,7.76,0,0.66,1.44,,
2636,台驊國際,245881963,7535032,3719,32.63,34,31.4,32.34,32.5,13.05,2.14,14.65,1.9,,
5601,台聯貨櫃,37366761,1980990,749,18.86,20.1,16.95,18.06,17.5,67.31,1.27,2.75,0.88,,
5603,陸海交通,31261174,2454474,777,12.73,13.3,12.45,12.71,12.75,57.95,0,3.9,0.95,,
5604,中連貨運,35054585,1238540,711,28.3,29.5,27.5,28.4,27.75,12.97,4.22,1.14,1.36,,
5609,中菲行  ,351833088,12215497,5917,28.8,30.8,27.6,28.55,27.6,12.38,4.38,9.32,2,,
5701,劍湖山  ,763314505,66614756,17893,11.45,12.1,11,11.26,11.35,N/A,0,16.02,1.36,,
5703,亞都麗緻,10191940,359018,265,28.38,29.4,27.35,28.05,27.55,33.60,0,0.51,2.41,,
5704,老爺知  ,4953849,208747,153,23.73,24.8,23.25,23.68,24.1,109.55,0.84,0.54,1.9,,
5706,鳳凰國際,2336306282,29235769,16957,79.91,86.2,72.6,79.94,80,19.18,2.76,73.42,3.4,,
5820,日盛金控,5661494968,409847680,52845,13.81,14.3,13.1,13.76,13.9,20.14,0,17.43,1.31,,
6008,凱基證券,8788324394,528268307,96109,16.63,17.2,15.6,16.59,16.85,15.32,2.74,16.47,1.11,,
6015,宏遠證券,478021813,48304669,10002,9.89,10.55,9.35,9.72,9.5,27.94,0,10.57,1.02,,
6016,康和證券,726408194,65871423,13648,11.02,11.7,10.45,10.92,10.95,78.21,3.68,9.66,0.95,,
6020,大展證券,59447478,3046898,1192,19.51,20.7,18.4,19.04,18.5,23.42,2.91,1.31,1.29,,
6021,大慶證券,855832475,42922284,12847,19.93,21.15,18.8,19.52,19.1,14.04,2.61,15.39,1.31,,
6022,大眾證  ,493752912,35432539,8282,13.93,14.95,13.2,13.67,13.45,21.02,16,9.06,1.13,,
6023,寶來期  ,57945799,1554130,772,37.28,38.2,36.5,37.38,37.5,20.49,4.91,1.18,1.75,,
6024,群益期  ,48776554,1628305,891,29.95,30.6,29.3,29.89,29.95,16.55,5.87,1.92,1.67,,
2916,滿心企業,85862697,3677041,1290,23.35,24.4,22,23.2,23.4,11.58,7.72,7.92,1.55,,
5902,德記洋行,34394692,2819321,1161,12.19,12.95,11.7,12.07,12.15,N/A,0,2.98,1.61,,
5903,全家    ,340015224,3360557,1936,101.17,107,97.1,100.34,103,25.06,2.54,1.51,5.6,,
5904,寶雅國際,55603222,1866897,978,29.78,30.35,29.25,29.79,29.75,10.74,8.23,2.11,1.82,,
5905,南仁湖  ,909130151,37215841,15682,24.42,26.6,22.5,23.78,23,N/A,0,17.8,1.96,,
8941,關中    ,14325625,1220480,550,11.73,12.2,11.6,11.76,11.7,N/A,0,1,1.85,,
9960,邁達康  ,17326047,793287,450,21.84,22.7,21.2,21.64,22.1,11.39,11.26,2.55,1.61,,
1584,精剛精密,571214492,17494497,9626,32.65,36.1,30.4,32.04,31.9,531.67,0,25.74,1.86,,
2221,大甲    ,31760650,2005098,946,15.83,17.2,15.05,15.68,15.2,N/A,0,4.73,1.24,,
3284,太普高  ,74518810,3603233,1405,20.68,23,19.5,20.55,19.8,11.19,5.03,6.89,1.5,,
3388,崇越電通,269124925,3620814,2315,74.32,77.4,70.8,73.41,74.3,9.59,5.61,6.5,1.79,,
5312,寶島科  ,464685649,5860649,4199,79.28,84.3,74.2,78.41,75.8,22.03,2.63,9.76,4.35,,
6186,晶磊興業,54857026,3221731,1479,17.02,18.2,15.9,16.78,17.6,16.76,0,15.21,1.46,,
6803,崑鼎投控,414347030,3340345,2009,124.04,132,117,122.82,117,17.06,5.17,5.78,3.21,,
8390,金益鼎  ,76424442,1895935,1397,40.3,41.4,39.1,40.37,40.3,15.87,3.71,3.27,2.13,,
8401,白紗科技,183443524,5406390,3249,33.93,37.15,31.9,34.48,34.2,12.44,5.9,14.68,2.08,,
8705,東隆五金,27467417,839191,576,32.73,34,31.85,32.65,32.9,12.32,7.55,1.01,2.21,,
8905,裕國    ,39545752,2839223,1094,13.92,14.5,13.5,13.9,14.5,12.39,2.87,2.38,1.01,,
8906,花王企業,13143073,1820808,763,7.21,7.89,6.81,7.06,7.25,N/A,0,3.55,0.8,,
8913,華夏資融,100831661,4573310,1946,22.04,23.4,20.1,21.55,20.3,2.75,1.93,10.13,1.19,,
8916,光隆    ,688833340,25766988,10979,26.73,28.25,25.2,26.14,27.45,11.88,2.33,29.09,1.25,,
8921,沈氏印刷,7853939,563954,166,13.92,14.75,13.65,13.98,14,14.58,4.28,1.21,0.83,,
