櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
3227,原相科技,2069918697,14975561,11567,138.21,146,134.5,138.12,135,18.57,3.55,11.45,3.01,,
3228,金麗科  ,219347670,4295692,2918,51.06,54.8,48.5,49.93,53.5,N/A,0,7.27,4.42,,
3252,海灣科技,3332138,215266,200,15.47,17.9,12.95,14.96,17.1,N/A,0,0.43,25.67,,
3259,鑫創科技,26231724,1217754,645,21.54,23.25,20.05,21.23,20.8,N/A,1.92,1.96,1.35,,
3260,威剛科技,6716564672,124115381,51193,54.11,60.8,47.7,51.42,60.3,18.16,5.17,54.4,1.86,,
3264,欣銓科技,4538082441,138367190,43095,32.79,35.3,29.25,32.62,33.5,10.77,3.51,31,1.96,,
3265,台星科  ,4337337208,187488966,59209,23.13,25.1,20.35,22.78,24.8,12.46,1.69,68.8,1.7,,
3268,海德威  ,29980476,1121200,820,26.73,27.9,25.6,26.83,26.15,84.35,0,3.66,2.5,,
3291,遠翔科技,101997584,2675631,1861,38.12,39.8,36.2,37.73,38,12.67,4.66,8.02,2.55,,
3317,尼克森  ,172591359,5126811,3091,33.66,35,31.65,33.15,33.6,26.67,3.06,8.35,1.21,,
3372,典範    ,484898978,43957833,12230,11.03,11.45,10.2,10.84,10.8,N/A,0,14.53,0.94,,
3438,類比科  ,191632924,2753787,2037,69.58,71.7,67.5,69.24,71.1,14.66,2.87,6.93,2.65,,
3527,聚積    ,1463402420,10498921,7604,139.38,146.5,132,138.75,143,14.06,4.24,31.66,3.06,,
3529,力旺電子,1542608561,13739721,8327,112.27,129.5,99,116,127,32.40,2.36,18.06,8.1,,
3553,力積電子,2793187157,40820093,24599,68.42,75.4,60.5,64.47,73.5,9.58,6.8,72.01,3.33,,
3556,禾瑞亞  ,1961594511,20735461,14106,94.6,101,88,93.26,97.5,35.85,2.46,46.04,4.95,,
3567,逸昌    ,149324792,7377961,2824,20.23,21.35,19.4,20.13,20.6,7.66,4.81,18.44,1.47,,
3582,凌耀    ,1200692015,6793366,4973,176.74,187.5,164,173.2,177,18.95,3.13,20.34,5.88,,
5302,太欣半導,23435756,2063755,1058,11.35,11.9,11,11.27,11.9,N/A,0,1.27,1.38,,
5314,世紀民生,55883844,5094964,2022,10.96,11.55,10.55,10.92,10.8,72.00,0,4.55,1.25,,
5324,士林開發,16561840,400411,389,41.37,47.7,36.45,39.28,47.7,21.11,0,0.84,3.48,,
5326,漢磊科技,5403032668,234284606,63171,23.06,24.75,21,22.56,22.25,14.45,0,71.73,2.19,,
5344,立衛科技,17629995,1026910,591,17.16,18,16.55,17.05,16.75,16.75,6.76,1.29,1.54,,
5346,力晶    ,5445006225,910374117,116610,5.98,6.99,5.07,5.84,6.99,2.83,0,16.23,0.87,,
5347,世界先進,3785080383,237130349,49700,15.96,16.9,14.4,15.75,16.7,16.06,2.51,14.41,1.27,,
5351,鈺創科技,2635743346,111179778,39406,23.7,24.45,22.9,23.45,23.4,16.60,0.68,25.07,1.53,,
5387,茂德科技,78528401,38096199,6212,2.06,2.12,2.01,2.06,2.1,N/A,0,1.5,0.38,,
5425,台半    ,900174657,37448123,13003,24.03,25.2,22.5,23.54,24.5,13.32,1.64,15.35,1.28,,
5455,訊利電業,51931505,3540960,1405,14.66,16.7,13.1,14.8,13.3,N/A,0,9.66,2.17,,
5466,泰林科技,714713724,46845477,13749,15.25,16.25,14.2,14.94,15.3,6.14,0,19.18,0.82,,
5468,凱鈺科技,22800214,2621782,1118,8.69,9.56,7.8,8.31,8.26,N/A,0,3.31,1.32,,
5483,中美晶  ,30722579056,281351660,132348,109.19,122.5,92.5,105.2,119.5,17.45,1.42,73.65,2.6,,
5487,通泰    ,18954862,1041901,628,18.19,18.85,17.6,18.16,18.1,12.48,7,2.3,1.1,,
6103,合邦電子,950800,240114,234,3.96,4.36,3.66,3.91,4.3,N/A,0,0.95,1.22,,
6104,創惟科技,3167423145,53092115,29836,59.65,62.4,57.1,58.76,57.6,N/A,0,61.75,3.22,,
6129,普誠科技,755998152,33740975,12213,22.4,23.4,21.1,21.86,21.4,15.97,2.81,18.67,1.62,,
6138,茂達電子,1653274277,46053399,20797,35.89,38.5,32.7,34.24,38,24.84,3.94,35.37,2.33,,
6147,頎邦科技,8726263075,163671984,61052,53.31,56.2,50.1,52.91,53,15.01,0,27.88,2.14,,
6182,合晶科技,5385442875,115335905,57518,46.69,49.5,41.4,44.82,47.25,22.61,0,42.16,1.67,,
6198,凌泰科技,53330440,5005019,2248,10.65,11.5,9.47,10.17,9.62,N/A,0,14.37,1.21,,
6223,旺矽科技,6555929597,55945696,33183,117.18,128,104,117.22,121,17.64,0,71.83,3.41,,
6229,研通科技,42909426,2296676,1164,18.68,19.45,18.15,18.68,19.1,13.08,2.61,6.42,1.48,,
6233,旺玖科技,716495818,17352478,10400,41.29,42.4,40.1,40.84,40.9,N/A,0,19.75,2.66,,
6236,凌越科技,2146582,286573,71,7.49,10.5,6.7,7.81,6.9,N/A,0,2.27,8.12,,
6237,驊訊電子,292925308,6717868,4197,43.6,46.4,41.5,42.95,44.1,42.00,0,8.66,1.84,,
6261,久元電子,2071594840,24346460,14129,85.08,88,83,84.45,84.3,10.81,3.65,24.92,2.19,,
6287,元隆電子,22519399,2243772,980,10.03,10.45,9.8,10.01,9.93,N/A,0,1.31,1.45,,
6291,沛亨半導,55674471,4865466,1823,11.44,12.1,10.3,11.12,10.75,N/A,0,9.86,1.39,,
8024,佑華微電,104750002,3712351,2036,28.21,29.15,27.35,28.09,27.9,12.03,4.36,6.5,1.66,,
8040,九暘    ,313897908,9841773,5743,31.89,33,30.5,31.68,31.85,20.55,0,11.64,2.11,,
8054,安國國際,2197822332,35534936,19005,61.84,65,58.5,60.49,59.3,23.07,3.33,42.96,2.39,,
8066,福陞科技,4388377,261615,141,16.77,17.8,15.2,16.62,17.4,N/A,0,0.24,18.91,,
8079,誠遠科技,413796512,17935294,6709,23.07,24.1,21.75,22.71,23.15,8.42,7.36,26.44,1.55,,
8084,巨虹電子,30699609,2147033,796,14.29,15,12.85,14.14,13.7,N/A,0,5.3,1.56,,
8086,宏捷科技,2826279849,62057097,27718,45.54,49.5,41,44.13,46.2,37.26,0.42,49.35,3.42,,
8088,品安科技,462712599,25706241,8965,18,20.45,14.9,16.65,20.45,157.31,0,59.21,1.48,,
8277,商丞科技,957574274,23074213,12425,41.49,47.15,35.4,38.62,47.15,13.02,7.19,35.47,1.83,,
1569,濱川企業,48789790,1298928,829,37.56,39.7,36.3,37.75,36.95,13.01,5.38,1.87,1.59,,
3069,寶晟科技,8813912,935833,489,9.41,9.94,9.1,9.4,9.34,N/A,0,3.5,1.22,,
3071,協禧電機,122970988,7756061,2891,15.85,16.75,15.25,15.82,15.5,9.17,0,3.76,1.71,,
3088,艾訊    ,844909635,25232254,12042,33.48,39,29.7,33.7,35.85,13.38,3.98,32.01,2.03,,
3126,信億科技,16175656,1156345,493,13.98,14.75,12.4,13.71,13.75,N/A,0,3.35,2.62,,
3171,天馳科技,20754735,1745276,803,11.89,12.7,11.2,11.62,12.7,N/A,0,5.4,0.96,,
3211,順達科技,1431417007,14889137,9587,96.13,99.4,94,96.13,96,9.40,6.1,11.49,2.68,,
3213,茂訊電腦,77632733,1155972,962,67.15,68.9,66,66.96,67.1,11.79,9.82,2.41,3.54,,
3217,優群科技,64538610,2924529,1520,22.06,22.95,21.2,22.04,21.3,7.95,11.47,3.51,1.39,,
3287,廣寰科  ,46890859,2008190,1027,23.34,24.25,22.25,23.01,22.4,10.28,5.77,4.57,1.66,,
3323,加百裕  ,996995640,30660259,14567,32.51,34.3,30.5,32.39,32.5,8.19,6.07,28.26,1.18,,
3325,旭品    ,435772431,11144499,4613,39.1,40.6,37.9,38.73,38.5,1925.00,3.09,17.05,1.98,,
3416,融程電  ,262863673,3382423,2216,77.71,81.8,74.7,77.45,79.1,15.98,4.85,7.86,3.11,,
3479,安勤    ,236945393,5486823,3210,43.18,44.65,42.05,43.17,43.2,12.71,4.71,12.37,2.11,,
3483,力致科技,153382640,4118781,2844,37.23,39.35,35.85,36.57,39.35,37.84,10.43,8.41,0.93,,
3489,筌寶    ,83462923,6584320,2680,12.67,13.75,11.95,12.5,12.2,N/A,7.23,12.23,0.87,,
3521,鴻翊    ,7460566,477676,220,15.61,16.7,15,15.66,15.3,N/A,0,1.53,1.1,,
3540,曜越    ,38169422,1307377,956,29.19,31,28.5,29.06,28.95,27.84,6.38,2.15,1.26,,
3577,泓格科技,256538885,4776109,2925,53.71,57.3,51.6,53.32,53.3,21.49,1.14,11.08,3.14,,
3611,鼎翰科技,234287517,2774178,1659,84.45,87.1,81,83.47,84.1,12.10,6.03,9.19,2.93,,
3625,西勝    ,120111806,6180440,3544,19.43,24.8,17.4,20.15,17.4,N/A,0,11.02,1.5,,
3652,精聯電子,61733193,1646086,1016,37.5,39.15,34.7,36.75,38.1,19.64,2.77,3.46,1.41,,
5371,中強光電,4571059032,94809834,36309,48.21,50,45.8,47.73,49.4,8.40,5.91,13.09,1.64,,
5384,捷元    ,59953928,6087966,1561,9.84,10.25,9.43,9.77,9.8,N/A,0,6.59,0.76,,
5386,青雲國際,921299,38415,57,23.98,25.05,22.55,24.13,24.75,8.11,0,0.44,4.66,,
5426,振發實業,140980463,9291903,2832,15.17,15.6,15,15.2,15.25,10.74,11.38,6.46,1.03,,
5438,東友    ,157144093,6180305,2993,25.42,26.35,25.1,25.42,25.35,11.79,6.29,5.49,1.59,,
5450,寶聯電腦,159373907,6062037,1704,26.29,30.3,24.45,26.39,27.1,N/A,0,12.03,2.18,,
5465,富驊企業,31941156,4898872,1556,6.52,7.08,5.91,6.33,6.35,30.24,0,2.06,1.04,,
5474,聰泰科技,6405535,417038,285,15.35,16,14.9,15.35,14.9,N/A,6.49,1.24,1.21,,
5490,同亨科技,641399347,17999911,8644,35.63,36.85,33.75,35.1,35.1,9.29,3.09,19.06,2.08,,
6105,瑞傳科技,208701085,6837440,3140,30.52,31.15,29.85,30.5,30.8,9.45,6.55,6.22,1.31,,
6121,新普科技,4472263572,21641559,13434,206.65,213.5,200,207.37,206,16.32,2.91,8.49,4.1,,
6123,上奇科技,832613913,14608945,7112,56.99,60,51.5,57.38,58.6,23.07,1.72,29.48,3.75,,
6150,撼訊科技,779091611,18020157,11152,43.23,45,41,42.74,41.5,10.89,5.88,28.03,2.94,,
6160,欣技資訊,193294383,4917863,2558,39.3,41.3,38.05,39.15,39.25,14.22,3.84,6.93,2.64,,
6161,捷波資訊,64631261,4516089,1814,14.31,14.85,13.65,14.21,13.9,12.64,9.42,4.04,0.95,,
6188,廣明光電,525036702,16449430,8367,31.91,32.85,31.45,31.85,31.7,11.74,10.09,5.77,1.13,,
6199,精威科技,24155680,2581950,830,9.35,9.9,8.4,8.91,8.6,N/A,0,4.08,0.96,,
6219,富旺    ,11134609,478499,380,23.27,25.5,19.8,22.29,22.2,148.00,0,0.29,3.94,,
6222,上揚科技,11078958,1004092,436,11.03,11.7,10.65,11.06,10.95,20.28,0,1.79,1.29,,
6228,全譜科技,14565785,1304257,559,11.16,11.7,10.65,11.15,10.85,19.04,0,3.17,0.97,,
6247,淇譽電子,40533950,2228000,1134,18.19,18.5,18,18.25,18.4,11.15,4.1,3.69,1.14,,
6298,崴強科技,91421440,5514305,2314,16.57,17.2,15.9,16.49,16.6,44.86,0,3.28,1.18,,
8050,廣積    ,487131180,9712857,5767,50.15,51.7,48,49.48,49.9,14.38,5.03,13.85,2.18,,
8076,伍豐科技,1206992171,20188923,13394,59.78,63.8,56.9,59.15,57.2,N/A,2.44,11.9,3.56,,
8114,振樺電  ,114256011,1927942,1224,59.26,61.2,57,58.72,60.8,12.61,4.87,3.2,3.43,,
8210,勤誠興業,675003138,13618667,6459,49.56,52,45,49.17,49.6,12.56,5.13,12.21,3.07,,
8234,新漢    ,59851557,2249681,1243,26.6,27.4,25.7,26.48,26.4,12.17,3.78,2.58,1.68,,
8299,群聯電子,12842883631,71252917,44134,180.24,195.5,159.5,177.4,190.5,17.29,3.86,40.21,3.74,,
3066,李洲科技,33781371,2649025,1132,12.75,13.5,12.1,12.69,12.4,N/A,0,1.87,1.29,,
3128,昇銳電子,156935762,7025356,3179,22.33,23.7,19.95,21.3,20.75,22.80,7.17,16.73,1.29,,
3230,錦明實業,71562145,5530024,2337,12.94,13.95,11.5,12.44,13.65,N/A,0,5.38,0.74,,
3297,杭特電子,12013577,446185,330,26.92,27.65,26.5,26.92,27.2,11.48,4.44,1.3,1.18,,
3339,泰谷光電,1239059951,34862464,13413,35.54,38.2,32.3,35.33,35.8,25.21,0,12.68,1.78,,
3362,先進光  ,51541564,1846440,1100,27.91,29.4,26.5,27.75,27.1,79.71,0,2.38,2.55,,
3434,哲固資訊,8591188,773008,363,11.11,11.7,10.45,11.05,10.45,N/A,0,2.36,1.04,,
3441,聯一光學,32184134,1020151,682,31.54,32.7,29.9,31.48,30,13.89,1.61,3.25,1.44,,
3452,益通光能,10620380969,218355851,87491,48.63,53,44.1,47.38,46.4,N/A,0,87.54,1.48,,
3455,由田新技,3426097660,46666676,30295,73.41,78.2,66.1,72.26,69.5,15.51,1.42,89.73,2.48,,
3490,單井    ,667578939,14832966,8649,45,47.5,41.45,43.91,41.9,11.17,1.2,42.42,2.2,,
3516,亞帝歐  ,35485593,2489122,1105,14.25,14.75,13.9,14.2,14.05,702.50,3.5,3.24,0.43,,
3520,振維    ,16099937,1371144,652,11.74,12.3,11.5,11.69,11.7,N/A,4.27,2.64,0.73,,
3522,宏森    ,78552581,3133026,1669,25.07,25.9,24.35,24.98,25.8,12.96,1.21,6.6,1.14,,
3523,迎輝科技,232916147,5230227,3310,44.53,47.7,41.5,43.1,44.5,N/A,0,5.17,1.58,,
3531,先益電子,29771688,997602,622,29.84,30.5,29.5,29.8,29.5,13.05,5.49,1.65,1.06,,
3562,頂晶科技,87226902,2676150,1866,32.59,35.5,29.9,31.09,31.3,N/A,0,5.11,2.11,,
3615,安可光電,1230033019,21173236,12504,58.09,64.6,49,56.54,62.3,49.44,0.81,57.19,2.47,,
3623,富晶通  ,93140536,3208161,2105,29.03,31,27,28.93,29.15,728.75,2.55,5.61,2.2,,
3629,卓韋光電,150214541,4202377,2494,35.74,38,33.2,34.83,34,33.33,2.61,16.2,2.61,,
3630,新鉅科  ,6617280390,42059230,30668,157.33,170,145,154.4,145,59.43,0.8,49.65,9.06,,
3685,政翔    ,104972895,2920800,1857,35.93,37.65,34,35.55,34.45,12.67,4.46,7.11,2.16,,
3691,碩禾    ,5595451352,7065486,6705,791.94,878,715,771.55,867,31.86,1.31,20.82,19.55,,
4729,熒茂光學,614264338,15657363,8634,39.23,41.2,37.55,39.07,40,N/A,0,18.64,1.9,,
5315,光聯科技,276174865,29194236,7155,9.45,10.35,8.58,9.09,9.65,N/A,0,18.37,1.03,,
5392,應華精密,807190981,6353145,4733,127.05,131.5,123.5,126.62,125.5,13.99,4,8.57,2.88,,
5395,圓方創新,1289815,57323,62,22.5,23.8,21.15,22.6,22,N/A,0,0.23,2.63,,
5432,達威光電,799409,141616,170,5.64,6.31,4.85,5.56,5.5,16.67,0,0.31,1.48,,
5443,均豪精密,745233037,39406033,12540,18.91,19.6,18,18.62,18,32.73,0,17.3,1.39,,
6125,廣運機械,239622688,10019200,4130,23.91,24.7,23.4,23.79,23.6,19.34,4.17,4.6,0.93,,
6156,科橋電子,8371467,1670077,630,5.01,5.6,4.38,4.9,5.2,N/A,0,0.96,1.1,,
6167,久正光電,8147621,1904029,523,4.27,5.17,3.85,4.31,4.2,N/A,0,1.17,0.96,,
6234,高僑    ,117588971,5487797,2457,21.42,22.7,20,21.07,21.2,N/A,0,7.68,0.66,,
6244,茂迪    ,10923167086,93351344,48105,117.01,124,106,114.7,116.5,12.77,0.84,24.54,2.07,,
6246,臺龍電子,901963380,40073045,14899,22.5,25,19.1,21.48,22.85,40.09,0,23.84,3.1,,
6294,智基科技,923443,34281,61,26.94,29.1,25.15,27.55,26.2,N/A,0,0.3,4.41,,
8049,晶采光電,184085817,13200255,4522,13.94,14.6,13.2,13.8,13.85,12.94,0,12.13,1.22,,
8053,巨擘科技,18326510,3734629,1129,4.9,5.1,4.8,4.89,4.95,N/A,0,0.91,0.34,,
8064,東捷科技,157917893,7654476,2904,20.63,21.5,19.8,20.5,20.2,N/A,0,5.8,1.22,,
8069,元太科技,11580318153,209326897,89390,55.32,59.9,51.4,55.73,52.9,23.94,0,19.44,2.55,,
8071,豐聲科技,26810114,757787,536,35.37,37.7,32.95,35.21,33.35,58.51,0,2.24,3.01,,
8077,冠華科技,918003,99872,56,9.19,10.95,8.32,9.53,9.05,N/A,0,0.17,2.49,,
8087,華鎂鑫  ,18478932,1554616,838,11.88,13.95,10.25,11.36,11,57.89,1.39,4.41,0.89,,
8107,大億科技,250230840,14288167,5550,17.51,18.2,16.3,17.22,17.65,N/A,0,8.31,1.06,,
8111,立碁電子,1062832099,40690324,14880,26.12,27.2,24.65,25.65,25.35,33.80,0,28.48,1.91,,
8240,華宏新技,801654838,10651974,6130,75.25,79.1,70,72.47,75.8,13.14,2.31,13.99,1.89,,
8266,中日新  ,106680244,6904313,2798,15.45,16.3,14.6,15.33,14.95,N/A,0,9.7,1.28,,
3068,美磊科技,584569732,7111873,3556,82.19,84.6,80.2,81.96,81,12.35,3.66,9.93,3.55,,
3095,及成    ,712200586,43588837,14838,16.33,17.5,14.8,16.01,16.5,N/A,0,20.02,0.92,,
3152,璟德電子,1223380202,9610067,6312,127.3,135.5,118,126.17,126.5,13.71,3.87,13.92,3.55,,
3221,台灣嘉碩,183387499,8236608,3130,22.26,23.4,20,21.61,21.5,13.35,2.85,10.03,1.21,,
3290,東浦    ,602909063,25828576,9384,23.34,25.4,21.05,23.28,23.2,9.17,2.22,34.75,1.73,,
3306,鼎天國際,404360500,9478614,5631,42.66,45.4,39.5,42.04,39.5,20.57,3.55,13.11,1.9,,
3431,長天科技,23524960,1812202,957,12.98,14,12.25,12.92,12.85,N/A,0,3.73,1.96,,
3454,晶睿通訊,1901930345,26521698,16155,71.71,75.7,66.5,70.96,69,22.12,1.98,42.63,3.61,,
3491,昇達科技,111041514,2054758,1388,54.04,56.3,50.6,53.97,50.6,20.16,5.5,4.79,2.69,,
3499,環天科技,248066574,9132837,4776,27.16,29.5,24.5,26.52,25.5,21.25,3.67,17.19,1.68,,
3632,研勤科技,335022161,7595116,4857,44.11,48.2,40.1,43.31,40.9,16.10,6.57,33.52,3.35,,
4903,聯光通信,45922121,5099074,1465,9,9.38,8.81,8.93,8.93,18.60,5.05,6.72,0.82,,
4905,台聯電訊,44974646,2057618,836,21.85,22.7,21.6,21.76,21.65,13.12,0,3.64,1.32,,
4907,春雨開發,76516,15803,19,4.86,5,4.63,4.77,4.63,N/A,0,0.05,20.13,,
4908,前鼎光電,243556830,6802043,3743,35.8,39.2,33.95,35.78,35,12.15,5.64,9.59,2.53,,
4909,新復興  ,938865252,16218909,9171,57.88,61.5,54.5,57.61,56.5,15.44,4.46,19.54,2.48,,
5304,鼎創達  ,588517258,39400136,13715,14.93,18.45,11.05,14.86,15.9,7.91,0,21.19,2.89,,
5306,訊康科技,14523739,2630802,917,5.52,5.7,5.31,5.51,5.47,N/A,0,3.27,0.98,,
5348,系通科技,30846094,2063529,956,14.94,16.05,13.95,14.49,14.2,N/A,0,7.95,1.77,,
5353,台林通信,45327272,3797417,1421,11.93,12.4,11.35,11.86,11.95,31.45,3.69,3.91,0.86,,
6109,亞元科技,33761815,2427477,1082,13.9,14.5,13.5,13.95,13.95,22.50,2.63,3.34,1.18,,
6143,振曜科技,1043143499,14895612,9565,70.03,74.9,66.2,69.45,66.9,13.88,2.39,21.31,3.23,,
6163,華電聯網,163974250,10803660,4178,15.17,16,14.15,14.95,15.05,32.72,4,11.72,1.13,,
6170,統振    ,86222630,3971664,1802,21.7,22.8,21.05,21.53,21.1,N/A,0,4.42,1.69,,
6190,萬泰科技,141916364,9758265,2735,14.54,14.9,14.25,14.47,14.4,9.11,3.18,7.32,1.13,,
6218,豪勉科技,215573587,6586372,3114,32.73,34.3,30.2,32.26,32.8,10.41,4.55,12.97,1.84,,
6241,易通展  ,1199664,70887,55,16.92,17.65,16.2,17.3,17.65,16.19,0,0.23,2.2,,
6245,立端科技,38728910,2215630,1078,17.47,18.4,15.85,17.31,16.35,86.05,1.47,3.38,1.2,,
6263,普萊德  ,34897597,1179084,885,29.59,30.45,28.8,29.63,29.2,13.27,6.88,2.03,1.99,,
6264,德士通  ,33451170,2233599,964,14.97,15.85,14.25,14.96,15.05,N/A,0,2.08,2.05,,
8034,榮群電訊,17668186,2439234,876,7.24,7.7,7,7.25,7.41,N/A,0,3.88,0.75,,
8048,德勝科技,17837650,940524,587,18.96,19.75,18.45,18.9,18.7,21.49,5.34,1.95,1.53,,
8059,凱碩    ,65811052,4216225,1627,15.6,16.3,15,15.62,15.1,251.67,11.76,4.55,1.43,,
8082,捷超通訊,611222145,29892977,2251,20.44,21.35,19.9,20.57,20.65,N/A,0,53.41,2.01,,
8097,鴻松精密,67787380,9340867,3185,7.25,8.19,6.6,7.33,7.05,N/A,0,23.15,1.4,,
1333,恩得利  ,45532798,3949496,1743,11.52,11.95,11.05,11.48,11.35,N/A,0,3.85,1.43,,
1336,台翰    ,40242811,2185069,982,18.41,19.45,17.55,18.28,19.15,0,0,3.3,0.7,,
1815,富喬    ,2606952702,87641679,31994,29.74,31.25,27.75,29.27,29.2,14.46,0,30.9,1.95,,
3078,僑威科技,1348009544,40951170,13321,32.91,34.75,29.2,31.27,33.7,18.62,4.32,19.46,2.35,,
3089,展成科技,81385115,6987003,1663,11.64,12.15,11.15,11.47,11.4,N/A,0,13.39,1.08,,
3092,鴻碩精密,70947885,2627862,1599,26.99,28.2,26.3,26.77,26.7,18.67,4.49,4.32,1.4,,
3114,好德科技,24009454,1803572,833,13.31,13.85,12.8,13.08,13.05,N/A,3.77,3.6,0.9,,
3115,寶島極光,8382919,632009,313,13.26,13.95,12.95,13.3,13.15,N/A,0,1.45,1.67,,
3144,新揚科  ,42299614,2588529,1051,16.34,17.8,15.5,16.38,15.8,13.17,0,3.75,3.13,,
3191,和進電子,52976736,3979406,1371,13.31,13.8,12.7,13.17,12.7,11.76,0,7.35,0.93,,
3202,樺晟電子,42307278,2745077,1160,15.41,16.95,14.7,15.38,14.7,15.00,7.48,3.48,0.78,,
3206,志豐電子,716186293,21874262,10860,32.74,36.45,29,31.41,29.95,15.68,1.68,55.89,1.87,,
3207,耀勝電子,27461808,1636951,787,16.77,17.35,16.3,16.68,16.3,10.72,3.03,4.37,1.14,,
3226,至寶電腦,17124455,1283362,638,13.34,15,12.5,13.33,13.7,N/A,0,4.26,1.61,,
3236,千如電機,278488405,11634682,5267,23.93,25.45,22,23.2,22,13.75,0.88,26.77,1.38,,
3276,宇環科技,46022543,3543130,1089,12.98,14.1,12.5,12.87,12.8,N/A,0,4.51,1.67,,
3288,點晶科技,28558286,1161392,838,24.58,25.7,23.7,24.5,24.3,32.40,0,2.33,2.15,,
3294,英濟    ,56926344,4704380,1543,12.1,12.4,11.8,12.09,12.25,N/A,0,3.44,0.6,,
3299,帛漢    ,182725023,4734942,2732,38.59,39.8,37.7,38.39,38.05,10.66,5.11,8.82,1.73,,
3310,佳穎精密,26867776,1087001,567,24.71,29.75,21.6,25.01,22.2,N/A,0,2.96,1.9,,
3313,斐成企業,253532409,10898318,4887,23.26,24.9,21.6,23.09,22.7,19.57,0,12.99,1.27,,
3322,建舜電子,23809869,1409573,610,16.89,17.25,16.4,16.92,16.5,N/A,3.01,1.7,1.22,,
3332,幸康電子,70770515,1446093,806,48.93,50.6,47.5,48.78,48.6,10.97,3.02,3.01,1.89,,
3354,律勝    ,101228198,3697422,1936,27.37,30.4,25.45,27.12,25.95,33.70,1.92,4.75,1.52,,
3390,旭軟電子,704550177,19713848,5894,35.73,36.7,34.35,35.49,36.15,12.21,4.46,41.07,2.17,,
3465,祥業科技,9817069,1074630,525,9.13,9.59,8.51,9.13,9.13,N/A,0,3.73,1.56,,
3484,崧騰    ,101567434,2838929,1699,35.77,36.6,35.3,35.72,35.5,10.26,6.87,5.47,1.51,,
3511,矽瑪科技,323095487,4753244,3457,67.97,70.6,66,67.33,66.6,11.42,6,12.44,2.59,,
3512,能緹    ,28627506,942035,489,30.38,31.3,29.8,30.35,30.7,N/A,0,2.24,1.9,,
3526,凡甲科技,517466530,7126617,4987,72.61,75.7,70.6,71.88,72.6,10.92,10.6,12.42,3.12,,
3537,堡達    ,98816065,3392331,2073,29.12,30.3,28,28.92,28.1,14.48,10.58,7.31,1.82,,
3548,兆利科技,70143269,2165568,1365,32.39,34.4,31.4,32.31,31.75,8.80,3.74,4.3,0.73,,
3609,東林科技,578584360,11846580,7088,48.83,58,41.2,48.21,46,27.22,2.12,37.79,2.01,,
3631,晟楠    ,431983869,7726486,4108,55.9,58.8,52.7,55.25,58.3,17.56,3.02,10.73,3.47,,
5301,祥裕電子,2103350,526332,184,3.99,4.37,3.51,3.94,3.75,N/A,0,1.16,0.54,,
5309,系統電子,530597200,37999038,12756,13.96,14.8,12.8,13.77,13.65,22.75,0,24.9,1.59,,
5317,凱美電機,106313053,9316280,3007,11.41,11.7,11.1,11.37,11.45,13.16,0,6.83,0.9,,
5321,友銓電子,17597323,2915810,638,6.03,6.39,5.8,6.01,6.02,N/A,0,1.94,0.76,,
5328,華容    ,490841711,41410106,10487,11.85,12.3,11.4,11.71,11.5,24.47,0,18.18,1.16,,
5340,建榮工業,94897565,10653359,3086,8.9,9.25,8.42,8.83,8.95,17.55,0,6.42,0.99,,
5345,天揚    ,115668745,10745057,3198,10.76,11.5,10.05,10.53,10.3,N/A,0,21.49,0.88,,
5349,先豐通訊,748526467,41773058,10650,17.91,18.85,16.45,17.5,16.6,14.56,2.59,20.76,1.22,,
5355,佳總興業,101163408,6859084,2752,14.74,16.1,13.95,14.66,14.4,N/A,0,4.78,1.83,,
5356,協益電子,4196461764,67265358,29839,62.38,64.8,58.6,61.77,61.8,7.51,1.62,50.79,2.28,,
5364,浩騰    ,39496851,11132298,1278,3.54,4.14,2.21,3.14,3.8,N/A,0,5.26,1.27,,
5381,合正科技,556212041,83423180,16391,6.66,7.29,5.75,6.35,6.5,N/A,0,27.65,0.68,,
5398,力瑋實業,10291016,942130,350,10.92,11.3,10.4,10.85,11.25,22.96,2.38,2.26,0.98,,
5439,高技企業,224267631,6542973,3225,34.27,35.4,33.5,34.17,33.85,8.66,3.86,8.64,2.15,,
