櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年03月 Mar. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 580,681,925,366元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,813,721筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 16,162,582,471股",,,,,,4. 成交量週轉率： 22.13%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2035,唐榮公司,334060417,10233338,4886,32.64,34.15,31.4,32.22,32.95,NA,0,2.92,2.14,,,,
5007,三星科技,347679963,12365037,3326,28.11,30,25.2,27.64,28.55,142.75,4.34,5.62,1.96,,,,
5009,榮剛材料,4084727314,181409440,49261,22.51,24.35,20.5,22.08,23,NA,4.21,54.78,1.48,,,,
5011,久陽精密,83953,31036,28,2.7,3.29,2.34,2.84,3.06,NA,0,0.1,3.56,,,,
5013,強新工業,176584666,13123617,3967,13.45,14.25,12.75,13.24,13.85,NA,5.05,15.06,1.14,,,,
5014,建錩實業,160725213,11305225,3620,14.21,15.3,13,13.68,14.5,NA,2.06,9.11,1,,,,
5015,華祺工業,37654122,2300396,901,16.36,17.4,15.2,16.32,17.05,50.15,5.86,3.79,1.12,,,,
5016,松和工業,11093007,587806,362,18.87,19.4,18,18.56,19.15,NA,13.05,1.3,1.08,,,,
8349,友信    ,11252892,438380,332,25.66,27.2,24.65,25.6,26.35,NA,1.89,0.71,1.85,,,,
8930,青鋼金屬,54711556,3729060,1356,14.67,15.45,13.4,14.22,14.95,NA,4.41,8.3,1.13,,,,
9962,有益鋼鐵,73024801,4773414,1989,15.29,16.6,14.4,15.06,16.05,NA,3.73,6.51,1.49,,,,
2114,鑫永銓  ,59212813,1814039,426,32.64,33.4,32,32.58,33,11.19,4.54,3.61,1.59,,,,
5102,富強輪胎,17188722,1466937,475,11.71,12,11.35,11.7,11.95,NA,4.18,2.52,0.99,,,,
2596,綠意開發,336000780,12664717,5675,26.53,28.8,22.75,24.75,26.9,11.4,9.29,18.6,1.84,,,,
4416,三圓建設,9431129,107668,103,87.59,92,84.2,87.38,85.1,24.38,2.11,0.18,3.52,,,,
5213,亞昕    ,880408959,24862983,10251,35.41,37.45,32.45,34.23,37,16.37,2.72,21.1,2.65,,,,
5505,和旺建設,964152312,25379509,8082,37.98,43.3,33.2,38.94,40.35,103.46,0,46.88,3.31,,,,
5506,長鴻營造,121621307,21027329,4426,5.78,6.47,5.08,5.64,5.56,NA,0,7.9,0.35,,,,
5508,永信建設,338709898,8178926,4890,41.41,44.65,38.2,40.3,41.15,18.29,18.85,4.46,2.42,,,,
5511,德昌營造,41031070,2493556,758,16.45,16.95,16.25,16.45,16.5,11.54,6.06,3.03,1.04,,,,
5512,力麒建設,1937289154,119268222,26727,16.24,17,15.2,16.09,15.95,16.44,3.13,24.35,0.9,,,,
5514,三豐建設,29361471,1685671,595,17.41,17.9,16.2,17.45,17.55,30.79,6.26,1.71,1.37,,,,
5516,雙喜    ,10823511,874094,447,12.38,14,11.65,12.2,13.05,24.17,5.74,2.28,1.14,,,,
5519,隆大營建,24862782,1083759,436,22.94,24.45,21.3,22.75,23.75,29.69,6.06,1.65,1.88,,,,
5520,力泰建設,15578800,615000,342,25.33,26,24.75,25.35,25.95,8.92,4.23,0.87,1.05,,,,
5521,工信    ,1573956733,125498183,24466,12.54,13.15,11.9,12.38,12.1,NA,6.61,36.11,1.08,,,,
5523,宏都建設,165193282,13804705,4076,11.96,13.3,11.05,11.83,11.2,NA,13.66,12.63,0.99,,,,
5529,志嘉建設,58949285,5789148,1961,10.18,11.2,9.36,9.95,10.4,NA,4.8,12.52,0.71,,,,
5530,大漢建設,1531591384,41756545,13922,36.67,48.75,26.7,35.51,45,NA,0,10.93,6.86,,,,
2636,台驊國際,427564790,19055528,7648,22.43,25.6,19.5,21.81,24.35,83.97,6.28,37.78,1.54,,,,
5601,台聯貨櫃,33521125,2013664,1025,16.64,18,14.9,15.99,15.9,63.6,1.38,2.8,0.81,,,,
5603,陸海交通,121219860,8952026,2493,13.54,14.2,12.65,13.48,13.4,34.36,3.73,14.23,1.01,,,,
5604,中連貨運,86714904,3768650,1326,23,24.4,21.8,22.61,24.4,17.3,6.35,3.46,1.22,,,,
5609,中菲行  ,1651913643,48640978,20240,33.96,37,31,33.41,36.45,20.83,3.29,39.55,2.78,,,,
5701,劍湖山  ,1459494093,119324988,30943,12.23,12.65,11.8,12.14,12.1,NA,0,28.7,1.31,,,,
5703,亞都麗緻,8862147,363085,304,24.4,25.9,23.55,24.53,24.6,NA,0,0.52,2.29,,,,
5704,老爺知  ,7538627,398738,221,18.9,19.6,18.35,18.92,19.2,1920,1.56,0.67,1.65,,,,
5706,鳳凰國際,632645235,10184452,6475,62.11,67.5,54,59.22,63.6,33.13,2.56,25.58,3.32,,,,
5820,日盛金控,417243633,102932586,12722,4.05,4.15,3.98,4.04,4.06,NA,0,2.28,0.8,,,,
6008,凱基證券,4900469467,327184547,59387,14.97,15.8,13.8,15,14.9,28.65,1,10.2,1.08,,,,
6015,宏遠證券,281137873,31255675,7579,8.99,9.35,8.52,8.96,9.04,NA,0,6.84,1.01,,,,
6016,康和證券,632993897,61194423,12761,10.34,10.9,9.8,10.24,10.5,45.65,6.38,9.34,0.89,,,,
