櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
100年10月 Oct. 11,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,329,158,139元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,516,490筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,475,576,574股",,,,,,4. 成交量週轉率： 8.12%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
3268,海德威  ,9039075,858092,520,10.53,11.2,10.05,10.53,10.3,N/A,0,2.01,1.06,,,
3291,遠翔科技,34885064,1351012,975,25.82,27,24.6,25.7,26.25,9.79,9.33,3.88,1.78,,,
3317,尼克森  ,64327832,4012763,2217,16.03,17,14.8,15.8,16.1,N/A,2.48,6.53,0.63,,,
3372,典範    ,34264228,8339540,2303,4.1,4.25,3.93,4.08,4.03,N/A,0,2.76,0.38,,,
3438,類比科  ,149883668,3595660,2467,41.68,44.5,37.1,39.52,41.5,13.39,7.71,9.31,1.59,,,
3527,聚積    ,782697825,7768206,5818,100.75,107,87.2,99.04,97.5,12.9,8.2,23.43,2.17,,,
3529,力旺電子,3154599464,41833914,26039,75.4,81.6,65.5,75.14,80.4,35.26,3.1,54.98,3.85,,,
3553,力積電子,964734480,42296008,22747,22.8,25.45,20.2,22.23,20.2,N/A,10.89,66.55,1.55,,,
3556,禾瑞亞  ,2324605863,27898886,20121,83.32,87.1,77.7,82.4,82,16.02,3.41,59,3.78,,,
3567,逸昌    ,11529658,1080671,551,10.66,11.2,10.25,10.62,10.3,24.52,14.85,2.7,0.79,,,
3582,凌耀    ,1551019400,15173982,11916,102.21,110,93,100.68,94,13.72,5.87,42.64,3.21,,,
3680,家登    ,55037626,1355552,930,40.6,44,38.2,40.23,38.25,9.76,5.22,3.26,2.35,,,
4947,KY昂寶  ,1585157177,11867582,8735,133.57,196,112,131.15,114.5,,0,27.9,4.8,,,
4966,KY譜瑞  ,723465038,2287975,1951,316.2,370,255,309.15,255,,0,4.47,12.1,,,
5302,太欣半導,7566702,909458,520,8.32,8.8,7.79,8.34,8.1,N/A,0,0.56,1.13,,,
5314,世紀民生,610680710,49705218,16327,12.28,13.9,10.05,11.61,13.9,7.94,0,44.26,1.34,,,
5326,漢磊科技,297875089,26513063,8556,11.23,11.7,10.8,11.16,11.1,9.41,0,8.12,0.98,,,
5344,立衛科技,11973348,920252,430,13.01,13.95,12,12.72,12.4,17.22,7.5,1.16,1.15,,,
5346,力晶    ,195271985,125710292,12768,1.55,1.92,1.21,1.62,1.25,N/A,0,2.27,0.36,,,
5347,世界先進,521655047,48946223,13808,10.65,11.15,10.3,10.59,10.8,15.21,5.55,2.97,0.86,,,
5351,鈺創科技,517051309,46634062,14842,11.08,11.8,10.05,10.82,10.95,N/A,2.92,10.3,0.89,,,
5425,台半    ,312928527,18482926,7524,16.93,17.4,16.3,16.81,16.75,9.05,7.16,7.58,0.85,,,
5455,訊利電業,7290484,994429,442,7.33,8.03,6.8,7.37,6.8,N/A,0,2.71,1.25,,,
5466,泰林科技,31984577,4056866,1372,7.88,8.19,7.5,7.88,8.1,11.41,12.34,1.66,0.51,,,
5468,凱鈺科技,24305749,2805000,1155,8.66,13.35,6.3,8.67,13.3,N/A,0,6.27,1.46,,,
5483,中美晶  ,9119737956,172732139,91122,52.79,56.5,48.6,52.08,49.7,8.38,11.06,38.98,1.12,,,
5487,通泰    ,13012283,905509,480,14.37,15,13.8,14.45,13.95,16.03,7.16,2,0.87,,,
6103,合邦電子,368175,100417,71,3.66,3.86,3.22,3.6,3.35,N/A,0,0.18,2.03,,,
6104,創惟科技,317476186,12417836,7195,25.56,27.1,23.15,25.04,24.2,N/A,0,14.35,1.45,,,
6129,普誠科技,233901260,20863894,6205,11.21,12,10.1,11.02,11.1,34.69,9,11.53,0.89,,,
6138,茂達電子,362978563,16190763,6369,22.41,23.1,20.65,21.92,22.1,55.25,6.78,12.44,1.45,,,
6147,頎邦科技,4117323575,155288904,57287,26.51,28.2,24.55,26.2,27.1,9.19,7.38,26.04,1,,,
6182,合晶科技,831316572,31967240,19568,26,27.85,22.3,25.84,22.3,13.77,5.82,11.35,0.84,,,
6198,凌泰科技,2556650,352202,169,7.25,7.69,7.1,7.3,7.1,N/A,0,1.01,0.98,,,
6223,旺矽科技,2847285811,33147713,22536,85.89,92,74.1,83.68,85,8.13,6.81,42.19,2.12,,,
6229,研通科技,10358602,1004276,547,10.31,10.6,10.05,10.31,10.3,14.31,10.58,2.81,0.82,,,
6233,旺玖科技,133531124,7128063,3799,18.73,19.4,17.6,18.58,18.35,131.07,0,8.1,1.17,,,
6236,凌越科技,152513,21358,30,7.12,8.1,5.12,6.86,8,7.02,0,0.13,1.2,,,
6237,驊訊電子,252395740,9488354,5120,26.6,28.95,22,24.23,28.85,N/A,0,12.32,1.36,,,
6261,久元電子,1863252035,27169035,17668,68.57,72,63,67.76,68.1,9.3,6.98,25.51,1.56,,,
6287,元隆電子,6784063,1710545,606,3.96,4.29,3.74,3.96,3.83,N/A,0,1,0.72,,,
6291,沛亨半導,9730567,1714499,755,5.67,6.45,4.81,5.15,5.83,N/A,0,3.51,1.07,,,
8024,佑華微電,12138412,760054,382,15.97,16.65,15.3,16.02,15.45,32.19,12.16,1.33,1,,,
8040,九暘    ,75042870,5343250,2410,14.04,14.95,13.4,13.89,13.5,N/A,7.7,6.04,1.01,,,
8054,安國國際,237880849,5820490,3665,40.86,42.85,38.1,40.71,38.1,12.21,6.56,7.07,1.49,,,
8066,福陞科技,234380,32100,23,7.3,10,6.04,7.84,7.34,N/A,0,0.03,81.56,,,
8079,誠遠科技,58939252,3812718,1721,15.45,15.9,15.05,15.37,15.35,7.64,14.13,5.11,1.05,,,
8084,巨虹電子,4884932,487364,264,10.02,10.55,9.3,9.96,10,N/A,0,1.21,1.35,,,
8086,宏捷科技,1396618295,54027067,25539,25.85,27.8,23.05,25.36,24.85,28.56,2.81,41.6,1.77,,,
8088,品安科技,97902675,8034308,2710,12.18,12.8,11.15,11.97,12.45,N/A,0,18.07,0.91,,,
8277,商丞科技,325475524,16628291,8898,19.57,21.7,17.65,19.19,18.3,N/A,0,25.56,1.35,,,
1569,濱川企業,1058896417,19870320,10490,53.29,59.8,43,52.53,55.4,29.63,1.55,27.46,2.13,,,
3069,寶晟科技,82236582,2188984,1064,37.56,46.45,29,34.91,45.05,N/A,0,8.19,6.25,,,
3071,協禧電機,22298533,2831043,966,7.87,8.32,7.66,7.91,7.77,15.24,0,1.37,0.79,,,
3088,艾訊    ,30096812,1344192,699,22.39,23.2,20.6,22.2,22.3,12.46,9.86,1.74,1.45,,,
3126,信億科技,147765376,3338861,1813,44.25,51,38,43.74,47.75,N/A,0,8.06,6.22,,,
3171,天馳科技,49355553,3154046,1265,15.64,17.2,12.45,15.56,16.8,N/A,0,6.03,1.65,,,
3211,順達科技,8515130541,74885139,44973,113.7,123,98,113.27,115,11.88,5.2,57.57,2.82,,,
3213,茂訊電腦,139118359,2576324,2069,53.99,57,47.4,52.87,55.3,9.37,9.94,4.65,2.87,,,
3217,優群科技,26732718,2015744,955,13.26,13.6,12.9,13.2,13.2,11,11.36,2.42,0.9,,,
3287,廣寰科  ,17318045,1705326,544,10.15,10.6,9.7,9.96,9.93,N/A,13.09,3.88,0.84,,,
3323,加百裕  ,131961550,6451197,3174,20.45,22.3,19.85,20.32,19.9,N/A,7.53,6.03,0.76,,,
3325,旭品    ,413639246,16328093,8364,25.33,27.4,22,25,22.25,N/A,2.2,24.33,1.3,,,
3416,融程電  ,25797900,520444,454,49.56,50.4,48,49.77,49,12.07,9.18,1.15,2.06,,,
3479,安勤    ,76274770,2319424,1393,32.88,34.2,30.4,32.36,32.9,17.88,8.51,5.23,1.65,,,
3483,力致科技,212504200,8910065,4458,23.84,25.5,19.65,22.99,24.2,N/A,1.23,18.2,0.62,,,
3489,筌寶    ,23082527,2786240,975,8.28,8.72,7.65,8.04,8.72,N/A,0,5.27,0.67,,,
3521,鴻翊    ,224101056,6860210,3261,32.66,36.2,28.2,32.09,33.4,N/A,0,21.93,2.52,,,
3540,曜越    ,13011115,765947,477,16.98,17.7,15.85,16.82,17.3,72.08,0,1.26,0.76,,,
3577,泓格科技,42205881,1362250,923,30.98,32.6,29,30.76,31.8,14.01,6.25,3.13,1.85,,,
3611,鼎翰科技,700694042,7414573,5895,94.5,102,85,93.7,94.8,11.78,6.32,22.06,3.24,,,
3625,西勝    ,44700429,3645258,1447,12.26,12.8,11.65,12.21,11.65,N/A,0,6.5,0.91,,,
3652,精聯電子,19116768,847531,572,22.55,24.7,19.7,21.35,22.6,20.36,5.08,1.78,0.89,,,
4924,KY欣厚  ,217307571,6945375,2305,31.28,36.5,28.2,33.16,35.1,,3.19,20.32,2.53,,,
5371,中強光電,1285004408,56547600,26406,22.72,23.45,21.55,22.63,22.85,10.73,15.31,7.81,0.82,,,
5384,捷元    ,52179299,4710882,1364,11.07,11.75,10.4,10.97,10.85,N/A,0,5.1,0.82,,,
5386,青雲國際,0,0,0,0,0,0,0,19.95,N/A,0,0,8.67,,,
5426,振發實業,62518999,5641544,1550,11.08,11.45,10.8,10.99,11.15,24.24,8.07,3.92,0.77,,,
5438,東友    ,16584090,1210584,597,13.69,14.5,12.9,13.84,14,35,11.42,1.08,0.99,,,
5450,寶聯電腦,28405524,2137222,1131,13.29,14.55,12.1,13.04,12.5,N/A,0,4.24,0.99,,,
5465,富驊企業,48497394,5993931,1777,8.09,8.5,6.63,7.86,7.88,157.6,0,3.86,0.85,,,
5474,聰泰科技,22154690,2043024,1044,10.84,12.05,9.76,10.28,11.4,N/A,0,6.06,0.91,,,
5490,同亨科技,1156374922,35010356,18290,33.02,36,29.8,32.24,35.1,11.04,9.45,37.09,2.08,,,
6105,瑞傳科技,59933974,2430650,1045,24.65,25.8,23.1,24.31,25.4,8.55,3.93,2.21,0.99,,,
6121,新普科技,14085165584,78831802,52784,178.67,194,164.5,180.35,179,14.49,3.63,28.13,3.36,,,
6123,上奇科技,272801713,7511569,4248,36.31,38.6,32,35.46,36,12.33,7.77,15.56,2.22,,,
6150,撼訊科技,136145176,7689253,4321,17.7,18.7,15,17.16,17.75,20.64,15.21,11.03,1.43,,,
6160,欣技資訊,85595439,2718209,1816,31.48,32.8,29.6,31.15,31.2,12.48,8.01,3.83,2.06,,,
6161,捷波資訊,60484899,5344270,1798,11.31,12.05,10.5,10.98,12.05,8.61,2.48,4.99,0.76,,,
6188,廣明光電,159230652,7775790,3353,20.47,21.25,19.05,20.5,20,10.36,10,2.73,0.71,,,
6199,精威科技,1131479,247665,130,4.56,4.89,4.35,4.56,4.45,N/A,0,0.39,0.65,,,
6219,富旺    ,1085797,66829,68,16.24,17.3,15.1,16.56,16.2,11.82,0,0.04,2.25,,,
6222,上揚科技,3971674,442137,124,8.98,9.36,8.9,9.05,9.08,N/A,0,0.79,1.07,,,
6228,全譜科技,4269870,593401,332,7.19,7.5,6.72,7.24,7.21,N/A,0,1.44,0.68,,,
6247,淇譽電子,25127400,1917000,967,13.1,13.4,12.9,13.11,13.15,N/A,3.42,3.18,0.86,,,
6298,崴強科技,443780003,25176306,10645,17.62,19,15.8,17.37,18.05,128.93,1.1,14.92,1.25,,,
8050,廣積    ,74773465,2100878,1531,35.59,37.2,33.1,34.43,37.2,10.88,8.89,3.02,1.63,,,
8076,伍豐科技,219148591,6648229,3731,32.96,34.3,31.1,32.66,32.6,N/A,0,3.92,2.26,,,
8114,振樺電  ,54817875,1171779,761,46.78,49.5,44.5,46.26,48.2,9.16,9.39,1.92,2.61,,,
8210,勤誠興業,419891807,12362235,6257,33.96,38.4,28.15,33.61,37.45,9.8,7.63,10.7,2.19,,,
8234,新漢    ,358349800,12848700,6352,27.88,29.7,25,27.41,28.75,9.88,6.95,13.36,1.74,,,
8299,群聯電子,13556978082,88911364,59447,152.47,164,137.5,150.05,160.5,13.75,2.7,49.76,2.87,,,
8410,森田印刷,97716494,1945270,1148,50.23,55.7,43.4,47.44,53.9,10.82,3.71,5.32,1.73,,,
3066,李洲科技,9843899,1305775,463,7.53,8,7.11,7.51,7.3,N/A,0,0.86,0.87,,,
3128,昇銳電子,16960959,1265686,595,13.4,13.95,12.45,13.48,13.4,N/A,0,3.01,0.84,,,
3230,錦明實業,8815985,960672,419,9.17,9.74,8.34,9.14,9.02,N/A,0,0.91,0.54,,,
3297,杭特電子,15691745,736589,356,21.3,22.3,20.5,21.29,20.8,130,4.75,2.13,0.94,,,
3339,泰谷光電,146505437,8760367,3926,16.72,18.4,15.3,16.56,15.6,N/A,6.41,3.18,0.91,,,
3362,先進光  ,9974266,582090,290,17.13,18.95,14.7,16.56,16.5,N/A,0,0.75,1.7,,,
3434,哲固資訊,10208367,1033110,386,9.88,10.95,9.26,9.81,9.8,N/A,0,3.15,1.02,,,
3441,聯一光學,614976427,14223660,9389,43.23,46.6,38,42.84,44.65,14.09,1.79,45.25,1.85,,,
3452,益通光能,837440128,57872437,19694,14.47,16.1,11.8,14.59,11.85,N/A,0,12.07,0.59,,,
3455,由田新技,905147795,26747298,15714,33.84,36.35,31.15,33.17,32.2,13.36,9.25,44.34,1.04,,,
3490,單井    ,39876041,1950012,1079,20.44,21.45,19,20.02,20,6.92,17.5,5.58,0.95,,,
3516,亞帝歐  ,19051282,1883155,792,10.11,10.55,9.51,10.12,9.96,N/A,0,2.48,0.32,,,
3520,振維    ,16373093,1353383,513,12.09,13.45,10.6,12.31,13,N/A,0,2.64,0.93,,,
3522,宏森    ,49545560,3104393,1645,15.95,17.2,15.2,15.86,15.4,16.04,7.79,6.54,0.71,,,
3523,迎輝科技,102382897,4463434,2300,22.93,24.2,20.25,21.71,22,N/A,0,4.56,0.88,,,
3531,先益電子,10068809,499584,280,20.15,21.65,19,20.56,20.5,12.89,5.85,0.82,0.72,,,
3562,頂晶科技,7424100,559450,438,13.27,14.5,11.8,13.33,11.9,N/A,0,1.07,1.2,,,
3615,安可光電,3449303355,34496189,23932,99.99,106,94.2,98.4,96.8,13.44,1.03,75.01,2.39,,,
3623,富晶通  ,149518496,8044816,3846,18.58,19.8,15.8,17.94,17.3,N/A,0,14.07,1.64,,,
3629,卓韋光電,18080950,995825,714,18.15,19.4,17.25,18.06,17.65,92.89,2.77,3.78,1.37,,,
3630,新鉅科  ,1829129861,33795347,20499,54.12,61.1,45.7,53.36,55.7,11.7,5.47,39.49,2.11,,,
3685,政翔    ,93073155,3736191,1784,24.91,26.4,22,24.04,25.3,8.88,7.98,9.1,1.43,,,
3691,碩禾    ,3276265928,10038449,9595,326.37,355,295,322.9,301,10.25,9.3,22.75,4.05,,,
4729,熒茂光學,753825053,32903307,15961,22.91,25.3,17.2,21.98,21.2,N/A,0,32.29,0.83,,,
4933,友輝    ,257613463,4302448,2935,59.87,64.5,55.2,59.4,62.6,5.98,6.38,8.88,1.6,,,
4944,兆遠    ,372372392,16121750,8413,23.09,25.7,18.5,22.84,18.6,N/A,11.82,17.53,1,,,
5315,光聯科技,15900670,3686325,1010,4.31,4.65,4.09,4.32,4.15,N/A,0,2.32,0.51,,,
5392,應華精密,1195879655,16241774,11348,73.62,78.8,65,71.38,70.8,14.75,5.64,20.86,1.67,,,
5395,圓方創新,1441987,77641,80,18.57,21,17.2,19.26,17.95,299.17,0,0.31,2,,,
5432,達威光電,212084,18718,36,11.45,12.6,11.1,11.83,12.6,12.86,0,0.09,1.49,,,
5443,均豪精密,171534649,17229149,3908,9.95,10.25,9.35,9.92,9.75,,7.17,7.56,0.65,,,
6125,廣運機械,239822717,15232409,6391,15.74,16.45,14.75,15.55,15.3,90,8.88,5.98,0.63,,,
6156,松上電子,1668255,1013271,307,1.64,1.93,1.37,1.72,1.6,,0,0.26,0.15,,,
6167,久正光電,1370670,832642,281,1.64,1.89,1.54,1.67,1.6,N/A,0,0.51,0.41,,,
6234,高僑    ,51975775,3666553,1249,14.17,15.1,13,14.16,14.3,110,0,5.13,0.43,,,
6244,茂迪    ,6940003504,122422955,69103,56.68,62.3,48.3,55.91,57.2,24.14,12.23,27.99,1.19,,,
6246,臺龍電子,318085015,21400918,9246,14.86,16.35,13,14.73,13.85,12.59,0,12.73,1.21,,,
6294,智基科技,4623121,122669,117,37.68,41,32.85,36.59,37.2,N/A,0,0.8,5.97,,,
8049,晶采光電,69229856,9651571,2742,7.17,7.79,6.43,7.1,6.43,N/A,0,8.87,0.58,,,
8053,巨擘科技,9936560,1537321,449,6.46,6.84,5.97,6.48,6,N/A,0,0.37,0.51,,,
8064,東捷科技,52649139,5132329,1669,10.25,10.8,9.6,10.19,10.2,510,3.92,3.88,0.66,,,
8069,元太科技,21881351040,332306945,146230,65.84,71.8,59.9,65.76,62,9.35,4.29,30.78,2.49,,,
8071,豐聲科技,5691140,291809,256,19.5,21.5,17.85,19.52,20.75,14.12,2.02,0.86,1.65,,,
8077,冠華科技,95500,16000,14,5.96,6.91,5.22,5.95,6.9,N/A,0,0.03,3.14,,,
8087,華鎂鑫  ,7198682,751665,329,9.57,10.95,9,9.4,10.35,N/A,0,2.13,0.94,,,
8107,大億科技,26359679,2947765,989,8.94,9.14,8.67,8.93,8.88,N/A,9.57,1.71,0.55,,,
8111,立碁電子,257631747,20309339,5271,12.68,13.5,10.7,12.16,11.5,N/A,6.69,13.55,0.87,,,
8240,華宏新技,430925595,8383546,5751,51.4,55.6,46.45,49.95,49.55,9.99,6.45,9.64,1.08,,,
8266,中日新  ,40905736,6626197,2066,6.17,7.43,4.95,6.6,4.95,N/A,0,9.31,0.67,,,
3068,美磊科技,265022015,6187790,2785,42.82,47,39,43.51,44.2,13.99,9.86,8.63,2.77,,,
3095,及成    ,548895094,39595801,12020,13.86,14.95,12.45,13.59,14.1,N/A,0,18.19,0.91,,,
3152,璟德電子,491069631,5805220,4175,84.59,91,78,84.07,78.7,15.52,6.98,8.41,2.19,,,
3221,台灣嘉碩,51005281,3990969,939,12.78,13.25,11.95,12.34,12.05,N/A,9.95,4.69,0.7,,,
3234,光環    ,323733933,19042122,8443,17,18.5,16.1,16.77,16.4,18.85,6.09,20.44,1.21,,,
3290,東浦    ,379925163,16150634,6972,23.52,25.5,20.8,23.22,22.8,10.51,2.19,21.73,1.53,,,
3306,鼎天國際,183048182,8027783,3929,22.8,24.45,21.1,22.37,22.1,8.37,7.23,11.1,0.77,,,
3363,上詮    ,163426749,5953914,2959,27.44,29.8,24.1,26.72,26.25,14.34,4.57,9.92,1.62,,,
3431,長天科技,45327860,3378326,1760,13.41,14.3,12.8,13.43,13.35,N/A,0,7.14,2.28,,,
3491,昇達科技,177410990,4420709,2569,40.13,42.3,37.5,39.35,39.1,28.54,5.6,9.97,1.88,,,
3499,環天科技,53413911,3869039,1526,13.8,14.3,12.95,13.52,13.75,N/A,0,7.28,0.87,,,
3632,研勤科技,665082072,9000288,6645,73.89,84.9,61.2,75.86,69.5,34.41,2.58,36.78,3.99,,,
4903,聯光通信,76382225,9471245,3119,8.06,8.49,7.24,7.86,8.2,11.08,0,12.43,0.77,,,
4905,台聯電訊,10485472,548020,189,19.13,19.55,18.95,19.17,19.2,8.93,2.6,0.97,1.07,,,
4907,春雨開發,60797,21288,8,2.85,2.86,2.85,2.85,2.86,N/A,0,0.06,17.88,,,
4908,前鼎光電,54305309,2416236,1590,22.47,24.2,20.3,22.2,23.5,10.83,8.93,3.23,1.67,,,
4909,新復興  ,240256254,7604708,4193,31.59,34.9,27.1,29.89,33.4,11.4,8.08,8.22,1.49,,,
5304,鼎創達  ,24112668,3059285,1263,7.88,8.15,7.41,7.8,7.93,N/A,0,1.65,1.56,,,
5306,訊康科技,244215268,12540262,4970,19.47,23.5,16.7,18.5,17.6,N/A,0,8.94,2.85,,,
5348,系通科技,5751637,384595,187,14.95,15.45,14.25,14.99,15.2,15.83,0,1.48,1.68,,,
5353,台林通信,56620275,4800997,1733,11.79,12.75,10.45,11.67,11.3,11.89,3.18,4.94,0.81,,,
6109,亞元科技,5407104,756110,392,7.15,7.5,6.9,7.2,7.2,N/A,0,1.04,0.73,,,
6143,振曜科技,332576633,10888038,6435,30.54,33.5,26.6,28.85,30.65,10.12,6.42,13.4,1.46,,,
6163,華電聯網,216397630,16328840,5020,13.25,14.1,11.5,12.94,13,37.14,0,17.71,0.95,,,
6170,統振    ,119953436,6101837,2977,19.65,20.7,18.35,19.31,20.45,19.11,0.63,6.8,1.41,,,
6190,萬泰科技,87837841,8171491,2377,10.74,11.2,10.3,10.7,10.6,40.77,2.83,6.49,0.85,,,
6218,豪勉科技,205684256,6103244,3487,33.7,35.7,31.4,33.11,31.9,7.42,12.53,10.45,1.85,,,
6241,易通展  ,3732933,282868,200,13.19,15.3,11.75,12.93,13.55,N/A,0,0.94,1.41,,,
6245,立端科技,224416365,9173259,4454,24.46,26,22.8,23.97,24.05,15.72,1.03,13.8,1.57,,,
6263,普萊德  ,16257909,897015,449,18.12,18.95,17.05,17.89,18.4,15.46,8.15,1.54,1.29,,,
6264,德士通  ,31376809,2316662,1092,13.54,14.55,12.7,13.42,12.9,61.43,0,2.15,1.78,,,
8034,榮群電訊,7241145,1494202,593,4.84,5.35,4.42,4.82,5.12,N/A,0,2.38,0.6,,,
8048,德勝科技,8769356,722504,439,12.13,12.65,11.5,12.07,12.35,22.87,3.23,1.44,1,,,
8059,凱碩    ,32266196,3633576,1241,8.88,10.1,8.21,8.8,9.6,N/A,0,3.92,0.95,,,
8082,眾星國際,99577774,7273530,1447,13.69,14.25,12.8,13.74,13.3,N/A,0,12.85,1.58,,,
8097,鴻松精密,2804551,671942,246,4.17,4.79,3.77,4.16,4.01,N/A,0,3.3,1.1,,,
1333,恩得利  ,7195279,1333150,546,5.39,5.67,5.03,5.39,5.3,N/A,0,1.3,0.77,,,
1336,台翰    ,11277200,819286,379,13.76,14.5,13.3,13.83,13.75,41.67,4.36,1.24,0.53,,,
1595,川寶    ,931687073,14914437,8456,62.46,76.5,47.05,60.6,76.5,5.43,3.92,40.48,1.99,,,
1815,富喬    ,482117169,27020107,9821,17.84,18.9,16.5,17.45,17.9,8.73,5.64,9.34,1.04,,,
3078,僑威科技,115480115,10168667,3053,11.35,12.7,9.6,11.28,12.25,21.49,9.22,4.5,0.87,,,
3089,展成科技,26873982,2134084,587,12.59,13.25,11.65,12.32,12.8,29.77,2.34,4.09,1.17,,,
3092,鴻碩精密,15601813,1061731,573,14.69,15.45,14.1,14.69,14.7,17.71,8.16,1.66,0.79,,,
3114,好德科技,16733820,1529844,690,10.93,11.65,10.2,10.81,11.15,48.48,1.79,3.06,0.75,,,
3115,寶島極光,5655600,463500,195,12.2,12.95,11.4,12.38,12.4,177.14,0,1.06,1.5,,,
3144,新揚科  ,86848126,5885253,1762,14.75,15.55,13.45,14.54,15,25.86,0,7.63,2.55,,,
3191,和進電子,5923880,749200,383,7.9,8.4,7.1,7.84,8.22,11.91,0,1.38,0.55,,,
3202,樺晟電子,22537447,2521514,956,8.93,9.2,8.7,8.94,8.85,N/A,2.25,3.19,0.52,,,
3206,志豐電子,86495436,4769369,2233,18.13,19.3,16.25,17.88,18.75,9.01,7.94,12.1,1.13,,,
3207,耀勝電子,36085279,2709006,1006,13.32,14.7,10.35,11.78,14.1,45.48,2.83,7.02,0.99,,,
3226,至寶電腦,12688561,693433,333,18.29,19.1,17.3,18.46,18.5,N/A,0,1.61,1.35,,,
3236,千如電機,9150183,775891,450,11.79,12.3,11.2,11.81,11.7,20.17,10.25,1.68,0.83,,,
3276,宇環科技,29274457,2275004,552,12.86,13.55,11.9,12.95,12.4,72.94,0,3.26,1.18,,,
3288,點晶科技,10354125,751185,517,13.78,14.5,12.55,13.74,12.9,N/A,0,1.51,1.25,,,
3294,英濟    ,574920501,32031882,12503,17.94,19.1,16.3,17.84,18.3,49.46,0,23.54,0.85,,,
3299,帛漢    ,74055901,2497096,1501,29.65,30.75,28.5,29.37,29.5,7.8,10.16,4.79,1.28,,,
3310,佳穎精密,14464307,1644106,834,8.79,9.79,7.21,8.23,8.19,N/A,0,4.14,1.22,,,
3313,斐成企業,52290623,4331946,1510,12.07,13.25,10.7,11.7,12.95,46.25,0,5.18,0.72,,,
3322,建舜電子,17343720,1443403,569,12.01,12.75,11.4,11.92,11.75,N/A,0,1.74,0.9,,,
3332,幸康電子,44917611,974218,301,46.1,48,45,45.95,46.3,10.64,8.63,2.03,1.76,,,
3354,律勝    ,70794369,4587080,1266,15.43,15.85,14,14.82,15,12.82,5.66,5.74,0.88,,,
3390,旭軟電子,491216776,14106850,7528,34.82,38.7,30.9,34.59,38.3,11.07,5.74,26.72,2.22,,,
3465,祥業科技,7770953,1405221,694,5.53,6.15,5.04,5.33,5.44,N/A,0,4.95,1.05,,,
3484,崧騰    ,23727093,1267545,799,18.71,20.05,17.7,18.62,19,11.31,10,2.3,0.84,,,
3511,矽瑪科技,36369694,1266181,984,28.72,32.1,26.45,28.08,27.15,17.4,18.41,3.29,1.21,,,
3512,能緹    ,44531124,3460527,1729,12.86,13.65,11.4,12.55,11.4,N/A,0,8.24,0.83,,,
3526,凡甲科技,182318343,4593316,2944,39.69,41.95,36.1,39.25,38.7,13.87,14.75,7.31,1.95,,,
3537,堡達    ,16482015,1076716,720,15.3,16.05,14.3,15.14,15.15,8.81,6.6,2.32,0.93,,,
3548,兆利科技,84840533,4297463,2199,19.74,21.4,17.5,18.8,18.65,N/A,5.36,8.5,0.44,,,
3609,東林科技,15674870,692037,458,22.65,24.4,21.15,22.6,21.9,11.53,5.47,2.21,0.88,,,
3624,光頡科技,896588607,27862654,13787,32.17,34.5,27.65,31.9,28,19.72,5.35,31.81,1.36,,,
3631,晟楠    ,146675699,3045069,1831,48.16,50.5,45.5,47.54,50.3,14.05,7.77,3.9,2.74,,,
4912,KY聯德  ,34989000,1266000,714,27.63,29.5,24.3,27.24,27,,3.7,4.55,1.32,,,
4927,KY泰鼎  ,381249712,12195169,4413,31.26,33.8,28.2,31.34,30.15,,4.47,13.12,1.6,,,
4939,亞電    ,349739859,15383546,7244,22.73,24.8,20,22.35,24.1,7.8,5.22,21.39,1.58,,,
5301,祥裕電子,280286,122246,56,2.29,2.55,1.75,2.19,2.1,N/A,0,0.38,0.61,,,
5309,系統電子,26123901,3328632,1216,7.84,8.35,7.42,7.86,7.84,N/A,0,2.18,0.93,,,
5317,凱美電機,20405392,2720107,950,7.5,7.65,7.25,7.5,7.47,21.34,6.69,1.99,0.6,,,
5321,友銓電子,6925666,3297533,899,2.1,2.4,1.93,2.09,2.03,N/A,0,2.2,0.34,,,
5328,華容    ,45294424,6167206,1641,7.34,7.72,7.06,7.3,7.21,14.42,4.16,2.65,0.66,,,
5340,建榮工業,9331211,1701922,529,5.48,5.78,5.2,5.47,5.45,272.5,0,1.03,0.61,,,
5345,天揚    ,6406050,1491279,676,4.29,4.6,4.07,4.23,4.3,N/A,0,2.98,0.57,,,
5349,先豐通訊,877852015,49510021,17876,17.73,19.4,15.2,17.33,18.2,9.95,5.82,23.97,1.26,,,
