櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年12月 Dec.10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,052,176,581元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,998,387筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,526,535,192股",,,,,,4. 成交量週轉率： 20.65%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2063,世鎧精密,90218872,1535188,852,58.76,62,56.1,58.3,59.7,12.18,3.3,5.36,3.4,,,,
5007,三星科技,581814414,19187526,4230,30.32,33,28.55,30.48,32.5,17.57,2.96,8.72,2.08,,,,
5009,榮剛材料,5054414652,197417742,54607,25.6,28.3,22.7,25.2,27.15,246.82,0,59.51,1.64,,,,
5011,久陽精密,46072,2430,14,18.97,19.75,18.5,19.12,19.75,49.38,0,0.01,2.18,,,,
5013,強新工業,695796847,34516617,11342,20.15,22.5,17.9,19.54,21.8,7.99,0,39.6,1.3,,,,
5014,建錩實業,181158759,16344452,3782,11.08,11.55,10.25,10.7,11.25,187.50,3.46,10.36,0.82,,,,
5015,華祺工業,17165565,1175329,627,14.6,15,14.15,14.59,14.75,29.50,6.75,1.94,1,,,,
5016,松和工業,535206740,14976882,7465,35.73,42.45,28.55,33.13,42.45,9.69,0.85,33.2,1.64,,,,
8349,友信    ,47457752,1799260,1027,26.37,28.6,24.75,26.49,27,21.60,1.53,2.78,1.75,,,,
8930,青鋼金屬,39199197,2496813,933,15.69,15.95,15.2,15.66,15.7,9.69,4.17,4.68,1.06,,,,
9962,有益鋼鐵,190294765,10393401,3505,18.3,19.7,16.5,18.13,19.1,10.91,3.71,13.25,1.61,,,,
2114,鑫永銓  ,123639211,3632753,1810,34.03,36.2,29.9,33.41,35.3,N/A,7.12,6.03,1.66,,,,
5102,富強輪胎,61560625,4421812,1128,13.92,14.95,12.75,13.45,13.5,14.67,0,7.61,1.06,,,,
2596,綠意開發,79897816,4000721,2026,19.97,21.8,18.25,19.36,20.4,12.29,7.42,5.87,1.37,,,,
4113,聯上實業,108909224,6168192,3157,17.65,19.9,15,17.31,18.3,28.15,0,11.17,1.37,,,,
4416,三圓建設,5459088,63702,49,85.69,91.8,79.3,87.47,89,24.65,4.09,0.11,3.63,,,,
5213,亞昕    ,1160042725,31339929,13668,37.01,39.6,34.5,36.48,38.35,5.49,7.13,19.63,1.97,,,,
5505,和旺建設,1799755545,36740228,15560,48.98,51.7,46.15,48.02,46.7,N/A,1.43,41.19,3.36,,,,
5506,長鴻營造,199703960,20657639,5898,9.66,10.45,8.9,9.42,9.55,N/A,0,10.19,1.12,,,,
5508,永信建設,444144830,13132226,4984,33.82,35.55,29.9,32.31,33.9,14.68,7.76,7.16,2.02,,,,
5511,德昌營造,872449562,32314556,11402,26.99,29.6,24.2,26.19,26.6,11.22,4.43,39.26,1.59,,,,
5512,力麒建設,3619571894,189945433,45250,19.05,20,17.85,18.81,19.15,7.82,6.78,34.5,1.11,,,,
5514,三豐建設,35607585,1671861,748,21.29,22.2,20.55,21.31,21.5,30.71,3.81,1.57,1.67,,,,
5516,雙喜    ,11518483,954067,450,12.07,12.8,11.55,12.08,12.55,9.73,3.9,2.49,1.06,,,,
5519,隆大營建,731430584,18879449,9116,38.74,43.5,27.9,37.08,37.5,12.54,2.85,26.97,3.01,,,,
5520,力泰建設,5409766,221040,144,24.47,25.2,23.5,24.42,24.9,12.64,6,0.31,0.99,,,,
5521,工信    ,2644462652,212369025,38384,12.45,13.1,11.75,12.19,12.65,N/A,0,61.11,2.34,,,,
5523,宏都建設,208246363,19166527,5058,10.86,11.6,9.3,10.19,10.5,N/A,0,17.53,0.97,,,,
5529,志嘉建設,10839346,1133614,566,9.56,9.91,9.11,9.55,9.26,N/A,5.28,2.34,0.71,,,,
5530,大漢建設,8272982874,77486811,39774,106.76,124,80.5,103.66,107,48.42,0,20.28,8.8,,,,
6177,達麗建設,292311627,9253043,3676,31.59,35.9,28.1,30.83,34.8,18.71,4.19,11.28,2.87,,,,
6212,理銘科技,10254311,791556,249,12.95,13.45,12.8,12.96,12.8,7.76,0,0.78,1.44,,,,
2636,台驊國際,244272484,7784740,3587,31.37,32.95,29.85,30.9,31.7,12.73,2.2,15.14,1.85,,,,
5601,台聯貨櫃,33668048,1915880,771,17.57,18.5,15.7,16.6,17.2,66.15,1.31,2.66,0.85,,,,
5603,陸海交通,46733541,3759217,1339,12.43,13.45,11.7,12.17,13.05,59.32,0,5.97,0.9,,,,
5604,中連貨運,66345837,2423352,1183,27.37,30.1,25.55,27,28.95,13.53,4.29,2.23,1.34,,,,
5609,中菲行  ,1072803161,36217119,13540,29.62,31.4,26.15,28.63,30.3,13.59,4.01,27.65,2.18,,,,
5701,劍湖山  ,710589114,65466744,17429,10.85,11.45,10.15,10.7,11.2,N/A,0,15.75,1.35,,,,
5703,亞都麗緻,17218357,597664,425,28.8,30.6,27.65,28.75,28.45,34.70,0,0.85,2.49,,,,
5704,老爺知  ,5361041,226286,173,23.69,24.65,23.1,23.79,24.3,110.45,0.84,0.58,1.92,,,,
5706,鳳凰國際,855700102,12034579,7326,71.1,73.5,68.5,70.86,71.5,17.15,3.2,30.22,2.93,,,,
5820,日盛金控,6839680351,573595555,62994,11.92,13.65,10.2,11.96,13.65,19.78,0,24.39,1.1,,,,
6008,凱基證券,10905588570,686677720,111413,15.88,16.8,14.15,15.88,16.65,15.14,2.75,21.41,1.11,,,,
6015,宏遠證券,666185338,70945420,15432,9.39,10.3,8.1,9.26,10.1,29.71,0,15.53,1.08,,,,
6016,康和證券,1141283827,108638291,21837,10.5,11.4,9.28,10.43,11.25,80.36,3.8,15.94,0.92,,,,
6020,大展證券,50164655,2708765,1107,18.51,19.5,17.1,18.38,19,24.05,2.89,1.16,1.3,,,,
6021,大慶證券,509617443,27733001,8655,18.37,19.4,16.4,18.25,19.3,14.19,2.73,9.94,1.25,,,,
6022,大眾證  ,752606746,55197344,14019,13.63,14.45,11.75,13.55,14.2,22.19,15.59,14.12,1.15,,,,
6023,寶來期  ,85102831,2278022,1035,37.35,39.25,36.25,37.33,37.8,20.66,4.86,1.74,1.78,,,,
6024,群益期  ,76470404,2575003,1416,29.69,30.5,28.2,29.5,30.3,16.74,5.93,3.04,1.66,,,,
2916,滿心企業,33913157,1534737,725,22.09,23,21.5,22.04,22.2,10.99,8.12,3.3,1.47,,,,
5902,德記洋行,45183157,3799003,1390,11.89,12.35,11.5,11.82,12.1,N/A,0,4.02,1.61,,,,
5903,全家    ,296754567,3090974,1801,96,104,86.6,91.82,98.2,23.89,2.88,1.38,4.94,,,,
5904,寶雅國際,74857297,2537631,1502,29.49,30.6,28.1,29.44,30,10.83,8.3,2.87,1.8,,,,
5905,南仁湖  ,1653813006,66551821,26581,24.85,26.3,23.85,24.63,24.9,N/A,0,32.17,2.04,,,,
8941,關中    ,26034276,2186224,889,11.9,12.4,11.4,11.93,11.7,N/A,0,1.79,1.84,,,,
9960,邁達康  ,33826525,1549579,1021,21.82,23.35,20.3,21.65,22.6,11.65,10.64,4.99,1.71,,,,
1584,精剛精密,1469433323,44090534,18584,33.32,37.7,27,30.98,34.9,581.67,0,64.88,2.2,,,,
