櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
5011,久陽精密,432576,90324,37,4.78,5.94,4.44,4.93,3.64,52,0,0.03,3.87,
5013,強新工業,319577979,21582680,6284,14.8,16.5,13.4,14.48,14.1,20.43,5,24.76,1.07,
5014,建錩實業,124706885,10069628,2515,12.38,14.15,10.6,12.12,11.2,10.47,2.8,8.11,0.78,
5015,華祺工業,30637051,1777010,770,17.24,18.1,16,17.14,16.7,41.75,6.09,2.93,1.05,
5016,松和工業,224221700,8817031,4180,25.43,27.8,21.1,24.48,24.15,27.76,10.41,19.55,1.28,
8349,友信    ,9540053,340307,286,28.03,28.8,26.05,28.15,28.15,1407.5,1.79,0.55,1.96,
8930,青鋼金屬,54808977,3737747,1299,14.66,15.35,13.9,14.6,14.45,7.77,4.61,8.17,1.07,
9962,有益鋼鐵,88795730,5585893,1598,15.89,17.4,13.65,15.7,14.5,10.14,4.28,7.62,1.27,
2114,鑫永銓  ,60623018,1786046,602,33.94,37.45,31,33.38,32.5,10.83,4.68,3.56,1.47,
5102,富強輪胎,40039601,3151364,938,12.7,13.3,11.9,12.53,12.25,27.84,4,5.42,1.01,
2596,綠意開發,111257606,4665231,2000,23.84,26.2,21.6,23.87,23.05,8.12,10.14,6.85,1.46,
4113,聯上實業,251586105,9650808,5077,26.06,31.2,20.25,25.6,22.35,8.16,0,21.35,1.98,
4416,三圓建設,3112559,38275,37,81.32,85.4,76,82.67,84.7,22.17,2.12,0.06,3.23,
5213,亞昕    ,639005740,17502742,8208,36.5,39.1,33.15,36.04,35.4,6.36,2.88,14.85,1.81,
5505,和旺建設,1057625846,19378193,7417,54.57,56.8,51.1,54.27,54.1,N/A,0,35.64,5.21,
5506,長鴻營造,61933661,15001524,1415,4.12,4.68,3.75,4.2,4.12,N/A,0,5.64,0.78,
5508,永信建設,108101403,3045315,2029,35.49,39,32.65,35.42,34.25,12.15,22.07,1.66,1.9,
5511,德昌營造,25953974,1588187,604,16.34,16.9,15.8,16.3,16.25,8.13,6.25,1.93,0.95,
5512,力麒建設,675662381,46563455,10581,14.51,15.6,13.3,14.55,14.4,8.23,3.54,9.46,0.81,
5514,三豐建設,32583527,1797847,554,18.12,19,17.2,18.15,18.25,29.44,6.39,1.82,1.37,
5516,雙喜    ,52242457,3746149,1428,13.94,15.65,12.05,13.11,12.5,15.06,5.95,9.78,1.05,
5519,隆大營建,22468474,1017245,538,22.08,24.4,19.85,21.27,21.35,15.93,6.84,1.54,1.66,
5520,力泰建設,11605886,476164,293,24.37,25.65,23.4,24.34,24.2,7.96,4.47,0.67,0.93,
5521,工信    ,930025851,80322621,16180,11.57,12.8,10.55,11.57,11.7,24.89,7.47,23.11,1.02,
5523,宏都建設,92288964,9687420,3006,9.52,10.6,8.35,9.42,9.55,N/A,15.5,8.86,0.88,
5529,志嘉建設,48785762,4666383,1272,10.45,11.3,9.5,10.21,10.15,N/A,4.85,10.09,0.69,
5530,大漢建設,821068654,17718215,6152,46.34,51.9,38.35,46.9,41.8,41.8,0,4.64,4.03,
6177,達麗建設,101413857,3868887,1880,26.21,28.2,24.1,26.05,26.6,22.17,3.56,6.11,2.03,
6212,理銘科技,87116809,7039546,2732,12.37,13.8,8.97,11.87,9.98,3.37,0,6.9,1.13,
2636,台驊國際,230736583,8841016,4300,26.09,28,24.05,25.96,26.35,23.53,6.02,17.53,1.67,
5601,台聯貨櫃,28592298,1766897,943,16.18,17.9,14.8,15.93,15.6,62.4,1.42,2.45,0.79,
5603,陸海交通,54446286,3895637,1178,13.97,14.85,12.55,13.74,12.9,129,3.57,6.19,0.99,
5604,中連貨運,39655373,1697431,680,23.36,24.7,22.2,23.41,22.9,15.37,6.51,1.56,1.12,
5609,中菲行  ,1124577237,34883664,15777,32.23,34.3,29.9,32.1,32.6,16.3,3.69,28.36,2.28,
5701,劍湖山  ,808879601,73781056,19577,10.96,11.9,9.93,10.82,11.3,N/A,0,17.75,1.29,
5703,亞都麗緻,7642337,314144,243,24.32,25.7,23.25,24.5,25.4,54.04,0,0.45,2.25,
5704,老爺知  ,11308382,601352,302,18.8,19.95,17.65,18.81,18.9,63,1.11,1.01,1.62,
5706,鳳凰國際,435851748,7372458,4672,59.11,65,55,58.45,59.9,25.49,2.95,18.52,2.54,
