櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
3252,海灣科技,2255786,331764,136,6.79,7.68,5.81,6.78,7,N/A,0,0.56,19.44,
3259,鑫創科技,744543937,22217423,8673,33.51,36.4,27.7,31.43,29.05,181.56,0,35.75,1.69,
3260,威剛科技,6043693536,88174879,45583,68.54,80,59.1,69.1,69.5,6.98,0.39,38.7,1.97,
3264,欣銓科技,3085479569,121978037,32819,25.29,28.4,21.95,25.22,23.9,11.33,5.35,27.55,1.43,
3265,台星科  ,781238671,48288609,14568,16.17,18,13.7,16,14.8,13.83,3.88,17.72,1.07,
3268,海德威  ,211061702,6147434,3486,34.33,39.1,30,33.44,33,N/A,3.41,20.05,3.48,
3291,遠翔科技,820803606,14757291,7579,55.62,61,45.2,53.89,60.2,23.61,2.26,45.26,4.09,
3317,尼克森  ,497249649,12112549,6637,41.05,49,35.25,41.93,40.5,20.15,3.97,19.76,1.49,
3372,典範    ,302918823,28001352,8450,10.81,12.35,9,10.74,10.4,N/A,12.45,9.26,0.92,
3438,類比科  ,1519190986,18671003,11638,81.36,93.5,71.2,82.14,78.8,20.63,6.08,46.88,3.14,
3527,聚積    ,4641889346,30673902,17029,151.33,167,126,148.26,132,20.53,4.34,93.07,2.91,
3553,力積電子,5319985447,52440829,33833,101.44,119.5,83.9,100.97,92.4,12.24,1.72,101.93,3.84,
3556,禾瑞亞  ,1195220711,17440752,11677,68.53,73,61.4,68.5,69.6,25.59,2.5,39.69,3.32,
5302,太欣半導,77826887,5618116,2439,13.85,16.35,11.5,14.13,12.85,N/A,0,3.45,1.56,
5314,世紀民生,224636967,18594646,6680,12.08,14.3,9.8,11.34,10.95,64.41,0,16.62,1.3,
5324,德豐    ,4505769,152761,167,29.49,32.1,26.3,29.53,28,N/A,0,0.32,3.5,
5326,漢磊科技,907665464,62291864,17953,14.57,16.5,11.95,14.52,13.9,N/A,7.43,19.07,1.6,
5344,立衛科技,78901791,3809702,1783,20.71,22.5,18.3,20.61,20.5,18.64,4.16,4.8,1.77,
5346,力晶    ,3437980639,763592817,42861,4.5,5.68,3.61,4.53,4.21,N/A,0,8.45,1.15,
5347,世界先進,1655069066,129653421,28411,12.76,15.5,10.8,13.16,12.85,18.9,3,7.72,1.06,
5351,鈺創科技,5479797467,211515656,59353,25.9,28.15,22.05,25.64,25.5,28.33,7.75,50.57,1.74,
5387,茂德科技,419022908,206112284,9003,2.03,2.52,1.65,2.03,1.86,N/A,0,2.84,0.74,
5425,台半    ,1604967397,61656245,22189,26.03,28.2,23,25.77,25.1,29.88,2.83,25.27,1.4,
5455,訊利電業,152757522,10885213,3910,14.03,15.6,11.9,13.39,12.8,N/A,10.83,29.82,1.73,
5466,泰林科技,236775027,19441653,4548,12.17,13.4,10.1,11.68,11,84.62,11.24,7.96,0.7,
5468,凱鈺科技,24068566,2000191,903,12.03,13.55,9.91,11.9,11.2,N/A,0,2.54,1.65,
5483,中美晶  ,3565303720,51142290,28755,69.71,77,61,69.66,63.9,28.03,6.52,17.07,1.88,
5487,通泰    ,144310001,6805194,2746,21.2,24.65,18,20.96,19.6,12.81,4.65,15.05,1.16,
6103,合邦電子,1652786,363132,192,4.55,5.15,3.87,4.61,4.45,N/A,0,1.55,1.22,
6104,創惟科技,529970169,14927231,7325,35.5,39.7,30.2,35.2,38.15,N/A,5.24,17.57,2.31,
6129,普誠科技,518621583,24569974,10196,21.1,23.7,18.2,21.1,20.05,23.31,3.2,13.64,1.55,
6138,茂達電子,876487273,24013749,12509,36.49,40.5,32.4,36.37,34.65,22.21,1.94,19,2.05,
6147,頎邦科技,10388292354,220655981,85198,47.07,52.1,39.5,47.06,47.25,17.44,5.25,38.95,2.29,
6182,合晶科技,1437001544,33209577,20793,43.27,49.7,37.95,43.51,39.8,N/A,5.83,12.14,1.49,
6198,凌泰科技,203928947,14961245,5303,13.63,15.2,10.85,12.29,11.65,N/A,0,42.96,1.41,
6223,旺矽科技,6171897082,51872422,29728,118.98,132.5,99.8,118.35,116.5,108.88,0.56,66.98,3.95,
6229,研通科技,139128576,7483068,3221,18.59,20.95,16.1,18.36,18.6,28.62,3.33,21.19,1.52,
6233,旺玖科技,668738774,19520156,10268,34.25,38.5,29.3,34.05,35.3,N/A,2,22.28,2.41,
6236,凌越科技,745484,73578,6,10.12,13.35,10.05,11.96,9.35,N/A,0,0.58,6.87,
6237,驊訊電子,864733525,15751873,9985,54.89,63.5,46.9,54.94,52.7,N/A,0.44,24.51,2.66,
6261,久元電子,1217903737,16336011,9783,74.55,78.6,67.2,73.96,71.1,13.29,4.05,17.26,2,
6287,元隆電子,175377304,13555421,4002,12.93,14.95,10,11.95,12.15,N/A,0,7.94,1.72,
6291,沛亨半導,104949049,6198067,3187,16.93,19.15,15.15,16.78,16.5,N/A,5.02,12.57,2.06,
8024,佑華微電,1596518084,47830710,17764,33.37,37.45,26.2,32.12,36.9,24.12,4.91,84.3,2.26,
8040,九暘    ,513772697,17683493,8602,29.05,32.75,24.7,28.49,27.2,75.56,4.05,20.96,2.01,
8054,安國國際,666612139,12257576,7445,54.38,60.4,47.25,54.41,51.5,20.6,2.06,14.87,2.05,
8066,福陞科技,910690,546775,145,1.66,1.99,1.47,1.72,1.61,N/A,0,0.49,0.98,
8079,誠遠科技,616926817,23177801,7644,26.61,30.5,22.2,26.14,24.35,8.73,4.31,37.11,1.56,
8084,巨虹電子,78887035,5397574,2057,14.61,15.95,12.7,14.35,13.7,N/A,0,13.34,1.39,
8086,宏捷科技,2235252764,50969539,22912,43.85,52.9,37,44.6,39.05,144.63,0.97,40.9,2.94,
8088,品安科技,272318599,12614098,5974,21.58,26.6,17.1,21.86,20.7,49.29,0,30.13,1.41,
8277,商丞科技,858982267,12076487,8743,71.12,83.9,55.5,71.13,69.5,7.29,0,24.13,3.21,
1569,濱川企業,1271951754,21207179,10328,59.97,68.5,49.1,59.38,55.2,14.64,1.07,30.95,2.29,
3069,寶晟科技,35601613,3337005,1372,10.66,11.8,9.25,10.24,10.4,N/A,0,12.49,1.26,
3071,協禧電機,1509292582,83907861,27035,17.98,20.55,14,17.39,18.35,13.49,0,41.68,2.3,
3088,艾訊    ,133178289,5138093,2433,25.91,28.4,23.65,25.76,25.3,21.44,8.33,6.52,1.63,
3126,信億科技,9671882,512064,357,18.88,21.8,16,19.16,18.3,N/A,0,1.48,3.25,
3171,天馳科技,130301909,8281906,3137,15.73,17.45,13.55,15,15,N/A,2.05,25.62,1.18,
3211,順達科技,2464687329,26240989,17038,93.92,103,86.3,93.35,91.8,9.89,7.61,20.31,2.49,
3213,茂訊電腦,170175470,2172063,1663,78.34,82.2,72.5,78.27,77.4,11.66,6.7,4.84,3.42,
3217,優群科技,296051809,10645221,4328,27.81,29.45,25.1,27.75,26.9,8.76,4.46,14.08,1.58,
3287,廣寰科  ,88946621,3485498,1764,25.51,28.55,21.8,24.97,25.4,16.71,2.88,8.17,1.88,
3323,加百裕  ,1563952611,33545748,15169,46.62,49.5,40.65,45.67,47.55,13.9,5.18,34.3,1.72,
3325,旭品    ,419837479,10912284,4668,38.47,40.9,36.2,38.22,40.3,28.58,3.16,17.37,1.85,
3416,融程電  ,137917253,2102969,1396,65.58,69.2,60.5,65.25,63.1,15.32,8.12,4.98,2.51,
3483,力致科技,327443099,4433413,3262,73.85,81,65,74.62,71.7,13.35,4.18,11.03,1.69,
3489,筌寶    ,115362566,5115831,2511,22.55,24.75,19.5,22.26,21.8,42.75,5.02,12.26,1.32,
3521,鴻翊    ,13122759,624198,407,21.02,23.85,19.25,21.11,21.25,N/A,11.38,2,1.38,
3540,曜越    ,133572486,3772830,2330,35.4,40.4,29.05,35.45,30.9,59.42,0,6.45,1.27,
3577,泓格科技,805453513,11970643,7604,67.28,72,58,66.26,69.9,47.88,2.45,27.83,4.42,
3611,鼎翰科技,244970654,3088555,1891,79.31,83.1,75,78.92,82.8,14.84,3.75,11.44,3.46,
3625,西勝    ,273238853,7812545,4466,34.97,39.5,28.3,33.16,30.25,26.77,3.06,22.16,2.27,
3652,精聯電子,127604074,3004797,2030,42.46,45.2,39,42.06,41.2,27.65,6.5,6.31,1.63,
5371,中強光電,6138926955,128923190,50234,47.61,50.2,42.7,47.17,47.6,10.19,4.73,17.81,1.68,
5384,捷元    ,103191437,10750440,2879,9.59,10.35,8.43,9.51,9.4,N/A,16.03,11.64,0.69,
5386,青雲國際,4526759,105427,112,42.94,47.05,35.4,42.67,41.35,46.46,0,1.21,7.57,
5426,振發實業,187608233,10120132,3753,18.53,19.7,17.75,18.59,18.3,11.37,9.16,7.04,1.15,
5438,東友    ,132954351,5020866,2249,26.48,28,24,26.3,26,13.27,2.23,4.46,1.59,
5450,寶聯電腦,119575698,4883495,2496,24.48,29.8,20.05,24.85,24.5,N/A,0,9.69,1.9,
5465,富驊企業,26428139,3523708,1045,7.5,7.99,6.82,7.32,7.06,N/A,0,1.48,1.14,
5474,聰泰科技,250637984,10851912,5634,23.09,25.95,19.5,22.18,22.95,N/A,6.47,32.17,1.65,
5490,同亨科技,1391570163,40646859,16743,34.23,37.6,29.05,33.73,34,17.17,1.93,43.07,2.28,
6105,瑞傳科技,1795467627,48280647,20649,37.18,40.5,32.4,36.1,36,12.86,3.6,43.91,1.5,
6121,新普科技,5626176505,30815913,20174,182.57,195.5,171,181.57,180.5,15.85,3.27,13.3,3.47,
6123,上奇科技,431920254,15379411,6908,28.08,30.1,23.1,27.67,29.15,15.67,4.8,36.15,2.16,
6150,撼訊科技,2832376428,50643414,27946,55.92,65.8,45.5,55.49,52,12.68,0.89,78.79,3.44,
6160,欣技資訊,229376222,5259830,3065,43.6,46.4,40.3,43.52,41.55,25.18,3.48,7.41,2.87,
6161,捷波資訊,551908609,26137983,10249,21.11,23.8,17.5,20.76,19.65,15.85,4.34,25.85,1.22,
6188,廣明光電,2068290187,45291465,21319,45.66,51.8,41.8,45.51,44.25,9.54,7.29,15.89,1.47,
6199,精威科技,126600317,9724388,2463,13.01,13.7,11,12.3,12.1,N/A,0,15.37,1.21,
6219,富旺    ,15401175,565689,424,27.22,30,22.8,26.82,26,60.47,0,0.34,4.17,
6222,上揚科技,25210217,1965513,741,12.82,16.8,10.5,12.92,11.7,N/A,0,5.71,1.44,
6228,全譜科技,138531430,10437402,3363,13.27,14.8,11.6,12.69,12.3,87.86,0,25.39,1.11,
6230,超眾科技,527454512,11570935,6174,45.58,49.45,41.8,45.49,44.5,13.78,5.02,13.4,1.8,
6247,淇譽電子,85837627,4319157,2001,19.87,21.4,18.5,19.74,19.3,12.53,1.05,7.16,1.21,
6298,崴強科技,189440283,9273377,4454,20.42,23.25,17.1,20.18,18.3,366,3.35,5.55,1.3,
8050,廣積    ,370713279,7719522,4847,48.02,53.4,44.1,48.09,47.4,19.92,0,11.24,1.99,
8076,伍豐科技,1046057018,17725304,12042,59.01,69,49.4,59.94,53.6,83.75,2.64,11.5,3.1,
8114,振樺電  ,160550963,2781215,1771,57.72,64.4,51.2,58.1,55.4,14.89,7.9,5.06,3.21,
8210,勤誠興業,550421127,17370380,8433,31.68,35.2,27.2,31.32,29.8,8.1,1.72,15.58,1.83,
8234,新漢    ,110534681,4161202,2365,26.56,30,22.5,26.36,24.85,24.13,8.29,5.15,1.65,
8299,群聯電子,9317305723,47583620,34686,195.8,218,174.5,196.28,205,14.84,2.07,32.27,3.57,
3066,李洲科技,79961266,6726724,2271,11.88,13,10.9,12.15,12.2,N/A,0,4.74,1.35,
3128,昇銳電子,78671829,3247981,1597,24.22,26.5,20.7,24.25,22.8,15.83,4.12,7.73,1.3,
3230,錦明實業,333256680,20838969,7839,15.99,17.45,14.1,15.92,16.2,N/A,3.73,21.09,0.82,
3297,杭特電子,112851545,3344517,2045,33.74,39.5,29.2,34,33.3,16.17,3.12,9.73,1.48,
3339,泰谷光電,1152992533,33535849,14074,34.38,37.5,29.6,34.23,33.4,111.33,0,14.99,2.09,
3362,先進光  ,267962069,6799561,2964,39.4,42.5,36,39.01,39,49.37,0,8.77,3.7,
3434,哲固資訊,34805415,2285880,918,15.22,16.7,13.05,14.62,14.1,N/A,1.89,6.97,1.2,
3452,益通光能,3459119720,76028381,41583,45.49,58.7,37.3,45.11,39.8,N/A,10.05,30.48,0.93,
3455,由田新技,1870389021,42137044,23288,44.38,51.5,34.1,42.38,40,60.61,5.36,81.99,1.55,
3490,單井    ,197611912,4800184,2572,41.16,44.2,37.5,40.91,40,56.34,6,15.91,2.42,
3516,亞帝歐  ,110549101,6766492,2441,16.33,18.7,13.8,16.06,15.3,49.35,15.23,8.82,0.45,
3520,振維    ,45192874,3225886,1519,14,15.2,12.8,14,13.95,28.47,3.83,6.22,0.84,
3522,宏森    ,256365576,8768954,4562,29.23,33.05,24.1,28.99,25.45,18.44,1.57,24.74,1.32,
3523,迎輝科技,1955622914,35880041,17544,54.5,59.7,47.4,53.1,51.7,N/A,3.79,35.46,1.83,
3531,先益電子,80526265,2465631,1279,32.65,36.9,29.05,32.33,30.3,14.57,4.68,4.1,1.04,
3562,頂晶科技,34576346,1045720,808,33.06,37.6,28,33.27,30.4,N/A,2.99,2,1.98,
3615,安可光電,248999997,5042907,3354,49.37,53.5,42.1,48.61,44.4,40.73,0,14.17,1.78,
3623,富晶通  ,1074671422,19911978,13641,53.97,68,41,51.78,42.8,49.2,1.49,34.83,3.72,
3629,卓韋光電,260356129,4713153,2802,55.24,60,50.6,54.93,52,30.23,1.72,18.38,4.31,
3630,新鉅科  ,9424014706,66286755,40135,142.17,175.5,112,142.4,123.5,65.69,0.3,90.41,9,
4729,熒茂光學,197491706,8016457,3846,24.63,27.45,21.15,24.4,22.85,N/A,2.04,12.53,1.17,
5315,光聯科技,87039980,14791842,3490,5.88,6.49,5.04,5.85,5.33,N/A,0,6.29,0.8,
5392,應華精密,3662642708,24327982,16226,150.55,161,137,149.88,149.5,18.03,1.41,32.81,3.51,
5395,圓方創新,5464734,190947,199,28.61,34.4,23.4,27.52,24.5,N/A,0,0.78,2.53,
5432,達威光電,983358,183011,115,5.37,5.8,4.37,5.23,5.3,N/A,0,0.54,2.55,
5443,均豪精密,776645805,48394279,14505,16.04,18.2,13.55,15.82,14.75,N/A,0,21.18,1.23,
6125,廣運機械,632670114,25762578,9867,24.55,27.25,21.7,24.55,23.75,475,10.53,12.14,0.9,
6156,科橋電子,7431534,1303300,518,5.7,6.7,4.76,5.6,5.13,N/A,0,0.99,0.9,
6167,久正光電,49442520,12733182,1451,3.88,5.9,2.69,3.77,2.91,N/A,12.26,7.85,0.76,
6234,高僑    ,337795866,14240907,5438,23.72,26.55,19.65,23.69,23.2,N/A,0.36,19.81,0.7,
6244,茂迪    ,7164987419,75672431,41942,94.68,114,80.1,96.25,92.5,89.81,5.77,20.1,1.8,
6246,臺龍電子,181466877,10100208,3475,17.96,19.65,14.05,17.04,15.15,18.25,0,6.82,2.27,
6278,台表科  ,2423261285,36025256,17848,67.26,73.3,60.4,66.89,64.8,8.77,3.41,18.12,1.68,
6294,智基科技,725704,31434,54,22.89,28.8,17.8,22.68,28.8,N/A,0,0.59,5.42,
8049,晶采光電,1398192622,61301460,21349,22.8,25.45,18.35,22.18,21.85,18.52,0,69.9,2.03,
8053,巨擘科技,127379161,12668134,3246,10.05,11.75,8.13,9.5,8.55,N/A,0,3.08,0.53,
8064,東捷科技,2223178200,88740170,27607,25.05,27.5,21,24.2,26.65,N/A,1.71,67.26,1.65,
8069,元太科技,20554910999,405360680,168639,50.7,62,43.25,50.87,48.65,147.42,0,37.76,2.46,
8071,豐聲科技,58739670,1488899,927,39.45,43.4,35.6,39.13,38.7,78.98,0,4.41,3.56,
8077,冠華科技,6516982,592417,208,11,15,6.56,10.35,6.56,N/A,0,1.58,1.54,
8087,華鎂鑫  ,64723023,4191658,2072,15.44,17.35,13,15.29,14.1,70.5,0,11.9,1.16,
8107,大億科技,2470423171,111529645,36159,22.15,24.7,19.45,21.46,21.4,N/A,4.9,64.9,1.34,
8111,立碁電子,1662610580,63090521,21763,26.35,29.85,23.05,26.06,25.6,45.71,0,53.32,1.89,
8240,華宏新技,653485297,10344871,6320,63.16,71.5,53.2,63.86,57,12.13,0.85,13.59,1.47,
8266,中日新  ,205797981,7710126,3500,26.69,29,23.35,26.26,25,N/A,7.92,10.96,1.85,
3068,美磊科技,2644212705,30573596,15764,86.48,92,73,84.83,90.1,17.63,1.04,43.19,4.01,
3095,及成    ,496777993,26214950,10202,18.95,22.2,15.7,19.03,17.85,N/A,11.14,12.04,0.9,
3152,璟德電子,1673272941,8295890,5955,201.69,219.5,182,203.73,201.5,26.1,1.49,13.22,5.27,
3221,台灣嘉碩,566671888,18986987,8420,29.84,33.4,24.1,29.05,27.05,20.04,2.9,26.72,1.49,
3290,東浦    ,2295749936,121934326,34599,18.82,21.2,16,18.55,19,17.92,2.67,164.07,1.6,
3306,鼎天國際,1504818686,34144247,17175,44.07,50,37.1,43.4,42.6,27.84,1.27,47.23,1.77,
3431,長天科技,101669644,6103200,3044,16.65,20.3,13.45,16.8,15.55,N/A,5.63,12.57,2.14,
3454,晶睿通訊,1556297090,28638391,14675,54.34,60.8,46.2,53.66,56.3,31.99,2.66,49.45,3.09,
3491,昇達科技,205246378,3105655,1879,66.08,71,59.1,65.93,62,20.53,6.92,7.7,2.78,
3499,環天科技,89756023,3473926,1800,25.83,30.25,20.6,26.08,25.15,50.3,4.77,7.19,1.43,
4903,聯光通信,146539746,13217198,3467,11.08,12.35,10,10.95,10.6,30.29,0,17.48,0.94,
4905,台聯電訊,608594069,29003309,7936,20.98,22.5,18.05,20.55,19.9,N/A,1.86,51.34,1.34,
4907,正華通訊,2524991,294085,93,8.58,9.75,7.4,8.56,7.4,N/A,0,1.02,5,
4908,前鼎光電,559774345,10998525,6219,50.89,55,43.1,50.67,49.1,20.81,4.26,16.3,3.37,
4909,新復興  ,355022357,8171457,4581,43.44,49.5,38.2,42.92,41.15,12.39,2.47,10.07,1.81,
5304,鼎創達  ,7219911,1887726,695,3.82,4.42,3.08,3.8,4.07,11,0,1.02,0.94,
5306,訊康科技,41781250,7030601,2234,5.94,6.87,5.01,5.92,5.15,N/A,0,8.75,0.89,
5348,系通科技,40816614,2635037,1285,15.48,17.15,13.5,15.13,14.6,N/A,0,12.11,1.8,
5353,台林通信,80124646,6599547,2107,12.14,13.25,10,11.86,11.05,368.33,1.25,6.79,0.79,
6109,亞元科技,267764075,14498900,5093,18.46,20.6,16.2,18.07,17.4,30.53,0,27.52,1.61,
6143,振曜科技,3017099032,37132749,20581,81.25,92.8,69.3,79.69,88.7,19.76,1.28,54.24,4.43,
6163,華電聯網,174136057,9384894,4264,18.55,21.8,15.35,18.6,17.05,23.04,13.49,10.18,1.27,
6170,統振    ,238721550,10476555,5045,22.78,26.4,19.5,22.84,21.6,N/A,7.98,11.67,1.7,
6190,萬泰科技,391606342,22968787,6178,17.04,18.25,15.25,16.84,16.7,13.36,8.44,19.54,1.35,
6218,豪勉科技,398646385,15385648,6400,25.91,28.3,22.7,25.09,24.35,18.17,5.76,30.29,1.34,
6241,易通展  ,7498574,349725,256,21.44,23.2,19.6,21.51,20.95,18.71,0,1.16,2.87,
6245,立端科技,72731187,3161720,1609,23,26.2,20.15,23.04,21.5,46.74,2.95,4.91,1.47,
6263,普萊德  ,60297004,1925222,1313,31.31,34.8,28.5,31.16,30.15,14.64,7.71,3.41,1.93,
6264,德士通  ,50762845,4022996,1538,12.61,13.8,10.6,12.73,13.2,N/A,0,6.77,1.87,
8034,榮群電訊,165959963,15392190,3998,10.78,12.45,8.86,10.23,9.21,N/A,2.1,24.48,0.89,
8048,德勝科技,154736394,5649005,3120,27.39,30.95,22.25,27.29,24.6,23.21,4.84,12.85,1.87,
8059,凱碩    ,558785174,22192383,11073,25.17,29.9,19.5,24.31,21.4,9.43,2.7,23.97,1.51,
8082,捷超通訊,350476400,16779335,4106,20.88,22.5,18.65,20.8,20.75,N/A,0,33.77,2.04,
8097,鴻松精密,30455380,5024325,1482,6.06,6.8,4.88,6.07,5.62,N/A,0,12.45,1.07,
1333,恩得利  ,213692609,12623171,4988,16.92,18.85,14.5,16.59,16,N/A,1.55,12.31,2.24,
1336,台翰    ,209866497,10726713,4516,19.56,22.55,15,18.89,16.4,N/A,4.46,16.19,0.65,
1815,富喬    ,3630177769,134066729,37492,27.07,31.8,22.4,27.12,25.15,N/A,1,53.77,2.08,
3078,僑威科技,3559951005,88494005,30544,40.22,45.7,34.75,39.55,38.9,20.26,2.11,47.59,2.53,
3089,展成科技,1239043295,87368829,22532,14.18,16.5,10.9,13.2,13.2,101.54,0,167.45,1.2,
3092,鴻碩精密,3009668471,50374414,28024,59.74,73,47.2,57.72,50.5,31.76,2.72,87.02,2.62,
3114,好德科技,378484168,24185861,7983,15.64,17.8,12.15,14.32,13.25,N/A,7.23,49.76,0.83,
3115,寶島極光,17895031,1287145,706,13.9,15.2,12.7,13.88,13.65,N/A,0,3.41,1.57,
3144,新揚科  ,85678971,6646306,1243,12.89,15.2,11.15,12.92,13.1,N/A,0,9.62,3.2,
3191,和進電子,815544271,48841078,16225,16.69,19.9,13.2,16.42,16.7,N/A,2.7,90.19,1.26,
3202,樺晟電子,159361939,7934283,3738,20.08,22.7,17.6,19.84,19.6,12.17,4.08,10.59,1.02,
3206,志豐電子,822120455,31694278,12396,25.93,29.3,21.6,25.06,24.8,22.55,1.47,81.77,1.63,
3207,耀勝電子,94605084,5968113,2277,15.85,17.9,14,15.9,15.2,11.6,3.1,16.55,1.08,
3226,至寶電腦,38390263,1524385,911,25.18,26.8,21.6,25.3,24,N/A,0,5.42,2.8,
3236,千如電機,1301089360,47574891,17402,27.34,31.6,19.75,25.84,21,30.43,3.63,109.48,1.42,
3276,宇環科技,86458447,8679767,2517,9.96,11.15,8.93,9.82,9.23,N/A,0,11.05,1.06,
3288,點晶科技,84610143,3159756,1647,26.77,30,23,26.83,25.55,102.2,0.86,6.35,2.34,
3294,英濟    ,141242649,9154827,2855,15.42,17.4,13.15,15.23,14.1,N/A,2.87,6.72,0.69,
3299,帛漢    ,1129981705,27523818,13982,41.05,44.3,34.1,40.49,38.05,12.81,2.13,55.7,1.78,
3310,佳穎精密,112051377,2811112,1526,39.86,42.2,37,39.79,40,N/A,3.54,8.24,4.02,
3313,斐成企業,463702840,24325321,9379,19.06,20.95,16.15,18.53,17.7,N/A,0,39.54,1.17,
3322,建舜電子,170555613,8512743,3238,20.03,22.5,17.5,19.66,18.9,N/A,0,10.28,1.28,
3332,幸康電子,232054424,5942330,3457,39.05,44.9,33.1,37.78,35.8,16.2,10.47,12.35,1.43,
3354,律勝    ,80751026,3797326,1705,21.26,23.15,18.1,20.39,19.9,N/A,2.94,5.12,1.21,
3390,旭軟電子,174914130,5257551,2397,33.26,35.85,29,33.07,31,10.37,2.61,11.99,1.91,
3465,祥業科技,93196593,7909497,3044,11.78,13.55,10.15,11.51,11.8,N/A,7.14,27.46,1.86,
3484,崧騰    ,663124770,15080767,7970,43.97,48.5,38.6,43.21,42.3,14.05,0,31.55,1.72,
3511,矽瑪科技,178949156,2544521,1829,70.32,74.1,64.5,70.2,69.5,13.55,3,7.99,2.4,
3512,能緹    ,153746580,4290798,2108,35.83,39,30,35.21,33.2,N/A,3.42,11.6,2.07,
3526,凡甲科技,3029662316,27553500,17381,109.95,120,99,109.45,106,10.92,3.68,52.69,3.57,
3537,堡達    ,1335408228,26596600,15181,50.2,62.9,39.65,49.68,41.85,17.81,3.05,68.82,2.24,
3548,兆利科技,313005665,6757788,4542,46.31,50,41.45,45.48,45.25,12.93,2.19,13.43,1.06,
5301,祥裕電子,140810606,15762862,4563,8.93,10.9,6.7,8.19,7.19,N/A,0,34.85,1.38,
5309,系統電子,298632464,24835134,5712,12.02,12.8,11.1,11.97,12.1,22.83,0,18.21,1.39,
5317,凱美電機,1334775589,107509571,25224,12.41,13.6,9.77,12.02,10.85,N/A,2.39,78.83,0.91,
5321,友銓電子,90940817,10505392,3729,8.65,9.57,7.16,8.41,8.24,N/A,0,7,0.92,
5328,華容    ,3881769694,295064337,63339,13.15,14.6,10.6,12.84,12.6,N/A,0,145.25,1.14,
5340,建榮工業,505749017,54250070,12625,9.32,10.25,7.62,8.95,9.41,N/A,0,32.7,1.09,
5345,天揚    ,522601169,29292234,9730,17.84,20.6,14.5,17.55,15.7,N/A,0,58.58,1.27,
5349,先豐通訊,831152109,48419177,16894,17.16,19.8,13.8,16.81,15.5,20.95,0,24.06,1.22,
5355,佳總興業,526736022,23940972,8202,22,25.8,16.8,21.98,19.4,N/A,0,16.67,2.47,
5356,協益電子,5628502476,192077588,63295,29.3,32.5,23.9,28.9,30.1,8.65,0.35,137.2,1.37,
5364,浩騰    ,351843393,30779716,7779,11.43,13.55,9.86,11.2,10.6,N/A,14.33,14.54,1.5,
5381,合正科技,904924276,124965385,23573,7.24,7.7,6.66,7.22,6.94,N/A,0,42.48,0.73,
5398,力瑋實業,78091889,5956884,1850,13.1,13.85,11.85,12.85,12.65,19.17,0,14.27,1.17,
5439,高技企業,627959702,20848849,8147,30.11,32.7,27,29.74,30,14.08,2.57,27.54,2.07,
5457,宣德    ,474296703,38951698,9008,12.17,13.25,11.2,12.08,11.9,N/A,0,16.23,1.76,
5460,同協電子,223343399,13538729,5535,16.49,19,14.35,16.3,15.5,43.06,4.38,18.8,1.24,
5464,霖宏科技,53918203,1708003,1138,31.56,34.2,29,31.35,32.5,16.33,6.52,2.85,1.92,
5475,德宏工業,1407675810,92400097,21290,15.23,17,13.05,15.15,14.7,N/A,0,45.19,1.37,
5480,統盟電子,1174461410,32080936,14627,36.6,40.55,28,34.12,31.4,6.95,0,23.73,2.12,
5481,華韡電子,218778731,12671077,3079,17.26,18.45,14.25,16.58,15.3,N/A,4.71,12.39,0.81,
5488,松普科技,399832525,22377049,6160,17.86,19.15,15.8,17.41,17,36.96,1.68,24.43,1.06,
5491,連展科技,701488013,34062566,12734,20.59,23.5,17.5,20.2,19.2,21.33,2.76,18.94,1,
5498,凱崴    ,154781676,17561402,4461,8.81,9.55,7.58,8.7,8.49,56.6,0,11.04,0.85,
6101,弘捷    ,34917429,4403278,585,7.92,10.3,5.99,8.48,8.2,N/A,0,4.22,5.5,
6107,華美電子,69122194,6054670,2563,11.41,12.6,9.81,11.25,10.65,N/A,0,17.28,1.92,
6114,翔昇電子,506973,106929,52,4.74,5.21,4.13,4.64,4.5,N/A,0,0.3,2.41,
6124,業強科技,197874067,4321108,2240,45.79,49.4,41.9,46.44,45.9,306,2.14,2.24,3.2,
