櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年07月 Jul. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 604,620,685,133元",,,,,4. 加權平均本益比：94.15,,,,,,,,,,,,
,,,,,   註：加權平均本益比已排除極端值（資本額逾全市場發行資本額10％之個股）,,,,,,,,,,,,
   Total Trading Value of Listed Stocks（NTD）,,,,,   Weighted Average P/E Ratio,,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,634,177,890股",,,,,5. 加權平均殖利率： 4.40%,,,,,,,,,,,,
   Total Trading Volume of Listed Stocks（Share）,,,,,   Weighted Average Yield,,,,,,,,,,,,
"3. 櫃檯買賣月總成交筆數： 5,124,562筆",,,,,6. 成交量週轉率： 22.04%（以上櫃股數計算）,,,,,,,,,,,,
   Number of Transactions,,,,,   Turnover Rate,,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
9951,皇田工業,144365453,8069538,2420,17.89,21.3,12.35,15.95,21,NA,15.23,10.77,2.37,,,,
4609,唐鋒實業,19308262,1357045,665,14.22,14.9,13.5,14.28,14.05,3.39,12.81,2.83,1.05,,,,
2035,唐榮公司,2600402449,72710422,26286,35.76,39.5,31.1,34.93,37.1,NA,0,20.77,2.66,,,,
5007,三星科技,182300494,11017128,1542,16.54,17.05,15.2,16.38,16.8,8.48,7.38,5.01,1.04,,,,
5009,榮剛材料,1103949874,57458124,17574,19.21,20.65,17.15,18.98,20,NA,12.5,19.03,1.16,,,,
5011,久陽精密,566046,155587,60,3.63,4.5,1.82,3.14,3.63,NA,0,0.48,4.17,,,,
5013,強新工業,61021724,5557502,1816,10.98,11.4,10.5,10.91,10.7,NA,6.54,6.38,0.79,,,,
5014,建錩實業,57544349,5318929,1838,10.81,11.4,10.25,10.78,10.8,NA,2.77,4.29,0.79,,,,
5015,華祺工業,35331745,2376542,1186,14.86,15.4,14.1,14.86,15.2,8.64,6.57,3.92,0.91,,,,
5016,松和工業,75520653,3259451,1416,23.16,25.2,20.1,22.22,20.45,11.75,12.22,7.23,0.92,,,,
8349,友信    ,4485622,260609,203,17.21,17.6,16.6,17.25,17.5,42.68,3.42,0.43,1.13,,,,
8930,青鋼金屬,30438999,2922578,1120,10.41,11.2,9.29,10.16,10,NA,6.6,6.73,0.76,,,,
9962,有益鋼鐵,75895522,5720497,1977,13.26,14,12.3,13.12,13.45,NA,4.46,7.8,1.34,,,,
2114,鑫永銓  ,29471644,1097243,405,26.85,27.9,25.05,26.97,27.9,11.03,12.54,2.3,1.31,,,,
5102,富強輪胎,13199300,1450734,226,9.09,9.5,8.6,9.14,9.3,NA,5.37,2.5,0.78,,,,
2596,綠意開發,119084218,4461162,2736,26.69,29,24.9,26.36,26.4,6.2,9.46,7.86,1.61,,,,
4416,三圓建設,6407278,87423,103,73.29,78.8,66,72.67,69.8,35.08,3.93,0.15,2.89,,,,
5213,力昕建設,1467341886,42517659,17753,34.51,41.5,20.7,33.12,37.2,21.5,6.72,54.21,2.49,,,,
5505,和旺建設,59636653,3285347,1381,18.15,21.75,16.3,17.73,16.7,26.94,0,8.21,1.39,,,,
5506,長鴻營造,17285297,4713231,704,3.66,3.97,2.68,3.5,,NA,0,3.7,0.37,,,,
5508,永信建設,734715350,12161281,6664,60.41,68.8,55.1,58.85,68.8,11.86,10.9,9.28,2.74,,,,
5511,德昌營造,54165866,3460147,1374,15.65,17.1,14.45,15.33,14.65,9.58,6.82,4.2,0.92,,,,
5512,力麒建設,4293115042,263724170,52726,16.27,17.8,14.45,15.83,15.15,24.84,6.46,65.3,0.89,,,,
5514,三豐建設,118570404,7645210,1435,15.5,16.35,14.35,15.21,15.5,14.9,6.45,7.75,1.13,,,,
5516,雙喜    ,43684871,3536343,1457,12.35,14.5,11.05,12.1,11.6,28.29,6.46,9.23,1.04,,,,
5519,隆大營造,20244100,790214,471,25.61,28.8,22.7,26.27,23.4,18.28,2.73,1.3,1.79,,,,
5520,力泰建設,4259571,185261,148,22.99,24.7,21.8,23.48,22,7.14,5,0.26,0.91,,,,
5521,工信    ,1373933180,109369297,23643,12.56,13.4,11.5,12.37,11.7,NA,6.83,31.47,1.06,,,,
5523,宏都建設,564850382,34413173,11120,16.41,17.8,13.4,16.02,17.1,NA,8.94,31.48,1.48,,,,
5529,志嘉建設,94122019,8608189,2830,10.93,12.65,9.3,10.64,10.4,5,0,19.49,0.66,,,,
5530,大漢建設,67022441,5497805,1297,12.19,12.4,11.8,12.18,12.25,NA,0,1.79,1.87,,,,
2636,台驊國際,58083371,3093451,1081,18.77,19.9,18.2,18.71,19.25,9.87,6.23,6.32,1.12,,,,
5601,台聯貨櫃,10468430,624555,345,16.76,19.2,15.6,17.41,17.2,68.8,1.27,0.87,0.87,,,,
5603,陸海交通,12449542,1533826,602,8.11,8.6,7.7,8.1,8.16,18.98,6.12,2.44,0.63,,,,
5604,中連貨運,76220953,3761857,1673,20.26,21.65,18.65,19.72,19.2,13.52,8.07,3.46,0.93,,,,
5609,中菲行  ,650221255,26938905,10976,24.13,25.95,22.4,23.75,23.5,12.77,8.46,23.22,1.68,,,,
5701,劍湖山  ,6783164769,420708439,99283,16.12,17.4,14.4,16.01,15.45,NA,0,101.21,1.38,,,,
5703,亞都麗緻,23801326,827537,555,28.76,30,27.15,28.6,28.8,NA,0,1.18,2.68,,,,
5704,老爺知  ,9783132,473558,242,20.65,21.6,20,20.76,21,NA,1.42,0.79,1.85,,,,
5706,鳳凰國際,1173065945,15203417,9708,77.15,83.5,72.2,75.84,77.6,28.63,2.1,41.29,3.94,,,,
5820,日盛金控,2612207065,473132636,50438,5.52,6.1,5.21,5.39,5.26,NA,0,10.46,0.59,,,,
6008,凱基證券,9660425580,591121958,102462,16.34,17.35,15,16.21,16.3,NA,0.92,23.29,1.26,,,,
6015,宏遠證券,239474616,29655309,7354,8.07,8.4,7.49,8.02,8.04,NA,0,6.9,0.94,,,,
6016,康和證券,1276200795,121942579,23626,10.46,11.1,9.6,10.32,10.2,NA,6.56,18.61,0.89,,,,
6020,大展證券,19718767,1323774,631,14.89,15.6,13.95,14.78,14.9,NA,8.12,0.57,1.1,,,,
6021,大慶證券,206222787,15389750,4194,13.4,14.2,11.95,13.08,13.2,NA,4.92,5.79,1.15,,,,
6022,大眾證  ,1181590463,72918812,16331,16.2,17.1,14.75,16.08,16.2,NA,7.28,24.31,1.36,,,,
6023,寶來期  ,343624945,8147353,4593,42.17,45.35,39.9,41.68,40,8.57,7.5,6.21,1.73,,,,
6024,群益期  ,279232392,7740208,3974,36.07,39.05,33.5,35.55,33.9,6.75,6.25,10.29,1.73,,,,
2916,滿心企業,19595228,1583026,505,12.37,13.5,11.9,12.36,13.2,77.65,2.27,3.75,0.83,,,,
2921,特力和樂,143461924,5833775,1348,24.59,24.7,23.8,24.55,24.55,21.35,8.92,13.84,1.51,,,,
5902,德記洋行,13584985,6243122,502,2.17,2.35,2,2.16,2.19,NA,0,2.71,0.94,,,,
5903,全家    ,15813897,291556,300,54.23,56.9,53,54.22,56.2,17.08,4.09,0.13,3.3,,,,
5904,寶雅國際,131085156,4602401,2304,28.48,30.65,25.9,28.07,26.1,8.45,10.34,6.36,1.4,,,,
5905,南仁湖  ,984138828,77306334,19167,12.73,13.5,11.5,12.47,12.6,NA,0,44.23,1.02,,,,
8941,關中    ,83470384,7003534,1981,11.91,13.5,9.11,10.92,12.2,NA,7.37,7.62,0.79,,,,
9960,邁達康  ,13090226,798336,359,16.39,19,14.55,16.21,17.7,12.38,11.41,3.41,1.19,,,,
1584,精剛精密,19569903,1452756,741,13.47,14.1,12.4,13.49,13.55,NA,0,2.52,0.69,,,,
2221,大甲    ,9795679,1011300,357,9.68,10.55,8.71,9.54,10.25,NA,14.63,2.38,0.61,,,,
3284,太普高  ,15000083,1543869,478,9.71,10.7,8.65,9.33,10.3,128.75,0,3.73,0.98,,,,
3388,崇越電通,331330569,6178118,4022,53.62,58,49.1,52.88,55.3,13.36,5.42,11.1,1.43,,,,
5312,寶島科  ,2199608910,36260902,19076,60.66,72,44.8,58.68,63.9,25.16,3.12,60.37,3.88,,,,
8390,金益鼎  ,176084327,4518388,2683,38.97,42,36.2,38.3,38.8,34.95,3.89,8.02,2.12,,,,
8705,東隆五金,30298168,1212024,857,24.99,27.15,23.6,24.49,26.1,7.52,3.06,1.46,1.94,,,,
8905,裕國    ,19114554,1278340,504,14.95,16,14,14.72,16,NA,1.25,1.07,1.3,,,,
8906,花王企業,8615255,1956181,465,4.4,5.05,4,4.29,4.68,NA,0,3.81,0.52,,,,
8913,華夏資融,18324575,1677254,817,10.92,11.8,10.3,10.82,10.6,NA,0,4.77,1.05,,,,
