櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3219,倚強科技,322822555,7350546,4452,43.91,51.4,35.9,42.9,43.85,15.02,1.36,19.69,3.39
3227,原相科技,16724716303,74302728,52287,225.08,253.5,187.5,221.14,243.5,14.21,3.28,63.71,6.12
3228,金麗科  ,903177360,7543684,5813,119.72,143,98.5,116.19,115.5,35.65,1.45,15.61,6.77
3252,宏連科技,356936215,32073644,6893,11.12,12.5,8.63,11.24,12.5,NA,0,36.53,1.24
3259,鑫創科技,57769947,1920805,1258,30.07,35,23.5,30.25,31.6,NA,7.91,3.37,1.55
3260,威剛科技,4436218346,71750330,37116,61.82,70,53.7,61.11,63.5,16.89,0,41.92,1.77
3264,欣銓科技,1206420443,56492339,16828,21.35,23.85,18.25,21.49,22.75,10.25,8.7,14.11,1.55
3265,台星科  ,295603927,21133866,7324,13.98,16.2,12.2,14.11,13.6,12.14,11.91,7.76,1
3268,海德威  ,46352025,801834,648,57.8,63.7,52,57.64,56.7,42,0.52,2.88,3.75
3298,圓創科技,475067965,13306344,7028,35.7,45.8,27.8,36.2,36.6,16.94,4.26,30.28,2.19
3317,尼克森  ,2355805012,21067114,14714,111.82,141,81.5,106.6,106.5,13.21,2.81,43.06,3.32
3372,典範    ,1098832517,60361959,16482,18.2,24.05,15.7,19.91,18.5,10.88,10.81,26.22,1.42
3438,類比科  ,2090862306,15288855,11474,136.75,165,107,131.95,135,16.63,7.27,40.28,4.96
3527,聚積    ,937771128,3886411,3070,241.29,293,205,245.64,242.5,19.22,2.47,14.7,7.91
5302,太欣半導,507216348,19238710,7757,26.36,36.8,20.7,27.2,25,NA,2,11.93,2.16
5314,世紀民生,36067293,3577581,1588,10.08,11.95,8.46,10.12,9.66,NA,1.44,3.19,1.03
5324,華昕電子,6217801,2151291,254,2.89,3.4,2.4,2.84,3.4,NA,0,1.83,6.67
5326,漢磊科技,2561012165,118004871,42306,21.7,24.9,17.45,21.22,22.1,9.87,4.52,35.71,1.78
5344,立衛科技,3726376,318550,153,11.69,16.6,8.6,13.54,14,24.14,0,0.43,3
5346,力晶    ,14353815501,1101005761,161956,13.03,14.05,11.6,12.87,13.8,6.3,17.82,14.08,0.91
5347,世界先進,2020313042,82068383,22351,24.61,26.5,22.15,24.57,24.3,9.8,6.13,4.83,1.85
5351,鈺創科技,2147887281,73665091,28007,29.15,33.85,24.35,28.96,28.7,8.42,6.09,19.36,1.45
5387,茂德科技,6991395098,817194546,112931,8.55,9.43,7.7,8.38,8.7,10.36,11.72,12.18,0.72
5425,台半    ,7598216538,159865622,66021,47.52,54.4,40.25,47.14,48.75,35.85,1.96,64.7,3.28
5455,訊利電業,96496646,5587955,2605,17.26,19.45,14.5,16.83,16.75,9.41,3.4,18.13,1.33
5466,泰林科技,373392018,21251238,6916,17.57,20.5,15.6,17.76,17.6,6.09,11.93,7.22,1.04
5468,台晶科技,36979898,1667242,1016,22.18,27.3,16.7,21.82,19,NA,0,2.16,2.4
5483,中美晶  ,26155373677,108940987,69807,240.08,265,199.5,237.3,265,33.04,1.39,54.91,8.96
5487,通泰    ,189570611,9036277,4422,20.97,24.75,16.9,20.72,21.4,13.29,4.67,19.86,1.35
6103,合邦電子,288063004,24489369,7877,11.76,13.55,9.8,11.47,11.6,NA,25.43,23.07,1.48
6104,創惟科技,787487461,17446687,10148,45.13,56.1,35.9,45.46,43,19.2,2.18,21.87,2.29
6129,普誠科技,1540115965,61540651,26079,25.02,29.9,19.8,24.24,24.45,16.63,3.55,35.61,1.87
6130,亞全科技,98985910,2203584,1727,44.92,57.3,34,44.99,43,186.96,0,7.98,7.65
6138,茂達電子,6406530978,93618831,48198,68.43,84.2,52.4,67.34,71.8,25.19,0.77,82.53,4.3
6147,頎邦科技,1502690996,48413416,16835,31.03,36.4,26.35,31.95,32.4,9.85,3.73,15.59,1.65
6182,合晶科技,25562994375,150717995,98473,169.6,191.5,140,167.88,189,31.45,1.59,66.57,9.07
6186,晶磊半導,135157580,8565714,3415,15.77,18.6,13.05,15.57,16.55,NA,2.77,12,2.4
6198,凌泰科技,21176568,1337027,717,15.83,19,13.8,16.23,15.8,NA,5.69,3.87,1.27
6223,旺矽科技,873312020,8560830,5884,102.01,115,86.6,101.95,102,15.34,3.46,13.44,3.68
6229,研通科技,530076979,21252167,10023,24.94,30.5,19.3,23.83,23.8,15.06,8.36,60.44,2.01
6233,旺玖科技,2561715245,84958597,32890,30.15,36.9,22.75,30,34.65,41.75,2.94,97.8,2.22
6236,凌越科技,325170,101000,37,3.21,3.68,2.48,3.22,3.38,NA,0,0.17,2.1
6237,驊訊電子,2499336110,21966718,15898,113.77,136,89.7,114.6,117,16.39,4.68,37.56,5.13
6243,迅杰科技,7413130280,70745503,43540,104.78,128.5,82,103.46,110.5,15.41,2.92,110.04,4.96
6261,久元電子,1099004183,13115694,8528,83.79,91.8,73.5,83.7,86.1,12.74,5.79,15.59,2.9
6287,元隆電子,274388769,20820251,6805,13.17,14.9,11.8,12.94,12.85,NA,0,10.3,1.72
6291,沛亨半導,101400403,3886914,1928,26.08,29.5,22.45,26.35,26.3,NA,7.94,8.53,2.47
8024,佑華微電,438538651,10798093,6595,40.61,47.85,33.95,40.17,40.7,9.81,6.14,19.34,2.32
8040,九暘    ,3302593793,54174725,31295,60.96,69.5,50.3,59.23,60.1,40.07,2.49,66.28,4.18
8054,安國國際,6009043784,57403137,39141,104.68,121.5,85.7,103.95,107.5,25.84,3.22,86.09,4.62
8066,福葆電子,12508237,2312406,581,5.4,9.36,3.67,5.94,8.1,NA,0,9.98,0.92
8079,誠遠科技,69471883,4775054,1980,14.54,16.9,12.7,14.65,14.2,7.8,10,8.36,1.02
8081,致新    ,2732826864,14224326,11061,192.12,228,162,193.14,212.5,17.58,3.29,23.32,6.22
8084,巨虹電子,461907703,13399986,5153,34.47,38.05,28,32.01,31.6,NA,0,33.14,2.56
8088,品安科技,172759301,11839503,4534,14.59,18.05,11.75,14.55,13.8,NA,4.71,26.85,0.92
8261,富鼎先進,2210969005,59899828,26654,36.91,42.2,29.25,36.5,39.6,19.41,3.33,50.91,2.31
8277,商丞科技,79651685,6040178,2525,13.18,15,11.3,12.84,12.95,NA,11.42,9.42,1.13
1569,濱川企業,11093126,483426,275,22.94,24.4,20.95,23.29,23.5,12.24,9.78,0.88,1.3
3069,寶晟科技,3305007,222029,186,14.88,16.3,13.75,15.03,14.5,NA,3.93,0.83,1.41
3071,協禧電機,47733778,6079918,2055,7.85,9.39,6.41,7.99,8.13,NA,8.61,6,0.8
3088,艾訊    ,586632025,12962153,7542,45.25,53.8,38.95,46.19,48.05,11.5,8.3,17.85,2.83
3126,信億科技,7214916,275055,191,26.23,27.9,24.8,26.22,25.4,NA,2.75,0.78,2.36
3171,天馳科技,15160146,1342564,638,11.29,12.95,9.58,11.2,10.6,20.38,6.41,3.54,0.94
3211,順達科技,6621385043,61124056,31638,108.32,123,90.5,107.21,105.5,13.65,3.65,60.67,3.62
3213,茂訊電腦,370034232,3158266,2569,117.16,126.5,104.5,115.69,119,14.48,5.63,8.38,6.3
3217,優群科技,202897115,7825361,3326,25.92,27.75,23.5,25.48,26.65,10.25,3,10.62,1.6
3323,加百裕  ,1753516572,22062896,13788,79.47,90,69.2,79.33,81.8,14.35,2.44,29.71,3.66
3325,旭品    ,225876496,6095169,3160,37.05,43,32.1,38,36,11.61,5.55,10.95,1.64
3416,融程電  ,249673067,2444157,1826,102.15,116,90,101.36,99,18.54,4.04,8.15,3.52
3483,力致科技,1429083999,11707933,6134,122.06,164.5,102.5,132.78,127,14.4,3.93,33.76,4.21
3489,筌寶    ,58084981,1269538,759,45.75,48,40,45.39,47.55,11.06,5.25,3.6,2.51
3521,鴻翊    ,65923134,1696440,1195,38.85,42,32.6,38.25,41.4,11.86,9.66,5.29,1.97
3540,曜越    ,498885348,6745764,4274,73.95,82,63.1,71.09,70.9,9.49,4.23,15.96,3.5
5371,中強光電,2937343101,70605357,27966,41.6,46.6,36.5,41.95,43.6,8.76,8.02,10.17,1.78
5384,捷元    ,359238216,22852637,8154,15.71,18.9,12.3,15.51,15.35,5.33,2.99,23.37,0.98
5386,青雲國際,179134,19265,23,9.3,10.05,8.65,9.69,9.7,NA,0,0.11,3.31
5426,振發實業,203566608,13248687,4354,15.36,17.5,13.65,15.68,16.3,8.58,13.06,8.83,1.16
5438,東友    ,747367981,19033240,7482,39.26,46.7,34.55,40.08,40.5,8.96,7.9,16.66,2.57
5450,寶聯電腦,35891102,2469994,556,14.53,15.2,12.85,14.51,14.6,486.67,1.71,4.44,1.16
5465,富驊企業,17751577,2716812,918,6.53,8.58,5.6,7.18,6.7,NA,14.92,2.25,0.53
5474,聰泰科技,549708960,10391420,3927,52.9,58.5,40,49.89,42.5,13.16,5.88,30.81,2.96
5490,同亨科技,377945225,13463243,6202,28.07,33.8,24.3,28.43,28.4,6.88,7.28,13.05,1.91
6105,瑞傳科技,714369305,11769872,6367,60.69,65.7,53.2,60.23,62.6,12.02,6.7,11.77,2.9
6121,新普科技,3640748943,22922257,14076,158.83,170,137,159.21,162.5,16.63,3.38,13.56,3.92
6123,上奇科技,18498179,959623,553,19.27,22.9,16.5,19.52,19,9.22,6.31,2.47,1.51
6150,撼訊科技,128852181,6445566,3267,19.99,23.6,17.05,19.4,20,14.29,2.95,9.89,2.13
6160,欣技資訊,348502212,4094385,2940,85.11,91.6,76.1,84.06,84,12.82,5.71,5.77,4.88
6161,捷波資訊,311244777,18368545,7413,16.94,20.4,13.45,16.62,16.05,11.38,5.85,19.13,0.96
6188,廣明光電,960209383,22185789,8679,43.28,45.9,39.5,43.21,44.1,10.07,6.68,8.02,1.7
6199,精威科技,79479995,5857432,1300,13.56,15.55,11.95,13.8,14.05,33.45,15.8,9.23,1.2
6219,視達科技,8363718,1320072,554,6.33,7.24,5.48,6.34,5.95,37.19,0,2.36,1.02
6222,上揚科技,88265280,9098979,2720,9.7,12.3,8.3,10.22,9.7,NA,4.22,14.75,0.68
6228,全譜科技,31213862,3088261,945,10.1,11,8.8,9.66,9.7,12.44,9.07,7.69,0.9
6230,超眾科技,604071900,18858438,8135,32.03,37,26.05,31.02,31.75,10.02,3.46,24.03,1.39
6232,仕欽科技,2354150601,189242018,41343,12.43,13.6,10.1,12.5,13.05,NA,8.73,46.46,0.97
6247,淇譽電子,50529300,2264000,1183,22.31,22.8,21.5,22.32,22.1,43.33,1.26,3.75,1.57
6298,崴強科技,184106210,6307324,3213,29.18,34.8,25.45,30.01,29.35,10.33,6.81,4.27,1.83
8050,廣積    ,1933311178,21548576,14755,89.71,106.5,76.9,89.83,91.7,12.19,3.58,39.15,3.27
8076,伍豐科技,11847916356,35024691,28812,338.27,421,275,341.45,314,41.42,2.94,34.74,15.14
8114,振樺電  ,115533726,1290325,1014,89.53,100,82.5,91.72,95.1,12.21,7.36,2.5,4.64
8210,勤誠興業,53538763,2487958,1186,21.51,24.45,19.2,22.08,23,10.45,8.69,2.6,1.64
8234,新漢    ,247634890,4819992,3257,51.37,56.8,45.1,50.68,52,14.33,4.23,8.1,3.13
8299,群聯電子,13427347945,61524684,45191,218.24,278,170.5,220,218,13.55,3.04,61.41,4.8
3066,李洲科技,289690117,13221988,6740,21.9,28.05,17.45,22.53,21.4,NA,5.04,9.05,1.5
3080,威力盟  ,3042590828,39576361,21946,76.87,84.1,63,75.17,81.5,16.07,5.52,24.7,2.72
3128,昇銳電子,222382753,5792239,3362,38.39,44.7,32,38.28,39.25,12.11,6.36,13.79,2.63
3230,錦明實業,108614578,4373661,2076,24.83,30.5,21,25.94,25.2,10.33,11.38,5.48,1.14
3297,杭特電子,147071598,3065085,1738,47.98,59.5,42,50.93,52,11.04,5,9.5,2.11
3339,泰谷光電,320577243,9475495,4615,33.83,37.6,29.5,33.71,36.2,NA,1.65,11.32,2.06
3362,先進光  ,12037362,771465,459,15.6,17.4,14.35,15.47,14.95,NA,7.35,2.58,1.39
3452,益通光能,4171765033,14628859,11986,285.17,315,232,282.19,312,21.79,4.48,24.12,5.72
3455,由田新技,23646969,634164,436,37.28,38.5,35,37.03,36.1,15.3,16.7,1.26,1.56
3490,單井    ,86291205,2077881,1252,41.52,45,36.5,40.9,41.7,12.64,7.19,7.58,2.91
3516,亞帝歐  ,167886612,4378797,2412,38.34,41.3,33.1,37.43,37,37.76,8.1,6.02,0.96
3520,振維    ,98872575,3957919,667,24.98,27,22.2,25.11,24.3,9.76,8.23,7.97,1.49
3522,宏森    ,59294921,1397438,1023,42.43,48.2,35.2,40.19,38.5,12.88,2.59,3.93,2.43
3523,迎輝科技,1455203873,12302936,7868,118.28,149.5,91.1,117.81,111.5,11.98,10.76,13.62,4.54
5315,光聯科技,112127472,14205214,3718,7.89,9,6.91,7.81,7.5,NA,2.66,5.92,0.82
5392,應華精密,1626801651,12104962,8047,134.39,164,107.5,134.23,150.5,17.77,1.56,20.66,8.15
5395,普揚科技,1157962,150829,88,7.67,9.9,6.73,8.32,8.39,NA,0,0.4,1.21
5432,達威光電,342132898,17384051,6165,19.68,22.9,16.55,19.4,18.7,20.78,1.6,21.31,1.73
5443,均豪精密,424090611,22704486,7971,18.67,21.05,15.95,18.35,20.65,NA,4.79,9.99,1.52
6125,廣運機械,609038014,15386742,7505,39.58,45.4,34.55,40.24,41.3,10.1,7.23,10.49,1.59
6156,科橋電子,832674675,53826200,16006,15.46,17.25,12.75,15.24,15.6,NA,6.08,27.02,1.09
6164,華興電子,382295064,13217436,6315,28.92,32,25.3,28.85,28.95,16.54,4.38,12.67,2.31
6167,久正光電,270129346,25152813,7618,10.73,13.7,8.8,11.01,10.75,59.72,0,14.95,0.92
6226,光鼎電子,72431561,4806310,1908,15.07,16.8,13.8,15.05,15.3,20.13,3.92,7.31,1.22
6234,高僑    ,118975283,4063301,1981,29.28,32.9,26.5,29.38,29.65,12.67,9.44,5.99,0.73
6244,茂迪    ,13053711718,48063638,35256,271.59,304.5,235,270.52,297.5,22.33,3.57,23.32,4.73
6246,臺龍電子,15631018,3366546,1004,4.64,5.29,4.09,4.65,4.68,NA,4.27,2.36,0.64
6278,台表科  ,1827443100,33146935,15260,55.13,67.3,46.55,58.03,56.7,8.13,6.17,23.65,1.79
6294,智基科技,1019858,319873,72,3.18,3.33,2.75,3.03,2.89,NA,0,0.62,1.52
8049,晶采光電,224179919,15844414,6945,14.14,18.25,11.3,14.34,14,50,2.78,25.27,0.85
8053,巨擘科技,61614415,5161092,1694,11.93,13.65,10.3,11.59,11.4,NA,8.77,1.19,0.5
8064,東捷科技,248021319,8138705,4041,30.47,35,25.4,30.91,32.2,9.25,18.66,6.66,1.49
8069,元太科技,11325771345,237609042,95903,47.66,53.9,39.4,47.04,46.1,40.09,0.95,40.55,3.8
8071,豐聲科技,6060737,1167563,289,5.19,6.12,4.28,5.18,4.55,NA,32.96,2.93,0.83
8077,冠華科技,18817731,2969408,362,6.33,6.58,5.7,6.42,6.54,NA,0,5.57,0.49
8087,華鎂光  ,3102430,349000,132,8.88,9.52,7.31,8.7,9,NA,1.11,0.94,0.63
8107,大億科技,604749090,21268622,8801,28.43,32.85,23.35,27.73,27.5,30.22,0,12.48,1.64
8111,立碁電子,705392946,26044284,11344,27.08,35.95,22.3,29.11,27.5,35.71,6.18,33.88,1.98
8240,華宏新技,664765694,10373410,7188,64.08,73,55,63.02,62.5,13.92,8,14.43,1.73
8266,中日新  ,1397733329,33890838,14532,41.24,49.3,33.35,40.65,41.2,62.42,0,53.62,3.1
3095,及成    ,2853941825,59989658,25945,47.57,51.8,39.1,46.8,51.8,11.24,6.75,41.36,1.76
3221,台灣嘉碩,122542888,3431417,1284,35.71,43.7,32.5,38,36.5,14.6,10.41,5.4,1.98
3290,東浦    ,28461975,3803486,1092,7.48,8.3,6.97,7.43,7.78,NA,15.03,5.12,0.95
3306,鼎天國際,647110737,13335597,6781,48.52,56.7,37.8,46.18,45.3,35.95,2.64,20.08,2.11
3419,譁裕實業,270917577,7978463,3767,33.95,41.7,29,35.08,33.1,14.15,6.01,11.16,1.72
3431,長天科技,438555331,9786644,6246,44.81,51.2,36.4,43.14,42.05,27.48,7.15,22.54,2.84
3454,晶睿通訊,1537760827,19526258,11428,78.75,89.3,66,77.17,77.3,20.4,5.95,37.15,3.98
3499,環天科技,960279464,19643079,12080,48.88,54,42.25,47.88,49.7,21.06,10.06,44.29,2.52
4903,聯光通信,114089516,13675939,3861,8.34,10.5,6.7,8.6,8.05,NA,0,18.73,0.82
4905,台聯電訊,85166885,5960947,1987,14.28,15.9,12.3,13.98,13.7,14.12,3.64,10.09,0.96
4907,正華通訊,117355623,10928696,1810,10.73,11.6,9.05,10.36,9.7,NA,0,20.68,1.68
4908,前鼎光電,253322246,5341245,3397,47.42,57.7,39,48.43,46.95,11.92,9.58,9.64,3.41
4909,新復興  ,171711725,3249299,1977,52.84,59.6,48,52.75,54,10.57,6.35,4.33,2.58
5304,大霸電子,2406672,518862,378,4.63,5.37,4,4.69,4,NA,0,0.42,0.77
5306,訊康科技,14732621,2903576,823,5.07,5.53,4.55,5.06,4.75,NA,0,4.13,0.59
5348,系通科技,12595874,404100,273,31.17,36.5,25.6,29.79,29.5,12.72,0,1.86,3.01
5353,台林通信,73379925,7303524,2511,10.04,12.35,8.3,10.08,10.1,24.05,4.85,7.24,0.74
6109,亞元科技,37522905,3468086,728,10.81,12.1,9.25,10.47,10,16.67,15,7.11,0.95
6143,振曜科技,716357589,15516041,7658,46.16,62.7,37.15,48.41,46.95,11.71,4,31.34,3.32
6152,百一電子,546112288,15536596,6568,35.15,41,30.5,36.1,39,13.13,0,13.85,2.25
6163,華電聯網,395281926,19894260,7216,19.86,22.7,17.85,19.3,22.7,14.65,7.92,29.41,2.37
6170,統振    ,200874160,8707345,4254,23.06,28.65,19,23.75,23.4,12.45,7.26,11.86,1.61
6190,萬泰科技,235394421,13233770,4061,17.78,19.4,15.75,17.89,18.95,10.19,5.8,11.93,1.38
6218,豪勉科技,36707937,1763047,786,20.82,22.8,19.2,21.05,21.2,12.85,18.86,3.47,1.16
6241,享承科技,2203409,326151,27,6.75,7.35,5.58,6.53,5.95,NA,0,0.37,3.36
6245,立端科技,184740247,4834023,2785,38.21,45.1,31.65,38.37,36,15.65,1.27,9.1,2.28
6263,普萊德  ,138163376,3299617,2214,41.87,49,36.9,43.24,43.9,10.05,8.2,6.39,2.82
6264,德士通  ,43511790,4467989,1407,9.73,11.85,8.2,10.21,10,NA,25,7.57,0.95
8034,榮群電訊,64939937,6753661,2301,9.61,11.25,8.2,9.69,9.77,NA,7.98,9.99,0.93
8082,捷超通訊,67391890,6908486,2048,9.75,11.4,8.21,9.72,9.67,NA,11.37,11.38,0.9
8097,鴻松精密,118178271,9709742,3125,12.17,13.8,10,11.35,13.8,NA,11.01,20.37,2.16
1333,恩得利  ,104071202,6887202,2886,15.11,17.85,12.7,14.85,14.15,141.5,3.03,8.3,0.87
1336,台翰    ,82333664,1604527,927,51.31,58.4,42,48.3,45,11.11,6.66,2.61,1.6
1582,信錦    ,550139251,4770203,1885,115.32,134.5,96,116.57,111,13.5,6.75,11.49,3.67
1815,富喬    ,387765157,16756685,5048,23.14,25.95,21,23.57,25.8,11.03,7.75,7.36,1.81
2059,川湖科技,488421685,2621332,2029,186.32,199.5,168,185.64,182,24.07,2.47,3.52,6.83
3078,僑威科技,251662136,14097251,4272,17.85,20.1,16.1,17.89,17.7,10.11,7.9,9.37,1.24
3089,展成科技,10976374,1506991,626,7.28,7.85,6.61,7.41,7.36,NA,4.07,2.76,0.64
3090,日電貿  ,328463827,8515777,4675,38.57,42.8,34.45,38.1,38.8,9.28,9.02,12.37,1.91
3099,頂倫企業,491056282,51811269,10688,9.47,10.7,7.8,9.32,9.39,NA,5.21,21.58,0.77
3114,好德科技,27568950,1718860,738,16.03,18,14.35,16.38,16.2,8.1,12.34,3.8,0.84
3115,寶島極光,9106951,911836,427,9.98,11.9,7.96,10.26,9.91,70.79,20.18,4.41,0.83
3144,新揚科  ,89031135,6191224,1771,14.38,15.85,13.2,14.34,15.6,NA,3.78,7.8,1.2
3191,和進電子,73021647,4221942,1815,17.29,20.1,14.7,17.74,18.15,13.15,11.57,8.21,1.19
3202,樺晟電子,122524807,4825696,2137,25.39,30.6,21.85,26.65,28.55,14.64,7.32,7.55,1.73
3206,志豐電子,24363187,1308359,726,18.62,20.65,16.85,18.94,19.45,13.7,9.25,3.55,1.31
3207,耀勝電子,197052753,13340090,4165,14.77,17.85,12.6,15.3,17.1,17.81,3.5,38.64,1.24
3226,至寶電腦,62010611,2649214,1427,23.4,28.25,19.7,24.83,25.5,8.82,11.76,7.32,1.86
3229,晟鈦    ,228133397,11941691,4854,19.1,22.6,14.25,18.19,21.4,17.69,8.41,24.83,1.72
3236,千如電機,24322576,1857973,791,13.09,15.3,11.8,13.47,13.45,17.47,8.17,4.09,0.95
3276,宇環科技,187134100,8333034,2667,22.45,23.8,20,22.23,22.8,10.96,0,10.61,2.02
3288,點晶科技,1009444283,19055498,10575,52.97,62.1,44.3,52.92,57.4,16.49,3.29,48.52,4.07
3294,英濟    ,398259404,9438694,4488,42.19,47.8,35.4,41.49,42.25,14.77,7.1,7.59,2.21
3296,勝德國際,461619763,9118439,4406,50.62,59.2,42.3,51.08,52.4,10.54,7.32,8.64,2.7
3299,帛漢    ,30023233,1390966,766,21.58,24.55,19.2,22.16,20.75,11.34,3.08,3.19,1.12
3313,斐成企業,176318486,4015896,2870,43.9,52.7,35.45,43.16,41.9,17.03,11.93,6.64,1.72
3354,律勝    ,69496429,4295373,514,16.17,18,14.2,15.84,15.8,225.71,8.22,5.79,0.92
3369,鐵研科技,305635734,13011249,5767,23.49,26.35,20.2,22.8,23.75,NA,1.05,17.19,1.71
3376,新日興  ,2269347673,12082662,7166,187.81,217,158.5,192.47,191,18.4,2.61,10.83,5.1
3390,旭軟電子,25585916,1025285,520,24.95,27.5,23.2,25.25,27.4,22.1,5.47,2.75,1.98
3484,崧騰    ,50231515,1300864,852,38.61,41.2,36.1,38.19,38.1,10.3,5.24,4.02,1.94
3512,能緹    ,412059292,9647391,5924,42.71,51,33.4,39.32,37.1,17.42,6.82,30.15,1.85
3526,凡甲科技,120303581,1558347,1309,77.19,88.1,66.5,76.67,72,14.09,5.55,4.16,3.74
5301,祥裕電子,5609263,993724,352,5.64,6.3,5.03,5.71,5.26,NA,0,1.12,1
5309,系統電子,33680814,4593968,1595,7.33,8.9,6,7.64,7.2,NA,6.94,3.52,0.78
5317,凱美電機,140590802,11971867,3411,11.74,13.2,10.35,11.66,12.4,8.99,8.06,8.95,0.98
5318,佳鼎科技,7720199,4418504,509,1.74,1.9,1.52,1.75,1.71,NA,58.47,1.47,0.86
5321,九德電子,29792094,2641960,1189,11.27,12.6,10.05,11.04,10.8,6,0,1.17,1.59
5328,華容    ,60984699,6281123,1463,9.7,10.55,8.5,9.78,9.93,NA,0,3.76,1.01
5340,建榮工業,196994519,28564864,3938,6.89,7.9,6.28,7.1,6.89,34.45,2.9,17.22,0.66
5345,天揚    ,40747496,4102868,1493,9.93,12,7.8,9.79,9.15,NA,0,8.21,0.37
5349,先豐通訊,25334261,2791181,857,9.07,9.8,8.28,8.99,8.94,NA,11.18,1.37,0.75
5355,佳總興業,267819518,15358215,5728,17.43,21.2,14,16.94,16.1,61.92,4.96,13.05,1.45
5356,協益電子,161640618,16609140,4087,9.73,10.9,8.65,9.54,9.42,17.44,2.12,11.86,0.52
5364,浩騰    ,1216851378,41550078,13232,29.28,39.8,22.7,30.44,28,6.98,1.6,26.66,1.79
5381,合正科技,146206611,25355252,5107,5.76,7.08,4.99,5.99,5.9,NA,6.77,10.14,0.55
5398,力瑋實業,4264953,583216,222,7.31,7.94,6.51,7.28,7.1,NA,14.08,1.08,0.85
5439,高技企業,125820384,5413003,2332,23.24,27.5,19.3,23.63,23.25,11.02,10.75,7.33,1.7
5457,宣德    ,99269299,14758591,3791,6.72,8.2,5.5,6.99,7.58,NA,6.59,8.84,0.5
5460,同協電子,74796374,4471129,1807,16.72,19.6,14.9,17.43,16.65,14.35,7.8,6.74,1.33
5464,霖宏科技,116839553,3764069,1938,31.04,37.3,26.5,30.51,30.55,8.56,6.54,7.3,1.94
5475,德宏工業,134170883,14375469,3557,9.33,10.7,8.16,9.43,10,16.95,6,8.34,0.58
5480,統盟電子,40673192,6001992,1595,6.77,7.85,5.58,6.88,6.68,NA,0,3.91,0.63
5481,華韡電子,53800121,3437545,1337,15.65,17.5,14.4,15.67,15.45,10.88,11,3.36,0.69
5488,松普科技,149207290,11114928,3434,13.42,15.25,11.45,13.22,12.75,6.75,11.76,12.52,0.76
5491,連展科技,304090839,17498087,6433,17.37,20.45,15,17.66,17.9,17.38,8.99,13.65,0.98
6101,弘捷    ,71267190,4830172,1806,14.75,17.45,12.5,14.33,14,14.89,7.14,4.63,1.5
6107,華美電子,3709548,451118,147,8.22,8.9,7.09,8.1,8.48,NA,0,1.29,1.43
6108,競國實業,419020321,18965211,7137,22.09,26.5,18.5,22.1,21.75,8.67,6.89,15.45,1.35
6114,翔昇電子,1871737,267512,43,6.99,7.3,6.51,7.04,7,NA,6.71,0.47,1.44
6124,業強科技,586103667,21023989,6313,27.87,32.3,24.3,27.83,27,19.42,7.44,12.15,1.55
6126,信音企業,297414267,7883683,3277,37.72,43.25,33,37.42,36.7,11.95,6.94,11.36,2.1
6127,九豪精密,91717676,8104700,2356,11.31,14,9.6,11.65,11.85,18.52,2.95,9.99,0.91
6134,萬旭電業,301342466,5963241,3087,50.53,56,43.25,50.41,53.2,10.9,3.75,9.94,2.33
6153,嘉聯益  ,722829885,42790131,8609,16.89,20.15,14.4,17.45,17.2,14.1,8.72,13.62,1
6158,禾昌興業,1588888671,40765149,19976,38.97,44.3,31.8,38.11,39.75,12.08,4.52,37.63,1.68
6173,信昌電陶,191292342,10561503,4069,18.11,20.3,15.75,18.31,19.7,14.38,1.67,8.27,1.52
6174,安碁科技,2485409,743336,109,3.34,9.21,3.16,3.88,9.21,NA,0,3.03,4.26
6175,立敦科技,31494927,4379791,818,7.19,8.49,6.21,7.53,7.01,NA,11.41,4.64,0.6
6185,幃翔精密,99256506,5101244,2354,19.45,23.6,16.7,20.11,19.8,8.53,5.05,5.74,1.24
6194,育富電子,717059023,16276283,7746,44.05,51.8,37.3,44.63,44.4,8.15,7.43,13.58,1.82
