櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5007,三星科技,43052659,1487605,368,28.94,29.85,27.5,28.93,29.8,10.64,7.11,0.68,2.34
5009,榮剛材料,1393343043,25980303,9587,53.63,59.9,47.05,54.6,50.5,10.48,4.55,8.69,2.63
5011,久陽精密,20280,5000,3,4.05,4.4,3.88,3.94,4,NA,0,0.02,4.44
5013,強新工業,20345892,1455487,545,13.97,15.2,13.2,14.03,13.9,7.55,7.19,1.88,0.99
5014,建錩實業,111993173,8213252,2869,13.63,16.1,11.3,14.18,13.6,13.47,16.17,7.05,0.86
5015,華祺工業,72580282,2410658,1229,30.1,32.7,27.2,30.39,29.3,5.1,6.82,4.33,1.66
5016,松和工業,9731221,517920,250,18.78,20,17.85,19.31,19,11.88,7.89,1.26,0.92
8349,友信    ,115851692,5536300,315,20.92,21.5,18.5,20.4,21.35,23.99,7.02,9.49,1.46
8930,青鋼金屬,15101895,1096815,425,13.76,15.35,11.85,13.82,13.75,11.46,7.27,2.7,1.1
9962,有益鋼鐵,136891168,7494322,2628,18.26,21.8,15,18.32,17.3,15.04,0,10.22,1.1
2114,鑫永銓  ,27813177,674015,219,41.26,44.3,36.4,41.46,44.1,10.35,5.8,1.5,2.2
5102,富強輪胎,12088199,1099055,189,10.99,11.25,10,10.63,10.9,121.11,3.48,1.99,0.88
4416,福纖實業,17293772,222993,169,77.55,86,68.2,81.52,86,26.96,1.68,0.37,5.21
5505,和旺建設,15531278,684321,254,22.69,24,21.25,22.58,23.3,9.43,0,1.71,1.95
5506,長鴻營造,37646127,5083117,1518,7.4,8.54,6.7,7.68,7.35,183.75,13.6,4,0.52
5508,永信建設,66333671,1431046,198,46.35,47.5,45,46.31,47.05,6.55,12.32,1.09,2.21
5511,德昌營造,23306227,1669533,535,13.95,15.9,12.8,14.52,14.5,7.88,10.34,2.03,0.95
5512,力麒建設,403975796,32864165,5534,12.29,15.2,10.9,13.16,12.35,12.86,12.95,9.38,0.73
5514,三豐建設,89498203,8235382,1536,10.86,13,9.8,11.47,11.3,19.15,13.27,8.35,0.91
5516,雙喜    ,1896032,209750,83,9.03,9.8,8.31,9.29,9.39,17.07,11.71,0.55,0.85
5519,隆大營造,31312988,819700,451,38.2,42.9,34.5,38.03,37.1,13.69,4.71,1.61,2.9
5520,力泰建設,1930513,86191,73,22.39,23,21.5,22.24,22.15,6.63,6.77,0.12,1.06
5521,工信    ,498408518,40479135,11112,12.31,13.7,10.75,12.46,12.85,5.76,17.12,12.49,1.02
5523,宏都建設,116112828,5765734,1933,20.13,22.2,18,20.13,22.05,7.55,10.43,6.11,1.77
5529,志嘉建設,146449897,5598140,915,26.16,28,23.5,25.46,25.2,NA,3.96,12.67,1.84
5530,大漢建設,77229791,5902412,2052,13.08,14.6,11.8,12.98,13,16.88,11.53,5.5,1.09
5533,皇鼎建設,110905921,5686167,1871,19.5,20.7,18.45,19.53,20.3,8.83,11.33,3.94,1.22
6402,基泰營造,40297970,3657487,1006,11.01,11.7,9.82,11.06,10.8,4.35,9.25,5.53,0.98
5601,台聯貨櫃,1767499,125117,48,14.12,15.4,12.7,14.37,14.45,49.83,1.73,0.17,0.73
5603,陸海交通,21725680,1794420,650,12.1,13.1,11.2,12.27,12.1,403.33,6.61,2.91,0.9
5604,中連貨運,34083224,1260076,320,27.04,28.65,26.1,27.46,27.1,8.29,9.66,1.16,1.24
5605,遠東航空,363149563,48103340,7853,7.54,8.91,6.08,7.39,8,NA,0,7.93,1.59
5609,中菲行  ,187641487,5158823,2699,36.37,38.5,33.3,35.95,38.3,16.44,4.3,5.15,2.88
5701,劍湖山  ,737595231,57707815,12951,12.78,13.7,11.4,12.5,13.4,NA,0,13.88,1
5703,亞都麗緻,68252455,2611010,263,26.14,28.5,24.45,26.22,27.7,NA,1.8,3.72,2.03
