櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年07月 Jul.10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,840,760,681元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,740,919筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,163,617,037股",,,,,,4. 成交量週轉率： 17.83%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高        Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5013,強新工業,150488483,10416603,3064,14.44,15.1,13.8,14.3,14.75,21.38,0,11.95,1.12
5014,建錩實業,98793617,8835795,2287,11.18,11.75,10.6,11.02,11.6,10.84,2.58,7.12,0.81
5015,華祺工業,41036940,2593516,1139,15.82,16.6,15.1,15.63,15.45,38.63,6.47,4.28,0.97
5016,松和工業,98540756,4115110,1318,23.94,25.5,22,23.77,22.95,26.38,1.3,9.12,1.21
8349,友信    ,11956815,408954,340,29.23,31.6,27.8,29.1,28.1,1405,1.77,0.66,1.96
8930,青鋼金屬,39567671,2693128,977,14.69,15.2,14.3,14.69,14.3,7.69,4.61,5.68,1.06
9962,有益鋼鐵,55888138,3565402,1259,15.67,16.6,14.55,15.32,16.15,11.29,3.71,4.86,1.42
2114,鑫永銓  ,76286730,2402029,1212,31.75,34.35,28.35,30.02,28.8,9.6,8.68,3.99,1.3
5102,富強輪胎,34764591,2675151,1005,12.99,13.55,12.5,12.87,13.2,30,0,4.6,1.09
2596,綠意開發,75980086,3309867,1413,22.95,24.4,22.05,22.81,23.75,8.36,10.52,4.86,1.5
4113,聯上實業,375459617,15798225,6834,23.76,26.25,21.55,22.96,21.75,7.94,0,34.94,1.93
4416,三圓建設,3746140,44943,51,83.35,86.8,81,84.4,85.2,22.3,2.11,0.07,3.25
5213,亞昕    ,1113578066,31435243,11586,35.42,38.85,29.9,35.1,30.1,5.4,8.97,21,1.54
5505,和旺建設,861110394,17915885,7129,48.06,51.2,44.3,48.07,45.7,N/A,1.46,22.62,4.4
5506,長鴻營造,20969079,5237072,858,4,4.1,3.75,4,4,N/A,0,1.97,0.76
5508,永信建設,68729628,1977404,1330,34.75,36.3,33.6,34.55,35.7,12.66,21.73,1.08,1.98
5511,德昌營造,25689230,1596482,688,16.09,17,15.15,15.7,15.15,7.58,7.92,1.94,0.89
5512,力麒建設,933661724,62824334,15499,14.86,15.7,13.85,14.71,15.5,8.86,3.22,12.77,0.87
5514,三豐建設,27343994,1449849,441,18.85,19.25,17.35,18.81,17.85,28.79,4.48,1.36,1.34
5516,雙喜    ,34196000,2564000,1046,13.33,14.15,12.15,12.93,12.9,15.54,5.81,6.7,1.08
5519,隆大營建,3728245,164403,145,22.67,23.75,21.85,22.79,22.3,16.64,2.37,0.25,1.73
5520,力泰建設,8569247,361532,302,23.7,24.95,22.65,23.45,22.9,7.53,6.55,0.51,0.88
5521,工信    ,757853803,63686385,13994,11.89,12.55,11.25,11.68,11.65,24.79,0,18.33,1.01
5523,宏都建設,366412116,34036139,6535,10.76,11.5,9.92,10.46,10.5,N/A,0,31.13,0.97
5529,志嘉建設,13156091,1274859,513,10.31,10.65,10,10.3,10.35,N/A,4.83,2.76,0.7
5530,大漢建設,1280476472,27261365,11735,46.97,50.8,41.9,45.96,42,42,0,7.13,4.05
6177,達麗建設,99154147,3986773,1238,24.87,26,23.95,24.7,25.7,21.42,3.46,6.22,1.96
6212,理銘科技,18468499,1829963,820,10.09,10.55,9.8,10.1,9.93,3.35,0,1.79,1.13
2636,台驊國際,321858895,11175182,5496,28.8,30.5,27.75,28.51,28,25,5.46,22.16,1.77
5601,台聯貨櫃,13634812,870721,413,15.65,16.3,15.4,15.66,15.45,61.8,1.42,1.21,0.78
5603,陸海交通,94960695,6789187,1842,13.98,15.1,13.1,13.63,13.85,138.5,0,10.79,1.06
5604,中連貨運,78430767,3457088,1381,22.68,23.65,21.1,22.45,23.1,15.5,5.1,3.18,1.13
5609,中菲行  ,1236726890,37050323,14996,33.37,34.6,31,32.97,31.15,15.58,3.98,28.28,2.18
5701,劍湖山  ,1008756489,84175947,24010,11.98,12.7,11.3,11.82,11.35,N/A,0,20.25,1.29
5703,亞都麗緻,74525391,2350144,1491,31.71,34,29.2,31.08,29.2,62.13,0,3.35,2.58
5704,老爺知  ,15903098,764432,465,20.8,22.1,19.35,20.63,19.9,66.33,1,1.28,1.7
5706,鳳凰國際,1385732712,20834901,12744,66.51,70.7,58.9,65.77,64.6,27.49,3.52,52.33,2.74
5820,日盛金控,2874097059,598457726,55893,4.8,5.14,3.95,4.71,4.99,N/A,0,13.24,0.97
6008,凱基證券,4508543897,352300178,50830,12.79,13.4,12,12.79,13.25,16.56,3.39,10.98,0.92
6015,宏遠證券,163266486,20207117,4550,8.07,8.34,7.52,8.05,8.19,13.88,0,4.42,0.89
6016,康和證券,259718409,27721039,6174,9.36,9.69,8.85,9.32,9.62,26,6.96,4.23,0.82
6020,大展證券,13350792,825197,395,16.17,16.55,15.7,16.16,16.25,22.89,3.32,0.35,1.13
6021,大慶證券,197407970,12064451,3764,16.36,17.3,14.35,16.16,16.7,6.57,3.89,4.54,1.15
6022,大眾證  ,598680051,38141610,9666,15.69,16.75,13.1,15.68,13.15,7.97,16.42,9.76,0.93
6023,寶來期  ,112416030,2797918,1583,40.17,41.5,38.8,39.97,39.5,21.82,4.63,2.13,1.8
6024,群益期  ,84614405,2723739,1430,31.06,33.8,29.4,30.9,29.7,14.28,5.89,3.22,1.53
2916,滿心企業,165089724,7202828,2850,22.92,25.3,20,22.18,20.5,13.95,8.78,15.51,1.21
5902,德記洋行,70774675,6075803,1970,11.64,12.8,10,11.1,12.2,N/A,0,6.43,1.53
5903,全家    ,34072542,493455,356,69.04,71,66,68.32,69.8,19.28,3.58,0.22,3.87
5904,寶雅國際,87619650,2626795,1220,33.35,34.6,31.8,33.3,34.3,11.32,7.87,3.6,1.85
5905,南仁湖  ,981510127,41151205,14403,23.85,24.7,23.1,23.69,23.5,N/A,0,22.73,2.1
8941,關中    ,27791647,2374985,992,11.7,12.25,11,11.61,11.6,N/A,0,1.95,1.91
9960,邁達康  ,36639276,1261941,832,29.03,30.5,27.6,28.87,30.25,11.72,3.96,5.04,1.96
1584,精剛精密,57732120,3438846,1467,16.78,17.75,15.85,16.6,16.9,N/A,0,5.9,1.05
2221,大甲    ,25351105,1703838,772,14.87,16.2,13.05,13.9,15.3,N/A,0,4.02,1.3
3284,太普高  ,159532439,6655326,2511,23.97,25.35,22.4,23.81,22.65,14.43,4.41,12.95,1.75
3388,崇越電通,303035558,4154032,2892,72.94,75.5,70,72.16,72.7,10.39,5.77,7.46,1.74
5312,寶島科  ,1394911089,17141132,9709,81.37,86,75.6,80.3,82.9,29.82,2.41,28.54,4.75
6186,晶磊興業,76585669,3758982,2640,20.37,21.4,19,20.06,19.5,46.43,0,18.63,1.9
6803,崑鼎投控,490402991,5170858,3748,94.83,101,88.1,93.44,88.1,12.19,6.87,9.9,2.73
8390,金益鼎  ,66317209,1602532,1057,41.38,42.5,40.2,41.23,41.6,18.65,3.62,2.84,2.17
8401,白紗科技,302836967,6538788,4169,46.31,49.4,41.2,45.88,48.65,19,4.11,17.75,2.81
8705,東隆五金,43672883,1336181,863,32.68,33.7,30.7,32.2,30.75,12.3,7.96,1.61,2.02
8905,裕國    ,50597929,4036130,1668,12.53,13.45,11.8,12.31,12.85,13.11,3.11,3.38,0.96
8906,花王企業,23464800,3385859,1143,6.93,7.17,6.71,6.93,7,N/A,0,6.6,0.79
8913,華夏資融,855098711,29735367,12013,28.75,32.4,25.3,27.26,32.15,4.25,1.24,65.84,1.81
8916,光隆    ,21316985,1431409,445,14.89,15.9,13.6,14.74,15.5,8.52,4.12,1.65,0.78
8921,沈氏印刷,8115402,641793,222,12.64,13,12.35,12.66,12.95,17.5,4.63,1.38,0.76
8923,時報出版,15939299,887723,391,17.95,19.55,16.5,18,19.4,13.38,5.15,2.92,1.3
8924,大田精密,113870418,2801325,1779,40.64,42.1,39,40.44,41.7,19.58,5.99,2.31,2.12
8925,偉盟工業,1323401066,54447593,18207,24.3,25.1,23.3,24.11,23.35,70.76,6.42,21.66,1.69
8928,鉅明    ,29072373,2275755,732,12.77,13.4,12.1,12.57,13.15,N/A,6.08,3.58,1.14
8929,富堡工業,74061616,1901414,1124,38.95,41.6,37.2,38.62,40.6,8.68,4.87,7.54,2.25
8932,宏大    ,46040958,4252514,1446,10.82,12,9.98,10.65,11.25,17.58,0,8.71,1.3
8933,愛地雅  ,352306768,20307760,8561,17.34,18.4,16.5,16.94,17.65,16.34,2.83,17.76,1.2
8934,馭鳳    ,0,0,0,0,0,0,0,2.85,N/A,0,0,5.38
8935,邦泰    ,116954031,11242096,2864,10.4,11.6,9.9,10.23,11.6,N/A,0,7.4,1.36
8936,國統國際,1277340867,43405917,19626,29.42,31.2,27.5,29.1,30.15,15.62,0,39.29,2.23
8937,合騏    ,42997057,3367895,1312,12.76,14,11.95,12.34,13.8,N/A,0,4.65,1.15
8938,明安國際,468400395,7922846,4453,59.12,61.3,56.1,58.55,57.5,13.31,6.26,6.04,1.98
8942,森鉅科技,321600199,11101914,3642,28.96,30.75,24.5,26.68,26.6,40.3,3.9,10.38,1.61
9946,金革科技,11704395,709251,281,16.5,17.5,16,16.47,16.2,90,0,1.01,1.87
9949,琉園    ,151511392,4223577,1898,35.87,41.1,31,35.4,40.35,37.36,2.15,9.34,2.49
1742,台蠟    ,132033657,2580008,1567,51.17,53.2,48.8,50.78,52.4,13.13,8.87,6.38,2.96
1787,福盈科技,1074386680,50975209,17726,21.07,22.6,19.8,20.51,20.6,26.75,2.03,77.43,1.36
4702,中美聯合,50296815,4542477,1614,11.07,11.9,10.5,11.06,11.2,N/A,0,12.48,1.12
4703,金美克能,20122485,2786562,863,7.22,7.6,6.9,7.17,7.37,46.06,0,4.07,1.15
4706,大恭化學,222400983,12867386,4383,17.28,19,14.8,16.29,18,12.41,3.88,16.28,1.12
4707,磐亞    ,107550389,8123078,2952,13.24,13.85,11.9,13.08,13.35,31.05,10.86,3.6,0.81
4711,永純    ,84911253,3482178,1496,24.38,26.2,22.2,24.37,23.8,10.63,6.72,5.7,1.3
4712,南璋    ,75188402,4422633,1198,17,17.65,16,16.92,16.9,N/A,0,7.36,1.49
