櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年07月 Jul.10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,840,760,681元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,740,919筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,163,617,037股",,,,,,4. 成交量週轉率： 17.83%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高        Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5487,通泰    ,63390864,3093852,1361,20.48,21.4,19.5,20.4,20.5,13.4,4.87,6.84,1.21
6103,合邦電子,1256344,239168,224,5.25,5.83,4.67,5.25,5.58,N/A,0,1.02,1.53
6104,創惟科技,833467942,20740299,10833,40.18,42.2,35.9,39.17,41,N/A,0,24.41,2.48
6129,普誠科技,2162140240,94194350,31844,22.95,25.15,19.1,22.09,23,26.74,2.6,52.24,1.77
6138,茂達電子,1710132440,45038790,21998,37.97,39.7,34,37.23,36.1,23.14,4.15,34.59,2.13
6147,頎邦科技,8708583208,185689813,70071,46.89,49.4,44.1,46.61,44.8,16.53,0,31.7,2.17
6182,合晶科技,4798842650,103069159,55299,46.55,49.9,40.7,45.9,46.5,N/A,0,37.68,1.74
6198,凌泰科技,67155166,5547927,1698,12.1,12.8,11.3,11.87,12,N/A,0,15.93,1.45
6223,旺矽科技,1965923934,16864387,10883,116.57,123,110,115.09,116,108.41,0,21.75,3.93
6229,研通科技,273305260,13138877,5302,20.8,22.05,18.05,19.77,19.5,30,3.07,37.2,1.6
6233,旺玖科技,3889985622,86911152,39187,44.75,48.45,38.35,43.5,43,N/A,0,99.12,2.94
6236,凌越科技,1980500,140800,10,14.06,14.1,12.25,13.28,12.25,N/A,0,1.11,9.01
6237,驊訊電子,823367818,14458118,8856,56.94,59.9,50.2,55.76,56.8,N/A,0,18.64,2.87
6261,久元電子,1763586233,22627507,11608,77.93,81.9,68.8,75.88,78.7,14.71,3.93,23.91,2.22
6287,元隆電子,173943036,12056596,4400,14.42,15.6,13.5,14.25,13.65,N/A,0,7.07,1.93
6291,沛亨半導,84064407,5008114,2528,16.78,17.8,16.15,16.67,16.5,N/A,0,10.15,2.06
8024,佑華微電,487672023,15304374,7563,31.86,33.7,30.1,31.81,31.55,20.62,3.89,26.97,1.93
8040,九暘    ,2453143303,71567338,31621,34.27,36.4,31.35,33.6,34.1,94.72,0,84.8,2.52
8054,安國國際,728664097,13475938,7544,54.07,57,48.7,52.86,53.1,21.24,1.88,16.35,2.11
8066,福陞科技,63000213,8874977,1415,7.09,9.07,3.81,6.58,6.9,N/A,0,7.97,4.18
8079,誠遠科技,375411462,15203887,5857,24.69,26.2,22.8,24.5,25.15,9.01,3.97,24.35,1.61
8084,巨虹電子,35326186,2649121,1216,13.33,13.9,13,13.31,13.2,N/A,0,6.54,1.34
8086,宏捷科技,2677960718,56883374,28059,47.07,51,43.2,46.24,44.4,164.44,0.45,45.64,3.35
8088,品安科技,359054789,16206806,6545,22.15,23.5,20.5,21.85,22.1,52.62,0,38.71,1.5
8277,商丞科技,1204159638,15382914,10461,78.27,83.7,67.5,75.88,70.1,7.35,4.27,27.94,3.24
1569,濱川企業,1118083517,18421251,9742,60.69,66,51,59.59,56.8,15.07,1.03,26.83,2.36
3069,寶晟科技,48712371,4293034,1763,11.34,12.6,9.9,10.57,12.1,N/A,0,16.07,1.46
3071,協禧電機,1077302752,58589868,19196,18.38,20.45,16.55,17.57,18.25,13.42,0,29.07,2.29
3088,艾訊    ,68285434,2577493,1412,26.49,27.55,24.6,26.25,26.6,22.54,7.51,3.27,1.72
3126,信億科技,4855973,283505,184,17.12,18.55,16.3,17.36,17.3,N/A,0,0.82,3.07
3171,天馳科技,144122496,9372508,3634,15.37,16.4,13.8,14.88,14.8,N/A,0,28.99,1.17
3211,順達科技,2579634403,27133142,15340,95.07,99.8,90,93.99,91.8,9.89,6.52,20.99,2.49
3213,茂訊電腦,265811014,3258740,2315,81.56,83.3,78,80.48,82,12.35,8.04,7.26,3.62
3217,優群科技,344024476,12131555,5153,28.35,29.3,26.85,28.06,28.95,9.43,8.6,16.01,1.7
3287,廣寰科  ,100581298,3673273,1708,27.38,28.55,25.85,27.14,27.2,17.89,2.35,8.59,2.02
3323,加百裕  ,867670208,18058088,8358,48.04,49.75,44.8,47.72,44.8,13.1,4.44,17.57,1.62
3325,旭品    ,308584738,7670930,3404,40.22,41.9,38.8,40.06,40.6,28.79,2.95,12.21,1.86
3416,融程電  ,150508954,2393374,1668,62.88,68,61.3,62.62,64.5,15.66,5.73,5.56,2.56
3479,安勤    ,305168881,6868771,4076,44.42,46.85,42.05,43.82,46.35,18.61,4.42,15.64,2.45
3483,力致科技,359655747,5549979,4127,64.8,69.8,62.1,64.4,62.7,11.68,0,11.56,1.48
3489,筌寶    ,55267895,2564318,1230,21.55,22.6,19.85,20.9,21.2,41.57,5.14,6.14,1.28
3521,鴻翊    ,15524772,759075,481,20.45,21.2,19.6,20.24,20.1,N/A,0,2.43,1.3
3540,曜越    ,89890110,2750269,1921,32.68,34.45,29.8,32.32,33.1,63.65,5.55,4.56,1.36
3577,泓格科技,1810636221,24705439,13990,73.28,78.8,64.6,70.08,75,51.37,0.8,57.41,4.74
3611,鼎翰科技,458123238,5308410,3182,86.3,91,79,83.55,85.4,15.3,5.83,19.59,3.57
3625,西勝    ,153666553,5042720,2837,30.47,32.25,28.6,30.1,32.25,28.54,3.1,14.3,2.42
3652,精聯電子,65485633,1633582,1039,40.08,42.4,38.7,39.9,39.55,26.54,2.52,3.43,1.57
5371,中強光電,5233130088,117339034,42602,44.59,46.45,42.45,44.66,44.55,9.54,6.28,16.21,1.57
5384,捷元    ,39936494,4115413,1306,9.7,9.92,9.36,9.66,9.8,N/A,0,4.45,0.72
5386,青雲國際,1946790,47563,59,40.93,42.85,38.7,41.4,40.9,45.96,0,0.54,7.49
5426,振發實業,423611470,21942251,6189,19.3,20.15,17.45,18.85,17.5,10.87,9.88,15.26,1.1
5438,東友    ,1302249654,42521259,14164,30.62,33.75,26.8,29.67,33.4,17.04,4.79,37.78,2.04
5450,寶聯電腦,266793635,9391134,4667,28.4,30.5,25.55,27.52,27.5,N/A,0,18.64,2.13
5465,富驊企業,213507583,25021958,4501,8.53,9.98,7.21,8.12,9.98,N/A,0,10.53,1.62
5474,聰泰科技,75283784,3417986,1831,22.02,23.7,20.5,21.51,22.2,N/A,6.75,10.13,1.6
5490,同亨科技,2554668286,65495865,29404,39,44.4,34,38.22,36.3,18.33,2.97,69.4,2.43
6105,瑞傳科技,655905807,18775086,8718,34.93,36.25,33.8,34.84,35,12.5,5.71,17.07,1.46
6121,新普科技,6486362173,36052296,22104,179.91,190,168,180.5,177,15.54,3.38,14.15,3.41
6123,上奇科技,1846229227,44168539,20082,41.79,47.3,36.35,41.36,43.65,23.47,2.29,103.81,3.24
6150,撼訊科技,970398646,19040459,11319,50.96,53.2,48,50.55,49,11.95,5.1,29.62,3.25
6160,欣技資訊,113483537,2933935,1945,38.67,39.8,37.65,38.6,38.55,23.36,3.89,4.13,2.66
6161,捷波資訊,252821897,12664931,5060,19.96,20.85,18.9,19.63,19.9,16.05,3.91,12.53,1.24
6188,廣明光電,1349183388,30657165,15201,44,47.7,40.8,43.62,40.9,8.81,7.82,10.75,1.36
6199,精威科技,129440317,9781507,3227,13.23,14.3,11.6,12.5,13.1,N/A,0,15.46,1.31
6219,富旺    ,16225295,639087,476,25.38,28.1,22.6,25.32,24.15,56.16,0,0.39,3.87
6222,上揚科技,69353483,4632309,2028,14.97,15.95,13.4,14.24,13.95,N/A,0,8.28,1.72
6228,全譜科技,98358115,7633714,2648,12.88,14.05,12,12.54,13.3,95,0,18.57,1.2
6230,超眾科技,606764952,12428487,6344,48.82,51.3,46.3,48.5,48.75,15.09,4.51,14.39,1.97
6247,淇譽電子,56294346,2898096,1444,19.42,19.95,19,19.41,19.4,12.6,3.86,4.8,1.21
6298,崴強科技,337917513,16336760,5607,20.68,21.65,18.2,19.89,19.9,398,0,9.78,1.41
8050,廣積    ,222641274,4470760,2989,49.79,51.8,46.9,49.38,50,21.01,0,6.51,2.1
8076,伍豐科技,2027243603,31829957,17528,63.68,69.8,58,62.01,69.2,108.13,2.19,20.66,4
8114,振樺電  ,237619441,4011322,2421,59.23,63,53.7,59.15,54.8,14.73,5.21,6.66,3.17
8210,勤誠興業,491846439,15703067,6719,31.32,33.2,29.65,30.94,31.8,8.64,7.86,14.08,1.95
8234,新漢    ,80885395,3035587,1688,26.64,27.9,24.5,26.2,26.85,26.07,7.44,3.66,1.79
8299,群聯電子,7530423063,39796565,28529,189.22,212,160,193.04,166,12.02,4.21,22.48,2.89
3066,李洲科技,106422985,7942337,3391,13.39,14.6,12.05,13.04,12.95,N/A,0,5.6,1.43
3128,昇銳電子,111686874,4570334,2302,24.43,25.5,22,23.73,24,16.67,4.16,10.88,1.37
3230,錦明實業,197807919,12629024,4075,15.66,16.6,14.9,15.51,15.1,N/A,0,12.64,0.76
3297,杭特電子,205333152,5405026,2191,37.98,40.95,30.1,32.35,40.95,19.88,2.93,15.72,1.82
3339,泰谷光電,1838615827,55306693,25599,33.24,35.45,31.35,32.58,31.4,104.67,0,20.2,1.96
3362,先進光  ,75878960,2061888,1034,36.8,40,35.2,36.49,36.4,46.08,0,2.66,3.46
3434,哲固資訊,67823687,4256932,1965,15.93,16.9,14.6,15.41,15.4,N/A,0,12.98,1.31
3452,益通光能,6323579342,126917157,62977,49.82,54.6,43.9,48.81,47.7,N/A,0,50.88,1.11
3455,由田新技,1562955132,33896912,17902,46.1,48.65,43.1,44.94,44.55,67.5,4.48,65.87,1.73
3490,單井    ,594307057,12767549,6624,46.54,50.2,40.7,45.96,48.3,68.03,1.03,42.32,2.92
3516,亞帝歐  ,157339814,9205979,3174,17.09,18.3,15.05,16.44,16.65,53.71,13.81,11.99,0.49
3520,振維    ,32835046,2327051,1119,14.11,14.45,13.3,14.05,13.6,27.76,3.67,4.48,0.81
3522,宏森    ,344524348,12080758,4986,28.51,30.3,26.3,28.02,27.7,20.07,1.08,34.08,1.44
3523,迎輝科技,1970238810,35405663,19319,55.64,61.3,49.65,53.48,57.2,N/A,0,34.99,2.02
3531,先益電子,39979786,1312189,756,30.46,32.9,29.35,30.41,29.95,14.4,5.5,2.18,1.03
3562,頂晶科技,49698535,1503038,1156,33.06,34.9,30.5,32.67,32.35,N/A,0,2.87,2.11
3615,安可光電,147846897,3093118,2150,47.79,51.7,44,46.68,48.2,44.22,0,8.69,1.94
3623,富晶通  ,315213135,7182939,4440,43.88,49,38.7,40.97,46.5,53.45,1.65,12.56,4.04
3629,卓韋光電,394945443,10774816,6203,36.65,42.6,31,33.75,42.6,24.77,2.34,42.02,3.53
3630,新鉅科  ,6667004841,51391486,33127,129.72,149.5,102,125.15,144,76.6,0.83,66.13,10.5
4729,熒茂光學,220433325,8438374,3903,26.12,27.7,23,25.64,26,N/A,0,13.19,1.33
5315,光聯科技,64869819,10986088,2898,5.9,6.18,5.66,5.87,5.77,N/A,0,4.67,0.86
5392,應華精密,3941567272,26813832,15655,146.99,161.5,129,143.34,147.5,17.79,3.38,36.17,3.47
5395,圓方創新,4885226,197294,194,24.76,28,23.05,24.92,24.1,N/A,0,0.81,2.49
5432,達威光電,593733,134007,87,4.43,4.81,3.92,4.45,3.99,N/A,0,0.29,1.92
5443,均豪精密,2267073823,118949617,34197,19.05,20.9,15.3,17.78,19,N/A,0,52.06,1.59
6125,廣運機械,801325483,31797412,11177,25.2,26.1,23.65,24.99,24.8,496,3.99,14.29,0.94
6156,科橋電子,5825985,1097377,463,5.3,5.89,4.8,5.37,5.23,N/A,0,0.63,0.91
6167,久正光電,31273827,8203376,1111,3.81,4.68,2.68,3.66,4,N/A,0,5.06,1.04
6234,高僑    ,189098100,8524313,3521,22.18,23.25,20.6,21.64,21,N/A,0,11.86,0.63
6244,茂迪    ,10527598341,91080485,47855,115.58,124.5,97.7,115.5,119,115.53,0.84,23.95,2.32
6246,臺龍電子,98381848,6603420,2386,14.89,15.9,14,14.7,14.6,17.59,0,4.46,2.19
6278,台表科  ,2157097000,34496164,15963,62.53,64.3,60,62.3,62,8.39,5.62,15.79,1.6
6294,智基科技,116889,6036,16,19.46,20,18.65,19.31,18.65,N/A,0,0.11,3.51
8049,晶采光電,1151982242,51614530,19368,22.31,23.8,20.5,21.94,20.55,17.42,0,54.99,1.91
8053,巨擘科技,33139750,4290477,1434,7.72,8.13,7.22,7.61,7.58,N/A,0,1.04,0.47
8064,東捷科技,776090579,28499545,11581,27.23,29.15,24.8,26.79,24.8,N/A,0,21.6,1.54
8069,元太科技,19488495647,446408701,169003,43.65,48,39.5,42.85,46.4,140.61,0,41.55,2.34
8071,豐聲科技,59706143,1433351,800,41.65,44.8,37.5,40.34,41.5,84.69,0,4.24,3.82
8077,冠華科技,1677001,253431,100,6.61,7.86,5.97,6.92,6.85,N/A,0,0.68,1.6
8087,華鎂鑫  ,65260050,4341162,1932,15.03,16.45,13.05,14.5,14.6,73,1.02,12.33,1.2
8107,大億科技,721614336,34444623,12227,20.94,21.95,19.55,20.58,20.85,N/A,0,20.04,1.3
8111,立碁電子,1788818348,73495496,27231,24.33,26.45,22.6,24.16,22.6,40.36,0,62.21,1.67
8240,華宏新技,498066171,8348709,5498,59.65,62.6,55.6,58.92,58.1,12.36,3.09,10.97,1.5
8266,中日新  ,244625590,8946527,3780,27.34,28.8,26,26.94,26.15,N/A,0,12.7,1.94
3068,美磊科技,1858432074,21379195,9741,86.92,89.8,82.3,86.8,87.4,17.1,3.43,30.2,3.89
3095,及成    ,1651717610,80098091,25839,20.62,21.6,19,20.19,20.1,N/A,0,36.8,1.01
3152,璟德電子,1661735825,6800317,5383,244.36,258.5,220.5,244.88,250.5,32.45,1.19,10.84,6.55
3221,台灣嘉碩,193582750,7205009,2943,26.86,27.95,25.05,26.68,26.45,19.59,2.45,10.13,1.46
3290,東浦    ,1228912770,65917274,19677,18.64,19.9,15.2,17.97,18.95,17.88,2.63,88.7,1.59
3306,鼎天國際,400622662,9501770,5647,42.16,43.5,39.1,41.91,42,27.45,1.19,13.14,1.74
3431,長天科技,251013171,13661518,5816,18.37,19.75,15.15,17.49,17.8,N/A,0,28.13,2.45
3454,晶睿通訊,427186731,8480265,4982,50.37,52.5,49,50.19,50.8,28.86,2.73,14.62,2.79
3491,昇達科技,229395686,3704290,2243,61.92,66.5,55.5,61.68,58.7,19.44,5.09,8.73,2.64
3499,環天科技,73953070,2826779,1674,26.16,27.45,22.8,25.67,26.65,53.3,4.5,5.85,1.52
4903,聯光通信,151597936,12904260,3800,11.74,12.5,10.7,11.52,11.8,33.71,0,17.03,1.05
4905,台聯電訊,184107679,9299753,2482,19.79,20.9,18.6,19.57,19.55,N/A,0,16.46,1.32
4907,正華通訊,782289,94687,28,8.26,9.2,7.97,8.55,8,N/A,0,0.33,5.41
4908,前鼎光電,296725893,6225416,2609,47.66,50.5,45.05,47.64,49.65,21.04,4.22,9.22,3.41
4909,新復興  ,474974207,10610953,6096,44.76,47.7,40.1,43.93,44.4,13.37,5.63,13.08,1.95
5304,鼎創達  ,4977683,1269263,688,3.92,4.13,3.56,3.92,4.06,10.97,0,0.68,0.94
5306,訊康科技,139599562,19967416,6047,6.99,7.65,6.44,6.86,7.05,N/A,0,24.86,1.21
5348,系通科技,51312073,3236266,1555,15.85,17.15,14.7,15.28,15.7,N/A,0,14.88,1.94
5353,台林通信,51675030,4176193,1514,12.37,12.85,12,12.28,12.5,416.67,3.52,4.3,0.9
6109,亞元科技,128263766,6745952,2570,19.01,20.55,16.8,18.4,19.5,34.21,1.84,9.28,1.81
6143,振曜科技,3110508385,39162382,24630,79.42,85.5,75.3,78.52,76.7,17.08,1.27,57.2,3.83
6163,華電聯網,198287925,11059632,5120,17.92,18.75,16.9,17.71,17.7,23.92,3.38,11.99,1.32
6170,統振    ,1130406329,42477337,16553,26.61,29.3,21.55,25.16,26.4,N/A,0,47.31,2.08
6190,萬泰科技,269747055,16383969,3992,16.46,17.3,15.15,16,16.5,13.2,8.42,13.94,1.33
6218,豪勉科技,159241012,6194564,2631,25.7,26.8,24.05,25.41,24.6,18.36,6.09,12.19,1.35
6241,易通展  ,3482179,173680,143,20.04,21.15,19.2,20.29,20,17.86,0,0.58,2.74
6245,立端科技,73892519,3350375,1594,22.05,22.8,21.45,22.02,21.7,47.17,1.15,5.12,1.48
6263,普萊德  ,57078552,1749589,1013,32.62,34.05,30.1,32.17,33.2,16.12,6.92,3.1,2.12
6264,德士通  ,154662143,9753377,2976,15.85,17.8,12.75,14.18,17.3,N/A,0,16.4,2.45
8034,榮群電訊,103841145,9936595,2948,10.45,11.05,9.5,10.18,10.15,N/A,0,15.8,0.98
8048,德勝科技,85900366,3631741,1928,23.65,24.8,22.05,23.51,23.65,22.31,4.22,7.62,1.8
8059,凱碩    ,269745948,13559079,6323,19.89,22.55,17.8,19.31,19.9,8.77,9.04,14.64,1.41
8082,捷超通訊,420978743,22770314,3453,18.48,20.1,16.3,18.46,19.3,N/A,0,45.37,1.9
8097,鴻松精密,204343970,21761771,7792,9.39,10.45,8.35,9.2,9.02,N/A,0,53.93,1.72
1333,恩得利  ,178045730,10637837,4307,16.73,17.7,15.8,16.65,15.9,N/A,0,10.38,2.22
1336,台翰    ,56654398,3197163,1391,17.72,18.8,16.2,17.6,18.1,N/A,0,4.83,0.72
1815,富喬    ,8034039353,250653526,71881,32.05,36,26.05,31.5,34.75,N/A,0,97.6,2.87
3078,僑威科技,2212076055,49477628,19552,44.7,49.35,40.55,44.03,46.2,24.06,1.81,26.61,3
3089,展成科技,328229862,26316902,7311,12.47,13.45,11.65,12.13,12.55,96.54,0,50.44,1.14
3092,鴻碩精密,556819598,15172487,8834,36.69,40.65,31.05,35.48,39.5,24.84,3.03,24.96,2.05
3114,好德科技,39249462,2839217,1315,13.82,14.5,13.2,13.75,14.1,N/A,7.23,5.84,0.89
3115,寶島極光,47320589,3350712,744,14.12,15.05,13.15,13.97,14.3,N/A,0,8.89,1.64
3144,新揚科  ,13645634,1144352,375,11.92,13.05,10.5,11.87,10.5,N/A,0,1.66,2.56
3191,和進電子,230698701,14755779,5422,15.63,17.2,14.3,15.3,16.1,N/A,0,27.25,1.21
3202,樺晟電子,212882139,10868258,3516,19.58,21.1,17.7,18.85,19.6,12.17,5.61,14.82,1.02
3206,志豐電子,313119437,12748232,5491,24.56,26,20.25,23.93,24.7,22.45,1.41,32.89,1.63
3207,耀勝電子,373648960,20099599,7022,18.58,20.35,14.6,16.94,19.25,14.69,2.59,55.73,1.37
3226,至寶電腦,19579464,795874,309,24.6,25.5,22.65,24.22,22.75,N/A,0,2.83,2.66
3236,千如電機,168736996,8419370,3841,20.04,21.45,18.45,19.7,20.3,29.42,0.98,19.38,1.37
3276,宇環科技,73544889,7150631,2085,10.28,10.9,9.5,10.24,10.65,N/A,0,9.1,1.22
3288,點晶科技,51519234,1851118,1315,27.83,29.9,25.2,27.12,26.9,107.6,0,3.72,2.47
3294,英濟    ,466802615,28660775,7425,16.28,18,13.8,15.87,16.2,N/A,0,20.98,0.79
3299,帛漢    ,502425225,12711214,6561,39.52,41.5,37.85,39.02,39,13.13,2.33,24.21,1.83
3310,佳穎精密,169883023,3780329,2123,44.93,48.35,41.65,43.79,42.65,N/A,0,11.08,4.28
3313,斐成企業,600863003,29765611,9745,20.18,21.4,17.9,19.55,19.3,N/A,0,48.38,1.28
3322,建舜電子,109796505,5730574,2385,19.15,20.5,17.3,18.73,20.2,N/A,0,6.91,1.37
3332,幸康電子,161083322,4224586,2358,38.12,40.8,33.8,37.26,40,18.1,3.75,8.78,1.6
3354,律勝    ,17251857,954498,534,18.07,19.2,16.35,17.86,18.1,N/A,3.48,1.29,1.1
3390,旭軟電子,85917532,2740282,1418,31.35,32.9,29.3,31.24,29.8,9.97,5.36,5.79,1.84
3465,祥業科技,134756175,10211387,3712,13.19,14.4,10.6,12.51,13.2,N/A,0,35.45,2.08
3484,崧騰    ,413267084,9515968,5058,43.42,47.3,39.8,41.25,45.2,15.02,0,19.91,1.83
3511,矽瑪科技,200134734,2832389,1858,70.65,74,65.4,69.76,73,14.23,2.87,8.9,2.52
3512,能緹    ,29170842,933465,555,31.25,32.25,30.2,31.27,31.7,N/A,0,2.52,1.98
3526,凡甲科技,2097801845,21420742,13523,97.93,113,86,93.88,86.2,8.88,8.99,37.33,2.9
3537,堡達    ,714873935,15364005,8825,46.52,53.6,41.5,44.16,50.8,21.62,2.55,39.75,2.72
3548,兆利科技,156953588,3632802,2336,43.2,45.6,40.2,42.58,43,12.29,2.76,7.21,1.01
5301,祥裕電子,50555022,6550479,2253,7.71,8.6,6.9,7.33,7.7,N/A,0,14.48,1.48
5309,系統電子,3518728296,209664925,53083,16.78,21.7,12.3,15.28,20,37.74,0,152.41,2.29
5317,凱美電機,327777894,29323531,7646,11.17,11.8,10.4,11.02,11.55,N/A,0,21.5,0.97
5321,友銓電子,101346955,11010369,3245,9.2,10.35,8.3,8.97,10,N/A,0,7.33,1.11
5328,華容    ,802814508,63620130,15727,12.61,13.1,12,12.54,12.35,N/A,0,29.69,1.12
5340,建榮工業,456281952,39770482,10697,11.47,12.35,10.6,11.36,11.45,N/A,0,23.97,1.33
5345,天揚    ,453091061,27863312,7883,16.26,17.3,14.4,15.47,16.1,N/A,0,55.73,1.31
5349,先豐通訊,507132489,31769102,10230,15.96,16.85,14.8,15.78,16.2,21.89,2.65,15.78,1.28
5355,佳總興業,405080960,16741439,6330,24.19,26,21.9,23.87,23.3,N/A,0,11.66,2.97
5356,協益電子,3638973046,113922219,40956,31.94,35,29.2,31.36,32.3,9.28,3.09,81.37,1.47
5364,浩騰    ,264849409,31587631,8492,8.38,9.2,8,8.36,8.13,N/A,0,14.91,1.15
5381,合正科技,278142716,42033183,9770,6.61,6.87,6.37,6.57,6.71,N/A,0,14.23,0.7
5398,力瑋實業,57224746,4532864,1247,12.62,13.2,12,12.35,12.45,18.86,2,10.86,1.15
5439,高技企業,953847521,28174610,11446,33.85,37.15,27.8,32.38,33.8,15.87,3.84,37.22,2.33
5457,宣德    ,307101268,25523191,6524,12.03,12.65,11.5,11.92,12.1,N/A,0,10.64,1.79
5460,同協電子,247336950,14929144,5027,16.56,17.5,15.85,16.23,15.85,44.03,4.73,20.73,1.27
5464,霖宏科技,91585103,2743381,1605,33.38,35.5,31.5,32.71,32.65,16.41,6.12,4.57,1.93
5475,德宏工業,3825442097,197080237,47441,19.41,21.4,17.55,18.95,19.8,N/A,0,96.39,1.84
5480,統盟電子,376935647,11186627,4817,33.69,35.2,30.8,33.01,33.2,7.35,0,7.45,2.24
5481,華韡電子,88573160,5771605,1817,15.34,16,14.15,15.07,15.1,N/A,0,5.64,0.8
5488,松普科技,179526587,12447933,3512,14.42,15.15,13.35,14.12,14.3,31.09,2.09,13.59,0.89
5491,連展科技,510566236,25349573,10694,20.14,21.45,18.9,19.77,20.8,23.11,2.5,14.01,1.09
5498,凱崴    ,129192859,15037141,3553,8.59,9.05,8.13,8.43,8.52,56.8,0,9.45,0.85
6101,弘捷    ,18837787,2349757,344,8.01,8.2,7.42,7.95,7.82,N/A,0,1.05,5.25
6107,華美電子,108295425,9204852,3390,11.76,13.3,10,11.12,11.25,N/A,0,26.28,2.02
6114,翔昇電子,1021472,284208,116,3.59,3.9,2.93,3.47,3.62,N/A,0,0.52,1.94
6124,業強科技,278419108,6107252,1727,45.58,47.5,43.2,45.27,47.4,316,0,3.17,3.3
6126,信音企業,588196399,14483429,5979,40.61,42.45,37.7,40.44,40,8.91,1.95,18.13,2.07
6127,九豪精密,2237944375,95099570,30505,23.53,24.8,20.3,23.37,23.65,112.62,0,117.36,1.82
6134,萬旭電業,431774626,7184737,4625,60.09,67.9,49.9,59.26,50.1,7.47,10.97,8.68,1.76
6158,禾昌興業,933982601,17378886,9075,53.74,57.2,51,53.15,51.1,6.75,7.82,15.16,1.61
6173,信昌電陶,1715400382,49681044,18796,34.52,36.3,31.1,34.18,35.35,25.8,0.56,30.31,2.35
6174,安碁科技,40502546,3071137,1113,13.18,13.8,12.5,13.15,13.2,N/A,0,4.28,1.95
6175,立敦科技,1104247764,65827488,14540,16.77,19.95,13.95,15.74,19.95,N/A,0,70.27,1.97
6185,幃翔精密,104882640,3376395,1628,31.06,33,29.1,30.51,29.25,11.04,5.19,3.63,1.59
6194,育富電子,379010250,10869049,4772,34.87,37.6,31.7,34.02,31.7,8.78,9.46,9.64,1.12
6203,海韻電子,277433459,3380407,2375,82.07,85.8,78,81.39,85,13.32,5.98,5.67,4.15
6204,台灣艾華,92737021,2804573,1528,33.06,34.5,31.8,32.99,33.3,12.24,4.05,7.64,1.64
6207,雷科    ,2268056234,45759140,18179,49.56,52.8,46,49,50.5,14.55,1.02,63.92,2.85
6208,日揚科技,704100756,48610301,12816,14.48,15.3,13.05,14.29,14.8,N/A,0,41.55,1.17
6210,慶生電子,1281304683,30264273,12177,42.33,45.85,34.8,41.79,41.8,15.89,2.39,86.35,2.94
6211,福登    ,104001206,4561458,2451,22.79,24.75,19.75,22.03,22.7,9.3,0,9.76,0.79
6217,中國探針,1615631439,28376495,17931,56.93,64,44.2,54.86,55,30.22,0,67.79,4.85
6220,岳豐科技,935518790,37723034,11340,24.79,26.5,22.7,24.26,25.6,10.67,1.95,34.01,1.42
6242,聯豪科技,1542925,316545,92,4.87,5.35,4.2,4.79,4.35,N/A,0,0.65,1.37
6248,沛波電子,542372848,30970722,9448,17.51,18.8,14.7,16.74,17.2,N/A,0,61.37,1.64
6250,宇加科技,3925815,275178,152,14.26,18.1,10.8,13.92,11.75,N/A,0,1.88,4.24
6266,泰詠電子,321837642,23552501,7189,13.66,14.85,11.85,13.1,14.2,23.67,0,34.38,0.91
6274,台燿科技,1236789592,71895100,18326,17.2,18.2,15.8,16.81,17.3,30.89,1.15,30.82,0.97
6279,胡連精密,2125494331,25928906,16342,81.97,94,75.6,81.26,81.2,14.71,4.31,31.59,3.87
6284,佳邦科技,102652661,4032821,2033,25.45,26.6,23.05,25.2,25.8,21.5,1.97,3.92,0.88
6290,良維科技,1760547904,36512967,16894,48.21,50.5,45.9,47.84,46,10.7,6.47,29.38,1.91
6292,迅德興業,32242431,1090911,641,29.55,30.95,28.75,29.75,29.7,14.01,5.38,2.23,1.65
8042,金山電子,969647498,18435369,9144,52.59,55.5,49.1,52.21,51.8,8.81,5.79,21,2.19
8043,蜜望實  ,162469546,7466154,2514,21.76,22.45,20.5,21.56,22,11.28,0.9,8.13,1.04
8074,鉅橡    ,63884265,3609695,1655,17.69,18.4,17.3,17.63,17.5,8.88,8.51,7.09,1.17
8080,奧斯特  ,88544558,6021036,2118,14.7,15.45,14,14.52,14.35,N/A,0,12.05,1.21
8091,翔名科技,420480852,8834986,4294,47.59,50.9,42.6,47.34,49.8,14.82,3.71,23.88,3.1
8093,保銳科技,45019466,3171297,1476,14.19,14.9,13.5,14.1,13.8,26.04,5.07,4.94,1.1
