櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
"101年5月 May, 12",,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 220,209,384,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,437,907筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,641,766,644股",,,,,,4. 成交量週轉率： 8.49%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
4911,德英    ,57132100,971017,828,58.83,61.5,57.4,59.03,58.8,534.55,0,1.77,3.87,
6130,基因科技,5917903,73993,104,80,91.9,69.1,79.6,83.2,15.82,0,0.3,7.71,
8403,盛弘    ,43878909,1774652,1166,24.72,26.2,23.5,24.66,26.2,21.83,6.87,4.08,1.36,
8406,F-金可  ,5944512321,21500491,16980,276.48,328,237,279.09,294,27.32,0,23.89,7.39,
8432,東生華  ,1489699638,13755290,10653,108.3,125.5,94.5,106,105,18.17,1.42,43.35,4.2,
8908,欣雄    ,3051602,134806,97,22.63,22.95,22.3,22.66,22.9,18.93,6.11,0.15,1.9,
8917,欣泰    ,2427832,56213,47,43.19,43.5,43,43.16,43.15,20.95,5.09,0.05,2.68,
8927,北基加油,3716017,266004,163,13.96,14.4,13.75,14.03,14.2,16.32,2.11,0.24,1.22,
8931,大園汽電,36588624,2574151,915,14.21,15.05,13.3,14.23,14.25,17.59,6.31,2.41,1.04,
3073,普格    ,376642985,16401719,7387,22.96,25.1,20.25,22.74,23.95,N/A,0,32.49,1.72,
3087,翔準    ,73592122,5746411,1583,12.8,13.6,10.8,12.26,11.85,15.19,0,2.3,0.78,
3105,穩懋    ,4746191892,106210686,44456,44.68,46.85,41.9,44.43,45.95,20.98,1.78,16.37,2.78,
3169,亞信電子,197125650,6074636,3931,32.45,35.3,28.55,32.17,33.2,15.73,7.53,11.38,2.11,
3188,安茂    ,2714826,419597,261,6.47,7.1,6.02,6.68,6.12,N/A,0,0.93,0.75,
3219,倚強科技,562101,98831,41,5.68,6.5,3.63,5.02,4.06,N/A,0,0.18,1.36,
3227,原相科技,1660917493,21270929,14347,78.08,81.9,71.4,77.38,80.2,22.78,5.98,16.21,1.78,
3228,金麗科  ,13709006,606420,486,22.6,24.4,20.1,22.34,21,N/A,0,1.03,2.24,
3252,海灣科技,2667508,174430,137,15.29,17.1,14.55,15.95,15.35,14.62,0,0.5,2.63,
3259,鑫創科技,14348206,1097762,448,13.07,14.2,12.25,13.13,14.1,N/A,0,1.76,1.17,
3260,威剛科技,2217019752,60547815,29593,36.61,39.8,33.05,36.04,38.3,32.18,0,26.82,1.2,
3264,欣銓科技,379585639,18624040,8486,20.38,21.6,18.8,20.23,20.65,12.52,10.16,4.08,1.14,
3265,台星科  ,1197328871,35866496,18124,33.38,35.4,30.5,33.05,32.8,9.62,5.06,26.32,1.42,
3268,海德威  ,4732514,492688,328,9.6,10.5,8.81,9.55,9.3,N/A,0,1.61,1.1,
3291,遠翔科技,106812009,3635604,2231,29.37,31.3,27,28.86,28.45,10.38,8.61,10.43,1.8,
3317,尼克森  ,35346930,2677484,1495,13.2,14.4,11.55,12.87,12.5,N/A,3.2,4.37,0.53,
3372,典範    ,56836452,11375877,3153,4.99,5.32,4.5,4.89,4.75,N/A,0,3.76,0.47,
3438,類比科  ,119458828,3143704,2384,37.99,41.25,33.8,37.99,36.2,17.57,8.83,8.14,1.35,
3527,聚積    ,2194812369,16584127,12443,132.34,145,118,129.84,127.5,13.34,6.27,50.02,2.55,
3529,力旺電子,1234071744,17743411,11580,69.55,76.9,62.1,67.77,67.4,31.5,3.7,23.13,3.11,
3553,力積電子,160016785,8407516,4813,19.03,20.7,17,18.57,18.25,N/A,12.05,13.11,1.46,
3555,擎泰    ,1119375828,22607098,15982,49.51,61.6,39.5,50.27,47.85,82.5,18.8,35.41,1.47,
3556,禾瑞亞  ,653815501,11553739,8342,56.58,60.7,51.5,54.75,60.1,14.62,4.65,24.43,2.69,
3567,逸昌    ,3624357,426123,216,8.5,8.99,8.11,8.56,8.33,N/A,18.36,1.07,0.67,
3582,凌耀    ,4308286015,23254489,17676,185.26,198,168.5,184,184.5,22.47,2.99,64.81,5.42,
3658,漢微科  ,5234752239,15450401,13197,338.81,380,265,354.61,348,19.9,1.26,23.41,12.16,
3680,家登    ,449176950,7573923,5548,59.3,67.9,50.2,59.03,58,20.57,3.44,18.22,3.31,
4947,F-昂寶  ,1221357175,9586174,6255,127.4,139,109,124.88,139,17.62,0,22.53,3.69,
4966,F-譜瑞  ,3438967551,8812672,7000,390.22,426,344,386.11,426,34.3,0,17.21,8.89,
5302,太欣半導,6334706,780000,386,8.12,8.68,7.6,8.07,7.78,N/A,0,0.48,1.13,
5314,世紀民生,156114715,11719494,6043,13.32,15.5,11.8,13.4,13.85,N/A,0,19.53,1.33,
5326,漢磊科技,394896344,35924007,10749,10.99,12.2,9.65,10.84,10.05,22.33,0,11,0.91,
5344,立衛科技,101235303,6983130,2932,14.49,16.2,13,14.05,13.1,8.56,7.09,8.79,1.09,
5346,力晶    ,128916851,179654482,7456,0.71,0.89,0.53,0.71,0.63,N/A,0,3.24,0.73,
5347,世界先進,2097256112,139518877,40100,15.03,16.1,13.5,14.95,15.5,48.44,3.87,8.62,1.23,
5351,鈺創科技,146843048,15628309,4821,9.39,9.88,8.9,9.41,9.23,N/A,3.46,3.49,0.85,
5425,台半    ,217064136,14451014,5645,15.02,15.8,14,14.9,14.95,13.11,8.02,5.92,0.75,
5455,訊利電業,950372,422230,118,2.25,3.17,1.82,2.35,2.02,N/A,0,1.15,0.45,
5466,泰林科技,155166944,14097489,5257,11,12.05,9.82,10.9,10.35,N/A,9.66,5.77,0.46,
5468,凱鈺科技,9750748,854420,493,11.41,12.45,10.55,11.23,11.2,N/A,0,1.9,1.36,
5483,中美晶  ,8863200696,168904411,74066,52.47,55,50.1,51.9,53.6,N/A,10.26,38.12,1.3,
5487,通泰    ,8116192,557571,310,14.55,15.4,13.8,14.61,14.35,17.72,6.96,1.26,0.87,
6103,合邦電子,68138,30356,44,2.25,2.51,2.07,2.18,2.11,N/A,0,0.06,1.83,
6104,創惟科技,284606519,12963418,6374,21.95,23.5,19.5,21.34,21.7,N/A,0,14.98,1.42,
6129,普誠科技,173119913,15659050,4271,11.05,11.75,9.81,10.46,10.15,31.72,9.85,8.66,0.81,
6138,茂達電子,164709832,8345180,4419,19.73,21.15,17.85,19.6,19.2,16.7,7.81,6.41,1.22,
6147,頎邦科技,4657173420,116897374,56018,39.83,42.25,37.25,39.45,39.3,13.65,5.08,19.85,1.38,
6182,合晶科技,1105506613,49569994,24000,22.3,23.55,20.55,21.84,22,N/A,5.9,17.59,0.88,
6198,凌泰科技,2372015,468855,325,5.05,5.48,4.63,5.08,4.9,N/A,0,1.35,0.74,
6223,旺矽科技,681287755,10692652,7548,63.71,70,54.9,63.2,59.2,11.09,9.78,13.6,1.47,
6229,研通科技,7993113,765147,394,10.44,11.15,9.61,10.47,10.95,60.83,9.95,2.14,0.9,
6233,旺玖科技,73751790,5197955,2829,14.18,15.5,12.8,14.07,14.1,N/A,0,5.9,0.93,
6236,凌越科技,679350,34263,26,19.76,24.9,18.6,21.63,20,166.67,0,0.51,4.34,
6237,驊訊電子,45593358,2403240,1457,18.97,20.2,17.9,18.87,19.1,N/A,0,3.12,0.98,
6261,久元電子,1216383672,15031121,8069,80.92,85.1,75.5,80.55,79.9,13.78,5.95,13.55,1.7,
6287,元隆電子,5687925,1133901,571,5.01,5.68,4.42,5.05,4.52,N/A,0,0.82,0.75,
6291,沛亨半導,4679887,1405867,345,3.32,4.93,2.61,3.39,2.87,N/A,0,2.88,0.63,
8024,佑華微電,12022076,870546,460,13.8,15.4,12.6,13.96,13,433.33,14.46,1.57,0.87,
8040,九暘    ,39397417,3521544,1711,11.18,12.05,10,11.07,10.7,N/A,9.71,3.98,0.92,
8054,安國國際,1620394459,30637986,19244,52.88,59.5,44.8,51.58,50.9,11.09,4.91,37.17,1.79,
8066,政德光電,504240,141026,42,3.57,4.49,3.34,3.83,4.17,N/A,0,0.13,209,
8079,誠遠科技,31375420,1983992,904,15.81,16.2,15.25,15.8,15.95,10.92,13.6,2.66,1.06,
8084,巨虹電子,1903956,234831,152,8.1,8.71,7.1,8.13,7.51,15.98,0,0.58,0.88,
8086,宏捷科技,5252844750,162519114,71725,32.32,36.35,25.35,31.83,36,94.74,1.94,125.15,2.56,
8088,品安科技,170132230,11183328,4657,15.21,16.95,13.7,14.92,15.45,N/A,0,24.98,1.07,
8277,商丞科技,371953043,20538971,9767,18.1,19.95,15.5,17.66,18.7,N/A,0,31.57,1.44,
1569,濱川企業,1380846389,20905132,12490,66.05,74.3,55.1,67.65,61.7,13.99,1.39,28.23,2.32,
3071,協禧電機,20133454,2332332,675,8.63,8.89,8.1,8.6,8.5,26.56,0,1.26,0.79,
3088,艾訊    ,30299513,1444970,715,20.96,23,19.9,20.88,20.5,14.64,10.73,1.87,1.29,
3126,信億科技,69046138,2279317,1318,30.29,40.2,23.95,32.99,29.45,N/A,0,4.72,4.65,
3171,天馳科技,8901448,740666,326,12.01,13.7,10.7,12.07,13.6,N/A,0,1.42,1.5,
3211,順達科技,11383067856,72314708,46990,157.41,168.5,141,157.02,154.5,14.37,3.87,47.67,3.25,
3213,茂訊電腦,74792425,1399712,1280,53.43,57,50.1,53.2,51.6,8.88,10.65,2.53,2.37,
3287,廣寰科  ,2318114,247243,182,9.37,9.6,9.05,9.4,9.52,N/A,13.65,0.56,0.84,
3323,加百裕  ,339245423,14430817,6853,23.5,25.2,20.7,22.94,22.5,N/A,6.66,14.58,0.87,
3325,旭品    ,50400175,3864875,1848,13.04,14.75,11.8,13,12.85,N/A,3.81,5.76,0.84,
3416,融程電  ,25372526,557101,424,45.54,46.5,43.8,45.67,46.5,13.52,9.67,1.23,1.83,
3479,安勤    ,90191400,2904883,1876,31.04,32.6,29.5,30.85,30.7,11.85,9.12,6.28,1.44,
3483,力致科技,282683091,8948842,4684,31.58,33.85,28.1,30.93,30.6,16.63,0.98,18.28,0.77,
3489,筌寶    ,4206916,653202,318,6.44,6.92,5.9,6.36,6.01,N/A,0,1.24,0.53,
3521,鴻翊    ,12260904,611008,269,20.06,21.4,18.4,20.19,20.05,N/A,0,1.93,1.59,
3540,曜越    ,16092509,894986,668,17.98,19.5,16.6,17.74,17,27.42,0,1.47,0.75,
3577,泓格科技,37900440,1309007,1069,28.95,30.5,27.25,28.86,28.85,14.64,6.89,3,1.62,
3611,鼎翰科技,186304661,2054974,1741,90.66,93.4,86.6,90.37,91.6,10.73,6.55,6.05,2.84,
3625,西勝    ,7488608,892818,442,8.38,9.2,7.9,8.59,8.8,N/A,0,1.59,0.71,
3652,精聯電子,3055022,163465,142,18.68,19.55,17.45,18.55,18.2,N/A,6.31,0.34,0.75,
4924,F-欣厚  ,177799249,5485160,2353,32.41,35.05,28.85,31.67,30.8,22.16,3.63,15.77,1.83,
4987,科誠    ,62071391,1446775,1117,42.9,46.15,39.8,42.6,41.8,10.48,4.78,6.03,1.62,
5356,協益電子,550716441,13446873,6987,40.95,42.65,39.1,40.74,41.1,7.86,12.16,10.15,1.31,
5371,中強光電,2848901026,107839512,42944,26.41,28,24.9,26.11,27.6,17.69,12.68,14.89,0.97,
5384,捷元    ,31104883,2562698,737,12.13,12.85,11,11.82,12.1,201.67,0,2.9,0.9,
5386,青雲國際,0,0,0,-,-,-,-,12.6,N/A,0,0,3.44,
5426,振發實業,50043397,4348607,912,11.5,11.8,11.25,11.51,11.65,18.79,7.72,3.02,0.79,
5438,東友    ,16707317,1241613,605,13.45,14.25,12.85,13.52,13.05,33.46,12.26,1.1,0.94,
5450,寶聯電腦,9270959,626016,433,14.8,15.65,14,14.82,14.95,N/A,0,1.24,1.2,
5465,富驊企業,3584645,489886,182,7.31,7.75,6.9,7.36,7.39,N/A,0,0.32,0.84,
5474,聰泰科技,3107019,327201,196,9.49,10.15,8.92,9.51,9.65,N/A,0,0.97,0.79,
5490,同亨科技,90241749,2972055,1857,30.36,31.4,29.35,30.22,31.4,11.8,10.57,3.15,1.79,
6105,瑞傳科技,422698111,14279781,6223,29.6,31.4,27.5,29.04,28.5,7.66,3.5,12.99,1.07,
6121,新普科技,7196709845,34282198,24624,209.92,229.5,186,212.75,214,15.83,3.03,12.23,3.61,
6123,上奇科技,318964355,7733411,4351,41.24,44.8,37.6,40.33,40.3,14.6,6.94,16.02,2.39,
6150,撼訊科技,65675409,3867401,2307,16.98,18.85,15,16.52,16.3,45.28,16.56,5.51,1.29,
6160,欣技資訊,128767173,4047639,2376,31.81,33,29,31.5,29.5,10.77,7.79,5.7,1.83,
6161,捷波資訊,90379400,6522492,2494,13.85,14.6,13,13.68,13.75,8.7,2.18,6.2,0.82,
6188,廣明光電,145619055,7419192,3382,19.62,20.6,18.55,19.62,19.85,11.41,10.07,2.67,0.69,
6199,精威科技,54581851,3990160,1276,13.67,14.85,10.8,13.57,13.75,N/A,0,6.3,2.13,
6222,上揚科技,11230812,1051460,532,10.68,11.1,10,10.5,10.25,10.68,0,1.87,1.13,
6228,全譜科技,4044124,622014,297,6.5,6.9,6.15,6.51,6.34,N/A,0,1.51,0.64,
6298,崴強科技,344616569,19741492,8409,17.45,18.55,16.1,17.16,17.45,16.46,1.14,11.7,1.15,
8050,廣積    ,178055457,4285090,2578,41.55,44.1,38.7,41.09,39.95,10.46,8.28,5.99,1.59,
8076,伍豐科技,451124310,12424912,7015,36.3,40.85,31,35.53,33.4,45.75,0,7.37,2.26,
8114,振樺電  ,65763467,1198552,927,54.86,56.9,53,54.97,55.4,10.51,8.17,1.97,2.66,
8234,新漢    ,96865661,3631667,1998,26.67,28,24.9,26.53,26.4,9.85,7.57,3.76,1.52,
8299,群聯電子,8495012425,39398301,28947,215.61,234,188,215.06,220,14.82,1.97,21.89,3.43,
8410,森田印刷,252784559,5562998,3793,45.44,51.3,39.5,44.11,42,17.36,4.76,15.2,1.39,
3066,李洲科技,3764461,628794,254,5.98,6.19,5.59,6.01,5.98,N/A,0,0.41,0.95,
3128,昇銳電子,21479407,1952429,703,11,12,10.05,11.07,10.95,N/A,0,4.65,0.7,
3230,錦明實業,7216730,1278268,460,5.64,6.5,5.15,5.79,5.51,N/A,0,1.15,0.35,
3297,杭特電子,5225924,275508,217,18.96,20.05,17.6,19.2,18.4,19.17,5.38,0.79,0.82,
3339,泰谷光電,205454409,11938193,5226,17.2,18.95,14.95,16.78,16.7,N/A,5.98,4.34,1.14,
3362,先進光  ,17925896,877529,495,20.42,21.95,19.1,20.57,21.2,424,0,1.13,2.3,
3428,光燿科  ,433553356,11188903,7505,38.74,45.1,32,36.53,35.4,19.89,3.58,16.03,2.53,
3434,哲固資訊,7762075,815838,88,9.51,9.8,9.3,9.52,9.4,N/A,0,2.49,1.13,
3441,聯一光學,499538530,9301993,5934,53.7,56.5,49.75,52.76,52.2,14.18,1.53,29.6,2.09,
3452,益通光能,964946531,62406047,22056,15.46,16.35,14.15,15.21,15.85,N/A,0,13.02,0.89,
3455,由田新技,88898189,4114486,2771,21.6,24.45,18.9,21.91,21.3,N/A,13.99,6.79,0.71,
3490,單井    ,23026994,1063362,576,21.65,23.4,20.25,21.66,21.95,12.76,15.94,3.04,1,
3516,亞帝歐  ,62278072,6263696,1651,9.94,10.45,8.72,9.82,10.4,N/A,0,8.24,0.36,
3522,宏森    ,28233080,2521759,1116,11.19,12.35,10,11.24,10.9,30.28,11,5.33,0.51,
3523,迎輝科技,76392013,3212922,1507,23.77,24.55,22.8,23.76,24.05,N/A,0,3.28,0.94,
3531,先益電子,13221383,654107,433,20.21,21.7,18.9,19.98,19.5,9.47,6.15,1.07,0.68,
3562,頂晶科技,20987888,1467895,1084,14.29,15.7,12.3,13.91,14.8,N/A,0,2.8,2.2,
3615,安可光電,939983383,18180550,12990,51.7,58,44,51.17,58,10.56,1.72,39.54,1.4,
3623,富晶通  ,99289954,8209418,3350,12.09,13.45,10.85,12.15,12.45,N/A,0,14.36,1.21,
3629,卓韋光電,37815654,2466728,1550,15.33,18,13.1,14.73,15.75,N/A,3.11,9.34,1.34,
3630,新鉅科  ,503439649,11175795,7939,45.04,47.5,41.3,44.58,45.8,N/A,6.65,12.9,1.85,
3685,政翔    ,93088434,4925691,2542,18.89,21.55,16.6,19.23,18.7,9.3,10.8,12.24,1.05,
3691,碩禾    ,6325883697,19353837,17907,326.85,362,297,322.77,359,19.38,7.79,43.86,4.63,
4729,熒茂光學,127550764,7930823,3851,16.08,18.4,13.8,15.9,15.1,N/A,0,7.78,0.66,
4933,友輝    ,3238723658,25628285,18418,126.37,144.5,103.5,124.95,128,16.39,3.12,52.92,3.06,
4944,兆遠    ,1470723277,46689826,22205,31.49,35.3,27.3,30.88,31.3,N/A,7.02,50.77,1.76,
4950,牧東    ,318137236,12132107,6595,26.22,30,22.3,25.12,24.75,N/A,1.57,15.78,1.03,
4995,晶達    ,138767010,6574013,4038,21.1,24,19.55,20.49,19.95,21,10.02,19.44,1.59,
5315,光聯科技,34678269,7579266,1909,4.57,5.15,4.08,4.46,4.17,N/A,0,4.77,0.59,
5392,應華精密,184260433,3527151,2616,52.24,58,47.3,51.89,50.4,22.11,7.93,4.53,1.17,
5395,圓方創新,175,10,1,-,-,-,-,17.55,N/A,0,0,2.45,
5432,達威光電,1519232,113248,134,13.41,14.5,12.6,13.66,13.6,13.33,0,0.55,1.5,
5443,均豪精密,46451871,5360633,2162,8.66,9.55,7.8,8.57,8.13,27.1,8.61,3,0.57,
6125,廣運機械,100786913,9468329,3803,10.64,11.4,10.05,10.66,10.4,N/A,13.07,3.72,0.45,
6156,松上電子,207287,69015,82,3,3.26,2.8,3.01,3.09,N/A,0,0.08,0.43,
6167,久正光電,1654233,716183,261,2.3,2.73,1.95,2.29,2.07,7.96,0,0.44,0.52,
6234,高僑    ,64057772,4219721,1603,15.18,16.6,13.65,14.59,14.35,35,0,5.91,0.42,
6244,茂迪    ,3714141297,79895621,42839,46.48,49.7,42.55,45.7,44.95,N/A,15.57,18.27,1.1,
6246,臺龍電子,135069720,11095000,4707,12.17,13.25,10.9,11.91,11.4,30,0,6.24,1.2,
8049,晶采光電,39741960,6491278,2110,6.12,6.58,5.4,5.88,5.8,N/A,0,5.96,0.56,
8053,巨擘科技,6004109,1146252,473,5.23,5.63,4.85,5.3,5.25,N/A,0,0.28,0.45,
8064,東捷科技,18368853,2480255,898,7.4,7.95,7.01,7.42,7.41,N/A,5.39,1.88,0.52,
8069,元太科技,5459550891,179378676,80869,30.43,33.7,27.7,30.44,31.7,8.43,8.39,16.6,1.27,
8071,豐聲科技,41756835,1484232,864,28.13,30.9,24.2,26.69,26.7,8.87,1.57,4.39,1.85,
8077,冠華科技,20098,7360,8,2.73,2.8,2.67,2.72,2.8,N/A,0,0.01,1.9,
8087,華鎂鑫  ,1764040,237079,176,7.44,8.05,6.95,7.47,7.38,N/A,0,0.69,0.62,
8107,大億科技,49593132,6164612,1863,8.04,8.5,7.48,8.01,8.09,N/A,10.5,3.64,0.53,
8111,立碁電子,47076129,5284439,2141,8.9,9.72,7.91,8.73,8.3,N/A,9.27,3.6,0.75,
8240,華宏新技,174006049,3739668,2546,46.52,50,42.6,46.19,45.7,10.16,7,4.4,0.97,
8266,中日新  ,1941390,1037940,262,1.87,2.15,1.69,1.87,1.9,N/A,0,0.9,0.61,
3068,美磊科技,121200666,2923377,1598,41.45,43.6,39.5,41.54,43,19.11,10.13,4.05,2.47,
3095,及成    ,60603698,6770613,2465,8.95,10.2,8.09,9.1,8.3,N/A,0,3.11,0.57,
3152,璟德電子,428880339,5118552,3753,83.78,90.7,74,83.47,85,17.67,6.47,7.42,2.25,
3221,台灣嘉碩,8763117,911580,510,9.61,10.3,8.74,9.83,9.35,N/A,12.83,1.07,0.56,
3234,光環    ,551219883,23208977,11200,23.75,26.65,20.7,23.52,23.6,12.36,4.23,24.8,1.62,
3290,東浦    ,120533269,7834319,3320,15.38,16.4,14.4,15.18,14.9,12.52,3.35,9.29,1.04,
3306,鼎天國際,29943480,1181880,956,25.33,27,23.7,25.11,24.7,11.28,6.47,2.34,0.78,
3363,上詮    ,202708537,8583117,4604,23.61,28.7,20.1,23.91,22.75,14.04,5.27,14.27,1.36,
3431,長天科技,68698058,4977161,2283,13.8,15.4,11.95,13.68,12.6,114.55,0,10.52,2.06,
3466,致振企業,13150488,668498,255,19.67,21.85,18.7,19.88,19.35,10.99,5.16,1.07,0.72,
3491,昇達科技,188716364,4504746,2995,41.89,45.8,36.6,40.46,40.15,24.19,5.45,10.12,1.86,
3499,環天科技,9340746,735434,407,12.7,13.4,12,12.82,12.9,N/A,0,1.38,0.86,
3632,研勤科技,124385002,3049284,2516,40.79,44.9,36.1,40.24,39,25.83,4.61,12.46,2.21,
3664,F-安瑞  ,25517188,1376685,1005,18.53,20.6,16.4,18.1,17.8,36.33,0,1.98,0.97,
4903,聯光通信,28362066,3645244,1611,7.78,8.5,7.02,7.78,7.43,11.61,0,4.78,0.69,
4905,台聯電訊,587983988,20477468,7915,28.71,33.5,24,28.41,32.5,17.86,1.53,40.32,1.65,
4907,春雨開發,137304,50019,4,2.74,2.85,2.5,2.73,2.5,N/A,0,0.13,13.89,
4908,前鼎光電,72798302,2690781,1592,27.05,28.35,25.3,26.82,26.85,10.61,7.82,3.6,1.75,
4909,新復興  ,125751333,3992675,2539,31.49,32.85,29.4,31.37,30.9,11.93,8.73,4.32,1.34,
4979,華星光  ,682165207,14893592,9179,45.8,54.5,37.5,46.8,45.05,20.57,1.1,35.82,2.81,
5306,訊康科技,892138964,17797288,9444,50.12,54.4,35.8,47.51,52.2,N/A,0,17.27,6.14,
5348,系通科技,12176501,719599,411,16.92,18.4,16,16.74,16.6,11.45,0,2.77,1.69,
5353,台林通信,9617347,987282,593,9.74,10.2,9.3,9.68,9.56,31.87,3.76,1.02,0.69,
6109,亞元科技,3122421,345226,227,9.04,9.55,8.2,9.08,9,N/A,0,0.47,0.92,
6143,振曜科技,103041029,4226961,2419,24.37,26.2,22.6,24.41,24.5,12.44,8.04,5.24,1.12,
6163,華電聯網,530723324,30477791,11860,17.41,18.8,16.15,17.18,17.2,10.68,0,33.52,1.2,
6170,統振    ,93687587,4715013,2486,19.87,21.75,18.55,19.8,19.5,16.25,0.66,5.24,1.27,
6190,萬泰科技,13358313,1710522,776,7.8,8.7,7,7.91,7.32,183,4.09,1.37,0.61,
6218,豪勉科技,39591256,1405950,764,28.15,29.2,27.6,28.24,28.35,12.66,14.1,2.41,1.62,
6241,易通展  ,74303495,1500865,1010,49.5,53.6,41.8,48.45,49.8,42.93,0,6.33,4.46,
6245,立端科技,362528130,11224139,5070,32.29,37.95,26.6,33.12,30.2,11.1,0.82,16.76,1.79,
6263,普萊德  ,69004986,2868027,1694,24.06,25.8,22.5,23.74,24.4,13.41,6.14,4.93,1.58,
8034,榮群電訊,4534517,832299,301,5.44,5.9,5,5.53,5.29,N/A,0,1.32,0.67,
8048,德勝科技,9096340,810152,342,11.22,11.75,10.8,11.25,11.4,25.33,3.5,1.61,0.9,
8059,凱碩    ,7765025,1444752,395,5.37,6.19,4.96,5.46,5.1,N/A,0,1.56,0.55,
8082,眾星國際,7807856,1114883,584,7,7.92,5.19,6.86,7.58,N/A,0,1.97,1.44,
8097,鴻松精密,2071748,357754,132,5.79,6.6,4.24,5.31,4.27,N/A,0,0.89,1.23,
8171,天宇    ,22414390,1070011,602,20.94,22,19.7,20.92,20.2,29.28,5.94,2.61,1.08,
1333,恩得利  ,12139643,1958642,883,6.19,6.8,5.67,6.15,6,N/A,0,1.91,0.97,
1336,台翰    ,6198559,518242,242,11.96,12.4,11.6,12,11.8,N/A,5.08,0.78,0.47,
1595,川寶    ,109980107,1716134,1272,64.08,69,60,64.03,64,7.85,4.68,4.66,1.56,
1815,富喬    ,2433984491,134104205,44786,18.14,20.95,14.95,17.57,16.25,14.38,6.21,45.2,0.91,
3078,僑威科技,69962753,6655949,2173,10.51,11.25,9.82,10.41,10.35,11.63,10.91,2.93,0.73,
3089,展成科技,40750263,3085698,1058,13.2,15.2,11.9,13.43,12.25,N/A,2.44,5.91,1.15,
3092,鴻碩精密,26787637,2558503,693,10.47,12.15,9.36,10.8,10.25,42.71,11.7,4.01,0.56,
3114,好德科技,6513060,586632,321,11.1,11.9,10.3,11.11,11.05,19.05,1.8,1.17,0.73,
3115,寶島極光,8459634,764463,216,11.06,12.3,10,11.32,10.1,N/A,0,1.75,1.28,
3144,新揚科  ,71291662,5529051,949,12.89,13.25,12.55,12.97,12.8,18.55,0,7.17,2.19,
3191,和進電子,7189925,1008517,374,7.12,7.85,6.3,7.04,6.54,72.67,0,1.86,0.46,
3202,樺晟電子,9169322,1176091,427,7.79,8.18,7.35,7.78,7.74,N/A,2.58,1.57,0.49,
3206,志豐電子,198827290,8754109,1408,22.71,22.35,18.85,21.08,20,11.24,7.45,22.5,1.19,
3207,耀勝電子,8398869,781660,364,10.74,11.8,9.8,11.03,10.3,N/A,3.88,2.04,0.76,
3217,優群科技,10723292,980905,478,10.93,11.5,10.35,10.97,10.85,15.72,13.82,1.19,0.74,
3226,至寶電腦,27225955,1030182,503,26.42,31,22.1,26.94,25.7,N/A,0,1.6,2.9,
3236,千如電機,16972097,1897029,755,8.94,9.58,8.15,8.87,8.41,420.5,14.26,3.57,0.64,
3276,宇環科技,71643433,5693748,1304,12.58,13.2,11.5,12.41,12,N/A,0,8.17,1.23,
3288,點晶科技,43596250,1995792,940,21.84,22.9,20.85,22.07,22.9,N/A,0,4.01,2.43,
3294,英濟    ,55163996,4257491,1704,12.95,14.2,11.8,12.86,12.5,7.62,0,3.13,0.57,
3299,帛漢    ,221067770,6233635,3684,35.46,36.95,33.05,35.07,34.6,9.64,8.67,12.39,1.43,
3310,佳穎精密,5248667,833119,394,6.3,7.15,5.32,6.28,5.45,N/A,0,1.25,0.94,
3313,斐成企業,64661194,4809082,2056,13.44,14.4,12.5,13.21,13.4,7.66,0,5.75,0.71,
3322,建舜電子,7354339,832834,386,8.83,9.06,8.4,8.9,8.7,N/A,0,1,0.73,
3332,幸康電子,11604729,250757,145,46.27,48.2,44.4,45.81,46,12.11,8.69,0.52,1.68,
3354,律勝    ,17331417,1461408,706,11.85,12.75,10.95,11.88,12.15,18.41,6.99,1.83,0.71,
3388,崇越電通,117677691,1670601,1324,70.44,73,68,70.33,70.7,13.02,8.48,2.69,1.51,
3390,旭軟電子,203978890,5915586,3087,34.48,35.5,31.8,34.42,34.75,8.71,6.33,11.1,1.86,
3465,祥業科技,577308,128260,68,4.5,5.34,3.96,4.81,5.16,N/A,0,0.45,1.09,
3484,崧騰    ,38316869,1677087,894,22.84,24.4,21.5,22.89,22.55,16.22,8.42,3.02,0.99,
3511,矽瑪科技,17793696,843960,553,21.08,23.4,19.4,20.77,20.25,N/A,24.69,2.18,0.94,
3512,能緹    ,4679859,521565,299,8.97,10.4,8,8.91,8.38,N/A,0,1.19,0.67,
